REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper.1
1_MACS_peak_17982_lociStitched	chr5	42988244	42996706	1	8463	63473.462	77	1		LOC153684,LOC648987,C5orf39	LOC648987	77	1
4_MACS_peak_11665_lociStitched	chr19	56145570	56170491	4	14957	63022.7169	78	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	78	1
2_MACS_peak_19137_lociStitched	chr6	7895372	7918981	2	21764	62169.5797	79	1	MUTED-TXNDC5,TXNDC5		TXNDC5	79	1
4_MACS_peak_19002_lociStitched	chr5	177657181	177674644	4	12816	62098.428	80	1	AGXT2L2,COL23A1	HNRNPAB,GMCL1L	AGXT2L2	80	1
2_MACS_peak_21482_lociStitched	chr7	102063550	102075708	2	9034	62072.669	81	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	81	1
3_MACS_peak_10013_lociStitched	chr18	9054804	9074841	3	15719	61579.7121	82	1		NDUFV2	NDUFV2	82	1
1_MACS_peak_22738_lociStitched	chr8	101961596	101967443	1	5848	61297.6092	83	1	YWHAZ		YWHAZ	83	1
1_MACS_peak_5855_lociStitched	chr13	50696963	50706244	1	9282	60968.7452	84	1	DLEU2	DLEU1,ST13P4	DLEU2	84	1
2_MACS_peak_24861_lociStitched	chrX	153188760	153201485	2	8804	60009.8275	85	1	ARHGAP4,NAA10,RENBP	AVPR2,TMEM187,MIR3202-1,L1CAM,HCFC1,MIR3202-2	ARHGAP4	85	1
3_MACS_peak_23146_lociStitched	chr8	145686379	145705439	3	12542	59897.956	86	1	KIFC2,CYHR1,FOXH1	PPP1R16A,GPT,MFSD3,LRRC14,SLC39A4,VPS28,TONSL,RECQL4,LRRC24,MGC70857	KIFC2	86	1
3_MACS_peak_1888_lociStitched	chr1	203266507	203281502	3	11500	59384.6985	87	1	BTG2,LOC730227	FMOD	LOC730227	87	1
6_MACS_peak_9146_lociStitched	chr17	32688633	32720458	6	29896	59245.42	88	1	CCL1	CCL8,CCL13	CCL1	88	1
3_MACS_peak_16243_lociStitched	chr3	156530316	156546351	3	10604	59135.4765	89	1	LEKR1	PA2G4P4	LEKR1	89	1
2_MACS_peak_21208_lociStitched	chr7	74062898	74077461	2	10284	58993.2567	90	1	GTF2I		GTF2I	90	1
2_MACS_peak_315_lociStitched	chr1	25247182	25259519	2	10377	58808.0116	91	1	RUNX3		RUNX3	91	1
1_MACS_peak_19190_lociStitched	chr6	12007481	12014640	1	7160	58666.5732	92	1	HIVEP1		HIVEP1	92	1
2_MACS_peak_11228_lociStitched	chr19	39338023	39348826	2	7939	58359.9666	93	1	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	93	1
1_MACS_peak_1191_lociStitched	chr1	120607930	120614193	1	6264	58336.7135	94	1	NOTCH2		NOTCH2	94	1
6_MACS_peak_20895_lociStitched	chr7	29694677	29726554	6	20082	58290.2822	95	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	95	1
2_MACS_peak_22773_lociStitched	chr8	103816742	103827347	2	10237	58169.4855	96	1		AZIN1	AZIN1	96	1
2_MACS_peak_20075_lociStitched	chr6	106531126	106556312	2	25160	58018.4696	97	1	PRDM1		PRDM1	97	1
3_MACS_peak_19337_lociStitched	chr6	27093850	27115926	3	18051	57980.4064	98	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	98	1
3_MACS_peak_19708_lociStitched	chr6	45382549	45400046	3	12880	57565.13	99	1	RUNX2	SUPT3H	RUNX2	99	1
1_MACS_peak_1301_lociStitched	chr1	149854938	149861701	1	6764	57432.0723	100	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	100	1
2_MACS_peak_10264_lociStitched	chr18	46447936	46463243	2	15293	57369.1053	101	1	SMAD7		SMAD7	101	1
1_MACS_peak_12071_lociStitched	chr2	43444614	43456957	1	12344	57270.2857	102	1	LOC100129726,ZFP36L2		ZFP36L2	102	1
3_MACS_peak_15635_lociStitched	chr3	69128056	69145936	3	14899	57192.756	103	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	103	1
2_MACS_peak_6594_lociStitched	chr14	69252476	69264250	2	10340	56645.8914	104	1	ZFP36L1,C14orf181		ZFP36L1	104	1
4_MACS_peak_21110_lociStitched	chr7	55623077	55642753	4	15517	56357.9668	105	1	VOPP1		VOPP1	105	1
1_MACS_peak_10215_lociStitched	chr18	42258681	42264661	1	5981	56198.844	106	1	SETBP1		SETBP1	106	1
4_MACS_peak_19743_lociStitched	chr6	52147244	52173427	4	19195	56055.1847	107	1	MCM3	IL17F	MCM3	107	1
1_MACS_peak_19025_lociStitched	chr5	179244862	179249996	1	5135	55873.322	108	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	108	1
2_MACS_peak_3028_lociStitched	chr10	104401166	104409973	2	8688	55412.7633	109	1	TRIM8		TRIM8	109	1
2_MACS_peak_2613_lociStitched	chr10	45453922	45475116	2	16775	54858.5496	110	1	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	110	1
2_MACS_peak_7357_lociStitched	chr15	60859879	60885548	2	23624	54672.4031	111	1	RORA		RORA	111	1
2_MACS_peak_6596_lociStitched	chr14	69279675	69292113	2	12214	54066.7422	112	1		ZFP36L1,C14orf181	C14orf181	112	1
4_MACS_peak_19303_lociStitched	chr6	26183863	26207825	4	14570	54060.6682	113	1	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	113	1
1_MACS_peak_19676_lociStitched	chr6	43737007	43742979	1	5973	53855.496	114	1	VEGFA		VEGFA	114	1
1_MACS_peak_4154_lociStitched	chr11	111282553	111294867	1	12315	53719.825	115	1		POU2AF1	POU2AF1	115	1
3_MACS_peak_7003_lociStitched	chr14	106207819	106217786	3	9337	53296.5391	116	1			KIAA0125	116	1
6_MACS_peak_3715_lociStitched	chr11	63992693	64020370	6	15245	53236.7095	117	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	117	1
1_MACS_peak_7508_lociStitched	chr15	75491344	75497987	1	6644	53208.4371	118	1	C15orf39		C15orf39	118	1
5_MACS_peak_1194_lociStitched	chr1	120657707	120688650	5	23001	53200.2999	119	1		NOTCH2	NOTCH2	119	1
1_MACS_peak_21374_lociStitched	chr7	92458021	92467407	1	9387	53168.8742	120	1	CDK6		CDK6	120	1
1_MACS_peak_23081_lociStitched	chr8	142424201	142430556	1	6356	53093.483	121	1		PTP4A3,GPR20	PTP4A3	121	1
1_MACS_peak_14996_lociStitched	chr22	46460733	46477855	1	17123	53090.1854	122	1		LOC150381,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,LOC100271722,C22orf26	LOC400931	122	1
6_MACS_peak_18056_lociStitched	chr5	55436523	55472015	6	25861	52932.7688	123	1	ANKRD55		ANKRD55	123	1
2_MACS_peak_19469_lociStitched	chr6	31755447	31764550	2	6234	52820.1575	124	1	VARS	MSH5,C6orf26,HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,C6orf27,LSM2,HSPA1L	VARS	124	1
2_MACS_peak_14642_lociStitched	chr22	24819569	24833082	2	13461	52753.4007	125	1	ADORA2A,C22orf45		ADORA2A	125	1
1_MACS_peak_21513_lociStitched	chr7	104651014	104657891	1	6878	52730.0852	126	1	MLL5,LOC100216545		LOC100216545	126	1
2_MACS_peak_21296_lociStitched	chr7	81504341	81520166	2	15684	52276.305	127	1			HGF	127	1
1_MACS_peak_21031_lociStitched	chr7	44787042	44795231	1	8190	52245.0011	128	1	ZMIZ2	ZMIZ2,PPIA	ZMIZ2	128	1
3_MACS_peak_19030_lociStitched	chr5	180228469	180244601	3	11842	52112.8128	129	1	MGAT1	LOC729678,ZFP62	MGAT1	129	1
2_MACS_peak_16372_lociStitched	chr3	176911325	176920451	2	8470	51689.664	130	1	TBL1XR1		TBL1XR1	130	1
2_MACS_peak_10956_lociStitched	chr19	16694069	16706754	2	10112	51417.379	131	1	MED26	CHERP,SLC35E1	SLC35E1	131	1
3_MACS_peak_1935_lociStitched	chr1	206728300	206749925	3	15449	51270.7125	132	1	RASSF5	LGTN	RASSF5	132	1
1_MACS_peak_8556_lociStitched	chr16	79628853	79637468	1	8616	51223.067	133	1	MAF		MAF	133	1
4_MACS_peak_18040_lociStitched	chr5	55272205	55292664	4	15631	50863.1199	134	1	IL6ST		IL6ST	134	1
3_MACS_peak_7063_lociStitched	chr15	31545446	31560852	3	11422	50628.7378	135	1			KLF13	135	1
1_MACS_peak_7500_lociStitched	chr15	75333612	75342039	1	8428	50419.5837	136	1	PPCDC	SCAMP5	PPCDC	136	1
4_MACS_peak_16249_lociStitched	chr3	156798823	156824161	4	13802	50412.4848	137	1	LOC100498859,LOC339894		LOC100498859	137	1
1_MACS_peak_3653_lociStitched	chr11	61593919	61604234	1	10316	50324.822	138	1	FADS2	FEN1,MIR611,C11orf10,MIR1908,FADS1	FADS2	138	1
1_MACS_peak_14132_lociStitched	chr20	57463050	57468898	1	5849	50126.132	139	1	GNAS	GNAS-AS	GNAS	139	1
1_MACS_peak_17985_lociStitched	chr5	43037091	43043789	1	6699	50055.4936	140	1	LOC153684,C5orf39	LOC648987,LOC100132356	C5orf39	140	1
1_MACS_peak_20925_lociStitched	chr7	32928953	32933355	1	4403	49781.3376	141	1	KBTBD2	RP9P	KBTBD2	141	1
1_MACS_peak_8157_lociStitched	chr16	28833245	28837379	1	4135	49768.8126	142	1	ATXN2L	SH2B1,TUFM	ATXN2L	142	1
3_MACS_peak_11461_lociStitched	chr19	48823108	48837911	3	12094	49709.9543	143	1	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	143	1
2_MACS_peak_17729_lociStitched	chr5	6711605	6723477	2	9298	49563.2256	144	1	PAPD7	PAPD7	PAPD7	144	1
1_MACS_peak_20784_lociStitched	chr7	20253183	20263411	1	10229	49410.4452	145	1	MACC1		MACC1	145	1
2_MACS_peak_8873_lociStitched	chr17	7737019	7748869	2	10357	49256.895	146	1	DNAH2,KDM6B	TMEM88,CYB5D1,CHD3,LSMD1	KDM6B	146	1
1_MACS_peak_1320_lociStitched	chr1	150334929	150340185	1	5257	49178.2896	147	1	RPRD2	PRPF3	RPRD2	147	1
1_MACS_peak_20981_lociStitched	chr7	39987503	39993121	1	5619	49156.3764	148	1	CDK13		CDK13	148	1
3_MACS_peak_11368_lociStitched	chr19	45244732	45260187	3	11349	49102.0805	149	1	BCL3	CEACAM16,CBLC	BCL3	149	1
1_MACS_peak_7066_lociStitched	chr15	31615442	31622833	1	7392	49036.3286	150	1	KLF13		KLF13	150	1
2_MACS_peak_2459_lociStitched	chr10	22621555	22634106	2	11575	48947.6449	151	1		COMMD3,BMI1,SPAG6	SPAG6	151	1
1_MACS_peak_21065_lociStitched	chr7	47513460	47522895	1	9436	48935.571	152	1	TNS3		TNS3	152	1
2_MACS_peak_19688_lociStitched	chr6	44223768	44234379	2	8494	48793.6224	153	1	SLC35B2,NFKBIE	SLC29A1,HSP90AB1,TMEM151B,TCTE1,AARS2	SLC35B2	153	1
1_MACS_peak_17981_lociStitched	chr5	42948544	42953753	1	5210	48766.658	154	1			LOC648987	154	1
4_MACS_peak_10547_lociStitched	chr19	1258277	1277340	4	10460	48627.8067	155	1	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	155	1
3_MACS_peak_13911_lociStitched	chr20	37498887	37511052	3	8934	48612.5565	156	1	PPP1R16B	FAM83D	FAM83D	156	1
1_MACS_peak_22123_lociStitched	chr8	26428101	26438038	1	9938	48582.9867	157	1	DPYSL2		DPYSL2	157	1
1_MACS_peak_14841_lociStitched	chr22	38782166	38798124	1	15959	48574.5562	158	1	LOC400927	KCNJ4	LOC400927	158	1
1_MACS_peak_8415_lociStitched	chr16	67875065	67882196	1	7132	48557.1183	159	1	THAP11,NUTF2,CENPT	TSNAXIP1,EDC4,NRN1L,PSKH1,RANBP10	NUTF2	159	1
1_MACS_peak_5536_lociStitched	chr12	125397585	125406972	1	9388	48335.5404	160	1	UBC	SCARB1	UBC	160	1
1_MACS_peak_19642_lociStitched	chr6	42748625	42752469	1	3845	48164.9356	161	1		KIAA0240,TBCC	TBCC	161	1
1_MACS_peak_8196_lociStitched	chr16	30193869	30198689	1	4821	48115.65	162	1	CORO1A		CORO1A	162	1
2_MACS_peak_17889_lociStitched	chr5	32205882	32219678	2	10769	48054.2272	163	1		GOLPH3	GOLPH3	163	1
1_MACS_peak_2136_lociStitched	chr1	228673719	228680135	1	6417	47513.0464	164	1	RNF187	HIST3H2BB,HIST3H2A	RNF187	164	1
4_MACS_peak_13316_lociStitched	chr2	219741437	219763257	4	17592	47353.764	165	1	WNT10A	WNT6,PRKAG3	WNT10A	165	1
2_MACS_peak_23017_lociStitched	chr8	134695725	134709241	2	12681	47261.3972	166	1			ST3GAL1	166	1
3_MACS_peak_3918_lociStitched	chr11	72850283	72869793	3	13149	47182.984	167	1	FCHSD2		FCHSD2	167	1
1_MACS_peak_17898_lociStitched	chr5	32581061	32588913	1	7853	47125.3484	168	1	SUB1		SUB1	168	1
1_MACS_peak_14920_lociStitched	chr22	41839765	41845146	1	5382	46838.9145	169	1	TOB2	ACO2,PHF5A	TOB2	169	1
2_MACS_peak_471_lociStitched	chr1	36614035	36623608	2	7179	46729.6422	170	1	MAP7D1,TRAPPC3	COL8A2	MAP7D1	170	1
1_MACS_peak_20108_lociStitched	chr6	108878214	108887983	1	9770	46687.0279	171	1	FOXO3		FOXO3	171	1
2_MACS_peak_21678_lociStitched	chr7	128572188	128582428	2	7961	46529.536	172	1	IRF5	KCP	IRF5	172	1
1_MACS_peak_3559_lociStitched	chr11	46136207	46144954	1	8748	46519.1701	173	1	PHF21A		PHF21A	173	1
1_MACS_peak_10877_lociStitched	chr19	13260222	13267636	1	7415	46380.5012	174	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	174	1
1_MACS_peak_17986_lociStitched	chr5	43063937	43069407	1	5471	46250.491	175	1	LOC100132356	LOC153684,LOC648987,C5orf39	LOC100132356	175	1
1_MACS_peak_4146_lociStitched	chr11	111168419	111174803	1	6385	46060.56	176	1	C11orf93,C11orf92	C11orf53	C11orf92	176	1
3_MACS_peak_17122_lociStitched	chr4	90205541	90229943	3	23595	45629.2998	177	1	GPRIN3		GPRIN3	177	1
2_MACS_peak_1859_lociStitched	chr1	200984909	200995464	2	9362	45614.488	178	1	KIF21B		KIF21B	178	1
4_MACS_peak_11300_lociStitched	chr19	42035752	42062791	4	19339	45593.1618	179	1		CEACAM21	CEACAM21	179	1
1_MACS_peak_22939_lociStitched	chr8	126441000	126449049	1	8050	45551.7057	180	1	TRIB1		TRIB1	180	1
1_MACS_peak_21832_lociStitched	chr7	150063930	150068401	1	4472	45501.367	181	1	REPIN1	LRRC61,C7orf29,ZNF775,LOC728743,ACTR3C,RARRES2	REPIN1	181	1
1_MACS_peak_22479_lociStitched	chr8	71313078	71317556	1	4479	45131.523	182	1	NCOA2		NCOA2	182	1
1_MACS_peak_8190_lociStitched	chr16	30074486	30079338	1	4853	44993.5664	183	1	ALDOA	C16orf92,PPP4C,LOC100271831,FAM57B,TBX6,YPEL3,GDPD3	ALDOA	183	1
1_MACS_peak_17897_lociStitched	chr5	32529368	32544452	1	15085	44800.9884	184	1		SUB1	SUB1	184	1
