REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam
6_MACS_peak_3715_lociStitched	chr11	63992693	64020370	6	15245	53236.7095
4_MACS_peak_11300_lociStitched	chr19	42035752	42062791	4	19339	45593.161799999994
2_MACS_peak_21293_lociStitched	chr7	81416232	81443005	2	24126	109889.7785
7_MACS_peak_8391_lociStitched	chr16	67192460	67218878	7	13168	31284.1956
4_MACS_peak_19743_lociStitched	chr6	52147244	52173427	4	19195	56055.1847
6_MACS_peak_176_lociStitched	chr1	12202770	12228946	6	13331	32764.499200000002
2_MACS_peak_7357_lociStitched	chr15	60859879	60885548	2	23624	54672.4031
4_MACS_peak_21273_lociStitched	chr7	78102900	78128350	4	20178	33031.555
4_MACS_peak_16249_lociStitched	chr3	156798823	156824161	4	13802	50412.4848
3_MACS_peak_7781_lociStitched	chr15	101782368	101807594	3	20363	66811.061
2_MACS_peak_20075_lociStitched	chr6	106531126	106556312	2	25160	58018.4696
4_MACS_peak_7067_lociStitched	chr15	31635553	31660698	4	15384	26726.620499999997
3_MACS_peak_1297_lociStitched	chr1	149801359	149826381	3	18865	145890.771
4_MACS_peak_11665_lociStitched	chr19	56145570	56170491	4	14957	63022.71690000001
7_MACS_peak_9689_lociStitched	chr17	72732675	72757325	7	17915	29069.745
5_MACS_peak_3771_lociStitched	chr11	65253917	65278565	5	14271	63485.853599999995
6_MACS_peak_20346_lociStitched	chr6	138246668	138271254	6	14737	24406.5222
4_MACS_peak_19472_lociStitched	chr6	31781285	31805776	4	17293	85696.4581
4_MACS_peak_20970_lociStitched	chr7	38383845	38408334	4	19391	41183.1513
3_MACS_peak_17122_lociStitched	chr4	90205541	90229943	3	23595	45629.2998
5_MACS_peak_2367_lociStitched	chr10	7511075	7535467	5	13777	21382.0272
4_MACS_peak_19303_lociStitched	chr6	26183863	26207825	4	14570	54060.6682
3_MACS_peak_1234_lociStitched	chr1	145137897	145161658	3	19829	83947.613
2_MACS_peak_19137_lociStitched	chr6	7895372	7918981	2	21764	62169.5797
3_MACS_peak_6697_lociStitched	chr14	77487685	77510926	3	21845	87086.3511
3_MACS_peak_12789_lociStitched	chr2	142874341	142897517	3	18904	27264.246399999996
7_MACS_peak_21942_lociStitched	chr8	9754362	9777360	7	21240	25679.5668
4_MACS_peak_9512_lociStitched	chr17	56401514	56424263	4	18679	98237.0067
8_MACS_peak_17532_lociStitched	chr4	177691810	177714490	8	10721	10682.279999999999
4_MACS_peak_6732_lociStitched	chr14	81930803	81953369	4	12846	18783.9384
4_MACS_peak_2181_lociStitched	chr1	233790525	233812904	4	16462	32715.860099999998
3_MACS_peak_20774_lociStitched	chr7	19135610	19157873	3	20618	42684.8499
7_MACS_peak_17032_lociStitched	chr4	79545362	79567490	7	12729	12743.5152
3_MACS_peak_3672_lociStitched	chr11	62306422	62328528	3	18908	83140.666
5_MACS_peak_15714_lociStitched	chr3	76805489	76827567	5	20317	16302.395199999999
3_MACS_peak_19337_lociStitched	chr6	27093850	27115926	3	18051	57980.4064
6_MACS_peak_14505_lociStitched	chr22	17081544	17103543	6	12187	15676.4874
4_MACS_peak_6572_lociStitched	chr14	68741465	68763444	4	12550	18403.0167
4_MACS_peak_13316_lociStitched	chr2	219741437	219763257	4	17592	47353.763999999996
3_MACS_peak_1935_lociStitched	chr1	206728300	206749925	3	15449	51270.712499999994
3_MACS_peak_9258_lociStitched	chr17	38462649	38484039	3	14726	38705.205
5_MACS_peak_6211_lociStitched	chr14	23018169	23039465	5	15192	29007.281600000002
2_MACS_peak_19787_lociStitched	chr6	55733259	55754542	2	19640	25933.335499999997
2_MACS_peak_23101_lociStitched	chr8	144593636	144614913	2	20409	223131.899
2_MACS_peak_2613_lociStitched	chr10	45453922	45475116	2	16775	54858.5496
2_MACS_peak_1324_lociStitched	chr1	150532274	150553388	2	17345	167060.3022
5_MACS_peak_7819_lociStitched	chr16	725490	746567	5	8330	25848.8328
6_MACS_peak_4339_lociStitched	chr11	128584454	128605280	6	17812	37969.9632
1_MACS_peak_2458_lociStitched	chr10	22595462	22616287	1	20826	68493.425
4_MACS_peak_18040_lociStitched	chr5	55272205	55292664	4	15631	50863.1199
4_MACS_peak_544_lociStitched	chr1	41818658	41838998	4	10847	18147.347999999998
4_MACS_peak_331_lociStitched	chr1	25869623	25889760	4	12880	30030.308100000002
4_MACS_peak_3734_lociStitched	chr11	64617941	64638019	4	13093	39517.5196
3_MACS_peak_318_lociStitched	chr1	25344473	25364543	3	18565	78686.442
3_MACS_peak_10013_lociStitched	chr18	9054804	9074841	3	15719	61579.712100000004
4_MACS_peak_9671_lociStitched	chr17	70581453	70601457	4	13137	31456.29
5_MACS_peak_12122_lociStitched	chr2	47729918	47749898	5	10309	20409.57
1_MACS_peak_14064_lociStitched	chr20	52194841	52214759	1	19919	83697.42779999999
5_MACS_peak_3777_lociStitched	chr11	65306857	65326671	5	9266	21642.8322
4_MACS_peak_4464_lociStitched	chr12	7061279	7081028	4	11211	29980.9569
4_MACS_peak_19532_lociStitched	chr6	33376948	33396665	4	11995	36835.2994
4_MACS_peak_21110_lociStitched	chr7	55623077	55642753	4	15517	56357.9668
2_MACS_peak_1836_lociStitched	chr1	198887904	198907559	2	19516	25408.0185
4_MACS_peak_1598_lociStitched	chr1	167506931	167526575	4	15872	41348.655600000006
4_MACS_peak_18044_lociStitched	chr5	55307122	55326736	4	13172	25068.6534
9_MACS_peak_22007_lociStitched	chr8	13346420	13366000	9	14726	10359.778
4_MACS_peak_12238_lociStitched	chr2	64862792	64882346	4	13963	29690.7936
3_MACS_peak_12564_lociStitched	chr2	107112856	107132376	3	12330	23139.008
3_MACS_peak_3918_lociStitched	chr11	72850283	72869793	3	13149	47182.984000000004
1_MACS_peak_1477_lociStitched	chr1	156457112	156476240	1	19129	92583.3456
4_MACS_peak_10547_lociStitched	chr19	1258277	1277340	4	10460	48627.8067
3_MACS_peak_23146_lociStitched	chr8	145686379	145705439	3	12542	59897.956
4_MACS_peak_14270_lociStitched	chr21	19147771	19166767	4	11083	15346.8684
8_MACS_peak_16918_lociStitched	chr4	66388850	66407740	8	10029	6957.187
1_MACS_peak_21292_lociStitched	chr7	81392242	81410909	1	18668	68832.6958
3_MACS_peak_8181_lociStitched	chr16	29815276	29833825	3	16042	135463.347
4_MACS_peak_23120_lociStitched	chr8	145010061	145028521	4	10406	33028.632
2_MACS_peak_17861_lociStitched	chr5	26872781	26891204	2	18318	42323.1579
6_MACS_peak_1793_lociStitched	chr1	192561014	192579382	6	11254	9979.3344
4_MACS_peak_24243_lociStitched	chrX	13670516	13688711	4	12232	16248.135
3_MACS_peak_15086_lociStitched	chr3	5222882	5241053	3	11057	29386.1412
4_MACS_peak_10570_lociStitched	chr19	1847341	1865493	4	11973	66592.4272
4_MACS_peak_13744_lociStitched	chr20	23329629	23347691	4	11098	43191.6606
5_MACS_peak_4672_lociStitched	chr12	26424017	26442069	5	9866	13502.896
2_MACS_peak_19159_lociStitched	chr6	9387545	9405564	2	14731	25251.8266
3_MACS_peak_10319_lociStitched	chr18	52931365	52949365	3	11816	30092.399999999998
2_MACS_peak_22413_lociStitched	chr8	65480261	65498233	2	14303	109039.7184
4_MACS_peak_6846_lociStitched	chr14	95969291	95987222	4	13541	36462.688500000004
3_MACS_peak_284_lociStitched	chr1	23848736	23866625	3	13774	69318.0861
3_MACS_peak_15635_lociStitched	chr3	69128056	69145936	3	14899	57192.756
1_MACS_peak_658_lociStitched	chr1	51432071	51449937	1	17867	100246.12599999999
3_MACS_peak_7706_lociStitched	chr15	93346691	93364522	3	10991	40139.3641
5_MACS_peak_3622_lociStitched	chr11	59316290	59334105	5	9238	11960.991
4_MACS_peak_10098_lociStitched	chr18	20805636	20823422	4	9819	16476.9504
3_MACS_peak_18021_lociStitched	chr5	53813008	53830774	3	17399	38371.0068
3_MACS_peak_19360_lociStitched	chr6	27790844	27808479	3	11547	43544.342
4_MACS_peak_2176_lociStitched	chr1	233748314	233765893	4	11640	31121.8616
4_MACS_peak_18930_lociStitched	chr5	173160654	173178231	4	11783	33144.948899999996
5_MACS_peak_23843_lociStitched	chr9	123682542	123700075	5	13796	29271.3435
2_MACS_peak_1459_lociStitched	chr1	156083075	156100602	2	15678	43770.1771
3_MACS_peak_19708_lociStitched	chr6	45382549	45400046	3	12880	57565.13
3_MACS_peak_23938_lociStitched	chr9	130531935	130549423	3	9474	31016.716800000002
4_MACS_peak_19002_lociStitched	chr5	177657181	177674644	4	12816	62098.428
4_MACS_peak_5744_lociStitched	chr13	38345844	38363258	4	11556	11453.1878
3_MACS_peak_19164_lociStitched	chr6	10398194	10415480	3	11025	42347.2428
4_MACS_peak_15678_lociStitched	chr3	72303128	72320273	4	10224	19322.415
1_MACS_peak_14996_lociStitched	chr22	46460733	46477855	1	17123	53090.185399999995
1_MACS_peak_12469_lociStitched	chr2	89130710	89147830	1	17121	31288.512
3_MACS_peak_23766_lociStitched	chr9	112904471	112921587	3	16522	25478.8776
2_MACS_peak_20712_lociStitched	chr7	7998334	8015422	2	13166	67526.6496
4_MACS_peak_2621_lociStitched	chr10	45913292	45930363	4	9197	31789.6162
1_MACS_peak_19784_lociStitched	chr6	55529216	55546273	1	17058	33963.8984
3_MACS_peak_5474_lociStitched	chr12	122227796	122244793	3	10584	71027.0636
4_MACS_peak_19152_lociStitched	chr6	9308074	9325070	4	16200	14523.082
4_MACS_peak_4545_lociStitched	chr12	13317786	13334749	4	8393	15590.6933
2_MACS_peak_9360_lociStitched	chr17	43297451	43314321	2	12894	114103.619
3_MACS_peak_10396_lociStitched	chr18	60381625	60398484	3	12890	22967.0157
4_MACS_peak_18273_lociStitched	chr5	86408261	86425096	4	8439	10673.39
3_MACS_peak_15592_lociStitched	chr3	61545704	61562504	3	10186	30596.16
3_MACS_peak_4155_lociStitched	chr11	111305497	111322269	3	13269	40752.6056
4_MACS_peak_9755_lociStitched	chr17	74486399	74503015	4	10119	25769.754399999998
3_MACS_peak_11936_lociStitched	chr2	26979752	26996302	3	10025	22122.385
2_MACS_peak_2194_lociStitched	chr1	234733613	234750154	2	15529	92798.3182
2_MACS_peak_11245_lociStitched	chr19	39888070	39904594	2	13591	78606.32040000001
3_MACS_peak_23003_lociStitched	chr8	134155214	134171708	3	12401	24147.216
3_MACS_peak_24345_lociStitched	chrX	39953219	39969577	3	13190	40517.1302
4_MACS_peak_12610_lociStitched	chr2	111612159	111628499	4	8770	12003.364000000001
4_MACS_peak_20853_lociStitched	chr7	25891042	25907231	4	12103	26161.424000000003
4_MACS_peak_9164_lociStitched	chr17	33401173	33417357	4	10661	27184.2648
6_MACS_peak_4990_lociStitched	chr12	58224924	58241105	6	11406	29381.4598
3_MACS_peak_22932_lociStitched	chr8	126291919	126308087	3	11952	16410.519999999997
2_MACS_peak_16204_lociStitched	chr3	151983997	152000151	2	13937	37690.512800000004
5_MACS_peak_17586_lociStitched	chr4	185367162	185383306	5	11699	15955.1152
3_MACS_peak_19030_lociStitched	chr5	180228469	180244601	3	11842	52112.8128
3_MACS_peak_7484_lociStitched	chr15	75067321	75083408	3	12795	35378.530399999996
3_MACS_peak_16243_lociStitched	chr3	156530316	156546351	3	10604	59135.4765
4_MACS_peak_20249_lociStitched	chr6	128214006	128230018	4	13765	12897.666
4_MACS_peak_9784_lociStitched	chr17	75432958	75448932	4	11715	25569.5818
1_MACS_peak_14841_lociStitched	chr22	38782166	38798124	1	15959	48574.5562
3_MACS_peak_4255_lociStitched	chr11	120368061	120384018	3	8382	26434.3662
3_MACS_peak_4235_lociStitched	chr11	118963716	118979608	3	9799	36031.9316
1_MACS_peak_6102_lociStitched	chr13	104782836	104798725	1	15890	20134.540800000002
3_MACS_peak_1714_lociStitched	chr1	182580408	182596288	3	13540	42648.916000000005
3_MACS_peak_12557_lociStitched	chr2	106405869	106421721	3	11075	22956.8664
2_MACS_peak_21296_lociStitched	chr7	81504341	81520166	2	15684	52276.305
3_MACS_peak_13471_lociStitched	chr2	235390722	235406541	3	11088	14499.695399999999
3_MACS_peak_12251_lociStitched	chr2	65159215	65174940	3	8966	20192.4725
1_MACS_peak_22971_lociStitched	chr8	129275108	129290822	1	15715	99347.0508
2_MACS_peak_19945_lociStitched	chr6	88624817	88640517	2	14609	31415.699999999997
2_MACS_peak_22685_lociStitched	chr8	97620278	97635954	2	12501	41784.378000000004
3_MACS_peak_15471_lociStitched	chr3	50373487	50389136	3	7893	24268.4692
4_MACS_peak_9207_lociStitched	chr17	36570615	36586192	4	10233	38109.1305
2_MACS_peak_10019_lociStitched	chr18	9132934	9148505	2	13846	66128.4799
2_MACS_peak_1408_lociStitched	chr1	154828750	154844295	2	11064	39297.76
1_MACS_peak_3766_lociStitched	chr11	65183245	65198775	1	15531	166751.822
2_MACS_peak_15554_lociStitched	chr3	56804691	56820164	2	11337	24651.583599999998
3_MACS_peak_11368_lociStitched	chr19	45244732	45260187	3	11349	49102.0805
4_MACS_peak_1432_lociStitched	chr1	155210270	155225716	4	7568	24790.829999999998
3_MACS_peak_7063_lociStitched	chr15	31545446	31560852	3	11422	50628.7378
3_MACS_peak_7814_lociStitched	chr16	685139	700543	3	8959	33890.3404
4_MACS_peak_3796_lociStitched	chr11	65654967	65670347	4	10534	28985.148
3_MACS_peak_5496_lociStitched	chr12	123371327	123386703	3	8404	12609.857600000001
4_MACS_peak_8890_lociStitched	chr17	8088781	8104155	4	10092	21705.013199999998
4_MACS_peak_6303_lociStitched	chr14	33161551	33176906	4	7643	6839.117
2_MACS_peak_10264_lociStitched	chr18	46447936	46463243	2	15293	57369.1053
3_MACS_peak_7675_lociStitched	chr15	90721767	90736968	3	8591	27022.8177
2_MACS_peak_16348_lociStitched	chr3	171811753	171826948	2	13289	18727.837499999998
4_MACS_peak_18850_lociStitched	chr5	158758393	158773541	4	5452	4167.2148
4_MACS_peak_10964_lociStitched	chr19	16993879	17009001	4	8159	14319.021799999999
2_MACS_peak_18462_lociStitched	chr5	118663598	118678685	2	11563	20361.4152
1_MACS_peak_17897_lociStitched	chr5	32529368	32544452	1	15085	44800.9884
3_MACS_peak_23997_lociStitched	chr9	132244200	132259250	3	8132	25914.595
4_MACS_peak_16799_lociStitched	chr4	38307327	38322343	4	9347	14951.4312
3_MACS_peak_1888_lociStitched	chr1	203266507	203281502	3	11500	59384.698500000006
3_MACS_peak_12806_lociStitched	chr2	145267596	145282582	3	9758	30487.518400000004
3_MACS_peak_18907_lociStitched	chr5	171601103	171616039	3	9262	22958.1256
4_MACS_peak_20059_lociStitched	chr6	106037978	106052900	4	8962	15429.348
3_MACS_peak_4666_lociStitched	chr12	26265779	26280681	3	10208	35407.152
2_MACS_peak_13487_lociStitched	chr2	238599477	238614359	2	14360	33137.7494
3_MACS_peak_12508_lociStitched	chr2	97190571	97205447	3	10760	42343.0464
4_MACS_peak_19922_lociStitched	chr6	85284190	85299056	4	7778	13056.807799999999
6_MACS_peak_20034_lociStitched	chr6	103180454	103195305	6	12016	9540.2824
1_MACS_peak_13175_lociStitched	chr2	201980137	201994974	1	14838	70848.1587
3_MACS_peak_14629_lociStitched	chr22	24177466	24192301	3	12560	31975.359000000004
3_MACS_peak_362_lociStitched	chr1	27152358	27167170	3	9096	21472.9564
3_MACS_peak_11461_lociStitched	chr19	48823108	48837911	3	12094	49709.9543
4_MACS_peak_441_lociStitched	chr1	33445292	33459983	4	11614	18341.713499999998
3_MACS_peak_20808_lociStitched	chr7	22474341	22489022	3	10447	28419.4798
3_MACS_peak_20824_lociStitched	chr7	23040054	23054733	3	9944	17125.9893
1_MACS_peak_17968_lociStitched	chr5	40675806	40690481	1	14676	84648.335
4_MACS_peak_12412_lociStitched	chr2	86079388	86094028	4	10598	14945.975999999999
6_MACS_peak_4590_lociStitched	chr12	16935101	16949709	6	9081	8395.2176
3_MACS_peak_10544_lociStitched	chr19	1236939	1251526	3	9352	28713.050799999997
3_MACS_peak_1534_lociStitched	chr1	161122805	161137379	3	6861	34247.442599999995
2_MACS_peak_21208_lociStitched	chr7	74062898	74077461	2	10284	58993.256700000005
4_MACS_peak_9175_lociStitched	chr17	34409314	34423843	4	6854	11217.8409
3_MACS_peak_17781_lociStitched	chr5	14663135	14677641	3	9250	26422.679
1_MACS_peak_4534_lociStitched	chr12	12866167	12880672	1	14506	99466.587
3_MACS_peak_18799_lociStitched	chr5	151124539	151139044	3	10080	23350.148999999998
5_MACS_peak_20722_lociStitched	chr7	9221981	9236461	5	9225	9716.08
2_MACS_peak_1181_lociStitched	chr1	119501084	119515532	2	14434	24161.3904
3_MACS_peak_17757_lociStitched	chr5	10594833	10609268	3	9909	18563.41
3_MACS_peak_19293_lociStitched	chr6	26020465	26034887	3	10484	31576.968999999997
4_MACS_peak_20087_lociStitched	chr6	106959389	106973790	4	8662	16749.8031
3_MACS_peak_22385_lociStitched	chr8	61815486	61829881	3	8897	23953.28
3_MACS_peak_7978_lociStitched	chr16	10962255	10976637	3	11386	38277.693
2_MACS_peak_14190_lociStitched	chr20	62358677	62373011	2	10514	36669.2388
2_MACS_peak_18975_lociStitched	chr5	176726292	176740610	2	10807	39075.2538
4_MACS_peak_7146_lociStitched	chr15	40336799	40351106	4	8371	19941.0966
3_MACS_peak_11279_lociStitched	chr19	41106713	41121013	3	9757	14094.08
4_MACS_peak_10783_lociStitched	chr19	10521788	10536085	4	11456	24016.100599999998
2_MACS_peak_4801_lociStitched	chr12	48200773	48215064	2	12639	44326.394700000004
4_MACS_peak_4580_lociStitched	chr12	16751578	16765859	4	10397	10202.3464
6_MACS_peak_20566_lociStitched	chr6	167034244	167048516	6	8147	14039.3664
4_MACS_peak_22230_lociStitched	chr8	37748283	37762514	4	7359	11445.9933
5_MACS_peak_3401_lociStitched	chr11	12257447	12271666	5	5356	4759.0993
3_MACS_peak_5567_lociStitched	chr12	129301680	129315877	3	7537	13898.863
3_MACS_peak_24037_lociStitched	chr9	134601531	134615724	3	13420	37343.2023
3_MACS_peak_7249_lociStitched	chr15	46994477	47008665	3	7922	11841.3048
5_MACS_peak_18934_lociStitched	chr5	173209068	173223242	5	11289	23307.7256
3_MACS_peak_19759_lociStitched	chr6	52410437	52424601	3	12217	20969.802
7_MACS_peak_5919_lociStitched	chr13	66215503	66229602	7	13039	7644.477800000001
3_MACS_peak_9369_lociStitched	chr17	43517158	43531249	3	6571	6969.4086
2_MACS_peak_22628_lociStitched	chr8	93102158	93116221	2	10204	16043.0704
2_MACS_peak_22423_lociStitched	chr8	66741613	66755668	2	11753	39791.1105
4_MACS_peak_13437_lociStitched	chr2	232526218	232540244	4	8100	23730.5894
4_MACS_peak_21972_lociStitched	chr8	11296477	11310496	4	6473	5422.5491999999995
3_MACS_peak_5393_lociStitched	chr12	116989267	117003269	3	7217	17601.914200000003
3_MACS_peak_24191_lociStitched	chrX	7025927	7039927	3	10753	11862.2
3_MACS_peak_11749_lociStitched	chr2	1369933	1383901	3	11401	27565.848
2_MACS_peak_15081_lociStitched	chr3	5017727	5031612	2	12718	69344.467
2_MACS_peak_13769_lociStitched	chr20	25268697	25282571	2	9539	23610.7732
5_MACS_peak_4419_lociStitched	chr12	4250152	4264025	5	9795	11015.162
3_MACS_peak_13968_lociStitched	chr20	43587522	43601339	3	9464	17040.506100000002
3_MACS_peak_15645_lociStitched	chr3	69787455	69801257	3	6770	9646.2178
2_MACS_peak_17889_lociStitched	chr5	32205882	32219678	2	10769	48054.2272
3_MACS_peak_23156_lociStitched	chr8	146011359	146025114	3	7615	27851.124
1_MACS_peak_4492_lociStitched	chr12	9873478	9887185	1	13708	30030.6663
3_MACS_peak_18911_lociStitched	chr5	172191599	172205302	3	6641	25036.7513
6_MACS_peak_14470_lociStitched	chr21	45626561	45640230	6	5336	4011.8514999999998
4_MACS_peak_13977_lociStitched	chr20	43989230	44002882	4	6477	13665.651999999998
4_MACS_peak_22803_lociStitched	chr8	107669022	107682658	4	10173	22555.3076
3_MACS_peak_1957_lociStitched	chr1	208033631	208047263	3	7350	18632.2176
3_MACS_peak_12292_lociStitched	chr2	68941593	68955225	3	6253	9346.0992
2_MACS_peak_8569_lociStitched	chr16	80612681	80626312	2	9794	22605.650400000002
4_MACS_peak_24879_lociStitched	chrX	153595395	153608997	4	10625	36016.7358
3_MACS_peak_21769_lociStitched	chr7	141250048	141263615	3	8321	17512.2836
4_MACS_peak_554_lociStitched	chr1	42126820	42140386	4	11204	16920.8718
3_MACS_peak_9138_lociStitched	chr17	31312422	31325963	3	7899	7788.783200000001
4_MACS_peak_20598_lociStitched	chr7	552776	566293	4	9651	12616.7678
2_MACS_peak_23017_lociStitched	chr8	134695725	134709241	2	12681	47261.3972
2_MACS_peak_14642_lociStitched	chr22	24819569	24833082	2	13461	52753.400700000006
3_MACS_peak_16500_lociStitched	chr3	190651606	190665078	3	12590	13497.5968
2_MACS_peak_2111_lociStitched	chr1	226839055	226852520	2	11151	29516.6265
2_MACS_peak_1483_lociStitched	chr1	156709721	156723183	2	11019	69626.8102
3_MACS_peak_7969_lociStitched	chr16	10830707	10844166	3	5737	14483.2299
3_MACS_peak_10584_lociStitched	chr19	2049352	2062781	3	7406	38334.4234
3_MACS_peak_13532_lociStitched	chr2	241496313	241509740	3	10579	39562.6555
3_MACS_peak_14072_lociStitched	chr20	52345456	52358869	3	9175	20098.0392
2_MACS_peak_17042_lociStitched	chr4	79686959	79700357	2	9395	36092.872200000005
2_MACS_peak_10371_lociStitched	chr18	56315232	56328606	2	12852	31547.928600000003
4_MACS_peak_21968_lociStitched	chr8	11275482	11288849	4	5399	6835.8838
2_MACS_peak_16390_lociStitched	chr3	178422292	178435639	2	12549	31211.959499999997
3_MACS_peak_18977_lociStitched	chr5	176777431	176790762	3	5813	23726.5138
2_MACS_peak_22972_lociStitched	chr8	129323467	129336798	2	13324	20172.4692
4_MACS_peak_8884_lociStitched	chr17	8053684	8067011	4	8070	22586.5996
6_MACS_peak_3265_lociStitched	chr11	307945	321241	6	8588	17484.239999999998
3_MACS_peak_615_lociStitched	chr1	45273036	45286327	3	6990	8183.2687000000005
2_MACS_peak_8814_lociStitched	chr17	4841910	4855178	2	10339	72570.6528
2_MACS_peak_17645_lociStitched	chr5	390518	403758	2	12079	32338.699999999997
2_MACS_peak_19466_lociStitched	chr6	31696469	31709707	2	10337	80878.8848
1_MACS_peak_1167_lociStitched	chr1	118147646	118160866	1	13221	33847.166
2_MACS_peak_15154_lociStitched	chr3	13049205	13062388	2	12076	64735.1215
2_MACS_peak_13880_lociStitched	chr20	34677443	34690621	2	11813	28286.577
3_MACS_peak_23150_lociStitched	chr8	145741981	145755159	3	7092	39225.6348
2_MACS_peak_948_lociStitched	chr1	92941313	92954485	2	8827	43914.1308
1_MACS_peak_1231_lociStitched	chr1	144925886	144939055	1	13170	32562.9863
4_MACS_peak_11793_lociStitched	chr2	8653739	8666900	4	7731	9264.0279
3_MACS_peak_7988_lociStitched	chr16	11187210	11200364	3	6099	10218.0272
3_MACS_peak_6257_lociStitched	chr14	24604561	24617714	3	7615	20418.7172
3_MACS_peak_19251_lociStitched	chr6	20201186	20214330	3	7945	16757.2856
2_MACS_peak_20858_lociStitched	chr7	25979491	25992614	2	9960	77282.6593
3_MACS_peak_10089_lociStitched	chr18	19315103	19328170	3	6258	20647.1667
1_MACS_peak_9416_lociStitched	chr17	46123559	46136608	1	13050	71953.4909
3_MACS_peak_8797_lociStitched	chr17	4267849	4280894	3	7518	20025.3795
2_MACS_peak_4997_lociStitched	chr12	58286351	58299394	2	8833	32741.8429
3_MACS_peak_8471_lociStitched	chr16	70461005	70474048	3	10411	34917.4153
4_MACS_peak_3751_lociStitched	chr11	64877777	64890811	4	8063	22563.1574
2_MACS_peak_18943_lociStitched	chr5	173310262	173323259	2	12872	28056.623900000002
3_MACS_peak_20523_lociStitched	chr6	159453800	159466796	3	9363	10781.4816
4_MACS_peak_8344_lociStitched	chr16	57823954	57836939	4	8275	15106.749
3_MACS_peak_10891_lociStitched	chr19	13948880	13961855	3	10218	68750.6325
4_MACS_peak_4303_lociStitched	chr11	126056035	126068977	4	10586	31313.169
2_MACS_peak_7151_lociStitched	chr15	40389122	40402053	2	11748	32301.638000000003
1_MACS_peak_358_lociStitched	chr1	27018386	27031277	1	12892	87741.3024
2_MACS_peak_21171_lociStitched	chr7	71865303	71878166	2	10049	40118.4107
4_MACS_peak_19506_lociStitched	chr6	32647229	32660090	4	6893	8342.9307
2_MACS_peak_4253_lociStitched	chr11	120203552	120216405	2	12703	31127.3954
1_MACS_peak_16202_lociStitched	chr3	151910885	151923722	1	12838	31157.9664
4_MACS_peak_16512_lociStitched	chr3	192604551	192617347	4	5607	4551.5372
3_MACS_peak_8104_lociStitched	chr16	22199424	22212209	3	11195	24245.474000000002
3_MACS_peak_19528_lociStitched	chr6	33279634	33292391	3	8760	38660.0885
2_MACS_peak_16241_lociStitched	chr3	156391335	156404067	2	10078	23559.2928
3_MACS_peak_13832_lociStitched	chr20	32250405	32263130	3	7429	22672.1325
2_MACS_peak_24861_lociStitched	chrX	153188760	153201485	2	8804	60009.82750000001
2_MACS_peak_9802_lociStitched	chr17	76116523	76129242	2	8544	34136.5241
2_MACS_peak_5187_lociStitched	chr12	94541079	94553783	2	8528	39539.9296
