REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
2_MACS_peak_21293_lociStitched	chr7	81416232	81443005	2	24126	109889.7785	21	1		HGF	HGF	21	1
6_MACS_peak_18056_lociStitched	chr5	55436523	55472015	6	25861	52932.7688	22	1	ANKRD55		ANKRD55	22	1
2_MACS_peak_20075_lociStitched	chr6	106531126	106556312	2	25160	58018.4696	23	1	PRDM1		PRDM1	23	1
3_MACS_peak_8181_lociStitched	chr16	29815276	29833825	3	16042	135463.347	24	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	24	1
3_MACS_peak_6697_lociStitched	chr14	77487685	77510926	3	21845	87086.3511	25	1	C14orf4		C14orf4	25	1
1_MACS_peak_10481_lociStitched	chr18	72917297	72926554	1	9258	153086.7118	26	1	TSHZ1,ZADH2		ZADH2	26	1
2_MACS_peak_7357_lociStitched	chr15	60859879	60885548	2	23624	54672.4031	28	1	RORA		RORA	28	1
5_MACS_peak_4615_lociStitched	chr12	18394385	18424368	5	24721	27692.2988	29	1	PIK3C2G		PIK3C2G	29	1
3_MACS_peak_17122_lociStitched	chr4	90205541	90229943	3	23595	45629.2998	30	1	GPRIN3		GPRIN3	30	1
5_MACS_peak_1194_lociStitched	chr1	120657707	120688650	5	23001	53200.2999	31	1		NOTCH2	NOTCH2	31	1
4_MACS_peak_9512_lociStitched	chr17	56401514	56424263	4	18679	98237.0067	32	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	32	1
1_MACS_peak_1477_lociStitched	chr1	156457112	156476240	1	19129	92583.3456	33	1	MEF2D		MEF2D	33	1
1_MACS_peak_14064_lociStitched	chr20	52194841	52214759	1	19919	83697.4278	34	1	ZNF217		ZNF217	34	1
2_MACS_peak_19137_lociStitched	chr6	7895372	7918981	2	21764	62169.5797	35	1	MUTED-TXNDC5,TXNDC5		TXNDC5	35	1
1_MACS_peak_658_lociStitched	chr1	51432071	51449937	1	17867	100246.126	36	1	CDKN2C	FAF1	CDKN2C	36	1
3_MACS_peak_1234_lociStitched	chr1	145137897	145161658	3	19829	83947.613	37	1		SEC22B,NOTCH2NL	SEC22B	37	1
1_MACS_peak_2458_lociStitched	chr10	22595462	22616287	1	20826	68493.425	38	1	COMMD3,BMI1	SPAG6	COMMD3	38	1
6_MACS_peak_17140_lociStitched	chr4	96443397	96472167	6	22747	26583.48	39	1	UNC5C		UNC5C	39	1
7_MACS_peak_6576_lociStitched	chr14	68772281	68811198	7	22591	30911.7731	40	1	RAD51L1		ZFP36L1	40	1
7_MACS_peak_10851_lociStitched	chr19	12885748	12918278	7	17397	96165.186	41	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	41	1
3_MACS_peak_3672_lociStitched	chr11	62306422	62328528	3	18908	83140.666	42	1	AHNAK,EEF1G	TUT1,MTA2	AHNAK	42	1
3_MACS_peak_7781_lociStitched	chr15	101782368	101807594	3	20363	66811.061	43	1	CHSY1	SELS,SNRPA1	CHSY1	43	1
5_MACS_peak_16148_lociStitched	chr3	143539049	143571028	5	21806	39561.2209	44	1	SLC9A9		SLC9A9	44	1
2_MACS_peak_22413_lociStitched	chr8	65480261	65498233	2	14303	109039.7184	45	1	BHLHE22,LOC401463		LOC401463	45	1
3_MACS_peak_318_lociStitched	chr1	25344473	25364543	3	18565	78686.442	46	1			RUNX3	46	1
1_MACS_peak_22971_lociStitched	chr8	129275108	129290822	1	15715	99347.0508	47	1			MIR1208	47	1
2_MACS_peak_9360_lociStitched	chr17	43297451	43314321	2	12894	114103.619	48	1	FMNL1	LOC100133991,C17orf46	FMNL1	48	1
5_MACS_peak_12531_lociStitched	chr2	99075444	99106220	5	21509	31733.1336	49	1	INPP4A		INPP4A	49	1
6_MACS_peak_20895_lociStitched	chr7	29694677	29726554	6	20082	58290.2822	50	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	50	1
4_MACS_peak_19472_lociStitched	chr6	31781285	31805776	4	17293	85696.4581	51	1	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	51	1
3_MACS_peak_20774_lociStitched	chr7	19135610	19157873	3	20618	42684.8499	52	1	TWIST1	FERD3L	TWIST1	52	1
7_MACS_peak_21942_lociStitched	chr8	9754362	9777360	7	21240	25679.5668	53	1	LOC157627,MIR124-1		MIR124-1	53	1
1_MACS_peak_21292_lociStitched	chr7	81392242	81410909	1	18668	68832.6958	54	1	HGF		HGF	54	1
1_MACS_peak_4534_lociStitched	chr12	12866167	12880672	1	14506	99466.587	55	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	55	1
2_MACS_peak_2194_lociStitched	chr1	234733613	234750154	2	15529	92798.3182	56	1	IRF2BP2	NCRNA00184	IRF2BP2	56	1
4_MACS_peak_19743_lociStitched	chr6	52147244	52173427	4	19195	56055.1847	57	1	MCM3	IL17F	MCM3	57	1
4_MACS_peak_21273_lociStitched	chr7	78102900	78128350	4	20178	33031.555	58	1	MAGI2		RPL13AP17	58	1
4_MACS_peak_11300_lociStitched	chr19	42035752	42062791	4	19339	45593.1618	59	1		CEACAM21	CEACAM21	59	1
1_MACS_peak_10408_lociStitched	chr18	60820802	60832202	1	11401	108618.06	60	1	BCL2		BCL2	60	1
4_MACS_peak_20970_lociStitched	chr7	38383845	38408334	4	19391	41183.1513	62	1			TARP	62	1
3_MACS_peak_19337_lociStitched	chr6	27093850	27115926	3	18051	57980.4064	63	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	63	1
2_MACS_peak_19787_lociStitched	chr6	55733259	55754542	2	19640	25933.3355	64	1	BMP5		BMP5	64	1
2_MACS_peak_1836_lociStitched	chr1	198887904	198907559	2	19516	25408.0185	65	1			MIR181A1	65	1
1_MACS_peak_1418_lociStitched	chr1	154970255	154980043	1	9789	109625.6	66	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	66	1
1_MACS_peak_17968_lociStitched	chr5	40675806	40690481	1	14676	84648.335	67	1	PTGER4		PTGER4	67	1
2_MACS_peak_17861_lociStitched	chr5	26872781	26891204	2	18318	42323.1579	68	1	CDH9		CDH9	68	1
6_MACS_peak_7972_lociStitched	chr16	10905778	10939078	6	18819	32001.3	69	1	FAM18A	CIITA	FAM18A	69	1
3_MACS_peak_12789_lociStitched	chr2	142874341	142897517	3	18904	27264.2464	70	1	LRP1B		LRP1B	70	1
4_MACS_peak_13316_lociStitched	chr2	219741437	219763257	4	17592	47353.764	71	1	WNT10A	WNT6,PRKAG3	WNT10A	71	1
1_MACS_peak_14996_lociStitched	chr22	46460733	46477855	1	17123	53090.1854	72	1		LOC150381,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,LOC100271722,C22orf26	LOC400931	72	1
1_MACS_peak_358_lociStitched	chr1	27018386	27031277	1	12892	87741.3024	73	1	ARID1A		ARID1A	73	1
2_MACS_peak_2613_lociStitched	chr10	45453922	45475116	2	16775	54858.5496	74	1	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	74	1
6_MACS_peak_4339_lociStitched	chr11	128584454	128605280	6	17812	37969.9632	75	1	FLI1		FLI1	75	1
1_MACS_peak_13175_lociStitched	chr2	201980137	201994974	1	14838	70848.1587	77	1	CFLAR	NDUFB3,FAM126B	CFLAR	77	1
7_MACS_peak_9689_lociStitched	chr17	72732675	72757325	7	17915	29069.745	78	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	78	1
3_MACS_peak_10013_lociStitched	chr18	9054804	9074841	3	15719	61579.7121	79	1		NDUFV2	NDUFV2	79	1
3_MACS_peak_18021_lociStitched	chr5	53813008	53830774	3	17399	38371.0068	80	1	SNX18		SNX18	80	1
2_MACS_peak_11245_lociStitched	chr19	39888070	39904594	2	13591	78606.3204	81	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	81	1
1_MACS_peak_19517_lociStitched	chr6	32934306	32943036	1	8731	102037.986	82	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	82	1
4_MACS_peak_11665_lociStitched	chr19	56145570	56170491	4	14957	63022.7169	83	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	83	1
1_MACS_peak_19784_lociStitched	chr6	55529216	55546273	1	17058	33963.8984	84	1			HMGCLL1	84	1
4_MACS_peak_21110_lociStitched	chr7	55623077	55642753	4	15517	56357.9668	85	1	VOPP1		VOPP1	85	1
1_MACS_peak_12469_lociStitched	chr2	89130710	89147830	1	17121	31288.512	86	1			ANKRD36BP2	86	1
2_MACS_peak_10264_lociStitched	chr18	46447936	46463243	2	15293	57369.1053	87	1	SMAD7		SMAD7	87	1
2_MACS_peak_21296_lociStitched	chr7	81504341	81520166	2	15684	52276.305	88	1			HGF	88	1
1_MACS_peak_14841_lociStitched	chr22	38782166	38798124	1	15959	48574.5562	89	1	LOC400927	KCNJ4	LOC400927	89	1
1_MACS_peak_20867_lociStitched	chr7	26190888	26200516	1	9629	94269.6736	90	1	NFE2L3	CBX3,HNRNPA2B1	NFE2L3	90	1
1_MACS_peak_23014_lociStitched	chr8	134577012	134587272	1	10261	91109.826	91	1	ST3GAL1		ST3GAL1	91	1
3_MACS_peak_284_lociStitched	chr1	23848736	23866625	3	13774	69318.0861	92	1	E2F2	ASAP3,ID3	E2F2	92	1
4_MACS_peak_18040_lociStitched	chr5	55272205	55292664	4	15631	50863.1199	93	1	IL6ST		IL6ST	93	1
3_MACS_peak_1935_lociStitched	chr1	206728300	206749925	3	15449	51270.7125	94	1	RASSF5	LGTN	RASSF5	94	1
5_MACS_peak_3771_lociStitched	chr11	65253917	65278565	5	14271	63485.8536	95	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	95	1
3_MACS_peak_15635_lociStitched	chr3	69128056	69145936	3	14899	57192.756	96	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	96	1
6_MACS_peak_3715_lociStitched	chr11	63992693	64020370	6	15245	53236.7095	97	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	97	1
2_MACS_peak_10019_lociStitched	chr18	9132934	9148505	2	13846	66128.4799	99	1	NDUFV2,ANKRD12		ANKRD12	99	1
1_MACS_peak_9416_lociStitched	chr17	46123559	46136608	1	13050	71953.4909	100	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	100	1
4_MACS_peak_2181_lociStitched	chr1	233790525	233812904	4	16462	32715.8601	101	1	KCNK1		KCNK1	101	1
6_MACS_peak_14460_lociStitched	chr21	45552550	45580344	6	16347	34178.2818	102	1	C21orf33	PWP2	C21orf33	102	1
4_MACS_peak_1598_lociStitched	chr1	167506931	167526575	4	15872	41348.6556	103	1	CREG1	CD247	CREG1	103	1
2_MACS_peak_1459_lociStitched	chr1	156083075	156100602	2	15678	43770.1771	104	1	LMNA	SEMA4A,MEX3A	LMNA	104	1
3_MACS_peak_23766_lociStitched	chr9	112904471	112921587	3	16522	25478.8776	105	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	105	1
1_MACS_peak_20835_lociStitched	chr7	23504851	23516768	1	11918	76721.646	106	1	IGF2BP3	RPS2P32	IGF2BP3	106	1
2_MACS_peak_20712_lociStitched	chr7	7998334	8015422	2	13166	67526.6496	107	1	GLCCI1		GLCCI1	107	1
4_MACS_peak_19303_lociStitched	chr6	26183863	26207825	4	14570	54060.6682	108	1	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	108	1
2_MACS_peak_15081_lociStitched	chr3	5017727	5031612	2	12718	69344.467	109	1	BHLHE40		BHLHE40	109	1
1_MACS_peak_17897_lociStitched	chr5	32529368	32544452	1	15085	44800.9884	110	1		SUB1	SUB1	110	1
1_MACS_peak_1891_lociStitched	chr1	203288071	203298225	1	10155	83387.6942	111	1		BTG2,LOC730227,FMOD	BTG2	111	1
1_MACS_peak_20860_lociStitched	chr7	26001004	26011342	1	10339	81180.1788	112	1		MIR148A	MIR148A	112	1
2_MACS_peak_19466_lociStitched	chr6	31696469	31709707	2	10337	80878.8848	113	1	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	113	1
4_MACS_peak_19002_lociStitched	chr5	177657181	177674644	4	12816	62098.428	116	1	AGXT2L2,COL23A1	HNRNPAB,GMCL1L	AGXT2L2	116	1
6_MACS_peak_22043_lociStitched	chr8	18585020	18614532	6	15395	27918.352	117	1	PSD3		PSD3	117	1
4_MACS_peak_7067_lociStitched	chr15	31635553	31660698	4	15384	26726.6205	118	1	KLF13		KLF13	118	1
3_MACS_peak_9258_lociStitched	chr17	38462649	38484039	3	14726	38705.205	119	1	RARA	CDC6,RARA,GJD3	RARA	119	1
4_MACS_peak_16249_lociStitched	chr3	156798823	156824161	4	13802	50412.4848	120	1	LOC100498859,LOC339894		LOC100498859	120	1
4_MACS_peak_10570_lociStitched	chr19	1847341	1865493	4	11973	66592.4272	121	1	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	121	1
5_MACS_peak_6211_lociStitched	chr14	23018169	23039465	5	15192	29007.2816	122	1	DAD1	ABHD4	DAD1	122	1
2_MACS_peak_14642_lociStitched	chr22	24819569	24833082	2	13461	52753.4007	123	1	ADORA2A,C22orf45		ADORA2A	123	1
2_MACS_peak_15154_lociStitched	chr3	13049205	13062388	2	12076	64735.1215	124	1	IQSEC1	IQSEC1	IQSEC1	124	1
3_MACS_peak_19708_lociStitched	chr6	45382549	45400046	3	12880	57565.13	125	1	RUNX2	SUPT3H	RUNX2	125	1
2_MACS_peak_20858_lociStitched	chr7	25979491	25992614	2	9960	77282.6593	126	1	MIR148A		MIR148A	126	1
3_MACS_peak_23146_lociStitched	chr8	145686379	145705439	3	12542	59897.956	127	1	KIFC2,CYHR1,FOXH1	PPP1R16A,GPT,MFSD3,LRRC14,SLC39A4,VPS28,TONSL,RECQL4,LRRC24,MGC70857	KIFC2	127	1
2_MACS_peak_1483_lociStitched	chr1	156709721	156723183	2	11019	69626.8102	128	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	HDGF	128	1
2_MACS_peak_14008_lociStitched	chr20	45978446	45990176	2	11666	64480.983	129	1	ZMYND8	LOC100131496	ZMYND8	129	1
2_MACS_peak_19945_lociStitched	chr6	88624817	88640517	2	14609	31415.7	130	1			SPACA1	130	1
1_MACS_peak_17668_lociStitched	chr5	1310996	1320617	1	9622	76609.1367	131	1	CLPTM1L	TERT	TERT	131	1
2_MACS_peak_8814_lociStitched	chr17	4841910	4855178	2	10339	72570.6528	132	1	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	132	1
3_MACS_peak_5474_lociStitched	chr12	122227796	122244793	3	10584	71027.0636	133	1	SETD1B,RHOF,LOC338799		RHOF	133	1
1_MACS_peak_12071_lociStitched	chr2	43444614	43456957	1	12344	57270.2857	134	1	LOC100129726,ZFP36L2		ZFP36L2	134	1
2_MACS_peak_13487_lociStitched	chr2	238599477	238614359	2	14360	33137.7494	135	1	LRRFIP1		LRRFIP1	135	1
2_MACS_peak_19159_lociStitched	chr6	9387545	9405564	2	14731	25251.8266	136	1			HULC	136	1
2_MACS_peak_16204_lociStitched	chr3	151983997	152000151	2	13937	37690.5128	138	1	MBNL1,LOC401093	MBNL1	LOC401093	138	1
3_MACS_peak_1714_lociStitched	chr1	182580408	182596288	3	13540	42648.916	139	1	LOC284648	RNASEL,RGS16,RGS8	LOC284648	139	1
3_MACS_peak_3918_lociStitched	chr11	72850283	72869793	3	13149	47182.984	140	1	FCHSD2		FCHSD2	140	1
1_MACS_peak_1239_lociStitched	chr1	145206777	145214477	1	7701	81436.74	141	1	NOTCH2NL		NOTCH2NL	141	1
1_MACS_peak_4154_lociStitched	chr11	111282553	111294867	1	12315	53719.825	142	1		POU2AF1	POU2AF1	142	1
2_MACS_peak_6596_lociStitched	chr14	69279675	69292113	2	12214	54066.7422	144	1		ZFP36L1,C14orf181	C14orf181	144	1
3_MACS_peak_10891_lociStitched	chr19	13948880	13961855	3	10218	68750.6325	145	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	145	1
3_MACS_peak_1888_lociStitched	chr1	203266507	203281502	3	11500	59384.6985	147	1	BTG2,LOC730227	FMOD	LOC730227	147	1
3_MACS_peak_4155_lociStitched	chr11	111305497	111322269	3	13269	40752.6056	148	1			POU2AF1	148	1
4_MACS_peak_12238_lociStitched	chr2	64862792	64882346	4	13963	29690.7936	149	1	SERTAD2	LOC339807	SERTAD2	149	1
4_MACS_peak_6846_lociStitched	chr14	95969291	95987222	4	13541	36462.6885	150	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	150	1
2_MACS_peak_23017_lociStitched	chr8	134695725	134709241	2	12681	47261.3972	151	1			ST3GAL1	151	1
3_MACS_peak_24037_lociStitched	chr9	134601531	134615724	3	13420	37343.2023	152	1	RAPGEF1	RAPGEF1	RAPGEF1	152	1
3_MACS_peak_24345_lociStitched	chrX	39953219	39969577	3	13190	40517.1302	153	1	BCOR		BCOR	153	1
5_MACS_peak_23843_lociStitched	chr9	123682542	123700075	5	13796	29271.3435	154	1	TRAF1	PHF19,TRAF1	TRAF1	154	1
2_MACS_peak_1452_lociStitched	chr1	155944700	155954185	2	9058	72399.9535	155	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	155	1
1_MACS_peak_4492_lociStitched	chr12	9873478	9887185	1	13708	30030.6663	156	1	CLECL1	CD69	CLECL1	156	1
4_MACS_peak_3734_lociStitched	chr11	64617941	64638019	4	13093	39517.5196	157	1	EHD1	MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2,ATG2A	CDC42BPG	157	1
2_MACS_peak_4801_lociStitched	chr12	48200773	48215064	2	12639	44326.3947	158	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	158	1
3_MACS_peak_19030_lociStitched	chr5	180228469	180244601	3	11842	52112.8128	159	1	MGAT1	LOC729678,ZFP62	MGAT1	159	1
3_MACS_peak_11461_lociStitched	chr19	48823108	48837911	3	12094	49709.9543	160	1	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	160	1
6_MACS_peak_176_lociStitched	chr1	12202770	12228946	6	13331	32764.4992	161	1	TNFRSF8,TNFRSF1B		TNFRSF1B	161	1
1_MACS_peak_1167_lociStitched	chr1	118147646	118160866	1	13221	33847.166	162	1	FAM46C		FAM46C	162	1
1_MACS_peak_3610_lociStitched	chr11	58339338	58348903	1	9566	66464.3155	164	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	164	1
1_MACS_peak_1231_lociStitched	chr1	144925886	144939055	1	13170	32562.9863	165	1	PDE4DIP		PDE4DIP	165	1
2_MACS_peak_22685_lociStitched	chr8	97620278	97635954	2	12501	41784.378	166	1	SDC2	PGCP	PGCP	166	1
3_MACS_peak_16243_lociStitched	chr3	156530316	156546351	3	10604	59135.4765	167	1	LEKR1	PA2G4P4	LEKR1	167	1
1_MACS_peak_19060_lociStitched	chr6	388893	401112	1	12220	44364.7452	168	1	IRF4		IRF4	168	1
7_MACS_peak_8391_lociStitched	chr16	67192460	67218878	7	13168	31284.1956	169	1	FBXL8,HSF4,NOL3,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,B3GNT9,MIR328,LRRC29	NOL3	169	1
4_MACS_peak_9671_lociStitched	chr17	70581453	70601457	4	13137	31456.29	170	1	LOC100499467,FLJ26484		LOC100499467	170	1
3_MACS_peak_7484_lociStitched	chr15	75067321	75083408	3	12795	35378.5304	171	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	171	1
3_MACS_peak_7063_lociStitched	chr15	31545446	31560852	3	11422	50628.7378	172	1			KLF13	172	1
2_MACS_peak_2459_lociStitched	chr10	22621555	22634106	2	11575	48947.6449	174	1		COMMD3,BMI1,SPAG6	SPAG6	174	1
2_MACS_peak_315_lociStitched	chr1	25247182	25259519	2	10377	58808.0116	175	1	RUNX3		RUNX3	175	1
2_MACS_peak_21208_lociStitched	chr7	74062898	74077461	2	10284	58993.2567	176	1	GTF2I		GTF2I	176	1
2_MACS_peak_10371_lociStitched	chr18	56315232	56328606	2	12852	31547.9286	177	1		MALT1,ALPK2	MALT1	177	1
1_MACS_peak_20868_lociStitched	chr7	26236699	26244418	1	7720	72620.352	178	1	CBX3,HNRNPA2B1	NFE2L3	HNRNPA2B1	178	1
1_MACS_peak_16202_lociStitched	chr3	151910885	151923722	1	12838	31157.9664	180	1			MBNL1	180	1
3_MACS_peak_11368_lociStitched	chr19	45244732	45260187	3	11349	49102.0805	181	1	BCL3	CEACAM16,CBLC	BCL3	181	1
2_MACS_peak_22773_lociStitched	chr8	103816742	103827347	2	10237	58169.4855	182	1		AZIN1	AZIN1	182	1
4_MACS_peak_331_lociStitched	chr1	25869623	25889760	4	12880	30030.3081	183	1	LDLRAP1		LDLRAP1	183	1
2_MACS_peak_6594_lociStitched	chr14	69252476	69264250	2	10340	56645.8914	185	1	ZFP36L1,C14orf181		ZFP36L1	185	1
2_MACS_peak_4253_lociStitched	chr11	120203552	120216405	2	12703	31127.3954	186	1	TMEM136,ARHGEF12		ARHGEF12	186	1
1_MACS_peak_5308_lociStitched	chr12	108953371	108966027	1	12657	31789.3408	188	1	ISCU,SART3	FICD,TMEM119	ISCU	188	1
2_MACS_peak_18943_lociStitched	chr5	173310262	173323259	2	12872	28056.6239	189	1	CPEB4		CPEB4	189	1
1_MACS_peak_5285_lociStitched	chr12	106528004	106539998	1	11995	40792.7934	190	1	NUAK1		NUAK1	190	1
1_MACS_peak_17644_lociStitched	chr5	368036	376717	1	8682	66475.6256	191	1	AHRR	LOC100310782	LOC100310782	191	1
1_MACS_peak_24864_lociStitched	chrX	153232058	153239884	1	7827	70282.9582	192	1	TMEM187,HCFC1	MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718	HCFC1	192	1
3_MACS_peak_14629_lociStitched	chr22	24177466	24192301	3	12560	31975.359	193	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	193	1
2_MACS_peak_16390_lociStitched	chr3	178422292	178435639	2	12549	31211.9595	194	1	KCNMB2		KCNMB2	194	1
3_MACS_peak_19360_lociStitched	chr6	27790844	27808479	3	11547	43544.342	195	1	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	195	1
1_MACS_peak_10266_lociStitched	chr18	46471845	46480152	1	8308	66848.9211	196	1	SMAD7	SMAD7	SMAD7	196	1
1_MACS_peak_5855_lociStitched	chr13	50696963	50706244	1	9282	60968.7452	198	1	DLEU2	DLEU1,ST13P4	DLEU2	198	1
4_MACS_peak_19532_lociStitched	chr6	33376948	33396665	4	11995	36835.2994	199	1	KIFC1,PHF1,SYNGAP1,CUTA	ZBTB9,LYPLA2P1	CUTA	199	1
2_MACS_peak_22423_lociStitched	chr8	66741613	66755668	2	11753	39791.1105	200	1	PDE7A	PDE7A	PDE7A	200	1
2_MACS_peak_21482_lociStitched	chr7	102063550	102075708	2	9034	62072.669	201	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	201	1
1_MACS_peak_13652_lociStitched	chr20	9487396	9499900	1	12505	27428.7744	202	1	C20orf103		C20orf103	202	1
1_MACS_peak_11443_lociStitched	chr19	47728692	47735347	1	6656	72490.253	203	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	MIR3191	203	1
