#07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_ROSE/07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam
#Using cutoff of 15499.1134 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isStretch
5_MACS_peak_3304_lociStitched	chr10	11279014	11313122	5	24231	46925.7864	5774.4844	45	1
3_MACS_peak_22434_lociStitched	chr4	71524681	71555270	3	23954	104651.0868	5230.719	46	1
2_MACS_peak_4956_lociStitched	chr11	22676367	22704023	2	23904	103950.6072	4184.3528	47	1
4_MACS_peak_12288_lociStitched	chr17	34408767	34432810	4	23883	62769.0601	4375.826	48	1
5_MACS_peak_12604_lociStitched	chr17	46527848	46562184	5	23808	35122.2944	5153.8336	49	1
7_MACS_peak_17334_lociStitched	chr2	204537475	204574890	7	23790	59658.2175	6278.237	50	1
4_MACS_peak_19430_lociStitched	chr22	37610218	37642316	4	23638	67964.3052	5328.268	51	1
2_MACS_peak_15300_lociStitched	chr2	20397345	20426447	2	23449	91103.811	4976.442	52	1
4_MACS_peak_27022_lociStitched	chr6	157976430	158007505	4	23341	61916.9375	2430.065	53	1
3_MACS_peak_17217_lociStitched	chr2	197023851	197049379	3	23309	48347.4792	4778.8416	54	1
3_MACS_peak_24556_lociStitched	chr5	131744863	131774596	3	23229	96114.8958	5527.3647	55	1
4_MACS_peak_28233_lociStitched	chr7	102063661	102093348	4	23225	117786.1412	4954.7603	56	1
6_MACS_peak_6389_lociStitched	chr12	7045667	7080971	6	22998	68638.0368	5920.4808	57	1
2_MACS_peak_26309_lociStitched	chr6	88612346	88640704	2	22769	64786.6868	4769.8156	58	1
2_MACS_peak_13332_lociStitched	chr18	9095105	9123246	2	22673	50755.1076	5093.521	59	1
4_MACS_peak_23370_lociStitched	chr4	185317376	185350088	4	22376	74112.3072	5374.5816	60	1
3_MACS_peak_2604_lociStitched	chr1	206282010	206311355	3	22282	101703.901	7036.931	61	1
5_MACS_peak_6999_lociStitched	chr12	53845680	53870486	5	22250	22913.3022	4296.3992	62	1
1_MACS_peak_31157_lociStitched	chr9	112903453	112925610	1	22158	55042.4194	4723.8724	63	1
5_MACS_peak_7435_lociStitched	chr12	92930745	92964722	5	22048	55212.625	5123.7316	64	1
2_MACS_peak_18479_lociStitched	chr20	52194083	52216196	2	21777	52317.1467	3734.8857	65	1
4_MACS_peak_26333_lociStitched	chr6	90056938	90083674	4	21643	71008.1424	4700.1888	66	1
2_MACS_peak_495_lociStitched	chr1	31214061	31236557	2	21584	83606.384	4672.4192	67	1
4_MACS_peak_14028_lociStitched	chr19	2594383	2628892	4	21526	104158.5147	7409.0823	68	1
4_MACS_peak_14376_lociStitched	chr19	16243931	16273095	4	21443	49155.922	4747.8992	69	1
5_MACS_peak_10588_lociStitched	chr15	101661121	101692582	5	21438	56161.0311	4722.2961	70	1
1_MACS_peak_3300_lociStitched	chr10	11202413	11223822	1	21410	104111.967	5288.023	71	1
1_MACS_peak_13334_lociStitched	chr18	9133080	9154423	1	21344	39190.0166	4313.4203	72	1
3_MACS_peak_1910_lociStitched	chr1	156450423	156476319	3	21339	54205.5072	6802.8792	73	1
5_MACS_peak_12976_lociStitched	chr17	72733001	72757066	5	21158	37810.928	3756.5465	74	1
5_MACS_peak_18502_lociStitched	chr20	52530628	52567148	5	20697	47757.204	5594.864	75	1
3_MACS_peak_1838_lociStitched	chr1	154907861	154935778	3	20389	92184.7257	8062.4296	76	1
4_MACS_peak_16200_lociStitched	chr2	88898358	88928469	4	20355	32020.0374	4989.3927	77	1
5_MACS_peak_19012_lociStitched	chr21	45552537	45581097	5	20343	88473.168	6188.952	78	1
3_MACS_peak_25514_lociStitched	chr6	25365707	25390553	3	20333	44263.149	4328.1732	79	1
6_MACS_peak_9316_lociStitched	chr14	95945649	95986208	6	20306	27515.2256	3228.4964	80	1
2_MACS_peak_18933_lociStitched	chr21	41324282	41345229	2	20091	86720.58	5948.948	81	1
1_MACS_peak_12399_lociStitched	chr17	38464936	38484880	1	19945	88325.9928	3360.564	82	1
1_MACS_peak_5594_lociStitched	chr11	72850757	72870663	1	19907	94557.4812	4030.965	83	1
5_MACS_peak_5946_lociStitched	chr11	111230576	111251972	5	19762	57227.8812	4221.4308	84	1
4_MACS_peak_20209_lociStitched	chr3	46127043	46153735	4	19678	44866.5828	4724.484	85	1
3_MACS_peak_4808_lociStitched	chr11	10323554	10345262	3	19675	77295.6756	3959.5392	86	1
1_MACS_peak_24179_lociStitched	chr5	88110861	88130462	1	19602	32731.7099	3118.5191	87	1
3_MACS_peak_20019_lociStitched	chr3	30681062	30703837	3	19561	38865.5375	3737.3775	88	1
4_MACS_peak_17838_lociStitched	chr20	5567084	5592513	4	19534	30207.1091	4251.7288	89	1
5_MACS_peak_15851_lociStitched	chr2	64430158	64456583	5	19456	47525.3625	4516.0325	90	1
5_MACS_peak_2266_lociStitched	chr1	181095342	181129682	5	19450	47320.52	7582.272	91	1
2_MACS_peak_21090_lociStitched	chr3	133178683	133201117	2	19444	71797.7736	4082.988	92	1
3_MACS_peak_10202_lociStitched	chr15	75063043	75083666	3	19357	45603.6399	4058.6064	93	1
3_MACS_peak_15889_lociStitched	chr2	65156529	65178981	3	19236	94525.1652	4771.05	94	1
5_MACS_peak_9449_lociStitched	chr15	20969477	20997230	5	19141	33084.3513	3913.173	95	1
4_MACS_peak_9201_lociStitched	chr14	81930592	81956054	4	18997	51351.7616	2276.3028	96	1
6_MACS_peak_9460_lociStitched	chr15	21975634	22002688	6	18990	32367.4056	3985.0542	97	1
3_MACS_peak_341_lociStitched	chr1	24512116	24534076	3	18853	96222.132	4350.276	98	1
2_MACS_peak_23662_lociStitched	chr5	32570628	32592454	2	18844	57533.336	3961.419	99	1
2_MACS_peak_13123_lociStitched	chr17	76711161	76733836	2	18829	37459.1	4258.365	100	1
3_MACS_peak_12764_lociStitched	chr17	56404904	56431256	3	18812	100717.344	5304.6576	101	1
1_MACS_peak_22251_lociStitched	chr4	40190939	40209724	1	18786	79148.719	4057.56	102	1
2_MACS_peak_1728_lociStitched	chr1	150532148	150553405	2	18774	115115.1578	5790.4068	103	1
2_MACS_peak_1897_lociStitched	chr1	156115340	156136786	2	18761	69765.9826	5726.082	104	1
4_MACS_peak_9490_lociStitched	chr15	23659220	23683050	4	18739	42741.488	3576.883	105	1
4_MACS_peak_19850_lociStitched	chr3	13035290	13061759	4	18718	67077.7398	4878.2367	106	1
5_MACS_peak_24836_lociStitched	chr5	150512777	150544893	5	18673	34267.772	5170.676	107	1
4_MACS_peak_9702_lociStitched	chr15	40833641	40862686	4	18669	54183.4475	4708.1945	108	1
5_MACS_peak_6872_lociStitched	chr12	48195987	48220665	5	18536	60905.304	4037.3208	109	1
3_MACS_peak_17483_lociStitched	chr2	219741278	219763487	3	18417	39072.2937	3546.7773	110	1
3_MACS_peak_14674_lociStitched	chr19	39880726	39904261	3	18363	61977.069	4372.803	111	1
4_MACS_peak_3279_lociStitched	chr10	7511198	7536737	4	18345	56793.6282	3835.9578	112	1
6_MACS_peak_24347_lociStitched	chr5	109247808	109282504	6	18229	33623.8936	5155.8256	113	1
2_MACS_peak_1818_lociStitched	chr1	154374114	154394644	2	18224	71528.573	5235.15	114	1
2_MACS_peak_9685_lociStitched	chr15	40386804	40409271	2	18220	75064.4937	4349.6112	115	1
4_MACS_peak_24898_lociStitched	chr5	156339029	156370070	4	18202	47579.6448	4317.8031	116	1
6_MACS_peak_10438_lociStitched	chr15	89646447	89676849	6	17995	55416.7656	4338.3654	117	1
4_MACS_peak_22464_lociStitched	chr4	74453763	74475727	4	17969	52146.9288	3325.3496	118	1
4_MACS_peak_1699_lociStitched	chr1	149802809	149834086	4	17927	75859.2358	7493.9692	119	1
4_MACS_peak_21504_lociStitched	chr3	175050501	175074629	4	17898	50823.2192	5004.1472	120	1
2_MACS_peak_13329_lociStitched	chr18	9054262	9074781	2	17865	95054.2675	3861.6758	121	1
3_MACS_peak_2382_lociStitched	chr1	192498240	192521320	3	17827	53010.144	5453.804	122	1
4_MACS_peak_24187_lociStitched	chr5	88595420	88618408	4	17728	76648.8884	3661.9884	123	1
6_MACS_peak_15873_lociStitched	chr2	64862693	64895960	6	17646	37787.9853	5535.6288	124	1
5_MACS_peak_1290_lociStitched	chr1	93408708	93428841	5	17623	22583.1861	1962.9675	125	1
5_MACS_peak_27572_lociStitched	chr7	38383561	38408569	5	17577	29904.5664	4776.528	126	1
5_MACS_peak_9679_lociStitched	chr15	40329861	40358594	5	17495	43754.6124	4904.7231	127	1
4_MACS_peak_19279_lociStitched	chr22	29206756	29225883	4	17461	54643.9263	3257.3281	128	1
3_MACS_peak_4420_lociStitched	chr10	112167837	112186735	3	17445	37932.0656	3023.68	129	1
6_MACS_peak_20229_lociStitched	chr3	46419650	46449417	6	17425	22712.221	4348.9587	130	1
1_MACS_peak_27767_lociStitched	chr7	55568992	55586363	1	17372	47297.7588	3083.3525	131	1
1_MACS_peak_5406_lociStitched	chr11	65183116	65200465	1	17350	114992.6418	4250.505	132	1
4_MACS_peak_15685_lociStitched	chr2	47526765	47550853	4	17339	50897.944	3981.7464	133	1
4_MACS_peak_2305_lociStitched	chr1	183856254	183886019	4	17337	65947.334	6405.428	134	1
4_MACS_peak_15246_lociStitched	chr2	13680535	13702700	4	17334	38079.47	3304.8015	135	1
3_MACS_peak_28907_lociStitched	chr8	2027301	2050997	3	17313	82888.608	3753.4464	136	1
1_MACS_peak_23845_lociStitched	chr5	55436839	55454134	1	17296	48457.131	2888.265	137	1
4_MACS_peak_1883_lociStitched	chr1	155939001	155962377	4	17271	53844.2784	5453.6208	138	1
1_MACS_peak_6985_lociStitched	chr12	53587230	53604466	1	17237	86826.35	3891.8888	139	1
5_MACS_peak_21326_lociStitched	chr3	156795172	156824568	5	17066	50243.6432	6861.0264	140	1
2_MACS_peak_7647_lociStitched	chr12	108953272	108971261	2	17065	49064.9975	3592.4033	141	1
5_MACS_peak_10968_lociStitched	chr16	22194878	22219191	5	17032	29635.1157	4240.1872	142	1
2_MACS_peak_20682_lociStitched	chr3	98479611	98496771	2	16956	48125.22	3155.724	143	1
2_MACS_peak_4932_lociStitched	chr11	19449526	19467264	2	16936	77658.7378	3790.6106	144	1
3_MACS_peak_13070_lociStitched	chr17	75128941	75146983	3	16924	66573.1758	3417.1548	145	1
5_MACS_peak_16205_lociStitched	chr2	89039408	89066728	5	16712	56566.06	4256.456	146	1
1_MACS_peak_22528_lociStitched	chr4	77608517	77625198	1	16682	29792.266	3211.0925	147	1
4_MACS_peak_16253_lociStitched	chr2	97190358	97212970	4	16648	52446.2728	3959.3612	148	1
2_MACS_peak_17286_lociStitched	chr2	201979821	201998037	2	16538	92460.7728	3949.2288	149	1
5_MACS_peak_25711_lociStitched	chr6	31773733	31805186	5	16537	33764.7955	5057.6424	150	1
4_MACS_peak_3646_lociStitched	chr10	45913496	45934797	4	16522	67121.5811	3357.0376	151	1
4_MACS_peak_11299_lociStitched	chr16	56961043	56985972	4	16520	44555.6017	4362.575	152	1
6_MACS_peak_9169_lociStitched	chr14	77487938	77510079	6	16490	30198.1099	1970.549	153	1
3_MACS_peak_19519_lociStitched	chr22	39823073	39846473	3	16480	81284.58	3844.62	154	1
4_MACS_peak_10985_lociStitched	chr16	23342646	23365764	4	16357	79784.8416	3809.8464	155	1
5_MACS_peak_18297_lociStitched	chr20	42564619	42588426	5	16339	33482.1648	3616.2833	156	1
4_MACS_peak_2386_lociStitched	chr1	192560945	192579485	4	16328	18465.84	4167.792	157	1
3_MACS_peak_1118_lociStitched	chr1	75595706	75612596	3	16179	32405.154	2141.652	158	1
3_MACS_peak_24431_lociStitched	chr5	118657728	118678862	3	16174	43024.5972	3751.285	159	1
2_MACS_peak_10325_lociStitched	chr15	81575603	81596908	2	16172	49474.471	4050.0805	160	1
1_MACS_peak_24180_lociStitched	chr5	88171036	88187178	1	16143	52624.5342	3244.542	161	1
3_MACS_peak_4414_lociStitched	chr10	112103637	112129258	3	16108	95176.8908	4719.3882	162	1
2_MACS_peak_12197_lociStitched	chr17	29634543	29651190	2	16080	43200.6297	3229.518	163	1
1_MACS_peak_6510_lociStitched	chr12	12865992	12882032	1	16041	100277.268	3203.188	164	1
3_MACS_peak_18363_lociStitched	chr20	45172206	45192018	3	16022	32075.628	2948.0256	165	1
4_MACS_peak_31668_lociStitched	chrX	10065008	10091261	4	15908	37232.0046	2268.2592	166	1
5_MACS_peak_31467_lociStitched	chr9	134126946	134153428	5	15838	36071.1322	4057.0424	167	1
4_MACS_peak_13457_lociStitched	chr18	23745536	23772121	4	15832	43633.9605	3626.194	168	1
3_MACS_peak_4033_lociStitched	chr10	81001094	81020781	3	15726	33294.6544	3161.7322	169	1
3_MACS_peak_21541_lociStitched	chr3	177055561	177080136	3	15701	62292.71	5526.9175	170	1
5_MACS_peak_17221_lociStitched	chr2	197074700	197106717	5	15603	28043.6903	4719.3058	171	1
2_MACS_peak_18690_lociStitched	chr21	19151601	19169250	2	15569	45426.7611	3123.873	172	1
3_MACS_peak_25155_lociStitched	chr5	180227888	180249497	3	15568	41100.318	3178.6839	173	1
3_MACS_peak_20513_lociStitched	chr3	69128509	69145922	3	15503	35418.042	3451.2566	174	1
6_MACS_peak_25576_lociStitched	chr6	27082424	27116115	6	15486	35796.6875	4629.1434	175	1
3_MACS_peak_9946_lociStitched	chr15	56644681	56666288	3	15476	58421.0066	3446.3165	176	1
2_MACS_peak_7856_lociStitched	chr12	123371140	123387424	2	15473	24101.9484	1608.8592	177	1
2_MACS_peak_14004_lociStitched	chr19	2081459	2098438	2	15440	98787.2178	4677.7145	178	1
4_MACS_peak_27320_lociStitched	chr7	18533772	18561362	4	15432	30078.618	4243.342	179	1
5_MACS_peak_15666_lociStitched	chr2	46785372	46804516	5	15351	24456.46	3327.2272	180	1
7_MACS_peak_11106_lociStitched	chr16	30193701	30227225	7	15341	29232.928	5886.8144	181	1
4_MACS_peak_15589_lociStitched	chr2	42343447	42361121	4	15249	36328.907	2757.144	182	1
4_MACS_peak_5731_lociStitched	chr11	82764056	82790604	4	15238	44640.462	4850.3196	183	1
4_MACS_peak_6484_lociStitched	chr12	11901580	11920710	4	15226	32123.096	3435.748	184	1
5_MACS_peak_20496_lociStitched	chr3	66530525	66552388	5	15198	19788.2013	3174.5076	185	1
3_MACS_peak_10847_lociStitched	chr16	12052167	12072385	3	15193	98633.513	3922.292	186	1
2_MACS_peak_6550_lociStitched	chr12	15100942	15116370	2	15139	25326.6048	3119.5416	187	1
1_MACS_peak_27987_lociStitched	chr7	78113396	78128498	1	15103	70817.8086	2786.319	188	1
3_MACS_peak_2201_lociStitched	chr1	174922516	174942385	3	15102	32533.5006	4271.835	189	1
6_MACS_peak_17293_lociStitched	chr2	202081169	202102261	6	15092	24300.0932	3975.842	190	1
2_MACS_peak_19471_lociStitched	chr22	38781971	38797130	2	15087	26134.116	2657.3727	191	1
1_MACS_peak_26519_lociStitched	chr6	109213687	109228744	1	15058	47422.0215	2525.0589	192	1
4_MACS_peak_2560_lociStitched	chr1	204474653	204494431	4	15053	47380.1768	5001.8562	193	1
3_MACS_peak_29661_lociStitched	chr8	81046334	81061694	3	15033	26184.192	2709.504	194	1
3_MACS_peak_26908_lociStitched	chr6	143162785	143180498	3	15005	31791.2924	1634.9099	195	1
4_MACS_peak_10424_lociStitched	chr15	89163665	89184905	4	14992	24816.816	3355.92	196	1
3_MACS_peak_3636_lociStitched	chr10	45453921	45475559	3	14882	25483.0726	3278.157	197	1
3_MACS_peak_30930_lociStitched	chr9	94180329	94196051	3	14861	34112.0234	2962.0248	198	1
4_MACS_peak_23280_lociStitched	chr4	173896576	173919991	4	14860	23813.055	3320.247	199	1
5_MACS_peak_12542_lociStitched	chr17	43504962	43531675	5	14858	23242.9813	3542.1438	200	1
4_MACS_peak_18856_lociStitched	chr21	36235866	36263113	4	14852	57521.1417	5588.3597	201	1
3_MACS_peak_18986_lociStitched	chr21	44724548	44747510	3	14823	51992.8566	4128.5676	202	1
3_MACS_peak_1995_lociStitched	chr1	160694417	160715646	3	14792	49336.196	5326.3561	203	1
4_MACS_peak_1990_lociStitched	chr1	160633534	160656020	4	14789	61339.5594	5706.9468	204	1
3_MACS_peak_24562_lociStitched	chr5	131822830	131842813	3	14770	35859.4935	3584.9502	205	1
3_MACS_peak_12610_lociStitched	chr17	46580014	46596249	3	14754	24233.9845	2490.449	206	1
2_MACS_peak_6639_lociStitched	chr12	26265720	26280610	2	14719	34220.198	2620.64	207	1
2_MACS_peak_5952_lociStitched	chr11	111279653	111294506	2	14705	32088.4212	2683.9371	208	1
6_MACS_peak_15941_lociStitched	chr2	68936242	68965530	6	14671	28901.3984	4378.556	209	1
3_MACS_peak_12956_lociStitched	chr17	70582369	70602293	3	14629	37273.8192	3215.7336	210	1
4_MACS_peak_25535_lociStitched	chr6	26183383	26207385	4	14604	38619.218	3708.309	211	1
2_MACS_peak_665_lociStitched	chr1	40029992	40048252	2	14578	16174.708	3326.972	212	1
3_MACS_peak_13128_lociStitched	chr17	76763207	76779790	3	14567	26488.0259	2812.4768	213	1
2_MACS_peak_9560_lociStitched	chr15	31546070	31562273	2	14535	98431.6047	3175.788	214	1
3_MACS_peak_1605_lociStitched	chr1	145182710	145199558	3	14517	22978.9872	7797.2544	215	1
2_MACS_peak_15227_lociStitched	chr2	11883423	11898265	2	14473	46727.0686	2773.9698	216	1
2_MACS_peak_21727_lociStitched	chr3	186703047	186720620	2	14462	63224.1394	5048.7229	217	1
3_MACS_peak_19900_lociStitched	chr3	15834971	15852117	3	14412	25844.1658	2683.349	218	1
4_MACS_peak_11254_lociStitched	chr16	50713906	50732906	4	14397	30707.8	2736	219	1
5_MACS_peak_15304_lociStitched	chr2	20610830	20631198	5	14395	29553.968	3083.7152	220	1
4_MACS_peak_18242_lociStitched	chr20	37486770	37511924	4	14328	88323.2402	4110.1636	221	1
4_MACS_peak_20215_lociStitched	chr3	46245532	46263708	4	14305	54896.9728	3329.8432	222	1
2_MACS_peak_22220_lociStitched	chr4	38306934	38322710	2	14280	56377.1136	3128.3808	223	1
1_MACS_peak_12855_lociStitched	chr17	62196837	62211002	1	14166	26829.9265	2811.7525	224	1
4_MACS_peak_30912_lociStitched	chr9	93670850	93690425	4	14155	46243.98	2789.4375	225	1
2_MACS_peak_6522_lociStitched	chr12	13241884	13256034	2	14094	25846.39	2614.92	226	1
2_MACS_peak_7650_lociStitched	chr12	109020010	109036076	2	14050	92837.381	3254.9716	227	1
2_MACS_peak_31146_lociStitched	chr9	112668363	112684472	2	14050	52534.6708	2783.6352	228	1
6_MACS_peak_13561_lociStitched	chr18	42288537	42313900	6	14050	18010.2663	3819.6678	229	1
3_MACS_peak_25071_lociStitched	chr5	173696009	173710351	3	14046	52966.4402	2529.9288	230	1
1_MACS_peak_1038_lociStitched	chr1	66736644	66750677	1	14034	34636.2506	2629.7842	231	1
5_MACS_peak_6840_lociStitched	chr12	46776053	46798882	5	14016	28184.6834	3538.495	232	1
6_MACS_peak_11084_lociStitched	chr16	29815501	29837643	6	14015	30420.8938	3223.8752	233	1
3_MACS_peak_13066_lociStitched	chr17	75078689	75093228	3	13980	31421.6868	2699.8923	234	1
7_MACS_peak_5354_lociStitched	chr11	63992769	64020027	7	13974	19573.9698	3807.9426	235	1
3_MACS_peak_21041_lociStitched	chr3	129026402	129048418	3	13970	26487.4496	3306.8032	236	1
4_MACS_peak_29752_lociStitched	chr8	95986861	96010332	4	13900	16692.5752	2011.4647	237	1
5_MACS_peak_29183_lociStitched	chr8	27930170	27951498	5	13897	24051.5856	3386.8864	238	1
3_MACS_peak_18052_lociStitched	chr20	25261471	25282814	3	13847	37683.2008	3246.2703	239	1
3_MACS_peak_10222_lociStitched	chr15	75352717	75371232	3	13832	37726.164	3186.4315	240	1
7_MACS_peak_14210_lociStitched	chr19	10513389	10543541	7	13801	19336.4776	3576.0272	241	1
3_MACS_peak_26516_lociStitched	chr6	109186213	109207505	3	13799	30707.3224	3496.1464	242	1
3_MACS_peak_27651_lociStitched	chr7	44661752	44680287	3	13793	27663.4875	3173.192	243	1
4_MACS_peak_16437_lociStitched	chr2	112186165	112201683	4	13753	11207.0996	2506.157	244	1
4_MACS_peak_25973_lociStitched	chr6	45382888	45402664	4	13709	42043.776	2887.296	245	1
2_MACS_peak_15404_lociStitched	chr2	27374587	27390339	2	13707	35912.9848	2599.08	246	1
3_MACS_peak_24191_lociStitched	chr5	88633977	88652764	3	13701	60065.7964	3020.9496	247	1
4_MACS_peak_695_lociStitched	chr1	40839246	40858701	4	13689	25272.045	3766.488	248	1
1_MACS_peak_12375_lociStitched	chr17	37924583	37938258	1	13676	31092.8475	2536.7125	249	1
2_MACS_peak_18147_lociStitched	chr20	32988962	33005906	2	13674	30456.84	2636.4864	250	1
2_MACS_peak_19277_lociStitched	chr22	29185726	29199581	2	13664	46610.991	2768.229	251	1
2_MACS_peak_24559_lociStitched	chr5	131789831	131804405	2	13660	43969.758	2770.5174	252	1
2_MACS_peak_3789_lociStitched	chr10	63797955	63814956	2	13652	40506.5826	2793.2643	253	1
3_MACS_peak_2016_lociStitched	chr1	161144392	161163564	3	13606	59910.5828	4898.446	254	1
2_MACS_peak_2721_lociStitched	chr1	211742899	211756657	2	13583	20064.6672	3495.9078	255	1
4_MACS_peak_30193_lociStitched	chr8	145009740	145028023	4	13542	22956.1348	2294.5165	256	1
5_MACS_peak_5523_lociStitched	chr11	67760370	67781834	5	13442	24353.0544	3397.7512	257	1
2_MACS_peak_32004_lociStitched	chrX	48790379	48805143	2	13437	51972.2328	1765.7744	258	1
4_MACS_peak_15675_lociStitched	chr2	47193795	47215128	4	13414	40394.0355	3377.0139	259	1
2_MACS_peak_19497_lociStitched	chr22	39458837	39474340	2	13381	28624.7392	2466.5273	260	1
