REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_18078_lociStitched	chr20	30271528	30312268	3	37560	116817.876	8571.696	14	BCL2L1	COX4I2,TPX2	BCL2L1	14	1
4_MACS_peak_25183_lociStitched	chr6	289699	338047	4	37379	178882.7652	15669.5868	15	DUSP22		DUSP22	15	1
5_MACS_peak_12850_lociStitched	chr17	62149810	62187321	5	35829	77478.9705	6673.2069	16	ERN1	SNORD104,SNORA76	ERN1	16	1
2_MACS_peak_12241_lociStitched	chr17	32688336	32727149	2	35790	137972.4524	7510.3155	17	CCL1	CCL8,CCL13	CCL1	17	1
3_MACS_peak_25305_lociStitched	chr6	7880508	7921803	3	35289	194528.3565	8527.4175	18	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	18	1
4_MACS_peak_29929_lociStitched	chr8	120912485	120950021	4	33425	87612.7776	6272.2656	19	DEPDC6	DSCC1	DEPDC6	19	1
7_MACS_peak_26837_lociStitched	chr6	138245845	138297860	7	33275	66683.23	8421.2285	20			TNFAIP3	20	1
7_MACS_peak_9562_lociStitched	chr15	31616554	31660437	7	32828	86774.2442	6810.6416	21	KLF13		KLF13	21	1
2_MACS_peak_9418_lociStitched	chr14	106023247	106056562	2	32380	222900.6705	5303.748	22		TMEM121	TMEM121	22	1
5_MACS_peak_4555_lociStitched	chr10	125821885	125854832	5	30599	103677.6196	5518.6225	23	CHST15		CHST15	23	1
6_MACS_peak_14737_lociStitched	chr19	42022266	42070357	6	30161	75002.7236	8488.0615	24		CEACAM21	CEACAM21	24	1
2_MACS_peak_9424_lociStitched	chr14	106145001	106173956	2	28913	150198.2715	3312.452	25			TMEM121	25	1
4_MACS_peak_20220_lociStitched	chr3	46317570	46347563	4	28686	59980.0014	5083.8135	26		CCR3,CCR2	CCR3	26	1
7_MACS_peak_11435_lociStitched	chr16	68269820	68320847	7	28516	58716.7689	8337.8118	27	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	27	1
4_MACS_peak_21645_lociStitched	chr3	183227728	183261017	4	28283	87416.914	8635.1666	28	KLHL6		KLHL6	28	1
4_MACS_peak_11992_lociStitched	chr17	16858917	16895713	4	28085	116941.3676	6328.912	29	TNFRSF13B		TNFRSF13B	29	1
5_MACS_peak_27769_lociStitched	chr7	55614339	55643265	5	28059	50739.0966	4761.2196	30	VOPP1		VOPP1	30	1
4_MACS_peak_25059_lociStitched	chr5	173309349	173343961	4	28031	43991.852	5209.106	31	CPEB4		CPEB4	31	1
3_MACS_peak_12295_lociStitched	chr17	34509411	34540539	3	27757	109853.8248	7227.9216	32	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	32	1
2_MACS_peak_17616_lociStitched	chr2	232687093	232714671	2	27419	31229.3272	3229.3838	33		COPS7B,PDE6D,MIR1471	COPS7B	33	1
3_MACS_peak_10119_lociStitched	chr15	68568561	68599502	3	27133	56247.6439	5247.5936	34	FEM1B,ITGA11	CLN6	FEM1B	34	1
3_MACS_peak_19192_lociStitched	chr22	23265614	23298684	3	26423	194101.058	6048.503	35		IGLL5	IGLL5	35	1
5_MACS_peak_4438_lociStitched	chr10	112596767	112633098	5	26410	112342.7182	6099.9749	36	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	36	1
1_MACS_peak_26453_lociStitched	chr6	106530349	106556497	1	26149	101012.3388	5033.49	37	PRDM1		PRDM1	37	1
5_MACS_peak_29168_lociStitched	chr8	27216314	27253229	5	25736	53478.7605	6260.784	38	PTK2B	TRIM35	PTK2B	38	1
1_MACS_peak_22678_lociStitched	chr4	90204750	90230461	1	25712	137944.6572	5461.0164	39	GPRIN3		GPRIN3	39	1
4_MACS_peak_28795_lociStitched	chr7	150052768	150084893	4	25317	109774.3375	7523.675	40	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	40	1
1_MACS_peak_6202_lociStitched	chr11	128585266	128610165	1	24900	67909.5326	4902.6131	41	FLI1		FLI1	41	1
5_MACS_peak_30003_lociStitched	chr8	126284918	126322830	5	24619	45839.3992	5857.404	42	NSMCE2		TRIB1	42	1
2_MACS_peak_21466_lociStitched	chr3	171801339	171827279	2	24477	102719.806	6866.318	43	FNDC3B		FNDC3B	43	1
4_MACS_peak_19775_lociStitched	chr3	5222214	5256338	4	24402	43245.3452	5835.204	44	ARL8B,EDEM1		EDEM1	44	1
5_MACS_peak_3304_lociStitched	chr10	11279014	11313122	5	24231	46925.7864	5774.4844	45	CELF2		CELF2	45	1
3_MACS_peak_22434_lociStitched	chr4	71524681	71555270	3	23954	104651.0868	5230.719	46	UTP3,IGJ	ENAM,RUFY3	IGJ	46	1
2_MACS_peak_4956_lociStitched	chr11	22676367	22704023	2	23904	103950.6072	4184.3528	47	GAS2	FANCF	GAS2	47	1
4_MACS_peak_12288_lociStitched	chr17	34408767	34432810	4	23883	62769.0601	4375.826	48	CCL4,CCL3	CCL18	CCL3	48	1
5_MACS_peak_12604_lociStitched	chr17	46527848	46562184	5	23808	35122.2944	5153.8336	49		SKAP1,HOXB1	SKAP1	49	1
7_MACS_peak_17334_lociStitched	chr2	204537475	204574890	7	23790	59658.2175	6278.237	50	CD28		CD28	50	1
4_MACS_peak_19430_lociStitched	chr22	37610218	37642316	4	23638	67964.3052	5328.268	51	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	51	1
2_MACS_peak_15300_lociStitched	chr2	20397345	20426447	2	23449	91103.811	4976.442	52	SDC1		SDC1	52	1
4_MACS_peak_27022_lociStitched	chr6	157976430	158007505	4	23341	61916.9375	2430.065	53	ZDHHC14	MIR3692	MIR3692	53	1
3_MACS_peak_17217_lociStitched	chr2	197023851	197049379	3	23309	48347.4792	4778.8416	54	STK17B		STK17B	54	1
3_MACS_peak_24556_lociStitched	chr5	131744863	131774596	3	23229	96114.8958	5527.3647	55	C5orf56	SLC22A5,MIR3936	C5orf56	55	1
4_MACS_peak_28233_lociStitched	chr7	102063661	102093348	4	23225	117786.1412	4954.7603	56	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	56	1
6_MACS_peak_6389_lociStitched	chr12	7045667	7080971	6	22998	68638.0368	5920.4808	57	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	57	1
2_MACS_peak_26309_lociStitched	chr6	88612346	88640704	2	22769	64786.6868	4769.8156	58			SPACA1	58	1
2_MACS_peak_13332_lociStitched	chr18	9095105	9123246	2	22673	50755.1076	5093.521	59	NDUFV2	ANKRD12	NDUFV2	59	1
4_MACS_peak_23370_lociStitched	chr4	185317376	185350088	4	22376	74112.3072	5374.5816	60	IRF2		IRF2	60	1
3_MACS_peak_2604_lociStitched	chr1	206282010	206311355	3	22282	101703.901	7036.931	61	C1orf186	CTSE	C1orf186	61	1
5_MACS_peak_6999_lociStitched	chr12	53845680	53870486	5	22250	22913.3022	4296.3992	62	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	62	1
1_MACS_peak_31157_lociStitched	chr9	112903453	112925610	1	22158	55042.4194	4723.8724	63	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	63	1
5_MACS_peak_7435_lociStitched	chr12	92930745	92964722	5	22048	55212.625	5123.7316	64			CLLU1OS	64	1
2_MACS_peak_18479_lociStitched	chr20	52194083	52216196	2	21777	52317.1467	3734.8857	65	ZNF217		ZNF217	65	1
4_MACS_peak_26333_lociStitched	chr6	90056938	90083674	4	21643	71008.1424	4700.1888	66	UBE2J1,RRAGD	GABRR2	UBE2J1	66	1
2_MACS_peak_495_lociStitched	chr1	31214061	31236557	2	21584	83606.384	4672.4192	67	LAPTM5	LOC100129196,MATN1	LAPTM5	67	1
4_MACS_peak_14028_lociStitched	chr19	2594383	2628892	4	21526	104158.5147	7409.0823	68	GNG7		GNG7	68	1
4_MACS_peak_14376_lociStitched	chr19	16243931	16273095	4	21443	49155.922	4747.8992	69	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	69	1
5_MACS_peak_10588_lociStitched	chr15	101661121	101692582	5	21438	56161.0311	4722.2961	70			CHSY1	70	1
1_MACS_peak_3300_lociStitched	chr10	11202413	11223822	1	21410	104111.967	5288.023	71	CELF2		CELF2	71	1
1_MACS_peak_13334_lociStitched	chr18	9133080	9154423	1	21344	39190.0166	4313.4203	72	NDUFV2,ANKRD12		ANKRD12	72	1
3_MACS_peak_1910_lociStitched	chr1	156450423	156476319	3	21339	54205.5072	6802.8792	73	MEF2D		MEF2D	73	1
5_MACS_peak_12976_lociStitched	chr17	72733001	72757066	5	21158	37810.928	3756.5465	74	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	74	1
5_MACS_peak_18502_lociStitched	chr20	52530628	52567148	5	20697	47757.204	5594.864	75	BCAS1	SUMO1P1	SUMO1P1	75	1
3_MACS_peak_1838_lociStitched	chr1	154907861	154935778	3	20389	92184.7257	8062.4296	76	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	76	1
4_MACS_peak_16200_lociStitched	chr2	88898358	88928469	4	20355	32020.0374	4989.3927	77	EIF2AK3		EIF2AK3	77	1
5_MACS_peak_19012_lociStitched	chr21	45552537	45581097	5	20343	88473.168	6188.952	78	C21orf33	PWP2	C21orf33	78	1
3_MACS_peak_25514_lociStitched	chr6	25365707	25390553	3	20333	44263.149	4328.1732	79	LRRC16A		LRRC16A	79	1
6_MACS_peak_9316_lociStitched	chr14	95945649	95986208	6	20306	27515.2256	3228.4964	80		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	80	1
2_MACS_peak_18933_lociStitched	chr21	41324282	41345229	2	20091	86720.58	5948.948	81			PCP4	81	1
1_MACS_peak_12399_lociStitched	chr17	38464936	38484880	1	19945	88325.9928	3360.564	82	RARA	CDC6,RARA,GJD3	RARA	82	1
1_MACS_peak_5594_lociStitched	chr11	72850757	72870663	1	19907	94557.4812	4030.965	83	FCHSD2		FCHSD2	83	1
5_MACS_peak_5946_lociStitched	chr11	111230576	111251972	5	19762	57227.8812	4221.4308	84	POU2AF1		POU2AF1	84	1
4_MACS_peak_20209_lociStitched	chr3	46127043	46153735	4	19678	44866.5828	4724.484	85			XCR1	85	1
3_MACS_peak_4808_lociStitched	chr11	10323554	10345262	3	19675	77295.6756	3959.5392	86	ADM	SBF2	ADM	86	1
1_MACS_peak_24179_lociStitched	chr5	88110861	88130462	1	19602	32731.7099	3118.5191	87	MEF2C		MEF2C	87	1
3_MACS_peak_20019_lociStitched	chr3	30681062	30703837	3	19561	38865.5375	3737.3775	88	TGFBR2		TGFBR2	88	1
4_MACS_peak_17838_lociStitched	chr20	5567084	5592513	4	19534	30207.1091	4251.7288	89	GPCPD1		GPCPD1	89	1
5_MACS_peak_15851_lociStitched	chr2	64430158	64456583	5	19456	47525.3625	4516.0325	90	LOC150992		LOC150992	90	1
5_MACS_peak_2266_lociStitched	chr1	181095342	181129682	5	19450	47320.52	7582.272	91		IER5	IER5	91	1
2_MACS_peak_21090_lociStitched	chr3	133178683	133201117	2	19444	71797.7736	4082.988	92	BFSP2		BFSP2	92	1
3_MACS_peak_10202_lociStitched	chr15	75063043	75083666	3	19357	45603.6399	4058.6064	93	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	93	1
3_MACS_peak_15889_lociStitched	chr2	65156529	65178981	3	19236	94525.1652	4771.05	94	LOC400958	SLC1A4	LOC400958	94	1
5_MACS_peak_9449_lociStitched	chr15	20969477	20997230	5	19141	33084.3513	3913.173	95		BCL8	BCL8	95	1
4_MACS_peak_9201_lociStitched	chr14	81930592	81956054	4	18997	51351.7616	2276.3028	96	SEL1L		SEL1L	96	1
6_MACS_peak_9460_lociStitched	chr15	21975634	22002688	6	18990	32367.4056	3985.0542	97		LOC646214,CXADRP2	CXADRP2	97	1
3_MACS_peak_341_lociStitched	chr1	24512116	24534076	3	18853	96222.132	4350.276	98	LOC284632,IL28RA	IL22RA1	LOC284632	98	1
2_MACS_peak_23662_lociStitched	chr5	32570628	32592454	2	18844	57533.336	3961.419	99	SUB1		SUB1	99	1
2_MACS_peak_13123_lociStitched	chr17	76711161	76733836	2	18829	37459.1	4258.365	100	CYTH1		CYTH1	100	1
3_MACS_peak_12764_lociStitched	chr17	56404904	56431256	3	18812	100717.344	5304.6576	101	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	101	1
1_MACS_peak_22251_lociStitched	chr4	40190939	40209724	1	18786	79148.719	4057.56	102	RHOH		RHOH	102	1
2_MACS_peak_1728_lociStitched	chr1	150532148	150553405	2	18774	115115.1578	5790.4068	103	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	103	1
2_MACS_peak_1897_lociStitched	chr1	156115340	156136786	2	18761	69765.9826	5726.082	104	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	104	1
4_MACS_peak_9490_lociStitched	chr15	23659220	23683050	4	18739	42741.488	3576.883	105			MKRN3	105	1
4_MACS_peak_19850_lociStitched	chr3	13035290	13061759	4	18718	67077.7398	4878.2367	106	IQSEC1	IQSEC1	IQSEC1	106	1
5_MACS_peak_24836_lociStitched	chr5	150512777	150544893	5	18673	34267.772	5170.676	107	ANXA6		ANXA6	107	1
4_MACS_peak_9702_lociStitched	chr15	40833641	40862686	4	18669	54183.4475	4708.1945	108	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	108	1
5_MACS_peak_6872_lociStitched	chr12	48195987	48220665	5	18536	60905.304	4037.3208	109	HDAC7	SLC48A1,RAPGEF3	HDAC7	109	1
3_MACS_peak_17483_lociStitched	chr2	219741278	219763487	3	18417	39072.2937	3546.7773	110	WNT10A	WNT6,PRKAG3	WNT10A	110	1
3_MACS_peak_14674_lociStitched	chr19	39880726	39904261	3	18363	61977.069	4372.803	111	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	111	1
4_MACS_peak_3279_lociStitched	chr10	7511198	7536737	4	18345	56793.6282	3835.9578	112			SFMBT2	112	1
6_MACS_peak_24347_lociStitched	chr5	109247808	109282504	6	18229	33623.8936	5155.8256	113		LOC100289673	LOC100289673	113	1
2_MACS_peak_1818_lociStitched	chr1	154374114	154394644	2	18224	71528.573	5235.15	114	IL6R		IL6R	114	1
2_MACS_peak_9685_lociStitched	chr15	40386804	40409271	2	18220	75064.4937	4349.6112	115	BMF	BUB1B	BMF	115	1
4_MACS_peak_24898_lociStitched	chr5	156339029	156370070	4	18202	47579.6448	4317.8031	116	LOC100286948,TIMD4		LOC100286948	116	1
6_MACS_peak_10438_lociStitched	chr15	89646447	89676849	6	17995	55416.7656	4338.3654	117	ABHD2		ABHD2	117	1
4_MACS_peak_22464_lociStitched	chr4	74453763	74475727	4	17969	52146.9288	3325.3496	118	RASSF6		RASSF6	118	1
4_MACS_peak_1699_lociStitched	chr1	149802809	149834086	4	17927	75859.2358	7493.9692	119	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	119	1
4_MACS_peak_21504_lociStitched	chr3	175050501	175074629	4	17898	50823.2192	5004.1472	120	NAALADL2		NAALADL2	120	1
2_MACS_peak_13329_lociStitched	chr18	9054262	9074781	2	17865	95054.2675	3861.6758	121		NDUFV2	NDUFV2	121	1
3_MACS_peak_2382_lociStitched	chr1	192498240	192521320	3	17827	53010.144	5453.804	122		RGS1	RGS1	122	1
4_MACS_peak_24187_lociStitched	chr5	88595420	88618408	4	17728	76648.8884	3661.9884	123			MEF2C	123	1
6_MACS_peak_15873_lociStitched	chr2	64862693	64895960	6	17646	37787.9853	5535.6288	124	SERTAD2	LOC339807	SERTAD2	124	1
5_MACS_peak_1290_lociStitched	chr1	93408708	93428841	5	17623	22583.1861	1962.9675	125	FAM69A		FAM69A	125	1
5_MACS_peak_27572_lociStitched	chr7	38383561	38408569	5	17577	29904.5664	4776.528	126			TARP	126	1
5_MACS_peak_9679_lociStitched	chr15	40329861	40358594	5	17495	43754.6124	4904.7231	127	SRP14	BMF	SRP14	127	1
4_MACS_peak_19279_lociStitched	chr22	29206756	29225883	4	17461	54643.9263	3257.3281	128		CCDC117,XBP1	XBP1	128	1
3_MACS_peak_4420_lociStitched	chr10	112167837	112186735	3	17445	37932.0656	3023.68	129			DUSP5	129	1
6_MACS_peak_20229_lociStitched	chr3	46419650	46449417	6	17425	22712.221	4348.9587	130	CCRL2	CCR2,CCR5	CCRL2	130	1
1_MACS_peak_27767_lociStitched	chr7	55568992	55586363	1	17372	47297.7588	3083.3525	131	VOPP1		VOPP1	131	1
1_MACS_peak_5406_lociStitched	chr11	65183116	65200465	1	17350	114992.6418	4250.505	132	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	132	1
4_MACS_peak_15685_lociStitched	chr2	47526765	47550853	4	17339	50897.944	3981.7464	133		EPCAM	EPCAM	133	1
4_MACS_peak_2305_lociStitched	chr1	183856254	183886019	4	17337	65947.334	6405.428	134	RGL1		GLT25D2	134	1
4_MACS_peak_15246_lociStitched	chr2	13680535	13702700	4	17334	38079.47	3304.8015	135			MIR3125	135	1
3_MACS_peak_28907_lociStitched	chr8	2027301	2050997	3	17313	82888.608	3753.4464	136	MYOM2		MYOM2	136	1
1_MACS_peak_23845_lociStitched	chr5	55436839	55454134	1	17296	48457.131	2888.265	137	ANKRD55		ANKRD55	137	1
4_MACS_peak_1883_lociStitched	chr1	155939001	155962377	4	17271	53844.2784	5453.6208	138	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	138	1
1_MACS_peak_6985_lociStitched	chr12	53587230	53604466	1	17237	86826.35	3891.8888	139	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	139	1
5_MACS_peak_21326_lociStitched	chr3	156795172	156824568	5	17066	50243.6432	6861.0264	140	LOC100498859,LOC339894		LOC100498859	140	1
2_MACS_peak_7647_lociStitched	chr12	108953272	108971261	2	17065	49064.9975	3592.4033	141	ISCU,SART3	FICD,TMEM119	ISCU	141	1
5_MACS_peak_10968_lociStitched	chr16	22194878	22219191	5	17032	29635.1157	4240.1872	142	EEF2K		EEF2K	142	1
2_MACS_peak_20682_lociStitched	chr3	98479611	98496771	2	16956	48125.22	3155.724	143	ST3GAL6		ST3GAL6	143	1
2_MACS_peak_4932_lociStitched	chr11	19449526	19467264	2	16936	77658.7378	3790.6106	144	NAV2		NAV2	144	1
3_MACS_peak_13070_lociStitched	chr17	75128941	75146983	3	16924	66573.1758	3417.1548	145	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	145	1
5_MACS_peak_16205_lociStitched	chr2	89039408	89066728	5	16712	56566.06	4256.456	146	RPIA,ANKRD36BP2		ANKRD36BP2	146	1
1_MACS_peak_22528_lociStitched	chr4	77608517	77625198	1	16682	29792.266	3211.0925	147	SHROOM3		ANKRD56	147	1
4_MACS_peak_16253_lociStitched	chr2	97190358	97212970	4	16648	52446.2728	3959.3612	148	ARID5A	NEURL3	ARID5A	148	1
2_MACS_peak_17286_lociStitched	chr2	201979821	201998037	2	16538	92460.7728	3949.2288	149	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	149	1
5_MACS_peak_25711_lociStitched	chr6	31773733	31805186	5	16537	33764.7955	5057.6424	150	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	150	1
4_MACS_peak_3646_lociStitched	chr10	45913496	45934797	4	16522	67121.5811	3357.0376	151	ALOX5		ALOX5	151	1
4_MACS_peak_11299_lociStitched	chr16	56961043	56985972	4	16520	44555.6017	4362.575	152	HERPUD1	CETP,NLRC5	HERPUD1	152	1
6_MACS_peak_9169_lociStitched	chr14	77487938	77510079	6	16490	30198.1099	1970.549	153	C14orf4		C14orf4	153	1
3_MACS_peak_19519_lociStitched	chr22	39823073	39846473	3	16480	81284.58	3844.62	154	TAB1	MGAT3	MGAT3	154	1
4_MACS_peak_10985_lociStitched	chr16	23342646	23365764	4	16357	79784.8416	3809.8464	155	SCNN1B		SCNN1B	155	1
5_MACS_peak_18297_lociStitched	chr20	42564619	42588426	5	16339	33482.1648	3616.2833	156	TOX2		TOX2	156	1
4_MACS_peak_2386_lociStitched	chr1	192560945	192579485	4	16328	18465.84	4167.792	157		RGS1,RGS13	RGS1	157	1
3_MACS_peak_1118_lociStitched	chr1	75595706	75612596	3	16179	32405.154	2141.652	158	LHX8		LHX8	158	1
3_MACS_peak_24431_lociStitched	chr5	118657728	118678862	3	16174	43024.5972	3751.285	159	TNFAIP8	TNFAIP8	TNFAIP8	159	1
2_MACS_peak_10325_lociStitched	chr15	81575603	81596908	2	16172	49474.471	4050.0805	160	IL16	STARD5	IL16	160	1
1_MACS_peak_24180_lociStitched	chr5	88171036	88187178	1	16143	52624.5342	3244.542	161	MEF2C		MEF2C	161	1
3_MACS_peak_4414_lociStitched	chr10	112103637	112129258	3	16108	95176.8908	4719.3882	162		SMNDC1	SMNDC1	162	1
2_MACS_peak_12197_lociStitched	chr17	29634543	29651190	2	16080	43200.6297	3229.518	163	NF1,EVI2B,EVI2A	OMG	EVI2B	163	1
1_MACS_peak_6510_lociStitched	chr12	12865992	12882032	1	16041	100277.268	3203.188	164	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	164	1
3_MACS_peak_18363_lociStitched	chr20	45172206	45192018	3	16022	32075.628	2948.0256	165	C20orf123,SLC13A3	ZNF334	C20orf123	165	1
4_MACS_peak_31668_lociStitched	chrX	10065008	10091261	4	15908	37232.0046	2268.2592	166	WWC3	CLCN4	CLCN4	166	1
5_MACS_peak_31467_lociStitched	chr9	134126946	134153428	5	15838	36071.1322	4057.0424	167	FAM78A	PPAPDC3	FAM78A	167	1
4_MACS_peak_13457_lociStitched	chr18	23745536	23772121	4	15832	43633.9605	3626.194	168	PSMA8	TAF4B	PSMA8	168	1
3_MACS_peak_4033_lociStitched	chr10	81001094	81020781	3	15726	33294.6544	3161.7322	169	ZMIZ1		PPIF	169	1
3_MACS_peak_21541_lociStitched	chr3	177055561	177080136	3	15701	62292.71	5526.9175	170			TBL1XR1	170	1
5_MACS_peak_17221_lociStitched	chr2	197074700	197106717	5	15603	28043.6903	4719.3058	171	HECW2	STK17B	STK17B	171	1
2_MACS_peak_18690_lociStitched	chr21	19151601	19169250	2	15569	45426.7611	3123.873	172	C21orf91		C21orf91	172	1
3_MACS_peak_25155_lociStitched	chr5	180227888	180249497	3	15568	41100.318	3178.6839	173	MGAT1	LOC729678,ZFP62	MGAT1	173	1
3_MACS_peak_20513_lociStitched	chr3	69128509	69145922	3	15503	35418.042	3451.2566	174	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	174	1
6_MACS_peak_25576_lociStitched	chr6	27082424	27116115	6	15486	35796.6875	4629.1434	175	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H2BJ	175	1
3_MACS_peak_9946_lociStitched	chr15	56644681	56666288	3	15476	58421.0066	3446.3165	176	TEX9		TEX9	176	1
2_MACS_peak_7856_lociStitched	chr12	123371140	123387424	2	15473	24101.9484	1608.8592	177	VPS37B		VPS37B	177	1
2_MACS_peak_14004_lociStitched	chr19	2081459	2098438	2	15440	98787.2178	4677.7145	178	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	178	1
4_MACS_peak_27320_lociStitched	chr7	18533772	18561362	4	15432	30078.618	4243.342	179	HDAC9		HDAC9	179	1
5_MACS_peak_15666_lociStitched	chr2	46785372	46804516	5	15351	24456.46	3327.2272	180	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	180	1
7_MACS_peak_11106_lociStitched	chr16	30193701	30227225	7	15341	29232.928	5886.8144	181	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	181	1
4_MACS_peak_15589_lociStitched	chr2	42343447	42361121	4	15249	36328.907	2757.144	182		EML4	EML4	182	1
4_MACS_peak_5731_lociStitched	chr11	82764056	82790604	4	15238	44640.462	4850.3196	183	RAB30	SNORA70E	RAB30	183	1
4_MACS_peak_6484_lociStitched	chr12	11901580	11920710	4	15226	32123.096	3435.748	184	ETV6		ETV6	184	1
5_MACS_peak_20496_lociStitched	chr3	66530525	66552388	5	15198	19788.2013	3174.5076	185	LRIG1		LRIG1	185	1
3_MACS_peak_10847_lociStitched	chr16	12052167	12072385	3	15193	98633.513	3922.292	186	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	186	1
2_MACS_peak_6550_lociStitched	chr12	15100942	15116370	2	15139	25326.6048	3119.5416	187	ARHGDIB	PDE6H,ERP27	ARHGDIB	187	1
1_MACS_peak_27987_lociStitched	chr7	78113396	78128498	1	15103	70817.8086	2786.319	188	MAGI2		RPL13AP17	188	1
