#07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_ROSE/07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam
#Using cutoff of 15499.1134 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isSuperStretch
4_MACS_peak_28233_lociStitched	chr7	102063661	102093348	4	23225	117786.1412	4954.7603	30	1
4_MACS_peak_28795_lociStitched	chr7	150052768	150084893	4	25317	109774.3375	7523.675	31	1
6_MACS_peak_14737_lociStitched	chr19	42022266	42070357	6	30161	75002.7236	8488.0615	32	1
1_MACS_peak_26453_lociStitched	chr6	106530349	106556497	1	26149	101012.3388	5033.49	33	1
4_MACS_peak_21645_lociStitched	chr3	183227728	183261017	4	28283	87416.914	8635.1666	34	1
2_MACS_peak_4956_lociStitched	chr11	22676367	22704023	2	23904	103950.6072	4184.3528	35	1
3_MACS_peak_22434_lociStitched	chr4	71524681	71555270	3	23954	104651.0868	5230.719	36	1
2_MACS_peak_21466_lociStitched	chr3	171801339	171827279	2	24477	102719.806	6866.318	37	1
4_MACS_peak_20220_lociStitched	chr3	46317570	46347563	4	28686	59980.0014	5083.8135	38	1
7_MACS_peak_11435_lociStitched	chr16	68269820	68320847	7	28516	58716.7689	8337.8118	39	1
3_MACS_peak_24556_lociStitched	chr5	131744863	131774596	3	23229	96114.8958	5527.3647	40	1
3_MACS_peak_2604_lociStitched	chr1	206282010	206311355	3	22282	101703.901	7036.931	41	1
1_MACS_peak_3300_lociStitched	chr10	11202413	11223822	1	21410	104111.967	5288.023	42	1
2_MACS_peak_1728_lociStitched	chr1	150532148	150553405	2	18774	115115.1578	5790.4068	43	1
4_MACS_peak_14028_lociStitched	chr19	2594383	2628892	4	21526	104158.5147	7409.0823	44	1
2_MACS_peak_15300_lociStitched	chr2	20397345	20426447	2	23449	91103.811	4976.442	45	1
5_MACS_peak_27769_lociStitched	chr7	55614339	55643265	5	28059	50739.0966	4761.2196	46	1
1_MACS_peak_5406_lociStitched	chr11	65183116	65200465	1	17350	114992.6418	4250.505	47	1
3_MACS_peak_10119_lociStitched	chr15	68568561	68599502	3	27133	56247.6439	5247.5936	48	1
4_MACS_peak_25059_lociStitched	chr5	173309349	173343961	4	28031	43991.852	5209.106	49	1
1_MACS_peak_6202_lociStitched	chr11	128585266	128610165	1	24900	67909.5326	4902.6131	50	1
2_MACS_peak_17616_lociStitched	chr2	232687093	232714671	2	27419	31229.3272	3229.3838	51	1
1_MACS_peak_5594_lociStitched	chr11	72850757	72870663	1	19907	94557.4812	4030.965	52	1
3_MACS_peak_12764_lociStitched	chr17	56404904	56431256	3	18812	100717.344	5304.6576	53	1
5_MACS_peak_29168_lociStitched	chr8	27216314	27253229	5	25736	53478.7605	6260.784	54	1
2_MACS_peak_495_lociStitched	chr1	31214061	31236557	2	21584	83606.384	4672.4192	55	1
3_MACS_peak_341_lociStitched	chr1	24512116	24534076	3	18853	96222.132	4350.276	56	1
3_MACS_peak_1838_lociStitched	chr1	154907861	154935778	3	20389	92184.7257	8062.4296	57	1
3_MACS_peak_15889_lociStitched	chr2	65156529	65178981	3	19236	94525.1652	4771.05	58	1
4_MACS_peak_19430_lociStitched	chr22	37610218	37642316	4	23638	67964.3052	5328.268	59	1
1_MACS_peak_12399_lociStitched	chr17	38464936	38484880	1	19945	88325.9928	3360.564	60	1
5_MACS_peak_19012_lociStitched	chr21	45552537	45581097	5	20343	88473.168	6188.952	61	1
4_MACS_peak_12288_lociStitched	chr17	34408767	34432810	4	23883	62769.0601	4375.826	62	1
4_MACS_peak_23370_lociStitched	chr4	185317376	185350088	4	22376	74112.3072	5374.5816	63	1
6_MACS_peak_6389_lociStitched	chr12	7045667	7080971	6	22998	68638.0368	5920.4808	64	1
4_MACS_peak_27022_lociStitched	chr6	157976430	158007505	4	23341	61916.9375	2430.065	65	1
2_MACS_peak_18933_lociStitched	chr21	41324282	41345229	2	20091	86720.58	5948.948	66	1
2_MACS_peak_13329_lociStitched	chr18	9054262	9074781	2	17865	95054.2675	3861.6758	67	1
7_MACS_peak_17334_lociStitched	chr2	204537475	204574890	7	23790	59658.2175	6278.237	68	1
1_MACS_peak_6510_lociStitched	chr12	12865992	12882032	1	16041	100277.268	3203.188	69	1
2_MACS_peak_26309_lociStitched	chr6	88612346	88640704	2	22769	64786.6868	4769.8156	70	1
5_MACS_peak_30003_lociStitched	chr8	126284918	126322830	5	24619	45839.3992	5857.404	71	1
4_MACS_peak_26333_lociStitched	chr6	90056938	90083674	4	21643	71008.1424	4700.1888	72	1
5_MACS_peak_3304_lociStitched	chr10	11279014	11313122	5	24231	46925.7864	5774.4844	73	1
4_MACS_peak_19775_lociStitched	chr3	5222214	5256338	4	24402	43245.3452	5835.204	74	1
2_MACS_peak_14004_lociStitched	chr19	2081459	2098438	2	15440	98787.2178	4677.7145	75	1
3_MACS_peak_10847_lociStitched	chr16	12052167	12072385	3	15193	98633.513	3922.292	76	1
3_MACS_peak_4414_lociStitched	chr10	112103637	112129258	3	16108	95176.8908	4719.3882	77	1
2_MACS_peak_17286_lociStitched	chr2	201979821	201998037	2	16538	92460.7728	3949.2288	78	1
3_MACS_peak_4808_lociStitched	chr11	10323554	10345262	3	19675	77295.6756	3959.5392	79	1
2_MACS_peak_9560_lociStitched	chr15	31546070	31562273	2	14535	98431.6047	3175.788	80	1
3_MACS_peak_17217_lociStitched	chr2	197023851	197049379	3	23309	48347.4792	4778.8416	81	1
1_MACS_peak_25517_lociStitched	chr6	25402499	25415815	1	13317	100856.7156	2825.6552	82	1
1_MACS_peak_6985_lociStitched	chr12	53587230	53604466	1	17237	86826.35	3891.8888	83	1
1_MACS_peak_22251_lociStitched	chr4	40190939	40209724	1	18786	79148.719	4057.56	84	1
2_MACS_peak_13332_lociStitched	chr18	9095105	9123246	2	22673	50755.1076	5093.521	85	1
1_MACS_peak_31157_lociStitched	chr9	112903453	112925610	1	22158	55042.4194	4723.8724	86	1
5_MACS_peak_12604_lociStitched	chr17	46527848	46562184	5	23808	35122.2944	5153.8336	87	1
5_MACS_peak_7435_lociStitched	chr12	92930745	92964722	5	22048	55212.625	5123.7316	88	1
2_MACS_peak_21090_lociStitched	chr3	133178683	133201117	2	19444	71797.7736	4082.988	89	1
3_MACS_peak_28907_lociStitched	chr8	2027301	2050997	3	17313	82888.608	3753.4464	90	1
2_MACS_peak_18479_lociStitched	chr20	52194083	52216196	2	21777	52317.1467	3734.8857	91	1
5_MACS_peak_10588_lociStitched	chr15	101661121	101692582	5	21438	56161.0311	4722.2961	92	1
2_MACS_peak_7650_lociStitched	chr12	109020010	109036076	2	14050	92837.381	3254.9716	93	1
2_MACS_peak_9685_lociStitched	chr15	40386804	40409271	2	18220	75064.4937	4349.6112	94	1
4_MACS_peak_24187_lociStitched	chr5	88595420	88618408	4	17728	76648.8884	3661.9884	95	1
3_MACS_peak_1910_lociStitched	chr1	156450423	156476319	3	21339	54205.5072	6802.8792	96	1
4_MACS_peak_14376_lociStitched	chr19	16243931	16273095	4	21443	49155.922	4747.8992	97	1
3_MACS_peak_19519_lociStitched	chr22	39823073	39846473	3	16480	81284.58	3844.62	98	1
2_MACS_peak_1897_lociStitched	chr1	156115340	156136786	2	18761	69765.9826	5726.082	99	1
2_MACS_peak_4932_lociStitched	chr11	19449526	19467264	2	16936	77658.7378	3790.6106	100	1
4_MACS_peak_1699_lociStitched	chr1	149802809	149834086	4	17927	75859.2358	7493.9692	101	1
2_MACS_peak_1818_lociStitched	chr1	154374114	154394644	2	18224	71528.573	5235.15	102	1
4_MACS_peak_10985_lociStitched	chr16	23342646	23365764	4	16357	79784.8416	3809.8464	103	1
4_MACS_peak_18242_lociStitched	chr20	37486770	37511924	4	14328	88323.2402	4110.1636	104	1
4_MACS_peak_19850_lociStitched	chr3	13035290	13061759	4	18718	67077.7398	4878.2367	105	1
5_MACS_peak_5946_lociStitched	chr11	111230576	111251972	5	19762	57227.8812	4221.4308	106	1
1_MACS_peak_13334_lociStitched	chr18	9133080	9154423	1	21344	39190.0166	4313.4203	107	1
5_MACS_peak_18502_lociStitched	chr20	52530628	52567148	5	20697	47757.204	5594.864	108	1
5_MACS_peak_6999_lociStitched	chr12	53845680	53870486	5	22250	22913.3022	4296.3992	109	1
5_MACS_peak_12976_lociStitched	chr17	72733001	72757066	5	21158	37810.928	3756.5465	110	1
5_MACS_peak_6872_lociStitched	chr12	48195987	48220665	5	18536	60905.304	4037.3208	111	1
3_MACS_peak_14674_lociStitched	chr19	39880726	39904261	3	18363	61977.069	4372.803	112	1
1_MACS_peak_17088_lociStitched	chr2	182168193	182180596	1	12404	87195.5706	2399.9805	113	1
2_MACS_peak_23662_lociStitched	chr5	32570628	32592454	2	18844	57533.336	3961.419	114	1
3_MACS_peak_25514_lociStitched	chr6	25365707	25390553	3	20333	44263.149	4328.1732	115	1
1_MACS_peak_23362_lociStitched	chr4	185200607	185211151	1	10545	91899.3952	2628.6192	116	1
4_MACS_peak_9201_lociStitched	chr14	81930592	81956054	4	18997	51351.7616	2276.3028	117	1
3_MACS_peak_13070_lociStitched	chr17	75128941	75146983	3	16924	66573.1758	3417.1548	118	1
1_MACS_peak_13798_lociStitched	chr18	60821512	60832154	1	10643	90013.2286	2306.1214	119	1
4_MACS_peak_3279_lociStitched	chr10	7511198	7536737	4	18345	56793.6282	3835.9578	120	1
4_MACS_peak_2305_lociStitched	chr1	183856254	183886019	4	17337	65947.334	6405.428	121	1
5_MACS_peak_15851_lociStitched	chr2	64430158	64456583	5	19456	47525.3625	4516.0325	122	1
4_MACS_peak_9702_lociStitched	chr15	40833641	40862686	4	18669	54183.4475	4708.1945	123	1
4_MACS_peak_3646_lociStitched	chr10	45913496	45934797	4	16522	67121.5811	3357.0376	124	1
4_MACS_peak_20209_lociStitched	chr3	46127043	46153735	4	19678	44866.5828	4724.484	125	1
3_MACS_peak_10202_lociStitched	chr15	75063043	75083666	3	19357	45603.6399	4058.6064	126	1
5_MACS_peak_2266_lociStitched	chr1	181095342	181129682	5	19450	47320.52	7582.272	127	1
4_MACS_peak_16200_lociStitched	chr2	88898358	88928469	4	20355	32020.0374	4989.3927	128	1
6_MACS_peak_10438_lociStitched	chr15	89646447	89676849	6	17995	55416.7656	4338.3654	129	1
1_MACS_peak_27987_lociStitched	chr7	78113396	78128498	1	15103	70817.8086	2786.319	130	1
2_MACS_peak_19217_lociStitched	chr22	24178910	24192306	2	12874	79361.9228	2455.4868	131	1
3_MACS_peak_20019_lociStitched	chr3	30681062	30703837	3	19561	38865.5375	3737.3775	132	1
6_MACS_peak_9316_lociStitched	chr14	95945649	95986208	6	20306	27515.2256	3228.4964	133	1
4_MACS_peak_22464_lociStitched	chr4	74453763	74475727	4	17969	52146.9288	3325.3496	134	1
4_MACS_peak_19279_lociStitched	chr22	29206756	29225883	4	17461	54643.9263	3257.3281	135	1
1_MACS_peak_24179_lociStitched	chr5	88110861	88130462	1	19602	32731.7099	3118.5191	136	1
3_MACS_peak_2382_lociStitched	chr1	192498240	192521320	3	17827	53010.144	5453.804	137	1
4_MACS_peak_9490_lociStitched	chr15	23659220	23683050	4	18739	42741.488	3576.883	138	1
4_MACS_peak_24898_lociStitched	chr5	156339029	156370070	4	18202	47579.6448	4317.8031	139	1
4_MACS_peak_21504_lociStitched	chr3	175050501	175074629	4	17898	50823.2192	5004.1472	140	1
4_MACS_peak_17838_lociStitched	chr20	5567084	5592513	4	19534	30207.1091	4251.7288	141	1
4_MACS_peak_1883_lociStitched	chr1	155939001	155962377	4	17271	53844.2784	5453.6208	142	1
5_MACS_peak_16205_lociStitched	chr2	89039408	89066728	5	16712	56566.06	4256.456	143	1
5_MACS_peak_9449_lociStitched	chr15	20969477	20997230	5	19141	33084.3513	3913.173	144	1
2_MACS_peak_13123_lociStitched	chr17	76711161	76733836	2	18829	37459.1	4258.365	145	1
4_MACS_peak_15685_lociStitched	chr2	47526765	47550853	4	17339	50897.944	3981.7464	146	1
6_MACS_peak_9460_lociStitched	chr15	21975634	22002688	6	18990	32367.4056	3985.0542	147	1
3_MACS_peak_17483_lociStitched	chr2	219741278	219763487	3	18417	39072.2937	3546.7773	148	1
3_MACS_peak_21541_lociStitched	chr3	177055561	177080136	3	15701	62292.71	5526.9175	149	1
1_MACS_peak_23845_lociStitched	chr5	55436839	55454134	1	17296	48457.131	2888.265	150	1
1_MACS_peak_27767_lociStitched	chr7	55568992	55586363	1	17372	47297.7588	3083.3525	151	1
2_MACS_peak_11378_lociStitched	chr16	66549013	66560960	2	11819	75895.7069	2573.3838	152	1
5_MACS_peak_24836_lociStitched	chr5	150512777	150544893	5	18673	34267.772	5170.676	153	1
2_MACS_peak_7647_lociStitched	chr12	108953272	108971261	2	17065	49064.9975	3592.4033	154	1
4_MACS_peak_16253_lociStitched	chr2	97190358	97212970	4	16648	52446.2728	3959.3612	155	1
2_MACS_peak_20682_lociStitched	chr3	98479611	98496771	2	16956	48125.22	3155.724	156	1
2_MACS_peak_2672_lociStitched	chr1	209271815	209285276	2	12006	74310.1044	3058.3392	157	1
3_MACS_peak_9946_lociStitched	chr15	56644681	56666288	3	15476	58421.0066	3446.3165	158	1
5_MACS_peak_21326_lociStitched	chr3	156795172	156824568	5	17066	50243.6432	6861.0264	159	1
5_MACS_peak_9679_lociStitched	chr15	40329861	40358594	5	17495	43754.6124	4904.7231	160	1
1_MACS_peak_21560_lociStitched	chr3	178228404	178241641	1	13238	68808.5734	3153.0534	161	1
1_MACS_peak_24180_lociStitched	chr5	88171036	88187178	1	16143	52624.5342	3244.542	162	1
6_MACS_peak_24347_lociStitched	chr5	109247808	109282504	6	18229	33623.8936	5155.8256	163	1
2_MACS_peak_21727_lociStitched	chr3	186703047	186720620	2	14462	63224.1394	5048.7229	164	1
4_MACS_peak_1990_lociStitched	chr1	160633534	160656020	4	14789	61339.5594	5706.9468	165	1
3_MACS_peak_4420_lociStitched	chr10	112167837	112186735	3	17445	37932.0656	3023.68	166	1
1_MACS_peak_23488_lociStitched	chr5	1311271	1320483	1	9213	78601.39	1679.3476	167	1
6_MACS_peak_15873_lociStitched	chr2	64862693	64895960	6	17646	37787.9853	5535.6288	168	1
3_MACS_peak_18132_lociStitched	chr20	32459243	32473839	3	13107	66007.4908	2523.6484	169	1
2_MACS_peak_10325_lociStitched	chr15	81575603	81596908	2	16172	49474.471	4050.0805	170	1
4_MACS_peak_15246_lociStitched	chr2	13680535	13702700	4	17334	38079.47	3304.8015	171	1
4_MACS_peak_11299_lociStitched	chr16	56961043	56985972	4	16520	44555.6017	4362.575	172	1
4_MACS_peak_18856_lociStitched	chr21	36235866	36263113	4	14852	57521.1417	5588.3597	173	1
1_MACS_peak_27768_lociStitched	chr7	55594724	55605709	1	10986	70968.5925	2460.64	174	1
3_MACS_peak_24191_lociStitched	chr5	88633977	88652764	3	13701	60065.7964	3020.9496	175	1
5_MACS_peak_27572_lociStitched	chr7	38383561	38408569	5	17577	29904.5664	4776.528	176	1
2_MACS_peak_22220_lociStitched	chr4	38306934	38322710	2	14280	56377.1136	3128.3808	177	1
3_MACS_peak_24431_lociStitched	chr5	118657728	118678862	3	16174	43024.5972	3751.285	178	1
2_MACS_peak_12197_lociStitched	chr17	29634543	29651190	2	16080	43200.6297	3229.518	179	1
5_MACS_peak_1290_lociStitched	chr1	93408708	93428841	5	17623	22583.1861	1962.9675	180	1
1_MACS_peak_4424_lociStitched	chr10	112214797	112226406	1	11610	67214.9491	2504.0613	181	1
4_MACS_peak_20215_lociStitched	chr3	46245532	46263708	4	14305	54896.9728	3329.8432	182	1
1_MACS_peak_16457_lociStitched	chr2	112455383	112467940	1	12558	62980.8892	2570.4179	183	1
3_MACS_peak_18986_lociStitched	chr21	44724548	44747510	3	14823	51992.8566	4128.5676	184	1
1_MACS_peak_23369_lociStitched	chr4	185300193	185308304	1	8112	76618.1282	1855.7968	185	1
3_MACS_peak_2016_lociStitched	chr1	161144392	161163564	3	13606	59910.5828	4898.446	186	1
2_MACS_peak_18690_lociStitched	chr21	19151601	19169250	2	15569	45426.7611	3123.873	187	1
4_MACS_peak_13457_lociStitched	chr18	23745536	23772121	4	15832	43633.9605	3626.194	188	1
1_MACS_peak_26519_lociStitched	chr6	109213687	109228744	1	15058	47422.0215	2525.0589	189	1
5_MACS_peak_10968_lociStitched	chr16	22194878	22219191	5	17032	29635.1157	4240.1872	190	1
6_MACS_peak_20229_lociStitched	chr3	46419650	46449417	6	17425	22712.221	4348.9587	191	1
3_MACS_peak_25071_lociStitched	chr5	173696009	173710351	3	14046	52966.4402	2529.9288	192	1
1_MACS_peak_25356_lociStitched	chr6	11826730	11838613	1	11884	63616.8288	2439.5799	193	1
2_MACS_peak_23528_lociStitched	chr5	6475485	6487778	2	11377	65227.8873	2070.1412	194	1
2_MACS_peak_31146_lociStitched	chr9	112668363	112684472	2	14050	52534.6708	2783.6352	195	1
5_MACS_peak_25711_lociStitched	chr6	31773733	31805186	5	16537	33764.7955	5057.6424	196	1
1_MACS_peak_22528_lociStitched	chr4	77608517	77625198	1	16682	29792.266	3211.0925	197	1
4_MACS_peak_2560_lociStitched	chr1	204474653	204494431	4	15053	47380.1768	5001.8562	198	1
4_MACS_peak_31668_lociStitched	chrX	10065008	10091261	4	15908	37232.0046	2268.2592	199	1
3_MACS_peak_25155_lociStitched	chr5	180227888	180249497	3	15568	41100.318	3178.6839	200	1
3_MACS_peak_1995_lociStitched	chr1	160694417	160715646	3	14792	49336.196	5326.3561	201	1
6_MACS_peak_9169_lociStitched	chr14	77487938	77510079	6	16490	30198.1099	1970.549	202	1
5_MACS_peak_18297_lociStitched	chr20	42564619	42588426	5	16339	33482.1648	3616.2833	203	1
1_MACS_peak_18959_lociStitched	chr21	43479645	43487121	1	7477	75570.3984	2318.3076	204	1
4_MACS_peak_5731_lociStitched	chr11	82764056	82790604	4	15238	44640.462	4850.3196	205	1
3_MACS_peak_1118_lociStitched	chr1	75595706	75612596	3	16179	32405.154	2141.652	206	1
2_MACS_peak_15227_lociStitched	chr2	11883423	11898265	2	14473	46727.0686	2773.9698	207	1
5_MACS_peak_31467_lociStitched	chr9	134126946	134153428	5	15838	36071.1322	4057.0424	208	1
2_MACS_peak_32004_lociStitched	chrX	48790379	48805143	2	13437	51972.2328	1765.7744	209	1
1_MACS_peak_17299_lociStitched	chr2	202115789	202128903	1	13115	54453.2622	2620.1772	210	1
3_MACS_peak_18363_lociStitched	chr20	45172206	45192018	3	16022	32075.628	2948.0256	211	1
1_MACS_peak_11298_lociStitched	chr16	56942971	56954999	1	12029	58237.1704	2169.8512	212	1
3_MACS_peak_4033_lociStitched	chr10	81001094	81020781	3	15726	33294.6544	3161.7322	213	1
4_MACS_peak_30912_lociStitched	chr9	93670850	93690425	4	14155	46243.98	2789.4375	214	1
3_MACS_peak_20513_lociStitched	chr3	69128509	69145922	3	15503	35418.042	3451.2566	215	1
2_MACS_peak_5999_lociStitched	chr11	115089703	115102601	2	11525	59929.2672	2329.3788	216	1
6_MACS_peak_25576_lociStitched	chr6	27082424	27116115	6	15486	35796.6875	4629.1434	217	1
4_MACS_peak_15589_lociStitched	chr2	42343447	42361121	4	15249	36328.907	2757.144	218	1
2_MACS_peak_21432_lociStitched	chr3	169655846	169668581	2	12342	56123.145	3597.6375	219	1
2_MACS_peak_19277_lociStitched	chr22	29185726	29199581	2	13664	46610.991	2768.229	220	1
1_MACS_peak_15588_lociStitched	chr2	42322978	42335259	1	12282	53546.3881	2450.0595	222	1
3_MACS_peak_28383_lociStitched	chr7	114556841	114574643	3	13017	51328.5066	4439.8188	223	1
4_MACS_peak_6484_lociStitched	chr12	11901580	11920710	4	15226	32123.096	3435.748	224	1
4_MACS_peak_25535_lociStitched	chr6	26183383	26207385	4	14604	38619.218	3708.309	225	1
4_MACS_peak_27320_lociStitched	chr7	18533772	18561362	4	15432	30078.618	4243.342	226	1
5_MACS_peak_17221_lociStitched	chr2	197074700	197106717	5	15603	28043.6903	4719.3058	227	1
3_MACS_peak_12956_lociStitched	chr17	70582369	70602293	3	14629	37273.8192	3215.7336	228	1
3_MACS_peak_26908_lociStitched	chr6	143162785	143180498	3	15005	31791.2924	1634.9099	229	1
3_MACS_peak_7233_lociStitched	chr12	68751860	68770776	3	12624	51478.0024	3401.0968	230	1
3_MACS_peak_24562_lociStitched	chr5	131822830	131842813	3	14770	35859.4935	3584.9502	231	1
2_MACS_peak_2914_lociStitched	chr1	226839035	226852559	2	12785	50687.952	3666.3564	232	1
3_MACS_peak_2578_lociStitched	chr1	205242284	205259068	3	12738	51330.5072	4132.2208	233	1
3_MACS_peak_30930_lociStitched	chr9	94180329	94196051	3	14861	34112.0234	2962.0248	234	1
2_MACS_peak_24559_lociStitched	chr5	131789831	131804405	2	13660	43969.758	2770.5174	235	1
3_MACS_peak_2201_lociStitched	chr1	174922516	174942385	3	15102	32533.5006	4271.835	236	1
2_MACS_peak_6639_lociStitched	chr12	26265720	26280610	2	14719	34220.198	2620.64	237	1
2_MACS_peak_7856_lociStitched	chr12	123371140	123387424	2	15473	24101.9484	1608.8592	238	1
1_MACS_peak_15608_lociStitched	chr2	43444052	43456919	1	12868	47872.9602	2515.4985	239	1
7_MACS_peak_11106_lociStitched	chr16	30193701	30227225	7	15341	29232.928	5886.8144	240	1
4_MACS_peak_25973_lociStitched	chr6	45382888	45402664	4	13709	42043.776	2887.296	241	1
2_MACS_peak_25553_lociStitched	chr6	26354856	26367778	2	12665	47758.4198	2320.7912	242	1
2_MACS_peak_5952_lociStitched	chr11	111279653	111294506	2	14705	32088.4212	2683.9371	243	1
5_MACS_peak_15666_lociStitched	chr2	46785372	46804516	5	15351	24456.46	3327.2272	244	1
2_MACS_peak_19471_lociStitched	chr22	38781971	38797130	2	15087	26134.116	2657.3727	245	1
2_MACS_peak_3789_lociStitched	chr10	63797955	63814956	2	13652	40506.5826	2793.2643	246	1
2_MACS_peak_6550_lociStitched	chr12	15100942	15116370	2	15139	25326.6048	3119.5416	247	1
3_MACS_peak_29661_lociStitched	chr8	81046334	81061694	3	15033	26184.192	2709.504	248	1
3_MACS_peak_6319_lociStitched	chr12	4216085	4230901	3	10528	57179.3888	2761.7024	249	1
3_MACS_peak_18052_lociStitched	chr20	25261471	25282814	3	13847	37683.2008	3246.2703	250	1
6_MACS_peak_17293_lociStitched	chr2	202081169	202102261	6	15092	24300.0932	3975.842	251	1
3_MACS_peak_10222_lociStitched	chr15	75352717	75371232	3	13832	37726.164	3186.4315	252	1
4_MACS_peak_10424_lociStitched	chr15	89163665	89184905	4	14992	24816.816	3355.92	253	1
1_MACS_peak_1038_lociStitched	chr1	66736644	66750677	1	14034	34636.2506	2629.7842	254	1
3_MACS_peak_3636_lociStitched	chr10	45453921	45475559	3	14882	25483.0726	3278.157	255	1
2_MACS_peak_7430_lociStitched	chr12	92853939	92866962	2	12962	42859.9953	2381.9067	256	1
2_MACS_peak_9958_lociStitched	chr15	58581726	58595710	2	12108	48209.84	2543.6896	257	1
5_MACS_peak_20496_lociStitched	chr3	66530525	66552388	5	15198	19788.2013	3174.5076	258	1
4_MACS_peak_15675_lociStitched	chr2	47193795	47215128	4	13414	40394.0355	3377.0139	259	1
4_MACS_peak_11254_lociStitched	chr16	50713906	50732906	4	14397	30707.8	2736	260	1
