REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
8_MACS_peak_26035_lociStitched	chr6	52392524	52443116	8	38375	94951.0656	9379.7568	19	TRAM2		TRAM2	TRAM2	1.1975	19	1
7_MACS_peak_13617_lociStitched	chr18	46439499	46483127	7	37585	72426.8428	7386.2204	20	SMAD7		SMAD7	SMAD7	1.5156	20	1
5_MACS_peak_12850_lociStitched	chr17	62149810	62187321	5	35829	77478.9705	6673.2069	21	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.0478	21	1
1_MACS_peak_22678_lociStitched	chr4	90204750	90230461	1	25712	137944.6572	5461.0164	22	GPRIN3		GPRIN3	GPRIN3	1.841	22	1
4_MACS_peak_29929_lociStitched	chr8	120912485	120950021	4	33425	87612.7776	6272.2656	23	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.6046	23	1
5_MACS_peak_4555_lociStitched	chr10	125821885	125854832	5	30599	103677.6196	5518.6225	24	CHST15		CHST15	CHST15	1.1079999999999999	24	1
7_MACS_peak_9562_lociStitched	chr15	31616554	31660437	7	32828	86774.2442	6810.6416	25	KLF13		KLF13	KLF13	1.31	25	1
4_MACS_peak_11992_lociStitched	chr17	16858917	16895713	4	28085	116941.3676	6328.912	26	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.6203	26	1
7_MACS_peak_26837_lociStitched	chr6	138245845	138297860	7	33275	66683.23	8421.2285	27			TNFAIP3	TNFAIP3	1.2062	27	1
3_MACS_peak_12295_lociStitched	chr17	34509411	34540539	3	27757	109853.8248	7227.9216	28	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.5526	28	1
5_MACS_peak_4438_lociStitched	chr10	112596767	112633098	5	26410	112342.7182	6099.9749	29	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	2.8207999999999998	29	1
4_MACS_peak_28233_lociStitched	chr7	102063661	102093348	4	23225	117786.1412	4954.7603	30	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.0029	30	1
4_MACS_peak_28795_lociStitched	chr7	150052768	150084893	4	25317	109774.3375	7523.675	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	3.5429000000000004	31	1
6_MACS_peak_14737_lociStitched	chr19	42022266	42070357	6	30161	75002.7236	8488.0615	32		CEACAM21	CEACAM21	CEACAM21	0.012700000000000003	32	1
1_MACS_peak_26453_lociStitched	chr6	106530349	106556497	1	26149	101012.3388	5033.49	33	PRDM1		PRDM1	PRDM1	2.8815	33	1
4_MACS_peak_21645_lociStitched	chr3	183227728	183261017	4	28283	87416.914	8635.1666	34	KLHL6		KLHL6	KLHL6	1.2807	34	1
2_MACS_peak_4956_lociStitched	chr11	22676367	22704023	2	23904	103950.6072	4184.3528	35	GAS2	FANCF	GAS2	GAS2	0.6336999999999999	35	1
3_MACS_peak_22434_lociStitched	chr4	71524681	71555270	3	23954	104651.0868	5230.719	36	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	1.9420000000000002	36	1
2_MACS_peak_21466_lociStitched	chr3	171801339	171827279	2	24477	102719.806	6866.318	37	FNDC3B		FNDC3B	FNDC3B	0.31100000000000005	37	1
4_MACS_peak_20220_lociStitched	chr3	46317570	46347563	4	28686	59980.0014	5083.8135	38		CCR3,CCR2	CCR3	CCR2	1.3157999999999999	38	1
7_MACS_peak_11435_lociStitched	chr16	68269820	68320847	7	28516	58716.7689	8337.8118	39	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.5016999999999999	39	1
3_MACS_peak_24556_lociStitched	chr5	131744863	131774596	3	23229	96114.8958	5527.3647	40	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.1167	40	1
3_MACS_peak_2604_lociStitched	chr1	206282010	206311355	3	22282	101703.901	7036.931	41	C1orf186	CTSE	C1orf186	C1orf186	1.2136	41	1
1_MACS_peak_3300_lociStitched	chr10	11202413	11223822	1	21410	104111.967	5288.023	42	CELF2		CELF2	CELF2	0.43920000000000003	42	1
2_MACS_peak_1728_lociStitched	chr1	150532148	150553405	2	18774	115115.1578	5790.4068	43	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.0045	43	1
4_MACS_peak_14028_lociStitched	chr19	2594383	2628892	4	21526	104158.5147	7409.0823	44	GNG7		GNG7	GNG7	0.5258	44	1
2_MACS_peak_15300_lociStitched	chr2	20397345	20426447	2	23449	91103.811	4976.442	45	SDC1		SDC1	SDC1	2.5029	45	1
5_MACS_peak_27769_lociStitched	chr7	55614339	55643265	5	28059	50739.0966	4761.2196	46	VOPP1		VOPP1	VOPP1	1.4334	46	1
1_MACS_peak_5406_lociStitched	chr11	65183116	65200465	1	17350	114992.6418	4250.505	47	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.0183	47	1
3_MACS_peak_10119_lociStitched	chr15	68568561	68599502	3	27133	56247.6439	5247.5936	48	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.3125	48	1
4_MACS_peak_25059_lociStitched	chr5	173309349	173343961	4	28031	43991.852	5209.106	49	CPEB4		CPEB4	CPEB4	0.5057	49	1
1_MACS_peak_6202_lociStitched	chr11	128585266	128610165	1	24900	67909.5326	4902.6131	50	FLI1		FLI1	FLI1	0.6542999999999999	50	1
2_MACS_peak_17616_lociStitched	chr2	232687093	232714671	2	27419	31229.3272	3229.3838	51		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0392	51	1
1_MACS_peak_5594_lociStitched	chr11	72850757	72870663	1	19907	94557.4812	4030.965	52	FCHSD2		FCHSD2	FCHSD2	0.055999999999999994	52	1
3_MACS_peak_12764_lociStitched	chr17	56404904	56431256	3	18812	100717.344	5304.6576	53	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	4.0339	53	1
5_MACS_peak_29168_lociStitched	chr8	27216314	27253229	5	25736	53478.7605	6260.784	54	PTK2B	TRIM35	PTK2B	PTK2B	0.44360000000000005	54	1
2_MACS_peak_495_lociStitched	chr1	31214061	31236557	2	21584	83606.384	4672.4192	55	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.2349	55	1
3_MACS_peak_341_lociStitched	chr1	24512116	24534076	3	18853	96222.132	4350.276	56	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	1.0261	56	1
3_MACS_peak_1838_lociStitched	chr1	154907861	154935778	3	20389	92184.7257	8062.4296	57	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.206	57	1
3_MACS_peak_15889_lociStitched	chr2	65156529	65178981	3	19236	94525.1652	4771.05	58	LOC400958	SLC1A4	LOC400958	LOC400958	1.6567999999999998	58	1
4_MACS_peak_19430_lociStitched	chr22	37610218	37642316	4	23638	67964.3052	5328.268	59	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.2895999999999999	59	1
1_MACS_peak_12399_lociStitched	chr17	38464936	38484880	1	19945	88325.9928	3360.564	60	RARA	CDC6,RARA,GJD3	RARA	RARA	1.4704	60	1
5_MACS_peak_19012_lociStitched	chr21	45552537	45581097	5	20343	88473.168	6188.952	61	C21orf33	PWP2	C21orf33	C21orf33	1.0497999999999998	61	1
4_MACS_peak_12288_lociStitched	chr17	34408767	34432810	4	23883	62769.0601	4375.826	62	CCL4,CCL3	CCL18	CCL3	CCL3	3.125	62	1
4_MACS_peak_23370_lociStitched	chr4	185317376	185350088	4	22376	74112.3072	5374.5816	63	IRF2		IRF2	IRF2	1.7958	63	1
6_MACS_peak_6389_lociStitched	chr12	7045667	7080971	6	22998	68638.0368	5920.4808	64	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.2306	64	1
4_MACS_peak_27022_lociStitched	chr6	157976430	158007505	4	23341	61916.9375	2430.065	65	ZDHHC14	MIR3692	MIR3692	MIR3692	0.022800000000000008	65	1
2_MACS_peak_18933_lociStitched	chr21	41324282	41345229	2	20091	86720.58	5948.948	66			PCP4	PCP4	0.3005	66	1
2_MACS_peak_13329_lociStitched	chr18	9054262	9074781	2	17865	95054.2675	3861.6758	67		NDUFV2	NDUFV2	NDUFV2	1.4982000000000002	67	1
7_MACS_peak_17334_lociStitched	chr2	204537475	204574890	7	23790	59658.2175	6278.237	68	CD28		CD28	CD28	1.1197	68	1
1_MACS_peak_6510_lociStitched	chr12	12865992	12882032	1	16041	100277.268	3203.188	69	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	6.4267	69	1
2_MACS_peak_26309_lociStitched	chr6	88612346	88640704	2	22769	64786.6868	4769.8156	70			SPACA1	SPACA1	NONE	70	1
5_MACS_peak_30003_lociStitched	chr8	126284918	126322830	5	24619	45839.3992	5857.404	71	NSMCE2		TRIB1	TRIB1	0.8843	71	1
4_MACS_peak_26333_lociStitched	chr6	90056938	90083674	4	21643	71008.1424	4700.1888	72	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.2136	72	1
5_MACS_peak_3304_lociStitched	chr10	11279014	11313122	5	24231	46925.7864	5774.4844	73	CELF2		CELF2	CELF2	0.43920000000000003	73	1
4_MACS_peak_19775_lociStitched	chr3	5222214	5256338	4	24402	43245.3452	5835.204	74	ARL8B,EDEM1		EDEM1	EDEM1	0.7699	74	1
2_MACS_peak_14004_lociStitched	chr19	2081459	2098438	2	15440	98787.2178	4677.7145	75	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.6748	75	1
3_MACS_peak_10847_lociStitched	chr16	12052167	12072385	3	15193	98633.513	3922.292	76	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	6.9968	76	1
3_MACS_peak_4414_lociStitched	chr10	112103637	112129258	3	16108	95176.8908	4719.3882	77		SMNDC1	SMNDC1	SMNDC1	0.04920000000000002	77	1
2_MACS_peak_17286_lociStitched	chr2	201979821	201998037	2	16538	92460.7728	3949.2288	78	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.5628	78	1
3_MACS_peak_4808_lociStitched	chr11	10323554	10345262	3	19675	77295.6756	3959.5392	79	ADM	SBF2	ADM	ADM	3.8213	79	1
2_MACS_peak_9560_lociStitched	chr15	31546070	31562273	2	14535	98431.6047	3175.788	80			KLF13	KLF13	1.31	80	1
3_MACS_peak_17217_lociStitched	chr2	197023851	197049379	3	23309	48347.4792	4778.8416	81	STK17B		STK17B	STK17B	0.4514	81	1
1_MACS_peak_25517_lociStitched	chr6	25402499	25415815	1	13317	100856.7156	2825.6552	82	LRRC16A		LRRC16A	LRRC16A	0.41019999999999995	82	1
1_MACS_peak_6985_lociStitched	chr12	53587230	53604466	1	17237	86826.35	3891.8888	83	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	ITGB7	3.2321	83	1
1_MACS_peak_22251_lociStitched	chr4	40190939	40209724	1	18786	79148.719	4057.56	84	RHOH		RHOH	RHOH	1.2046	84	1
2_MACS_peak_13332_lociStitched	chr18	9095105	9123246	2	22673	50755.1076	5093.521	85	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.4982000000000002	85	1
1_MACS_peak_31157_lociStitched	chr9	112903453	112925610	1	22158	55042.4194	4723.8724	86	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.5329	86	1
5_MACS_peak_12604_lociStitched	chr17	46527848	46562184	5	23808	35122.2944	5153.8336	87		SKAP1,HOXB1	SKAP1	SKAP1	0.01050000000000001	87	1
5_MACS_peak_7435_lociStitched	chr12	92930745	92964722	5	22048	55212.625	5123.7316	88			CLLU1OS	CLLU1OS	0.186	88	1
2_MACS_peak_21090_lociStitched	chr3	133178683	133201117	2	19444	71797.7736	4082.988	89	BFSP2		BFSP2	BFSP2	0.9267000000000001	89	1
3_MACS_peak_28907_lociStitched	chr8	2027301	2050997	3	17313	82888.608	3753.4464	90	MYOM2		MYOM2	MYOM2	0.9188	90	1
2_MACS_peak_18479_lociStitched	chr20	52194083	52216196	2	21777	52317.1467	3734.8857	91	ZNF217		ZNF217	ZNF217	0.7591	91	1
5_MACS_peak_10588_lociStitched	chr15	101661121	101692582	5	21438	56161.0311	4722.2961	92			CHSY1	CHSY1	NONE	92	1
2_MACS_peak_7650_lociStitched	chr12	109020010	109036076	2	14050	92837.381	3254.9716	93	SELPLG	TMEM119	SELPLG	SELPLG	4.579400000000001	93	1
2_MACS_peak_9685_lociStitched	chr15	40386804	40409271	2	18220	75064.4937	4349.6112	94	BMF	BUB1B	BMF	BMF	2.455	94	1
4_MACS_peak_24187_lociStitched	chr5	88595420	88618408	4	17728	76648.8884	3661.9884	95			MEF2C	MEF2C	0.4077	95	1
3_MACS_peak_1910_lociStitched	chr1	156450423	156476319	3	21339	54205.5072	6802.8792	96	MEF2D		MEF2D	MEF2D	0.9768999999999999	96	1
4_MACS_peak_14376_lociStitched	chr19	16243931	16273095	4	21443	49155.922	4747.8992	97	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.2958	97	1
3_MACS_peak_19519_lociStitched	chr22	39823073	39846473	3	16480	81284.58	3844.62	98	TAB1	MGAT3	MGAT3	MGAT3	0.39130000000000004	98	1
2_MACS_peak_1897_lociStitched	chr1	156115340	156136786	2	18761	69765.9826	5726.082	99	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.6849	99	1
2_MACS_peak_4932_lociStitched	chr11	19449526	19467264	2	16936	77658.7378	3790.6106	100	NAV2		NAV2	NAV2	0.08600000000000001	100	1
4_MACS_peak_1699_lociStitched	chr1	149802809	149834086	4	17927	75859.2358	7493.9692	101	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.6792	101	1
2_MACS_peak_1818_lociStitched	chr1	154374114	154394644	2	18224	71528.573	5235.15	102	IL6R		IL6R	IL6R	0.9089	102	1
4_MACS_peak_10985_lociStitched	chr16	23342646	23365764	4	16357	79784.8416	3809.8464	103	SCNN1B		SCNN1B	SCNN1B	1.1494	103	1
4_MACS_peak_18242_lociStitched	chr20	37486770	37511924	4	14328	88323.2402	4110.1636	104	PPP1R16B	FAM83D	FAM83D	FAM83D	0.038000000000000006	104	1
4_MACS_peak_19850_lociStitched	chr3	13035290	13061759	4	18718	67077.7398	4878.2367	105	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3439	105	1
5_MACS_peak_5946_lociStitched	chr11	111230576	111251972	5	19762	57227.8812	4221.4308	106	POU2AF1		POU2AF1	POU2AF1	1.4162	106	1
1_MACS_peak_13334_lociStitched	chr18	9133080	9154423	1	21344	39190.0166	4313.4203	107	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2081	107	1
5_MACS_peak_18502_lociStitched	chr20	52530628	52567148	5	20697	47757.204	5594.864	108	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	1.2164	108	1
5_MACS_peak_6999_lociStitched	chr12	53845680	53870486	5	22250	22913.3022	4296.3992	109	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.5016	109	1
5_MACS_peak_12976_lociStitched	chr17	72733001	72757066	5	21158	37810.928	3756.5465	110	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.6279	110	1
5_MACS_peak_6872_lociStitched	chr12	48195987	48220665	5	18536	60905.304	4037.3208	111	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.1915	111	1
3_MACS_peak_14674_lociStitched	chr19	39880726	39904261	3	18363	61977.069	4372.803	112	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.596	112	1
1_MACS_peak_17088_lociStitched	chr2	182168193	182180596	1	12404	87195.5706	2399.9805	113			ITGA4	ITGA4	NONE	113	1
2_MACS_peak_23662_lociStitched	chr5	32570628	32592454	2	18844	57533.336	3961.419	114	SUB1		SUB1	SUB1	1.2607	114	1
3_MACS_peak_25514_lociStitched	chr6	25365707	25390553	3	20333	44263.149	4328.1732	115	LRRC16A		LRRC16A	LRRC16A	0.41019999999999995	115	1
1_MACS_peak_23362_lociStitched	chr4	185200607	185211151	1	10545	91899.3952	2628.6192	116			ENPP6	NONE	NONE	116	1
4_MACS_peak_9201_lociStitched	chr14	81930592	81956054	4	18997	51351.7616	2276.3028	117	SEL1L		SEL1L	SEL1L	0.7236	117	1
3_MACS_peak_13070_lociStitched	chr17	75128941	75146983	3	16924	66573.1758	3417.1548	118	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.7896	118	1
1_MACS_peak_13798_lociStitched	chr18	60821512	60832154	1	10643	90013.2286	2306.1214	119	BCL2		BCL2	BCL2	0.6677	119	1
4_MACS_peak_3279_lociStitched	chr10	7511198	7536737	4	18345	56793.6282	3835.9578	120			SFMBT2	SFMBT2	NONE	120	1
4_MACS_peak_2305_lociStitched	chr1	183856254	183886019	4	17337	65947.334	6405.428	121	RGL1		GLT25D2	GLT25D2	NONE	121	1
5_MACS_peak_15851_lociStitched	chr2	64430158	64456583	5	19456	47525.3625	4516.0325	122	LOC150992		LOC150992	LOC150992	0.43539999999999995	122	1
4_MACS_peak_9702_lociStitched	chr15	40833641	40862686	4	18669	54183.4475	4708.1945	123	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.1633	123	1
4_MACS_peak_3646_lociStitched	chr10	45913496	45934797	4	16522	67121.5811	3357.0376	124	ALOX5		ALOX5	ALOX5	0.8224	124	1
4_MACS_peak_20209_lociStitched	chr3	46127043	46153735	4	19678	44866.5828	4724.484	125			XCR1	XCR1	NONE	125	1
3_MACS_peak_10202_lociStitched	chr15	75063043	75083666	3	19357	45603.6399	4058.6064	126	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	1.1764999999999999	126	1
5_MACS_peak_2266_lociStitched	chr1	181095342	181129682	5	19450	47320.52	7582.272	127		IER5	IER5	IER5	0.6387	127	1
4_MACS_peak_16200_lociStitched	chr2	88898358	88928469	4	20355	32020.0374	4989.3927	128	EIF2AK3		EIF2AK3	EIF2AK3	0.32410000000000005	128	1
6_MACS_peak_10438_lociStitched	chr15	89646447	89676849	6	17995	55416.7656	4338.3654	129	ABHD2		ABHD2	ABHD2	0.4346	129	1
1_MACS_peak_27987_lociStitched	chr7	78113396	78128498	1	15103	70817.8086	2786.319	130	MAGI2		RPL13AP17	RPL13AP17	NONE	130	1
2_MACS_peak_19217_lociStitched	chr22	24178910	24192306	2	12874	79361.9228	2455.4868	131	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	0.8467	131	1
3_MACS_peak_20019_lociStitched	chr3	30681062	30703837	3	19561	38865.5375	3737.3775	132	TGFBR2		TGFBR2	TGFBR2	0.4391	132	1
6_MACS_peak_9316_lociStitched	chr14	95945649	95986208	6	20306	27515.2256	3228.4964	133		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.17850000000000002	133	1
4_MACS_peak_22464_lociStitched	chr4	74453763	74475727	4	17969	52146.9288	3325.3496	134	RASSF6		RASSF6	RASSF6	0.8878000000000001	134	1
4_MACS_peak_19279_lociStitched	chr22	29206756	29225883	4	17461	54643.9263	3257.3281	135		CCDC117,XBP1	XBP1	XBP1	2.7477	135	1
1_MACS_peak_24179_lociStitched	chr5	88110861	88130462	1	19602	32731.7099	3118.5191	136	MEF2C		MEF2C	MEF2C	0.4077	136	1
3_MACS_peak_2382_lociStitched	chr1	192498240	192521320	3	17827	53010.144	5453.804	137		RGS1	RGS1	RGS1	1.0593000000000001	137	1
4_MACS_peak_9490_lociStitched	chr15	23659220	23683050	4	18739	42741.488	3576.883	138			MKRN3	MKRN3	NONE	138	1
4_MACS_peak_24898_lociStitched	chr5	156339029	156370070	4	18202	47579.6448	4317.8031	139	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.8579999999999999	139	1
4_MACS_peak_21504_lociStitched	chr3	175050501	175074629	4	17898	50823.2192	5004.1472	140	NAALADL2		NAALADL2	NAALADL2	0.12600000000000003	140	1
4_MACS_peak_17838_lociStitched	chr20	5567084	5592513	4	19534	30207.1091	4251.7288	141	GPCPD1		GPCPD1	GPCPD1	0.3113	141	1
4_MACS_peak_1883_lociStitched	chr1	155939001	155962377	4	17271	53844.2784	5453.6208	142	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	1.4344	142	1
5_MACS_peak_16205_lociStitched	chr2	89039408	89066728	5	16712	56566.06	4256.456	143	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.025099999999999983	143	1
5_MACS_peak_9449_lociStitched	chr15	20969477	20997230	5	19141	33084.3513	3913.173	144		BCL8	BCL8	NONE	NONE	144	1
2_MACS_peak_13123_lociStitched	chr17	76711161	76733836	2	18829	37459.1	4258.365	145	CYTH1		CYTH1	CYTH1	0.5689	145	1
4_MACS_peak_15685_lociStitched	chr2	47526765	47550853	4	17339	50897.944	3981.7464	146		EPCAM	EPCAM	NONE	NONE	146	1
6_MACS_peak_9460_lociStitched	chr15	21975634	22002688	6	18990	32367.4056	3985.0542	147		LOC646214,CXADRP2	CXADRP2	LOC646214	0.07249999999999998	147	1
3_MACS_peak_17483_lociStitched	chr2	219741278	219763487	3	18417	39072.2937	3546.7773	148	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.517	148	1
3_MACS_peak_21541_lociStitched	chr3	177055561	177080136	3	15701	62292.71	5526.9175	149			TBL1XR1	TBL1XR1	0.2827	149	1
1_MACS_peak_23845_lociStitched	chr5	55436839	55454134	1	17296	48457.131	2888.265	150	ANKRD55		ANKRD55	ANKRD55	0.39049999999999996	150	1
1_MACS_peak_27767_lociStitched	chr7	55568992	55586363	1	17372	47297.7588	3083.3525	151	VOPP1		VOPP1	VOPP1	1.4334	151	1
2_MACS_peak_11378_lociStitched	chr16	66549013	66560960	2	11819	75895.7069	2573.3838	152	TK2	CKLF,CMTM1	TK2	TK2	1.7576999999999998	152	1
5_MACS_peak_24836_lociStitched	chr5	150512777	150544893	5	18673	34267.772	5170.676	153	ANXA6		ANXA6	ANXA6	0.4234	153	1
2_MACS_peak_7647_lociStitched	chr12	108953272	108971261	2	17065	49064.9975	3592.4033	154	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.597	154	1
4_MACS_peak_16253_lociStitched	chr2	97190358	97212970	4	16648	52446.2728	3959.3612	155	ARID5A	NEURL3	ARID5A	ARID5A	1.1219	155	1
2_MACS_peak_20682_lociStitched	chr3	98479611	98496771	2	16956	48125.22	3155.724	156	ST3GAL6		ST3GAL6	ST3GAL6	0.9772000000000001	156	1
2_MACS_peak_2672_lociStitched	chr1	209271815	209285276	2	12006	74310.1044	3058.3392	157			LOC642587	LOC642587	NONE	157	1
3_MACS_peak_9946_lociStitched	chr15	56644681	56666288	3	15476	58421.0066	3446.3165	158	TEX9		TEX9	TEX9	0.5345	158	1
5_MACS_peak_21326_lociStitched	chr3	156795172	156824568	5	17066	50243.6432	6861.0264	159	LOC100498859,LOC339894		LOC100498859	LOC100498859	1.9227	159	1
5_MACS_peak_9679_lociStitched	chr15	40329861	40358594	5	17495	43754.6124	4904.7231	160	SRP14	BMF	SRP14	BMF	2.455	160	1
1_MACS_peak_21560_lociStitched	chr3	178228404	178241641	1	13238	68808.5734	3153.0534	161		KCNMB2	KCNMB2	KCNMB2	0.03609999999999999	161	1
1_MACS_peak_24180_lociStitched	chr5	88171036	88187178	1	16143	52624.5342	3244.542	162	MEF2C		MEF2C	MEF2C	0.4077	162	1
