REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
6_MACS_peak_1073_lociStitched	chr1	68201175	68232772	6	12788	23571.362	4218.199500000001
5_MACS_peak_10588_lociStitched	chr15	101661121	101692582	5	21438	56161.0311	4722.2961000000005
5_MACS_peak_25711_lociStitched	chr6	31773733	31805186	5	16537	33764.7955	5057.6424
4_MACS_peak_1699_lociStitched	chr1	149802809	149834086	4	17927	75859.2358	7493.9692000000005
3_MACS_peak_12295_lociStitched	chr17	34509411	34540539	3	27757	109853.8248	7227.9216
4_MACS_peak_27022_lociStitched	chr6	157976430	158007505	4	23341	61916.9375	2430.065
4_MACS_peak_24898_lociStitched	chr5	156339029	156370070	4	18202	47579.644799999995	4317.8031
3_MACS_peak_10119_lociStitched	chr15	68568561	68599502	3	27133	56247.6439	5247.5936
3_MACS_peak_22434_lociStitched	chr4	71524681	71555270	3	23954	104651.08679999999	5230.719
6_MACS_peak_10438_lociStitched	chr15	89646447	89676849	6	17995	55416.7656	4338.3654
7_MACS_peak_14210_lociStitched	chr19	10513389	10543541	7	13801	19336.4776	3576.0272
4_MACS_peak_16200_lociStitched	chr2	88898358	88928469	4	20355	32020.037399999997	4989.392699999999
4_MACS_peak_20220_lociStitched	chr3	46317570	46347563	4	28686	59980.0014	5083.8135
6_MACS_peak_20229_lociStitched	chr3	46419650	46449417	6	17425	22712.221	4348.9587
4_MACS_peak_2305_lociStitched	chr1	183856254	183886019	4	17337	65947.33399999999	6405.428
3_MACS_peak_24556_lociStitched	chr5	131744863	131774596	3	23229	96114.8958	5527.3647
4_MACS_peak_28233_lociStitched	chr7	102063661	102093348	4	23225	117786.1412	4954.7603
5_MACS_peak_21326_lociStitched	chr3	156795172	156824568	5	17066	50243.6432	6861.0264
3_MACS_peak_2604_lociStitched	chr1	206282010	206311355	3	22282	101703.90100000001	7036.9310000000005
6_MACS_peak_15941_lociStitched	chr2	68936242	68965530	6	14671	28901.398400000002	4378.556
4_MACS_peak_14376_lociStitched	chr19	16243931	16273095	4	21443	49155.922	4747.8992
2_MACS_peak_15300_lociStitched	chr2	20397345	20426447	2	23449	91103.811	4976.442
4_MACS_peak_9702_lociStitched	chr15	40833641	40862686	4	18669	54183.447499999995	4708.1945
2_MACS_peak_9424_lociStitched	chr14	106145001	106173956	2	28913	150198.27149999997	3312.452
5_MACS_peak_27769_lociStitched	chr7	55614339	55643265	5	28059	50739.0966	4761.219599999999
5_MACS_peak_9679_lociStitched	chr15	40329861	40358594	5	17495	43754.6124	4904.7231
5_MACS_peak_19012_lociStitched	chr21	45552537	45581097	5	20343	88473.16799999999	6188.952
2_MACS_peak_26309_lociStitched	chr6	88612346	88640704	2	22769	64786.6868	4769.8156
2_MACS_peak_13332_lociStitched	chr18	9095105	9123246	2	22673	50755.1076	5093.521
3_MACS_peak_1838_lociStitched	chr1	154907861	154935778	3	20389	92184.7257	8062.4296
5_MACS_peak_4240_lociStitched	chr10	99159219	99187023	5	9545	10673.955600000001	3656.226
5_MACS_peak_9449_lociStitched	chr15	20969477	20997230	5	19141	33084.351299999995	3913.173
5_MACS_peak_25326_lociStitched	chr6	10403244	10430906	5	10962	21717.4362	3745.4348
2_MACS_peak_4956_lociStitched	chr11	22676367	22704023	2	23904	103950.6072	4184.3528
4_MACS_peak_27320_lociStitched	chr7	18533772	18561362	4	15432	30078.618000000002	4243.342
2_MACS_peak_17616_lociStitched	chr2	232687093	232714671	2	27419	31229.327200000003	3229.3838
5_MACS_peak_16205_lociStitched	chr2	89039408	89066728	5	16712	56566.06	4256.456
6_MACS_peak_5479_lociStitched	chr11	66861869	66889130	6	11062	14688.226799999999	3462.147
7_MACS_peak_5354_lociStitched	chr11	63992769	64020027	7	13974	19573.9698	3807.9426
4_MACS_peak_18856_lociStitched	chr21	36235866	36263113	4	14852	57521.1417	5588.3597
6_MACS_peak_9460_lociStitched	chr15	21975634	22002688	6	18990	32367.4056	3985.0541999999996
4_MACS_peak_26333_lociStitched	chr6	90056938	90083674	4	21643	71008.1424	4700.1888
5_MACS_peak_12542_lociStitched	chr17	43504962	43531675	5	14858	23242.9813	3542.1438
4_MACS_peak_20209_lociStitched	chr3	46127043	46153735	4	19678	44866.582800000004	4724.4839999999995
4_MACS_peak_23439_lociStitched	chr4	187748974	187775631	4	11890	27800.5853	3825.2794999999996
4_MACS_peak_13457_lociStitched	chr18	23745536	23772121	4	15832	43633.9605	3626.194
4_MACS_peak_5731_lociStitched	chr11	82764056	82790604	4	15238	44640.462	4850.3196
5_MACS_peak_31467_lociStitched	chr9	134126946	134153428	5	15838	36071.1322	4057.0424000000003
4_MACS_peak_19850_lociStitched	chr3	13035290	13061759	4	18718	67077.7398	4878.2366999999995
5_MACS_peak_15851_lociStitched	chr2	64430158	64456583	5	19456	47525.3625	4516.0325
3_MACS_peak_12764_lociStitched	chr17	56404904	56431256	3	18812	100717.344	5304.6576000000005
4_MACS_peak_31668_lociStitched	chrX	10065008	10091261	4	15908	37232.0046	2268.2592
1_MACS_peak_26453_lociStitched	chr6	106530349	106556497	1	26149	101012.33880000001	5033.49
6_MACS_peak_15977_lociStitched	chr2	70334954	70360905	6	12679	36891.9416	3895.2451
2_MACS_peak_21466_lociStitched	chr3	171801339	171827279	2	24477	102719.80600000001	6866.318
3_MACS_peak_1910_lociStitched	chr1	156450423	156476319	3	21339	54205.5072	6802.879199999999
1_MACS_peak_22678_lociStitched	chr4	90204750	90230461	1	25712	137944.6572	5461.0164
3_MACS_peak_4414_lociStitched	chr10	112103637	112129258	3	16108	95176.8908	4719.3882
4_MACS_peak_3279_lociStitched	chr10	7511198	7536737	4	18345	56793.62820000001	3835.9578
3_MACS_peak_17217_lociStitched	chr2	197023851	197049379	3	23309	48347.479199999994	4778.8416
4_MACS_peak_9201_lociStitched	chr14	81930592	81956054	4	18997	51351.7616	2276.3028
4_MACS_peak_17838_lociStitched	chr20	5567084	5592513	4	19534	30207.109099999998	4251.7288
6_MACS_peak_13561_lociStitched	chr18	42288537	42313900	6	14050	18010.2663	3819.6678
4_MACS_peak_14019_lociStitched	chr19	2455389	2480615	4	13181	32296.8478	4550.7704
4_MACS_peak_18242_lociStitched	chr20	37486770	37511924	4	14328	88323.2402	4110.1636
5_MACS_peak_11410_lociStitched	chr16	67562370	67587482	5	12373	24401.3304	3711.5535999999997
5_MACS_peak_27572_lociStitched	chr7	38383561	38408569	5	17577	29904.5664	4776.528
4_MACS_peak_11299_lociStitched	chr16	56961043	56985972	4	16520	44555.6017	4362.575
6_MACS_peak_5664_lociStitched	chr11	77146744	77171661	6	12842	17419.474700000002	3949.3445
1_MACS_peak_6202_lociStitched	chr11	128585266	128610165	1	24900	67909.53259999999	4902.6131
3_MACS_peak_25514_lociStitched	chr6	25365707	25390553	3	20333	44263.149000000005	4328.1732
5_MACS_peak_6999_lociStitched	chr12	53845680	53870486	5	22250	22913.3022	4296.3992
5_MACS_peak_11394_lociStitched	chr16	67184095	67208857	5	10946	18244.6416	3436.9656
5_MACS_peak_6872_lociStitched	chr12	48195987	48220665	5	18536	60905.304	4037.3208
5_MACS_peak_1592_lociStitched	chr1	144960522	144985177	5	11372	25732.4235	6762.8665
4_MACS_peak_18822_lociStitched	chr21	34732642	34757296	4	11935	28798.337399999997	5066.397
3_MACS_peak_21541_lociStitched	chr3	177055561	177080136	3	15701	62292.71000000001	5526.9175
5_MACS_peak_10968_lociStitched	chr16	22194878	22219191	5	17032	29635.115700000002	4240.1872
4_MACS_peak_21504_lociStitched	chr3	175050501	175074629	4	17898	50823.21919999999	5004.1472
5_MACS_peak_14119_lociStitched	chr19	6765534	6789647	5	11411	16736.833300000002	4921.4633
4_MACS_peak_15685_lociStitched	chr2	47526765	47550853	4	17339	50897.944	3981.7464
5_MACS_peak_12976_lociStitched	chr17	72733001	72757066	5	21158	37810.928	3756.5465
4_MACS_peak_12288_lociStitched	chr17	34408767	34432810	4	23883	62769.0601	4375.826
4_MACS_peak_25535_lociStitched	chr6	26183383	26207385	4	14604	38619.218	3708.3089999999997
5_MACS_peak_7511_lociStitched	chr12	96878263	96902137	5	12770	25497.432	3447.4056
4_MACS_peak_9490_lociStitched	chr15	23659220	23683050	4	18739	42741.488000000005	3576.8830000000003
5_MACS_peak_18297_lociStitched	chr20	42564619	42588426	5	16339	33482.1648	3616.2833
5_MACS_peak_25764_lociStitched	chr6	33537771	33561566	5	11231	18652.9005	3300.3664999999996
5_MACS_peak_10090_lociStitched	chr15	67372575	67396337	5	12552	18477.3312	3975.3826
3_MACS_peak_28907_lociStitched	chr8	2027301	2050997	3	17313	82888.60800000001	3753.4464000000003
4_MACS_peak_25104_lociStitched	chr5	176717146	176740809	4	12819	27368.6258	3939.8895
5_MACS_peak_11071_lociStitched	chr16	29464370	29487934	5	11208	13450.331199999999	4338.1324
3_MACS_peak_14674_lociStitched	chr19	39880726	39904261	3	18363	61977.068999999996	4372.803
5_MACS_peak_5723_lociStitched	chr11	82666413	82689940	5	12433	23741.0957	3444.3528
4_MACS_peak_29752_lociStitched	chr8	95986861	96010332	4	13900	16692.575200000003	2011.4647
4_MACS_peak_23280_lociStitched	chr4	173896576	173919991	4	14860	23813.054999999997	3320.2470000000003
6_MACS_peak_4651_lociStitched	chr11	554173	577587	6	7740	12037.1374	2289.8892
3_MACS_peak_19519_lociStitched	chr22	39823073	39846473	3	16480	81284.58	3844.62
5_MACS_peak_11497_lociStitched	chr16	70827041	70850438	5	9572	10774.318500000001	3305.9961000000003
4_MACS_peak_1883_lociStitched	chr1	155939001	155962377	4	17271	53844.278399999996	5453.620800000001
5_MACS_peak_5372_lociStitched	chr11	64611170	64634293	5	10729	20454.6058	3147.0403
4_MACS_peak_10985_lociStitched	chr16	23342646	23365764	4	16357	79784.8416	3809.8464
6_MACS_peak_4354_lociStitched	chr10	105244800	105267912	6	12281	13021.3008	3499.1568
4_MACS_peak_6754_lociStitched	chr12	33037594	33060684	4	13377	17008.094	3883.738
3_MACS_peak_2382_lociStitched	chr1	192498240	192521320	3	17827	53010.14400000001	5453.804
4_MACS_peak_24187_lociStitched	chr5	88595420	88618408	4	17728	76648.8884	3661.9883999999997
3_MACS_peak_18986_lociStitched	chr21	44724548	44747510	3	14823	51992.8566	4128.567599999999
4_MACS_peak_23407_lociStitched	chr4	186252317	186275244	4	12185	22250.6535	3363.3909
5_MACS_peak_2150_lociStitched	chr1	169873086	169895945	5	11829	16771.6483	4322.6368999999995
5_MACS_peak_6840_lociStitched	chr12	46776053	46798882	5	14016	28184.683399999998	3538.495
3_MACS_peak_20019_lociStitched	chr3	30681062	30703837	3	19561	38865.5375	3737.3775
2_MACS_peak_13123_lociStitched	chr17	76711161	76733836	2	18829	37459.1	4258.365
5_MACS_peak_1859_lociStitched	chr1	155210204	155232878	5	8963	15706.2798	4745.6682
4_MACS_peak_16253_lociStitched	chr2	97190358	97212970	4	16648	52446.2728	3959.3612000000003
4_MACS_peak_24744_lociStitched	chr5	142952714	142975284	4	10967	25000.788999999997	3649.5690000000004
4_MACS_peak_13051_lociStitched	chr17	74476092	74498600	4	12566	30604.127599999996	3128.612
2_MACS_peak_495_lociStitched	chr1	31214061	31236557	2	21584	83606.38399999999	4672.4192
4_MACS_peak_1990_lociStitched	chr1	160633534	160656020	4	14789	61339.5594	5706.946800000001
2_MACS_peak_9685_lociStitched	chr15	40386804	40409271	2	18220	75064.49369999999	4349.6112
3_MACS_peak_15889_lociStitched	chr2	65156529	65178981	3	19236	94525.16519999999	4771.05
2_MACS_peak_21090_lociStitched	chr3	133178683	133201117	2	19444	71797.7736	4082.988
5_MACS_peak_17184_lociStitched	chr2	192481484	192503868	5	11128	13891.510400000001	3422.5136
6_MACS_peak_9786_lociStitched	chr15	44954488	44976806	6	10512	16872.408	3428.0447999999997
4_MACS_peak_31850_lociStitched	chrX	37635096	37657321	4	10327	14292.897500000001	1713.5475000000001
3_MACS_peak_17483_lociStitched	chr2	219741278	219763487	3	18417	39072.2937	3546.7773
4_MACS_peak_14908_lociStitched	chr19	48880241	48902435	4	9656	23174.9748	3053.8944
5_MACS_peak_28209_lociStitched	chr7	101376444	101398624	5	11066	14177.456	3012.044
4_MACS_peak_15246_lociStitched	chr2	13680535	13702700	4	17334	38079.47	3304.8015
1_MACS_peak_31157_lociStitched	chr9	112903453	112925610	1	22158	55042.4194	4723.8724
6_MACS_peak_11084_lociStitched	chr16	29815501	29837643	6	14015	30420.893799999998	3223.8752
6_MACS_peak_9169_lociStitched	chr14	77487938	77510079	6	16490	30198.109899999996	1970.549
3_MACS_peak_18488_lociStitched	chr20	52336841	52358973	3	12343	36632.8864	3452.592
5_MACS_peak_24172_lociStitched	chr5	87954543	87976666	5	11482	39989.5348	3265.3548
2_MACS_peak_18479_lociStitched	chr20	52194083	52216196	2	21777	52317.1467	3734.8857
3_MACS_peak_21041_lociStitched	chr3	129026402	129048418	3	13970	26487.4496	3306.8032
4_MACS_peak_4665_lociStitched	chr11	789032	811016	4	9943	15423.9744	2886.4992
4_MACS_peak_22464_lociStitched	chr4	74453763	74475727	4	17969	52146.9288	3325.3496
3_MACS_peak_341_lociStitched	chr1	24512116	24534076	3	18853	96222.13200000001	4350.276
3_MACS_peak_15357_lociStitched	chr2	25623806	25645681	3	11622	45145.625	3633.4375
5_MACS_peak_20496_lociStitched	chr3	66530525	66552388	5	15198	19788.2013	3174.5076
2_MACS_peak_23662_lociStitched	chr5	32570628	32592454	2	18844	57533.336	3961.419
4_MACS_peak_15052_lociStitched	chr19	56145780	56167561	4	10292	19206.485800000002	2768.3651
3_MACS_peak_29070_lociStitched	chr8	19518842	19540575	3	11499	24217.0819	3207.7908
3_MACS_peak_4808_lociStitched	chr11	10323554	10345262	3	19675	77295.6756	3959.5392
4_MACS_peak_10028_lociStitched	chr15	63758653	63780339	4	12997	20684.1068	3615.0561999999995
3_MACS_peak_3636_lociStitched	chr10	45453921	45475559	3	14882	25483.0726	3278.1569999999997
3_MACS_peak_18325_lociStitched	chr20	43587474	43609089	3	12608	25142.568	3376.263
3_MACS_peak_25155_lociStitched	chr5	180227888	180249497	3	15568	41100.318	3178.6839
4_MACS_peak_2621_lociStitched	chr1	206845737	206867345	4	8024	9241.741600000001	4479.338400000001
3_MACS_peak_9946_lociStitched	chr15	56644681	56666288	3	15476	58421.00660000001	3446.3165
4_MACS_peak_26779_lociStitched	chr6	135322535	135344069	4	12475	25212.0072	3535.8828000000003
5_MACS_peak_5523_lociStitched	chr11	67760370	67781834	5	13442	24353.0544	3397.7511999999997
2_MACS_peak_1897_lociStitched	chr1	156115340	156136786	2	18761	69765.9826	5726.082
1_MACS_peak_3300_lociStitched	chr10	11202413	11223822	1	21410	104111.967	5288.023
5_MACS_peak_5946_lociStitched	chr11	111230576	111251972	5	19762	57227.8812	4221.4308
4_MACS_peak_2704_lociStitched	chr1	210850339	210871709	4	9128	10405.053	4703.536999999999
1_MACS_peak_13334_lociStitched	chr18	9133080	9154423	1	21344	39190.0166	4313.4203
3_MACS_peak_18052_lociStitched	chr20	25261471	25282814	3	13847	37683.2008	3246.2703
4_MACS_peak_15675_lociStitched	chr2	47193795	47215128	4	13414	40394.0355	3377.0139
5_MACS_peak_29183_lociStitched	chr8	27930170	27951498	5	13897	24051.5856	3386.8864
2_MACS_peak_10325_lociStitched	chr15	81575603	81596908	2	16172	49474.471	4050.0805
4_MACS_peak_3646_lociStitched	chr10	45913496	45934797	4	16522	67121.5811	3357.0375999999997
3_MACS_peak_26516_lociStitched	chr6	109186213	109207505	3	13799	30707.322399999997	3496.1464
2_MACS_peak_1728_lociStitched	chr1	150532148	150553405	2	18774	115115.1578	5790.4068
4_MACS_peak_9299_lociStitched	chr14	94424648	94445903	4	10837	15386.494499999999	1585.623
4_MACS_peak_10424_lociStitched	chr15	89163665	89184905	4	14992	24816.816000000003	3355.92
3_MACS_peak_1995_lociStitched	chr1	160694417	160715646	3	14792	49336.195999999996	5326.3561
5_MACS_peak_2633_lociStitched	chr1	206986730	207007918	5	12340	14971.4408	4574.4892
4_MACS_peak_28355_lociStitched	chr7	111711645	111732820	4	11797	18826.6925	4427.6925
4_MACS_peak_22078_lociStitched	chr4	15766948	15788115	4	9262	10507.2988	3170.8165999999997
3_MACS_peak_24431_lociStitched	chr5	118657728	118678862	3	16174	43024.597200000004	3751.285
6_MACS_peak_17293_lociStitched	chr2	202081169	202102261	6	15092	24300.0932	3975.842
3_MACS_peak_28347_lociStitched	chr7	110713219	110734268	3	11431	23770.6357	4228.7441
5_MACS_peak_6085_lociStitched	chr11	120195515	120216549	5	10755	12853.8774	3129.8592
4_MACS_peak_22491_lociStitched	chr4	76023197	76044177	4	12335	39918.646	3478.484
2_MACS_peak_18933_lociStitched	chr21	41324282	41345229	2	20091	86720.57999999999	5948.947999999999
5_MACS_peak_9281_lociStitched	chr14	93225411	93246346	5	8731	10888.2935	1528.2549999999999
4_MACS_peak_18121_lociStitched	chr20	32360505	32381404	4	10377	19314.8558	3302.042
4_MACS_peak_18815_lociStitched	chr21	34665093	34685981	4	11352	15922.9224	4338.4376
4_MACS_peak_16386_lociStitched	chr2	109948081	109968921	4	8007	8369.344000000001	2623.7560000000003
3_MACS_peak_10202_lociStitched	chr15	75063043	75083666	3	19357	45603.6399	4058.6064
2_MACS_peak_1818_lociStitched	chr1	154374114	154394644	2	18224	71528.573	5235.150000000001
2_MACS_peak_13329_lociStitched	chr18	9054262	9074781	2	17865	95054.2675	3861.6758
4_MACS_peak_17441_lociStitched	chr2	216764709	216785164	4	12025	13516.664	3168.4795000000004
3_MACS_peak_17289_lociStitched	chr2	202039826	202060212	3	11861	17083.468	3088.479
5_MACS_peak_15304_lociStitched	chr2	20610830	20631198	5	14395	29553.968	3083.7152
6_MACS_peak_8678_lociStitched	chr14	23279787	23300060	6	7761	7918.6338	1344.0999
3_MACS_peak_10847_lociStitched	chr16	12052167	12072385	3	15193	98633.51299999999	3922.292
3_MACS_peak_27469_lociStitched	chr7	29706180	29726380	3	10727	14047.08	2931.02
4_MACS_peak_4053_lociStitched	chr10	81946250	81966435	4	13169	23983.817	3146.8415
5_MACS_peak_416_lociStitched	chr1	27146990	27167162	5	9128	10850.518800000002	2928.9744
5_MACS_peak_1290_lociStitched	chr1	93408708	93428841	5	17623	22583.1861	1962.9675
4_MACS_peak_31480_lociStitched	chr9	134595219	134615318	4	8670	16207.8336	2618.8997
4_MACS_peak_9640_lociStitched	chr15	38360697	38380788	4	12753	44270.5185	3544.0524
6_MACS_peak_23650_lociStitched	chr5	32275890	32295970	6	13372	14608.2	3309.184
3_MACS_peak_24562_lociStitched	chr5	131822830	131842813	3	14770	35859.4935	3584.9502
1_MACS_peak_12399_lociStitched	chr17	38464936	38484880	1	19945	88325.9928	3360.5640000000003
3_MACS_peak_12956_lociStitched	chr17	70582369	70602293	3	14629	37273.8192	3215.7335999999996
4_MACS_peak_14292_lociStitched	chr19	12885651	12905563	4	10854	16598.6432	2586.5687999999996
1_MACS_peak_5594_lociStitched	chr11	72850757	72870663	1	19907	94557.48120000001	4030.965
4_MACS_peak_6348_lociStitched	chr12	6432311	6452188	4	8516	17865.4476	2969.6238000000003
3_MACS_peak_2201_lociStitched	chr1	174922516	174942385	3	15102	32533.5006	4271.835
5_MACS_peak_5415_lociStitched	chr11	65306941	65326781	5	7798	8894.271999999999	2678.4
3_MACS_peak_14881_lociStitched	chr19	47728651	47748478	3	12982	30682.2825	2898.7074
3_MACS_peak_18363_lociStitched	chr20	45172206	45192018	3	16022	32075.628	2948.0256
4_MACS_peak_2560_lociStitched	chr1	204474653	204494431	4	15053	47380.1768	5001.8562
4_MACS_peak_25973_lociStitched	chr6	45382888	45402664	4	13709	42043.776	2887.296
4_MACS_peak_8893_lociStitched	chr14	52074108	52093870	4	10745	13951.972	1624.4363999999998
4_MACS_peak_12017_lociStitched	chr17	17725240	17744997	4	8790	14400.8773	2742.2716
3_MACS_peak_4892_lociStitched	chr11	16967052	16986797	3	11835	33404.591	3356.65
3_MACS_peak_4033_lociStitched	chr10	81001094	81020781	3	15726	33294.6544	3161.7322
4_MACS_peak_25759_lociStitched	chr6	33376966	33396590	4	8570	10604.8096	2584.4808000000003
1_MACS_peak_24179_lociStitched	chr5	88110861	88130462	1	19602	32731.709899999998	3118.5191
4_MACS_peak_5387_lociStitched	chr11	64845491	64865072	4	7936	11711.3961	2852.9517
4_MACS_peak_30912_lociStitched	chr9	93670850	93690425	4	14155	46243.98	2789.4374999999995
4_MACS_peak_6866_lociStitched	chr12	48134391	48153879	4	7532	10669.68	2741.9615999999996
3_MACS_peak_3274_lociStitched	chr10	6953719	6973196	3	10212	48186.098000000005	3202.0188
4_MACS_peak_695_lociStitched	chr1	40839246	40858701	4	13689	25272.045	3766.488
4_MACS_peak_7656_lociStitched	chr12	109161657	109181110	4	11797	27813.8994	3065.7927999999997
4_MACS_peak_27894_lociStitched	chr7	74057138	74076575	4	10657	18865.552200000002	2952.4803
4_MACS_peak_13098_lociStitched	chr17	75859313	75878720	4	6922	5472.773999999999	2619.945
3_MACS_peak_12390_lociStitched	chr17	38251222	38270618	3	13241	19095.362	3266.2864
4_MACS_peak_17045_lociStitched	chr2	178475404	178494748	4	6997	10265.860799999999	2481.8352
3_MACS_peak_11249_lociStitched	chr16	50297921	50317260	3	9711	17818.9546	2765.477
4_MACS_peak_25546_lociStitched	chr6	26295312	26314587	4	7205	7258.965	2679.2250000000004
4_MACS_peak_13961_lociStitched	chr19	1258256	1277509	4	10462	23407.7974	3552.1785
4_MACS_peak_13940_lociStitched	chr19	908356	927553	4	8531	12562.5168	2645.3466000000003
3_MACS_peak_2016_lociStitched	chr1	161144392	161163564	3	13606	59910.5828	4898.446
5_MACS_peak_5602_lociStitched	chr11	73069939	73089109	5	8707	9462.312	2538.1079999999997
5_MACS_peak_15666_lociStitched	chr2	46785372	46804516	5	15351	24456.460000000003	3327.2272000000003
4_MACS_peak_6484_lociStitched	chr12	11901580	11920710	4	15226	32123.096	3435.748
4_MACS_peak_19279_lociStitched	chr22	29206756	29225883	4	17461	54643.9263	3257.3281
3_MACS_peak_22336_lociStitched	chr4	54553610	54572661	3	8596	16549.6037	2545.2136
5_MACS_peak_32454_lociStitched	chrX	128902295	128921341	5	13311	21718.1538	1716.0446
4_MACS_peak_15857_lociStitched	chr2	64497291	64516309	4	10794	29124.165200000003	2696.7524000000003
4_MACS_peak_11254_lociStitched	chr16	50713906	50732906	4	14397	30707.800000000003	2736.0
