GENE_ID	locusLine	bin_1_08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam
NM_017707	chr1(.):23750055-23815750	0.0676
NM_002167	chr1(.):23879408-23891322	0.6798
NR_027042	chr1(.):23948823-23972056	0.265
NM_021258	chr1(.):24441260-24474611	0.1169
NR_027087	chr1(.):24521729-24543180	1.2474
NM_015627	chr1(.):25865075-25900377	0.7749
NM_006015	chr1(.):27017521-27113601	0.5289
NM_006762	chr1(.):31200314-31235683	2.5485
NM_022756	chr1(.):37953175-37985364	0.1331
NM_025079	chr1(.):37935118-37954978	1.134
NM_001198979	chr1(.):40854016-40893998	0.1862
NM_001198978	chr1(.):40835304-40893998	0.4997
NM_001198980	chr1(.):40857471-40893998	0.1034
NM_022733	chr1(.):40834377-40893998	0.4928
NM_006004	chr1(.):46764379-46787447	0.4888
NM_006369	chr1(.):46739071-46774038	0.3441
NM_199044	chr1(.):46801389-46835690	0.2127
NM_001037339	chr1(.):66792792-66845262	0.6134
NM_001001933	chr1(.):75589118-75632218	0.8454
NM_004974	chr1(.):111140775-111153345	0.0522
NM_002232	chr1(.):111209309-111222655	1.0507
NR_034126	chr1(.):112136628-112155940	1.2927
NM_007158	chr1(.):115254536-115305624	0.2287
NM_002524	chr1(.):115242077-115264515	0.8484
NM_001172626	chr1(.):115210719-115243239	0.5962
NM_001130523	chr1(.):115254537-115305671	0.2285
NM_017709	chr1(.):118143603-118176011	2.4412
NM_001002811	chr1(.):144885590-144937032	0.8263
NM_032305	chr1(.):145451235-145475387	2.0494
NM_202004	chr1(.):145408190-145422545	0.1296
NM_006472	chr1(.):145433461-145447628	2.7894
NM_001039888	chr1(.):145465507-145480647	0.3806
NM_005105	chr1(.):145502637-145516444	1.1067
NM_001161334	chr1(.):149749244-149788928	0.39
NM_001034077	chr1(.):149799220-149809616	1.0341
NM_001005464	chr1(.):149807258-149817765	2.7553
NM_001040874	chr1(.):149808784-149819318	2.739
NM_001123375	chr1(.):149779779-149790236	0.9552
NM_000566	chr1(.):149749249-149769074	0.2366
NM_016074	chr1(.):149866154-149877348	0.379
NM_003528	chr1(.):149851009-149863232	2.7407
NM_003517	chr1(.):149853524-149863961	3.1847
NM_175065	chr1(.):149854018-149864466	3.1783
NR_036461	chr1(.):149816758-149827340	2.675
NM_001040874	chr1(.):149817627-149828161	2.6916
NM_001005464	chr1(.):149819180-149829687	2.7059
NM_001034077	chr1(.):149827329-149837725	1.1016
NM_016274	chr1(.):150117169-150136825	1.2737
NM_019032	chr1(.):150516897-150538412	3.7388
NM_207046	chr1(.):150589598-150606609	0.6353
NR_036211	chr1(.):150519404-150529490	0.1221
NM_001197320	chr1(.):150542026-150557214	1.2296
NM_053055	chr1(.):151841059-151887113	0.2143
NM_014437	chr1(.):153926587-153945188	1.1342
NM_130898	chr1(.):153935396-153951832	1.2052
NM_181715	chr1(.):153915151-153936043	0.8597
NM_006694	chr1(.):153941744-153955451	0.4112
NM_002870	chr1(.):153949127-153963806	0.7047
NM_014856	chr1(.):153896976-153924154	0.3642
NM_001030	chr1(.):153958238-153969631	0.537
NM_006556	chr1(.):154892207-154914484	1.6309
NM_001130041	chr1(.):154929773-154951959	1.3785
NM_001130040	chr1(.):154929773-154948223	1.5241
NM_201398	chr1(.):154950769-154970587	0.2705
NM_015872	chr1(.):154970111-154995999	1.0213
NM_018655	chr1(.):154961061-154971791	0.2376
NR_024163	chr1(.):154942117-154956725	1.4768
NM_138300	chr1(.):154924501-154939258	1.9961
NR_036212	chr1(.):154943168-154953259	1.7453
NM_006912	chr1(.):155862600-155886177	0.1642
NM_001162384	chr1(.):155911629-155953336	1.7447
NM_181885	chr1(.):155906479-155917625	1.4683
NM_004723	chr1(.):155911629-155952966	1.754
NM_014949	chr1(.):155877835-155909188	0.3585
NR_002974	chr1(.):155884699-155894833	0.0959
NR_003005	chr1(.):155890748-155900877	0.0869
NM_003145	chr1(.):155973838-155995758	0.2895
NM_014655	chr1(.):156158729-156187587	0.5259
NM_007221	chr1(.):156177783-156214833	0.6904
NM_022367	chr1(.):156118321-156152542	2.0795
NM_001193302	chr1(.):156118368-156152542	2.0809
NM_001193301	chr1(.):156114734-156152542	2.031
NM_005920	chr1(.):156428518-156475529	1.175
NM_198427	chr1(.):156606739-156628264	0.138
NM_021817	chr1(.):156584085-156600517	0.1235
NM_021948	chr1(.):156606739-156634320	0.9381
NM_004494	chr1(.):156706898-156726543	1.1895
NM_001126051	chr1(.):156706898-156727024	1.1611
NM_001126050	chr1(.):156706898-156727240	1.1506
NM_030980	chr1(.):156687412-156702705	0.3289
NM_001878	chr1(.):156664407-156680375	0.1242
NM_001142560	chr1(.):156693262-156711752	0.5969
NM_145729	chr1(.):156702093-156715923	0.5489
NM_006617	chr1(.):156633555-156652189	0.2869
NM_004833	chr1(.):159027274-159051647	1.4057
NM_001778	chr1(.):160643535-160686585	1.9278
NM_003037	chr1(.):160574890-160622081	0.2801
NM_021181	chr1(.):160704076-160729601	1.5848
NM_001077470	chr1(.):161194455-161213000	0.4321
NM_001039711	chr1(.):161085768-161107478	0.7522
NM_016406	chr1(.):161118533-161133646	1.2133
NM_004550	chr1(.):161164104-161189184	0.7323
NM_000309	chr1(.):161131180-161146010	0.7934
NM_001643	chr1(.):161187082-161198418	0.9471
NM_003779	chr1(.):161136100-161152314	2.0232
NM_012475	chr1(.):161124253-161140516	0.8094
NM_001039712	chr1(.):161085768-161107256	0.7597
NM_032174	chr1(.):161190832-161205407	0.5471
NM_001166159	chr1(.):161166936-161189184	0.7766
NM_005099	chr1(.):161154537-161173845	1.8035
NM_004106	chr1(.):161180086-161194038	0.5901
NR_033186	chr1(.):178506930-178523024	0.4913
NM_016545	chr1(.):181052637-181064979	0.8714
NM_001127651	chr1(.):183519696-183565056	0.4992
NM_203454	chr1(.):183610410-183627448	0.2542
NM_001190794	chr1(.):183519696-183564739	0.5013
NM_005717	chr1(.):183590331-183609985	0.5933
NM_002922	chr1(.):192539856-192554159	1.4875
NM_001195216	chr1(.):197698138-197749623	0.8943
NM_005298	chr1(.):200837165-200848251	0.1706
NM_018265	chr1(.):200855638-200889864	0.9954
NM_001142569	chr1(.):200858998-200889864	0.9459
NM_017596	chr1(.):200933519-200997828	0.3955
NR_034150	chr1(.):203262885-203279453	5.6518
NM_003465	chr1(.):203180206-203203860	0.1442
NM_006763	chr1(.):203269663-203283729	3.5164
NM_002023	chr1(.):203304751-203325289	0.2363
NM_002646	chr1(.):204386757-204464474	0.1865
NM_002393	chr1(.):204480510-204532248	0.9059
NM_014858	chr1(.):205192037-205247471	0.4844
NM_030952	chr1(.):205266190-205295883	0.6737
NM_001007544	chr1(.):206233871-206293647	1.5026
NM_148964	chr1(.):206312458-206337104	0.1559
NM_006893	chr1(.):206759973-206790904	0.1464
NM_182665	chr1(.):206725491-206767616	1.1384
NM_001185157	chr1(.):207065787-207082484	0.1115
NM_002644	chr1(.):207096866-207124811	0.4207
NM_001170631	chr1(.):207126311-207148970	0.1053
NM_183059	chr1(.):211644863-211671259	0.1022
NM_021194	chr1(.):211743380-211757099	1.6257
NM_000120	chr1(.):226008001-226038262	0.2274
NM_020997	chr1(.):226068981-226081836	1.3365
NM_014698	chr1(.):226028232-226075420	0.919
NM_013328	chr1(.):226102579-226116965	0.6164
NM_182972	chr1(.):234735014-234750271	3.0533
NR_033927	chr1(.):234760056-234775526	0.1132
NM_020458	chr2(.):47163312-47308275	0.5258
NR_033872	chr2(.):70184394-70319147	0.4831
NM_001099289	chr2(.):109740996-110267207	0.1823
NM_020760	chr2(.):197058976-197462335	0.2105
NM_001012514	chr2(.):231724620-231748963	1.4067
NM_145693	chr2(.):11881739-11972533	0.594
NM_183360	chr2(.):25595111-25901503	0.3397
NM_170672	chr2(.):33656415-33794798	0.6477
NM_005813	chr2(.):37472645-37549222	0.7727
NM_019063	chr2(.):42391489-42564688	0.1156
NM_012249	chr2(.):46764866-46816827	0.672
NR_036586	chr2(.):65123973-65164581	1.9508
NM_002398	chr2(.):66657531-66804891	0.2037
NM_004836	chr2(.):88851258-88932094	0.4721
NM_144563	chr2(.):88986175-89055452	0.8245
NM_004027	chr2(.):99056320-99212496	1.214
NM_001566	chr2(.):99056320-99203284	1.2858
NM_003581	chr2(.):106356519-106515730	0.274
NM_002410	chr2(.):135006829-135211468	0.2377
NM_001077269	chr2(.):175419301-175552627	0.4664
NR_024415	chr2(.):192537797-192558248	1.3006
NM_001031716	chr2(.):192537860-192558248	1.3042
NM_004226	chr2(.):196993306-197041336	0.6301
NM_001228	chr2(.):202093165-202157434	1.1994
NM_003879	chr2(.):201975889-202034003	1.8639
NM_001127184	chr2(.):201975815-202011323	2.9028
NM_173822	chr2(.):201833440-201941392	0.1099
NM_033358	chr2(.):202093165-202151638	1.3115
NM_003709	chr2(.):207940528-208035614	0.497
NM_001167608	chr2(.):227695670-227868923	0.2679
NM_022730	chr2(.):232646161-232678434	0.0907
NM_002997	chr2(.):20395557-20429927	2.7513
NM_001006946	chr2(.):20395557-20430194	2.7307
NM_004040	chr2(.):20641834-20654201	0.5734
NM_178553	chr2(.):27354714-27367332	0.4635
NM_001166239	chr2(.):27318461-27346773	0.1265
NM_001166240	chr2(.):27317220-27346995	0.1403
NM_013388	chr2(.):27348624-27362542	0.4293
NM_001166241	chr2(.):27317220-27338970	0.1066
NM_032604	chr2(.):27341656-27358680	0.4513
NM_175769	chr2(.):27366944-27380819	1.0292
NM_080592	chr2(.):27429898-27445046	0.7512
NM_001170795	chr2(.):27430218-27445046	0.766
NM_004341	chr2(.):27435257-27471654	0.2735
NM_021095	chr2(.):27417454-27440175	0.4151
NM_015376	chr2(.):33733941-33794798	0.2701
NM_001139488	chr2(.):33696320-33794798	0.884
NM_012413	chr2(.):37566752-37605465	3.4423
NM_138370	chr2(.):42270160-42290668	0.0759
NM_006887	chr2(.):43444540-43458745	3.3849
NR_027251	chr2(.):43449349-43460994	1.911
NM_080653	chr2(.):46733985-46752096	0.0518
NM_173074	chr2(.):46803412-46849251	0.1319
NM_014171	chr2(.):46839324-46857881	0.201
NM_001171508	chr2(.):47124008-47173994	0.4432
NR_033837	chr2(.):64407212-64437619	0.609
NM_001193493	chr2(.):65210578-65256000	0.4965
NM_003038	chr2(.):65211494-65256000	0.5034
NM_014882	chr2(.):68996932-69058957	0.2247
NM_001166277	chr2(.):68956912-69058957	0.3898
NM_006196	chr2(.):70309584-70321334	4.4574
NR_024444	chr2(.):70346167-70357448	1.2725
NR_026984	chr2(.):86242338-86255991	0.142
NR_015424	chr2(.):89060418-89111109	0.163
NR_026875	chr2(.):97158382-97178846	0.2677
NM_212481	chr2(.):97197463-97223371	1.2725
NM_002101	chr2(.):127408683-127459246	0.41
NR_024275	chr2(.):135201959-135217192	0.0846
NM_004288	chr2(.):158266130-158305604	1.3743
NM_003387	chr2(.):175419301-175504307	0.6828
NM_002491	chr2(.):201931461-201955473	0.2447
NM_001127183	chr2(.):201978386-202033841	1.9484
NM_032974	chr2(.):202042620-202099110	0.7207
NM_001230	chr2(.):202042620-202091383	0.5903
NM_033356	chr2(.):202120222-202157434	1.3591
NM_001080125	chr2(.):202117753-202157434	1.3784
NM_006139	chr2(.):204566197-204607557	1.4478
NR_036227	chr2(.):207969710-207979797	0.0512
NM_017431	chr2(.):219682105-219701512	0.0688
NM_025216	chr2(.):219740254-219763651	1.7344
NM_006522	chr2(.):219719545-219743954	0.1269
NM_002601	chr2(.):232592146-232650974	0.0769
NR_031717	chr2(.):232751951-232762008	0.0212
NM_014674	chr3(.):5224358-5266650	0.9968
NM_001195099	chr3(.):15703743-15803058	0.0694
NM_001195098	chr3(.):15703743-15844691	0.2096
NM_015199	chr3(.):15703743-15906053	0.2201
NM_002841	chr3(.):61542242-62285573	0.1251
NM_003571	chr3(.):133113789-133199056	1.1573
NM_003471	chr3(.):155855750-156261927	0.1769
NM_172159	chr3(.):156003775-156261927	0.2162
NM_172160	chr3(.):155833336-156261927	0.1727
NM_207015	chr3(.):174572110-175528428	0.2898
NM_001135095	chr3(.):171753343-172123492	0.536
NM_022763	chr3(.):171752417-172123492	0.5366
NM_181361	chr3(.):178249223-178567217	0.1933
NR_004053	chr3(.):181323150-181464005	0.2316
NM_001134382	chr3(.):12933718-13119617	0.4552
NM_024923	chr3(.):13352736-13466809	0.4862
NM_014869	chr3(.):12933718-13013960	0.0605
NM_001184958	chr3(.):14711605-14819543	0.4558
NM_182666	chr3(.):23842438-23937807	0.3285
NM_001145293	chr3(.):25755434-25829989	0.1217
NM_001145294	chr3(.):25755434-25836530	0.1488
NM_001024847	chr3(.):30642993-30740633	0.5881
NM_001123396	chr3(.):46390234-46405868	1.6061
NM_001123041	chr3(.):46390234-46407413	1.4777
NM_001128615	chr3(.):56756445-57118336	0.1801
NM_015541	chr3(.):66424220-66555845	0.2324
NM_007114	chr3(.):69063977-69106484	0.1344
NM_000097	chr3(.):98293289-98317455	0.192
NM_002213	chr3(.):124476794-124611144	0.4404
NM_032343	chr3(.):126418117-126684244	0.1514
NM_001080412	chr3(.):141038054-141173632	2.7816
NM_016275	chr3(.):150316065-150353234	0.5727
NM_001193283	chr3(.):156539147-156648045	0.1244
NM_001004316	chr3(.):156539095-156768918	0.1597
NM_001190242	chr3(.):159969773-160106554	0.1008
NM_001190241	chr3(.):159969773-160122320	0.2629
NM_024665	chr3(.):176733541-176920048	0.5212
NM_005832	chr3(.):178271617-178567217	0.1495
NM_130446	chr3(.):183200318-183278499	1.6094
NM_173216	chr3(.):186643314-186801341	0.9842
NM_003032	chr3(.):186734664-186801341	1.0359
NM_005524	chr3(.):193848933-193861396	1.098
NM_018184	chr3(.):5158929-5227601	0.2191
NM_015931	chr3(.):8656319-8698737	0.1364
NM_016474	chr3(.):14688252-14719166	0.2208
NR_034055	chr3(.):25895022-25920186	0.1518
NR_026937	chr3(.):25826562-25841025	0.2482
NM_194293	chr3(.):39219706-39239077	0.1995
NM_001198621	chr3(.):39219705-39239085	0.1997
NM_001295	chr3(.):46238199-46254832	2.861
NM_001837	chr3(.):46278871-46313197	0.1422
NM_001100168	chr3(.):46406632-46422697	0.6176
NM_003212	chr3(.):46614075-46628952	0.0458
NM_001174136	chr3(.):46611044-46628952	0.0466
NM_024512	chr3(.):46551877-46613011	1.0517
NM_031440	chr3(.):46534484-46547439	0.3446
NM_198195	chr3(.):69098880-69134524	0.5678
NM_006407	chr3(.):69129089-69160239	1.2944
NM_198271	chr3(.):69151038-69176746	0.1986
NR_036087	chr3(.):69093108-69103186	0.3755
NM_001040199	chr3(.):98229316-98246910	0.3463
NM_005290	chr3(.):98245877-98256960	0.0842
NM_006100	chr3(.):98446571-98518236	1.2062
NM_145037	chr3(.):101493028-101552075	0.5765
NM_001134456	chr3(.):101493285-101552075	0.5786
NM_001005474	chr3(.):101541833-101584869	0.352
NM_022135	chr3(.):119355907-119384404	0.9033
NM_005694	chr3(.):119383371-119401243	0.436
NM_015900	chr3(.):119311721-119353658	0.1056
NM_020187	chr3(.):128992683-129029135	0.4645
NM_001006109	chr3(.):128992816-129029135	0.4657
NM_006026	chr3(.):129028613-129040120	1.913
NR_026991	chr3(.):129030113-129048412	0.899
NR_027898	chr3(.):129926662-129997649	0.0608
NR_003284	chr3(.):156522059-156534810	0.4924
NR_034008	chr3(.):156802669-156823924	2.2622
NR_034007	chr3(.):156794455-156845791	1.0809
NM_173084	chr3(.):160148290-160172626	0.4453
NR_029663	chr3(.):160117375-160127473	2.2843
NM_005496	chr3(.):160113346-160157741	0.7265
NM_001002800	chr3(.):160112429-160157741	0.7124
NR_029525	chr3(.):160117532-160127613	2.0786
NR_027622	chr3(.):169656771-169689522	2.3899
NM_182610	chr3(.):169624481-169661948	0.9934
NM_003262	chr3(.):169679579-169721161	0.3756
NM_003106	chr3(.):181424721-181437223	1.3575
NM_005781	chr3(.):195585235-195640880	0.4978
NM_001010938	chr3(.):195585235-195627432	0.1865
NM_198565	chr3(.):196361655-196393874	0.4681
NM_003215	chr4(.):48132799-48276814	0.4351
NM_201431	chr4(.):74433861-74491340	1.1316
NM_177532	chr4(.):74433861-74491134	1.1352
NM_020859	chr4(.):77351252-77709405	0.2496
NM_144571	chr4(.):78629540-78745544	0.2237
NM_198281	chr4(.):90160428-90234161	2.1811
NM_018699	chr4(.):121610928-121849013	0.3976
NM_001034845	chr4(.):172729574-173966558	0.0763
NM_015173	chr4(.):37887719-38145794	0.3504
NM_001007075	chr4(.):39041450-39132853	0.1222
NM_001098634	chr4(.):40420271-40636883	0.2308
NM_004310	chr4(.):40193526-40251281	1.4526
NM_001166693	chr4(.):87851153-88067206	0.3003
NM_005327	chr4(.):108905869-108961331	0.5691
NM_002039	chr4(.):144252982-144400718	0.4789
NM_153343	chr4(.):185004858-185144114	0.0596
NM_002199	chr4(.):185303875-185400726	2.0817
NM_031953	chr4(.):186126283-186290120	0.4559
NR_031688	chr4(.):9552788-9562937	0.0919
NM_024943	chr4(.):38963440-39039041	0.5327
NM_017581	chr4(.):40332468-40361973	0.0576
NM_001076	chr4(.):69398132-69439240	0.4869
NM_001077	chr4(.):69397902-69439245	0.4849
NM_001076	chr4(.):69507314-69541374	0.197
NM_031889	chr4(.):71489460-71517536	0.108
NM_144646	chr4(.):71516257-71537348	2.3421
NM_020368	chr4(.):71549195-71561268	0.8651
NM_014961	chr4(.):71582695-71664274	0.0991
NM_001130709	chr4(.):71565653-71660614	0.1575
NM_020236	chr4(.):78778804-78878944	0.1818
NM_144645	chr4(.):87792357-87818575	0.0832
NM_025212	chr4(.):105388342-105417467	1.6899
NM_001104631	chr5(.):58259865-59194621	0.1516
NM_006203	chr5(.):58259865-58887324	0.1336
NM_001165899	chr5(.):58259865-59788925	0.1125
NM_001197218	chr5(.):58259865-59069438	0.1635
NM_002372	chr5(.):109020155-109208429	0.4202
NM_001131005	chr5(.):88009057-88204922	0.5876
NM_002397	chr5(.):88009057-88184283	0.5714
NM_001193349	chr5(.):88009057-88124744	0.3993
NM_001131055	chr5(.):175080039-175118245	0.4242
NM_024669	chr5(.):55390506-55534186	0.5417
NR_015436	chr5(.):87831596-87985620	0.3117
NM_152624	chr5(.):112307432-112361667	0.1619
NM_001077654	chr5(.):118599417-118735294	0.5459
NM_001038702	chr5(.):130594701-130735382	0.3546
NM_003060	chr5(.):131700400-131736306	0.1631
NM_001020825	chr5(.):142652495-142788254	0.3097
NM_001018076	chr5(.):142652495-142789045	0.3084
NM_001018075	chr5(.):142652495-142820077	0.2808
NM_138379	chr5(.):156341292-156395266	0.787
NM_005990	chr5(.):171464073-171620346	0.2437
NM_022455	chr5(.):176555832-176732214	0.1966
NM_172349	chr5(.):176555079-176732214	0.1969
NM_002406	chr5(.):180212540-180235048	0.8759
NM_001114619	chr5(.):180212540-180235902	0.8776
NM_001114618	chr5(.):180212540-180241817	1.1927
NM_001114617	chr5(.):180212540-180242137	1.1802
NM_001193376	chr5(.):1248286-1300162	0.0585
NM_030782	chr5(.):1312999-1350002	2.6932
NM_001145161	chr5(.):6443735-6501834	1.5561
NM_006713	chr5(.):32580604-32609185	1.494
NM_002184	chr5(.):55225924-55295821	0.3509
NR_036243	chr5(.):86405695-86415771	1.1366
NR_024384	chr5(.):87955262-87974146	2.0572
NR_024383	chr5(.):87955262-87979262	1.6661
NR_030741	chr5(.):87957670-87967757	0.5103
NM_005668	chr5(.):100137638-100243987	0.4946
NM_175052	chr5(.):100216014-100243970	1.2921
NR_033175	chr5(.):109213882-109226200	0.0916
NM_005669	chr5(.):112207080-112263031	0.3413
NM_014350	chr5(.):118686595-118735294	0.1848
NM_000588	chr5(.):131391346-131403896	0.1876
NM_000758	chr5(.):131404484-131416859	0.1829
NR_037500	chr5(.):131696181-131706291	0.2554
NM_002198	chr5(.):131812300-131831465	0.7386
NM_001013717	chr5(.):131741672-131803059	2.4412
NM_005732	chr5(.):131887615-131985313	0.1509
NM_000879	chr5(.):131872135-131884214	0.0815
NM_016480	chr5(.):138672518-138710409	0.1048
NM_194296	chr5(.):138727455-138744776	0.655
NM_152686	chr5(.):138740891-138780214	0.4694
NM_152685	chr5(.):138697884-138724039	0.3088
NM_001033112	chr5(.):138673133-138710409	0.1055
NM_001161546	chr5(.):138722634-138735885	2.0289
NM_016459	chr5(.):138718256-138730605	2.4014
NM_000024	chr5(.):148201155-148213197	1.6395
NM_006058	chr5(.):150404505-150465997	0.314
NM_001155	chr5(.):150475266-150542443	0.5634
NM_001193544	chr5(.):150475266-150526216	0.4592
NR_002168	chr5(.):156272548-156284539	0.0533
NR_028472	chr5(.):156346099-156357013	1.0243
NM_001171183	chr5(.):171616175-171635458	0.0591
NM_030627	chr5(.):173310330-173392313	0.692
NM_022304	chr5(.):175103463-175116558	0.056
NM_001031677	chr5(.):176723198-176735744	1.3402
NM_006480	chr5(.):176779843-176804599	0.3426
NM_006816	chr5(.):176753562-176783885	0.2036
NM_031300	chr5(.):176729205-176744292	1.2717
NM_001142935	chr5(.):176727500-176744292	1.5025
NM_013237	chr5(.):176725834-176738950	1.4551
NR_027183	chr5(.):180251958-180267726	1.0324
NM_152283	chr5(.):180269610-180293286	0.3417
NM_181356	chr6(.):44791469-45350670	0.0883
NM_003599	chr6(.):44792449-45350575	0.0884
NM_012288	chr6(.):52357199-52446862	1.4222
NM_033515	chr6(.):129893239-130036370	0.385
NM_001195286	chr6(.):386738-416443	0.7873
NM_000904	chr6(.):2995066-3024994	0.324
NM_001168344	chr6(.):7102829-7257213	0.3351
NM_001003699	chr6(.):7103085-7257213	0.3356
NR_037616	chr6(.):7876482-8069647	1.4085
NM_001173977	chr6(.):25274655-25625758	0.5739
NM_014641	chr6(.):30662583-30690458	0.806
NM_172166	chr6(.):31702724-31735455	1.0198
NM_004348	chr6(.):45384913-45523819	0.4347
NM_001024630	chr6(.):45291053-45523819	0.3141
NM_001172420	chr6(.):52280804-52365583	0.404
NM_018100	chr6(.):52279993-52365583	0.4048
NM_016021	chr6(.):90031343-90067619	1.4466
NM_001455	chr6(.):108877068-109010971	1.331
NM_201559	chr6(.):108876025-109010971	1.3217
NM_032131	chr6(.):109164618-109300352	0.7762
NM_173674	chr6(.):117798819-117896020	0.4788
NM_006734	chr6(.):143067603-143271338	0.2977
NM_024630	chr6(.):157797556-158099977	0.2846
NM_020185	chr6(.):287100-356355	2.7851
NR_026855	chr6(.):2983200-2996405	1.3608
NM_003804	chr6(.):3072057-3120421	0.0824
NR_033884	chr6(.):3015389-3030005	1.3416
NM_001012983	chr6(.):3040617-3051034	0.0607
NR_027712	chr6(.):7981334-7995577	0.4126
NM_001145549	chr6(.):7876482-7915310	4.0494
NM_030810	chr6(.):7876482-7916047	4.0381
NM_032744	chr6(.):11708887-11784280	0.6164
NR_002174	chr6(.):25076294-25143051	0.3469
NR_027626	chr6(.):25103200-25143620	0.5262
NM_005319	chr6(.):26050967-26061699	1.7157
NM_003537	chr6(.):26026816-26037288	1.8036
NM_003544	chr6(.):26022123-26032480	1.1715
NM_021062	chr6(.):26038454-26048885	1.6357
NM_003531	chr6(.):26040638-26051097	1.6452
NM_005325	chr6(.):26012259-26023040	0.6314
NM_003538	chr6(.):26016906-26027278	1.1111
NM_003513	chr6(.):26028319-26038796	1.4656
NM_003529	chr6(.):26015717-26026186	0.7869
NM_021065	chr6(.):26194011-26204471	2.2987
NM_003530	chr6(.):26192011-26204464	1.9541
NM_138720	chr6(.):26153348-26176576	1.0139
NM_003523	chr6(.):26179023-26189458	0.572
NM_003539	chr6(.):26183937-26194304	0.6777
NM_003545	chr6(.):26199872-26210249	1.4971
NM_005321	chr6(.):26151558-26162343	1.3182
NM_003522	chr6(.):26194786-26205216	2.6564
NM_003518	chr6(.):26211427-26221872	0.7751
NM_021052	chr6(.):26212147-26222711	0.7711
NM_003532	chr6(.):26220382-26230844	0.6315
NM_003524	chr6(.):26246878-26257303	2.0388
NM_003547	chr6(.):26241838-26252205	1.8238
NM_003540	chr6(.):26235653-26246021	0.1934
NM_021018	chr6(.):26245369-26255835	2.0297
NM_005320	chr6(.):26229439-26240216	0.9379
NM_001145008	chr6(.):26397464-26420444	0.2319
NM_001197240	chr6(.):26378328-26400100	0.4741
NM_001197247	chr6(.):26360397-26383540	1.7292
NM_001197238	chr6(.):26378323-26400100	0.4741
NM_007047	chr6(.):26360397-26383548	1.73
NM_001197237	chr6(.):26378438-26400100	0.4737
NM_001197248	chr6(.):26360469-26383540	1.7046
NM_001197246	chr6(.):26363405-26383540	0.5981
NM_021064	chr6(.):27095816-27106314	1.7573
NM_080593	chr6(.):27101071-27119637	1.1756
NM_080596	chr6(.):27109907-27120346	0.9035
NR_036096	chr6(.):27110404-27120467	0.9346
NM_021058	chr6(.):27095094-27105575	1.7649
NM_003495	chr6(.):27102087-27112457	0.8281
NM_021066	chr6(.):27777079-27787518	1.2253
NM_003536	chr6(.):27772841-27783314	1.7351
NM_003509	chr6(.):27770976-27781445	1.256
NM_003519	chr6(.):27770256-27780709	1.2273
NM_003521	chr6(.):27777821-27788267	1.1559
NM_003535	chr6(.):27853092-27863570	2.1822
NM_003527	chr6(.):27856202-27866669	2.2227
