GENE_ID	locusLine	bin_1_24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam
NM_000491	chr1(.):22974681-22993029	0.903
NR_036214	chr1(.):23184651-23194719	1.0698
NM_001024732	chr1(.):29514384-29562454	0.1371
NM_001525	chr1(.):32078300-32097919	0.1956
NR_033688	chr1(.):32090462-32115218	0.0581
NM_012392	chr1(.):32090462-32115838	0.0664
NM_001856	chr1(.):32112847-32174768	1.1296
NM_147192	chr1(.):46967667-46984886	0.5004
NM_016178	chr1(.):151734130-151748806	0.0978
NM_031420	chr1(.):151727122-151741040	0.1042
NM_001144956	chr1(.):151689012-151707082	0.6951
NM_007185	chr1(.):151667533-151694290	0.9009
NM_001172648	chr1(.):151667533-151693792	0.9091
NM_001172649	chr1(.):151667533-151693882	0.9064
NM_001134939	chr1(.):151730444-151748806	0.1033
NM_018973	chr1(.):155107366-155117883	0.749
NM_153741	chr1(.):155107366-155117996	0.749
NM_173852	chr1(.):155136883-155150804	0.7078
NM_004428	chr1(.):155095348-155112386	1.6438
NM_001122837	chr1(.):155103287-155116334	0.6375
NM_025058	chr1(.):155141359-155162445	0.9848
NR_026549	chr1(.):156334002-156360011	1.1272
NM_006365	chr1(.):156369054-156404184	1.4402
NR_029691	chr1(.):156385132-156395221	1.238
NM_198427	chr1(.):156606739-156628264	0.1847
NM_001105669	chr1(.):156544518-156561562	0.2481
NM_144772	chr1(.):156556557-156569091	0.116
NM_015590	chr1(.):156559279-156576270	0.1311
NM_021817	chr1(.):156584085-156600517	1.736
NM_004494	chr1(.):156706898-156726543	0.1011
NM_001126051	chr1(.):156706898-156727024	0.0988
NM_001126050	chr1(.):156706898-156727240	0.1029
NM_030980	chr1(.):156687412-156702705	0.1142
NM_001878	chr1(.):156664407-156680375	1.7604
NM_001142560	chr1(.):156693262-156711752	0.1046
NM_145729	chr1(.):156702093-156715923	0.0738
NM_006617	chr1(.):156633555-156652189	1.3408
NM_001012331	chr1(.):156825670-156856642	1.7733
NM_003975	chr1(.):156771034-156791640	0.286
NM_001080471	chr1(.):156858522-156891226	1.9635
NM_014215	chr1(.):156805664-156833666	1.7064
NM_001161443	chr1(.):156771034-156790939	0.2874
NM_001007792	chr1(.):156780541-156856642	1.2163
NR_030527	chr1(.):156900922-156911036	0.139
NM_020204	chr1(.):197881516-197904273	0.7165
NM_001024594	chr1(.):197866681-197881497	0.4193
NM_001014434	chr1(.):197876634-197904273	0.7631
NM_000299	chr1(.):201247579-201307121	0.8912
NM_001001432	chr1(.):201323141-201351805	1.5813
NM_003281	chr1(.):201367894-201395874	1.0004
NM_005558	chr1(.):201344965-201373669	1.3081
NM_080588	chr1(.):202111142-202134119	0.1502
NR_002930	chr1(.):202132178-202163577	1.0183
NM_002832	chr1(.):202111142-202134751	0.1489
NM_001160331	chr1(.):204908353-204996950	0.8034
NM_005076	chr1(.):205007339-205052138	0.8185
NM_212502	chr1(.):205468683-205506921	0.8623
NM_001973	chr1(.):205580234-205607000	0.1027
NM_181644	chr1(.):205533111-205577046	0.5963
NM_033102	chr1(.):205621980-205654630	0.9848
NR_027086	chr1(.):205518400-205530763	0.1259
NR_002834	chr1(.):228775656-228793159	0.7621
NM_194248	chr2(.):26675070-26786566	0.6998
NM_001080527	chr2(.):128288377-128400303	0.6188
NM_052902	chr2(.):220457595-220486173	0.0962
NM_005876	chr2(.):220294699-220363354	1.5933
NM_004802	chr2(.):26675070-26705910	0.4388
NM_001029881	chr2(.):26799072-26869211	1.0405
NM_001105519	chr2(.):26780480-26807395	1.6998
NM_001161417	chr2(.):128398438-128415213	0.916
NM_001161403	chr2(.):128390995-128437764	0.7807
NR_027823	chr2(.):128390995-128410753	1.0449
NM_001161404	chr2(.):128390995-128444360	0.6969
NM_017980	chr2(.):128390995-128427167	0.8071
NR_015390	chr2(.):219836005-219847644	0.814
NM_002181	chr2(.):219914141-219930238	1.0989
NM_057093	chr2(.):219849911-219863127	1.7677
NR_029867	chr2(.):219861366-219871430	1.7816
NM_152389	chr2(.):219893413-219911245	0.983
NM_194302	chr2(.):219862575-219911245	1.1579
NM_003936	chr2(.):219819397-219831877	0.802
NM_005209	chr2(.):219849911-219863121	1.768
NM_017521	chr2(.):219840808-219855379	1.6115
NR_036081	chr2(.):219918409-219928472	1.468
NM_001173476	chr2(.):220320533-220336584	1.2043
NM_001927	chr2(.):220278098-220296461	0.5875
NM_013335	chr2(.):220358586-220376718	0.7903
NM_001005209	chr2(.):220403744-220420317	0.3092
NM_018674	chr2(.):220373891-220408494	1.4911
NM_015311	chr2(.):220410449-220441268	1.1083
NM_205847	chr2(.):220358616-220376718	0.7897
NM_024536	chr2(.):220398668-220413487	0.2613
NM_001173431	chr2(.):220414871-220441268	1.283
NM_002191	chr2(.):220431953-220445427	0.9254
NR_036082	chr2(.):220408794-220418869	0.2752
NM_001195731	chr2(.):220398668-220412819	0.2714
NM_001173408	chr2(.):220421437-220441268	1.4195
NM_201574	chr2(.):220487291-220511702	1.048
NM_001165035	chr3(.):13605239-13684922	0.9016
NM_001998	chr3(.):13585624-13684922	0.8948
NR_027103	chr3(.):13687220-13793132	0.5087
NM_000094	chr3(.):48596505-48637593	1.2474
NM_004186	chr3(.):50187847-50231508	1.4259
NM_001174051	chr3(.):50395230-50545892	1.1747
NM_004443	chr3(.):184274586-184305196	2.0075
NR_002582	chr3(.):12876810-12886949	0.0945
NM_001007073	chr3(.):12871443-12888081	0.0828
NM_004567	chr3(.):48550116-48599227	0.2158
NR_031756	chr3(.):48611334-48621410	1.3436
NM_033199	chr3(.):48594150-48606201	0.6423
NM_001008269	chr3(.):48653274-48664189	0.154
NM_022911	chr3(.):48658155-48677926	0.1777
NM_001040454	chr3(.):48658155-48676279	0.1154
NM_003365	chr3(.):48631431-48652098	0.2561
NM_001166425	chr3(.):50279325-50301786	0.127
NM_006841	chr3(.):50237691-50263406	1.7408
NM_002070	chr3(.):50268646-50301786	0.1272
NM_004636	chr3(.):50300039-50319572	1.6278
NM_000172	chr3(.):50224042-50240129	1.5723
NM_006545	chr3(.):50379918-50393486	0.1215
NM_007182	chr3(.):50362216-50383367	0.1997
NM_007022	chr3(.):50383296-50396496	0.0816
NM_007024	chr3(.):50387179-50401939	0.1179
NM_015896	chr3(.):50373536-50388156	0.2655
NM_170712	chr3(.):50362216-50380664	0.1965
NM_170713	chr3(.):50362216-50379895	0.1906
NM_016173	chr3(.):50601908-50627421	0.1706
NM_001171743	chr3(.):50590455-50610223	0.6647
NM_001171741	chr3(.):50590455-50613458	0.5853
NM_153330	chr3(.):128176281-128191091	1.5566
NR_026954	chr3(.):128221677-128234429	0.2506
NM_032638	chr3(.):128193264-128217030	2.1786
NM_001145662	chr3(.):128193264-128211764	2.1939
NM_001145661	chr3(.):128193264-128212373	2.2032
NM_138345	chr3(.):183943316-183965117	1.3238
NM_014693	chr3(.):183962444-184015819	0.576
NM_005787	chr3(.):183955116-183971759	0.2587
NM_001037324	chr3(.):183988798-184015819	0.8487
NM_033259	chr3(.):183972002-183984251	0.4652
NM_018358	chr3(.):183898862-183916795	0.0756
NR_030410	chr3(.):183954192-183964277	0.4494
NM_001006941	chr3(.):183955116-183972313	0.2566
NM_004532	chr3(.):195468637-195544148	0.9343
NM_020777	chr4(.):7189373-7749564	0.8355
NM_006527	chr4(.):1689526-1719030	0.0622
NM_001130088	chr4(.):8003747-8165559	0.8637
NM_001130084	chr4(.):7962036-8165559	0.8525
NM_001163213	chr4(.):1790038-1815599	1.4887
NM_001127266	chr4(.):1712678-1728084	0.0769
NM_006342	chr4(.):1718265-1751897	0.1887
NM_001528	chr4(.):3438725-3456213	1.4591
NM_173660	chr4(.):3460032-3501209	2.3654
NM_002337	chr4(.):3509289-3539224	0.1795
NM_000683	chr4(.):3763295-3775253	0.7995
NR_034136	chr4(.):3670319-3684582	1.2621
NR_027441	chr4(.):7094150-7110103	0.9916
NM_001085382	chr4(.):7427020-7441700	1.19
NR_036238	chr4(.):7456754-7466845	0.8993
NR_026892	chr4(.):7750816-7785654	0.6078
NM_053044	chr4(.):8266488-8313838	0.9771
NM_001014448	chr4(.):8589386-8626488	1.5528
NM_080819	chr4(.):8577290-8594520	1.008
NM_018942	chr4(.):8863772-8878543	0.8279
NM_001040071	chr4(.):8946476-8957127	0.3751
NM_001105662	chr4(.):9240604-9252197	3.7262
NM_001105662	chr4(.):9254849-9266442	3.1074
NM_001105662	chr4(.):9264344-9275937	2.6272
NM_001105662	chr4(.):9212130-9223723	3.1118
NM_001105662	chr4(.):9359854-9371447	3.048
NR_027279	chr4(.):9364599-9375796	1.7976
NM_001105662	chr4(.):9326636-9338229	3.0606
NM_001105662	chr4(.):9336128-9347721	3.0483
NM_001105662	chr4(.):9350363-9361956	3.0745
NM_001105662	chr4(.):9355108-9366701	3.0969
NM_001044	chr5(.):1387904-1450543	0.8689
NM_133369	chr5(.):176232559-176312899	1.4988
NM_002115	chr5(.):176302869-176331333	1.0779
NM_004197	chr6(.):31976517-31986961	2.4015
NM_000841	chr6(.):33984627-34106443	1.2829
NM_152554	chr6(.):2617971-2640298	0.6572
NM_005516	chr6(.):30452182-30466982	0.1699
NM_007109	chr6(.):31121302-31136992	0.0534
NM_001264	chr6(.):31077864-31093252	1.2262
NM_001173531	chr6(.):31127113-31139615	0.0603
NM_014070	chr6(.):31073999-31085332	1.0092
NM_014068	chr6(.):31077607-31112869	0.7211
NM_019052	chr6(.):31105215-31131015	0.1348
NM_001105563	chr6(.):31105215-31130566	0.1365
NM_002701	chr6(.):31127113-31143451	0.0751
NM_014069	chr6(.):31100310-31112127	0.2805
NR_001284	chr6(.):31971196-31985800	2.8417
NR_026717	chr6(.):31933951-31954223	0.3842
NM_005510	chr6(.):31932587-31945032	0.0926
NM_001002029	chr6(.):31944833-31975458	1.7948
NM_032470	chr6(.):31971196-31986050	2.7962
NM_006929	chr6(.):31921580-31942532	0.071
NM_000500	chr6(.):31968347-31981684	3.3417
NM_007293	chr6(.):31944833-31975457	1.7948
NM_002904	chr6(.):31914863-31931864	0.2004
NM_004197	chr6(.):31934645-31954223	0.3978
NR_031601	chr6(.):31919615-31929717	0.0711
NM_001710	chr6(.):31908720-31924861	0.4851
NM_001002029	chr6(.):31977571-32008195	2.3018
NM_001136153	chr6(.):32078044-32101017	0.1222
NM_000500	chr6(.):32001081-32014419	3.3858
NM_022110	chr6(.):32091483-32103067	0.2398
NM_019105	chr6(.):32003931-32082151	1.674
NM_032470	chr6(.):32003931-32018905	3.0462
NM_007293	chr6(.):31977571-32008194	2.3017
NM_001184698	chr6(.):33757448-33776793	1.094
NM_001143944	chr6(.):33733989-33759719	0.2684
NM_181336	chr6(.):33733989-33761906	0.312
NR_031681	chr6(.):33962748-33972828	0.6862
NM_005586	chr6(.):41601194-41626982	1.6949
NM_001134395	chr7(.):1031622-1182893	0.0766
NM_015949	chr7(.):911190-941071	0.0802
NM_002360	chr7(.):1565367-1587679	0.3084
NM_001100390	chr7(.):2593631-2659368	0.1324
NM_133463	chr7(.):2714162-2760069	0.8725
NM_003088	chr7(.):5627453-5651286	1.2255
NM_172084	chr7(.):44251748-44370230	0.8072
NM_004444	chr7(.):100395186-100430143	1.3305
NM_006076	chr7(.):100131833-100170843	0.1988
NM_001099220	chr7(.):149530508-149569568	0.1773
NM_001098834	chr7(.):150840675-150869867	0.5686
NM_006869	chr7(.):932536-999289	0.8415
NM_017781	chr7(.):1017834-1034276	1.3489
NM_001031617	chr7(.):999485-1020235	0.3785
NR_029898	chr7(.):1057568-1067662	0.0775
NM_182491	chr7(.):1187542-1204855	0.073
NM_001080461	chr7(.):1267653-1281613	0.7014
NM_182924	chr7(.):1468994-1504109	0.7024
NM_001080453	chr7(.):1504912-1549018	0.0957
NM_001134340	chr7(.):1601969-1614668	0.1992
NM_032302	chr7(.):1601969-1614629	0.1992
NR_027328	chr7(.):1604708-1634261	0.7846
NM_001097620	chr7(.):1576870-1601066	0.9792
NR_001288	chr7(.):1649105-1661328	0.5299
NM_002304	chr7(.):2552496-2573063	1.6959
NM_152743	chr7(.):2572443-2600392	0.1372
NM_001166355	chr7(.):2547162-2573063	1.621
NM_001040168	chr7(.):2554478-2573810	1.7102
NM_001040167	chr7(.):2554478-2573063	1.7665
NM_025250	chr7(.):2666602-2709436	1.5766
NR_002795	chr7(.):27220026-27233912	0.996
NM_000522	chr7(.):27231498-27244725	0.5834
NM_002141	chr7(.):27163125-27175399	0.1386
NM_153631	chr7(.):27140808-27171639	0.2885
NM_005523	chr7(.):27215775-27229835	0.7993
NM_006896	chr7(.):27188337-27201296	1.7449
NM_019102	chr7(.):27175995-27188287	0.3811
NM_024014	chr7(.):27180115-27192368	0.7515
NM_030661	chr7(.):27140808-27164214	0.3287
NM_006735	chr7(.):27134972-27147394	0.4536
NM_018951	chr7(.):27205209-27218955	0.9245
NM_153715	chr7(.):27205209-27224876	0.859
NR_029911	chr7(.):27204098-27214182	1.105
NM_152739	chr7(.):27197056-27210149	1.2173
NM_006555	chr7(.):44235577-44258893	0.2038
NM_000162	chr7(.):44178869-44234022	0.2197
NM_152755	chr7(.):99712264-99728128	0.1092
NM_203397	chr7(.):99719319-99731121	0.1503
NM_005641	chr7(.):99699692-99721995	0.0502
NM_001190415	chr7(.):99699692-99722481	0.0509
NM_139315	chr7(.):99699692-99722021	0.0502
NM_018275	chr7(.):99747042-99761302	0.26
NM_024070	chr7(.):99811870-99824111	0.1446
NM_012447	chr7(.):99770537-99817010	0.5027
NM_152742	chr7(.):99762228-99779990	1.5003
NM_001008395	chr7(.):99741529-99756833	0.1014
NM_024637	chr7(.):99751864-99771373	1.1072
NM_173564	chr7(.):100076549-100097422	0.9689
NM_030935	chr7(.):100059141-100081902	0.1253
NM_145030	chr7(.):100027911-100039094	0.079
NM_001004323	chr7(.):100049237-100066894	0.1168
NM_002319	chr7(.):100166633-100188776	0.4443
NM_016188	chr7(.):100235725-100259084	1.2693
NM_003227	chr7(.):100213038-100244173	1.3493
NM_001040097	chr7(.):100204724-100218000	0.967
NM_001040098	chr7(.):100205052-100218000	0.9541
NM_002593	chr7(.):100194881-100210798	1.292
NM_033506	chr7(.):100178955-100203740	0.9849
NM_001163499	chr7(.):100182195-100203740	1.1288
NM_001040099	chr7(.):100205113-100218000	0.9519
NM_001168682	chr7(.):100164852-100176270	0.4262
NM_005837	chr7(.):100298675-100310123	0.3043
NM_000799	chr7(.):100313422-100326323	1.5285
NM_003386	chr7(.):100326248-100400419	1.1647
NM_022574	chr7(.):100272129-100291870	0.0737
NM_005273	chr7(.):100266362-100281792	0.2946
NM_020246	chr7(.):100445357-100469634	0.1397
NM_003302	chr7(.):100459949-100476076	0.1807
NM_015908	chr7(.):100467700-100491285	0.4286
NM_001164462	chr7(.):100607903-100667230	1.4632
NM_001165413	chr7(.):100765378-100787547	1.184
NM_001040105	chr7(.):100658363-100707140	0.6338
NM_030961	chr7(.):100723785-100738889	0.1523
NM_001185080	chr7(.):100870372-100887101	0.0399
NM_016068	chr7(.):100877892-100893371	0.0438
NM_014343	chr7(.):100870372-100886227	0.0397
NM_006349	chr7(.):100855984-100872471	0.0587
NM_198571	chr7(.):100808773-100828557	1.5894
NM_001084	chr7(.):100844257-100866011	0.3444
NM_003378	chr7(.):100800789-100813852	0.9411
NM_178176	chr7(.):100834012-100849302	1.2329
NM_001283	chr7(.):100792685-100809557	0.6644
NM_001130820	chr7(.):100951647-100970093	0.2697
NM_001458	chr7(.):128465482-128504328	1.5285
NM_001195150	chr7(.):128501463-128517101	0.2529
NM_001198909	chr7(.):128497856-128510903	0.2987
NM_198455	chr7(.):149468130-149536053	2.4887
NM_207336	chr7(.):149456452-149475295	1.1619
NR_027040	chr7(.):149559782-149575951	0.1413
NM_001100592	chr7(.):149565056-149582738	0.1185
NM_001142459	chr7(.):150867784-150889478	1.559
NM_080871	chr7(.):150867784-150889919	1.5933
NM_019015	chr7(.):150924584-150940905	0.2158
NM_003078	chr7(.):150931058-150979231	1.7573
NM_001003802	chr7(.):150931058-150978820	1.7686
NM_005692	chr7(.):150899922-150929317	0.4874
NM_001003801	chr7(.):150931058-150950749	1.7911
NR_030407	chr7(.):150930506-150940624	0.2281
NM_198285	chr7(.):151073206-151112124	1.4019
NM_016118	chr7(.):151033857-151080532	0.2164
NR_034012	chr7(.):151101321-151115132	0.8354
NM_144727	chr7(.):151122055-151142099	0.5892
NR_037468	chr7(.):151125574-151135725	0.7149
NM_000193	chr7(.):155590557-155609967	1.5677
NM_001172357	chr8(.):22014183-22026991	1.1982
NM_014629	chr8(.):1767148-1911807	0.8724
NM_005607	chr8(.):141663501-142016332	0.1726
NM_145003	chr8(.):143288440-143489543	0.2357
NM_015201	chr8(.):145481055-145520120	0.035
NM_001134374	chr8(.):145081581-145107015	1.1185
NM_014867	chr8(.):1917043-1960109	0.7329
NM_001136572	chr8(.):7416309-7445175	1.0603
NM_001136572	chr8(.):7408659-7422234	0.6486
NM_025232	chr8(.):21990532-22004448	0.5938
NM_024815	chr8(.):21959382-21971932	0.1084
NM_018411	chr8(.):21966931-21993565	1.296
NM_022749	chr8(.):21941713-21966891	0.0958
NM_139278	chr8(.):21999342-22019344	1.4753
NM_006129	chr8(.):22017652-22074840	0.215
NM_032611	chr8(.):142427006-142446620	0.7796
NM_005293	chr8(.):142361586-142382365	1.958
NR_024441	chr8(.):142345647-142359720	1.3897
NM_001702	chr8(.):143540376-143631368	1.168
NM_015193	chr8(.):143687409-143700833	1.4254
NR_026785	chr8(.):144443792-144455805	0.4927
NM_052924	chr8(.):144446024-144471390	0.7189
NM_201589	chr8(.):144505229-144517602	1.7095
NM_182706	chr8(.):144868089-144902549	0.1094
NM_031308	chr8(.):144934911-144952434	1.337
NM_001136033	chr8(.):144893552-144916196	0.1148
NM_178564	chr8(.):144910754-144928146	0.3038
NM_078480	chr8(.):144893546-144916537	0.1174
NR_030633	chr8(.):144890126-144900212	0.063
NM_201378	chr8(.):144984320-145052697	0.1001
NM_032789	chr8(.):145046319-145065635	0.1291
NM_000445	chr8(.):144984320-145055913	0.0967
NM_201381	chr8(.):144984320-145023905	0.0927
NM_201382	chr8(.):144984320-145023110	0.0943
NM_201383	chr8(.):144984320-145021692	0.0971
NM_001009184	chr8(.):145059225-145072583	0.1447
NM_201384	chr8(.):144984320-145018758	0.0979
NR_030383	chr8(.):145014358-145024447	0.072
NM_001916	chr8(.):145144959-145157428	0.1368
NM_019037	chr8(.):145128521-145140551	0.1479
NM_030974	chr8(.):145148535-145164140	0.1045
NM_032272	chr8(.):145154304-145167515	0.0918
NM_017570	chr8(.):145101166-145120584	1.1339
NM_003801	chr8(.):145132523-145146119	0.1095
NM_005526	chr8(.):145510269-145543385	0.0645
NM_012079	chr8(.):145533246-145555567	0.3571
NR_030635	chr8(.):145614363-145624445	0.0525
NM_031309	chr8(.):145549453-145564943	1.3542
NM_024531	chr8(.):145577224-145589946	0.1005
NR_015428	chr8(.):145571885-145583505	0.2609
NM_012162	chr8(.):145574090-145587132	0.1583
NM_174922	chr8(.):145592730-145623453	0.1077
NM_139025	chr9(.):136282119-136329508	1.4273
NR_024514	chr9(.):136274458-136329508	1.2374
NM_004878	chr9(.):132495614-132520344	1.6704
NM_199350	chr9(.):132369503-132388055	1.1747
NM_006059	chr9(.):133879503-133973446	1.5128
NM_007313	chr9(.):133584267-133768062	0.0598
