GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
NM_001170755	chr1(.):148553187-148601267	0.2102
NM_001144032	chr1(.):148639010-148649795	0.1313
NM_001102663	chr1(.):148734441-148763311	0.18
NR_024510	chr1(.):149571452-149621786	0.1558
NM_001161334	chr1(.):149749244-149788928	0.2182
NM_001034077	chr1(.):149799220-149809616	0.4374
NM_001005464	chr1(.):149807258-149817765	0.5757
NM_001040874	chr1(.):149808784-149819318	0.568
NM_001123375	chr1(.):149779779-149790236	0.411
NM_000566	chr1(.):149749249-149769074	0.1541
NM_005850	chr1(.):149890210-149904702	0.2762
NM_016074	chr1(.):149866154-149877348	0.209
NM_003528	chr1(.):149851009-149863232	0.6381
NM_003517	chr1(.):149853524-149863961	0.7031
NM_175065	chr1(.):149854018-149864466	0.6983
NM_014849	chr1(.):149869871-149894434	0.1671
NM_181873	chr1(.):149895542-149913266	0.3305
NM_001145862	chr1(.):149895542-149913791	0.3292
NR_036461	chr1(.):149816758-149827340	0.5502
NM_001040874	chr1(.):149817627-149828161	0.5427
NM_001005464	chr1(.):149819180-149829687	0.5403
NM_001034077	chr1(.):149827329-149837725	0.4867
NM_019032	chr1(.):150516897-150538412	0.5355
NM_207046	chr1(.):150589598-150606609	0.3378
NR_036211	chr1(.):150519404-150529490	0.165
NM_001197320	chr1(.):150542026-150557214	0.4223
NM_005620	chr1(.):151999981-152014511	0.4856
NM_002966	chr1(.):151950385-151971714	0.2274
NM_001008536	chr1(.):152051619-152066540	0.1234
NM_006556	chr1(.):154892207-154914484	0.3578
NM_001130041	chr1(.):154929773-154951959	0.3429
NM_001130040	chr1(.):154929773-154948223	0.3544
NM_201398	chr1(.):154950769-154970587	0.2471
NM_015872	chr1(.):154970111-154995999	0.3874
NM_207196	chr1(.):155018761-155040252	0.2493
NM_018655	chr1(.):154961061-154971791	0.2334
NM_001143687	chr1(.):155001281-155028406	0.2042
NR_024163	chr1(.):154942117-154956725	0.4167
NM_144622	chr1(.):154986002-155011257	0.2296
NM_138300	chr1(.):154924501-154939258	0.4938
NR_036212	chr1(.):154943168-154953259	0.4309
NM_001162384	chr1(.):155911629-155953336	0.3903
NM_181885	chr1(.):155906479-155917625	0.5817
NM_004723	chr1(.):155911629-155952966	0.3905
NM_014949	chr1(.):155877835-155909188	0.2671
NR_003005	chr1(.):155890748-155900877	0.215
NM_003145	chr1(.):155973838-155995758	0.2551
NM_005920	chr1(.):156428518-156475529	0.4171
NR_001560	chr1(.):157093153-157103463	0.1763
NM_005240	chr1(.):157097975-157113177	0.3532
NM_001145312	chr1(.):157089458-157113383	0.273
NM_001778	chr1(.):160643535-160686585	0.4021
NM_003037	chr1(.):160574890-160622081	0.2031
NM_021181	chr1(.):160704076-160729601	0.3521
NM_030916	chr1(.):161035780-161064385	0.26
NM_007122	chr1(.):161004040-161020757	0.4415
NM_001113205	chr1(.):161002421-161013774	0.267
NM_181720	chr1(.):161011731-161044760	0.3991
NM_016946	chr1(.):160960000-160996133	0.2692
NM_001039711	chr1(.):161085768-161107478	0.2698
NM_016406	chr1(.):161118533-161133646	0.3503
NM_004550	chr1(.):161164104-161189184	0.2993
NM_000309	chr1(.):161131180-161146010	0.3465
NM_001643	chr1(.):161187082-161198418	0.3779
NM_003779	chr1(.):161136100-161152314	0.45
NM_012475	chr1(.):161124253-161140516	0.3506
NM_001039712	chr1(.):161085768-161107256	0.272
NM_032174	chr1(.):161190832-161205407	0.2563
NM_001166159	chr1(.):161166936-161189184	0.3105
NM_005099	chr1(.):161154537-161173845	0.3695
NM_004106	chr1(.):161180086-161194038	0.2879
NM_001127593	chr1(.):161506550-161525413	0.271
NM_001127592	chr1(.):161506550-161524818	0.2767
NM_201563	chr1(.):161546128-161575032	0.0981
NM_002155	chr1(.):161489035-161501687	0.3193
NM_001146191	chr1(.):167686186-167766156	0.1625
NM_002021	chr1(.):171212662-171260113	0.2488
NR_033186	chr1(.):178506930-178523024	0.1925
NM_022371	chr1(.):179046111-179070129	0.4732
NM_016545	chr1(.):181052637-181064979	0.3052
NM_002927	chr1(.):192600281-192634389	0.1503
NM_002922	chr1(.):192539856-192554159	0.8387
NM_002923	chr1(.):192773168-192786407	0.6064
NM_001195216	chr1(.):197698138-197749623	0.302
NM_017596	chr1(.):200933519-200997828	0.2097
NR_034150	chr1(.):203262885-203279453	0.6917
NM_006763	chr1(.):203269663-203283729	0.5151
NM_002023	chr1(.):203304751-203325289	0.1866
NM_002646	chr1(.):204386757-204464474	0.1651
NM_002393	chr1(.):204480510-204532248	0.4779
NM_030952	chr1(.):205266190-205295883	0.2382
NM_001123168	chr1(.):206133910-206160074	0.2252
NM_001007544	chr1(.):206233871-206293647	0.4073
NM_148964	chr1(.):206312458-206337104	0.1446
NM_006893	chr1(.):206759973-206790904	0.2168
NM_182665	chr1(.):206725491-206767616	0.4153
NM_000574	chr1(.):207489816-207539311	0.293
NR_026817	chr1(.):207986723-208000941	0.5029
NR_029832	chr1(.):207970196-207980284	0.2937
NR_029518	chr1(.):207970787-207980868	0.3168
NM_153606	chr1(.):212792788-212805120	0.1835
NM_001030287	chr1(.):212733696-212799116	0.3126
NM_001674	chr1(.):212776993-212799116	0.429
NM_020997	chr1(.):226068981-226081836	0.215
NM_014698	chr1(.):226028232-226075420	0.2839
NM_013328	chr1(.):226102579-226116965	0.2208
NR_002315	chr1(.):226245427-226264703	0.3076
NM_002107	chr1(.):226245420-226264703	0.3075
NM_001618	chr1(.):226543391-226600801	0.2009
NM_181441	chr1(.):228289379-228302013	0.3779
NR_037415	chr1(.):228279963-228290042	0.1808
NM_001024227	chr1(.):228265850-228291913	0.381
NM_001024226	chr1(.):228265360-228291913	0.3751
NM_024319	chr1(.):228283427-228296022	0.2275
NM_001159391	chr1(.):228327403-228341655	0.2087
NM_001159390	chr1(.):228322928-228341655	0.2104
NM_020435	chr1(.):228332552-228352527	0.1062
NR_002834	chr1(.):228775656-228793159	0.2912
NM_182972	chr1(.):234735014-234750271	0.8943
NR_033927	chr1(.):234760056-234775526	0.1581
NM_173858	chr1(.):247414373-247425447	0.1338
NR_037480	chr1(.):247360268-247370362	0.1427
NM_020458	chr2(.):47163312-47308275	0.1985
NR_033872	chr2(.):70184394-70319147	0.1388
NM_001099289	chr2(.):109740996-110267207	0.1109
NM_145693	chr2(.):11881739-11972533	0.2358
NM_170672	chr2(.):33656415-33794798	0.2179
NM_005813	chr2(.):37472645-37549222	0.2832
NM_003618	chr2(.):39471421-39669219	0.1357
NM_138801	chr2(.):38888051-38966909	0.2081
NM_019063	chr2(.):42391489-42564688	0.1258
NM_012249	chr2(.):46764866-46816827	0.2539
NR_036586	chr2(.):65123973-65164581	0.3091
NM_004027	chr2(.):99056320-99212496	0.408
NM_001566	chr2(.):99056320-99203284	0.4252
NM_004336	chr2(.):111390408-111440684	0.2072
NR_029399	chr2(.):113912420-114210429	0.1193
NM_002410	chr2(.):135006829-135211468	0.1454
NM_001077269	chr2(.):175419301-175552627	0.1819
NR_024415	chr2(.):192537797-192558248	0.3979
NM_001031716	chr2(.):192537860-192558248	0.399
NM_004226	chr2(.):196993306-197041336	0.3769
NM_001228	chr2(.):202093165-202157434	0.3119
NM_003879	chr2(.):201975889-202034003	0.3202
NM_001127184	chr2(.):201975815-202011323	0.4132
NM_173822	chr2(.):201833440-201941392	0.1439
NM_033358	chr2(.):202093165-202151638	0.3288
NM_022730	chr2(.):232646161-232678434	0.0702
NM_001037160	chr2(.):10191925-10225538	0.0743
NM_182626	chr2(.):10276508-10356856	0.0824
NM_001165931	chr2(.):10257694-10276546	0.3492
NM_001034	chr2(.):10257862-10276546	0.3516
NM_002539	chr2(.):10575507-10593453	0.3485
NR_028374	chr2(.):10581839-10591975	0.4555
NM_002997	chr2(.):20395557-20429927	0.4139
NM_001006946	chr2(.):20395557-20430194	0.4123
NM_015376	chr2(.):33733941-33794798	0.1494
NM_001139488	chr2(.):33696320-33794798	0.2625
NM_012413	chr2(.):37566752-37605465	0.5856
NM_006887	chr2(.):43444540-43458745	0.561
NR_027251	chr2(.):43449349-43460994	0.3571
NM_080653	chr2(.):46733985-46752096	0.0843
NM_173074	chr2(.):46803412-46849251	0.1493
NM_014171	chr2(.):46839324-46857881	0.1507
NM_001171508	chr2(.):47124008-47173994	0.1601
NR_033837	chr2(.):64407212-64437619	0.2296
NM_001193493	chr2(.):65210578-65256000	0.2156
NM_003038	chr2(.):65211494-65256000	0.2161
NM_006196	chr2(.):70309584-70321334	0.4732
NR_024444	chr2(.):70346167-70357448	0.2705
NM_006636	chr2(.):74420689-74447424	0.239
NM_018221	chr2(.):74378210-74410995	0.1548
NM_015425	chr2(.):86248450-86338278	0.2289
NR_026984	chr2(.):86242338-86255991	0.1108
NR_015424	chr2(.):89060418-89111109	0.1652
NR_026875	chr2(.):97158382-97178846	0.1363
NM_212481	chr2(.):97197463-97223371	0.4112
NM_172003	chr2(.):114190267-114258781	0.1284
NR_024275	chr2(.):135201959-135217192	0.0843
NM_004288	chr2(.):158266130-158305604	0.2879
NM_003387	chr2(.):175419301-175504307	0.2325
NM_002491	chr2(.):201931461-201955473	0.1912
NM_001127183	chr2(.):201978386-202033841	0.3304
NM_033356	chr2(.):202120222-202157434	0.3098
NM_001080125	chr2(.):202117753-202157434	0.3052
NM_006139	chr2(.):204566197-204607557	0.4495
NM_017431	chr2(.):219682105-219701512	0.0785
NM_025216	chr2(.):219740254-219763651	0.5706
NM_006522	chr2(.):219719545-219743954	0.122
NR_031717	chr2(.):232751951-232762008	0.0506
NM_014674	chr3(.):5224358-5266650	0.4196
NM_001195099	chr3(.):15703743-15803058	0.1226
NM_001195098	chr3(.):15703743-15844691	0.1577
NM_015199	chr3(.):15703743-15906053	0.1691
NR_031662	chr3(.):99268152-99722059	0.1114
NM_016128	chr3(.):128963452-129001616	0.2086
NM_003571	chr3(.):133113789-133199056	0.2839
NM_024947	chr3(.):169800367-169904537	0.2924
NM_001135095	chr3(.):171753343-172123492	0.2484
NM_022763	chr3(.):171752417-172123492	0.249
NM_181361	chr3(.):178249223-178567217	0.1639
NM_001134382	chr3(.):12933718-13119617	0.1668
NM_024923	chr3(.):13352736-13466809	0.1462
NM_014869	chr3(.):12933718-13013960	0.0965
NM_144636	chr3(.):14148576-14171371	0.2579
NM_001184958	chr3(.):14711605-14819543	0.1462
NM_001024847	chr3(.):30642993-30740633	0.23
NM_014016	chr3(.):45725753-45791900	0.1548
NM_001123396	chr3(.):46390234-46405868	0.366
NM_181042	chr3(.):52574367-52718739	0.1028
NM_018313	chr3(.):52574367-52724866	0.1101
NM_020351	chr3(.):99352453-99520158	0.0966
NM_001627	chr3(.):105080712-105300744	0.0994
NM_001009899	chr3(.):113362232-113420493	0.1133
NM_001690	chr3(.):113460865-113535905	0.1603
NM_002213	chr3(.):124476794-124611144	0.1962
NM_001080412	chr3(.):141038054-141173632	0.4284
NM_024665	chr3(.):176733541-176920048	0.2928
NM_005832	chr3(.):178271617-178567217	0.1572
NM_130446	chr3(.):183200318-183278499	0.508
NM_014616	chr3(.):182506290-182644421	0.2092
NM_173216	chr3(.):186643314-186801341	0.2987
NM_003032	chr3(.):186734664-186801341	0.3236
NR_034062	chr3(.):187415153-187455203	0.1414
NM_174908	chr3(.):191041873-191121459	0.2141
NM_005524	chr3(.):193848933-193861396	0.7519
NM_024334	chr3(.):14161439-14190180	0.2198
NM_016474	chr3(.):14688252-14719166	0.1449
NM_014240	chr3(.):45631322-45727755	0.2195
NR_033947	chr3(.):45714656-45735374	0.2207
NM_001295	chr3(.):46238199-46254832	0.4376
NM_001837	chr3(.):46278871-46313197	0.1291
NM_003965	chr3(.):46443720-46456014	0.1348
NM_001100168	chr3(.):46406632-46422697	0.2538
NM_001130910	chr3(.):46444048-46456014	0.1329
NM_003212	chr3(.):46614075-46628952	0.0811
NM_001174136	chr3(.):46611044-46628952	0.0844
NM_024512	chr3(.):46551877-46613011	0.2448
NM_031440	chr3(.):46534484-46547439	0.1612
NM_001010983	chr3(.):52723503-52745048	0.3067
NM_206825	chr3(.):52714935-52733510	0.2068
NR_003687	chr3(.):52719753-52729846	0.2137
NM_014041	chr3(.):52734856-52747197	0.4124
NR_003057	chr3(.):52721751-52731828	0.1884
NM_152932	chr3(.):52723503-52742622	0.2753
NR_003047	chr3(.):52718255-52728331	0.2358
NM_001193533	chr3(.):52739795-52809965	0.1824
NM_006100	chr3(.):98446571-98518236	0.3198
NM_025146	chr3(.):113432840-113470096	0.2298
NR_031687	chr3(.):125504246-125514395	0.1286
NM_020187	chr3(.):128992683-129029135	0.3028
NM_001006109	chr3(.):128992816-129029135	0.3032
NM_006026	chr3(.):129028613-129040120	0.7334
NR_026991	chr3(.):129030113-129048412	0.3656
NR_027898	chr3(.):129926662-129997649	0.0868
NR_034008	chr3(.):156802669-156823924	0.6189
NR_034007	chr3(.):156794455-156845791	0.3737
NM_020307	chr3(.):156860585-156883482	0.4712
NM_001167903	chr3(.):158514714-158552508	0.2309
NM_014373	chr3(.):169750734-169808183	0.3181
NM_001004312	chr3(.):187411046-187425345	0.1259
NM_001706	chr3(.):187434164-187468513	0.2343
NM_001134738	chr3(.):187434164-187457695	0.162
NM_001130845	chr3(.):187434164-187459285	0.1881
NM_198152	chr3(.):190979943-191053325	0.2492
NM_001128148	chr3(.):195771154-195814032	0.2047
NM_003234	chr3(.):195771154-195813961	0.2049
NR_034088	chr3(.):195864506-195892761	0.105
NM_198565	chr3(.):196361655-196393874	0.2941
NM_014687	chr3(.):197393258-197468773	0.318
NM_001145642	chr3(.):197393313-197481568	0.3217
NR_027840	chr3(.):197472260-197516317	0.2113
NM_032288	chr3(.):197471623-197516317	0.21
NM_001011537	chr3(.):197471423-197516317	0.2097
NM_002111	chr4(.):3071407-3250687	0.0904
NM_020859	chr4(.):77351252-77709405	0.1502
NM_144571	chr4(.):78629540-78745544	0.1553
NM_198281	chr4(.):90160428-90234161	0.3412
NM_015130	chr4(.):141536935-141682471	0.1522
NM_001004056	chr4(.):2960342-3047474	0.1236
NM_004310	chr4(.):40193526-40251281	0.3278
NM_018177	chr4(.):40053523-40162019	0.1269
NM_002039	chr4(.):144252982-144400718	0.2452
NM_153343	chr4(.):185004858-185144114	0.0909
NM_020827	chr4(.):186075818-186130182	0.1634
NM_031953	chr4(.):186126283-186290120	0.2193
NR_027277	chr4(.):40039536-40063819	0.1903
NM_017581	chr4(.):40332468-40361973	0.1021
NM_031889	chr4(.):71489460-71517536	0.1475
NM_144646	chr4(.):71516257-71537348	0.3529
NM_020368	chr4(.):71549195-71561268	0.2464
NM_014961	chr4(.):71582695-71664274	0.1231
NM_001130709	chr4(.):71565653-71660614	0.1296
NM_020236	chr4(.):78778804-78878944	0.1647
NM_152545	chr4(.):82343218-82398061	0.1896
NM_003998	chr4(.):103417485-103543459	0.1873
NM_025212	chr4(.):105388342-105417467	0.301
NM_152680	chr4(.):153542265-153606317	0.2312
NM_001131005	chr5(.):88009057-88204922	0.2381
NM_002397	chr5(.):88009057-88184283	0.2461
NM_001193349	chr5(.):88009057-88124744	0.2198
NM_001131055	chr5(.):175080039-175118245	0.196
NM_024091	chr5(.):7854271-7874150	0.2389
NM_152756	chr5(.):38933021-39079501	0.1211
NM_024669	chr5(.):55390506-55534186	0.2256
NM_022913	chr5(.):56464774-56565506	0.1599
NM_001127235	chr5(.):56466274-56565506	0.1598
NM_001992	chr5(.):76006867-76036595	0.4015
NM_006633	chr5(.):75694148-76008957	0.1422
NR_015436	chr5(.):87831596-87985620	0.1331
NR_027435	chr5(.):90671163-90721532	0.2199
NM_001038702	chr5(.):130594701-130735382	0.1848
NM_003060	chr5(.):131700400-131736306	0.139
NM_004045	chr5(.):151117382-151143210	0.2922
NM_001037332	chr5(.):156688186-156827606	0.1363
NM_001037333	chr5(.):156688090-156827606	0.1363
NM_014376	chr5(.):156691361-156827606	0.1377
NM_022455	chr5(.):176555832-176732214	0.133
NM_172349	chr5(.):176555079-176732214	0.1332
NM_002406	chr5(.):180212540-180235048	0.2322
NM_001114619	chr5(.):180212540-180235902	0.2298
NM_001114618	chr5(.):180212540-180241817	0.2691
NM_001114617	chr5(.):180212540-180242137	0.2684
NM_001193376	chr5(.):1248286-1300162	0.0788
NM_030782	chr5(.):1312999-1350002	0.6096
NM_001145161	chr5(.):6443735-6501834	0.2752
NM_001089584	chr5(.):7826510-7856264	0.0745
NM_024010	chr5(.):7864216-7906235	0.1816
NM_006713	chr5(.):32580604-32609185	0.3394
NR_034127	chr5(.):43060288-43072073	0.2607
NM_001014279	chr5(.):43034181-43045447	0.4823
NR_034085	chr5(.):43011149-43023913	0.2654
NR_015447	chr5(.):43037235-43050370	0.3991
NM_001127236	chr5(.):56504900-56565506	0.1186
NR_028375	chr5(.):76002762-76013686	0.1863
NR_024384	chr5(.):87955262-87974146	0.3946
NR_024383	chr5(.):87955262-87979262	0.3524
NR_030741	chr5(.):87957670-87967757	0.2321
NM_020801	chr5(.):90659540-90684149	0.3717
NM_000588	chr5(.):131391346-131403896	0.1104
NM_000758	chr5(.):131404484-131416859	0.107
NR_037500	chr5(.):131696181-131706291	0.1161
NM_002198	chr5(.):131812300-131831465	0.3069
NM_001013717	chr5(.):131741672-131803059	0.4776
NM_000879	chr5(.):131872135-131884214	0.1076
NM_005754	chr5(.):151146475-151189915	0.1522
NM_001195556	chr5(.):157207750-157291183	0.1539
NM_004417	chr5(.):172190092-172203203	0.5413
NM_030627	chr5(.):173310330-173392313	0.2583
NM_022304	chr5(.):175103463-175116558	0.0957
NM_001031677	chr5(.):176723198-176735744	0.4284
NM_006816	chr5(.):176753562-176783885	0.1279
NM_031300	chr5(.):176729205-176744292	0.2954
NM_013237	chr5(.):176725834-176738950	0.4212
NR_031598	chr5(.):179220277-179230346	0.1646
NM_145867	chr5(.):179215985-179228513	0.1527
NM_003900	chr5(.):179242841-179270077	0.2279
NM_016175	chr5(.):179259265-179290840	0.1184
NM_054013	chr5(.):179219597-179234875	0.1813
NM_014275	chr5(.):179219597-179238952	0.1836
NM_001142298	chr5(.):179228387-179270077	0.2061
NM_001142299	chr5(.):179229002-179270077	0.2088
NR_027183	chr5(.):180251958-180267726	0.2115
NM_152283	chr5(.):180269610-180293286	0.128
NM_181356	chr6(.):44791469-45350670	0.1166
NM_003599	chr6(.):44792449-45350575	0.1166
NM_012288	chr6(.):52357199-52446862	0.406
NM_005907	chr6(.):119494266-119675926	0.1311
NM_033515	chr6(.):129893239-130036370	0.2385
NM_001195286	chr6(.):386738-416443	0.3504
NM_001168344	chr6(.):7102829-7257213	0.1676
NM_001003699	chr6(.):7103085-7257213	0.1674
NR_037616	chr6(.):7876482-8069647	0.3626
NM_002114	chr6(.):12007723-12170232	0.1882
NM_001173977	chr6(.):25274655-25625758	0.187
NM_014641	chr6(.):30662583-30690458	0.2232
NM_172166	chr6(.):31702724-31735455	0.2351
NM_004348	chr6(.):45384913-45523819	0.1785
NM_001024630	chr6(.):45291053-45523819	0.1545
NM_016021	chr6(.):90031343-90067619	0.3808
NM_001455	chr6(.):108877068-109010971	0.3981
NM_201559	chr6(.):108876025-109010971	0.3963
NM_032131	chr6(.):109164618-109300352	0.2584
NM_173674	chr6(.):117798819-117896020	0.1894
NM_024630	chr6(.):157797556-158099977	0.095
NM_020185	chr6(.):287100-356355	0.5848
NR_027712	chr6(.):7981334-7995577	0.2105
NM_001145549	chr6(.):7876482-7915310	0.6582
NM_030810	chr6(.):7876482-7916047	0.6547
NM_032744	chr6(.):11708887-11784280	0.2046
NM_013262	chr6(.):16124316-16153478	0.2033
NM_005319	chr6(.):26050967-26061699	0.331
NM_003537	chr6(.):26026816-26037288	0.4309
NM_003544	chr6(.):26022123-26032480	0.4363
NM_021062	chr6(.):26038454-26048885	0.2904
NM_003531	chr6(.):26040638-26051097	0.2878
NM_005325	chr6(.):26012259-26023040	0.2389
NM_003538	chr6(.):26016906-26027278	0.3778
NM_003513	chr6(.):26028319-26038796	0.3282
NM_003529	chr6(.):26015717-26026186	0.2759
NM_003526	chr6(.):26118694-26129132	0.4686
NM_021065	chr6(.):26194011-26204471	0.4996
NM_003530	chr6(.):26192011-26204464	0.4358
NM_138720	chr6(.):26153348-26176576	0.346
NM_003523	chr6(.):26179023-26189458	0.313
NM_003539	chr6(.):26183937-26194304	0.3341
NM_003545	chr6(.):26199872-26210249	0.4154
NM_021063	chr6(.):26153348-26163871	0.4256
NM_005321	chr6(.):26151558-26162343	0.4249
NM_003512	chr6(.):26119372-26129918	0.466
NM_005323	chr6(.):26102639-26113364	0.2451
NM_003522	chr6(.):26194786-26205216	0.5868
NM_003518	chr6(.):26211427-26221872	0.2907
NM_021052	chr6(.):26212147-26222711	0.2887
NM_003543	chr6(.):26280353-26290727	0.349
NM_003532	chr6(.):26220382-26230844	0.1953
NM_003524	chr6(.):26246878-26257303	0.3326
NM_003534	chr6(.):26266145-26276612	0.4113
NM_003547	chr6(.):26241838-26252205	0.3022
NM_003540	chr6(.):26235653-26246021	0.1617
NM_021018	chr6(.):26245369-26255835	0.3349
NM_005320	chr6(.):26229439-26240216	0.2404
NM_003525	chr6(.):26268203-26278640	0.4111
NM_001145008	chr6(.):26397464-26420444	0.1373
NM_001197240	chr6(.):26378328-26400100	0.1845
NM_001197247	chr6(.):26360397-26383540	0.5677
NM_001197238	chr6(.):26378323-26400100	0.1845
NM_001197237	chr6(.):26378438-26400100	0.1838
NM_001197248	chr6(.):26360469-26383540	0.5658
NM_001197246	chr6(.):26363405-26383540	0.213
NR_026790	chr6(.):26516933-26532612	0.2062
NM_001732	chr6(.):26496494-26515652	0.1106
NM_006353	chr6(.):26533571-26552164	0.282
NM_021064	chr6(.):27095816-27106314	0.3981
NM_080593	chr6(.):27101071-27119637	0.2998
NM_080596	chr6(.):27109907-27120346	0.2956
NR_036096	chr6(.):27110404-27120467	0.2998
NM_021058	chr6(.):27095094-27105575	0.3967
NM_003495	chr6(.):27102087-27112457	0.2278
NM_007149	chr6(.):27413520-27445897	0.1458
NM_021066	chr6(.):27777079-27787518	0.4077
NM_003536	chr6(.):27772841-27783314	0.5039
NM_003509	chr6(.):27770976-27781445	0.3821
NM_003519	chr6(.):27770256-27780709	0.3736
NM_003521	chr6(.):27777821-27788267	0.3869
NM_003535	chr6(.):27853092-27863570	0.4152
NM_003527	chr6(.):27856202-27866669	0.421
NM_003520	chr6(.):27801439-27811888	0.356
NM_003511	chr6(.):27828106-27838576	0.2696
NM_003533	chr6(.):27834622-27845099	0.1996
NM_003510	chr6(.):27800657-27811117	0.3594
NM_003541	chr6(.):27793951-27804305	0.2829
NM_005322	chr6(.):27829569-27840359	0.2971
NM_033057	chr6(.):27873962-27885174	0.0845
NM_021968	chr6(.):27786902-27797258	0.2854
NM_003514	chr6(.):27855476-27865963	0.4168
NM_003546	chr6(.):27835925-27846289	0.1612
NM_003587	chr6(.):30615895-30645830	0.1203
