GENE_ID	locusLine	bin_1_39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
1_MACS_peak_52_lociStitched	chr1(.):2186453-2187985	0.1896
1_MACS_peak_53_lociStitched	chr1(.):2221475-2223118	0.1901
1_MACS_peak_54_lociStitched	chr1(.):2231056-2233416	0.1932
1_MACS_peak_55_lociStitched	chr1(.):2322089-2324391	0.1493
2_MACS_peak_56_lociStitched	chr1(.):2342991-2347985	0.1599
1_MACS_peak_58_lociStitched	chr1(.):2456604-2458404	0.1567
3_MACS_peak_59_lociStitched	chr1(.):2476924-2489304	0.1219
1_MACS_peak_62_lociStitched	chr1(.):2508707-2509910	0.1271
1_MACS_peak_63_lociStitched	chr1(.):2516455-2518771	0.1765
1_MACS_peak_64_lociStitched	chr1(.):2573736-2574802	0.1424
2_MACS_peak_65_lociStitched	chr1(.):3540362-3547957	0.1157
2_MACS_peak_67_lociStitched	chr1(.):3565556-3570017	0.1113
1_MACS_peak_69_lociStitched	chr1(.):3589114-3590417	0.1849
1_MACS_peak_70_lociStitched	chr1(.):3711986-3713843	0.1557
1_MACS_peak_71_lociStitched	chr1(.):3772764-3775052	0.1668
1_MACS_peak_72_lociStitched	chr1(.):3815806-3818573	0.2223
1_MACS_peak_73_lociStitched	chr1(.):3838195-3839167	0.1766
1_MACS_peak_74_lociStitched	chr1(.):4067007-4068629	0.1067
1_MACS_peak_75_lociStitched	chr1(.):4997721-4998696	0.0766
1_MACS_peak_76_lociStitched	chr1(.):6051308-6055422	0.1975
1_MACS_peak_77_lociStitched	chr1(.):6083754-6087321	0.1993
2_MACS_peak_78_lociStitched	chr1(.):6258312-6266757	0.1388
1_MACS_peak_80_lociStitched	chr1(.):6294731-6296856	0.1551
1_MACS_peak_81_lociStitched	chr1(.):6419218-6420508	0.1951
1_MACS_peak_82_lociStitched	chr1(.):6452447-6454793	0.1125
1_MACS_peak_83_lociStitched	chr1(.):6474399-6475483	0.2145
1_MACS_peak_84_lociStitched	chr1(.):6549846-6551690	0.1705
1_MACS_peak_85_lociStitched	chr1(.):6613134-6615255	0.1385
1_MACS_peak_86_lociStitched	chr1(.):6639371-6641181	0.195
1_MACS_peak_87_lociStitched	chr1(.):6659857-6664869	0.1807
1_MACS_peak_88_lociStitched	chr1(.):6672398-6675015	0.1378
1_MACS_peak_89_lociStitched	chr1(.):6684392-6686792	0.1301
1_MACS_peak_90_lociStitched	chr1(.):6733466-6734706	0.1529
1_MACS_peak_91_lociStitched	chr1(.):6760804-6762246	0.108
2_MACS_peak_92_lociStitched	chr1(.):6843692-6846670	0.1312
1_MACS_peak_94_lociStitched	chr1(.):6892222-6893521	0.1354
2_MACS_peak_95_lociStitched	chr1(.):6977920-6982947	0.1349
1_MACS_peak_97_lociStitched	chr1(.):7831010-7832262	0.2
1_MACS_peak_98_lociStitched	chr1(.):8013848-8014918	0.1468
1_MACS_peak_99_lociStitched	chr1(.):8020742-8022755	0.1483
2_MACS_peak_100_lociStitched	chr1(.):8455167-8458013	0.1593
3_MACS_peak_102_lociStitched	chr1(.):8650170-8665206	0.1343
1_MACS_peak_105_lociStitched	chr1(.):8740506-8741898	0.1128
1_MACS_peak_106_lociStitched	chr1(.):8760803-8765707	0.1886
1_MACS_peak_107_lociStitched	chr1(.):8771866-8773771	0.1453
1_MACS_peak_108_lociStitched	chr1(.):8876227-8878920	0.1533
1_MACS_peak_109_lociStitched	chr1(.):8937133-8939799	0.1753
1_MACS_peak_110_lociStitched	chr1(.):9140134-9141533	0.157
1_MACS_peak_111_lociStitched	chr1(.):9222272-9226002	0.1869
1_MACS_peak_112_lociStitched	chr1(.):9241124-9243182	0.1246
1_MACS_peak_113_lociStitched	chr1(.):9294469-9295679	0.1172
1_MACS_peak_114_lociStitched	chr1(.):9335552-9336529	0.1409
1_MACS_peak_115_lociStitched	chr1(.):9473135-9473976	0.0684
2_MACS_peak_116_lociStitched	chr1(.):9485757-9489760	0.1835
1_MACS_peak_118_lociStitched	chr1(.):9599500-9600554	0.0785
1_MACS_peak_119_lociStitched	chr1(.):9614979-9615996	0.1369
1_MACS_peak_120_lociStitched	chr1(.):9648297-9650355	0.1205
1_MACS_peak_121_lociStitched	chr1(.):9776894-9778751	0.1963
1_MACS_peak_122_lociStitched	chr1(.):9846425-9848724	0.1601
1_MACS_peak_123_lociStitched	chr1(.):9883019-9884388	0.0604
2_MACS_peak_124_lociStitched	chr1(.):9969038-9971807	0.2336
1_MACS_peak_126_lociStitched	chr1(.):10002279-10004417	0.2158
1_MACS_peak_127_lociStitched	chr1(.):10010029-10011653	0.245
1_MACS_peak_128_lociStitched	chr1(.):10050208-10051867	0.1853
1_MACS_peak_129_lociStitched	chr1(.):10078386-10079777	0.1335
1_MACS_peak_130_lociStitched	chr1(.):10092080-10094431	0.1875
1_MACS_peak_131_lociStitched	chr1(.):10228579-10231643	0.1631
1_MACS_peak_132_lociStitched	chr1(.):10248962-10250877	0.1642
1_MACS_peak_133_lociStitched	chr1(.):10260214-10261433	0.2306
1_MACS_peak_134_lociStitched	chr1(.):10269614-10271915	0.1968
1_MACS_peak_135_lociStitched	chr1(.):10310498-10314773	0.1755
1_MACS_peak_136_lociStitched	chr1(.):10447635-10448493	0.078
1_MACS_peak_137_lociStitched	chr1(.):10458298-10460128	0.1687
1_MACS_peak_138_lociStitched	chr1(.):10489858-10491824	0.2068
1_MACS_peak_139_lociStitched	chr1(.):10504273-10505764	0.2418
1_MACS_peak_140_lociStitched	chr1(.):10516265-10518139	0.2045
2_MACS_peak_141_lociStitched	chr1(.):10531626-10536158	0.1959
1_MACS_peak_143_lociStitched	chr1(.):10554620-10556146	0.1683
1_MACS_peak_144_lociStitched	chr1(.):11071506-11073742	0.1837
1_MACS_peak_145_lociStitched	chr1(.):11118449-11121463	0.1699
1_MACS_peak_146_lociStitched	chr1(.):11158937-11160558	0.1623
1_MACS_peak_147_lociStitched	chr1(.):11286993-11288039	0.1743
1_MACS_peak_148_lociStitched	chr1(.):11321690-11323447	0.1952
1_MACS_peak_149_lociStitched	chr1(.):11332857-11334531	0.1727
1_MACS_peak_150_lociStitched	chr1(.):11538626-11539829	0.1895
2_MACS_peak_151_lociStitched	chr1(.):11623316-11631646	0.1715
2_MACS_peak_153_lociStitched	chr1(.):11710279-11714899	0.1297
1_MACS_peak_155_lociStitched	chr1(.):11723934-11725344	0.0867
1_MACS_peak_156_lociStitched	chr1(.):11740328-11742301	0.205
2_MACS_peak_157_lociStitched	chr1(.):11790308-11798225	0.1336
1_MACS_peak_159_lociStitched	chr1(.):11843055-11845876	0.1732
1_MACS_peak_160_lociStitched	chr1(.):11863248-11867466	0.193
1_MACS_peak_161_lociStitched	chr1(.):11967707-11970576	0.2023
2_MACS_peak_162_lociStitched	chr1(.):11984232-11987496	0.1772
1_MACS_peak_164_lociStitched	chr1(.):11993851-11995565	0.1882
1_MACS_peak_165_lociStitched	chr1(.):12039506-12041426	0.1674
1_MACS_peak_166_lociStitched	chr1(.):12078673-12080446	0.1523
2_MACS_peak_167_lociStitched	chr1(.):12106890-12112996	0.1772
1_MACS_peak_169_lociStitched	chr1(.):12138722-12140091	0.1792
2_MACS_peak_170_lociStitched	chr1(.):12221097-12227748	0.135
1_MACS_peak_172_lociStitched	chr1(.):12234100-12234572	0.099
1_MACS_peak_173_lociStitched	chr1(.):12289708-12291571	0.2058
1_MACS_peak_174_lociStitched	chr1(.):12677847-12678962	0.1056
1_MACS_peak_175_lociStitched	chr1(.):12896982-12898223	0.1456
1_MACS_peak_176_lociStitched	chr1(.):13824500-13825673	0.1056
1_MACS_peak_177_lociStitched	chr1(.):14025989-14027102	0.1457
1_MACS_peak_178_lociStitched	chr1(.):14056529-14058362	0.1714
1_MACS_peak_179_lociStitched	chr1(.):14074818-14077395	0.1287
1_MACS_peak_180_lociStitched	chr1(.):14155201-14156390	0.1968
1_MACS_peak_181_lociStitched	chr1(.):14237922-14239448	0.1399
2_MACS_peak_182_lociStitched	chr1(.):14246901-14254711	0.1419
1_MACS_peak_184_lociStitched	chr1(.):14271959-14273503	0.1107
1_MACS_peak_185_lociStitched	chr1(.):14293161-14295176	0.1433
2_MACS_peak_186_lociStitched	chr1(.):14329560-14339050	0.1406
1_MACS_peak_188_lociStitched	chr1(.):14362402-14367645	0.1778
1_MACS_peak_189_lociStitched	chr1(.):14463515-14464856	0.1156
2_MACS_peak_190_lociStitched	chr1(.):14500867-14508790	0.1591
1_MACS_peak_192_lociStitched	chr1(.):14686942-14688337	0.1173
1_MACS_peak_193_lociStitched	chr1(.):14695541-14697198	0.2091
1_MACS_peak_194_lociStitched	chr1(.):15059042-15060258	0.0824
1_MACS_peak_195_lociStitched	chr1(.):15150567-15151655	0.176
1_MACS_peak_196_lociStitched	chr1(.):15160836-15164351	0.1593
2_MACS_peak_197_lociStitched	chr1(.):15202670-15209164	0.1516
1_MACS_peak_199_lociStitched	chr1(.):15482390-15483383	0.1165
3_MACS_peak_200_lociStitched	chr1(.):15499964-15506494	0.1786
1_MACS_peak_203_lociStitched	chr1(.):15557665-15558982	0.1564
2_MACS_peak_204_lociStitched	chr1(.):15584231-15588602	0.1272
1_MACS_peak_206_lociStitched	chr1(.):15688573-15689663	0.1225
1_MACS_peak_207_lociStitched	chr1(.):15735608-15737582	0.0959
1_MACS_peak_208_lociStitched	chr1(.):15850024-15854323	0.1886
3_MACS_peak_209_lociStitched	chr1(.):15897198-15912163	0.156
1_MACS_peak_212_lociStitched	chr1(.):15942526-15945723	0.1766
1_MACS_peak_213_lociStitched	chr1(.):16009843-16012204	0.0796
1_MACS_peak_214_lociStitched	chr1(.):16022805-16024971	0.1604
1_MACS_peak_215_lociStitched	chr1(.):16159998-16163448	0.1976
2_MACS_peak_216_lociStitched	chr1(.):16172898-16179034	0.1308
1_MACS_peak_218_lociStitched	chr1(.):16212266-16213485	0.1124
1_MACS_peak_219_lociStitched	chr1(.):16301437-16303303	0.1356
2_MACS_peak_220_lociStitched	chr1(.):16399891-16406117	0.1271
1_MACS_peak_222_lociStitched	chr1(.):16532456-16534177	0.1072
1_MACS_peak_223_lociStitched	chr1(.):16562422-16564475	0.2042
1_MACS_peak_224_lociStitched	chr1(.):16677594-16679879	0.1848
1_MACS_peak_225_lociStitched	chr1(.):16692814-16695581	0.223
1_MACS_peak_226_lociStitched	chr1(.):16766729-16771542	0.1912
1_MACS_peak_227_lociStitched	chr1(.):16825057-16826483	0.141
1_MACS_peak_228_lociStitched	chr1(.):16832222-16833304	0.2507
1_MACS_peak_230_lociStitched	chr1(.):16938772-16941401	0.7104
1_MACS_peak_231_lociStitched	chr1(.):16969538-16972483	0.7553
1_MACS_peak_232_lociStitched	chr1(.):16985085-16986014	0.2951
1_MACS_peak_233_lociStitched	chr1(.):16991670-16994716	0.5405
1_MACS_peak_234_lociStitched	chr1(.):17065825-17068729	0.56
1_MACS_peak_235_lociStitched	chr1(.):17074477-17075587	0.3447
2_MACS_peak_236_lociStitched	chr1(.):17221309-17233318	0.3454
1_MACS_peak_238_lociStitched	chr1(.):17239781-17241524	0.2083
1_MACS_peak_239_lociStitched	chr1(.):17286693-17288162	0.1911
1_MACS_peak_240_lociStitched	chr1(.):17337570-17338477	0.0698
1_MACS_peak_241_lociStitched	chr1(.):17371975-17372847	0.115
1_MACS_peak_242_lociStitched	chr1(.):17379495-17381296	0.2381
2_MACS_peak_243_lociStitched	chr1(.):17763506-17768767	0.1291
1_MACS_peak_245_lociStitched	chr1(.):17787147-17788318	0.1688
1_MACS_peak_246_lociStitched	chr1(.):19228151-19230047	0.1656
1_MACS_peak_247_lociStitched	chr1(.):19252299-19255216	0.2339
2_MACS_peak_248_lociStitched	chr1(.):19276607-19283948	0.1388
1_MACS_peak_250_lociStitched	chr1(.):19535367-19538220	0.1576
1_MACS_peak_251_lociStitched	chr1(.):19577251-19579337	0.1985
1_MACS_peak_252_lociStitched	chr1(.):19637581-19639787	0.1574
1_MACS_peak_253_lociStitched	chr1(.):19810849-19813446	0.1204
1_MACS_peak_254_lociStitched	chr1(.):19821720-19823191	0.1866
1_MACS_peak_255_lociStitched	chr1(.):19922304-19924846	0.2161
1_MACS_peak_256_lociStitched	chr1(.):20085141-20086539	0.1805
1_MACS_peak_257_lociStitched	chr1(.):20125339-20127541	0.1532
1_MACS_peak_258_lociStitched	chr1(.):20142004-20142883	0.1905
1_MACS_peak_259_lociStitched	chr1(.):20208422-20209965	0.1763
1_MACS_peak_260_lociStitched	chr1(.):20404295-20405570	0.0971
1_MACS_peak_261_lociStitched	chr1(.):20415630-20416863	0.1445
2_MACS_peak_262_lociStitched	chr1(.):20833622-20839083	0.1653
1_MACS_peak_264_lociStitched	chr1(.):20959682-20961087	0.1141
2_MACS_peak_265_lociStitched	chr1(.):20984666-20989003	0.1781
1_MACS_peak_267_lociStitched	chr1(.):21022763-21023734	0.1698
1_MACS_peak_268_lociStitched	chr1(.):21059070-21060558	0.2102
1_MACS_peak_269_lociStitched	chr1(.):21111735-21114930	0.174
1_MACS_peak_270_lociStitched	chr1(.):21290788-21291995	0.2253
1_MACS_peak_271_lociStitched	chr1(.):21348169-21350020	0.1774
1_MACS_peak_272_lociStitched	chr1(.):21501970-21503895	0.1119
1_MACS_peak_273_lociStitched	chr1(.):21615726-21622791	0.1896
1_MACS_peak_274_lociStitched	chr1(.):21660056-21661795	0.2355
1_MACS_peak_275_lociStitched	chr1(.):21670746-21673031	0.1467
1_MACS_peak_276_lociStitched	chr1(.):21754709-21755511	0.0558
1_MACS_peak_277_lociStitched	chr1(.):21765771-21767644	0.2005
2_MACS_peak_278_lociStitched	chr1(.):22026413-22031425	0.1572
1_MACS_peak_280_lociStitched	chr1(.):22107277-22110742	0.1882
1_MACS_peak_281_lociStitched	chr1(.):22117591-22119288	0.2496
1_MACS_peak_282_lociStitched	chr1(.):22191473-22193917	0.1753
1_MACS_peak_283_lociStitched	chr1(.):22263870-22264492	0.0844
2_MACS_peak_284_lociStitched	chr1(.):22345424-22353679	0.1744
1_MACS_peak_286_lociStitched	chr1(.):22365575-22367453	0.2461
1_MACS_peak_287_lociStitched	chr1(.):22378398-22380783	0.1537
1_MACS_peak_288_lociStitched	chr1(.):22489566-22490482	0.14
1_MACS_peak_289_lociStitched	chr1(.):22777725-22779688	0.1723
2_MACS_peak_290_lociStitched	chr1(.):22820391-22823905	0.2023
1_MACS_peak_292_lociStitched	chr1(.):22834289-22835629	0.179
1_MACS_peak_293_lociStitched	chr1(.):23345235-23347106	0.1573
2_MACS_peak_294_lociStitched	chr1(.):23494000-23495650	0.1079
1_MACS_peak_296_lociStitched	chr1(.):23667975-23672109	0.1389
1_MACS_peak_297_lociStitched	chr1(.):23693993-23696752	0.1874
1_MACS_peak_298_lociStitched	chr1(.):23849905-23858847	0.2289
1_MACS_peak_299_lociStitched	chr1(.):23865815-23867100	0.1599
2_MACS_peak_300_lociStitched	chr1(.):23880596-23886488	0.1563
1_MACS_peak_302_lociStitched	chr1(.):23919117-23920535	0.1757
2_MACS_peak_303_lociStitched	chr1(.):23937703-23947487	0.1773
1_MACS_peak_305_lociStitched	chr1(.):23953035-23954400	0.2219
1_MACS_peak_306_lociStitched	chr1(.):24017803-24019817	0.1567
1_MACS_peak_307_lociStitched	chr1(.):24069196-24072131	0.1559
1_MACS_peak_308_lociStitched	chr1(.):24103956-24105893	0.153
1_MACS_peak_309_lociStitched	chr1(.):24116857-24118818	0.1807
1_MACS_peak_310_lociStitched	chr1(.):24125765-24128141	0.1522
1_MACS_peak_311_lociStitched	chr1(.):24150968-24152922	0.1448
1_MACS_peak_312_lociStitched	chr1(.):24180880-24182641	0.1736
2_MACS_peak_313_lociStitched	chr1(.):24191571-24195121	0.1814
1_MACS_peak_315_lociStitched	chr1(.):24246072-24247393	0.1163
3_MACS_peak_316_lociStitched	chr1(.):24281275-24292139	0.1578
1_MACS_peak_319_lociStitched	chr1(.):24305150-24307805	0.2094
1_MACS_peak_320_lociStitched	chr1(.):24357546-24358200	0.0942
1_MACS_peak_321_lociStitched	chr1(.):24468729-24470017	0.171
1_MACS_peak_322_lociStitched	chr1(.):24476572-24478928	0.2057
1_MACS_peak_323_lociStitched	chr1(.):24500367-24501209	0.1635
4_MACS_peak_324_lociStitched	chr1(.):24512131-24533882	0.1842
1_MACS_peak_328_lociStitched	chr1(.):24645430-24650387	0.2399
1_MACS_peak_329_lociStitched	chr1(.):24677006-24678313	0.1797
2_MACS_peak_330_lociStitched	chr1(.):24710323-24720512	0.2073
2_MACS_peak_332_lociStitched	chr1(.):24739414-24744079	0.2269
1_MACS_peak_334_lociStitched	chr1(.):24791970-24792780	0.0822
1_MACS_peak_335_lociStitched	chr1(.):24807295-24808459	0.17
1_MACS_peak_336_lociStitched	chr1(.):24827437-24830415	0.2071
1_MACS_peak_337_lociStitched	chr1(.):24861040-24862173	0.1357
1_MACS_peak_338_lociStitched	chr1(.):24968020-24971375	0.2033
2_MACS_peak_339_lociStitched	chr1(.):25048601-25054917	0.1354
1_MACS_peak_341_lociStitched	chr1(.):25069491-25076480	0.1777
1_MACS_peak_342_lociStitched	chr1(.):25174293-25175525	0.1821
1_MACS_peak_343_lociStitched	chr1(.):25254300-25257695	0.1447
1_MACS_peak_344_lociStitched	chr1(.):25290856-25292738	0.1747
1_MACS_peak_345_lociStitched	chr1(.):25347699-25350665	0.1651
1_MACS_peak_346_lociStitched	chr1(.):25358225-25359565	0.111
4_MACS_peak_347_lociStitched	chr1(.):25558137-25575123	0.1625
1_MACS_peak_351_lociStitched	chr1(.):25592697-25595235	0.1819
1_MACS_peak_352_lociStitched	chr1(.):25663211-25666317	0.1796
1_MACS_peak_353_lociStitched	chr1(.):25756094-25758510	0.1554
3_MACS_peak_354_lociStitched	chr1(.):25793181-25800797	0.1534
2_MACS_peak_357_lociStitched	chr1(.):25869669-25878430	0.1823
1_MACS_peak_359_lociStitched	chr1(.):25886642-25890486	0.1734
1_MACS_peak_360_lociStitched	chr1(.):25934649-25935579	0.1413
3_MACS_peak_361_lociStitched	chr1(.):25942133-25947582	0.1493
1_MACS_peak_364_lociStitched	chr1(.):25958241-25959219	0.1807
1_MACS_peak_365_lociStitched	chr1(.):25967852-25970342	0.2193
1_MACS_peak_366_lociStitched	chr1(.):26001762-26003400	0.1625
1_MACS_peak_367_lociStitched	chr1(.):26126010-26126650	0.0901
1_MACS_peak_368_lociStitched	chr1(.):26145546-26148241	0.1874
1_MACS_peak_369_lociStitched	chr1(.):26185203-26186472	0.1442
1_MACS_peak_370_lociStitched	chr1(.):26230735-26233331	0.1789
1_MACS_peak_371_lociStitched	chr1(.):26260028-26260766	0.149
1_MACS_peak_372_lociStitched	chr1(.):26323177-26325453	0.3358
1_MACS_peak_373_lociStitched	chr1(.):26361342-26362902	0.2493
1_MACS_peak_374_lociStitched	chr1(.):26436810-26439791	0.192
2_MACS_peak_375_lociStitched	chr1(.):26445700-26453929	0.1436
2_MACS_peak_377_lociStitched	chr1(.):26490521-26497306	0.1337
1_MACS_peak_379_lociStitched	chr1(.):26503637-26504575	0.109
2_MACS_peak_380_lociStitched	chr1(.):26559778-26564654	0.1953
1_MACS_peak_382_lociStitched	chr1(.):26578131-26580127	0.1427
3_MACS_peak_383_lociStitched	chr1(.):26601851-26614856	0.1742
1_MACS_peak_386_lociStitched	chr1(.):26631995-26634975	0.1997
1_MACS_peak_387_lociStitched	chr1(.):26758144-26759843	0.2151
1_MACS_peak_388_lociStitched	chr1(.):26797852-26800699	0.1575
1_MACS_peak_389_lociStitched	chr1(.):26826264-26828757	0.1995
1_MACS_peak_390_lociStitched	chr1(.):26855628-26857166	0.1043
2_MACS_peak_391_lociStitched	chr1(.):26865944-26873261	0.1764
1_MACS_peak_393_lociStitched	chr1(.):26945926-26948565	0.1996
1_MACS_peak_394_lociStitched	chr1(.):27018213-27030988	0.1987
3_MACS_peak_395_lociStitched	chr1(.):27059639-27072390	0.1483
1_MACS_peak_398_lociStitched	chr1(.):27112575-27116217	0.2177
1_MACS_peak_399_lociStitched	chr1(.):27126201-27127413	0.1562
5_MACS_peak_400_lociStitched	chr1(.):27147074-27167113	0.1502
2_MACS_peak_405_lociStitched	chr1(.):27188704-27193224	0.2365
1_MACS_peak_407_lociStitched	chr1(.):27215626-27217621	0.2765
1_MACS_peak_408_lociStitched	chr1(.):27225663-27227802	0.2034
1_MACS_peak_409_lociStitched	chr1(.):27247526-27249250	0.2127
1_MACS_peak_410_lociStitched	chr1(.):27286119-27287607	0.1849
1_MACS_peak_411_lociStitched	chr1(.):27396835-27397667	0.1516
1_MACS_peak_412_lociStitched	chr1(.):27463217-27464220	0.1091
1_MACS_peak_413_lociStitched	chr1(.):27480886-27482613	0.2059
1_MACS_peak_414_lociStitched	chr1(.):27560093-27562729	0.2009
1_MACS_peak_415_lociStitched	chr1(.):27647964-27649985	0.1498
1_MACS_peak_416_lociStitched	chr1(.):27667876-27669209	0.2214
1_MACS_peak_417_lociStitched	chr1(.):27675276-27676694	0.1493
1_MACS_peak_418_lociStitched	chr1(.):27692135-27693887	0.1532
1_MACS_peak_419_lociStitched	chr1(.):27718291-27719764	0.2107
1_MACS_peak_420_lociStitched	chr1(.):27744256-27746018	0.1438
3_MACS_peak_421_lociStitched	chr1(.):27757519-27766375	0.1482
1_MACS_peak_424_lociStitched	chr1(.):27814614-27819405	0.1704
1_MACS_peak_425_lociStitched	chr1(.):27826270-27827145	0.1147
1_MACS_peak_426_lociStitched	chr1(.):27883257-27884592	0.1769
1_MACS_peak_427_lociStitched	chr1(.):27929682-27930923	0.0827
1_MACS_peak_428_lociStitched	chr1(.):27985476-27987431	0.1053
1_MACS_peak_429_lociStitched	chr1(.):27998079-27999610	0.2665
1_MACS_peak_430_lociStitched	chr1(.):28051647-28053625	0.2214
1_MACS_peak_431_lociStitched	chr1(.):28098768-28100878	0.226
1_MACS_peak_432_lociStitched	chr1(.):28156172-28158344	0.159
1_MACS_peak_433_lociStitched	chr1(.):28198947-28199516	0.0508
1_MACS_peak_434_lociStitched	chr1(.):28217472-28219052	0.1539
1_MACS_peak_435_lociStitched	chr1(.):28240087-28242016	0.2134
1_MACS_peak_436_lociStitched	chr1(.):28285582-28287469	0.1553
2_MACS_peak_437_lociStitched	chr1(.):28352769-28362925	0.1507
2_MACS_peak_439_lociStitched	chr1(.):28390330-28397338	0.1173
1_MACS_peak_441_lociStitched	chr1(.):28413687-28416177	0.2247
1_MACS_peak_442_lociStitched	chr1(.):28473743-28475512	0.1831
2_MACS_peak_443_lociStitched	chr1(.):28495257-28500006	0.173
2_MACS_peak_445_lociStitched	chr1(.):28558548-28563889	0.222
1_MACS_peak_447_lociStitched	chr1(.):28570309-28577223	0.1849
1_MACS_peak_448_lociStitched	chr1(.):28585144-28587399	0.1364
1_MACS_peak_449_lociStitched	chr1(.):28654862-28656669	0.2602
1_MACS_peak_450_lociStitched	chr1(.):28695412-28697399	0.2301
1_MACS_peak_451_lociStitched	chr1(.):28763956-28765404	0.1927
3_MACS_peak_452_lociStitched	chr1(.):28827240-28846038	0.1792
1_MACS_peak_455_lociStitched	chr1(.):28878522-28881156	0.2204
3_MACS_peak_456_lociStitched	chr1(.):28903055-28914470	0.1862
2_MACS_peak_459_lociStitched	chr1(.):28924553-28929531	0.1958
1_MACS_peak_461_lociStitched	chr1(.):28958121-28959086	0.0969
2_MACS_peak_462_lociStitched	chr1(.):28968354-28976448	0.1823
1_MACS_peak_464_lociStitched	chr1(.):28994297-28996962	0.211
1_MACS_peak_465_lociStitched	chr1(.):29062311-29065056	0.2288
1_MACS_peak_466_lociStitched	chr1(.):29101234-29102458	0.2194
3_MACS_peak_467_lociStitched	chr1(.):29208107-29214789	0.1672
1_MACS_peak_470_lociStitched	chr1(.):29239990-29242414	0.1707
1_MACS_peak_471_lociStitched	chr1(.):29252471-29255701	0.1916
1_MACS_peak_472_lociStitched	chr1(.):29312553-29313778	0.1982
1_MACS_peak_473_lociStitched	chr1(.):29506064-29509775	0.209
1_MACS_peak_474_lociStitched	chr1(.):29528414-29529836	0.2134
1_MACS_peak_475_lociStitched	chr1(.):29556527-29558042	0.2307
1_MACS_peak_476_lociStitched	chr1(.):30347482-30350577	0.0957
1_MACS_peak_477_lociStitched	chr1(.):30373984-30375091	0.0802
1_MACS_peak_478_lociStitched	chr1(.):30901859-30902890	0.141
1_MACS_peak_479_lociStitched	chr1(.):30995794-30996666	0.1408
2_MACS_peak_480_lociStitched	chr1(.):31190421-31192765	0.235
1_MACS_peak_482_lociStitched	chr1(.):31213566-31233193	0.1993
1_MACS_peak_483_lociStitched	chr1(.):31255268-31256210	0.2622
1_MACS_peak_484_lociStitched	chr1(.):31536570-31539405	0.1758
1_MACS_peak_485_lociStitched	chr1(.):31768661-31770837	0.209
1_MACS_peak_486_lociStitched	chr1(.):31867068-31868337	0.2634
