REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16.bam	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
17_MACS_peak_13283_lociStitched	chr17	48037681	48075880	17	35478	42641.5437	4010.895
9_MACS_peak_31939_lociStitched	chr9	129380430	129417147	9	35866	41189.1306	3293.5149
10_MACS_peak_1764_lociStitched	chr1	10755015	10791645	10	35020	41454.170999999995	2875.455
9_MACS_peak_33863_lociStitched	chr9	139216992	139252397	9	34405	48235.772000000004	2460.6475
4_MACS_peak_15399_lociStitched	chr19	1718823	1753598	4	34323	56658.9075	4520.75
14_MACS_peak_16137_lociStitched	chr19	5993751	6028017	14	31944	35852.5158	4536.818399999999
5_MACS_peak_33907_lociStitched	chr9	139526123	139559969	5	33462	42920.1126	3161.2164
6_MACS_peak_22833_lociStitched	chr21	46404388	46438205	6	32912	53512.0208	4173.0178
14_MACS_peak_6269_lociStitched	chr11	1663507	1697039	14	31788	36647.1228	2702.6792
14_MACS_peak_4960_lociStitched	chr1	228744095	228777466	14	32291	31512.2353	15333.9745
10_MACS_peak_8859_lociStitched	chr12	57586069	57619370	10	32262	39185.286700000004	3350.0806
15_MACS_peak_1798_lociStitched	chr1	10853498	10886503	15	30209	32816.8715	2762.5184999999997
4_MACS_peak_345_lociStitched	chr1	2246734	2279100	4	31722	41787.7426	2550.4408
14_MACS_peak_9022_lociStitched	chr13	113627657	113659788	14	30156	34759.315800000004	2666.873
9_MACS_peak_88_lociStitched	chr1	1093018	1124216	9	29618	40229.821	2480.241
7_MACS_peak_15378_lociStitched	chr19	1517778	1548906	7	29733	42184.6656	4034.1888
10_MACS_peak_1754_lociStitched	chr1	10722501	10753612	10	29676	38437.6405	2753.3235
7_MACS_peak_10288_lociStitched	chr16	1204502	1235423	7	29605	34724.283	2198.4831
11_MACS_peak_10304_lociStitched	chr16	1250203	1281048	11	29978	37081.859	2356.558
13_MACS_peak_15802_lociStitched	chr19	4186958	4217739	13	29534	34228.472	4124.654
8_MACS_peak_890_lociStitched	chr1	3505122	3535836	8	29298	35542.2408	2392.6205999999997
3_MACS_peak_15391_lociStitched	chr19	1672570	1703151	3	30573	50993.8175	4577.9757
8_MACS_peak_33912_lociStitched	chr9	139560565	139590987	8	28906	39332.6038	2552.4058
7_MACS_peak_1277_lociStitched	chr1	6475165	6505558	7	29435	37261.818	3042.3392999999996
3_MACS_peak_22907_lociStitched	chr21	46825521	46854955	3	29173	44236.3586	3184.7588
13_MACS_peak_32523_lociStitched	chr9	135020370	135049589	13	27027	28871.2939	2615.1005
6_MACS_peak_14947_lociStitched	chr17	79335543	79364709	6	28757	37090.402200000004	2455.7772
8_MACS_peak_14308_lociStitched	chr17	77087473	77116282	8	28010	36610.4772	2241.3401999999996
6_MACS_peak_15781_lociStitched	chr19	3923729	3952514	6	28208	35638.7085	3431.172
9_MACS_peak_8788_lociStitched	chr12	54383154	54411721	9	26952	34428.9484	2959.5412
9_MACS_peak_23899_lociStitched	chr22	37797328	37825818	9	27520	33706.519	2615.382
13_MACS_peak_32730_lociStitched	chr9	135852095	135880583	13	26205	30034.898400000002	2774.7312
13_MACS_peak_14374_lociStitched	chr17	77242346	77270494	13	26879	29006.514	2178.6551999999997
8_MACS_peak_23152_lociStitched	chr22	19720146	19748110	8	27341	30352.1256	2390.922
2_MACS_peak_29563_lociStitched	chr7	149498782	149526600	2	27678	43841.168000000005	3340.9418
18_MACS_peak_18424_lociStitched	chr19	42468169	42495900	18	25797	27617.3029	2601.1677999999997
5_MACS_peak_10274_lociStitched	chr16	1152975	1180687	5	27301	36970.5792	1925.9840000000002
7_MACS_peak_27705_lociStitched	chr5	176270035	176297368	7	26584	31780.079100000003	2244.0393000000004
12_MACS_peak_14674_lociStitched	chr17	77901843	77929074	12	25531	29316.8946	2301.0195000000003
4_MACS_peak_21818_lociStitched	chr20	61141471	61168434	4	26367	36666.983700000004	1962.9064
7_MACS_peak_15794_lociStitched	chr19	4140457	4167270	7	26001	35832.8932	3587.5794
9_MACS_peak_22483_lociStitched	chr21	43777417	43804008	9	25207	33289.2729	3587.1259
4_MACS_peak_25941_lociStitched	chr3	184277965	184304546	4	25766	34106.081099999996	4080.1835
13_MACS_peak_13260_lociStitched	chr17	47969664	47996182	13	25048	28467.072999999997	2612.023
4_MACS_peak_28007_lociStitched	chr6	31958777	31985227	4	26354	39635.325	3057.62
5_MACS_peak_22728_lociStitched	chr21	45911344	45937754	5	26007	37198.485	3729.0919999999996
6_MACS_peak_14318_lociStitched	chr17	77119418	77145777	6	26062	32690.4318	2425.028
17_MACS_peak_1951_lociStitched	chr1	11497554	11523731	17	22973	23692.8027	2177.9264
10_MACS_peak_6873_lociStitched	chr11	61471797	61497609	10	24768	27399.438000000002	2330.8236
12_MACS_peak_8776_lociStitched	chr12	54357013	54382545	12	23689	26448.5988	2162.5604
7_MACS_peak_14919_lociStitched	chr17	79275078	79300490	7	23870	28105.672000000002	2152.3964
5_MACS_peak_29558_lociStitched	chr7	149470108	149495331	5	24423	38205.278099999996	3137.7412
8_MACS_peak_26118_lociStitched	chr4	1769651	1794866	8	24780	32406.317999999996	1939.0335
11_MACS_peak_10453_lociStitched	chr16	2859044	2884057	11	22802	26316.1773	2263.6765
11_MACS_peak_6781_lociStitched	chr11	61287549	61312546	11	23680	26621.805	2269.7276
18_MACS_peak_14345_lociStitched	chr17	77199961	77224907	18	22205	24329.8338	1980.7124
10_MACS_peak_7335_lociStitched	chr11	68758933	68783810	10	22650	27125.880800000003	2064.791
6_MACS_peak_15306_lociStitched	chr19	735596	760424	6	23662	32974.0668	3173.0184
8_MACS_peak_14958_lociStitched	chr17	79373764	79398524	8	24069	28927.107999999997	2149.168
8_MACS_peak_23194_lociStitched	chr22	20151955	20176503	8	23549	28775.165599999997	1958.9304
10_MACS_peak_15652_lociStitched	chr19	3360520	3384974	10	23241	27312.6726	2645.9228000000003
13_MACS_peak_33810_lociStitched	chr9	138962089	138986458	13	21774	25477.789500000003	1783.8108
12_MACS_peak_22263_lociStitched	chr20	62824821	62849138	12	22987	25416.128399999998	2259.0493
9_MACS_peak_20368_lociStitched	chr2	220374295	220398471	9	23499	26465.4672	2531.2272
5_MACS_peak_22901_lociStitched	chr21	46797259	46821214	5	23266	34677.258	2900.9505
7_MACS_peak_20308_lociStitched	chr2	219845494	219869408	7	23071	29650.9686	2286.1784000000002
7_MACS_peak_3235_lociStitched	chr1	21909807	21933716	7	22917	27801.3852	2338.3002
5_MACS_peak_2233_lociStitched	chr1	17083306	17107108	5	23338	26908.161	5053.1646
3_MACS_peak_23_lociStitched	chr1	845662	869450	3	23349	39340.5944	2174.2232
12_MACS_peak_16331_lociStitched	chr19	7639982	7663736	12	21705	24908.4444	2897.988
8_MACS_peak_22839_lociStitched	chr21	46439228	46462806	8	21869	26810.5438	2544.0661999999998
7_MACS_peak_22468_lociStitched	chr21	43719665	43743228	7	22572	30273.7424	3444.9105999999997
12_MACS_peak_23813_lociStitched	chr22	37490095	37513546	12	22045	24271.785	2103.5547
9_MACS_peak_30915_lociStitched	chr8	142360364	142383768	9	21998	23811.229600000002	1858.2776
7_MACS_peak_1249_lociStitched	chr1	6210617	6233989	7	22748	25683.4908	1991.2944
8_MACS_peak_31960_lociStitched	chr9	129445690	129469007	8	22198	25308.2718	2469.2702999999997
12_MACS_peak_371_lociStitched	chr1	2375592	2398807	12	21329	23126.783	1469.5095
12_MACS_peak_32185_lociStitched	chr9	132941689	132964617	12	21361	23819.8992	2168.9888
7_MACS_peak_24962_lociStitched	chr22	46311940	46334654	7	21056	23951.913	1680.836
7_MACS_peak_6390_lociStitched	chr11	1938103	1960689	7	21962	27265.8192	1773.001
11_MACS_peak_16116_lociStitched	chr19	5851618	5874163	11	20265	22454.82	2836.161
6_MACS_peak_33836_lociStitched	chr9	139031933	139054415	6	21513	24617.79	1816.5456
7_MACS_peak_32916_lociStitched	chr9	136390974	136413409	7	21588	26331.9595	1509.8754999999999
3_MACS_peak_22882_lociStitched	chr21	46709363	46731635	3	21946	32728.704	3115.8528
10_MACS_peak_32537_lociStitched	chr9	135052809	135075022	10	20045	22723.898999999998	1723.7288
5_MACS_peak_33920_lociStitched	chr9	139591657	139613167	5	20219	26212.086	1916.541
4_MACS_peak_20364_lociStitched	chr2	220341411	220362854	4	21420	26782.307	1779.769
6_MACS_peak_4742_lociStitched	chr1	201322625	201344044	6	20836	23355.2776	2887.2812
5_MACS_peak_22065_lociStitched	chr20	62041506	62062729	5	19848	24336.4141	1445.2863
2_MACS_peak_15403_lociStitched	chr19	1754578	1775531	2	20804	30612.333000000002	2265.0193
7_MACS_peak_12657_lociStitched	chr17	36716255	36737072	7	20328	26129.4984	2115.0072
3_MACS_peak_22081_lociStitched	chr20	62083006	62103799	3	20603	25623.2139	1361.9415000000001
8_MACS_peak_14437_lociStitched	chr17	77368665	77389454	8	19255	22298.2814	1885.5623
5_MACS_peak_21869_lociStitched	chr20	61387448	61408214	5	19926	25081.1748	1644.6672
8_MACS_peak_11794_lociStitched	chr17	1829146	1849896	8	19632	22397.55	1842.6000000000001
3_MACS_peak_33858_lociStitched	chr9	139138141	139158849	3	20302	27332.4892	1979.6848
9_MACS_peak_17911_lociStitched	chr19	35985464	36006160	9	18582	21527.9792	1988.8856
5_MACS_peak_15863_lociStitched	chr19	4603647	4624272	5	20273	25872.0	2957.625
11_MACS_peak_10225_lociStitched	chr16	1055194	1075803	11	19078	22449.3837	1481.7871
5_MACS_peak_22797_lociStitched	chr21	46114508	46135093	5	19696	25136.343500000003	2315.8125
5_MACS_peak_22886_lociStitched	chr21	46734271	46754835	5	20191	29153.5828	2403.9316
14_MACS_peak_33671_lociStitched	chr9	138572592	138593122	14	18411	19495.288	1486.372
3_MACS_peak_29596_lociStitched	chr7	150940730	150961179	3	20072	36088.3952	2987.5989
10_MACS_peak_2106_lociStitched	chr1	16338795	16359207	10	19279	21502.000799999998	1567.6416
8_MACS_peak_33846_lociStitched	chr9	139066889	139087258	8	19484	21627.804200000002	1554.1547
3_MACS_peak_4574_lociStitched	chr1	156394574	156414940	3	19812	28752.7188	3470.3664
8_MACS_peak_31626_lociStitched	chr8	144950206	144970556	8	18802	22938.52	1680.91
14_MACS_peak_32893_lociStitched	chr9	136345984	136366275	14	18248	20453.328	1720.6768
14_MACS_peak_32547_lociStitched	chr9	135075558	135095743	14	17794	19159.602000000003	1568.3745000000001
10_MACS_peak_22697_lociStitched	chr21	45852294	45872476	10	18991	22299.0918	2236.1656
2_MACS_peak_26165_lociStitched	chr4	3471686	3491853	2	20145	29405.502699999997	1871.4976
8_MACS_peak_33736_lociStitched	chr9	138667153	138687284	8	19051	23404.300600000002	1538.0084
12_MACS_peak_14818_lociStitched	chr17	78430202	78450247	12	18234	21804.951	1790.0185000000001
11_MACS_peak_32999_lociStitched	chr9	136541802	136561829	11	18534	18647.1397	1494.0142
12_MACS_peak_1830_lociStitched	chr1	10917910	10937931	12	18914	19078.0109	1801.8899999999999
14_MACS_peak_33010_lociStitched	chr9	136564297	136584297	14	18029	19260.0	1336.0
9_MACS_peak_32880_lociStitched	chr9	136297126	136317075	9	18864	20304.0922	1986.9204
6_MACS_peak_11685_lociStitched	chr17	1041560	1061505	6	19166	22254.630999999998	1902.753
6_MACS_peak_72_lociStitched	chr1	1052509	1072339	6	18673	23397.416999999998	1750.989
9_MACS_peak_14454_lociStitched	chr17	77408832	77428657	9	18376	20130.305	1504.7175
5_MACS_peak_22685_lociStitched	chr21	45781046	45800845	5	18956	23632.0864	2314.5031
9_MACS_peak_17528_lociStitched	chr19	18319616	18339360	9	18465	20048.0576	1968.4768
11_MACS_peak_1237_lociStitched	chr1	6181143	6200844	11	18560	19874.3688	1916.9072999999999
4_MACS_peak_18866_lociStitched	chr19	47909590	47929196	4	19316	23711.4964	1852.767
2_MACS_peak_25868_lociStitched	chr3	128198039	128217632	2	19228	28791.9135	1892.6838
11_MACS_peak_32121_lociStitched	chr9	132480290	132499858	11	17466	19472.1168	1720.0272000000002
4_MACS_peak_10336_lociStitched	chr16	1321323	1340838	4	19180	26762.871	1736.8349999999998
3_MACS_peak_5455_lociStitched	chr10	102494124	102513566	3	19029	28457.255400000002	1782.8314
8_MACS_peak_32132_lociStitched	chr9	132500660	132520096	8	18310	19993.8132	1811.4352000000001
3_MACS_peak_4626_lociStitched	chr1	156861367	156880779	3	19184	27372.8612	2566.2664000000004
3_MACS_peak_22812_lociStitched	chr21	46164273	46183611	3	18695	21950.5638	2250.9432
3_MACS_peak_19955_lociStitched	chr2	26795405	26814631	3	19150	25105.310800000003	2337.8816
7_MACS_peak_15326_lociStitched	chr19	822680	841891	7	18083	23299.1008	2232.3182
7_MACS_peak_16360_lociStitched	chr19	7725099	7744281	7	17962	21205.700999999997	2637.525
14_MACS_peak_12349_lociStitched	chr17	18982239	19001349	14	17357	15681.666	1958.7749999999999
5_MACS_peak_25858_lociStitched	chr3	128169266	128188351	5	18080	20508.741	1648.9440000000002
10_MACS_peak_33093_lociStitched	chr9	137109163	137128119	10	18267	19691.4928	1402.744
6_MACS_peak_6131_lociStitched	chr11	1212777	1231653	6	17725	21588.4812	1562.9328
14_MACS_peak_24867_lociStitched	chr22	45908265	45927117	14	16820	17726.5356	1474.2264
8_MACS_peak_21921_lociStitched	chr20	61651354	61670046	8	18187	18985.4644	1351.4316000000001
10_MACS_peak_17470_lociStitched	chr19	18070748	18089390	10	17063	17993.2584	1743.027
10_MACS_peak_23677_lociStitched	chr22	36972822	36991402	10	16686	17428.039999999997	1995.492
8_MACS_peak_6860_lociStitched	chr11	61445396	61463901	8	17642	20436.922000000002	1902.314
15_MACS_peak_23830_lociStitched	chr22	37528033	37546490	15	16238	16214.474499999998	1614.9875
11_MACS_peak_3308_lociStitched	chr1	22580842	22599297	11	16842	17249.8885	1592.6665
8_MACS_peak_6359_lociStitched	chr11	1840581	1858975	8	17291	21075.8452	1488.0746
10_MACS_peak_6891_lociStitched	chr11	61515365	61533751	10	16779	19086.5066	1603.2592
5_MACS_peak_32425_lociStitched	chr9	133898119	133916491	5	17273	21125.962799999998	1330.1328
11_MACS_peak_18789_lociStitched	chr19	46981528	46999886	11	16165	19782.5808	1650.3842
5_MACS_peak_32374_lociStitched	chr9	133785223	133803560	5	17837	24199.338900000002	1542.1417
13_MACS_peak_24141_lociStitched	chr22	42720921	42739253	13	16994	16991.9308	1655.3796000000002
3_MACS_peak_29593_lociStitched	chr7	150886708	150905020	3	18041	23056.6392	2642.4216
7_MACS_peak_23804_lociStitched	chr22	37469470	37487685	7	17164	18112.996	1868.859
6_MACS_peak_6261_lociStitched	chr11	1640614	1658753	6	17418	19020.5554	1946.3147000000001
9_MACS_peak_32513_lociStitched	chr9	134999759	135017891	9	16938	18006.8892	1796.8811999999998
4_MACS_peak_13273_lociStitched	chr17	47996788	48014894	4	17637	19914.7894	1763.5244
10_MACS_peak_740_lociStitched	chr1	3197113	3215192	10	16543	17366.6874	1249.2588999999998
9_MACS_peak_794_lociStitched	chr1	3297992	3315980	9	17201	17432.1708	1122.4512
7_MACS_peak_33927_lociStitched	chr9	139628003	139645975	7	16947	22003.119599999998	1347.8999999999999
12_MACS_peak_8429_lociStitched	chr12	3378589	3396557	12	16489	17184.5952	1417.6752
9_MACS_peak_5518_lociStitched	chr10	102974649	102992607	9	16219	17720.9544	1521.0426
4_MACS_peak_10482_lociStitched	chr16	3034014	3051971	4	17682	22324.1424	1528.1407
8_MACS_peak_22019_lociStitched	chr20	61938218	61956086	8	17311	18941.8668	1181.0748
16_MACS_peak_7027_lociStitched	chr11	64288666	64306450	16	15641	16106.968799999999	1922.4504
4_MACS_peak_14288_lociStitched	chr17	77015761	77033532	4	17454	21940.0766	1988.5749
9_MACS_peak_30685_lociStitched	chr8	22004388	22022146	9	16166	18375.9784	1846.8319999999999
12_MACS_peak_11639_lociStitched	chr17	827494	845163	12	16004	15774.8832	1689.1564
8_MACS_peak_33984_lociStitched	chr9	139930559	139948216	8	16397	23109.4816	1695.0720000000001
5_MACS_peak_22084_lociStitched	chr20	62104494	62122114	5	17021	19122.985999999997	1388.456
15_MACS_peak_17884_lociStitched	chr19	35826321	35843908	15	15453	15617.256	1401.6838999999998
8_MACS_peak_11706_lociStitched	chr17	1110514	1128100	8	16570	17248.3488	2076.9066
11_MACS_peak_10320_lociStitched	chr16	1287330	1304735	11	16114	17147.406	1606.4814999999999
7_MACS_peak_6473_lociStitched	chr11	2190357	2207689	7	16150	18878.0144	1292.9672
14_MACS_peak_24448_lociStitched	chr22	44670137	44687409	14	15179	16859.1992	1350.6704000000002
5_MACS_peak_26113_lociStitched	chr4	1751682	1768908	5	16682	22261.1598	1269.5562
12_MACS_peak_11588_lociStitched	chr17	744854	762007	12	15575	16729.3209	1382.5318
5_MACS_peak_32095_lociStitched	chr9	132429435	132446559	5	16443	18038.421599999998	1321.9728
4_MACS_peak_22536_lociStitched	chr21	44056481	44073602	4	16463	21599.853600000002	1867.9011
7_MACS_peak_10412_lociStitched	chr16	2325070	2342092	7	15798	19042.5114	1768.5858
6_MACS_peak_28696_lociStitched	chr7	2532608	2549621	6	16177	18707.494799999997	1347.4296000000002
11_MACS_peak_25435_lociStitched	chr3	13668588	13685531	11	15309	15870.5081	1446.9322
4_MACS_peak_6085_lociStitched	chr11	1044787	1061694	4	16521	22190.4375	1670.4116
12_MACS_peak_17514_lociStitched	chr19	18150879	18167773	12	14968	15723.245799999999	2017.1436
12_MACS_peak_777_lociStitched	chr1	3268462	3285317	12	15200	15580.762	1215.2455
3_MACS_peak_27956_lociStitched	chr6	30419026	30435870	3	16531	25111.0352	2250.3584
8_MACS_peak_10113_lociStitched	chr16	796604	813441	8	16011	17212.4651	1412.6243
13_MACS_peak_10245_lociStitched	chr16	1108941	1125757	13	14798	15188.2112	1178.8016
5_MACS_peak_23214_lociStitched	chr22	20213009	20229817	5	16364	20551.1416	1341.2784
9_MACS_peak_15641_lociStitched	chr19	3338669	3355470	9	15771	17457.9191	1975.7975999999999
4_MACS_peak_15671_lociStitched	chr19	3399141	3415880	4	16325	19087.4817	2065.5926
8_MACS_peak_19743_lociStitched	chr19	55996118	56012793	8	15807	16993.492499999997	1334.0
4_MACS_peak_15846_lociStitched	chr19	4525216	4541824	4	16131	23068.512	2384.9088
3_MACS_peak_14913_lociStitched	chr17	79130385	79146964	3	16021	21050.3563	1155.5563
14_MACS_peak_14899_lociStitched	chr17	79113192	79129725	14	15367	17088.5088	1491.2766000000001
3_MACS_peak_29610_lociStitched	chr7	151077854	151094350	3	16331	20535.8704	2020.76
5_MACS_peak_32379_lociStitched	chr9	133804112	133820594	5	15088	19094.397	1387.7844
10_MACS_peak_32983_lociStitched	chr9	136514722	136531184	10	14525	15368.9232	1112.8311999999999
11_MACS_peak_683_lociStitched	chr1	3108624	3125079	11	15456	15359.097	992.2365
4_MACS_peak_16286_lociStitched	chr19	7036689	7053135	4	16054	18103.7568	3248.085
7_MACS_peak_16415_lociStitched	chr19	7850956	7867383	7	15631	18670.928200000002	2092.7998000000002
5_MACS_peak_15369_lociStitched	chr19	1491157	1507468	5	15776	22453.7226	1949.1644999999999
7_MACS_peak_17480_lociStitched	chr19	18090538	18106827	7	15560	15674.904700000001	1425.2875
10_MACS_peak_10156_lociStitched	chr16	916963	933239	10	15027	15670.532799999999	1238.6036
2_MACS_peak_15726_lociStitched	chr19	3729951	3746199	2	16036	20608.9632	2446.9488
8_MACS_peak_10358_lociStitched	chr16	1572235	1588471	8	15394	19319.216399999998	1123.5312
5_MACS_peak_22431_lociStitched	chr21	43159182	43175409	5	15880	18844.4151	1947.24
4_MACS_peak_22676_lociStitched	chr21	45701112	45717185	4	15606	22343.077299999997	1695.7015
6_MACS_peak_15413_lociStitched	chr19	2300367	2316393	6	15494	18497.209199999998	2096.2008
7_MACS_peak_10279_lociStitched	chr16	1181220	1197192	7	15502	17954.125200000002	1095.6791999999998
8_MACS_peak_5150_lociStitched	chr10	71488405	71504359	8	15312	15821.5818	1592.2092
4_MACS_peak_13277_lociStitched	chr17	48015612	48031562	4	15530	18813.025	1773.6399999999999
5_MACS_peak_22058_lociStitched	chr20	62022738	62038639	5	15481	16010.716899999998	1093.9888
9_MACS_peak_5621_lociStitched	chr10	126736732	126752621	9	15037	14800.6035	1668.345
9_MACS_peak_13453_lociStitched	chr17	61557144	61573022	9	14466	16179.681999999999	1386.1494
13_MACS_peak_6186_lociStitched	chr11	1389306	1405176	13	13756	14333.784	1236.273
4_MACS_peak_34064_lociStitched	chr9	140317977	140333805	4	15336	20180.699999999997	1377.0359999999998
5_MACS_peak_2059_lociStitched	chr1	11933931	11949726	5	15480	17274.9915	1732.7115000000001
7_MACS_peak_11922_lociStitched	chr17	4481585	4497328	7	14597	16390.0373	1176.0021
11_MACS_peak_29216_lociStitched	chr7	100416289	100431940	11	13246	15229.988099999999	1050.1821000000002
3_MACS_peak_15143_lociStitched	chr18	44542032	44557676	3	15544	18832.247199999998	6930.292
15_MACS_peak_9661_lociStitched	chr15	74471702	74487290	15	13507	13231.0944	1427.8608
6_MACS_peak_30887_lociStitched	chr8	142064408	142079968	6	14548	16650.756	1671.144
14_MACS_peak_14989_lociStitched	chr17	79458868	79474419	14	13436	13877.7124	1615.7489
12_MACS_peak_2526_lociStitched	chr1	17938557	17954088	12	13999	13763.5722	1323.2412
7_MACS_peak_5923_lociStitched	chr10	135054057	135069557	7	14100	15687.55	1331.45
13_MACS_peak_13202_lociStitched	chr17	47555407	47570891	13	13251	14112.1176	1525.174
8_MACS_peak_19286_lociStitched	chr19	49918383	49933864	8	14811	16626.594	1419.6077
11_MACS_peak_25582_lociStitched	chr3	48616786	48632261	11	13877	15191.8075	1394.2975
2_MACS_peak_29503_lociStitched	chr7	128482820	128498245	2	15387	18708.982500000002	2034.5575
4_MACS_peak_22802_lociStitched	chr21	46141160	46156520	4	15188	19732.992	2136.576
7_MACS_peak_15876_lociStitched	chr19	4751362	4766720	7	13708	14895.7242	2177.7644
6_MACS_peak_16558_lociStitched	chr19	8394998	8410287	6	13668	15675.811700000002	1825.5066000000002
6_MACS_peak_18823_lociStitched	chr19	47128466	47143749	6	14145	15900.4332	1898.1486
5_MACS_peak_4536_lociStitched	chr1	155089023	155104271	5	14749	21873.256	2735.4912
4_MACS_peak_16282_lociStitched	chr19	7018567	7033789	4	14973	16365.172199999999	2802.3702000000003
6_MACS_peak_24956_lociStitched	chr22	46296074	46311269	6	14107	16905.957000000002	1163.9370000000001
10_MACS_peak_223_lociStitched	chr1	1935266	1950411	10	13051	14699.737000000001	1220.6870000000001
5_MACS_peak_6068_lociStitched	chr11	843397	858534	5	14093	16502.3574	1356.2752
4_MACS_peak_2118_lociStitched	chr1	16365168	16380304	4	14766	18824.6432	1277.4784
10_MACS_peak_2145_lociStitched	chr1	16432807	16447930	10	13321	13081.395	1575.8166
4_MACS_peak_235_lociStitched	chr1	1960204	1975306	4	14513	16462.6902	1173.4254
6_MACS_peak_24017_lociStitched	chr22	39224050	39239129	6	14445	15027.7314	1458.1392999999998
4_MACS_peak_12591_lociStitched	chr17	34577370	34592410	4	14908	20206.239999999998	3803.616
3_MACS_peak_23202_lociStitched	chr22	20177017	20191992	3	14312	17114.9275	1120.13
4_MACS_peak_15817_lociStitched	chr19	4222545	4237497	4	14564	18021.6456	2114.2128
7_MACS_peak_24903_lociStitched	chr22	45969566	45984504	7	14421	15964.2406	1215.9532
4_MACS_peak_14696_lociStitched	chr17	77942636	77957571	4	14492	15182.920999999998	1259.0205
10_MACS_peak_23889_lociStitched	chr22	37780998	37795872	10	13570	14653.8648	1276.1892
7_MACS_peak_15686_lociStitched	chr19	3452393	3467246	7	13104	15658.0326	1665.0213
2_MACS_peak_1302_lociStitched	chr1	6555915	6570696	2	14610	19255.2087	1251.9506999999999
8_MACS_peak_30904_lociStitched	chr8	142334040	142348810	8	13754	13846.875	1203.755
6_MACS_peak_36_lociStitched	chr1	928233	942967	6	14032	17499.571799999998	1172.8264000000001
12_MACS_peak_15598_lociStitched	chr19	3255752	3270466	12	12615	12322.975	1447.8576
4_MACS_peak_10122_lociStitched	chr16	819248	833951	4	13967	16352.6766	1251.2252999999998
2_MACS_peak_10348_lociStitched	chr16	1477747	1492426	2	14614	18030.2157	989.3646
4_MACS_peak_22275_lociStitched	chr20	62849668	62864324	4	14608	16389.8048	1477.3248
2_MACS_peak_22113_lociStitched	chr20	62170254	62184900	2	14296	17307.1782	1328.3922
