REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X28_0F2E_0229Kronos_MM1S.KB.6hr.2_H3K27me3_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
7_MACS_peak_30879_lociStitched	chr8	142012894	142058815	7	45347	60689.1936	5781.4539	17		PTK2	PTK2	PTK2	0.0646	17	1
4_MACS_peak_15740_lociStitched	chr19	3798344	3843400	4	44952	65542.9632	5586.944	18	MATK,ZFR2	MRPL54,ATCAY,APBA3,RAX2,MATK	MATK	ATCAY	0.8345	18	1
7_MACS_peak_22915_lociStitched	chr21	46873789	46919786	7	44658	62040.7536	4995.2742	19	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	1.5179999999999998	19	1
5_MACS_peak_2222_lociStitched	chr1	17012941	17057977	5	44555	96719.3136	11074.3524	20	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	1.9216999999999997	20	1
17_MACS_peak_33890_lociStitched	chr9	139477796	139524991	17	44459	51499.184	3166.7845	21		EGFL7,MIR126,NOTCH1	EGFL7	MIR126	1.2453999999999998	21	1
20_MACS_peak_1778_lociStitched	chr1	10804379	10852274	20	44458	49671.9045	4550.025	22	CASZ1		CASZ1	CASZ1	0.9635999999999999	22	1
17_MACS_peak_23854_lociStitched	chr22	37711311	37758102	17	43797	49879.206	4098.8916	23	CYTH4		CYTH4	CYTH4	0.09699999999999999	23	1
9_MACS_peak_15854_lociStitched	chr19	4558805	4602813	9	42866	57549.2616	5725.4408	24	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1	SEMA6B	PLIN5	1.2994999999999999	24	1
21_MACS_peak_21894_lociStitched	chr20	61591330	61635374	21	40500	46854.0072	3602.7992	25	SLC17A9	C20orf11,LOC63930,LOC100144597,DIDO1,BHLHE23,NCRNA00029	BHLHE23	LOC100144597	0.8626	25	1
12_MACS_peak_14325_lociStitched	chr17	77148151	77189582	12	39754	43912.7169	3480.204	26	RBFOX3		ENGASE	ENGASE	0.4524	26	1
27_MACS_peak_32390_lociStitched	chr9	133836095	133880462	27	39744	44628.7653	4263.6687	27		LAMC3,FIBCD1	LAMC3	FIBCD1	1.1402999999999999	27	1
22_MACS_peak_21822_lociStitched	chr20	61170708	61213372	22	38586	45074.516	3656.3048	28		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	MIR1-1	1.311	28	1
6_MACS_peak_28011_lociStitched	chr6	31990982	32030387	6	38457	54481.353	4496.1105	29	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	1.3567	29	1
9_MACS_peak_22891_lociStitched	chr21	46756501	46796019	9	38090	51515.6648	4900.232	30		LOC642852,COL18A1,POFUT2,NCRNA00175	COL18A1	NCRNA00175	1.5179999999999998	30	1
16_MACS_peak_24969_lociStitched	chr22	46335543	46374629	16	37419	42803.0786	3048.708	31	WNT7B	LOC730668	WNT7B	WNT7B	0.9547000000000001	31	1
9_MACS_peak_31939_lociStitched	chr9	129380430	129417147	9	35866	41189.1306	3293.5149	32	LMX1B		LMX1B	LMX1B	0.8972	32	1
17_MACS_peak_13283_lociStitched	chr17	48037681	48075880	17	35478	42641.5437	4010.895	33	DLX4,DLX3		DLX4	DLX4	1.1022	33	1
10_MACS_peak_1764_lociStitched	chr1	10755015	10791645	10	35020	41454.171	2875.455	34	CASZ1		CASZ1	CASZ1	0.9635999999999999	34	1
9_MACS_peak_33863_lociStitched	chr9	139216992	139252397	9	34405	48235.772	2460.6475	35	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	1.102	35	1
4_MACS_peak_15399_lociStitched	chr19	1718823	1753598	4	34323	56658.9075	4520.75	36		ONECUT3	ONECUT3	ONECUT3	1.3363	36	1
5_MACS_peak_33907_lociStitched	chr9	139526123	139559969	5	33462	42920.1126	3161.2164	37	EGFL7	MIR126,FAM69B,AGPAT2	EGFL7	MIR126	1.2453999999999998	37	1
6_MACS_peak_22833_lociStitched	chr21	46404388	46438205	6	32912	53512.0208	4173.0178	38	NCRNA00163,NCRNA00162	C21orf70,C21orf67	NCRNA00162	NCRNA00162	1.3095	38	1
14_MACS_peak_4960_lociStitched	chr1	228744095	228777466	14	32291	31512.2353	15333.9745	39		DUSP5P	DUSP5P	DUSP5P	0.28040000000000004	39	1
10_MACS_peak_8859_lociStitched	chr12	57586069	57619370	10	32262	39185.2867	3350.0806	40	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	NXPH4	NXPH4	0.8163	40	1
14_MACS_peak_16137_lociStitched	chr19	5993751	6028017	14	31944	35852.5158	4536.8184	41	RFX2	RANBP3	RANBP3	NONE	NONE	41	1
14_MACS_peak_6269_lociStitched	chr11	1663507	1697039	14	31788	36647.1228	2702.6792	42	FAM99A,MOB2	KRTAP5-5,KRTAP5-6,KRTAP5-2,KRTAP5-3,KRTAP5-4,FAM99B	FAM99A	FAM99A	1.097	42	1
4_MACS_peak_345_lociStitched	chr1	2246734	2279100	4	31722	41787.7426	2550.4408	43	MORN1	RER1,LOC100129534	LOC100129534	LOC100129534	1.1478	43	1
3_MACS_peak_15391_lociStitched	chr19	1672570	1703151	3	30573	50993.8175	4577.9757	44		TCF3	TCF3	NONE	NONE	44	1
15_MACS_peak_1798_lociStitched	chr1	10853498	10886503	15	30209	32816.8715	2762.5185	45	CASZ1		CASZ1	CASZ1	0.9635999999999999	45	1
14_MACS_peak_9022_lociStitched	chr13	113627657	113659788	14	30156	34759.3158	2666.873	46	MCF2L	LOC100289410	MCF2L	MCF2L	0.7664	46	1
11_MACS_peak_10304_lociStitched	chr16	1250203	1281048	11	29978	37081.859	2356.558	47	CACNA1H,TPSG1,TPSB2	TPSAB1,TPSD1	TPSG1	TPSG1	1.1955	47	1
7_MACS_peak_15378_lociStitched	chr19	1517778	1548906	7	29733	42184.6656	4034.1888	48	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	PLK5P	1.3167	48	1
10_MACS_peak_1754_lociStitched	chr1	10722501	10753612	10	29676	38437.6405	2753.3235	49	CASZ1		CASZ1	CASZ1	0.9635999999999999	49	1
9_MACS_peak_88_lociStitched	chr1	1093018	1124216	9	29618	40229.821	2480.241	50	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	TTLL10	TNFRSF18	1.1217	50	1
7_MACS_peak_10288_lociStitched	chr16	1204502	1235423	7	29605	34724.283	2198.4831	51	CACNA1H	TPSG1,TPSB2	CACNA1H	TPSG1	1.1955	51	1
13_MACS_peak_15802_lociStitched	chr19	4186958	4217739	13	29534	34228.472	4124.654	52	ANKRD24	CREB3L3,EBI3,CCDC94,SIRT6	ANKRD24	CREB3L3	1.0308000000000002	52	1
7_MACS_peak_1277_lociStitched	chr1	6475165	6505558	7	29435	37261.818	3042.3393	53	ESPN,HES2,MIR4252	ACOT7,TNFRSF25,PLEKHG5	MIR4252	MIR4252	1.2204	53	1
8_MACS_peak_890_lociStitched	chr1	3505122	3535836	8	29298	35542.2408	2392.6206	54	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MEGF6	0.9641	54	1
3_MACS_peak_22907_lociStitched	chr21	46825521	46854955	3	29173	44236.3586	3184.7588	55	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	1.5179999999999998	55	1
8_MACS_peak_33912_lociStitched	chr9	139560565	139590987	8	28906	39332.6038	2552.4058	56	EGFL7,MIR126,AGPAT2	FAM69B,LOC100128593,SNORA43,SNORA17,SNHG7,LCN10	AGPAT2	AGPAT2	1.2329	56	1
6_MACS_peak_14947_lociStitched	chr17	79335543	79364709	6	28757	37090.4022	2455.7772	57		BAHCC1,TMEM105	BAHCC1	BAHCC1	1.0916000000000001	57	1
6_MACS_peak_15781_lociStitched	chr19	3923729	3952514	6	28208	35638.7085	3431.172	58	ATCAY,ITGB1BP3	MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ITGB1BP3	1.1416	58	1
8_MACS_peak_14308_lociStitched	chr17	77087473	77116282	8	28010	36610.4772	2241.3402	59	RBFOX3	ENGASE	ENGASE	ENGASE	0.4524	59	1
2_MACS_peak_29563_lociStitched	chr7	149498782	149526600	2	27678	43841.168	3340.9418	60	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.5375000000000001	60	1
9_MACS_peak_23899_lociStitched	chr22	37797328	37825818	9	27520	33706.519	2615.382	61	ELFN2		ELFN2	ELFN2	0.8722	61	1
8_MACS_peak_23152_lociStitched	chr22	19720146	19748110	8	27341	30352.1256	2390.922	62	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	GP1BB	1.0642999999999998	62	1
5_MACS_peak_10274_lociStitched	chr16	1152975	1180687	5	27301	36970.5792	1925.984	63		SSTR5,CACNA1H,LOC146336,C1QTNF8	C1QTNF8	CACNA1H	0.9646	63	1
13_MACS_peak_32523_lociStitched	chr9	135020370	135049589	13	27027	28871.2939	2615.1005	64	NTNG2		NTNG2	NTNG2	0.8582	64	1
9_MACS_peak_8788_lociStitched	chr12	54383154	54411721	9	26952	34428.9484	2959.5412	65	HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4	HOXC12,HOXC11,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825,HOTAIR	HOXC9	HOXC12	1.1848	65	1
13_MACS_peak_14374_lociStitched	chr17	77242346	77270494	13	26879	29006.514	2178.6552	66	RBFOX3		ENGASE	ENGASE	0.4524	66	1
7_MACS_peak_27705_lociStitched	chr5	176270035	176297368	7	26584	31780.0791	2244.0393	67	UNC5A	HK3	HK3	HK3	0.5327	67	1
4_MACS_peak_21818_lociStitched	chr20	61141471	61168434	4	26367	36666.9837	1962.9064	68	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR1-1	MIR1-1	1.311	68	1
4_MACS_peak_28007_lociStitched	chr6	31958777	31985227	4	26354	39635.325	3057.62	69	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	1.581	69	1
13_MACS_peak_32730_lociStitched	chr9	135852095	135880583	13	26205	30034.8984	2774.7312	70	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	0.9271	70	1
6_MACS_peak_14318_lociStitched	chr17	77119418	77145777	6	26062	32690.4318	2425.028	71	RBFOX3	ENGASE	ENGASE	ENGASE	0.4524	71	1
5_MACS_peak_22728_lociStitched	chr21	45911344	45937754	5	26007	37198.485	3729.092	72	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	C21orf90	0.8858000000000001	72	1
7_MACS_peak_15794_lociStitched	chr19	4140457	4167270	7	26001	35832.8932	3587.5794	73	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.0308000000000002	73	1
18_MACS_peak_18424_lociStitched	chr19	42468169	42495900	18	25797	27617.3029	2601.1678	74	ATP1A3	RABAC1	ATP1A3	ATP1A3	0.8217000000000001	74	1
4_MACS_peak_25941_lociStitched	chr3	184277965	184304546	4	25766	34106.0811	4080.1835	75	EPHB3		EPHB3	EPHB3	1.0565	75	1
12_MACS_peak_14674_lociStitched	chr17	77901843	77929074	12	25531	29316.8946	2301.0195	76	TBC1D16		TBC1D16	TBC1D16	0.7856000000000001	76	1
9_MACS_peak_22483_lociStitched	chr21	43777417	43804008	9	25207	33289.2729	3587.1259	77	TFF1,TMPRSS3	UBASH3A,TFF3,TFF2	TFF1	TFF3	1.2566	77	1
13_MACS_peak_13260_lociStitched	chr17	47969664	47996182	13	25048	28467.073	2612.023	78		TAC4	TAC4	TAC4	0.031	78	1
8_MACS_peak_26118_lociStitched	chr4	1769651	1794866	8	24780	32406.318	1939.0335	79		TACC3,FGFR3,TMEM129	FGFR3	FGFR3	0.7218	79	1
10_MACS_peak_6873_lociStitched	chr11	61471797	61497609	10	24768	27399.438	2330.8236	80	DAGLA	C11orf9,DKFZP434K028	C11orf9	DKFZP434K028	0.923	80	1
5_MACS_peak_29558_lociStitched	chr7	149470108	149495331	5	24423	38205.2781	3137.7412	81	SSPO,ZNF467	ZNF862	SSPO	SSPO	1.1897000000000002	81	1
8_MACS_peak_14958_lociStitched	chr17	79373764	79398524	8	24069	28927.108	2149.168	82	BAHCC1	MIR3186	BAHCC1	MIR3186	1.308	82	1
7_MACS_peak_14919_lociStitched	chr17	79275078	79300490	7	23870	28105.672	2152.3964	83	C17orf55,TMEM105	SLC38A10	C17orf55	C17orf55	0.9873000000000001	83	1
12_MACS_peak_8776_lociStitched	chr12	54357013	54382545	12	23689	26448.5988	2162.5604	84	HOXC11,HOXC10,HOTAIR	HOXC13,HOXC12,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,MIR615	HOXC11	HOXC12	1.1848	84	1
11_MACS_peak_6781_lociStitched	chr11	61287549	61312546	11	23680	26621.805	2269.7276	85	SYT7	C11orf66,LRRC10B	LRRC10B	LRRC10B	0.6705	85	1
6_MACS_peak_15306_lociStitched	chr19	735596	760424	6	23662	32974.0668	3173.0184	86	PALM,C19orf21	PTBP1,PRSSL1	C19orf21	C19orf21	1.1411	86	1
8_MACS_peak_23194_lociStitched	chr22	20151955	20176503	8	23549	28775.1656	1958.9304	87		RANBP1,ZDHHC8,LOC150197,TRMT2A	LOC150197	LOC150197	0.6628	87	1
9_MACS_peak_20368_lociStitched	chr2	220374295	220398471	9	23499	26465.4672	2531.2272	88	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	ACCN4	0.7253	88	1
3_MACS_peak_23_lociStitched	chr1	845662	869450	3	23349	39340.5944	2174.2232	89	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	1.4709	89	1
5_MACS_peak_2233_lociStitched	chr1	17083306	17107108	5	23338	26908.161	5053.1646	90	MST1P9	ESPNP	MST1P9	ESPNP	1.9216999999999997	90	1
5_MACS_peak_22901_lociStitched	chr21	46797259	46821214	5	23266	34677.258	2900.9505	91		COL18A1,NCRNA00175	COL18A1	NCRNA00175	1.5179999999999998	91	1
10_MACS_peak_15652_lociStitched	chr19	3360520	3384974	10	23241	27312.6726	2645.9228	92	NFIC		NFIC	NFIC	0.9149	92	1
7_MACS_peak_20308_lociStitched	chr2	219845494	219869408	7	23071	29650.9686	2286.1784	93	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108	CRYBA2	CRYBA2	0.9969000000000001	93	1
12_MACS_peak_22263_lociStitched	chr20	62824821	62849138	12	22987	25416.1284	2259.0493	94	MYT1	PCMTD2	MYT1	MYT1	0.8035	94	1
17_MACS_peak_1951_lociStitched	chr1	11497554	11523731	17	22973	23692.8027	2177.9264	95		PTCHD2	PTCHD2	PTCHD2	0.3686	95	1
7_MACS_peak_3235_lociStitched	chr1	21909807	21933716	7	22917	27801.3852	2338.3002	96	RAP1GAP		RAP1GAP	RAP1GAP	0.6296999999999999	96	1
11_MACS_peak_10453_lociStitched	chr16	2859044	2884057	11	22802	26316.1773	2263.6765	97	PRSS21,ZG16B	PRSS41,FLYWCH2,TCEB2,PRSS33,PRSS30P,PRSS22	PRSS21	PRSS21	0.9298000000000001	97	1
7_MACS_peak_1249_lociStitched	chr1	6210617	6233989	7	22748	25683.4908	1991.2944	98	CHD5	RNF207,RPL22	CHD5	CHD5	0.7607999999999999	98	1
10_MACS_peak_7335_lociStitched	chr11	68758933	68783810	10	22650	27125.8808	2064.791	99	MRGPRF	TPCN2,MRGPRD	MRGPRF	MRGPRF	1.0189	99	1
7_MACS_peak_22468_lociStitched	chr21	43719665	43743228	7	22572	30273.7424	3444.9106	100	TFF3	TFF2,TFF1	TFF3	TFF3	1.2566	100	1
18_MACS_peak_14345_lociStitched	chr17	77199961	77224907	18	22205	24329.8338	1980.7124	101	RBFOX3		ENGASE	ENGASE	0.4524	101	1
8_MACS_peak_31960_lociStitched	chr9	129445690	129469007	8	22198	25308.2718	2469.2703	102	LMX1B		LMX1B	LMX1B	0.8972	102	1
12_MACS_peak_23813_lociStitched	chr22	37490095	37513546	12	22045	24271.785	2103.5547	103	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	0.8989999999999999	103	1
9_MACS_peak_30915_lociStitched	chr8	142360364	142383768	9	21998	23811.2296	1858.2776	104	GPR20	LOC731779,PTP4A3	GPR20	GPR20	0.9564	104	1
7_MACS_peak_6390_lociStitched	chr11	1938103	1960689	7	21962	27265.8192	1773.001	105	TNNT3	LSP1,MRPL23	TNNT3	TNNT3	0.9692999999999999	105	1
3_MACS_peak_22882_lociStitched	chr21	46709363	46731635	3	21946	32728.704	3115.8528	106	LOC642852	POFUT2	LOC642852	LOC642852	0.8703	106	1
8_MACS_peak_22839_lociStitched	chr21	46439228	46462806	8	21869	26810.5438	2544.0662	107		ADARB1,NCRNA00163,NCRNA00162,C21orf122	NCRNA00162	NCRNA00163	1.7928000000000002	107	1
13_MACS_peak_33810_lociStitched	chr9	138962089	138986458	13	21774	25477.7895	1783.8108	108	NACC2	C9orf69	NACC2	NACC2	0.7575999999999999	108	1
12_MACS_peak_16331_lociStitched	chr19	7639982	7663736	12	21705	24908.4444	2897.988	109	KIAA1543	PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	KIAA1543	0.5478	109	1
7_MACS_peak_32916_lociStitched	chr9	136390974	136413409	7	21588	26331.9595	1509.8755	110	ADAMTSL2	SLC2A6,TMEM8C,FAM163B	ADAMTSL2	FAM163B	0.938	110	1
6_MACS_peak_33836_lociStitched	chr9	139031933	139054415	6	21513	24617.79	1816.5456	111		NACC2,C9orf69,LHX3	C9orf69	LHX3	0.7654000000000001	111	1
4_MACS_peak_20364_lociStitched	chr2	220341411	220362854	4	21420	26782.307	1779.769	112	SPEG	SPEG,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	ACCN4	0.7253	112	1
12_MACS_peak_32185_lociStitched	chr9	132941689	132964617	12	21361	23819.8992	2168.9888	113	NCS1		NCS1	NCS1	0.8004	113	1
12_MACS_peak_371_lociStitched	chr1	2375592	2398807	12	21329	23126.783	1469.5095	114		PLCH2,PEX10	PLCH2	PLCH2	0.6910999999999999	114	1
7_MACS_peak_24962_lociStitched	chr22	46311940	46334654	7	21056	23951.913	1680.836	115	WNT7B		WNT7B	WNT7B	0.9547000000000001	115	1
6_MACS_peak_4742_lociStitched	chr1	201322625	201344044	6	20836	23355.2776	2887.2812	116	TNNT2	LAD1,TNNI1	TNNT2	TNNT2	0.8347	116	1
2_MACS_peak_15403_lociStitched	chr19	1754578	1775531	2	20804	30612.333	2265.0193	117	ONECUT3	LOC100288123,ATP8B3,MIR1909	ONECUT3	ONECUT3	1.3363	117	1
3_MACS_peak_22081_lociStitched	chr20	62083006	62103799	3	20603	25623.2139	1361.9415	118	KCNQ2	PPDPF,EEF1A2	KCNQ2	KCNQ2	0.9074	118	1
7_MACS_peak_12657_lociStitched	chr17	36716255	36737072	7	20328	26129.4984	2115.0072	119	SRCIN1		SRCIN1	SRCIN1	0.6985	119	1
3_MACS_peak_33858_lociStitched	chr9	139138141	139158849	3	20302	27332.4892	1979.6848	120		LHX3,QSOX2	QSOX2	LHX3	0.7654000000000001	120	1
5_MACS_peak_15863_lociStitched	chr19	4603647	4624272	5	20273	25872	2957.625	121		TNFAIP8L1,SEMA6B,C19orf10	TNFAIP8L1	SEMA6B	0.8276	121	1
11_MACS_peak_16116_lociStitched	chr19	5851618	5874163	11	20265	22454.82	2836.161	122	FUT5	NRTN,VMAC,CAPS,FUT6,FUT3,NDUFA11	FUT5	FUT5	0.8061	122	1
5_MACS_peak_33920_lociStitched	chr9	139591657	139613167	5	20219	26212.086	1916.541	123	FAM69B	EGFL7,MIR126,LOC100128593,AGPAT2,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	FAM69B	MIR126	1.2453999999999998	123	1
5_MACS_peak_22886_lociStitched	chr21	46734271	46754835	5	20191	29153.5828	2403.9316	124		LOC642852,POFUT2	LOC642852	LOC642852	0.8703	124	1
2_MACS_peak_26165_lociStitched	chr4	3471686	3491853	2	20145	29405.5027	1871.4976	125	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.1413	125	1
3_MACS_peak_29596_lociStitched	chr7	150940730	150961179	3	20072	36088.3952	2987.5989	126	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	0.9223999999999999	126	1
10_MACS_peak_32537_lociStitched	chr9	135052809	135075022	10	20045	22723.899	1723.7288	127	NTNG2		NTNG2	NTNG2	0.8582	127	1
5_MACS_peak_21869_lociStitched	chr20	61387448	61408214	5	19926	25081.1748	1644.6672	128	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	COL9A3	0.6396999999999999	128	1
5_MACS_peak_22065_lociStitched	chr20	62041506	62062729	5	19848	24336.4141	1445.2863	129	KCNQ2	CHRNA4,KCNQ2	KCNQ2	KCNQ2	0.9074	129	1
3_MACS_peak_4574_lociStitched	chr1	156394574	156414940	3	19812	28752.7188	3470.3664	130	C1orf61	MIR9-1	C1orf61	C1orf61	0.7653	130	1
5_MACS_peak_22797_lociStitched	chr21	46114508	46135093	5	19696	25136.3435	2315.8125	131	KRTAP10-12,C21orf29	KRTAP10-11,KRTAP12-3,KRTAP12-4,KRTAP12-2,KRTAP12-1	C21orf29	C21orf29	0.6880999999999999	131	1
8_MACS_peak_11794_lociStitched	chr17	1829146	1849896	8	19632	22397.55	1842.6	132	RTN4RL1		RTN4RL1	RTN4RL1	0.8318000000000001	132	1
8_MACS_peak_33846_lociStitched	chr9	139066889	139087258	8	19484	21627.8042	1554.1547	133		LHX3	LHX3	LHX3	0.7654000000000001	133	1
4_MACS_peak_18866_lociStitched	chr19	47909590	47929196	4	19316	23711.4964	1852.767	134	MEIS3	SLC8A2	MEIS3	MEIS3	1.0095	134	1
10_MACS_peak_2106_lociStitched	chr1	16338795	16359207	10	19279	21502.0008	1567.6416	135	CLCNKA,HSPB7	C1orf64,CLCNKB,ZBTB17,FAM131C	CLCNKA	CLCNKB	1.0159	135	1
8_MACS_peak_14437_lociStitched	chr17	77368665	77389454	8	19255	22298.2814	1885.5623	136	RBFOX3		RBFOX3	RBFOX3	0.8059000000000001	136	1
2_MACS_peak_25868_lociStitched	chr3	128198039	128217632	2	19228	28791.9135	1892.6838	137	GATA2	LOC90246,DNAJB8	GATA2	GATA2	1.2142	137	1
3_MACS_peak_4626_lociStitched	chr1	156861367	156880779	3	19184	27372.8612	2566.2664	138	PEAR1	NTRK1,C1orf92,INSRR,MIR765	PEAR1	PEAR1	0.9845999999999999	138	1
4_MACS_peak_10336_lociStitched	chr16	1321323	1340838	4	19180	26762.871	1736.835	139		TPSAB1,TPSD1,UBE2I,BAIAP3,TPSG1,TPSB2	TPSD1	TPSG1	1.1955	139	1
6_MACS_peak_11685_lociStitched	chr17	1041560	1061505	6	19166	22254.631	1902.753	140	ABR	ABR	ABR	ABR	0.32030000000000003	140	1
3_MACS_peak_19955_lociStitched	chr2	26795405	26814631	3	19150	25105.3108	2337.8816	141	C2orf70,CIB4	OTOF	C2orf70	C2orf70	0.9858	141	1
11_MACS_peak_10225_lociStitched	chr16	1055194	1075803	11	19078	22449.3837	1481.7871	142		SOX8,SSTR5,LMF1	SOX8	SOX8	0.9387000000000001	142	1
8_MACS_peak_33736_lociStitched	chr9	138667153	138687284	8	19051	23404.3006	1538.0084	143	KCNT1		KCNT1	KCNT1	0.8037	143	1
3_MACS_peak_5455_lociStitched	chr10	102494124	102513566	3	19029	28457.2554	1782.8314	144	PAX2		PAX2	PAX2	0.5815999999999999	144	1
10_MACS_peak_22697_lociStitched	chr21	45852294	45872476	10	18991	22299.0918	2236.1656	145	TRPM2	LRRC3	LRRC3	LRRC3	0.8087000000000001	145	1
