REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
5_MACS_peak_13831_lociStitched	chr17	1828740	1856199	5	26695	54107.9595	2712.9492
5_MACS_peak_15502_lociStitched	chr17	48032786	48060194	5	26984	49608.48	3351.9984
2_MACS_peak_24665_lociStitched	chr20	61141427	61168797	2	27034	72667.34999999999	2457.826
8_MACS_peak_599_lociStitched	chr1	3326898	3354240	8	26448	43883.909999999996	2061.5868
4_MACS_peak_16995_lociStitched	chr17	79274194	79301461	4	26814	59123.0361	2721.2466
19_MACS_peak_14513_lociStitched	chr17	19100060	19127298	19	23998	27978.873599999995	3088.7892
13_MACS_peak_432_lociStitched	chr1	2826666	2853755	13	25752	37168.816900000005	2175.2466999999997
8_MACS_peak_37211_lociStitched	chr9	139629378	139656440	8	26154	61189.888199999994	2868.572
6_MACS_peak_37251_lociStitched	chr9	139923766	139950801	6	26436	63180.795000000006	2762.977
4_MACS_peak_17817_lociStitched	chr19	4140449	4167335	4	26701	55127.05439999999	4218.4134
3_MACS_peak_31060_lociStitched	chr6	31958485	31985238	3	26630	75710.99	4069.1313000000005
4_MACS_peak_558_lociStitched	chr1	3190732	3217374	4	26283	44966.3676	2349.8244
4_MACS_peak_31850_lociStitched	chr7	2532522	2559107	4	26301	48097.581999999995	2709.0115
7_MACS_peak_58_lociStitched	chr1	977598	1004085	7	24917	47189.2392	2500.3728
10_MACS_peak_17698_lociStitched	chr19	3333069	3359440	10	25293	39313.8868	3454.601
9_MACS_peak_24775_lociStitched	chr20	61789872	61816008	9	24777	39860.0136	2232.0144
8_MACS_peak_16774_lociStitched	chr17	77739924	77766040	8	25585	46596.1672	2770.9076
15_MACS_peak_27392_lociStitched	chr22	45321405	45347494	15	23962	33099.1143	1941.0215999999998
9_MACS_peak_35755_lociStitched	chr9	132493594	132519637	9	24416	43684.5282	2906.3988
3_MACS_peak_32814_lociStitched	chr7	149470060	149496097	3	26002	73364.4549	4387.2345000000005
4_MACS_peak_22835_lociStitched	chr2	219845461	219871425	4	25449	50801.162399999994	3100.1016
6_MACS_peak_13978_lociStitched	chr17	4478953	4504793	6	25081	47548.184	2764.88
4_MACS_peak_37102_lociStitched	chr9	138661224	138687009	4	25720	52660.705500000004	2140.155
6_MACS_peak_22886_lociStitched	chr2	220374344	220400010	6	24984	49224.8214	3372.5123999999996
5_MACS_peak_25841_lociStitched	chr22	20256018	20281597	5	24945	48797.0583	2767.6478
8_MACS_peak_165_lociStitched	chr1	1884509	1909975	8	23585	39691.3076	2470.202
7_MACS_peak_16139_lociStitched	chr17	72909616	72934978	7	24694	42506.712	2683.2996000000003
16_MACS_peak_2291_lociStitched	chr1	17558497	17583821	16	23672	34587.519199999995	2752.7188
2_MACS_peak_1152_lociStitched	chr1	6475334	6500586	2	25115	56114.994399999996	2838.3248
3_MACS_peak_28900_lociStitched	chr4	1769674	1794909	3	25133	63332.279500000004	2546.2115
16_MACS_peak_33835_lociStitched	chr8	1891334	1916514	16	22380	33758.826	2618.72
8_MACS_peak_7826_lociStitched	chr11	68758735	68783899	8	23737	46822.654800000004	2521.4328
4_MACS_peak_16934_lociStitched	chr17	78437339	78462481	4	24662	49884.2422	2647.4526
6_MACS_peak_611_lociStitched	chr1	3366164	3391215	6	24373	44508.1117	2096.7687
6_MACS_peak_31366_lociStitched	chr6	41603390	41628239	6	24058	44216.310600000004	2686.1769
7_MACS_peak_11614_lociStitched	chr16	859639	884469	7	24183	43288.622	2232.2169999999996
4_MACS_peak_3264_lociStitched	chr1	21909148	21933864	4	24446	50561.5212	2780.55
10_MACS_peak_11138_lociStitched	chr15	74588757	74613418	10	24055	35063.0098	2875.4726
9_MACS_peak_11598_lociStitched	chr16	792889	817500	9	22978	38941.9853	2406.9557999999997
10_MACS_peak_30645_lociStitched	chr5	176151964	176176543	10	23181	36126.2142	2307.9681
12_MACS_peak_19028_lociStitched	chr19	14286642	14311213	12	22862	33188.0497	2754.4091000000003
6_MACS_peak_6527_lociStitched	chr10	135045357	135069719	6	23407	40423.8666	2402.0932
9_MACS_peak_26562_lociStitched	chr22	37522195	37546455	9	23129	38032.402	2603.098
4_MACS_peak_35556_lociStitched	chr9	129443186	129467338	4	23657	44514.5512	3074.5496
12_MACS_peak_17610_lociStitched	chr19	3103671	3127782	12	21949	31889.2086	3069.3303
2_MACS_peak_15553_lociStitched	chr17	48676257	48700347	2	23836	46397.34	2987.16
4_MACS_peak_34420_lociStitched	chr8	142332585	142356601	4	23509	39717.6608	2658.5712000000003
1_MACS_peak_31_lociStitched	chr1	845458	869473	1	24016	78312.91500000001	3047.5035000000003
7_MACS_peak_26769_lociStitched	chr22	40067990	40091965	7	23645	39633.0725	2618.07
5_MACS_peak_2182_lociStitched	chr1	17083243	17107202	5	23794	41410.7356	5956.207399999999
5_MACS_peak_29068_lociStitched	chr4	3854632	3878533	5	23117	35765.456399999995	2433.1218
5_MACS_peak_1124_lociStitched	chr1	6210546	6234439	5	23514	44940.3437	2193.3774000000003
9_MACS_peak_18326_lociStitched	chr19	7640007	7663868	9	22368	35662.6506	3314.2929
6_MACS_peak_14298_lociStitched	chr17	7959207	7983009	6	22360	37045.4328	3479.8523999999998
12_MACS_peak_37490_lociStitched	chrX	152790244	152814030	12	21108	28576.5004	1505.6537999999998
13_MACS_peak_2821_lociStitched	chr1	18954028	18977769	13	22213	33572.1481	1740.2153
5_MACS_peak_1139_lociStitched	chr1	6298775	6322514	5	22981	42946.2249	2423.7518999999998
10_MACS_peak_36672_lociStitched	chr9	137580079	137603788	10	21940	32744.4999	2010.5232
10_MACS_peak_17977_lociStitched	chr19	5316425	5340112	10	22746	36428.2373	2882.7079
17_MACS_peak_32417_lociStitched	chr7	100381843	100405520	17	20331	31147.0935	2287.1982000000003
14_MACS_peak_7305_lociStitched	chr11	61349067	61372691	14	21493	30307.2296	2697.8608
4_MACS_peak_15549_lociStitched	chr17	48651198	48674747	4	23234	43000.474	2698.7154
2_MACS_peak_5028_lociStitched	chr1	201322765	201346294	2	23293	40935.7542	4042.2822
3_MACS_peak_25189_lociStitched	chr21	43778198	43801726	3	23500	49204.1064	3875.0616000000005
5_MACS_peak_36698_lociStitched	chr9	137656488	137679946	5	22749	37591.445	1951.7056
6_MACS_peak_24933_lociStitched	chr20	62726708	62750145	6	22140	48713.8045	2498.3842
3_MACS_peak_15651_lociStitched	chr17	61552190	61575606	3	23282	39247.5576	2320.5256
16_MACS_peak_18301_lociStitched	chr19	7543173	7566544	16	21403	29360.9873	3648.2131
7_MACS_peak_26848_lociStitched	chr22	42792714	42816041	7	22146	36695.7037	2391.0175
9_MACS_peak_2445_lociStitched	chr1	17938973	17962299	9	22681	31975.2808	2204.307
11_MACS_peak_26417_lociStitched	chr22	36969723	36992947	11	22013	30945.98	2819.3936
3_MACS_peak_11762_lociStitched	chr16	1567356	1590577	3	22604	45847.5424	2391.763
3_MACS_peak_7053_lociStitched	chr11	2426278	2449488	3	22970	63059.248999999996	2404.556
5_MACS_peak_36003_lociStitched	chr9	133935659	133958865	5	22889	38498.754	2592.1102
10_MACS_peak_20176_lociStitched	chr19	36338172	36361360	10	22321	31440.609200000003	1982.574
3_MACS_peak_18866_lociStitched	chr19	13104223	13127362	3	22662	49225.9086	2455.0479
7_MACS_peak_25497_lociStitched	chr21	46439039	46462068	7	22126	45749.4114	3348.4166
8_MACS_peak_31744_lociStitched	chr7	1455853	1478837	8	22042	34832.252	1870.8976
6_MACS_peak_3256_lociStitched	chr1	21881524	21904495	6	21963	34426.6377	2519.9187
9_MACS_peak_28498_lociStitched	chr3	50534419	50557359	9	21115	33230.884000000005	2505.0480000000002
10_MACS_peak_18469_lociStitched	chr19	8175790	8198644	10	21101	32340.6954	2982.447
5_MACS_peak_37145_lociStitched	chr9	138963859	138986703	5	22260	45169.4412	2019.4096000000002
12_MACS_peak_2870_lociStitched	chr1	19034303	19057115	12	20523	29826.690000000002	1980.0816
8_MACS_peak_1810_lociStitched	chr1	10957130	10979649	8	21593	34366.2459	2211.3658
5_MACS_peak_25174_lociStitched	chr21	43721156	43743673	5	22306	44016.2316	3762.5906999999997
2_MACS_peak_36527_lociStitched	chr9	137105601	137128074	2	22357	40028.9076	1779.8616000000002
4_MACS_peak_17862_lociStitched	chr19	4602146	4624593	4	22082	44456.2835	3685.7974000000004
4_MACS_peak_10899_lociStitched	chr15	42151824	42174249	4	22080	41064.659999999996	2551.965
8_MACS_peak_28452_lociStitched	chr3	50415998	50438339	8	21333	30873.027899999997	2403.8916
10_MACS_peak_2418_lociStitched	chr1	17883032	17905283	10	21267	28979.7024	2058.2175
10_MACS_peak_26684_lociStitched	chr22	38835350	38857565	10	21064	30099.1035	2645.8065
9_MACS_peak_36438_lociStitched	chr9	136511302	136533471	9	21088	32535.2244	1675.9764
8_MACS_peak_20718_lociStitched	chr19	42488487	42510640	8	21287	35949.8884	2204.2235
6_MACS_peak_11688_lociStitched	chr16	1021233	1043378	6	20934	38208.983	1607.7269999999999
9_MACS_peak_14466_lociStitched	chr17	18977916	18999988	9	21175	24782.441600000002	2745.7568
17_MACS_peak_19607_lociStitched	chr19	18340300	18362320	17	19825	27133.043999999998	2164.566
9_MACS_peak_266_lociStitched	chr1	2136724	2158725	9	20153	34160.9527	2200.1
4_MACS_peak_32850_lociStitched	chr7	150939914	150961800	4	21726	60917.492399999996	4112.3794
8_MACS_peak_6958_lociStitched	chr11	2105598	2127473	8	21025	33355.0	1944.6875000000002
8_MACS_peak_13791_lociStitched	chr17	1193094	1214917	8	20793	30999.571500000002	3336.7367000000004
7_MACS_peak_15453_lociStitched	chr17	47569953	47591772	7	20757	39368.0217	2273.5398
9_MACS_peak_35863_lociStitched	chr9	133249637	133271455	9	20714	31463.7378	1686.5313999999998
5_MACS_peak_11350_lociStitched	chr15	78180254	78202017	5	21167	36111.3459	2790.0166000000004
8_MACS_peak_27542_lociStitched	chr22	45905183	45926943	8	20833	30555.391999999996	1908.352
8_MACS_peak_253_lociStitched	chr1	2094486	2116153	8	20376	32576.3345	1811.3611999999998
5_MACS_peak_5923_lociStitched	chr10	102493959	102515621	5	20968	50394.476800000004	2170.5324
4_MACS_peak_6829_lociStitched	chr11	1671275	1692922	4	21349	43296.1647	2340.0407
11_MACS_peak_13643_lociStitched	chr17	743108	764737	11	20415	29633.892900000003	2123.9678
6_MACS_peak_20710_lociStitched	chr19	42424348	42445923	6	20727	39255.712499999994	2450.92
6_MACS_peak_27133_lociStitched	chr22	44668411	44689981	6	20421	33608.217000000004	2122.488
3_MACS_peak_1741_lociStitched	chr1	10699530	10721084	3	21144	41900.976	2008.8328000000001
11_MACS_peak_16686_lociStitched	chr17	77524732	77546264	11	20159	28056.196	1759.1644
8_MACS_peak_35945_lociStitched	chr9	133524178	133545677	8	20508	39786.0494	2229.4463
1_MACS_peak_22885_lociStitched	chr2	220341536	220362941	1	21406	48465.201	2628.534
6_MACS_peak_36383_lociStitched	chr9	136344801	136366159	6	20206	39021.066	1922.22
6_MACS_peak_27153_lociStitched	chr22	44742056	44763404	6	20281	28418.457599999998	2207.3832
6_MACS_peak_9651_lociStitched	chr12	54413038	54434351	6	20554	35266.621100000004	2438.2072
10_MACS_peak_16653_lociStitched	chr17	77465740	77487051	10	19860	25287.6326	1926.5143999999998
10_MACS_peak_18509_lociStitched	chr19	8271805	8293054	10	19575	27139.222799999996	2430.8856
4_MACS_peak_36449_lociStitched	chr9	136540658	136561873	4	20931	33793.3735	1775.6955
9_MACS_peak_2000_lociStitched	chr1	11756052	11777254	9	20091	34639.8276	2366.1432
5_MACS_peak_91_lociStitched	chr1	1128942	1150124	5	20232	45551.891	1844.9522
8_MACS_peak_25121_lociStitched	chr21	43130324	43151469	8	19259	34347.938	3078.712
11_MACS_peak_29426_lociStitched	chr4	7472387	7493495	11	18861	26382.8892	1724.5236
9_MACS_peak_32352_lociStitched	chr7	100226460	100247568	9	19278	28698.4368	2256.4452
7_MACS_peak_36453_lociStitched	chr9	136564422	136585521	7	19727	36102.4989	1799.7447
8_MACS_peak_6839_lociStitched	chr11	1702100	1723168	8	19569	38010.8856	2089.9456
7_MACS_peak_16844_lociStitched	chr17	77969352	77990297	7	20223	30257.147	2169.902
13_MACS_peak_8122_lociStitched	chr11	69942230	69963139	13	19383	26911.973899999997	1810.7194
13_MACS_peak_11648_lociStitched	chr16	953464	974358	13	19122	26481.055600000003	1619.285
5_MACS_peak_4853_lociStitched	chr1	156657630	156678521	5	20332	53301.2974	3860.6567999999997
8_MACS_peak_7007_lociStitched	chr11	2305812	2326694	8	20325	32521.6268	2077.759
20_MACS_peak_33971_lociStitched	chr8	7423502	7444362	20	18347	25924.807999999997	2496.942
4_MACS_peak_54_lociStitched	chr1	955481	976325	4	19903	44064.216	2059.3872
6_MACS_peak_14941_lociStitched	chr17	39765930	39786558	6	19336	35073.7884	2559.9348
3_MACS_peak_25469_lociStitched	chr21	46114589	46135196	3	20295	40723.5534	2439.8688
8_MACS_peak_41_lociStitched	chr1	925013	945601	8	19613	37538.100399999996	2025.8592
9_MACS_peak_37131_lociStitched	chr9	138935379	138955963	9	20201	31283.5632	1628.1944
3_MACS_peak_2086_lociStitched	chr1	16339090	16359654	3	20455	44377.112	2360.7472
6_MACS_peak_26817_lociStitched	chr22	42696555	42717074	6	20175	33400.828199999996	1936.9936
3_MACS_peak_24699_lociStitched	chr20	61387416	61407914	3	20110	45886.8228	2211.7342
4_MACS_peak_2120_lociStitched	chr1	16463232	16483727	4	19969	33923.324	2135.579
15_MACS_peak_31651_lociStitched	chr7	1278119	1298561	15	17672	24630.5658	1340.9952
7_MACS_peak_35882_lociStitched	chr9	133290125	133310473	7	18490	30574.9048	2242.3496
3_MACS_peak_1119_lociStitched	chr1	6180717	6201063	3	20042	39170.1192	2050.8768
6_MACS_peak_36101_lociStitched	chr9	135096375	135116613	6	19490	36511.3758	2543.9166
11_MACS_peak_24575_lociStitched	chr20	60443063	60463257	11	18655	26958.989999999998	1748.8003999999999
5_MACS_peak_2089_lociStitched	chr1	16360548	16380729	5	19641	42676.7607	1886.9235
10_MACS_peak_6635_lociStitched	chr11	376994	397170	10	18973	34341.5696	1844.0864
4_MACS_peak_25477_lociStitched	chr21	46164422	46184541	4	19784	37831.7676	2830.7432999999996
4_MACS_peak_37271_lociStitched	chr9	140049048	140069164	4	19305	46657.0504	1864.7532
4_MACS_peak_25631_lociStitched	chr21	47404881	47424985	4	19730	46446.271199999996	2066.6912
9_MACS_peak_31239_lociStitched	chr6	33988752	34008840	9	19230	26859.6648	2055.0024
