#24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_ROSE/24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam
#Using cutoff of 14046.2756 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isStretch
3_MACS_peak_17476_lociStitched	chr19	1754563	1790100	3	35286	91202.1568	5103.1132	78	1
14_MACS_peak_1911_lociStitched	chr1	11487439	11523927	14	35228	50583.3144	3969.8944	79	1
6_MACS_peak_37154_lociStitched	chr9	139018532	139054513	6	35140	69500.8996	3169.9261	80	1
9_MACS_peak_32841_lociStitched	chr7	150868695	150905495	9	34997	67090.08	6112.48	81	1
16_MACS_peak_15996_lociStitched	chr17	72333550	72371178	16	34782	52562.5532	3984.8052	82	1
4_MACS_peak_17832_lociStitched	chr19	4275441	4310595	4	34657	66567.6144	4858.2828	83	1
6_MACS_peak_16588_lociStitched	chr17	77202153	77238020	6	34532	58362.7824	3095.3221	84	1
7_MACS_peak_17454_lociStitched	chr19	1514118	1549473	7	34182	80103.8235	5338.605	85	1
5_MACS_peak_25551_lociStitched	chr21	46760887	46795344	5	33863	76036.2619	4537.9869	86	1
4_MACS_peak_9713_lociStitched	chr12	57585699	57619916	4	33860	73754.7435	4547.4393	87	1
8_MACS_peak_16983_lociStitched	chr17	79112518	79147262	8	33795	73243.8264	3554.3112	88	1
8_MACS_peak_6821_lociStitched	chr11	1636231	1670751	8	33436	55432.216	4031.936	89	1
6_MACS_peak_11700_lociStitched	chr16	1091622	1125909	6	33150	63067.5078	2633.2416	90	1
2_MACS_peak_32817_lociStitched	chr7	149498296	149531548	2	33086	91765.5444	5097.5316	91	1
10_MACS_peak_17405_lociStitched	chr19	818713	854298	10	32887	67778.7495	4978.3415	92	1
5_MACS_peak_25492_lociStitched	chr21	46404243	46438361	5	32844	98682.9032	4807.2262	93	1
7_MACS_peak_16824_lociStitched	chr17	77897856	77931439	7	32544	62393.8557	3220.6097	94	1
10_MACS_peak_37078_lociStitched	chr9	138572304	138605893	10	31887	51078.7923	2942.3964	95	1
11_MACS_peak_28461_lociStitched	chr3	50445054	50477873	11	31488	44712.6056	3583.8348	96	1
6_MACS_peak_1744_lociStitched	chr1	10722251	10754179	6	31408	68501.524	2908.6408	97	1
11_MACS_peak_17872_lociStitched	chr19	4734071	4766616	11	31150	51746.55	5402.47	98	1
9_MACS_peak_11735_lociStitched	chr16	1287335	1320540	9	31126	65078.4795	3403.5125	99	1
10_MACS_peak_36083_lociStitched	chr9	135020427	135052739	10	31052	51498.8656	3502.6208	100	1
14_MACS_peak_31066_lociStitched	chr6	32035099	32068892	14	30987	53423.3537	4099.0909	101	1
2_MACS_peak_82_lociStitched	chr1	1090766	1122030	2	30978	79219.8496	2738.7264	102	1
4_MACS_peak_640_lociStitched	chr1	3505044	3536035	4	30890	67891.9837	2841.8747	103	1
11_MACS_peak_1767_lociStitched	chr1	10853780	10886449	11	30841	51110.6505	3430.245	104	1
4_MACS_peak_25562_lociStitched	chr21	46825633	46856613	4	30726	77793.878	3649.444	105	1
8_MACS_peak_22365_lociStitched	chr2	26783635	26815139	8	30725	55065.8416	4234.1376	106	1
8_MACS_peak_16555_lociStitched	chr17	77015728	77047528	8	30466	59179.8	3911.4	107	1
2_MACS_peak_17467_lociStitched	chr19	1672555	1703187	2	30426	87031.6384	5366.7264	108	1
6_MACS_peak_17012_lociStitched	chr17	79368136	79399268	6	30154	66964.932	2755.182	109	1
10_MACS_peak_35798_lociStitched	chr9	132935058	132966338	10	29736	53279.224	3353.216	110	1
8_MACS_peak_14838_lociStitched	chr17	36716121	36746824	8	29419	60122.6146	3678.2194	111	1
8_MACS_peak_6732_lociStitched	chr11	1237075	1267422	8	29369	49860.121	2543.0786	112	1
6_MACS_peak_35982_lociStitched	chr9	133848036	133878012	6	29331	51939.4152	3390.2856	113	1
4_MACS_peak_21588_lociStitched	chr19	49916327	49945950	4	29031	50652.3677	2790.4866	114	1
7_MACS_peak_34873_lociStitched	chr8	143643975	143673794	7	28927	45068.4366	2594.253	115	1
7_MACS_peak_35176_lociStitched	chr8	144940060	144969640	7	28811	60286.998	3241.968	116	1
2_MACS_peak_17805_lociStitched	chr19	3924148	3952923	2	28674	57034.9275	3737.8725	117	1
5_MACS_peak_28941_lociStitched	chr4	3470949	3499880	5	28672	75579.3444	2826.5587	118	1
7_MACS_peak_36265_lociStitched	chr9	135852485	135881343	7	28657	48761.3626	3151.2936	119	1
4_MACS_peak_25790_lociStitched	chr22	19718922	19747745	4	28619	57124.3037	2960.1221	120	1
4_MACS_peak_28693_lociStitched	chr3	184274876	184304328	4	28554	60459.0656	5254.2368	121	1
8_MACS_peak_591_lociStitched	chr1	3296865	3326001	8	28525	45589.0992	2246.3856	122	1
2_MACS_peak_1154_lociStitched	chr1	6501292	6529921	2	28423	69173.3898	3017.4966	123	1
7_MACS_peak_7286_lociStitched	chr11	61284444	61313671	7	28352	53573.091	3416.6363	124	1
3_MACS_peak_16597_lociStitched	chr17	77241812	77270453	3	28335	50270.6832	2763.8565	125	1
8_MACS_peak_7374_lociStitched	chr11	61515220	61544215	8	28145	46319.5125	3056.073	126	1
5_MACS_peak_37170_lociStitched	chr9	139138377	139167006	5	28035	70221.2112	3034.674	127	1
7_MACS_peak_21172_lociStitched	chr19	47901845	47929930	7	27760	51058.53	3125.8605	128	1
4_MACS_peak_30689_lociStitched	chr5	176269854	176297764	4	27635	55755.807	3145.457	129	1
10_MACS_peak_16126_lociStitched	chr17	72873386	72902607	10	27476	42545.776	3103.2702	130	1
4_MACS_peak_36375_lociStitched	chr9	136296518	136324429	4	27190	48500.9447	3098.121	131	1
2_MACS_peak_24665_lociStitched	chr20	61141427	61168797	2	27034	72667.35	2457.826	132	1
5_MACS_peak_25416_lociStitched	chr21	45910128	45937620	5	27023	62791.728	4085.3112	133	1
5_MACS_peak_15502_lociStitched	chr17	48032786	48060194	5	26984	49608.48	3351.9984	134	1
6_MACS_peak_21124_lociStitched	chr19	47114671	47142181	6	26877	46260.816	3810.135	135	1
4_MACS_peak_16995_lociStitched	chr17	79274194	79301461	4	26814	59123.0361	2721.2466	136	1
9_MACS_peak_26709_lociStitched	chr22	39221613	39249771	9	26727	43765.9794	2987.5638	137	1
4_MACS_peak_17817_lociStitched	chr19	4140449	4167335	4	26701	55127.0544	4218.4134	138	1
5_MACS_peak_13831_lociStitched	chr17	1828740	1856199	5	26695	54107.9595	2712.9492	139	1
3_MACS_peak_31060_lociStitched	chr6	31958485	31985238	3	26630	75710.99	4069.1313	140	1
8_MACS_peak_599_lociStitched	chr1	3326898	3354240	8	26448	43883.91	2061.5868	141	1
6_MACS_peak_37251_lociStitched	chr9	139923766	139950801	6	26436	63180.795	2762.977	142	1
8_MACS_peak_24803_lociStitched	chr20	61985709	62013511	8	26337	48553.4128	2313.1264	143	1
4_MACS_peak_31850_lociStitched	chr7	2532522	2559107	4	26301	48097.582	2709.0115	144	1
4_MACS_peak_558_lociStitched	chr1	3190732	3217374	4	26283	44966.3676	2349.8244	145	1
8_MACS_peak_37211_lociStitched	chr9	139629378	139656440	8	26154	61189.8882	2868.572	146	1
3_MACS_peak_32814_lociStitched	chr7	149470060	149496097	3	26002	73364.4549	4387.2345	147	1
13_MACS_peak_432_lociStitched	chr1	2826666	2853755	13	25752	37168.8169	2175.2467	148	1
4_MACS_peak_37102_lociStitched	chr9	138661224	138687009	4	25720	52660.7055	2140.155	149	1
8_MACS_peak_16774_lociStitched	chr17	77739924	77766040	8	25585	46596.1672	2770.9076	150	1
4_MACS_peak_22835_lociStitched	chr2	219845461	219871425	4	25449	50801.1624	3100.1016	151	1
10_MACS_peak_17698_lociStitched	chr19	3333069	3359440	10	25293	39313.8868	3454.601	152	1
3_MACS_peak_28900_lociStitched	chr4	1769674	1794909	3	25133	63332.2795	2546.2115	153	1
2_MACS_peak_1152_lociStitched	chr1	6475334	6500586	2	25115	56114.9944	2838.3248	154	1
6_MACS_peak_13978_lociStitched	chr17	4478953	4504793	6	25081	47548.184	2764.88	155	1
6_MACS_peak_22886_lociStitched	chr2	220374344	220400010	6	24984	49224.8214	3372.5124	156	1
5_MACS_peak_25841_lociStitched	chr22	20256018	20281597	5	24945	48797.0583	2767.6478	157	1
7_MACS_peak_58_lociStitched	chr1	977598	1004085	7	24917	47189.2392	2500.3728	158	1
9_MACS_peak_24775_lociStitched	chr20	61789872	61816008	9	24777	39860.0136	2232.0144	159	1
7_MACS_peak_16139_lociStitched	chr17	72909616	72934978	7	24694	42506.712	2683.2996	160	1
4_MACS_peak_16934_lociStitched	chr17	78437339	78462481	4	24662	49884.2422	2647.4526	161	1
4_MACS_peak_3264_lociStitched	chr1	21909148	21933864	4	24446	50561.5212	2780.55	162	1
9_MACS_peak_35755_lociStitched	chr9	132493594	132519637	9	24416	43684.5282	2906.3988	163	1
6_MACS_peak_611_lociStitched	chr1	3366164	3391215	6	24373	44508.1117	2096.7687	164	1
7_MACS_peak_11614_lociStitched	chr16	859639	884469	7	24183	43288.622	2232.217	165	1
6_MACS_peak_31366_lociStitched	chr6	41603390	41628239	6	24058	44216.3106	2686.1769	166	1
10_MACS_peak_11138_lociStitched	chr15	74588757	74613418	10	24055	35063.0098	2875.4726	167	1
1_MACS_peak_31_lociStitched	chr1	845458	869473	1	24016	78312.915	3047.5035	168	1
19_MACS_peak_14513_lociStitched	chr17	19100060	19127298	19	23998	27978.8736	3088.7892	169	1
15_MACS_peak_27392_lociStitched	chr22	45321405	45347494	15	23962	33099.1143	1941.0216	170	1
2_MACS_peak_15553_lociStitched	chr17	48676257	48700347	2	23836	46397.34	2987.16	171	1
5_MACS_peak_2182_lociStitched	chr1	17083243	17107202	5	23794	41410.7356	5956.2074	172	1
8_MACS_peak_7826_lociStitched	chr11	68758735	68783899	8	23737	46822.6548	2521.4328	173	1
16_MACS_peak_2291_lociStitched	chr1	17558497	17583821	16	23672	34587.5192	2752.7188	174	1
4_MACS_peak_35556_lociStitched	chr9	129443186	129467338	4	23657	44514.5512	3074.5496	175	1
7_MACS_peak_26769_lociStitched	chr22	40067990	40091965	7	23645	39633.0725	2618.07	176	1
8_MACS_peak_165_lociStitched	chr1	1884509	1909975	8	23585	39691.3076	2470.202	177	1
5_MACS_peak_1124_lociStitched	chr1	6210546	6234439	5	23514	44940.3437	2193.3774	178	1
4_MACS_peak_34420_lociStitched	chr8	142332585	142356601	4	23509	39717.6608	2658.5712	179	1
3_MACS_peak_25189_lociStitched	chr21	43778198	43801726	3	23500	49204.1064	3875.0616	180	1
6_MACS_peak_6527_lociStitched	chr10	135045357	135069719	6	23407	40423.8666	2402.0932	181	1
2_MACS_peak_5028_lociStitched	chr1	201322765	201346294	2	23293	40935.7542	4042.2822	182	1
3_MACS_peak_15651_lociStitched	chr17	61552190	61575606	3	23282	39247.5576	2320.5256	183	1
4_MACS_peak_15549_lociStitched	chr17	48651198	48674747	4	23234	43000.474	2698.7154	184	1
10_MACS_peak_30645_lociStitched	chr5	176151964	176176543	10	23181	36126.2142	2307.9681	185	1
9_MACS_peak_26562_lociStitched	chr22	37522195	37546455	9	23129	38032.402	2603.098	186	1
5_MACS_peak_29068_lociStitched	chr4	3854632	3878533	5	23117	35765.4564	2433.1218	187	1
5_MACS_peak_1139_lociStitched	chr1	6298775	6322514	5	22981	42946.2249	2423.7519	188	1
9_MACS_peak_11598_lociStitched	chr16	792889	817500	9	22978	38941.9853	2406.9558	189	1
3_MACS_peak_7053_lociStitched	chr11	2426278	2449488	3	22970	63059.249	2404.556	190	1
5_MACS_peak_36003_lociStitched	chr9	133935659	133958865	5	22889	38498.754	2592.1102	191	1
12_MACS_peak_19028_lociStitched	chr19	14286642	14311213	12	22862	33188.0497	2754.4091	192	1
5_MACS_peak_36698_lociStitched	chr9	137656488	137679946	5	22749	37591.445	1951.7056	193	1
10_MACS_peak_17977_lociStitched	chr19	5316425	5340112	10	22746	36428.2373	2882.7079	194	1
9_MACS_peak_2445_lociStitched	chr1	17938973	17962299	9	22681	31975.2808	2204.307	195	1
3_MACS_peak_18866_lociStitched	chr19	13104223	13127362	3	22662	49225.9086	2455.0479	196	1
3_MACS_peak_11762_lociStitched	chr16	1567356	1590577	3	22604	45847.5424	2391.763	197	1
16_MACS_peak_33835_lociStitched	chr8	1891334	1916514	16	22380	33758.826	2618.72	198	1
9_MACS_peak_18326_lociStitched	chr19	7640007	7663868	9	22368	35662.6506	3314.2929	199	1
6_MACS_peak_14298_lociStitched	chr17	7959207	7983009	6	22360	37045.4328	3479.8524	200	1
2_MACS_peak_36527_lociStitched	chr9	137105601	137128074	2	22357	40028.9076	1779.8616	201	1
10_MACS_peak_20176_lociStitched	chr19	36338172	36361360	10	22321	31440.6092	1982.574	202	1
5_MACS_peak_25174_lociStitched	chr21	43721156	43743673	5	22306	44016.2316	3762.5907	203	1
5_MACS_peak_37145_lociStitched	chr9	138963859	138986703	5	22260	45169.4412	2019.4096	204	1
13_MACS_peak_2821_lociStitched	chr1	18954028	18977769	13	22213	33572.1481	1740.2153	205	1
7_MACS_peak_26848_lociStitched	chr22	42792714	42816041	7	22146	36695.7037	2391.0175	206	1
6_MACS_peak_24933_lociStitched	chr20	62726708	62750145	6	22140	48713.8045	2498.3842	207	1
7_MACS_peak_25497_lociStitched	chr21	46439039	46462068	7	22126	45749.4114	3348.4166	208	1
4_MACS_peak_17862_lociStitched	chr19	4602146	4624593	4	22082	44456.2835	3685.7974	209	1
4_MACS_peak_10899_lociStitched	chr15	42151824	42174249	4	22080	41064.66	2551.965	210	1
8_MACS_peak_31744_lociStitched	chr7	1455853	1478837	8	22042	34832.252	1870.8976	211	1
11_MACS_peak_26417_lociStitched	chr22	36969723	36992947	11	22013	30945.98	2819.3936	212	1
6_MACS_peak_3256_lociStitched	chr1	21881524	21904495	6	21963	34426.6377	2519.9187	213	1
12_MACS_peak_17610_lociStitched	chr19	3103671	3127782	12	21949	31889.2086	3069.3303	214	1
10_MACS_peak_36672_lociStitched	chr9	137580079	137603788	10	21940	32744.4999	2010.5232	215	1
4_MACS_peak_32850_lociStitched	chr7	150939914	150961800	4	21726	60917.4924	4112.3794	216	1
8_MACS_peak_1810_lociStitched	chr1	10957130	10979649	8	21593	34366.2459	2211.3658	217	1
14_MACS_peak_7305_lociStitched	chr11	61349067	61372691	14	21493	30307.2296	2697.8608	218	1
1_MACS_peak_22885_lociStitched	chr2	220341536	220362941	1	21406	48465.201	2628.534	219	1
16_MACS_peak_18301_lociStitched	chr19	7543173	7566544	16	21403	29360.9873	3648.2131	220	1
4_MACS_peak_6829_lociStitched	chr11	1671275	1692922	4	21349	43296.1647	2340.0407	221	1
8_MACS_peak_28452_lociStitched	chr3	50415998	50438339	8	21333	30873.0279	2403.8916	222	1
8_MACS_peak_20718_lociStitched	chr19	42488487	42510640	8	21287	35949.8884	2204.2235	223	1
10_MACS_peak_2418_lociStitched	chr1	17883032	17905283	10	21267	28979.7024	2058.2175	224	1
9_MACS_peak_14466_lociStitched	chr17	18977916	18999988	9	21175	24782.4416	2745.7568	225	1
5_MACS_peak_11350_lociStitched	chr15	78180254	78202017	5	21167	36111.3459	2790.0166	226	1
3_MACS_peak_1741_lociStitched	chr1	10699530	10721084	3	21144	41900.976	2008.8328	227	1
9_MACS_peak_28498_lociStitched	chr3	50534419	50557359	9	21115	33230.884	2505.048	228	1
12_MACS_peak_37490_lociStitched	chrX	152790244	152814030	12	21108	28576.5004	1505.6538	229	1
10_MACS_peak_18469_lociStitched	chr19	8175790	8198644	10	21101	32340.6954	2982.447	230	1
9_MACS_peak_36438_lociStitched	chr9	136511302	136533471	9	21088	32535.2244	1675.9764	231	1
10_MACS_peak_26684_lociStitched	chr22	38835350	38857565	10	21064	30099.1035	2645.8065	232	1
8_MACS_peak_6958_lociStitched	chr11	2105598	2127473	8	21025	33355	1944.6875	233	1
5_MACS_peak_5923_lociStitched	chr10	102493959	102515621	5	20968	50394.4768	2170.5324	234	1
6_MACS_peak_11688_lociStitched	chr16	1021233	1043378	6	20934	38208.983	1607.727	235	1
4_MACS_peak_36449_lociStitched	chr9	136540658	136561873	4	20931	33793.3735	1775.6955	236	1
8_MACS_peak_27542_lociStitched	chr22	45905183	45926943	8	20833	30555.392	1908.352	237	1
8_MACS_peak_13791_lociStitched	chr17	1193094	1214917	8	20793	30999.5715	3336.7367	238	1
7_MACS_peak_15453_lociStitched	chr17	47569953	47591772	7	20757	39368.0217	2273.5398	239	1
6_MACS_peak_20710_lociStitched	chr19	42424348	42445923	6	20727	39255.7125	2450.92	240	1
9_MACS_peak_35863_lociStitched	chr9	133249637	133271455	9	20714	31463.7378	1686.5314	241	1
6_MACS_peak_9651_lociStitched	chr12	54413038	54434351	6	20554	35266.6211	2438.2072	242	1
12_MACS_peak_2870_lociStitched	chr1	19034303	19057115	12	20523	29826.69	1980.0816	243	1
8_MACS_peak_35945_lociStitched	chr9	133524178	133545677	8	20508	39786.0494	2229.4463	244	1
3_MACS_peak_2086_lociStitched	chr1	16339090	16359654	3	20455	44377.112	2360.7472	245	1
6_MACS_peak_27133_lociStitched	chr22	44668411	44689981	6	20421	33608.217	2122.488	246	1
11_MACS_peak_13643_lociStitched	chr17	743108	764737	11	20415	29633.8929	2123.9678	247	1
8_MACS_peak_253_lociStitched	chr1	2094486	2116153	8	20376	32576.3345	1811.3612	248	1
5_MACS_peak_4853_lociStitched	chr1	156657630	156678521	5	20332	53301.2974	3860.6568	249	1
17_MACS_peak_32417_lociStitched	chr7	100381843	100405520	17	20331	31147.0935	2287.1982	250	1
8_MACS_peak_7007_lociStitched	chr11	2305812	2326694	8	20325	32521.6268	2077.759	251	1
3_MACS_peak_25469_lociStitched	chr21	46114589	46135196	3	20295	40723.5534	2439.8688	252	1
6_MACS_peak_27153_lociStitched	chr22	44742056	44763404	6	20281	28418.4576	2207.3832	253	1
5_MACS_peak_91_lociStitched	chr1	1128942	1150124	5	20232	45551.891	1844.9522	254	1
7_MACS_peak_16844_lociStitched	chr17	77969352	77990297	7	20223	30257.147	2169.902	255	1
6_MACS_peak_36383_lociStitched	chr9	136344801	136366159	6	20206	39021.066	1922.22	256	1
9_MACS_peak_37131_lociStitched	chr9	138935379	138955963	9	20201	31283.5632	1628.1944	257	1
6_MACS_peak_26817_lociStitched	chr22	42696555	42717074	6	20175	33400.8282	1936.9936	258	1
11_MACS_peak_16686_lociStitched	chr17	77524732	77546264	11	20159	28056.196	1759.1644	259	1
9_MACS_peak_266_lociStitched	chr1	2136724	2158725	9	20153	34160.9527	2200.1	260	1
