REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
6_MACS_peak_25544_lociStitched	chr21	46717543	46755083	6	36808	94991.216	5169.258	39		LOC642852,POFUT2	LOC642852	LOC642852	1.5292000000000001	39	1
5_MACS_peak_17857_lociStitched	chr19	4557201	4601641	5	43642	95874.856	7337.044	40	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1	SEMA6B	PLIN5	2.1831	40	1
9_MACS_peak_17822_lociStitched	chr19	4183669	4239187	9	53798	97267.536	9493.578	41	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	SHD	1.7556	41	1
11_MACS_peak_11724_lociStitched	chr16	1245506	1286645	11	39723	90678.5838	3636.6876	42	CACNA1H,TPSG1,TPSB2	TPSAB1,TPSD1	TPSG1	TPSG1	2.7114	42	1
2_MACS_peak_32817_lociStitched	chr7	149498296	149531548	2	33086	91765.5444	5097.5316	43	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	1.0061	43	1
10_MACS_peak_26582_lociStitched	chr22	37711563	37763770	10	50834	92234.1069	5638.356	44		CYTH4	CYTH4	CYTH4	0.1454	44	1
3_MACS_peak_17476_lociStitched	chr19	1754563	1790100	3	35286	91202.1568	5103.1132	45	ONECUT3,ATP8B3	LOC100288123,MIR1909	ONECUT3	ONECUT3	2.4724	45	1
12_MACS_peak_7360_lociStitched	chr11	61442499	61499334	12	54678	91726.0065	5990.409	46	DAGLA	C11orf9,DKFZP434K028	DAGLA	DKFZP434K028	1.5993	46	1
4_MACS_peak_25570_lociStitched	chr21	46882873	46919987	4	36174	89912.3764	5311.0134	47	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	2.69	47	1
11_MACS_peak_9638_lociStitched	chr12	54356829	54405734	11	46825	89686.8795	5413.7835	48	HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOTAIR	HOXC13,HOXC12,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	HOXC12	2.0274	48	1
3_MACS_peak_25824_lociStitched	chr22	20152350	20193068	3	40428	87832.7978	3872.2818	49		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	1.2879	49	1
16_MACS_peak_21494_lociStitched	chr19	49520944	49575079	16	51801	89474.328	5895.3015	50	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	CGB5	1.7581	50	1
3_MACS_peak_21660_lociStitched	chr19	50594162	50643160	3	48980	98814.2666	15713.6586	51	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	1.8959000000000001	51	1
13_MACS_peak_34424_lociStitched	chr8	142359397	142412509	13	51655	87326.7504	5114.6856	52	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.8699	52	1
2_MACS_peak_17467_lociStitched	chr19	1672555	1703187	2	30426	87031.6384	5366.7264	53		TCF3	TCF3	NONE	NONE	53	1
6_MACS_peak_11718_lociStitched	chr16	1204082	1244977	6	40043	83875.645	3377.927	54	CACNA1H	TPSAB1,TPSG1,TPSB2	CACNA1H	TPSG1	2.7114	54	1
12_MACS_peak_192_lociStitched	chr1	1934571	1985687	12	49212	85465.952	5080.9304	55	GABRD,PRKCZ,KIAA1751	PRKCZ	GABRD	GABRD	1.7906	55	1
17_MACS_peak_35735_lociStitched	chr9	132426935	132478745	17	49088	83061.792	4958.217	56	PRRX2	METTL11A,C9orf50,ASB6,PTGES	PRRX2	PTGES	1.5584	56	1
12_MACS_peak_37114_lociStitched	chr9	138870369	138918511	12	46645	82188.0224	4241.3102	57	NACC2	UBAC1	UBAC1	UBAC1	0.1067	57	1
7_MACS_peak_6980_lociStitched	chr11	2163413	2208245	7	43352	81585.2736	3730.0224	58	IGF2AS,INS-IGF2,IGF2,INS,TH	MIR483,IGF2	INS-IGF2	MIR483	1.6439000000000001	58	1
4_MACS_peak_24812_lociStitched	chr20	62022248	62062230	4	39221	80947.5572	3246.5384	59	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.7264	59	1
7_MACS_peak_25827_lociStitched	chr22	20197223	20237948	7	39559	81808.38	4158.0225	60	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	1.2879	60	1
7_MACS_peak_34396_lociStitched	chr8	142012933	142058059	7	43940	82995.7392	5821.254	61		PTK2	PTK2	PTK2	0.0719	61	1
6_MACS_peak_17006_lociStitched	chr17	79326989	79367597	6	39003	80935.8048	3821.2128	62		BAHCC1,C17orf55,TMEM105	BAHCC1	BAHCC1	2.2759	62	1
5_MACS_peak_35542_lociStitched	chr9	129376644	129416465	5	39669	80518.062	4002.0105	63	LMX1B		LMX1B	LMX1B	1.6001999999999998	63	1
2_MACS_peak_82_lociStitched	chr1	1090766	1122030	2	30978	79219.8496	2738.7264	64	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR429	MIR429	2.6203999999999996	64	1
11_MACS_peak_24667_lociStitched	chr20	61169810	61213371	11	42323	80043.3375	4434.5098	65		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	MIR1-1	2.8862	65	1
11_MACS_peak_36391_lociStitched	chr9	136377440	136422666	11	43570	79986.7036	4468.3288	66	ADAMTSL2,TMEM8C	SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.6895	66	1
1_MACS_peak_31_lociStitched	chr1	845458	869473	1	24016	78312.915	3047.5035	67	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	3.0317000000000003	67	1
7_MACS_peak_17454_lociStitched	chr19	1514118	1549473	7	34182	80103.8235	5338.605	68	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	PLK5P	2.4832	68	1
4_MACS_peak_25562_lociStitched	chr21	46825633	46856613	4	30726	77793.878	3649.444	69	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	2.69	69	1
5_MACS_peak_11694_lociStitched	chr16	1044496	1082545	5	36962	76486.0998	3359.7267	70		SOX8,SSTR5,LMF1,LOC146336	SOX8	SOX8	1.7844	70	1
5_MACS_peak_28941_lociStitched	chr4	3470949	3499880	5	28672	75579.3444	2826.5587	71	DOK7	HGFAC,LRPAP1	DOK7	DOK7	2.261	71	1
10_MACS_peak_6689_lociStitched	chr11	1025432	1063194	10	36344	76086.6538	4059.415	72	MUC6	MUC2	MUC6	MUC2	1.3557000000000001	72	1
3_MACS_peak_31060_lociStitched	chr6	31958485	31985238	3	26630	75710.99	4069.1313	73	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	3.2529000000000003	73	1
5_MACS_peak_25551_lociStitched	chr21	46760887	46795344	5	33863	76036.2619	4537.9869	74		COL18A1,NCRNA00175	COL18A1	NCRNA00175	2.69	74	1
8_MACS_peak_26549_lociStitched	chr22	37469396	37514511	8	42986	76555.6435	5301.0125	75	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.6073	75	1
2_MACS_peak_24665_lociStitched	chr20	61141427	61168797	2	27034	72667.35	2457.826	76	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR1-1	MIR1-1	2.8862	76	1
8_MACS_peak_16983_lociStitched	chr17	79112518	79147262	8	33795	73243.8264	3554.3112	77	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	MIR1250	2.267	77	1
10_MACS_peak_37160_lociStitched	chr9	139058217	139096948	10	36659	72643.8636	3237.9116	78	LHX3	C9orf69,QSOX2	LHX3	LHX3	1.3582	78	1
4_MACS_peak_9713_lociStitched	chr12	57585699	57619916	4	33860	73754.7435	4547.4393	79	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	NXPH4	NXPH4	1.5331000000000001	79	1
3_MACS_peak_32814_lociStitched	chr7	149470060	149496097	3	26002	73364.4549	4387.2345	80	SSPO,ZNF467	ZNF862	SSPO	SSPO	2.3247	80	1
6_MACS_peak_1750_lociStitched	chr1	10755007	10791629	6	36087	71599.6722	3497.401	81	CASZ1		CASZ1	CASZ1	1.6681	81	1
9_MACS_peak_25248_lociStitched	chr21	44091153	44131530	9	38968	73595.1579	6080.7762	82	PDE9A		PDE9A	PDE9A	1.8062	82	1
5_MACS_peak_37170_lociStitched	chr9	139138377	139167006	5	28035	70221.2112	3034.674	83		LHX3,QSOX2	QSOX2	LHX3	1.3582	83	1
8_MACS_peak_19565_lociStitched	chr19	18070178	18115720	8	44761	71974.5768	4809.2352	84	KCNN1,ARRDC2	CCDC124,ARRDC2	ARRDC2	ARRDC2	1.3123	84	1
5_MACS_peak_24682_lociStitched	chr20	61315711	61351643	5	35338	70340.4832	3798.0124	85	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.6576	85	1
6_MACS_peak_37154_lociStitched	chr9	139018532	139054513	6	35140	69500.8996	3169.9261	86		NACC2,C9orf69,LHX3	C9orf69	LHX3	1.3582	86	1
19_MACS_peak_9200_lociStitched	chr12	3359298	3409098	19	47724	71114.4	4940.16	87	TSPAN9		TSPAN9	TSPAN9	0.8644000000000001	87	1
2_MACS_peak_1154_lociStitched	chr1	6501292	6529921	2	28423	69173.3898	3017.4966	88	ESPN,TNFRSF25,PLEKHG5	ACOT7,HES2,MIR4252	TNFRSF25	MIR4252	2.2328	88	1
6_MACS_peak_1744_lociStitched	chr1	10722251	10754179	6	31408	68501.524	2908.6408	89	CASZ1		CASZ1	CASZ1	1.6681	89	1
4_MACS_peak_640_lociStitched	chr1	3505044	3536035	4	30890	67891.9837	2841.8747	90	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MIR551A	1.9368	90	1
6_MACS_peak_17012_lociStitched	chr17	79368136	79399268	6	30154	66964.932	2755.182	91	BAHCC1	MIR3186	BAHCC1	MIR3186	2.6953	91	1
10_MACS_peak_28430_lociStitched	chr3	50219273	50258337	10	38055	67748.6952	4492.36	92	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	SLC38A3	1.6261999999999999	92	1
10_MACS_peak_17405_lociStitched	chr19	818713	854298	10	32887	67778.7495	4978.3415	93	AZU1,PRTN3,ELANE,LPPR3	PTBP1,MIR3187,CFD,MED16	PRTN3	PRTN3	1.9756	93	1
12_MACS_peak_29838_lociStitched	chr4	8586832	8630941	12	41633	65898.846	3599.2944	94	GPR78,CPZ		CPZ	CPZ	1.4721	94	1
8_MACS_peak_36093_lociStitched	chr9	135053293	135094423	8	40405	66223.413	4001.949	95	NTNG2		NTNG2	NTNG2	1.4551999999999998	95	1
4_MACS_peak_17832_lociStitched	chr19	4275441	4310595	4	34657	66567.6144	4858.2828	96	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	TMIGD2	1.6988	96	1
9_MACS_peak_11735_lociStitched	chr16	1287335	1320540	9	31126	65078.4795	3403.5125	97	TPSAB1,TPSD1	UBE2I,TPSG1,TPSB2	TPSD1	TPSG1	2.7114	97	1
8_MACS_peak_9976_lociStitched	chr13	113627503	113664316	8	36077	65140.6035	3810.1455	98	MCF2L	LOC100289410	MCF2L	MCF2L	1.2752000000000001	98	1
9_MACS_peak_32841_lociStitched	chr7	150868695	150905495	9	34997	67090.08	6112.48	99	ASB10,ABCF2	CHPF2,MIR671,GBX1,SMARCD3	ASB10	SMARCD3	1.6221999999999999	99	1
3_MACS_peak_28900_lociStitched	chr4	1769674	1794909	3	25133	63332.2795	2546.2115	100		TACC3,FGFR3,TMEM129	FGFR3	FGFR3	1.4047999999999998	100	1
3_MACS_peak_7053_lociStitched	chr11	2426278	2449488	3	22970	63059.249	2404.556	101	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	TRPM5	2.1337	101	1
6_MACS_peak_11700_lociStitched	chr16	1091622	1125909	6	33150	63067.5078	2633.2416	102	SSTR5,LOC146336	SSTR5,C1QTNF8	SSTR5	SSTR5	1.4834	102	1
6_MACS_peak_37251_lociStitched	chr9	139923766	139950801	6	26436	63180.795	2762.977	103	C9orf139,FUT7,NPDC1,ENTPD2	LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,C9orf140,LOC100289341	NPDC1	NPDC1	2.3661	103	1
7_MACS_peak_16824_lociStitched	chr17	77897856	77931439	7	32544	62393.8557	3220.6097	104	TBC1D16		TBC1D16	TBC1D16	1.3672	104	1
5_MACS_peak_25416_lociStitched	chr21	45910128	45937620	5	27023	62791.728	4085.3112	105	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	C21orf90	1.424	105	1
8_MACS_peak_37211_lociStitched	chr9	139629378	139656440	8	26154	61189.8882	2868.572	106	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	AGPAT2	2.5227999999999997	106	1
7_MACS_peak_35176_lociStitched	chr8	144940060	144969640	7	28811	60286.998	3241.968	107	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	EPPK1	1.2232	107	1
4_MACS_peak_32850_lociStitched	chr7	150939914	150961800	4	21726	60917.4924	4112.3794	108	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.6221999999999999	108	1
8_MACS_peak_14838_lociStitched	chr17	36716121	36746824	8	29419	60122.6146	3678.2194	109	SRCIN1		SRCIN1	SRCIN1	1.2771	109	1
4_MACS_peak_16995_lociStitched	chr17	79274194	79301461	4	26814	59123.0361	2721.2466	110	C17orf55,TMEM105	SLC38A10	C17orf55	C17orf55	2.1466000000000003	110	1
7_MACS_peak_18135_lociStitched	chr19	5991261	6027745	7	35376	62157.7908	5786.3624	111	RFX2	RANBP3	RANBP3	NONE	NONE	111	1
8_MACS_peak_16555_lociStitched	chr17	77015728	77047528	8	30466	59179.8	3911.4	112	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	C1QTNF1	1.6017	112	1
6_MACS_peak_16588_lociStitched	chr17	77202153	77238020	6	34532	58362.7824	3095.3221	113	RBFOX3		ENGASE	ENGASE	0.9343999999999999	113	1
4_MACS_peak_28693_lociStitched	chr3	184274876	184304328	4	28554	60459.0656	5254.2368	114	EPHB3		EPHB3	EPHB3	1.8285999999999998	114	1
1_MACS_peak_37438_lociStitched	chrX	19470145	19470493	1	349	55137.12	66.1896	115	MAP3K15		MAP3K15	MAP3K15	0.4264	115	1
4_MACS_peak_25790_lociStitched	chr22	19718922	19747745	4	28619	57124.3037	2960.1221	116	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	GP1BB	2.3145000000000002	116	1
14_MACS_peak_3328_lociStitched	chr1	22558258	22597953	14	38016	57867.371	4164.0055	117			WNT4	WNT4	NONE	117	1
2_MACS_peak_17805_lociStitched	chr19	3924148	3952923	2	28674	57034.9275	3737.8725	118	ATCAY,ITGB1BP3	MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ITGB1BP3	1.8661	118	1
2_MACS_peak_1152_lociStitched	chr1	6475334	6500586	2	25115	56114.9944	2838.3248	119	ESPN,HES2,MIR4252	ACOT7,TNFRSF25,PLEKHG5	MIR4252	MIR4252	2.2328	119	1
4_MACS_peak_30689_lociStitched	chr5	176269854	176297764	4	27635	55755.807	3145.457	120	UNC5A	HK3	HK3	HK3	0.9551000000000001	120	1
8_MACS_peak_6821_lociStitched	chr11	1636231	1670751	8	33436	55432.216	4031.936	121	KRTAP5-5,MOB2,KRTAP5-4	LOC338651,FAM99A,KRTAP5-6,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,FAM99B	KRTAP5-5	FAM99A	1.8777	121	1
5_MACS_peak_13831_lociStitched	chr17	1828740	1856199	5	26695	54107.9595	2712.9492	122	RTN4RL1		RTN4RL1	RTN4RL1	1.4627000000000001	122	1
4_MACS_peak_17817_lociStitched	chr19	4140449	4167335	4	26701	55127.0544	4218.4134	123	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.6689	123	1
8_MACS_peak_22365_lociStitched	chr2	26783635	26815139	8	30725	55065.8416	4234.1376	124	C2orf70,CIB4	OTOF	C2orf70	C2orf70	1.5766	124	1
4_MACS_peak_37102_lociStitched	chr9	138661224	138687009	4	25720	52660.7055	2140.155	125	KCNT1		KCNT1	KCNT1	1.4714	125	1
7_MACS_peak_7286_lociStitched	chr11	61284444	61313671	7	28352	53573.091	3416.6363	126	SYT7	C11orf66,LRRC10B	LRRC10B	LRRC10B	1.1196000000000002	126	1
10_MACS_peak_35798_lociStitched	chr9	132935058	132966338	10	29736	53279.224	3353.216	127	NCS1		NCS1	NCS1	1.3448	127	1
5_MACS_peak_4853_lociStitched	chr1	156657630	156678521	5	20332	53301.2974	3860.6568	128	CRABP2	BCAN,C1orf66,NES,ISG20L2,MRPL24,HDGF	CRABP2	CRABP2	1.5806	128	1
14_MACS_peak_31066_lociStitched	chr6	32035099	32068892	14	30987	53423.3537	4099.0909	129	TNXB	ATF6B,FKBPL	TNXB	TNXB	1.5513	129	1
2_MACS_peak_32474_lociStitched	chr7	100633445	100649444	2	16000	52551.9153	3575.7765	130	MUC12	MUC17	MUC17	MUC17	0.5321	130	1
16_MACS_peak_15996_lociStitched	chr17	72333550	72371178	16	34782	52562.5532	3984.8052	131	KIF19,GPR142,BTBD17		BTBD17	BTBD17	1.2370999999999999	131	1
6_MACS_peak_35982_lociStitched	chr9	133848036	133878012	6	29331	51939.4152	3390.2856	132		LAMC3,FIBCD1	LAMC3	FIBCD1	2.0679	132	1
5_MACS_peak_5923_lociStitched	chr10	102493959	102515621	5	20968	50394.4768	2170.5324	133	PAX2		PAX2	PAX2	0.9377999999999999	133	1
10_MACS_peak_37078_lociStitched	chr9	138572304	138605893	10	31887	51078.7923	2942.3964	134	KCNT1,SOHLH1	LCN9,GLT6D1	SOHLH1	SOHLH1	1.6431	134	1
10_MACS_peak_36083_lociStitched	chr9	135020427	135052739	10	31052	51498.8656	3502.6208	135	NTNG2		NTNG2	NTNG2	1.4551999999999998	135	1
7_MACS_peak_21172_lociStitched	chr19	47901845	47929930	7	27760	51058.53	3125.8605	136	MEIS3	DHX34,SLC8A2	MEIS3	MEIS3	1.7176	136	1
4_MACS_peak_21588_lociStitched	chr19	49916327	49945950	4	29031	50652.3677	2790.4866	137	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.7511	137	1
4_MACS_peak_3264_lociStitched	chr1	21909148	21933864	4	24446	50561.5212	2780.55	138	RAP1GAP		RAP1GAP	RAP1GAP	1.091	138	1
4_MACS_peak_22835_lociStitched	chr2	219845461	219871425	4	25449	50801.1624	3100.1016	139	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108	CRYBA2	CRYBA2	1.6603	139	1
11_MACS_peak_1767_lociStitched	chr1	10853780	10886449	11	30841	51110.6505	3430.245	140	CASZ1		CASZ1	CASZ1	1.6681	140	1
3_MACS_peak_16597_lociStitched	chr17	77241812	77270453	3	28335	50270.6832	2763.8565	141	RBFOX3		ENGASE	ENGASE	0.9343999999999999	141	1
8_MACS_peak_6732_lociStitched	chr11	1237075	1267422	8	29369	49860.121	2543.0786	142	MUC5B		MUC5B	MUC5B	1.2048	142	1
