REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
7_MACS_peak_16824_lociStitched	chr17	77897856	77931439	7	32544	62393.8557	3220.6097	100	TBC1D16		TBC1D16	TBC1D16	1.3672	100	1
9_MACS_peak_11735_lociStitched	chr16	1287335	1320540	9	31126	65078.4795	3403.5125	101	TPSAB1,TPSD1	UBE2I,TPSG1,TPSB2	TPSD1	TPSG1	2.7114	101	1
5_MACS_peak_37170_lociStitched	chr9	139138377	139167006	5	28035	70221.2112	3034.674	102		LHX3,QSOX2	QSOX2	LHX3	1.3582	102	1
2_MACS_peak_1154_lociStitched	chr1	6501292	6529921	2	28423	69173.3898	3017.4966	103	ESPN,TNFRSF25,PLEKHG5	ACOT7,HES2,MIR4252	TNFRSF25	MIR4252	2.2328	103	1
3_MACS_peak_32814_lociStitched	chr7	149470060	149496097	3	26002	73364.4549	4387.2345	104	SSPO,ZNF467	ZNF862	SSPO	SSPO	2.3247	104	1
16_MACS_peak_15996_lociStitched	chr17	72333550	72371178	16	34782	52562.5532	3984.8052	105	KIF19,GPR142,BTBD17		BTBD17	BTBD17	1.2370999999999999	105	1
14_MACS_peak_1911_lociStitched	chr1	11487439	11523927	14	35228	50583.3144	3969.8944	106		PTCHD2	PTCHD2	PTCHD2	0.6162000000000001	106	1
8_MACS_peak_6821_lociStitched	chr11	1636231	1670751	8	33436	55432.216	4031.936	107	KRTAP5-5,MOB2,KRTAP5-4	LOC338651,FAM99A,KRTAP5-6,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,FAM99B	KRTAP5-5	FAM99A	1.8777	107	1
7_MACS_peak_5299_lociStitched	chr1	228744106	228782559	7	37817	52992.0793	18861.1965	108	DUSP5P		DUSP5P	DUSP5P	0.4677	108	1
8_MACS_peak_16555_lociStitched	chr17	77015728	77047528	8	30466	59179.8	3911.4	109	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	C1QTNF1	1.6017	109	1
8_MACS_peak_14838_lociStitched	chr17	36716121	36746824	8	29419	60122.6146	3678.2194	110	SRCIN1		SRCIN1	SRCIN1	1.2771	110	1
7_MACS_peak_35176_lociStitched	chr8	144940060	144969640	7	28811	60286.998	3241.968	111	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	EPPK1	1.2232	111	1
6_MACS_peak_37251_lociStitched	chr9	139923766	139950801	6	26436	63180.795	2762.977	112	C9orf139,FUT7,NPDC1,ENTPD2	LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,C9orf140,LOC100289341	NPDC1	NPDC1	2.3661	112	1
10_MACS_peak_37078_lociStitched	chr9	138572304	138605893	10	31887	51078.7923	2942.3964	113	KCNT1,SOHLH1	LCN9,GLT6D1	SOHLH1	SOHLH1	1.6431	113	1
8_MACS_peak_22365_lociStitched	chr2	26783635	26815139	8	30725	55065.8416	4234.1376	114	C2orf70,CIB4	OTOF	C2orf70	C2orf70	1.5766	114	1
5_MACS_peak_25416_lociStitched	chr21	45910128	45937620	5	27023	62791.728	4085.3112	115	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	C21orf90	1.424	115	1
4_MACS_peak_28693_lociStitched	chr3	184274876	184304328	4	28554	60459.0656	5254.2368	116	EPHB3		EPHB3	EPHB3	1.8285999999999998	116	1
14_MACS_peak_31066_lociStitched	chr6	32035099	32068892	14	30987	53423.3537	4099.0909	117	TNXB	ATF6B,FKBPL	TNXB	TNXB	1.5513	117	1
4_MACS_peak_25790_lociStitched	chr22	19718922	19747745	4	28619	57124.3037	2960.1221	118	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	GP1BB	2.3145000000000002	118	1
3_MACS_peak_28900_lociStitched	chr4	1769674	1794909	3	25133	63332.2795	2546.2115	119		TACC3,FGFR3,TMEM129	FGFR3	FGFR3	1.4047999999999998	119	1
10_MACS_peak_36083_lociStitched	chr9	135020427	135052739	10	31052	51498.8656	3502.6208	120	NTNG2		NTNG2	NTNG2	1.4551999999999998	120	1
2_MACS_peak_17805_lociStitched	chr19	3924148	3952923	2	28674	57034.9275	3737.8725	121	ATCAY,ITGB1BP3	MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ITGB1BP3	1.8661	121	1
8_MACS_peak_37211_lociStitched	chr9	139629378	139656440	8	26154	61189.8882	2868.572	122	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	AGPAT2	2.5227999999999997	122	1
11_MACS_peak_1767_lociStitched	chr1	10853780	10886449	11	30841	51110.6505	3430.245	123	CASZ1		CASZ1	CASZ1	1.6681	123	1
4_MACS_peak_16995_lociStitched	chr17	79274194	79301461	4	26814	59123.0361	2721.2466	124	C17orf55,TMEM105	SLC38A10	C17orf55	C17orf55	2.1466000000000003	124	1
11_MACS_peak_17872_lociStitched	chr19	4734071	4766616	11	31150	51746.55	5402.47	125		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.7521	125	1
10_MACS_peak_35798_lociStitched	chr9	132935058	132966338	10	29736	53279.224	3353.216	126	NCS1		NCS1	NCS1	1.3448	126	1
4_MACS_peak_30689_lociStitched	chr5	176269854	176297764	4	27635	55755.807	3145.457	127	UNC5A	HK3	HK3	HK3	0.9551000000000001	127	1
6_MACS_peak_35982_lociStitched	chr9	133848036	133878012	6	29331	51939.4152	3390.2856	128		LAMC3,FIBCD1	LAMC3	FIBCD1	2.0679	128	1
3_MACS_peak_7053_lociStitched	chr11	2426278	2449488	3	22970	63059.249	2404.556	129	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	TRPM5	2.1337	129	1
7_MACS_peak_7286_lociStitched	chr11	61284444	61313671	7	28352	53573.091	3416.6363	130	SYT7	C11orf66,LRRC10B	LRRC10B	LRRC10B	1.1196000000000002	130	1
8_MACS_peak_6732_lociStitched	chr11	1237075	1267422	8	29369	49860.121	2543.0786	131	MUC5B		MUC5B	MUC5B	1.2048	131	1
11_MACS_peak_28461_lociStitched	chr3	50445054	50477873	11	31488	44712.6056	3583.8348	132	CACNA2D2	TMEM115	TMEM115	NONE	NONE	132	1
4_MACS_peak_21588_lociStitched	chr19	49916327	49945950	4	29031	50652.3677	2790.4866	133	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.7511	133	1
5_MACS_peak_13831_lociStitched	chr17	1828740	1856199	5	26695	54107.9595	2712.9492	134	RTN4RL1		RTN4RL1	RTN4RL1	1.4627000000000001	134	1
3_MACS_peak_16597_lociStitched	chr17	77241812	77270453	3	28335	50270.6832	2763.8565	135	RBFOX3		ENGASE	ENGASE	0.9343999999999999	135	1
4_MACS_peak_17817_lociStitched	chr19	4140449	4167335	4	26701	55127.0544	4218.4134	136	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.6689	136	1
7_MACS_peak_21172_lociStitched	chr19	47901845	47929930	7	27760	51058.53	3125.8605	137	MEIS3	DHX34,SLC8A2	MEIS3	MEIS3	1.7176	137	1
7_MACS_peak_36265_lociStitched	chr9	135852485	135881343	7	28657	48761.3626	3151.2936	138	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	1.4968	138	1
2_MACS_peak_1152_lociStitched	chr1	6475334	6500586	2	25115	56114.9944	2838.3248	139	ESPN,HES2,MIR4252	ACOT7,TNFRSF25,PLEKHG5	MIR4252	MIR4252	2.2328	139	1
4_MACS_peak_37102_lociStitched	chr9	138661224	138687009	4	25720	52660.7055	2140.155	140	KCNT1		KCNT1	KCNT1	1.4714	140	1
7_MACS_peak_34873_lociStitched	chr8	143643975	143673794	7	28927	45068.4366	2594.253	141		ARC	ARC	ARC	1.3409	141	1
8_MACS_peak_591_lociStitched	chr1	3296865	3326001	8	28525	45589.0992	2246.3856	142	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	1.5086	142	1
4_MACS_peak_32850_lociStitched	chr7	150939914	150961800	4	21726	60917.4924	4112.3794	143	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.6221999999999999	143	1
