GENE_ID	locusLine	bin_1_09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam
NM_001184892	chr1(.):154950769-154966488	0.2894
NM_018655	chr1(.):154961061-154971791	0.2355
NM_001143687	chr1(.):155001281-155028406	0.3062
NR_024163	chr1(.):154942117-154956725	1.7751
NM_144622	chr1(.):154986002-155011257	0.3892
NM_138300	chr1(.):154924501-154939258	3.217
NR_036212	chr1(.):154943168-154953259	2.1655
NM_006912	chr1(.):155862600-155886177	0.1799
NM_001162384	chr1(.):155911629-155953336	2.2309
NM_181885	chr1(.):155906479-155917625	1.983
NM_004723	chr1(.):155911629-155952966	2.239
NM_014949	chr1(.):155877835-155909188	0.3685
NR_002974	chr1(.):155884699-155894833	0.075
NR_003005	chr1(.):155890748-155900877	0.092
NM_020131	chr1(.):156000091-156028516	0.3186
NM_001093725	chr1(.):156036803-156056789	0.1105
NM_020387	chr1(.):156025965-156045295	0.0868
NM_001145264	chr1(.):156019516-156033301	0.5309
NM_003145	chr1(.):155973838-155995758	0.268
NM_014655	chr1(.):156158729-156187587	0.5488
NM_007221	chr1(.):156177783-156214833	0.6992
NM_022367	chr1(.):156118321-156152542	2.4512
NM_001193302	chr1(.):156118368-156152542	2.4517
NM_001193301	chr1(.):156114734-156152542	2.4395
NM_005920	chr1(.):156428518-156475529	1.2797
NM_198427	chr1(.):156606739-156628264	0.1266
NM_021817	chr1(.):156584085-156600517	0.124
NM_021948	chr1(.):156606739-156634320	0.9414
NM_004494	chr1(.):156706898-156726543	1.7329
NM_001126051	chr1(.):156706898-156727024	1.6959
NM_001126050	chr1(.):156706898-156727240	1.6784
NM_030980	chr1(.):156687412-156702705	0.3726
NM_001878	chr1(.):156664407-156680375	0.1043
NM_001142560	chr1(.):156693262-156711752	0.6085
NM_145729	chr1(.):156702093-156715923	0.5333
NM_006617	chr1(.):156633555-156652189	0.453
NM_004833	chr1(.):159027274-159051647	1.4674
NM_001778	chr1(.):160643535-160686585	2.38
NM_003037	chr1(.):160574890-160622081	0.5309
NM_021181	chr1(.):160704076-160729601	1.2679
NM_001077470	chr1(.):161194455-161213000	0.4785
NM_001039711	chr1(.):161085768-161107478	0.7943
NM_016406	chr1(.):161118533-161133646	1.4441
NM_004550	chr1(.):161164104-161189184	0.8154
NM_000309	chr1(.):161131180-161146010	0.7236
NM_001643	chr1(.):161187082-161198418	1.0691
NM_003779	chr1(.):161136100-161152314	1.3984
NM_012475	chr1(.):161124253-161140516	0.9871
NM_001039712	chr1(.):161085768-161107256	0.8006
NM_032174	chr1(.):161190832-161205407	0.5882
NM_001166159	chr1(.):161166936-161189184	0.876
NM_005099	chr1(.):161154537-161173845	2.2048
NM_004106	chr1(.):161180086-161194038	0.6495
NM_007240	chr1(.):161714580-161731952	0.3498
NR_033186	chr1(.):178506930-178523024	0.5786
NM_016545	chr1(.):181052637-181064979	1.0686
NM_002927	chr1(.):192600281-192634389	0.0903
NM_002922	chr1(.):192539856-192554159	2.344
NM_001195216	chr1(.):197698138-197749623	0.863
NR_034150	chr1(.):203262885-203279453	7.9378
NM_003465	chr1(.):203180206-203203860	0.1266
NM_006763	chr1(.):203269663-203283729	5.2727
NM_002023	chr1(.):203304751-203325289	0.2438
NR_003019	chr1(.):203693708-203703833	0.1004
NM_001136190	chr1(.):203729283-203750480	1.4657
NM_001174108	chr1(.):203761650-203774590	0.5447
NM_002646	chr1(.):204386757-204464474	0.2342
NM_002393	chr1(.):204480510-204532248	2.0604
NM_014858	chr1(.):205192037-205247471	0.6408
NM_018203	chr1(.):205300647-205331039	0.1375
NM_030952	chr1(.):205266190-205295883	0.9871
NM_000707	chr1(.):206219282-206236482	0.2565
NM_001007544	chr1(.):206233871-206293647	2.1079
NM_148964	chr1(.):206312458-206337104	0.1578
NM_006893	chr1(.):206759973-206790904	0.1413
NM_182665	chr1(.):206725491-206767616	1.3414
NM_001185157	chr1(.):207065787-207082484	0.1062
NM_018724	chr1(.):207034153-207047568	0.1029
NM_002644	chr1(.):207096866-207124811	0.8806
NM_001170631	chr1(.):207126311-207148970	0.1128
NM_183059	chr1(.):211644863-211671259	0.0834
NM_021194	chr1(.):211743380-211757099	1.7097
NM_000120	chr1(.):226008001-226038262	0.3491
NM_020997	chr1(.):226068981-226081836	1.7218
NM_014698	chr1(.):226028232-226075420	1.2986
NM_013328	chr1(.):226102579-226116965	0.5675
NM_182972	chr1(.):234735014-234750271	4.1194
NR_033927	chr1(.):234760056-234775526	0.0946
NM_020458	chr2(.):47163312-47308275	0.5088
NR_033872	chr2(.):70184394-70319147	0.5882
NM_032827	chr2(.):85975908-86023506	0.0813
NR_015395	chr2(.):112119590-112257692	0.9161
NR_024373	chr2(.):112181885-112257692	1.5934
NM_001099289	chr2(.):109740996-110267207	0.1752
NM_020760	chr2(.):197058976-197462335	0.3216
NM_001012514	chr2(.):231724620-231748963	2.3043
NM_145693	chr2(.):11881739-11972533	0.8155
NM_183360	chr2(.):25595111-25901503	0.4045
NM_170672	chr2(.):33656415-33794798	0.7015
NM_005813	chr2(.):37472645-37549222	1.1097
NM_019063	chr2(.):42391489-42564688	0.1452
NM_014755	chr2(.):64853754-64886046	1.3132
NR_036586	chr2(.):65123973-65164581	2.202
NM_002398	chr2(.):66657531-66804891	0.2478
NR_024204	chr2(.):87749973-87826030	1.2466
NM_004836	chr2(.):88851258-88932094	0.4613
NM_144563	chr2(.):88986175-89055452	0.9649
NM_020151	chr2(.):96845602-96879573	0.2946
NM_004027	chr2(.):99056320-99212496	1.584
NM_001566	chr2(.):99056320-99203284	1.68
NM_003581	chr2(.):106356519-106515730	0.2928
NM_002410	chr2(.):135006829-135211468	0.2982
NM_024770	chr2(.):172168912-172296312	0.4665
NM_001077269	chr2(.):175419301-175552627	0.5829
NR_024415	chr2(.):192537797-192558248	2.0106
NM_001031716	chr2(.):192537860-192558248	2.0167
NM_004226	chr2(.):196993306-197041336	0.9947
NM_153697	chr2(.):197959194-198180521	0.4897
NM_001195144	chr2(.):197846385-198180521	0.3471
NM_001228	chr2(.):202093165-202157434	1.4668
NM_003879	chr2(.):201975889-202034003	1.8154
NM_001127184	chr2(.):201975815-202011323	2.8005
NM_173822	chr2(.):201833440-201941392	0.1196
NM_033358	chr2(.):202093165-202151638	1.6043
NM_001037631	chr2(.):204727508-204743683	0.2257
NM_003709	chr2(.):207940528-208035614	0.5024
NM_001167608	chr2(.):227695670-227868923	0.476
NM_001137551	chr2(.):238595806-238695290	0.3025
NM_001137550	chr2(.):238531223-238695290	0.2206
NM_002997	chr2(.):20395557-20429927	3.0086
NM_001006946	chr2(.):20395557-20430194	2.9856
NM_004040	chr2(.):20641834-20654201	0.6688
NM_178553	chr2(.):27354714-27367332	0.5844
NM_001166239	chr2(.):27318461-27346773	0.1391
NM_001166240	chr2(.):27317220-27346995	0.1569
NM_013388	chr2(.):27348624-27362542	0.5342
NM_001166241	chr2(.):27317220-27338970	0.1017
NM_032604	chr2(.):27341656-27358680	0.5804
NM_175769	chr2(.):27366944-27380819	1.5405
NM_080592	chr2(.):27429898-27445046	0.7349
NM_001170795	chr2(.):27430218-27445046	0.7482
NM_004341	chr2(.):27435257-27471654	0.2604
NM_021095	chr2(.):27417454-27440175	0.4212
NM_015376	chr2(.):33733941-33794798	0.291
NM_001139488	chr2(.):33696320-33794798	0.9578
NM_012413	chr2(.):37566752-37605465	5.1246
NM_138370	chr2(.):42270160-42290668	0.0925
NM_006887	chr2(.):43444540-43458745	5.073
NR_027251	chr2(.):43449349-43460994	2.6897
NM_001171508	chr2(.):47124008-47173994	0.4711
NM_002354	chr2(.):47591286-47619167	0.0474
NR_033837	chr2(.):64407212-64437619	0.7134
NR_034023	chr2(.):64829445-64848616	0.254
NM_001193493	chr2(.):65210578-65256000	0.4753
NM_003038	chr2(.):65211494-65256000	0.4822
NM_015147	chr2(.):65278494-65319142	0.2838
NM_014882	chr2(.):68996932-69058957	0.2397
NM_001166277	chr2(.):68956912-69058957	0.4129
NM_006196	chr2(.):70309584-70321334	5.5645
NR_024444	chr2(.):70346167-70357448	2.0804
NM_006433	chr2(.):85916413-85930875	0.3067
NM_198843	chr2(.):85879439-85900864	0.0662
NM_015425	chr2(.):86248450-86338278	1.1857
NM_017952	chr2(.):86328304-86374280	0.1482
NR_026984	chr2(.):86242338-86255991	0.1893
NR_015424	chr2(.):89060418-89111109	0.1498
NM_001193304	chr2(.):96910945-96936751	0.5191
NM_001037228	chr2(.):96900976-96912701	1.3046
NM_004804	chr2(.):96926883-96944900	0.2164
NR_026875	chr2(.):97158382-97178846	0.3012
NM_212481	chr2(.):97197463-97223371	1.7024
NR_024275	chr2(.):135201959-135217192	0.0662
NM_004288	chr2(.):158266130-158305604	1.3264
NM_003387	chr2(.):175419301-175504307	0.8713
NM_002491	chr2(.):201931461-201955473	0.2762
NM_001127183	chr2(.):201978386-202033841	1.8973
NM_032974	chr2(.):202042620-202099110	0.9856
NM_001230	chr2(.):202042620-202091383	0.8745
NM_033356	chr2(.):202120222-202157434	1.7437
NM_001080125	chr2(.):202117753-202157434	1.7435
NM_006139	chr2(.):204566197-204607557	2.1907
NR_036227	chr2(.):207969710-207979797	0.0609
NM_017431	chr2(.):219682105-219701512	0.0474
NM_025216	chr2(.):219740254-219763651	3.1218
NM_006522	chr2(.):219719545-219743954	0.201
NM_005683	chr2(.):231767042-231794941	0.139
NM_018218	chr2(.):234379164-234479236	0.3262
NM_004735	chr2(.):238595806-238679558	0.3537
NM_014674	chr3(.):5224358-5266650	1.4559
NM_001195099	chr3(.):15703743-15803058	0.076
NM_001195098	chr3(.):15703743-15844691	0.3366
NM_015199	chr3(.):15703743-15906053	0.3446
NM_003571	chr3(.):133113789-133199056	2.0894
NM_207015	chr3(.):174572110-175528428	0.3304
NM_001135095	chr3(.):171753343-172123492	0.5635
NM_022763	chr3(.):171752417-172123492	0.5645
NM_181361	chr3(.):178249223-178567217	0.2326
NR_004053	chr3(.):181323150-181464005	0.296
NM_001134382	chr3(.):12933718-13119617	0.5767
NM_014869	chr3(.):12933718-13013960	0.0652
NM_001184958	chr3(.):14711605-14819543	0.9998
NM_001024847	chr3(.):30642993-30740633	0.6056
NM_001123396	chr3(.):46390234-46405868	2.3759
NM_001123041	chr3(.):46390234-46407413	2.1898
NM_181042	chr3(.):52574367-52718739	0.0604
NM_018313	chr3(.):52574367-52724866	0.0863
NM_001128615	chr3(.):56756445-57118336	0.2234
NM_015541	chr3(.):66424220-66555845	0.2604
NM_007114	chr3(.):69063977-69106484	0.1519
NM_024548	chr3(.):101438493-101491181	0.3676
NM_002213	chr3(.):124476794-124611144	0.5947
NM_001134422	chr3(.):133287433-133314118	0.9993
NM_001134423	chr3(.):133288300-133314118	1.0254
NM_006506	chr3(.):141200925-141336197	0.1077
NM_001080412	chr3(.):141038054-141173632	3.2399
NM_016275	chr3(.):150316065-150353234	0.9617
NM_001193283	chr3(.):156539147-156648045	0.1279
NM_001004316	chr3(.):156539095-156768918	0.167
NM_001190242	chr3(.):159969773-160106554	0.135
NM_001190241	chr3(.):159969773-160122320	0.3184
NM_024665	chr3(.):176733541-176920048	0.6564
NM_005832	chr3(.):178271617-178567217	0.1577
NM_130446	chr3(.):183200318-183278499	2.3678
NM_173216	chr3(.):186643314-186801341	1.051
NM_003032	chr3(.):186734664-186801341	1.0493
NM_005524	chr3(.):193848933-193861396	1.3192
NM_018184	chr3(.):5158929-5227601	0.3339
NM_015931	chr3(.):8656319-8698737	0.1555
NM_016474	chr3(.):14688252-14719166	0.4436
NM_194293	chr3(.):39219706-39239077	0.3305
NM_001198621	chr3(.):39219705-39239085	0.3304
NM_001295	chr3(.):46238199-46254832	5.1811
NM_001837	chr3(.):46278871-46313197	0.1182
NM_003965	chr3(.):46443720-46456014	0.2781
NM_001100168	chr3(.):46406632-46422697	1.2201
NM_001130910	chr3(.):46444048-46456014	0.2842
NM_003212	chr3(.):46614075-46628952	0.039
NM_001174136	chr3(.):46611044-46628952	0.0464
NM_024512	chr3(.):46551877-46613011	1.5145
NM_031440	chr3(.):46534484-46547439	0.506
NM_001010983	chr3(.):52723503-52745048	1.5443
NM_206825	chr3(.):52714935-52733510	0.4198
NR_003687	chr3(.):52719753-52729846	0.3531
NM_014041	chr3(.):52734856-52747197	2.5635
NR_003057	chr3(.):52721751-52731828	0.248
NM_152932	chr3(.):52723503-52742622	1.461
NR_003047	chr3(.):52718255-52728331	0.4616
NM_001193533	chr3(.):52739795-52809965	0.5728
NM_198195	chr3(.):69098880-69134524	0.7369
NM_006407	chr3(.):69129089-69160239	1.5479
NM_198271	chr3(.):69151038-69176746	0.1706
NR_036087	chr3(.):69093108-69103186	0.4642
NM_006100	chr3(.):98446571-98518236	1.4908
NM_145037	chr3(.):101493028-101552075	0.6979
NM_001134456	chr3(.):101493285-101552075	0.7002
NM_001005474	chr3(.):101541833-101584869	0.342
NM_022135	chr3(.):119355907-119384404	1.0157
NM_005694	chr3(.):119383371-119401243	0.4124
NM_015900	chr3(.):119311721-119353658	0.0887
NR_033434	chr3(.):124444212-124473119	0.1039
NR_031687	chr3(.):125504246-125514395	0.0641
NM_020187	chr3(.):128992683-129029135	0.4261
NM_001006109	chr3(.):128992816-129029135	0.4263
NM_006026	chr3(.):129028613-129040120	1.7927
NR_026991	chr3(.):129030113-129048412	0.9411
NR_027898	chr3(.):129926662-129997649	0.0594
NM_016557	chr3(.):132311093-132326382	0.0875
NM_178445	chr3(.):132313980-132326382	0.0899
NM_032169	chr3(.):132271981-132383975	0.3416
NM_032025	chr3(.):150259573-150308803	0.2915
NM_014445	chr3(.):150254779-150269428	0.577
NR_027954	chr3(.):156385959-156398502	1.0336
NM_001184718	chr3(.):156389452-156429557	0.6808
NM_001184717	chr3(.):156387714-156429557	0.6606
NM_015508	chr3(.):156387204-156429557	0.6544
NR_003284	chr3(.):156522059-156534810	0.4185
NR_034008	chr3(.):156802669-156823924	2.8382
NR_034007	chr3(.):156794455-156845791	1.3455
NM_173084	chr3(.):160148290-160172626	0.4122
NR_029663	chr3(.):160117375-160127473	3.0
NM_005496	chr3(.):160113346-160157741	0.9099
NM_001002800	chr3(.):160112429-160157741	0.8933
NR_029525	chr3(.):160117532-160127613	2.878
NR_027622	chr3(.):169656771-169689522	3.0125
NM_182610	chr3(.):169624481-169661948	1.3452
NM_003262	chr3(.):169679579-169721161	0.4625
NM_003106	chr3(.):181424721-181437223	1.9818
NM_198565	chr3(.):196361655-196393874	0.7176
NM_003215	chr4(.):48132799-48276814	0.5739
NM_201431	chr4(.):74433861-74491340	1.3119
NM_177532	chr4(.):74433861-74491134	1.3164
NM_020859	chr4(.):77351252-77709405	0.2316
NM_198281	chr4(.):90160428-90234161	2.588
NM_018699	chr4(.):121610928-121849013	0.4461
NM_015173	chr4(.):37887719-38145794	0.5011
NM_001007075	chr4(.):39041450-39132853	0.1275
NM_001098634	chr4(.):40420271-40636883	0.2828
NM_004310	chr4(.):40193526-40251281	1.7094
NM_001136570	chr4(.):77167852-77209929	0.1079
NM_002039	chr4(.):144252982-144400718	0.5622
NM_153343	chr4(.):185004858-185144114	0.0508
NM_002199	chr4(.):185303875-185400726	2.3066
NR_031688	chr4(.):9552788-9562937	0.132
NM_024943	chr4(.):38963440-39039041	0.5306
NM_017581	chr4(.):40332468-40361973	0.0463
NM_001076	chr4(.):69398132-69439240	0.6249
NM_001077	chr4(.):69397902-69439245	0.6224
NM_001076	chr4(.):69507314-69541374	0.2646
NM_031889	chr4(.):71489460-71517536	0.1124
NM_144646	chr4(.):71516257-71537348	2.863
NM_020368	chr4(.):71549195-71561268	0.9759
NM_014961	chr4(.):71582695-71664274	0.0992
NM_001130709	chr4(.):71565653-71660614	0.1682
NM_017426	chr4(.):77030816-77074655	0.0996
NM_005506	chr4(.):77074893-77140035	0.5333
NM_015697	chr4(.):84179976-84211067	0.4481
NM_003998	chr4(.):103417485-103543459	0.3999
NM_025212	chr4(.):105388342-105417467	1.8541
NM_032623	chr4(.):140182316-140206492	0.3507
NM_001104631	chr5(.):58259865-59194621	0.1908
NM_006203	chr5(.):58259865-58887324	0.1657
NM_001165899	chr5(.):58259865-59788925	0.1339
NM_001197218	chr5(.):58259865-59069438	0.2115
NM_002372	chr5(.):109020155-109208429	0.5767
NM_012304	chr5(.):15495304-15944900	0.0825
NM_001131005	chr5(.):88009057-88204922	0.7577
NM_002397	chr5(.):88009057-88184283	0.7437
NM_001193349	chr5(.):88009057-88124744	0.4637
NM_001131055	chr5(.):175080039-175118245	0.4696
NM_024669	chr5(.):55390506-55534186	0.5917
NR_015436	chr5(.):87831596-87985620	0.3148
NM_152624	chr5(.):112307432-112361667	0.172
NM_001077654	chr5(.):118599417-118735294	0.5788
NM_001038702	chr5(.):130594701-130735382	0.3429
NM_003060	chr5(.):131700400-131736306	0.1948
NM_001020825	chr5(.):142652495-142788254	0.3348
NM_001018076	chr5(.):142652495-142789045	0.3334
NM_001018075	chr5(.):142652495-142820077	0.3042
NM_138379	chr5(.):156341292-156395266	0.6891
NM_005990	chr5(.):171464073-171620346	0.316
NM_002406	chr5(.):180212540-180235048	1.3128
NM_001114619	chr5(.):180212540-180235902	1.3027
NM_001114618	chr5(.):180212540-180241817	1.5786
NM_001114617	chr5(.):180212540-180242137	1.5624
NM_001193376	chr5(.):1248286-1300162	0.0553
NM_030782	chr5(.):1312999-1350002	2.1926
NM_001145161	chr5(.):6443735-6501834	1.4242
NM_006713	chr5(.):32580604-32609185	1.7335
NR_034127	chr5(.):43060288-43072073	1.6502
NM_001014279	chr5(.):43034181-43045447	2.0115
NR_034085	chr5(.):43011149-43023913	0.8203
NR_015447	chr5(.):43037235-43050370	1.715
NR_034086	chr5(.):43009830-43023913	1.0922
NM_020726	chr5(.):65013022-65130111	0.3475
NR_036243	chr5(.):86405695-86415771	1.8385
NR_024384	chr5(.):87955262-87974146	2.0487
NR_024383	chr5(.):87955262-87979262	1.6667
NR_030741	chr5(.):87957670-87967757	0.4959
NR_033175	chr5(.):109213882-109226200	0.0883
NM_005669	chr5(.):112207080-112263031	0.4611
NM_014350	chr5(.):118686595-118735294	0.1663
NM_000588	chr5(.):131391346-131403896	0.2387
NM_000758	chr5(.):131404484-131416859	0.2079
NR_037500	chr5(.):131696181-131706291	0.3495
NM_002198	chr5(.):131812300-131831465	1.2456
NM_001013717	chr5(.):131741672-131803059	3.4069
NM_005732	chr5(.):131887615-131985313	0.1512
NM_000879	chr5(.):131872135-131884214	0.0674
NM_016480	chr5(.):138672518-138710409	0.135
NM_194296	chr5(.):138727455-138744776	0.742
NM_152686	chr5(.):138740891-138780214	0.4938
NM_152685	chr5(.):138697884-138724039	0.4548
NM_001033112	chr5(.):138673133-138710409	0.1372
NM_001161546	chr5(.):138722634-138735885	2.4086
NM_016459	chr5(.):138718256-138730605	2.953
NM_000024	chr5(.):148201155-148213197	2.4475
NM_001155	chr5(.):150475266-150542443	0.7083
NM_001193544	chr5(.):150475266-150526216	0.5462
NR_002168	chr5(.):156272548-156284539	0.0621
NR_028472	chr5(.):156346099-156357013	1.0154
NM_001171183	chr5(.):171616175-171635458	0.0425
NM_004417	chr5(.):172190092-172203203	2.3669
NM_030627	chr5(.):173310330-173392313	0.7584
NM_022304	chr5(.):175103463-175116558	0.0606
NR_027183	chr5(.):180251958-180267726	1.1508
NM_152283	chr5(.):180269610-180293286	0.3054
NM_181356	chr6(.):44791469-45350670	0.0721
NM_003599	chr6(.):44792449-45350575	0.0721
NM_012288	chr6(.):52357199-52446862	1.4806
NM_033515	chr6(.):129893239-130036370	0.4568
NM_001168344	chr6(.):7102829-7257213	0.3507
NM_001003699	chr6(.):7103085-7257213	0.3512
NR_037616	chr6(.):7876482-8069647	1.1329
NM_001080480	chr6(.):20095934-20217670	0.2575
NM_001173977	chr6(.):25274655-25625758	0.6766
NM_014641	chr6(.):30662583-30690458	0.5342
NM_172166	chr6(.):31702724-31735455	1.0121
NM_004348	chr6(.):45384913-45523819	0.3452
NM_001024630	chr6(.):45291053-45523819	0.255
NM_016021	chr6(.):90031343-90067619	1.4214
NM_001455	chr6(.):108877068-109010971	1.4953
NM_201559	chr6(.):108876025-109010971	1.4846
NM_032131	chr6(.):109164618-109300352	1.1651
NM_173674	chr6(.):117798819-117896020	0.4989
NM_153235	chr6(.):139556198-139618208	0.8825
NM_006734	chr6(.):143067603-143271338	0.3214
NM_024630	chr6(.):157797556-158099977	0.4154
NM_020185	chr6(.):287100-356355	2.3454
NM_001145549	chr6(.):7876482-7915310	3.1659
NM_030810	chr6(.):7876482-7916047	3.1866
NM_032744	chr6(.):11708887-11784280	0.6995
NR_002174	chr6(.):25076294-25143051	0.3506
NR_027626	chr6(.):25103200-25143620	0.5371
NM_005319	chr6(.):26050967-26061699	1.6767
NM_003537	chr6(.):26026816-26037288	1.4717
NM_003544	chr6(.):26022123-26032480	1.0322
NM_021062	chr6(.):26038454-26048885	1.3334
NM_003531	chr6(.):26040638-26051097	1.3223
NM_005325	chr6(.):26012259-26023040	0.6794
NM_003538	chr6(.):26016906-26027278	1.1134
NM_003513	chr6(.):26028319-26038796	1.1311
NM_003529	chr6(.):26015717-26026186	0.808
NM_021065	chr6(.):26194011-26204471	2.0827
NM_003530	chr6(.):26192011-26204464	1.788
