REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_29696_lociStitched	chr5	133975405	133986525	3	10792	38565.272	39	1	SEC24A	SAR1B	SEC24A	SEC24A	0.4468	39	1
3_MACS_peak_31981_lociStitched	chr6	106531134	106543032	3	11804	38267.5374	40	1	PRDM1	PRDM1	PRDM1	PRDM1	2.0323	40	1
2_MACS_peak_33224_lociStitched	chr7	25985112	25992347	2	6973	38236.2515	41	1	MIR148A		MIR148A	MIR148A	3.8815	41	1
7_MACS_peak_18811_lociStitched	chr2	20403824	20426201	7	21433	37814.8923	42	1	SDC1		SDC1	SDC1	1.235	42	1
1_MACS_peak_17100_lociStitched	chr19	2615992	2625635	1	9644	37171.8364	43	1	GNG7		GNG7	GNG7	0.7505	43	1
1_MACS_peak_34721_lociStitched	chr7	139466433	139478535	1	12103	37064.7954	44	1	TBXAS1,HIPK2		HIPK2	HIPK2	0.5438	44	1
1_MACS_peak_11436_lociStitched	chr14	106172081	106179568	1	7488	37029.9533	45	1			TMEM121	TMEM121	0.1273	45	1
3_MACS_peak_30256_lociStitched	chr5	173212371	173223168	3	10203	36993.7611	46	1			CPEB4	CPEB4	1.0	46	1
3_MACS_peak_13813_lociStitched	chr16	56963852	56977114	3	13005	35961.2392	47	1	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.7784	47	1
2_MACS_peak_24429_lociStitched	chr3	13048659	13063171	2	14309	35844.64	48	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.4354	48	1
1_MACS_peak_3926_lociStitched	chr10	3821878	3828965	1	7088	35817.698	49	1	KLF6		KLF6	KLF6	1.999	49	1
4_MACS_peak_4303_lociStitched	chr10	22602030	22615266	4	12966	35395.7112	50	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	2.1578	50	1
1_MACS_peak_3772_lociStitched	chr1	234737871	234749438	1	11568	35296.7005	51	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	2.5714	51	1
1_MACS_peak_4307_lociStitched	chr10	22623545	22634868	1	11324	35180.561	52	1	SPAG6	COMMD3,BMI1	SPAG6	COMMD3	2.5387	52	1
6_MACS_peak_34645_lociStitched	chr7	137662329	137678391	6	15738	35044.0716	53	1	CREB3L2		CREB3L2	CREB3L2	0.8759	53	1
5_MACS_peak_30464_lociStitched	chr6	315715	332564	5	16042	34911.128	54	1	DUSP22		DUSP22	DUSP22	1.4062	54	1
10_MACS_peak_30478_lociStitched	chr6	388894	404986	10	15140	34306.5348	55	1	IRF4		IRF4	IRF4	1.2892	55	1
3_MACS_peak_12017_lociStitched	chr15	52967552	52977080	3	9481	34252.2072	56	1	KIAA1370		KIAA1370	KIAA1370	0.6397	56	1
1_MACS_peak_30397_lociStitched	chr5	179245008	179250333	1	5326	33272.1975	57	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	SQSTM1	1.1718	57	1
1_MACS_peak_28447_lociStitched	chr5	6478610	6488913	1	10304	33060.2664	58	1	UBE2QL1		UBE2QL1	UBE2QL1	0.9501	58	1
1_MACS_peak_7195_lociStitched	chr11	115089464	115096557	1	7094	32924.2874	59	1	CADM1		CADM1	CADM1	0.3137	59	1
5_MACS_peak_4602_lociStitched	chr10	61891193	61901004	5	9586	32848.2091	60	1	ANK3		ANK3	ANK3	0.1971	60	1
7_MACS_peak_27210_lociStitched	chr4	40190843	40210406	7	18941	32795.4132	61	1	RHOH		RHOH	RHOH	0.642	61	1
2_MACS_peak_18126_lociStitched	chr19	42437945	42446125	2	8146	32639.836	62	1		ARHGEF1,RABAC1	RABAC1	RABAC1	0.8548	62	1
4_MACS_peak_36945_lociStitched	chr9	37527939	37535032	4	6460	32554.7421	63	1	FBXO10	POLR1E	FBXO10	FBXO10	0.7699	63	1
7_MACS_peak_37604_lociStitched	chr9	112908408	112925483	7	16248	31790.235	64	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.7909	64	1
2_MACS_peak_19931_lociStitched	chr2	89050129	89057875	2	7745	31196.2404	65	1	RPIA	ANKRD36BP2	ANKRD36BP2	ANKRD36BP2	0.6574	65	1
2_MACS_peak_5552_lociStitched	chr11	267518	272574	2	4855	31161.6448	66	1		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	IFITM1	3.214	66	1
2_MACS_peak_23211_lociStitched	chr21	45572872	45581339	2	8405	30763.1511	67	1		PWP2,C21orf33	C21orf33	C21orf33	1.0237	67	1
1_MACS_peak_28299_lociStitched	chr4	185390827	185398141	1	7315	30494.9916	68	1	IRF2		IRF2	IRF2	1.1046	68	1
1_MACS_peak_476_lociStitched	chr1	22104869	22110704	1	5836	30399.7665	69	1	USP48	LDLRAD2	USP48	USP48	0.4405	69	1
2_MACS_peak_29921_lociStitched	chr5	142776666	142785700	2	9025	30386.7624	70	1	NR3C1		NR3C1	NR3C1	0.5387	70	1
2_MACS_peak_17385_lociStitched	chr19	11199075	11208582	2	9329	30379.6185	71	1	LDLR		LDLR	LDLR	0.7392	71	1
2_MACS_peak_19621_lociStitched	chr2	70310121	70317375	2	7182	30321.72	72	1	PCBP1,LOC400960	LOC100133985	LOC400960	LOC100133985	1.1844	72	1
3_MACS_peak_4297_lociStitched	chr10	22540120	22549148	3	8404	29956.7096	73	1			COMMD3	COMMD3	2.5387	73	1
5_MACS_peak_4630_lociStitched	chr10	63802022	63812248	5	9095	29888.5528	74	1	ARID5B		ARID5B	ARID5B	0.4533	74	1
1_MACS_peak_37615_lociStitched	chr9	113016535	113021751	1	5217	29823.0016	75	1	TXN	C9orf152	TXN	TXN	1.4741	75	1
2_MACS_peak_26041_lociStitched	chr3	141117778	141127230	2	9270	29677.3896	76	1	ZBTB38		ZBTB38	ZBTB38	1.0807	76	1
1_MACS_peak_17703_lociStitched	chr19	18389882	18393971	1	4090	29230.2165	77	1	MIR3188,JUND	PDE4C,LOC729966,KIAA1683,LSM4	JUND	JUND	2.6682	77	1
1_MACS_peak_11452_lociStitched	chr14	106326206	106330242	1	4037	28944.9812	78	1			KIAA0125	KIAA0125	0.3105	78	1
3_MACS_peak_24280_lociStitched	chr22	50963378	50974037	3	10265	28754.7843	79	1	SCO2,TYMP,ODF3B	ADM2,MIOX,NCAPH2,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	TYMP	TYMP	2.016	79	1
1_MACS_peak_12219_lociStitched	chr15	65183021	65190083	1	7063	28685.1378	80	1		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.4155	80	1
1_MACS_peak_17518_lociStitched	chr19	13947005	13954786	1	7782	28672.985	81	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	1.9396	81	1
1_MACS_peak_12156_lociStitched	chr15	63792888	63798617	1	5730	28305.8432	82	1	USP3		USP3	USP3	0.541	82	1
5_MACS_peak_20382_lociStitched	chr2	127413129	127425837	5	11771	28294.362	83	1	GYPC		GYPC	GYPC	0.7301	83	1
4_MACS_peak_19917_lociStitched	chr2	88920394	88928935	4	8029	28287.792	84	1	EIF2AK3		EIF2AK3	EIF2AK3	0.742	84	1
2_MACS_peak_31228_lociStitched	chr6	32935569	32941037	2	5256	28141.062	85	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.4003	85	1
1_MACS_peak_23602_lociStitched	chr22	29193999	29199165	1	5167	27932.562	86	1	XBP1	CCDC117	XBP1	XBP1	2.0123	86	1
1_MACS_peak_12477_lociStitched	chr15	75333143	75342741	1	9599	27932.0996	87	1	PPCDC	SCAMP5	PPCDC	PPCDC	1.2855	87	1
1_MACS_peak_34498_lociStitched	chr7	129587087	129593049	1	5963	27562.326	88	1	UBE2H		UBE2H	UBE2H	0.4493	88	1
1_MACS_peak_16826_lociStitched	chr18	60821395	60831098	1	9704	27445.9058	89	1	BCL2		BCL2	BCL2	0.8259	89	1
1_MACS_peak_29630_lociStitched	chr5	131744680	131751716	1	7037	27390.4444	90	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.1563	90	1
4_MACS_peak_5555_lociStitched	chr11	307509	316466	4	8480	27368.1135	91	1	IFITM2,IFITM1	NLRP6,ATHL1,IFITM5,IFITM3	IFITM1	IFITM1	3.214	91	1
1_MACS_peak_17119_lociStitched	chr19	2816097	2820700	1	4604	27219.3802	92	1	ZNF554	THOP1,ZNF555,ZNF556,SGTA	ZNF554	ZNF554	1.2656	92	1
6_MACS_peak_15984_lociStitched	chr17	74257684	74269318	6	10568	27014.148	93	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	1.8092	93	1
2_MACS_peak_23433_lociStitched	chr22	23229694	23239736	2	9734	27001.9338	94	1	IGLL5		IGLL5	IGLL5	1.8118	94	1
1_MACS_peak_30459_lociStitched	chr6	290325	301200	1	10876	26971.0875	95	1	DUSP22		DUSP22	DUSP22	1.4062	95	1
3_MACS_peak_4007_lociStitched	chr10	6815486	6824735	3	9042	26300.4564	96	1			LOC439949	LOC439949	NONE	96	1
8_MACS_peak_24439_lociStitched	chr3	13365408	13380471	8	14550	26257.8216	97	1	NUP210		NUP210	NUP210	0.5315	97	1
1_MACS_peak_33588_lociStitched	chr7	47708027	47712862	1	4836	26174.2725	98	1		C7orf65	C7orf65	C7orf65	0.3015	98	1
4_MACS_peak_12445_lociStitched	chr15	75072739	75087578	4	14093	26168.5765	99	1	CSK	CYP1A2,LMAN1L,CPLX3,ULK3	CSK	CSK	1.2737	99	1
3_MACS_peak_31984_lociStitched	chr6	106544082	106555445	3	11174	25798.5552	100	1	PRDM1		PRDM1	PRDM1	2.0323	100	1
2_MACS_peak_33654_lociStitched	chr7	55597952	55605561	2	7609	25766.3567	101	1	VOPP1		VOPP1	VOPP1	0.9069	101	1
2_MACS_peak_9914_lociStitched	chr13	49549052	49556696	2	7196	25504.206	102	1	FNDC3A		FNDC3A	FNDC3A	0.2263	102	1
4_MACS_peak_29212_lociStitched	chr5	95290915	95298693	4	7125	25395.9478	103	1	ELL2		ELL2	ELL2	0.9529	103	1
5_MACS_peak_20719_lociStitched	chr2	172173526	172184229	5	10442	25243.0255	104	1	METTL8		TLK1	TLK1	NONE	104	1
1_MACS_peak_17951_lociStitched	chr19	38523004	38529064	1	6061	25216.266	105	1	SIPA1L3		SIPA1L3	SIPA1L3	0.4706	105	1
4_MACS_peak_9067_lociStitched	chr12	109020574	109031317	4	9991	25209.5238	106	1	SELPLG	TMEM119	SELPLG	SELPLG	1.4009	106	1
1_MACS_peak_17469_lociStitched	chr19	12898842	12906056	1	7215	25180.467	107	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	2.3067	107	1
1_MACS_peak_30213_lociStitched	chr5	172196494	172201010	1	4517	25049.3488	108	1	DUSP1		DUSP1	DUSP1	2.421	108	1
1_MACS_peak_34731_lociStitched	chr7	139613760	139620522	1	6763	24829.3878	109	1	TBXAS1		TBXAS1	TBXAS1	0.56	109	1
2_MACS_peak_14518_lociStitched	chr17	3813557	3821156	2	7357	24754.5024	110	1	P2RX1	CAMKK1,ATP2A3	P2RX1	P2RX1	1.0788	110	1
2_MACS_peak_3397_lociStitched	chr1	207993913	208001961	2	7778	24746.7952	111	1	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	1.952	111	1
8_MACS_peak_12619_lociStitched	chr15	81584298	81600201	8	15230	24683.0463	112	1	IL16	STARD5	IL16	STARD5	0.7825	112	1
2_MACS_peak_12879_lociStitched	chr15	93424520	93429328	2	4711	24508.2992	113	1	LOC100507217	CHD2,MIR3175	LOC100507217	MIR3175	1.7558	113	1
2_MACS_peak_7491_lociStitched	chr11	132224597	132231432	2	6783	24287.489	114	1			NTM	NTM	NONE	114	1
8_MACS_peak_14164_lociStitched	chr16	81839871	81852858	8	11930	24280.4952	115	1	PLCG2		PLCG2	PLCG2	0.597	115	1
5_MACS_peak_26586_lociStitched	chr3	186711602	186720081	5	8116	24244.0047	116	1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.7929	116	1
1_MACS_peak_9332_lociStitched	chr12	122237626	122243244	1	5619	24184.9282	117	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	1.739	117	1
1_MACS_peak_5309_lociStitched	chr10	112255413	112264745	1	9333	24159.6148	118	1	DUSP5		DUSP5	DUSP5	1.2588	118	1
6_MACS_peak_4232_lociStitched	chr10	15824888	15838045	6	12214	24154.9363	119	1	FAM188A		ITGA8	ITGA8	NONE	119	1
2_MACS_peak_13871_lociStitched	chr16	66553332	66562240	2	8478	24097.9216	120	1	TK2	CKLF,CMTM1	TK2	TK2	1.059	120	1
1_MACS_peak_29117_lociStitched	chr5	88175330	88186310	1	10981	24095.61	121	1	MEF2C		MEF2C	MEF2C	0.6451	121	1
3_MACS_peak_21492_lociStitched	chr2	232570569	232577564	3	6840	23973.9635	122	1	PTMA	MIR1244-1	PTMA	PTMA	1.7113	122	1
2_MACS_peak_29785_lociStitched	chr5	139013021	139019488	2	6410	23929.8401	123	1		CXXC5	CXXC5	CXXC5	1.641	123	1
4_MACS_peak_15180_lociStitched	chr17	37924499	37935498	4	10758	23867.83	124	1	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.2118	124	1
2_MACS_peak_34203_lociStitched	chr7	104581185	104587319	2	6046	23834.8838	125	1		LOC723809	LOC723809	LOC723809	0.1973	125	1
1_MACS_peak_15150_lociStitched	chr17	36856438	36863205	1	6768	23788.7118	126	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.8387	126	1
6_MACS_peak_29480_lociStitched	chr5	118668101	118683790	6	14383	23713.9235	127	1	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.7332	127	1
2_MACS_peak_12344_lociStitched	chr15	70387135	70394017	2	6771	23605.26	128	1	TLE3	MIR629	TLE3	TLE3	0.714	128	1
3_MACS_peak_36136_lociStitched	chr8	126294771	126304991	3	10030	23599.002	129	1	NSMCE2		TRIB1	TRIB1	3.8592	129	1
1_MACS_peak_18328_lociStitched	chr19	47612652	47617713	1	5062	23528.0829	130	1	ZC3H4	SAE1	ZC3H4	ZC3H4	0.5718	130	1
3_MACS_peak_29646_lociStitched	chr5	131819398	131827713	3	7800	23461.604	131	1	IRF1		IRF1	IRF1	1.8323	131	1
6_MACS_peak_23125_lociStitched	chr21	44592135	44600825	6	8121	23397.825	132	1	CRYAA		CRYAA	CRYAA	1.6824	132	1
2_MACS_peak_17498_lociStitched	chr19	13260459	13267591	2	7049	23261.018	133	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	1.7	133	1
3_MACS_peak_28730_lociStitched	chr5	56108037	56115568	3	7470	22981.5996	134	1	MAP3K1		MAP3K1	MAP3K1	0.7148	134	1
2_MACS_peak_37819_lociStitched	chr9	127630445	127638136	2	7321	22943.7912	135	1	ARPC5L	WDR38,RPL35	ARPC5L	ARPC5L	1.4966	135	1
2_MACS_peak_30863_lociStitched	chr6	16759045	16765047	2	5756	22869.4206	136	1	ATXN1		ATXN1	ATXN1	0.35	136	1
1_MACS_peak_38470_lociStitched	chrX	24166118	24172370	1	6253	22781.0376	137	1	ZFX		ZFX	ZFX	0.4751	137	1
1_MACS_peak_28259_lociStitched	chr4	185200443	185207304	1	6862	22731.8652	138	1			ENPP6	ENPP6	0.0401	138	1
3_MACS_peak_34846_lociStitched	chr7	150100378	150108769	3	7947	22707.7242	139	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	LOC728743	1.8614	139	1
3_MACS_peak_26043_lociStitched	chr3	141128110	141137103	3	8685	22696.5334	140	1	ZBTB38		RASA2	RASA2	NONE	140	1
2_MACS_peak_29759_lociStitched	chr5	138723103	138729837	2	6657	22383.1426	141	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.1059	141	1
2_MACS_peak_19451_lociStitched	chr2	64437500	64445608	2	8088	22354.5668	142	1		LOC150992	LOC150992	LOC150992	0.529	142	1
2_MACS_peak_18068_lociStitched	chr19	41768351	41773452	2	5097	22294.9407	143	1	HNRNPUL1	AXL,CCDC97	HNRNPUL1	HNRNPUL1	0.815	143	1
2_MACS_peak_35039_lociStitched	chr8	12609977	12617024	2	6868	22240.332	144	1	LONRF1	MIR3926-2,MIR3926-1	LONRF1	LONRF1	0.6083	144	1
6_MACS_peak_37978_lociStitched	chr9	132646079	132657479	6	10931	22233.42	145	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.5619	145	1
1_MACS_peak_11603_lociStitched	chr15	31554295	31560521	1	6227	22086.735	146	1			KLF13	KLF13	1.4641	146	1
4_MACS_peak_12040_lociStitched	chr15	55693807	55701452	4	6905	22025.245	147	1	FLJ27352,CCPG1	MIR628	CCPG1	CCPG1	0.5473	147	1
1_MACS_peak_29187_lociStitched	chr5	95156821	95160782	1	3962	21998.6018	148	1	GLRX	C5orf27	GLRX	GLRX	1.8878	148	1
2_MACS_peak_30247_lociStitched	chr5	173168020	173174571	2	6458	21884.9257	149	1			BOD1	BOD1	NONE	149	1
2_MACS_peak_3206_lociStitched	chr1	203255021	203261377	2	6327	21775.656	150	1		BTG2,LOC730227	LOC730227	LOC730227	1.5774	150	1
4_MACS_peak_2317_lociStitched	chr1	150532543	150541590	4	8738	21740.8457	151	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.4814	151	1
3_MACS_peak_23148_lociStitched	chr21	44771328	44776780	3	5363	21733.3076	152	1			SIK1	SIK1	3.3118	152	1
5_MACS_peak_2066_lociStitched	chr1	118294519	118303729	5	8928	21707.049	153	1			FAM46C	FAM46C	2.1321	153	1
1_MACS_peak_28520_lociStitched	chr5	32172388	32175601	1	3214	21645.3384	154	1	GOLPH3		GOLPH3	GOLPH3	0.5805	154	1
1_MACS_peak_16980_lociStitched	chr19	1130325	1134419	1	4095	21606.4944	155	1	SBNO2	GPX4,POLR2E	SBNO2	SBNO2	0.5606	155	1
1_MACS_peak_29358_lociStitched	chr5	109024003	109034029	1	10027	21494.7414	156	1	MAN2A1		MAN2A1	MAN2A1	0.3042	156	1
4_MACS_peak_17887_lociStitched	chr19	35701680	35708009	4	5552	21454.0442	157	1		LSR,FAM187B	FAM187B	LSR	0.6974	157	1
1_MACS_peak_12380_lociStitched	chr15	72765220	72768504	1	3285	21448.4608	158	1	ARIH1		ARIH1	ARIH1	0.2874	158	1
1_MACS_peak_37169_lociStitched	chr9	73032659	73036767	1	4109	21341.8816	159	1		KLF9	KLF9	KLF9	0.9506	159	1
1_MACS_peak_6130_lociStitched	chr11	58340315	58347961	1	7647	21318.5772	160	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.4595	160	1
2_MACS_peak_25087_lociStitched	chr3	50637358	50644744	2	7178	21318.2118	161	1	CISH	HEMK1,MAPKAPK3,C3orf18	CISH	CISH	1.5722	161	1
1_MACS_peak_30184_lociStitched	chr5	162929837	162937615	1	7779	21152.271	162	1	MAT2B	HMMR,NUDCD2	MAT2B	MAT2B	0.9467	162	1
1_MACS_peak_19440_lociStitched	chr2	64366840	64372193	1	5354	21126.1498	163	1	PELI1		PELI1	PELI1	0.6162	163	1
1_MACS_peak_36401_lociStitched	chr8	144607622	144613740	1	6119	21086.9106	164	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	GSDMD	0.538	164	1
1_MACS_peak_36575_lociStitched	chr9	3524459	3529225	1	4767	21015.677	165	1	RFX3		RFX3	RFX3	0.1684	165	1
1_MACS_peak_28576_lociStitched	chr5	36240406	36243488	1	3083	20979.4822	166	1	C5orf33		C5orf33	C5orf33	0.5751	166	1
1_MACS_peak_3670_lociStitched	chr1	228269049	228272349	1	3301	20958.3	167	1	ARF1	MIR3620,C1orf35,MRPL55	ARF1	ARF1	1.0439	167	1
2_MACS_peak_31510_lociStitched	chr6	42748655	42752473	2	3708	20957.7656	168	1		KIAA0240,TBCC	TBCC	TBCC	0.5606	168	1
3_MACS_peak_2321_lociStitched	chr1	150545040	150553206	3	7788	20895.1608	169	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	MCL1	1.4814	169	1
3_MACS_peak_2043_lociStitched	chr1	118171060	118182334	3	11178	20799.4026	170	1		FAM46C	FAM46C	FAM46C	2.1321	170	1
3_MACS_peak_4002_lociStitched	chr10	6792934	6802016	3	8790	20745.1044	171	1			LOC439949	LOC439949	NONE	171	1
4_MACS_peak_28402_lociStitched	chr5	1326572	1334021	4	7120	20724.6078	172	1	CLPTM1L	TERT	CLPTM1L	CLPTM1L	1.3815	172	1
1_MACS_peak_7245_lociStitched	chr11	118658651	118663616	1	4966	20707.029	173	1	DDX6		DDX6	DDX6	0.5771	173	1
3_MACS_peak_6326_lociStitched	chr11	65242020	65247168	3	4389	20654.8056	174	1		MIR612,MALAT1,SCYL1	MALAT1	MALAT1	3.7203	174	1
3_MACS_peak_5731_lociStitched	chr11	10323703	10332420	3	8668	20618.3201	175	1	ADM	SBF2	ADM	ADM	1.7621	175	1
2_MACS_peak_33451_lociStitched	chr7	39987908	39992777	2	4794	20568.6036	176	1	CDK13		CDK13	CDK13	0.2231	176	1
2_MACS_peak_36349_lociStitched	chr8	142125279	142132294	2	6562	20515.3675	177	1		DENND3	DENND3	DENND3	0.6424	177	1
