GENE_ID	locusLine	bin_1_09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam
2_MACS_peak_87_lociStitched	chr1(.):8482858-8488744	0.4012
3_MACS_peak_89_lociStitched	chr1(.):8650294-8664984	0.5282
1_MACS_peak_92_lociStitched	chr1(.):8740256-8742153	0.7305
2_MACS_peak_93_lociStitched	chr1(.):8760574-8774094	0.9819
1_MACS_peak_95_lociStitched	chr1(.):8876212-8878921	1.8776
1_MACS_peak_96_lociStitched	chr1(.):8937116-8940058	1.9952
1_MACS_peak_97_lociStitched	chr1(.):9222301-9225973	2.1121
1_MACS_peak_98_lociStitched	chr1(.):9241139-9243363	1.9228
1_MACS_peak_99_lociStitched	chr1(.):9294401-9296046	0.9923
1_MACS_peak_100_lociStitched	chr1(.):9472914-9473706	0.6315
2_MACS_peak_101_lociStitched	chr1(.):9485374-9489677	0.6604
1_MACS_peak_103_lociStitched	chr1(.):9599449-9600496	0.5383
1_MACS_peak_104_lociStitched	chr1(.):9614920-9616007	0.5369
1_MACS_peak_105_lociStitched	chr1(.):9648902-9650149	0.6105
1_MACS_peak_106_lociStitched	chr1(.):9776568-9778977	3.739
1_MACS_peak_107_lociStitched	chr1(.):9846458-9848922	1.1305
1_MACS_peak_108_lociStitched	chr1(.):9882500-9884880	0.9484
1_MACS_peak_109_lociStitched	chr1(.):9895882-9896935	0.445
1_MACS_peak_110_lociStitched	chr1(.):9968993-9971694	1.0177
2_MACS_peak_111_lociStitched	chr1(.):10002179-10011847	0.4855
1_MACS_peak_113_lociStitched	chr1(.):10049876-10052243	1.7419
1_MACS_peak_114_lociStitched	chr1(.):10078293-10080079	0.9469
1_MACS_peak_115_lociStitched	chr1(.):10092194-10094252	1.4261
1_MACS_peak_116_lociStitched	chr1(.):10228515-10231922	1.4826
3_MACS_peak_117_lociStitched	chr1(.):10248944-10261820	0.504
1_MACS_peak_120_lociStitched	chr1(.):10269358-10271860	1.3682
1_MACS_peak_121_lociStitched	chr1(.):10310544-10314893	1.1277
1_MACS_peak_122_lociStitched	chr1(.):10458167-10460274	0.9076
1_MACS_peak_123_lociStitched	chr1(.):10489779-10491820	0.9398
1_MACS_peak_124_lociStitched	chr1(.):10504315-10505917	0.7808
1_MACS_peak_125_lociStitched	chr1(.):10515996-10518223	1.1657
2_MACS_peak_126_lociStitched	chr1(.):10531518-10536029	0.8194
1_MACS_peak_128_lociStitched	chr1(.):10999493-11001065	0.6255
1_MACS_peak_129_lociStitched	chr1(.):11071442-11073714	2.1506
1_MACS_peak_130_lociStitched	chr1(.):11119034-11121490	0.8484
1_MACS_peak_131_lociStitched	chr1(.):11158904-11160567	1.3661
1_MACS_peak_132_lociStitched	chr1(.):11286693-11287768	0.5065
1_MACS_peak_133_lociStitched	chr1(.):11321923-11323501	0.6938
1_MACS_peak_134_lociStitched	chr1(.):11332821-11334441	1.8988
1_MACS_peak_135_lociStitched	chr1(.):11538557-11539790	2.2313
1_MACS_peak_136_lociStitched	chr1(.):11622647-11632482	1.494
1_MACS_peak_137_lociStitched	chr1(.):11713979-11715214	0.8191
1_MACS_peak_138_lociStitched	chr1(.):11724132-11725262	0.7065
1_MACS_peak_139_lociStitched	chr1(.):11740422-11742091	0.86
1_MACS_peak_140_lociStitched	chr1(.):11795634-11797689	1.4092
1_MACS_peak_141_lociStitched	chr1(.):11843000-11845906	1.5373
2_MACS_peak_142_lociStitched	chr1(.):11862914-11867474	1.6705
1_MACS_peak_144_lociStitched	chr1(.):11967481-11970664	3.3705
1_MACS_peak_145_lociStitched	chr1(.):11984583-11987626	0.7908
1_MACS_peak_146_lociStitched	chr1(.):11993697-11995556	0.974
1_MACS_peak_147_lociStitched	chr1(.):12039631-12041211	1.7306
2_MACS_peak_148_lociStitched	chr1(.):12106642-12113225	0.9588
2_MACS_peak_150_lociStitched	chr1(.):12220846-12227790	0.8088
1_MACS_peak_152_lociStitched	chr1(.):12289733-12291669	0.7132
1_MACS_peak_153_lociStitched	chr1(.):12404350-12406087	0.5808
1_MACS_peak_154_lociStitched	chr1(.):12494192-12497052	1.0121
1_MACS_peak_155_lociStitched	chr1(.):12508760-12510413	0.6084
1_MACS_peak_156_lociStitched	chr1(.):12678388-12679270	0.588
1_MACS_peak_157_lociStitched	chr1(.):13824821-13825890	0.5348
1_MACS_peak_158_lociStitched	chr1(.):13968779-13969999	0.4252
1_MACS_peak_159_lociStitched	chr1(.):14025783-14027356	0.7661
1_MACS_peak_160_lociStitched	chr1(.):14056665-14058476	1.0094
1_MACS_peak_161_lociStitched	chr1(.):14074869-14077140	0.8477
1_MACS_peak_162_lociStitched	chr1(.):14155293-14156473	1.2648
1_MACS_peak_163_lociStitched	chr1(.):14237469-14239585	0.5581
1_MACS_peak_164_lociStitched	chr1(.):14246582-14249824	0.7781
1_MACS_peak_165_lociStitched	chr1(.):14292232-14295610	1.3483
4_MACS_peak_166_lociStitched	chr1(.):14329120-14344843	0.852
1_MACS_peak_170_lociStitched	chr1(.):14361058-14368165	2.3998
2_MACS_peak_171_lociStitched	chr1(.):14437105-14441184	0.5314
1_MACS_peak_173_lociStitched	chr1(.):14464120-14465375	0.4211
2_MACS_peak_174_lociStitched	chr1(.):14500723-14509062	0.895
1_MACS_peak_176_lociStitched	chr1(.):14687173-14688677	0.6443
1_MACS_peak_177_lociStitched	chr1(.):14695450-14697266	0.5077
1_MACS_peak_178_lociStitched	chr1(.):15059252-15060628	0.5922
1_MACS_peak_179_lociStitched	chr1(.):15161080-15164401	2.0018
1_MACS_peak_180_lociStitched	chr1(.):15207967-15209042	0.6096
1_MACS_peak_181_lociStitched	chr1(.):15416304-15417888	0.6063
1_MACS_peak_182_lociStitched	chr1(.):15482080-15483950	0.9617
2_MACS_peak_183_lociStitched	chr1(.):15502184-15506459	0.5044
1_MACS_peak_185_lociStitched	chr1(.):15587328-15588744	0.6256
1_MACS_peak_186_lociStitched	chr1(.):15735305-15737492	0.8438
1_MACS_peak_187_lociStitched	chr1(.):15850936-15854309	1.0605
3_MACS_peak_188_lociStitched	chr1(.):15896914-15912189	1.1238
1_MACS_peak_191_lociStitched	chr1(.):15942395-15945772	1.5957
1_MACS_peak_192_lociStitched	chr1(.):16009764-16012178	2.0166
1_MACS_peak_193_lociStitched	chr1(.):16022718-16025113	1.7945
1_MACS_peak_194_lociStitched	chr1(.):16149665-16151029	0.8209
1_MACS_peak_195_lociStitched	chr1(.):16160009-16163664	4.5631
2_MACS_peak_196_lociStitched	chr1(.):16173003-16178836	1.4588
1_MACS_peak_198_lociStitched	chr1(.):16212129-16213251	0.561
1_MACS_peak_199_lociStitched	chr1(.):16301590-16303276	0.9161
1_MACS_peak_200_lociStitched	chr1(.):16400179-16401028	0.5359
1_MACS_peak_201_lociStitched	chr1(.):16532855-16534244	0.6794
1_MACS_peak_202_lociStitched	chr1(.):16562398-16564420	1.1144
1_MACS_peak_203_lociStitched	chr1(.):16677588-16679975	1.4091
1_MACS_peak_204_lociStitched	chr1(.):16692639-16695650	2.0448
1_MACS_peak_205_lociStitched	chr1(.):16766549-16771275	1.4456
2_MACS_peak_206_lociStitched	chr1(.):16824773-16833216	0.3506
1_MACS_peak_209_lociStitched	chr1(.):16938871-16941184	1.8392
1_MACS_peak_210_lociStitched	chr1(.):16969869-16972657	5.8972
1_MACS_peak_211_lociStitched	chr1(.):16992037-16994721	11.6007
2_MACS_peak_212_lociStitched	chr1(.):17065676-17075380	3.3961
2_MACS_peak_214_lociStitched	chr1(.):17221253-17233545	4.5061
1_MACS_peak_216_lociStitched	chr1(.):17239706-17241698	1.3496
1_MACS_peak_217_lociStitched	chr1(.):17286642-17288495	1.0484
1_MACS_peak_218_lociStitched	chr1(.):17379697-17381406	0.7491
1_MACS_peak_219_lociStitched	chr1(.):17763517-17766688	1.0101
1_MACS_peak_220_lociStitched	chr1(.):19228304-19230041	1.364
1_MACS_peak_221_lociStitched	chr1(.):19252259-19256011	4.8407
2_MACS_peak_222_lociStitched	chr1(.):19276249-19284140	1.3481
1_MACS_peak_224_lociStitched	chr1(.):19535450-19537957	1.0531
1_MACS_peak_225_lociStitched	chr1(.):19577323-19578989	3.3272
1_MACS_peak_226_lociStitched	chr1(.):19637574-19639779	1.3963
1_MACS_peak_227_lociStitched	chr1(.):19810601-19813519	1.2989
1_MACS_peak_228_lociStitched	chr1(.):19831577-19832697	0.4922
1_MACS_peak_229_lociStitched	chr1(.):19922224-19924693	1.794
1_MACS_peak_230_lociStitched	chr1(.):20084690-20086717	0.7714
1_MACS_peak_231_lociStitched	chr1(.):20125215-20127784	1.8881
1_MACS_peak_232_lociStitched	chr1(.):20141723-20143186	0.5973
1_MACS_peak_233_lociStitched	chr1(.):20208414-20209768	0.889
2_MACS_peak_234_lociStitched	chr1(.):20404219-20408618	0.5519
1_MACS_peak_236_lociStitched	chr1(.):20415706-20416835	0.7186
1_MACS_peak_237_lociStitched	chr1(.):20445277-20447082	0.7942
2_MACS_peak_238_lociStitched	chr1(.):20833821-20839117	0.3806
1_MACS_peak_240_lociStitched	chr1(.):20959521-20960944	1.1037
1_MACS_peak_241_lociStitched	chr1(.):20986909-20989012	1.1354
1_MACS_peak_242_lociStitched	chr1(.):21022839-21023919	0.7508
1_MACS_peak_243_lociStitched	chr1(.):21111977-21114829	1.6118
1_MACS_peak_244_lociStitched	chr1(.):21290385-21292380	1.0337
1_MACS_peak_245_lociStitched	chr1(.):21348115-21350005	1.3339
2_MACS_peak_246_lociStitched	chr1(.):21501477-21503833	0.9199
1_MACS_peak_248_lociStitched	chr1(.):21615268-21622652	3.6776
1_MACS_peak_249_lociStitched	chr1(.):21659992-21662031	2.459
1_MACS_peak_250_lociStitched	chr1(.):21670820-21673049	0.6819
1_MACS_peak_251_lociStitched	chr1(.):21765873-21767364	0.7919
1_MACS_peak_252_lociStitched	chr1(.):22106340-22110813	2.9865
1_MACS_peak_253_lociStitched	chr1(.):22117235-22119586	2.2143
1_MACS_peak_254_lociStitched	chr1(.):22191226-22194977	1.9157
1_MACS_peak_255_lociStitched	chr1(.):22263870-22264661	0.7125
2_MACS_peak_256_lociStitched	chr1(.):22344857-22353598	1.2338
1_MACS_peak_258_lociStitched	chr1(.):22365512-22367540	1.7086
1_MACS_peak_259_lociStitched	chr1(.):22378328-22380675	1.7654
1_MACS_peak_260_lociStitched	chr1(.):22489142-22490438	0.6509
1_MACS_peak_261_lociStitched	chr1(.):22777580-22779742	1.1712
1_MACS_peak_262_lociStitched	chr1(.):22820169-22821961	0.918
1_MACS_peak_263_lociStitched	chr1(.):23345535-23347089	0.7984
1_MACS_peak_264_lociStitched	chr1(.):23493752-23495657	0.4771
1_MACS_peak_265_lociStitched	chr1(.):23669473-23672137	1.7376
1_MACS_peak_266_lociStitched	chr1(.):23693968-23696778	1.7992
1_MACS_peak_267_lociStitched	chr1(.):23849182-23858947	3.7941
1_MACS_peak_268_lociStitched	chr1(.):23865661-23867196	0.761
1_MACS_peak_269_lociStitched	chr1(.):23879655-23890794	2.0403
1_MACS_peak_270_lociStitched	chr1(.):23902703-23905417	0.9106
2_MACS_peak_271_lociStitched	chr1(.):23917956-23929995	0.8978
5_MACS_peak_273_lociStitched	chr1(.):23936471-23964384	1.5286
1_MACS_peak_278_lociStitched	chr1(.):24017815-24019499	1.6307
1_MACS_peak_279_lociStitched	chr1(.):24068958-24072025	1.3505
1_MACS_peak_280_lociStitched	chr1(.):24104071-24105852	0.8881
1_MACS_peak_281_lociStitched	chr1(.):24116736-24118828	0.9474
1_MACS_peak_282_lociStitched	chr1(.):24125731-24128047	1.3035
1_MACS_peak_283_lociStitched	chr1(.):24136100-24137805	0.5406
1_MACS_peak_284_lociStitched	chr1(.):24150980-24153075	1.8398
1_MACS_peak_285_lociStitched	chr1(.):24180858-24182976	1.7986
1_MACS_peak_286_lociStitched	chr1(.):24191006-24195277	1.2372
1_MACS_peak_287_lociStitched	chr1(.):24236909-24237989	0.6093
1_MACS_peak_288_lociStitched	chr1(.):24246048-24247785	1.3684
3_MACS_peak_289_lociStitched	chr1(.):24281076-24292126	1.1675
1_MACS_peak_292_lociStitched	chr1(.):24304907-24307954	1.8987
1_MACS_peak_293_lociStitched	chr1(.):24357536-24358229	0.6028
1_MACS_peak_294_lociStitched	chr1(.):24468502-24469976	1.156
1_MACS_peak_295_lociStitched	chr1(.):24476387-24479230	2.3288
2_MACS_peak_296_lociStitched	chr1(.):24511606-24534216	6.0508
1_MACS_peak_298_lociStitched	chr1(.):24644448-24650958	5.3707
1_MACS_peak_299_lociStitched	chr1(.):24676597-24679019	0.7656
1_MACS_peak_300_lociStitched	chr1(.):24709940-24720750	3.0454
2_MACS_peak_301_lociStitched	chr1(.):24739270-24744196	0.9427
1_MACS_peak_303_lociStitched	chr1(.):24807135-24808810	0.6777
1_MACS_peak_304_lociStitched	chr1(.):24826885-24830573	1.8831
1_MACS_peak_305_lociStitched	chr1(.):24861274-24862423	0.8239
2_MACS_peak_306_lociStitched	chr1(.):24882230-24885202	0.5126
1_MACS_peak_308_lociStitched	chr1(.):24910227-24911180	0.4777
1_MACS_peak_309_lociStitched	chr1(.):24967846-24971241	2.2988
2_MACS_peak_310_lociStitched	chr1(.):25048380-25055051	0.5881
1_MACS_peak_312_lociStitched	chr1(.):25069815-25076600	1.6116
1_MACS_peak_313_lociStitched	chr1(.):25174318-25175607	0.5862
1_MACS_peak_314_lociStitched	chr1(.):25254272-25257865	2.0469
1_MACS_peak_315_lociStitched	chr1(.):25290838-25293070	1.7082
3_MACS_peak_316_lociStitched	chr1(.):25347150-25364650	1.3354
4_MACS_peak_319_lociStitched	chr1(.):25558046-25574913	0.9125
1_MACS_peak_323_lociStitched	chr1(.):25592693-25595378	2.7223
1_MACS_peak_324_lociStitched	chr1(.):25663265-25666104	3.2602
1_MACS_peak_325_lociStitched	chr1(.):25756036-25758307	0.7276
1_MACS_peak_326_lociStitched	chr1(.):25798456-25801128	0.7672
2_MACS_peak_327_lociStitched	chr1(.):25869669-25878881	1.4695
1_MACS_peak_329_lociStitched	chr1(.):25886863-25890681	1.3719
3_MACS_peak_330_lociStitched	chr1(.):25942087-25947969	0.637
1_MACS_peak_333_lociStitched	chr1(.):25958102-25959461	0.6945
1_MACS_peak_334_lociStitched	chr1(.):25967633-25970430	2.0959
1_MACS_peak_335_lociStitched	chr1(.):26125843-26127683	0.5192
1_MACS_peak_336_lociStitched	chr1(.):26145559-26148178	1.4865
1_MACS_peak_337_lociStitched	chr1(.):26201262-26202511	0.5713
1_MACS_peak_338_lociStitched	chr1(.):26230897-26233139	1.2276
1_MACS_peak_339_lociStitched	chr1(.):26323045-26325771	1.3441
1_MACS_peak_340_lociStitched	chr1(.):26436623-26439630	2.1155
2_MACS_peak_341_lociStitched	chr1(.):26445727-26453948	0.4922
1_MACS_peak_343_lociStitched	chr1(.):26495911-26497181	0.7781
1_MACS_peak_344_lociStitched	chr1(.):26503591-26504676	0.7277
2_MACS_peak_345_lociStitched	chr1(.):26560529-26564623	0.6851
1_MACS_peak_347_lociStitched	chr1(.):26578567-26580313	0.5367
1_MACS_peak_348_lociStitched	chr1(.):26605493-26607410	1.5172
1_MACS_peak_349_lociStitched	chr1(.):26632315-26634919	1.3041
2_MACS_peak_350_lociStitched	chr1(.):26641457-26644798	0.47
1_MACS_peak_352_lociStitched	chr1(.):26758136-26759636	0.9762
1_MACS_peak_353_lociStitched	chr1(.):26797834-26800567	2.1702
1_MACS_peak_354_lociStitched	chr1(.):26826176-26828870	3.4416
1_MACS_peak_355_lociStitched	chr1(.):26855594-26857265	0.6626
2_MACS_peak_356_lociStitched	chr1(.):26864657-26873449	2.3096
1_MACS_peak_358_lociStitched	chr1(.):26945940-26948615	4.1986
1_MACS_peak_359_lociStitched	chr1(.):27018210-27030300	2.3435
3_MACS_peak_360_lociStitched	chr1(.):27061491-27072701	1.3464
1_MACS_peak_363_lociStitched	chr1(.):27112113-27116214	5.4076
4_MACS_peak_364_lociStitched	chr1(.):27152346-27167060	0.8374
1_MACS_peak_368_lociStitched	chr1(.):27190312-27193158	2.1992
1_MACS_peak_369_lociStitched	chr1(.):27215591-27217548	1.357
1_MACS_peak_370_lociStitched	chr1(.):27226114-27227868	1.652
1_MACS_peak_371_lociStitched	chr1(.):27247312-27249120	0.8808
1_MACS_peak_372_lociStitched	chr1(.):27285948-27287739	1.0111
1_MACS_peak_373_lociStitched	chr1(.):27396482-27398009	0.5311
1_MACS_peak_374_lociStitched	chr1(.):27463044-27464463	0.7613
1_MACS_peak_375_lociStitched	chr1(.):27480756-27482435	0.8303
1_MACS_peak_376_lociStitched	chr1(.):27560098-27562399	0.5978
1_MACS_peak_377_lociStitched	chr1(.):27648138-27649647	1.1623
2_MACS_peak_378_lociStitched	chr1(.):27667505-27676862	0.3247
1_MACS_peak_380_lociStitched	chr1(.):27683611-27684555	0.5211
1_MACS_peak_381_lociStitched	chr1(.):27692083-27693895	0.5551
1_MACS_peak_382_lociStitched	chr1(.):27717882-27719669	0.4621
1_MACS_peak_383_lociStitched	chr1(.):27744122-27745950	0.8501
2_MACS_peak_384_lociStitched	chr1(.):27757236-27766321	0.678
1_MACS_peak_386_lociStitched	chr1(.):27815413-27818047	2.9803
1_MACS_peak_387_lociStitched	chr1(.):27883101-27884351	0.6145
1_MACS_peak_388_lociStitched	chr1(.):27929641-27930818	0.4639
1_MACS_peak_389_lociStitched	chr1(.):27960463-27961330	0.4996
1_MACS_peak_390_lociStitched	chr1(.):27985389-27987521	0.8831
1_MACS_peak_391_lociStitched	chr1(.):27997967-27999704	0.9589
1_MACS_peak_392_lociStitched	chr1(.):28051515-28053761	1.1357
1_MACS_peak_393_lociStitched	chr1(.):28098726-28100758	0.8026
1_MACS_peak_394_lociStitched	chr1(.):28156263-28158308	1.6393
1_MACS_peak_395_lociStitched	chr1(.):28195073-28196607	0.6215
1_MACS_peak_396_lociStitched	chr1(.):28240288-28242048	0.8503
1_MACS_peak_397_lociStitched	chr1(.):28285347-28287410	1.3229
1_MACS_peak_398_lociStitched	chr1(.):28322502-28323717	0.5049
2_MACS_peak_399_lociStitched	chr1(.):28352108-28364269	2.3124
2_MACS_peak_401_lociStitched	chr1(.):28389887-28397450	0.3079
1_MACS_peak_403_lociStitched	chr1(.):28413599-28416278	1.5833
1_MACS_peak_404_lociStitched	chr1(.):28473898-28475502	0.7034
2_MACS_peak_405_lociStitched	chr1(.):28494962-28500234	0.7182
3_MACS_peak_407_lociStitched	chr1(.):28558609-28577103	1.3231
1_MACS_peak_410_lociStitched	chr1(.):28585040-28587336	0.9048
1_MACS_peak_411_lociStitched	chr1(.):28654765-28656616	1.8162
1_MACS_peak_412_lociStitched	chr1(.):28695458-28697282	2.1209
1_MACS_peak_413_lociStitched	chr1(.):28831388-28837364	2.331
1_MACS_peak_414_lociStitched	chr1(.):28844295-28846041	1.1875
1_MACS_peak_415_lociStitched	chr1(.):28878327-28881032	2.2101
3_MACS_peak_416_lociStitched	chr1(.):28903188-28914650	1.0427
1_MACS_peak_419_lociStitched	chr1(.):28924291-28929632	1.7346
2_MACS_peak_420_lociStitched	chr1(.):28968418-28976270	1.5182
1_MACS_peak_422_lociStitched	chr1(.):28994340-28996954	2.3194
1_MACS_peak_423_lociStitched	chr1(.):29062195-29064687	1.8446
1_MACS_peak_424_lociStitched	chr1(.):29210596-29214976	1.4038
1_MACS_peak_425_lociStitched	chr1(.):29240044-29242602	0.9165
1_MACS_peak_426_lociStitched	chr1(.):29251982-29255829	1.224
1_MACS_peak_427_lociStitched	chr1(.):29312687-29313803	0.4997
1_MACS_peak_428_lociStitched	chr1(.):29506722-29509777	2.6955
1_MACS_peak_429_lociStitched	chr1(.):30347170-30351284	0.8891
2_MACS_peak_430_lociStitched	chr1(.):30369295-30374932	0.3096
1_MACS_peak_432_lociStitched	chr1(.):31073076-31073770	0.4219
1_MACS_peak_433_lociStitched	chr1(.):31190284-31193038	0.9915
2_MACS_peak_434_lociStitched	chr1(.):31213529-31235915	4.9412
3_MACS_peak_436_lociStitched	chr1(.):31246411-31256276	0.419
1_MACS_peak_439_lociStitched	chr1(.):31536773-31539355	2.1624
1_MACS_peak_440_lociStitched	chr1(.):31627978-31629010	0.4749
1_MACS_peak_441_lociStitched	chr1(.):31635015-31636005	0.673
1_MACS_peak_442_lociStitched	chr1(.):31768809-31770653	1.0821
1_MACS_peak_443_lociStitched	chr1(.):31867057-31868440	0.6743
1_MACS_peak_444_lociStitched	chr1(.):31885492-31887224	0.8169
1_MACS_peak_445_lociStitched	chr1(.):31895628-31897380	0.6091
1_MACS_peak_446_lociStitched	chr1(.):31913375-31916204	1.188
1_MACS_peak_447_lociStitched	chr1(.):31933007-31934949	0.5564
2_MACS_peak_448_lociStitched	chr1(.):31943480-31951402	1.1494
1_MACS_peak_450_lociStitched	chr1(.):31959407-31961163	0.831
2_MACS_peak_451_lociStitched	chr1(.):31971172-31975619	0.615
1_MACS_peak_453_lociStitched	chr1(.):32014423-32015737	0.6471
1_MACS_peak_454_lociStitched	chr1(.):32070969-32072514	0.4402
1_MACS_peak_455_lociStitched	chr1(.):32109295-32111467	1.5256
1_MACS_peak_456_lociStitched	chr1(.):32135152-32136308	0.582
1_MACS_peak_457_lociStitched	chr1(.):32179806-32181659	0.6006
1_MACS_peak_458_lociStitched	chr1(.):32209433-32212154	1.654
1_MACS_peak_459_lociStitched	chr1(.):32253133-32255328	2.6335
1_MACS_peak_460_lociStitched	chr1(.):32402423-32404973	0.7976
1_MACS_peak_461_lociStitched	chr1(.):32420152-32422874	0.8511
2_MACS_peak_462_lociStitched	chr1(.):32445789-32452911	1.8367
2_MACS_peak_464_lociStitched	chr1(.):32470764-32481051	0.62
2_MACS_peak_466_lociStitched	chr1(.):32531667-32539625	0.5147
1_MACS_peak_468_lociStitched	chr1(.):32572685-32575457	1.3114
1_MACS_peak_469_lociStitched	chr1(.):32644360-32646562	1.4195
2_MACS_peak_470_lociStitched	chr1(.):32665777-32671998	0.4736
1_MACS_peak_472_lociStitched	chr1(.):32686983-32689023	1.0761
1_MACS_peak_473_lociStitched	chr1(.):32705719-32707113	0.6342
1_MACS_peak_474_lociStitched	chr1(.):32713204-32718008	3.6027
1_MACS_peak_475_lociStitched	chr1(.):32756512-32759021	1.3388
2_MACS_peak_476_lociStitched	chr1(.):32800888-32804430	0.5586
1_MACS_peak_478_lociStitched	chr1(.):32816145-32818419	1.5443
1_MACS_peak_479_lociStitched	chr1(.):32859169-32861290	1.2347
