GENE	IRF4H3K27ac_31_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_31_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
FLJ33630	4503.8888	111.3362	-4392.5526	0.0241236776105174	-5.3381765541921
ARL6IP6	5193.5469	821.1044	-4372.4425	0.136517373833459	-2.66108258319735
DCLRE1A	4422.6161	51.6903	-4370.9258	0.0115526956312156	-6.4188626305792
RPL37	4835	470.1729	-4364.8271	0.0886253678932877	-3.36225259779406
NHLRC2	4416.2825	51.6903	-4364.5922	0.0115690722199562	-6.4167950754938
UBE2M	6299.5094	1944.4973	-4355.0121	0.2358679912281	-1.69584224568126
NCOR1	4340.4848	6.5208	-4333.964	0.00150006708065893	-8
ZNF800	5083.6	781.1646	-4302.4354	0.133196241158597	-2.70215203994517
TIPARP	7236.609	2968.7504	-4267.8586	0.290901112213647	-1.28545802098607
LOC100132352	5283.2	1019.5237	-4263.6763	0.161759224825293	-2.37351671251538
LOC645513	4407.8	153.4591	-4254.3409	0.0336440216693676	-4.8441326602934
MAPRE2	4889.5953	636.0137	-4253.5816	0.115102914447982	-2.94258531452375
CAGE1	4308.6862	84.3891	-4224.2971	0.0192095728475221	-5.67404755383031
RIOK1	4305.7588	84.3891	-4221.3697	0.0192223820067657	-5.67306702737149
LOC400027	6250.824	2031.373	-4219.451	0.245269823936813	-1.62159121103461
PJA2	4467	250.8448	-4216.1552	0.0531693624173479	-4.15443931811147
CYP51A1	4461.0453	257.3217	-4203.7236	0.0545361774529196	-4.11573676800511
ECE2	5250.153	1059.0169	-4191.1361	0.167853603054817	-2.30963385409641
UGP2	4396.7738	206.6748	-4190.099	0.0448956462770107	-4.41101091659315
THAP5	4439.9265	251.4249	-4188.5016	0.0535932780477711	-4.14233635390131
MTR	4257.1296	92.0153	-4165.1143	0.0211571014798794	-5.53186343291767
ATR	4159.3201	8.3763	-4150.9438	0.00200981530228545	-8
TADA1	4337.629	197.6705	-4139.9585	0.0435848834239062	-4.45573717676088
DNAJB9	4376.3685	251.4249	-4124.9436	0.0543293268018404	-4.12153478136435
LOC100131691	6068.3554	1944.4973	-4123.8581	0.242672288235125	-1.64190834956003
SNORD74	4185.8368	70.1544	-4115.6824	0.0164836806993398	-5.89883866298723
GAS5	4177.0999	70.1544	-4106.9455	0.0165175887867133	-5.89582424655898
C16orf80	4119.3648	13.6161	-4105.7487	0.00329449865108256	-8
DEGS1	4836.6	734.2304	-4102.3696	0.131799094081198	-2.71968847392214
DDX60	4094.875	0	-4094.875	0	-8
C12orf61	4404.7318	311.2949	-4093.4369	0.0660078748069853	-3.82270033128556
PARD3B	4113.317	22.5107	-4090.8063	0.00544285246699228	-7.51354752972436
RPS3A	4177.8764	105.9211	-4071.9553	0.0247259820287957	-5.30170789679373
OPA1	4149.8	84.2463	-4065.5537	0.0198973497290287	-5.62228467089779
SCAND1	4621.2	557.4129	-4063.7871	0.107637491112726	-3.05144923327175
RNPS1	4323.7825	269.501	-4054.2815	0.0586728426407819	-4.00393142144377
C4orf43	4221.2	177.1355	-4044.0645	0.0402733033894299	-4.57472790672267
ZBED5	4121.4089	79.3613	-4042.0476	0.0188920831708433	-5.69855813713939
TSGA10	5125.9213	1096.398	-4029.5233	0.176204072330393	-2.22503972703636
HNRNPH3	4436.4637	407.5831	-4028.8806	0.0841410326588917	-3.44424402609076
CUL4A	4078.9221	58.5865	-4020.3356	0.014159849722125	-6.12147587944246
LOC729013	4092.766	79.3613	-4013.4047	0.0190217829642926	-5.68849671580952
NCRNA00167	4384.7052	387.1348	-3997.5704	0.0811290403701717	-3.50157194407318
BRWD1	5200.0982	1202.8205	-3997.2777	0.18785503242451	-2.1121175062557
SETD7	4563.4	576.7506	-3986.6494	0.112205000374892	-2.98408961236072
NCRNA00245	6299.65	2319.703	-3979.947	0.26912727672251	-1.44133157297079
UBE3C	4195.4	221.3837	-3974.0163	0.0501232831483235	-4.24418745875413
FAM165B	3970.9527	1.4352	-3969.5175	0.000361294021663896	-8
GPR37	5018.7305	1052.758	-3965.9725	0.173393723796067	-2.25314863841469
TNPO1	4201.2772	241.878	-3959.3992	0.0544383414740948	-4.11847651774035
C1orf9	4152.0991	197.2084	-3954.8907	0.045342482682588	-4.39604796849139
FAM98B	5032.2258	1082.538	-3949.6878	0.177036764690731	-2.21677899022777
ZBTB37	4008.4275	70.1544	-3938.2731	0.0172006843849329	-5.8363589795848
PRDM10	4311.5864	387.1348	-3924.4516	0.0823915238895213	-3.47731088638372
MDH1	3924.0759	7.3875	-3916.6884	0.00187907128933211	-8
ZNF687	5821.6	1911.831	-3909.769	0.247216403689384	-1.60646071668341
SLC12A2	4017.868	111.3362	-3906.5318	0.0269631131344873	-5.17343551378661
THOC1	4025.2	119.0448	-3906.1552	0.028725330125286	-5.07948395947085
ZNF503	6200.4244	2319.703	-3880.7214	0.272261539187783	-1.41842686323137
FRG1B	3906.7998	35.5142	-3871.2856	0.00900846558645506	-6.78144753049503
KIAA0528	4102.5572	237.1176	-3865.4396	0.0546394858895879	-4.11284879307007
LOC387723	4117	253.534	-3863.466	0.0580098450212262	-4.02134231173321
ZC3H6	3883.9464	20.7428	-3863.2036	0.00531227939985595	-7.54876882911429
PANX1	3929.6	68.2331	-3861.3669	0.017067520902761	-5.84776689257186
SHB	4014.5888	172.9882	-3841.6006	0.0413098553172873	-4.53650668906502
SNORD75	3904.8242	70.1544	-3834.6698	0.017649000676381	-5.79858019690549
MARCH7	4516	681.342	-3834.658	0.13109431705668	-2.72859443936647
ZEB1	6036.485	2202.6082	-3833.8768	0.267336240352276	-1.45449583229122
GLUL	3878.1394	49.7097	-3828.4297	0.0126557051287943	-6.28569345534328
GTF3C4	3827.1407	11.4999	-3815.6408	0.00299582617867377	-8
DDX31	3817.4295	11.4999	-3805.9296	0.00300342440369885	-8
CADPS2	4666.4	866.2844	-3800.1156	0.156575784441997	-2.42939733659993
ADCK4	5857.3359	2064.3673	-3792.9686	0.260596395482224	-1.50454494756296
AKR1B1	3901.305	112.2416	-3789.0634	0.0279656899959751	-5.11927740628548
DCAF10	4023.18	240.5535	-3782.6265	0.0564185120857108	-4.06390659105528
ESCO1	4174.2	392.3243	-3781.8757	0.0859131090137854	-3.41138112479846
EARS2	4562.297	783.4457	-3778.8513	0.146555070822993	-2.54185517617747
HNRNPA0	5177.2	1438.2192	-3738.9808	0.217404091338611	-1.84788847721118
CEP170	4566.6346	832.277	-3734.3576	0.154156441457571	-2.45599568297558
KCTD3	3752.104	18.2185	-3733.8855	0.00483208001437543	-7.68615182515575
PSMA1	6256.6061	2523.2393	-3733.3668	0.287389946524571	-1.3101032427829
PSMG1	4063	331.2915	-3731.7085	0.075391334416481	-3.61637227102434
KCTD9	3804.6864	77.7316	-3726.9548	0.020021440246774	-5.61313252227561
SLCO5A1	4270.6292	554.775	-3715.8542	0.114969643372052	-2.94447395891646
RBPJ	4730.4476	1016.501	-3713.9466	0.17687664720022	-2.21836506490883
C2orf7	3722.8183	12.7335	-3710.0848	0.00340873334964864	-8
CCDC45	3852.5254	142.4655	-3710.0599	0.035661032419373	-4.75711997053327
C7orf55	6089.6	2384.8507	-3704.7493	0.281416552461624	-1.35244851542531
PIKFYVE	3757.6	57.7464	-3699.8536	0.0151352967583756	-6.02393667899394
TPK1	4049.7832	355.8048	-3693.9784	0.0807621593303777	-3.50868679862915
TCP11L1	3690.6436	0	-3690.6436	0	-8
SMARCD2	5225.4	1544.5996	-3680.8004	0.228153573303018	-1.75830857563871
ITGB3BP	3766.956	88.334	-3678.622	0.0229124138521356	-5.41428652966663
UBFD1	4458.743	783.4457	-3675.2973	0.149450114224236	-2.50873185450929
EFCAB7	3762.0708	88.334	-3673.7368	0.0229414839707243	-5.41241434751347
ZNF335	5439.8	1769.7808	-3670.0192	0.245476241836419	-1.61998292695965
SLC33A1	5894.8	2238.8885	-3655.9115	0.275261156116318	-1.396660184372
PAXIP1	3866.61	210.8416	-3655.7684	0.0517091606924286	-4.19683780599884
TSEN34	4194.636	540.8952	-3653.7408	0.114220596836106	-2.95512462270761
HSPD1	6053.0388	2399.5524	-3653.4864	0.283883645053129	-1.33489428064258
TXNDC9	3688.0147	41.7726	-3646.2421	0.0111997271265308	-6.46414365380012
FAM46A	4502.2	857.3512	-3644.8488	0.159966976339362	-2.39267193953623
WASH5P	3644.245	3.96	-3640.285	0.0010854653178755	-8
EXO1	3632.148	2.0148	-3630.1332	0.000554405542866709	-8
PRMT3	3725.4	104.8574	-3620.5426	0.0273760713836099	-5.15089475346695
DLG1	4128.8	510.0778	-3618.7222	0.109957153861652	-3.01693331860867
MAGEF1	3920.3122	303.6468	-3616.6654	0.0718867773101017	-3.69050247966769
BIRC6	3809.4	194.8928	-3614.5072	0.0486709663189465	-4.28881108510514
PIGP	3793.4806	179.8639	-3613.6167	0.0452676328468372	-4.39854459843345
SLC19A2	3655.6	44.5671	-3611.0329	0.0120446182011618	-6.35798532020916
HSPE1	6010.4868	2399.5524	-3610.9344	0.285320001837804	-1.32471652398651
C9orf102	3660.36	51.8461	-3608.5139	0.0139663851099216	-6.14160626593118
FLJ39739	7866.285	4260.3117	-3605.9733	0.351319649312655	-0.884723469730164
TRIM59	4817.975	1215.2794	-3602.6956	0.201430160147068	-1.98713887141215
SLC30A6	3598.3072	0	-3598.3072	0	-8
ZNF678	3679.3332	93.5533	-3585.7799	0.024796213721245	-5.29751197829984
FZD1	3694.8	113.8698	-3580.9302	0.0298975248523776	-5.02003919495914
VRK2	3624.54	51.435	-3573.105	0.0139922061493889	-6.13890369526506
MIRLET7I	3877.8828	311.2949	-3566.5879	0.0743093089605628	-3.63891535581453
ANKRD17	4552.4	989.9346	-3562.4654	0.17861328689899	-2.2012222048349
TP53BP2	3852.8	293.5097	-3559.2903	0.0707881758084786	-3.71442720933928
FAM76B	4856.1625	1301.8716	-3554.2909	0.21141026159631	-1.89922953228805
GOLIM4	5978.8	2435.4103	-3543.3897	0.289440151026413	-1.2956911039261
C7orf13	4176.6016	634.6326	-3541.969	0.131906403558571	-2.71833599639722
RNF32	4176.6016	634.6326	-3541.969	0.131906403558571	-2.71833599639722
LUC7L2	5920.6	2384.8507	-3535.7493	0.287142839822046	-1.31184443623769
RAB33B	4156.2	620.6941	-3535.5059	0.129936751162225	-2.74331074208974
CDCA2	3611.6496	77.7316	-3533.918	0.0210690074530656	-5.53801290753284
TTC3	3711.711	179.8639	-3531.8471	0.0462187943498145	-4.36710682288786
S100PBP	4391.8944	862.2149	-3529.6795	0.16410296222806	-2.3487239670114
RPL22L1	4017.0624	492.2636	-3524.7988	0.109165671322056	-3.02863790219571
ARMC5	4217.8	702.8755	-3514.9245	0.142841262342945	-2.58514961375731
PAICS	4769.9362	1259.8574	-3510.0788	0.208938727189601	-1.92070952163113
IPMK	3740.64	230.8405	-3509.7995	0.0581245457455979	-4.01831686117583
DALRD3	6354.0316	2850.2408	-3503.7908	0.309664976886169	-1.15658845570588
AZI2	3801.28	301.3389	-3499.9411	0.0734503758075116	-3.65702646882106
FBXL17	4411.2	912.9104	-3498.2896	0.171467218260538	-2.27262599730181
LOC202781	3704.414	210.8416	-3493.5724	0.0538512990058682	-4.13501389071802
MIR3661	3738.1219	247.795	-3490.3269	0.062167628231286	-3.91509463384754
PPPDE1	3561.2917	79.0671	-3482.2246	0.0217195898382324	-5.49317928840433
CNOT1	3620.4	146.4338	-3473.9662	0.0388745051613374	-4.62782860079573
POLR1B	4374.6717	907.5433	-3467.1284	0.171811124689169	-2.26913637044027
IQCG	4467.2407	1004.4458	-3462.7949	0.18357151858024	-2.15298427258517
C9orf130	3508.44	51.8461	-3456.5939	0.0145623409309718	-6.08045041017332
PPP2CA	3698.2843	247.795	-3450.4893	0.0627952408356315	-3.89963715177167
TMEM65	3953.8631	503.8877	-3449.9754	0.113036309701296	-2.97208877415759
PRKAG2	3783.8	336.1886	-3447.6114	0.0815994005420306	-3.49249312488722
C2orf86	3922.6589	476.3331	-3446.3258	0.108282329224513	-3.0417891804072
RTP4	3647.6	207.6881	-3439.9119	0.0538709675160204	-4.13445706967752
LOC285074	4524	1088.6478	-3435.3522	0.193963319772176	-2.05506164136817
MBTD1	3437.7023	4.7432	-3432.9591	0.00137785768866929	-8
WDR4	5039.4	1614.1091	-3425.2909	0.24259515929722	-1.64251387830769
FTSJD2	3929.5738	515.6711	-3413.9027	0.116005104690632	-2.92984974756969
ANKRD18A	4207.584	797.8184	-3409.7656	0.159391460714527	-2.3988597720935
GFRA1	4175.2232	770.2116	-3405.0116	0.155741937999061	-2.43852656700971
PLK2	3429.2196	25.168	-3404.0516	0.00728580660722612	-7.09014590829188
ZKSCAN2	3588.7804	189.318	-3399.4624	0.0501093354265204	-4.24461015491788
ZNF302	3523.45	126.4883	-3396.9617	0.0346549145775971	-4.79991289262914
WASH3P	4307.1056	916.8146	-3390.291	0.175503178628188	-2.23201677158931
WAC	3641.4594	278.8542	-3362.6052	0.071130585063399	-3.70693385448831
WHSC2	3375.9396	14.2002	-3361.7394	0.00418867682093818	-7.89323403310346
TROVE2	6219.4708	2870.8036	-3348.6672	0.315810444622002	-1.11533719511392
LARP1B	3963.6	618.7235	-3344.8765	0.135023967644362	-2.67944463973941
HSPA9	4079	735.0033	-3343.9967	0.152680265092465	-2.47239287467703
KIF9	3724.4424	381.4059	-3343.0365	0.0928933248702832	-3.2876253844422
KLHL18	3724.4424	381.4059	-3343.0365	0.0928933248702832	-3.2876253844422
RBBP5	3549.498	206.7525	-3342.7455	0.0550422555684186	-4.10163832159546
SMG7	7187.2	3845.3828	-3341.8172	0.348547830522514	-0.902302610171884
PHTF2	3352.3668	10.66	-3341.7068	0.00316976361889236	-8
C4orf46	3651.4548	315.6739	-3335.7809	0.0795723869507939	-3.53196448380425
C7orf23	6065.8	2731.4901	-3334.3099	0.310492216233724	-1.15100973642765
ATP9B	4000	671.9486	-3328.0514	0.143826197060473	-2.57357721509942
UTP18	3331.4351	4.7432	-3326.6919	0.00142174655353402	-8
SLC35A5	4040.4775	718.5682	-3321.9093	0.150989976835062	-2.4913288035863
USP1	3718.239	400.2255	-3318.0135	0.0971783294477833	-3.21573451114104
GORAB	3388.8	73.087	-3315.713	0.0211118964888224	-5.53501586768988
C4orf38	3570.817	257.4324	-3313.3846	0.0672454621164441	-3.79398865424359
RMND5A	4125.2743	813.1728	-3312.1015	0.164661640295793	-2.34285618694609
ACAA1	3540.5241	237.1808	-3303.3433	0.0627843641254244	-3.89990380446539
EIF2B5	3938.2	638.4843	-3299.7157	0.139508049528345	-2.62481332947387
ASAH1	3846.286	551.6208	-3294.6652	0.125428033172508	-2.80171727900132
YARS	4152.8184	862.2149	-3290.6035	0.171926056802056	-2.26797138587773
SERBP1	4163.6	876.1937	-3287.4063	0.173855072678868	-2.24850972800259
ETFDH	3596.9908	315.6739	-3281.3169	0.0806800286260154	-3.51028358121236
KPNA4	3470.2	199.2668	-3270.9332	0.0543040204097227	-4.1222455461158
WWC2	3527.433	257.4324	-3270.0006	0.068016262876878	-3.77635313533855
KIF24	3311.67	41.7785	-3269.8915	0.0124583693472555	-6.30865441332248
EIF4G2	3345.3552	79.3613	-3265.9939	0.0231731006055538	-5.39757993151233
TTC14	4055.416	792.4766	-3262.9394	0.163468266603101	-2.35540967051595
UCHL5	6127.986	2870.8036	-3257.1824	0.319021082568705	-1.09395836631547
IL15	3899	643.4048	-3255.5952	0.141644091253162	-2.59930555063822
FBXW4	3423.0272	171.8975	-3251.1297	0.0478167178300007	-4.31565228813911
FAM201A	4046.61	797.8184	-3248.7916	0.164687829837675	-2.3425815114922
SYNCRIP	5477.1547	2229.7843	-3247.3704	0.289321648971141	-1.29652247265898
ANKRD13C	3362.3968	119.6286	-3242.7682	0.0343560388732374	-4.81285574288878
NUDT2	3282.329	41.7785	-3240.5505	0.0125683360119972	-6.29581534720544
ABCB10	4398.4	1158.5477	-3239.8523	0.208486342241443	-1.9246613675564
IFRD1	5656.9792	2417.2189	-3239.7603	0.299375723763825	-1.22668373889665
STAG1	4093.6	858.6139	-3234.9861	0.17337980897796	-2.25328870475189
LIG4	3248.425	15.4056	-3233.0194	0.00472009791194433	-7.72014171430198
APEH	3747.5433	516.1251	-3231.4182	0.121051885742334	-2.86015244947012
PNPLA8	3479.4	251.4249	-3227.9751	0.0673912356487167	-3.79063910407939
PL-5283	3225.7958	0	-3225.7958	0	-8
ZBTB6	3466.074	241.5991	-3224.4749	0.0651619205587461	-3.84261547059528
DPP3	3415.088	191.386	-3223.702	0.0530673450023486	-4.15736554957142
ANKRD36	3314	93.3942	-3220.6058	0.0274092736320324	-5.14909683438049
ORC4	3412.0105	192.201	-3219.8095	0.0533267817385301	-4.14993433893907
RPL7	3251.6175	39.996	-3211.6215	0.0121508798040839	-6.34515802424125
PEX13	4620.7698	1410.7048	-3210.065	0.233890531512808	-1.7117170930033
MBD5	3400.6694	192.201	-3208.4684	0.0534951107615794	-4.14513101217706
CHCHD3	3462.8524	257.7459	-3205.1065	0.0692753904660979	-3.74793951193361
PIK3CA	3868.6	666.1432	-3202.4568	0.146897667766501	-2.53790731660182
CALM2	5229.6	2029.3458	-3200.2542	0.27956480953474	-1.36568588138334
MTUS1	3680.7265	483.619	-3197.1075	0.116133255513982	-2.92804772267853
HHLA3	3315.2518	119.6286	-3195.6232	0.0348275881745402	-4.79248420437247
MBLAC2	3578.5245	383.3712	-3195.1533	0.0967645867103468	-3.22255099036196
CR2	3288.3509	97.4988	-3190.8521	0.0287959622070643	-5.07583598452351
CNOT2	3201.0316	11.8427	-3189.1889	0.00368601410892421	-8
ZYX	3691.6242	507.3912	-3184.233	0.120835755925068	-2.86308529379573
GPBP1	4754.65	1576.7609	-3177.8891	0.249037840838919	-1.59237523865459
SMARCAL1	3217.0708	47.0107	-3170.0601	0.0144024283707377	-6.09661471361844
SND1	4380	1212.0253	-3167.9747	0.216741741136257	-1.8535110556661
FOXN2	4335.8	1168.6812	-3167.1188	0.212314504771131	-1.89141677381603
REV3L	4341.96	1181.9914	-3159.9686	0.21397570586881	-1.87712689657674
SMC4	4368.3224	1215.2794	-3153.043	0.217651516624986	-1.84579130078163
ZNF767	3352.2544	204.135	-3148.1194	0.057399507489253	-4.03753617199881
YTHDF3	3555.2	411.1071	-3144.0929	0.103649840931379	-3.11234452863362
CBFB	3331	190.3394	-3140.6606	0.0540531253533812	-4.1293092204402
POLR3G	3524.004	383.3712	-3140.6328	0.0981147651241683	-3.20040169523297
DCAF7	3258.2	120.6762	-3137.5238	0.0357148924248838	-4.75486208630014
TBC1D4	3137.409	0	-3137.409	0	-8
SNX3	3500.8	368.7966	-3132.0034	0.0953062135727533	-3.24678738275842
STAM2	3131.7468	0	-3131.7468	0	-8
RFXANK	3890.17	759.4452	-3130.7248	0.163335064802782	-2.3568154305075
SEC23B	3698.3705	568.4932	-3129.8773	0.133234441025149	-2.70167476247944
SBDS	3635.5672	506.1278	-3129.4394	0.122203059375449	-2.84460683826095
TIMM17A	3991.62	868.0309	-3123.5891	0.178620011573259	-2.20115607796618
EIF4G1	3704.1862	583.0374	-3121.1488	0.135994166481077	-2.66749628520601
CCDC25	3351.0586	233.337	-3117.7216	0.0650980042493078	-3.84412991799459
MEIS2	3603.297	485.7884	-3117.5086	0.118801236090594	-2.89091762429947
TRA2B	5161.088	2047.7558	-3113.3322	0.284061613320017	-1.3336315491423
FOXJ3	3132.029	19.9987	-3112.0303	0.00634470947066867	-7.29104753885473
KLHL20	3112.515	10.603	-3101.912	0.00339500460757487	-8
PCNP	3236.8	142.1702	-3094.6298	0.0420750085336651	-4.50887722355819
CCT7	3104.9493	12.7335	-3092.2158	0.00408428336583824	-7.92979688011946
DSE	5774.743	2686.0482	-3088.6948	0.317470096650063	-1.10427154849747
C18orf18	3671.068	585.4319	-3085.6361	0.137538332844786	-2.6486265730426
PCID2	3142.9402	58.5865	-3084.3537	0.0182995506487577	-5.74540274747379
COPS4	3306	223.0944	-3082.9056	0.0632157643615314	-3.88936051926421
CALM3	3195.8	113.1156	-3082.6844	0.0341850967730939	-4.82030731101183
PPAT	4341.3655	1259.8574	-3081.5081	0.224925417626212	-1.78488844029884
LOC100129961	3318.8792	239.6486	-3079.2306	0.067344872224969	-3.79170370237042
WDR43	3238.926	161.6429	-3077.2831	0.0475340758424274	-4.32463346208548
EPS8	3302.0936	230.083	-3072.0106	0.0651391552732669	-3.84315471786584
LOC339290	3655.969	585.4319	-3070.5371	0.138027956753628	-2.64268057242673
C19orf48	3234.9618	164.9928	-3069.969	0.0485279421084035	-4.29327370202995
CUTC	3067.8452	0	-3067.8452	0	-8
ARID4B	4695.5396	1628.0634	-3067.4762	0.257458192742334	-1.5281340763255
PAIP1	3415.5091	348.0672	-3067.4419	0.0924830991203765	-3.29466286231915
ASNS	4062.9357	995.6764	-3067.2593	0.196827979753577	-2.02877369246035
SRSF2IP	4808	1740.9069	-3067.0931	0.265831676428321	-1.46559784326094
GALK2	4095.1219	1033.8316	-3061.2903	0.201567746714803	-1.98590519203485
FBXO22	3113.8	59.7558	-3054.0442	0.0188292892155859	-5.70345372224081
CMPK2	3968.016	914.4608	-3053.5552	0.187294448588061	-2.11742461032647
ENO1	3787	735.1293	-3051.8707	0.162562644991155	-2.36498549192564
ITGB1BP1	3486.2064	435.7774	-3050.429	0.111111473739387	-2.99999470299216
NUCKS1	3504	454.1346	-3049.8654	0.114734501449243	-2.94781091157819
CENPL	3119.693	70.1544	-3049.5386	0.0219930270018559	-5.47472666359584
KRIT1	3266.0224	216.7047	-3049.3177	0.0622227047304395	-3.91373233687532
MAGI1	3727.8	679.8034	-3047.9966	0.154234248934466	-2.45513497754176
M6PR	3163.6	116.6848	-3046.9152	0.0355715454950741	-4.76087865447338
SDCCAG8	3878.6954	832.277	-3046.4184	0.176667772453942	-2.2204358093421
ATG12	3061.549	16.1293	-3045.4197	0.00524073617440783	-7.56843413541544
AP3S1	3060.401	16.1293	-3044.2717	0.00524269174270769	-7.5678930614353
PIGN	3080.6976	38.252	-3042.4456	0.0122643854200145	-6.33157808388645
STAMBPL1	3147.6921	105.3352	-3042.3569	0.0323806689233749	-4.90123489732214
DUT	3044.2856	3.726	-3040.5596	0.00122243629256529	-8
PREPL	3110.7554	72.2916	-3038.4638	0.0227114459824187	-5.42729312797411
TMEM60	3444.3857	407.2384	-3037.1473	0.105731605532326	-3.08030119386475
C20orf111	3394	359.2023	-3034.7977	0.0957055525624078	-3.24011807197181
PAFAH2	3302.1261	270.8788	-3031.2473	0.0758126024400358	-3.6076758219489
SYNJ1	3647.5033	618.6247	-3028.8786	0.145008471382012	-2.5597729408161
STRADA	4454.4	1427.2666	-3027.1334	0.242663635507664	-1.64197627442623
CD2AP	3160.5552	134.56	-3025.9952	0.0408362050589309	-4.55385649635936
