REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.2.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
3_MACS_peak_14825_lociStitched	chr19	47729563	47736693	3	7009	30603.386	41	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	41	1
2_MACS_peak_5836_lociStitched	chr12	4224646	4230069	2	5210	30097.1077	42	1			CCND2	42	1
4_MACS_peak_11033_lociStitched	chr17	4275526	4281790	4	6056	29850.4656	43	1		UBE2G1	UBE2G1	43	1
4_MACS_peak_4716_lociStitched	chr11	62306445	62314859	4	8078	29590.3552	44	1	AHNAK	EEF1G,TUT1	AHNAK	44	1
3_MACS_peak_22551_lociStitched	chr5	6480062	6487197	3	6826	29087.2545	45	1	UBE2QL1		UBE2QL1	45	1
1_MACS_peak_11104_lociStitched	chr17	6915492	6920759	1	5268	28942.6917	46	1	RNASEK,C17orf49	ALOX12,BCL6B,SLC16A13,MIR195,MIR497,SLC16A11	C17orf49	46	1
2_MACS_peak_15735_lociStitched	chr2	47208380	47214812	2	6319	28569.6576	47	1	TTC7A	MCFD2	MCFD2	47	1
2_MACS_peak_24848_lociStitched	chr6	44229722	44234246	2	4347	28235.6412	48	1	NFKBIE	SLC29A1,HSP90AB1,TMEM151B,SLC35B2,TCTE1,AARS2	NFKBIE	48	1
4_MACS_peak_4944_lociStitched	chr11	65768585	65775659	4	6812	28144.6164	49	1	BANF1,EIF1AD	SART1,CST6,SF3B2,CATSPER1,GAL3ST3	EIF1AD	49	1
10_MACS_peak_15563_lociStitched	chr2	37542759	37553173	10	8980	27774.138	50	1	PRKD3	QPCT	PRKD3	50	1
4_MACS_peak_14089_lociStitched	chr19	16694321	16700183	4	5623	27695.019	51	1	MED26	CHERP,SLC35E1	SLC35E1	51	1
4_MACS_peak_28078_lociStitched	chr8	126441146	126449016	4	7103	27681.938	52	1	TRIB1		TRIB1	52	1
2_MACS_peak_26175_lociStitched	chr7	55599794	55606278	2	6189	27647.1276	53	1	VOPP1		VOPP1	53	1
5_MACS_peak_11669_lociStitched	chr17	36856429	36862893	5	6167	27535.9936	54	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	54	1
3_MACS_peak_1962_lociStitched	chr1	156629303	156635776	3	6079	27411.2131	55	1	BCAN	HAPLN2,BCAN,NES,CRABP2	NES	55	1
4_MACS_peak_22690_lociStitched	chr5	32581086	32588085	4	6918	27401.085	56	1	SUB1		SUB1	56	1
5_MACS_peak_24451_lociStitched	chr6	33238757	33245661	5	6147	27212.116	57	1	RPS18,B3GALT4,VPS52	PFDN6,WDR46,RGL2,TAPBP,ZBTB22,DAXX	RPS18	57	1
8_MACS_peak_20871_lociStitched	chr3	141096864	141106851	8	8678	27132.6816	58	1	ZBTB38		ZBTB38	58	1
2_MACS_peak_11718_lociStitched	chr17	37909402	37913403	2	3888	26994.747	59	1		GRB7,C17orf37	GRB7	59	1
6_MACS_peak_19756_lociStitched	chr3	13053329	13062102	6	8016	26980.4842	60	1	IQSEC1	IQSEC1	IQSEC1	60	1
4_MACS_peak_16358_lociStitched	chr2	99075043	99083206	4	7656	26759.9466	61	1	INPP4A		INPP4A	61	1
4_MACS_peak_2068_lociStitched	chr1	161151117	161157760	4	6443	26733.4249	62	1		UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,B4GALT3,ADAMTS4,APOA2	B4GALT3	62	1
1_MACS_peak_2269_lociStitched	chr1	178546232	178552555	1	6324	26368.1746	63	1		C1orf220	C1orf220	63	1
7_MACS_peak_9981_lociStitched	chr16	11828173	11837638	7	8252	26234.1405	64	1	TXNDC11		TXNDC11	64	1
3_MACS_peak_24646_lociStitched	chr6	37135906	37139789	3	3505	26132.9783	65	1	PIM1		PIM1	65	1
6_MACS_peak_22676_lociStitched	chr5	32530206	32539388	6	8401	25752.7554	66	1		SUB1	SUB1	66	1
3_MACS_peak_18698_lociStitched	chr21	44579967	44586605	3	6355	25688.3962	67	1		CRYAA	CRYAA	67	1
5_MACS_peak_6356_lociStitched	chr12	48201437	48209001	5	7021	25538.3332	68	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	68	1
3_MACS_peak_16050_lociStitched	chr2	70311785	70316666	3	4548	25526.1657	69	1	PCBP1,LOC400960	LOC100133985	LOC400960	69	1
11_MACS_peak_15710_lociStitched	chr2	46791326	46802137	11	9188	25396.1201	70	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	70	1
2_MACS_peak_8707_lociStitched	chr15	31554758	31560843	2	6022	25135.918	71	1			KLF13	71	1
2_MACS_peak_4106_lociStitched	chr11	267592	271642	2	3741	25066.665	72	1		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	72	1
5_MACS_peak_22421_lociStitched	chr4	185454611	185460859	5	5853	24977.6296	73	1			IRF2	73	1
2_MACS_peak_11248_lociStitched	chr17	16890387	16895282	2	4743	24772.1265	74	1		TNFRSF13B	TNFRSF13B	74	1
3_MACS_peak_1814_lociStitched	chr1	154296566	154302055	3	5261	24744.412	75	1	AQP10,ATP8B2		ATP8B2	75	1
4_MACS_peak_19530_lociStitched	chr22	46448026	46454977	4	6621	24509.226	76	1	LOC150381,C22orf26	LOC730668,LOC400931,MIR3619,LOC100271722	C22orf26	76	1
3_MACS_peak_25221_lociStitched	chr6	106610789	106617375	3	6006	24484.1136	77	1			PRDM1	77	1
3_MACS_peak_12029_lociStitched	chr17	46128872	46135404	3	6156	24213.4708	78	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	78	1
1_MACS_peak_24981_lociStitched	chr6	64281727	64284427	1	2701	24076.98	79	1	PTP4A1		PTP4A1	79	1
3_MACS_peak_19332_lociStitched	chr22	39543770	39549569	3	5447	23890.7202	80	1	CBX7		CBX7	80	1
3_MACS_peak_22411_lociStitched	chr4	185392804	185397387	3	4504	23865.0559	81	1	IRF2		IRF2	81	1
8_MACS_peak_15527_lociStitched	chr2	33712534	33722132	8	8056	23797.2812	82	1	RASGRP3	RASGRP3	RASGRP3	82	1
5_MACS_peak_17412_lociStitched	chr2	232570516	232576103	5	5022	23717.9324	83	1	PTMA	MIR1244-1	PTMA	83	1
2_MACS_peak_5657_lociStitched	chr11	126334026	126338875	2	4754	23394.0005	84	1	KIRREL3		ST3GAL4	84	1
2_MACS_peak_5847_lociStitched	chr12	4379988	4384693	2	4607	23175.4185	85	1	CCND2	C12orf5	CCND2	85	1
8_MACS_peak_20274_lociStitched	chr3	55516126	55523723	8	7064	22999.9175	86	1	WNT5A		WNT5A	86	1
5_MACS_peak_12573_lociStitched	chr17	75135758	75143450	5	6723	22703.7072	87	1	SEC14L1	SEC14L1	SEC14L1	87	1
4_MACS_peak_28545_lociStitched	chr9	33452626	33459148	4	6319	22596.7734	88	1		AQP3,NOL6	AQP3	88	1
2_MACS_peak_22385_lociStitched	chr4	185186464	185191748	2	5237	22386.7228	89	1		ENPP6	ENPP6	89	1
9_MACS_peak_20284_lociStitched	chr3	55638467	55646919	9	7505	22367.3728	90	1	ERC2	C3orf51	C3orf51	90	1
2_MACS_peak_18716_lociStitched	chr21	44772287	44776690	2	4198	22353.5907	91	1			SIK1	91	1
3_MACS_peak_5927_lociStitched	chr12	7058002	7063623	3	5474	22331.1088	92	1	PTPN6	LRRC23,ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	92	1
3_MACS_peak_26619_lociStitched	chr7	104651614	104656102	3	4311	22190.4672	93	1	MLL5,LOC100216545		LOC100216545	93	1
10_MACS_peak_22847_lociStitched	chr5	55981378	55990357	10	7744	22166.4573	94	1			MAP3K1	94	1
9_MACS_peak_25198_lociStitched	chr6	106531941	106541273	9	7672	22049.6496	95	1	PRDM1	PRDM1	PRDM1	95	1
5_MACS_peak_13953_lociStitched	chr19	13260692	13267168	5	5716	21704.9616	96	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	96	1
1_MACS_peak_11000_lociStitched	chr17	3459572	3463189	1	3618	21696.2128	97	1	TRPV3	TRPV1	TRPV3	97	1
2_MACS_peak_24761_lociStitched	chr6	42712634	42716865	2	4048	21634.7954	98	1	TBCC	LOC442211,PRPH2	TBCC	98	1
8_MACS_peak_16258_lociStitched	chr2	87813009	87821757	8	7571	21569.9436	99	1	NCRNA00152		NCRNA00152	99	1
7_MACS_peak_846_lociStitched	chr1	40846173	40854023	7	6722	21470.535	100	1	SMAP2	SMAP2	SMAP2	100	1
3_MACS_peak_17917_lociStitched	chr20	32468221	32473752	3	5001	21417.1382	101	1			CHMP4B	101	1
5_MACS_peak_5555_lociStitched	chr11	119186024	119193364	5	6527	21317.562	102	1	MCAM	RNF26,C1QTNF5,USP2	MCAM	102	1
2_MACS_peak_18759_lociStitched	chr21	45576439	45581299	2	4806	21273.678	103	1		PWP2,C21orf33	C21orf33	103	1
1_MACS_peak_25115_lociStitched	chr6	90060825	90064945	1	4121	21240.66	104	1	UBE2J1	GABRR2	UBE2J1	104	1
5_MACS_peak_14799_lociStitched	chr19	47217083	47223610	5	6116	21220.5824	105	1	PRKD2,STRN4	FKRP,MIR320E	PRKD2	105	1
3_MACS_peak_22397_lociStitched	chr4	185263872	185269869	3	5690	21112.4385	106	1			ENPP6	106	1
3_MACS_peak_23789_lociStitched	chr6	389000	394372	3	4833	21049.1076	107	1	IRF4		IRF4	107	1
6_MACS_peak_11654_lociStitched	chr17	36577138	36585672	6	7520	20898.0592	108	1	ARHGAP23	ARHGAP23	ARHGAP23	108	1
4_MACS_peak_9131_lociStitched	chr15	63792782	63798264	4	5221	20878.7452	109	1	USP3		USP3	109	1
3_MACS_peak_22450_lociStitched	chr4	186228448	186233376	3	4573	20792.7104	110	1	SNX25		LRP2BP	110	1
2_MACS_peak_7868_lociStitched	chr13	114829537	114834260	2	4633	20750.5005	111	1	RASA3		RASA3	111	1
5_MACS_peak_25891_lociStitched	chr7	26003135	26009424	5	6114	20544.9052	112	1		MIR148A	MIR148A	112	1
3_MACS_peak_22394_lociStitched	chr4	185248175	185254296	3	5937	20524.9372	113	1			ENPP6	113	1
3_MACS_peak_9161_lociStitched	chr15	65183679	65189078	3	5026	20508.1015	114	1		PLEKHO2,ANKDD1A	ANKDD1A	114	1
3_MACS_peak_24708_lociStitched	chr6	40113503	40118309	3	4769	20457.7002	115	1			MOCS1	115	1
2_MACS_peak_24631_lociStitched	chr6	37015739	37020743	2	5000	20393.3016	116	1		FGD2	FGD2	116	1
4_MACS_peak_17113_lociStitched	chr2	201986969	201992697	4	5389	20389.3888	117	1	CFLAR		CFLAR	117	1
4_MACS_peak_24493_lociStitched	chr6	33586821	33592207	4	5173	20381.1626	118	1	ITPR3	GGNBP1,BAK1,C6orf227	ITPR3	118	1
3_MACS_peak_11088_lociStitched	chr17	5844431	5848954	3	4393	20305.5562	119	1			WSCD1	119	1
6_MACS_peak_4720_lociStitched	chr11	62319054	62325832	6	5882	20262.831	120	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	120	1
5_MACS_peak_19423_lociStitched	chr22	42145534	42150873	5	5188	20237.4795	121	1	MEI1	CCDC134	CCDC134	121	1
4_MACS_peak_14063_lociStitched	chr19	16434962	16440239	4	4957	20204.5776	122	1	KLF2		KLF2	122	1
2_MACS_peak_26572_lociStitched	chr7	102064164	102068208	2	4036	20160.5532	123	1	PRKRIP1	ORAI2,LRWD1,ALKBH4	ORAI2	123	1
3_MACS_peak_2171_lociStitched	chr1	167596665	167601500	3	4670	20145.0275	124	1	RCSD1		RCSD1	124	1
2_MACS_peak_16364_lociStitched	chr2	99095279	99101107	2	5814	19942.2504	125	1	INPP4A		INPP4A	125	1
3_MACS_peak_1647_lociStitched	chr1	149820850	149825786	3	4815	19809.1552	126	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	126	1
2_MACS_peak_14808_lociStitched	chr19	47286905	47291886	2	4957	19605.7141	127	1	SLC1A5	FKRP,STRN4,SNAR-E	SLC1A5	127	1
3_MACS_peak_24315_lociStitched	chr6	30582189	30586620	3	3873	19534.5066	128	1	MRPS18B,PPP1R10	ABCF1,MIR877,ATAT1,C6orf136	PPP1R10	128	1
2_MACS_peak_11660_lociStitched	chr17	36596595	36601382	2	4729	19524.7369	129	1	ARHGAP23	ARHGAP23	ARHGAP23	129	1
4_MACS_peak_15669_lociStitched	chr2	43450722	43455732	4	4713	19339.101	130	1	LOC100129726,ZFP36L2		ZFP36L2	130	1
6_MACS_peak_1851_lociStitched	chr1	154971126	154977206	6	5797	19286.976	131	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	131	1
4_MACS_peak_15408_lociStitched	chr2	25640358	25645719	4	5076	19259.9286	132	1	DTNB		DNMT3A	132	1
5_MACS_peak_13919_lociStitched	chr19	12899095	12905101	5	5587	19207.7886	133	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	133	1
3_MACS_peak_1835_lociStitched	chr1	154831167	154835562	3	4207	19141.104	134	1	KCNN3		KCNN3	134	1
1_MACS_peak_24312_lociStitched	chr6	30523141	30526012	1	2872	19137.7989	135	1	PRR3,GNL1	ABCF1,MIR877	PRR3	135	1
1_MACS_peak_24629_lociStitched	chr6	36971873	36975999	1	4127	19073.6728	136	1	FGD2	PI16,MTCH1	FGD2	136	1
2_MACS_peak_22467_lociStitched	chr4	186399274	186405132	2	5483	19006.8668	137	1		C4orf47,CCDC110	CCDC110	137	1
1_MACS_peak_14688_lociStitched	chr19	44284697	44289653	1	4957	18952.2396	138	1	KCNN4	ZNF283,C19orf61,LYPD5	KCNN4	138	1
3_MACS_peak_1644_lociStitched	chr1	149811240	149815643	3	4344	18894.1536	139	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	139	1
2_MACS_peak_16217_lociStitched	chr2	86261254	86266269	2	4754	18850.8835	140	1	POLR1A	LOC90784	LOC90784	140	1
6_MACS_peak_3846_lociStitched	chr10	112113671	112119141	6	4894	18832.663	141	1		SMNDC1	SMNDC1	141	1
3_MACS_peak_12533_lociStitched	chr17	74257649	74263017	3	4926	18783.1688	142	1	FAM100B	RNF157,QRICH2	FAM100B	142	1
3_MACS_peak_14047_lociStitched	chr19	16186461	16191438	3	4685	18731.4372	143	1	TPM4	FLJ25328,RAB8A	TPM4	143	1
2_MACS_peak_9265_lociStitched	chr15	69109357	69114149	2	4765	18689.2792	144	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	144	1
1_MACS_peak_26408_lociStitched	chr7	92461235	92466025	1	4791	18616.335	145	1	CDK6		CDK6	145	1
3_MACS_peak_24528_lociStitched	chr6	34622438	34627038	3	4493	18607	146	1	C6orf106		C6orf106	146	1
3_MACS_peak_4928_lociStitched	chr11	65624059	65628960	3	4484	18589.493	147	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	CFL1	147	1
2_MACS_peak_24415_lociStitched	chr6	32157038	32161013	2	3943	18566.43	148	1	PBX2,GPSM3	PPT2,EGFL8,RNF5,RNF5P1,PRRT1,LOC100507547,AGPAT1,AGER,NOTCH4	PBX2	148	1
9_MACS_peak_21965_lociStitched	chr4	105406606	105414066	9	5957	18544.814	149	1	CXXC4		CXXC4	149	1
1_MACS_peak_14459_lociStitched	chr19	38536042	38540731	1	4690	18369.1575	150	1	SIPA1L3		SIPA1L3	150	1
1_MACS_peak_24898_lociStitched	chr6	52399435	52403538	1	4104	18340.41	151	1	TRAM2		TRAM2	151	1
4_MACS_peak_5738_lociStitched	chr11	130634558	130639710	4	4980	18332.8768	152	1			SNX19	152	1
4_MACS_peak_18670_lociStitched	chr21	43480218	43486084	4	5150	18325.9706	153	1	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	153	1
4_MACS_peak_4129_lociStitched	chr11	502915	507283	4	3946	18309.7824	154	1	RNH1	LRRC56,HRAS	RNH1	154	1
5_MACS_peak_13973_lociStitched	chr19	13949504	13954723	5	4640	18298.8578	155	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	155	1
2_MACS_peak_1839_lociStitched	chr1	154913283	154917889	2	4369	18259.5658	156	1	PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PMVK,PYGO2,SHC1	PMVK	156	1
3_MACS_peak_13541_lociStitched	chr19	2697239	2702678	3	5289	18241.8621	157	1	GNG7	DIRAS1,SLC39A3	GNG7	157	1
1_MACS_peak_24404_lociStitched	chr6	31938106	31941193	1	3088	18214.8435	158	1	STK19,DOM3Z	C2,CFB,SKIV2L,C4B,CYP21A2,MIR1236,RDBP,TNXA,TNXB	DOM3Z	158	1
6_MACS_peak_12352_lociStitched	chr17	65642595	65649083	6	5909	18168.9952	159	1	PITPNC1		NOL11	159	1
3_MACS_peak_11651_lociStitched	chr17	36570611	36574384	3	3425	18166.995	160	1		ARHGAP23	ARHGAP23	160	1
3_MACS_peak_9352_lociStitched	chr15	75077339	75083344	3	5505	18085.2585	161	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	161	1
1_MACS_peak_10318_lociStitched	chr16	30195022	30198674	1	3653	18067.1744	162	1	CORO1A		CORO1A	162	1
2_MACS_peak_4865_lociStitched	chr11	64899628	64903890	2	4066	18047.8652	163	1	SYVN1	ZFPL1,C11orf2,TM7SF2,MRPL49,SPDYC,CAPN1,CDCA5,ZNHIT2,FAU	SYVN1	163	1
2_MACS_peak_22374_lociStitched	chr4	183837722	183841036	2	3314	18043.4044	164	1	DCTD		DCTD	164	1
2_MACS_peak_6244_lociStitched	chr12	31475752	31479640	2	3766	17961.3936	165	1	FLJ13224,FAM60A		FLJ13224	165	1
7_MACS_peak_23958_lociStitched	chr6	11830182	11836506	7	5424	17932.9668	166	1			C6orf105	166	1
2_MACS_peak_24766_lociStitched	chr6	42749166	42751798	2	2355	17842.5912	167	1		KIAA0240,TBCC	TBCC	167	1
6_MACS_peak_27797_lociStitched	chr8	95958601	95963716	6	4503	17822.706	168	1	TP53INP1		TP53INP1	168	1
2_MACS_peak_1565_lociStitched	chr1	145434496	145439183	2	4636	17774.0414	169	1	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	169	1
3_MACS_peak_11110_lociStitched	chr17	7033949	7037700	3	3675	17655.957	170	1		ASGR2,ASGR1	ASGR2	170	1
3_MACS_peak_18450_lociStitched	chr21	9967605	9970832	3	2832	17642.6544	171	1	LOC100132288		LOC100132288	171	1
5_MACS_peak_22835_lociStitched	chr5	55882782	55887836	5	3921	17589.9416	172	1			MAP3K1	172	1
3_MACS_peak_25031_lociStitched	chr6	74229694	74234017	3	3807	17584.2348	173	1	EEF1A1		EEF1A1	173	1
3_MACS_peak_2270_lociStitched	chr1	178572878	178577760	3	4565	17519.057	174	1			C1orf220	174	1
2_MACS_peak_18064_lociStitched	chr20	42309081	42312311	2	3220	17506.277	175	1	MYBL2	GTSF1L	MYBL2	175	1
2_MACS_peak_15184_lociStitched	chr19	58896449	58899516	2	2969	17499.9953	176	1	RPS5	A1BG-AS1,LOC646862,ZNF584,A1BG,ZNF497,ZNF837	RPS5	176	1
7_MACS_peak_407_lociStitched	chr1	23851284	23858368	7	6361	17391.9284	177	1	E2F2	ASAP3,ID3	E2F2	177	1
4_MACS_peak_12264_lociStitched	chr17	61774120	61779311	4	5023	17328.5962	178	1	LIMD2	STRADA	LIMD2	178	1
6_MACS_peak_6173_lociStitched	chr12	26265979	26272650	6	6266	17303.9069	179	1		BHLHE41	BHLHE41	179	1
3_MACS_peak_24532_lociStitched	chr6	34639238	34643233	3	3995	17289.9605	180	1	C6orf106		C6orf106	180	1
2_MACS_peak_17395_lociStitched	chr2	232476572	232480607	2	3938	17248.818	181	1		C2orf57	C2orf57	181	1
2_MACS_peak_19637_lociStitched	chr22	50967903	50971277	2	3326	17212.461	182	1	TYMP,ODF3B	ADM2,MIOX,NCAPH2,KLHDC7B,LMF2,SCO2,C22orf41,CPT1B	TYMP	182	1
1_MACS_peak_1838_lociStitched	chr1	154908178	154911688	1	3511	17209.179	183	1	PMVK	CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2,SHC1	PMVK	183	1
2_MACS_peak_22401_lociStitched	chr4	185302496	185306496	2	3836	17152.8	184	1			IRF2	184	1
2_MACS_peak_11124_lociStitched	chr17	7209464	7212336	2	2739	17062.2648	185	1	EIF5A	SLC2A4,ACAP1,KCTD11,TMEM95,CLDN7,YBX2,GPS2,NEURL4	EIF5A	185	1
2_MACS_peak_24819_lociStitched	chr6	43691330	43694157	2	2821	17028.4345	186	1		VEGFA,MRPS18A	MRPS18A	186	1
7_MACS_peak_28056_lociStitched	chr8	126295391	126302548	7	5705	16997.1593	187	1	NSMCE2		TRIB1	187	1
3_MACS_peak_5527_lociStitched	chr11	118659311	118663608	3	3759	16983.4628	188	1	DDX6		DDX6	188	1
3_MACS_peak_24581_lociStitched	chr6	36097600	36100564	3	2870	16982.5344	189	1	MAPK13		MAPK13	189	1
2_MACS_peak_12669_lociStitched	chr17	77964958	77969211	2	4099	16952.0327	190	1	TBC1D16	CCDC40	TBC1D16	190	1
4_MACS_peak_11038_lociStitched	chr17	4296904	4301571	4	4346	16909.0077	191	1		SPNS3,UBE2G1	UBE2G1	191	1
4_MACS_peak_12384_lociStitched	chr17	66284670	66289597	4	4480	16887.7852	192	1	ARSG,SLC16A6	AMZ2	SLC16A6	192	1
4_MACS_peak_19578_lociStitched	chr22	48492025	48496028	4	3861	16867.0408	193	1			MIR3201	193	1
