GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
4_MACS_peak_109_lociStitched	chr1(.):1181006-1183802	0.0434
2_MACS_peak_113_lociStitched	chr1(.):1214521-1218145	0.0843
2_MACS_peak_115_lociStitched	chr1(.):1220392-1224102	0.0686
3_MACS_peak_117_lociStitched	chr1(.):1224926-1226469	0.1227
1_MACS_peak_120_lociStitched	chr1(.):1287181-1290431	0.0918
4_MACS_peak_121_lociStitched	chr1(.):1292274-1299910	0.0968
1_MACS_peak_125_lociStitched	chr1(.):1356099-1356552	0.0651
5_MACS_peak_126_lociStitched	chr1(.):1357566-1362392	0.0788
1_MACS_peak_131_lociStitched	chr1(.):1363577-1366335	0.0659
1_MACS_peak_132_lociStitched	chr1(.):1367044-1370751	0.1284
1_MACS_peak_133_lociStitched	chr1(.):1371548-1374834	0.0726
3_MACS_peak_134_lociStitched	chr1(.):1377665-1379863	0.0711
1_MACS_peak_137_lociStitched	chr1(.):1380531-1380952	0.0644
1_MACS_peak_138_lociStitched	chr1(.):1381988-1382265	0.0112
5_MACS_peak_139_lociStitched	chr1(.):1383510-1396395	0.0763
1_MACS_peak_144_lociStitched	chr1(.):1420189-1420549	0.0993
1_MACS_peak_145_lociStitched	chr1(.):1422264-1422607	0.0644
1_MACS_peak_146_lociStitched	chr1(.):1459537-1459870	0.0101
2_MACS_peak_147_lociStitched	chr1(.):1512265-1515355	0.1051
1_MACS_peak_149_lociStitched	chr1(.):1516123-1519568	0.0885
9_MACS_peak_150_lociStitched	chr1(.):1520092-1534296	0.0946
1_MACS_peak_159_lociStitched	chr1(.):1536460-1536749	0.0561
5_MACS_peak_160_lociStitched	chr1(.):1565837-1568845	0.0533
1_MACS_peak_165_lociStitched	chr1(.):1631021-1631392	0.0567
1_MACS_peak_166_lociStitched	chr1(.):1842550-1842899	0.0749
3_MACS_peak_167_lociStitched	chr1(.):1844908-1848353	0.0784
3_MACS_peak_170_lociStitched	chr1(.):1851291-1855303	0.0771
2_MACS_peak_173_lociStitched	chr1(.):1855816-1860545	0.0666
2_MACS_peak_175_lociStitched	chr1(.):1863707-1866465	0.0855
3_MACS_peak_177_lociStitched	chr1(.):1867855-1879669	0.0788
3_MACS_peak_180_lociStitched	chr1(.):1880904-1885926	0.0647
2_MACS_peak_183_lociStitched	chr1(.):1886765-1900155	0.0872
3_MACS_peak_185_lociStitched	chr1(.):1902946-1909326	0.0917
1_MACS_peak_188_lociStitched	chr1(.):1909890-1910206	0.0223
4_MACS_peak_189_lociStitched	chr1(.):1914729-1921561	0.0785
6_MACS_peak_193_lociStitched	chr1(.):1922065-1929841	0.0832
1_MACS_peak_199_lociStitched	chr1(.):1930395-1933446	0.0773
1_MACS_peak_200_lociStitched	chr1(.):1934494-1937563	0.0831
12_MACS_peak_201_lociStitched	chr1(.):1939071-1981471	0.0752
4_MACS_peak_213_lociStitched	chr1(.):1982156-1986265	0.0355
1_MACS_peak_217_lociStitched	chr1(.):1988294-1988863	0.0715
1_MACS_peak_218_lociStitched	chr1(.):1989464-1993887	0.0593
2_MACS_peak_219_lociStitched	chr1(.):1994596-1996486	0.086
4_MACS_peak_221_lociStitched	chr1(.):1998056-2002092	0.0631
3_MACS_peak_225_lociStitched	chr1(.):2002634-2009878	0.0582
4_MACS_peak_228_lociStitched	chr1(.):2010625-2012967	0.0675
4_MACS_peak_232_lociStitched	chr1(.):2013624-2025285	0.0667
2_MACS_peak_236_lociStitched	chr1(.):2027866-2029561	0.059
6_MACS_peak_238_lociStitched	chr1(.):2031167-2043538	0.0718
2_MACS_peak_244_lociStitched	chr1(.):2044525-2045259	0.0259
2_MACS_peak_246_lociStitched	chr1(.):2045796-2046796	0.0388
1_MACS_peak_248_lociStitched	chr1(.):2047568-2047841	0.0217
1_MACS_peak_249_lociStitched	chr1(.):2048455-2048765	0.0592
2_MACS_peak_250_lociStitched	chr1(.):2056862-2057754	0.034
2_MACS_peak_252_lociStitched	chr1(.):2059508-2061224	0.0918
9_MACS_peak_254_lociStitched	chr1(.):2066376-2075557	0.0817
1_MACS_peak_263_lociStitched	chr1(.):2076660-2077051	0.1261
1_MACS_peak_264_lociStitched	chr1(.):2077843-2078123	0.142
3_MACS_peak_265_lociStitched	chr1(.):2081915-2085078	0.0764
6_MACS_peak_268_lociStitched	chr1(.):2085827-2092175	0.0849
6_MACS_peak_274_lociStitched	chr1(.):2092839-2100352	0.0758
4_MACS_peak_280_lociStitched	chr1(.):2101314-2112518	0.094
3_MACS_peak_284_lociStitched	chr1(.):2113207-2115350	0.0848
1_MACS_peak_287_lociStitched	chr1(.):2129822-2132770	0.131
3_MACS_peak_288_lociStitched	chr1(.):2133484-2135741	0.0901
1_MACS_peak_291_lociStitched	chr1(.):2136986-2137340	0.0602
1_MACS_peak_292_lociStitched	chr1(.):2137985-2142610	0.0751
3_MACS_peak_293_lociStitched	chr1(.):2144172-2156922	0.0944
1_MACS_peak_296_lociStitched	chr1(.):2157540-2158705	0.0515
2_MACS_peak_297_lociStitched	chr1(.):2245116-2246038	0.0743
8_MACS_peak_299_lociStitched	chr1(.):2246727-2294653	0.0746
4_MACS_peak_307_lociStitched	chr1(.):2299004-2316058	0.0913
1_MACS_peak_311_lociStitched	chr1(.):2347283-2347823	0.1124
8_MACS_peak_312_lociStitched	chr1(.):2348369-2368557	0.0726
3_MACS_peak_320_lociStitched	chr1(.):2369796-2374625	0.054
2_MACS_peak_323_lociStitched	chr1(.):2375824-2381636	0.0854
4_MACS_peak_325_lociStitched	chr1(.):2382272-2398879	0.0675
2_MACS_peak_329_lociStitched	chr1(.):2399438-2408119	0.0728
1_MACS_peak_331_lociStitched	chr1(.):2408648-2410684	0.0459
7_MACS_peak_332_lociStitched	chr1(.):2416283-2429836	0.067
3_MACS_peak_339_lociStitched	chr1(.):2430920-2434503	0.0867
2_MACS_peak_342_lociStitched	chr1(.):2458266-2469587	0.0809
3_MACS_peak_344_lociStitched	chr1(.):2471759-2473426	0.0769
4_MACS_peak_347_lociStitched	chr1(.):2498300-2503629	0.0725
9_MACS_peak_351_lociStitched	chr1(.):2504184-2514557	0.0887
1_MACS_peak_360_lociStitched	chr1(.):2515539-2515951	0.1305
1_MACS_peak_361_lociStitched	chr1(.):2520305-2520654	0.1604
1_MACS_peak_362_lociStitched	chr1(.):2522191-2522502	0.0222
2_MACS_peak_363_lociStitched	chr1(.):2524181-2530435	0.0838
9_MACS_peak_365_lociStitched	chr1(.):2530984-2542673	0.0548
2_MACS_peak_374_lociStitched	chr1(.):2543466-2544586	0.0703
1_MACS_peak_376_lociStitched	chr1(.):2549495-2549904	0.0907
5_MACS_peak_377_lociStitched	chr1(.):2550764-2557725	0.0832
4_MACS_peak_382_lociStitched	chr1(.):2558835-2562983	0.0779
2_MACS_peak_386_lociStitched	chr1(.):2564287-2565984	0.0765
2_MACS_peak_388_lociStitched	chr1(.):2568494-2569774	0.0707
1_MACS_peak_390_lociStitched	chr1(.):2574968-2575694	0.0928
2_MACS_peak_391_lociStitched	chr1(.):2576556-2577706	0.06
3_MACS_peak_407_lociStitched	chr1(.):2685527-2691902	0.2473
1_MACS_peak_410_lociStitched	chr1(.):2700121-2700487	0.0198
2_MACS_peak_411_lociStitched	chr1(.):2701061-2702138	0.0503
1_MACS_peak_413_lociStitched	chr1(.):2702938-2703542	0.06
2_MACS_peak_414_lociStitched	chr1(.):2704917-2706188	0.0585
1_MACS_peak_416_lociStitched	chr1(.):2707997-2708356	0.0192
4_MACS_peak_417_lociStitched	chr1(.):2717137-2724894	0.0605
6_MACS_peak_421_lociStitched	chr1(.):2725504-2733556	0.0668
1_MACS_peak_427_lociStitched	chr1(.):2734351-2734741	0.0358
3_MACS_peak_428_lociStitched	chr1(.):2735990-2737873	0.0384
1_MACS_peak_431_lociStitched	chr1(.):2739290-2739934	0.1054
2_MACS_peak_432_lociStitched	chr1(.):2740560-2741451	0.0945
1_MACS_peak_434_lociStitched	chr1(.):2743798-2744096	0.0814
2_MACS_peak_435_lociStitched	chr1(.):2746427-2747830	0.0521
4_MACS_peak_437_lociStitched	chr1(.):2748839-2755116	0.0832
1_MACS_peak_441_lociStitched	chr1(.):2755778-2756087	0.0652
11_MACS_peak_442_lociStitched	chr1(.):2761794-2774373	0.0747
1_MACS_peak_453_lociStitched	chr1(.):2775092-2775471	0.0394
2_MACS_peak_454_lociStitched	chr1(.):2776189-2780628	0.0516
3_MACS_peak_456_lociStitched	chr1(.):2781342-2784862	0.046
1_MACS_peak_459_lociStitched	chr1(.):2785399-2785791	0.053
2_MACS_peak_460_lociStitched	chr1(.):2786702-2787825	0.0755
9_MACS_peak_462_lociStitched	chr1(.):2789048-2803233	0.0663
3_MACS_peak_471_lociStitched	chr1(.):2804340-2806181	0.0532
3_MACS_peak_474_lociStitched	chr1(.):2806762-2811288	0.0568
1_MACS_peak_477_lociStitched	chr1(.):2811816-2812211	0.0163
2_MACS_peak_478_lociStitched	chr1(.):2814926-2815714	0.0202
4_MACS_peak_480_lociStitched	chr1(.):2817369-2823268	0.0617
1_MACS_peak_484_lociStitched	chr1(.):2824807-2825539	0.0829
2_MACS_peak_485_lociStitched	chr1(.):2828754-2831045	0.0521
9_MACS_peak_487_lociStitched	chr1(.):2833014-2840132	0.0585
6_MACS_peak_496_lociStitched	chr1(.):2840688-2852209	0.0665
1_MACS_peak_502_lociStitched	chr1(.):2852742-2853135	0.0016
1_MACS_peak_503_lociStitched	chr1(.):2858950-2859263	0.0874
4_MACS_peak_504_lociStitched	chr1(.):2863340-2867832	0.0538
2_MACS_peak_508_lociStitched	chr1(.):2877455-2879002	0.0713
1_MACS_peak_510_lociStitched	chr1(.):2884219-2884717	0.0631
3_MACS_peak_511_lociStitched	chr1(.):2885923-2888041	0.0658
1_MACS_peak_514_lociStitched	chr1(.):2889647-2889954	0.0223
4_MACS_peak_515_lociStitched	chr1(.):2897409-2901153	0.0696
1_MACS_peak_519_lociStitched	chr1(.):2902626-2902960	0.0986
1_MACS_peak_520_lociStitched	chr1(.):2904631-2904968	0.0
1_MACS_peak_521_lociStitched	chr1(.):2905920-2906414	0.0699
2_MACS_peak_522_lociStitched	chr1(.):2907214-2908546	0.0481
1_MACS_peak_524_lociStitched	chr1(.):2917389-2918441	0.034
1_MACS_peak_525_lociStitched	chr1(.):2919172-2920943	0.0491
2_MACS_peak_526_lociStitched	chr1(.):2922005-2922747	0.0671
1_MACS_peak_528_lociStitched	chr1(.):2925681-2925957	0.0381
3_MACS_peak_529_lociStitched	chr1(.):2927208-2932444	0.0794
3_MACS_peak_532_lociStitched	chr1(.):2933410-2936531	0.0714
2_MACS_peak_535_lociStitched	chr1(.):2937080-2940874	0.0893
5_MACS_peak_537_lociStitched	chr1(.):2944525-2952235	0.0464
1_MACS_peak_542_lociStitched	chr1(.):2953205-2953619	0.0572
7_MACS_peak_543_lociStitched	chr1(.):2954422-2959482	0.0714
1_MACS_peak_550_lociStitched	chr1(.):2960286-2960610	0.0599
1_MACS_peak_551_lociStitched	chr1(.):2961240-2961770	0.0247
1_MACS_peak_552_lociStitched	chr1(.):2965649-2965949	0.052
1_MACS_peak_553_lociStitched	chr1(.):2973412-2973829	0.0965
1_MACS_peak_554_lociStitched	chr1(.):2977658-2978240	0.0473
1_MACS_peak_555_lociStitched	chr1(.):2978835-2979243	0.035
2_MACS_peak_556_lociStitched	chr1(.):2980278-2981982	0.0642
2_MACS_peak_558_lociStitched	chr1(.):2983285-2984846	0.0357
8_MACS_peak_560_lociStitched	chr1(.):2987472-3003410	0.0562
1_MACS_peak_568_lociStitched	chr1(.):3004337-3004820	0.062
2_MACS_peak_569_lociStitched	chr1(.):3005536-3010226	0.0676
2_MACS_peak_571_lociStitched	chr1(.):3010755-3012527	0.0704
6_MACS_peak_573_lociStitched	chr1(.):3013041-3022587	0.0636
2_MACS_peak_579_lociStitched	chr1(.):3023370-3024945	0.0615
5_MACS_peak_581_lociStitched	chr1(.):3025666-3029495	0.0511
5_MACS_peak_586_lociStitched	chr1(.):3030968-3044681	0.0636
1_MACS_peak_591_lociStitched	chr1(.):3045212-3045678	0.0952
5_MACS_peak_592_lociStitched	chr1(.):3046883-3061017	0.0603
1_MACS_peak_597_lociStitched	chr1(.):3061619-3063155	0.0502
4_MACS_peak_598_lociStitched	chr1(.):3063730-3067030	0.0522
5_MACS_peak_602_lociStitched	chr1(.):3067770-3074788	0.0619
5_MACS_peak_607_lociStitched	chr1(.):3075339-3080858	0.0793
3_MACS_peak_612_lociStitched	chr1(.):3081469-3084223	0.0768
5_MACS_peak_615_lociStitched	chr1(.):3085987-3093001	0.0676
1_MACS_peak_620_lociStitched	chr1(.):3093937-3094581	0.0291
9_MACS_peak_621_lociStitched	chr1(.):3099253-3129792	0.0637
8_MACS_peak_630_lociStitched	chr1(.):3130491-3151719	0.0687
4_MACS_peak_638_lociStitched	chr1(.):3152842-3156049	0.0374
1_MACS_peak_642_lociStitched	chr1(.):3156617-3159471	0.0624
1_MACS_peak_643_lociStitched	chr1(.):3160766-3161053	0.0477
3_MACS_peak_644_lociStitched	chr1(.):3161617-3163557	0.0486
3_MACS_peak_647_lociStitched	chr1(.):3165231-3167615	0.073
1_MACS_peak_650_lociStitched	chr1(.):3168424-3169037	0.0593
2_MACS_peak_651_lociStitched	chr1(.):3171971-3174130	0.0638
2_MACS_peak_653_lociStitched	chr1(.):3175044-3175963	0.0168
1_MACS_peak_655_lociStitched	chr1(.):3176590-3176995	0.0868
1_MACS_peak_656_lociStitched	chr1(.):3177960-3178509	0.052
3_MACS_peak_657_lociStitched	chr1(.):3179395-3189457	0.0657
16_MACS_peak_660_lociStitched	chr1(.):3190549-3219767	0.0613
1_MACS_peak_676_lociStitched	chr1(.):3220795-3223001	0.0737
6_MACS_peak_677_lociStitched	chr1(.):3224750-3235511	0.0634
8_MACS_peak_683_lociStitched	chr1(.):3238914-3248774	0.066
1_MACS_peak_691_lociStitched	chr1(.):3249450-3250262	0.019
1_MACS_peak_692_lociStitched	chr1(.):3252526-3252822	0.0392
3_MACS_peak_693_lociStitched	chr1(.):3254483-3256805	0.0704
2_MACS_peak_696_lociStitched	chr1(.):3257545-3259844	0.0807
1_MACS_peak_698_lociStitched	chr1(.):3261547-3261925	0.097
1_MACS_peak_699_lociStitched	chr1(.):3263518-3264112	0.0718
2_MACS_peak_700_lociStitched	chr1(.):3265014-3266868	0.0666
8_MACS_peak_702_lociStitched	chr1(.):3268427-3286002	0.0723
4_MACS_peak_710_lociStitched	chr1(.):3287431-3292784	0.049
1_MACS_peak_714_lociStitched	chr1(.):3294129-3294410	0.0747
12_MACS_peak_715_lociStitched	chr1(.):3297253-3316788	0.0599
2_MACS_peak_727_lociStitched	chr1(.):3317374-3324962	0.0641
1_MACS_peak_729_lociStitched	chr1(.):3326948-3329205	0.043
2_MACS_peak_730_lociStitched	chr1(.):3329960-3332962	0.037
1_MACS_peak_732_lociStitched	chr1(.):3333795-3334367	0.0346
2_MACS_peak_733_lociStitched	chr1(.):3334881-3335956	0.043
6_MACS_peak_735_lociStitched	chr1(.):3336490-3343452	0.0653
4_MACS_peak_741_lociStitched	chr1(.):3344034-3356546	0.0691
1_MACS_peak_745_lociStitched	chr1(.):3357072-3361045	0.0641
2_MACS_peak_746_lociStitched	chr1(.):3361857-3362630	0.0616
1_MACS_peak_748_lociStitched	chr1(.):3363877-3364268	0.0918
2_MACS_peak_749_lociStitched	chr1(.):3365499-3368210	0.0757
1_MACS_peak_751_lociStitched	chr1(.):3368793-3371123	0.0944
3_MACS_peak_752_lociStitched	chr1(.):3372376-3386833	0.0699
2_MACS_peak_755_lociStitched	chr1(.):3387572-3390908	0.0634
1_MACS_peak_757_lociStitched	chr1(.):3392009-3392305	0.0719
4_MACS_peak_758_lociStitched	chr1(.):3395012-3399390	0.0619
2_MACS_peak_762_lociStitched	chr1(.):3401020-3402989	0.0854
5_MACS_peak_764_lociStitched	chr1(.):3403851-3418213	0.0849
14_MACS_peak_769_lociStitched	chr1(.):3418896-3447608	0.0693
5_MACS_peak_783_lociStitched	chr1(.):3448409-3487901	0.0691
1_MACS_peak_788_lociStitched	chr1(.):3490014-3490639	0.0535
1_MACS_peak_789_lociStitched	chr1(.):3491142-3491640	0.0818
2_MACS_peak_790_lociStitched	chr1(.):3492219-3496438	0.0732
1_MACS_peak_792_lociStitched	chr1(.):3497665-3499588	0.0616
3_MACS_peak_793_lociStitched	chr1(.):3500314-3501456	0.0856
2_MACS_peak_796_lociStitched	chr1(.):3502626-3504301	0.1114
6_MACS_peak_798_lociStitched	chr1(.):3505298-3536087	0.078
10_MACS_peak_804_lociStitched	chr1(.):3665840-3688535	0.0901
1_MACS_peak_814_lociStitched	chr1(.):3689835-3690248	0.0924
2_MACS_peak_815_lociStitched	chr1(.):3716309-3717635	0.0727
1_MACS_peak_817_lociStitched	chr1(.):3720468-3721187	0.1481
3_MACS_peak_818_lociStitched	chr1(.):3839537-3842553	0.0835
1_MACS_peak_821_lociStitched	chr1(.):3995331-3995671	0.026
1_MACS_peak_822_lociStitched	chr1(.):3997640-3998148	0.0553
5_MACS_peak_823_lociStitched	chr1(.):3999560-4009827	0.0766
1_MACS_peak_828_lociStitched	chr1(.):4012603-4012922	0.0851
3_MACS_peak_829_lociStitched	chr1(.):4013611-4017918	0.0739
2_MACS_peak_832_lociStitched	chr1(.):4018655-4020595	0.0599
1_MACS_peak_834_lociStitched	chr1(.):4022830-4023647	0.0369
1_MACS_peak_835_lociStitched	chr1(.):4034983-4035529	0.0353
2_MACS_peak_836_lociStitched	chr1(.):4037315-4038457	0.0811
2_MACS_peak_838_lociStitched	chr1(.):4039364-4041544	0.1075
1_MACS_peak_840_lociStitched	chr1(.):4043147-4043928	0.0906
1_MACS_peak_841_lociStitched	chr1(.):4044597-4044874	0.0277
1_MACS_peak_842_lociStitched	chr1(.):4046901-4047211	0.0565
1_MACS_peak_843_lociStitched	chr1(.):4048777-4049081	0.0122
1_MACS_peak_844_lociStitched	chr1(.):4053693-4054687	0.0651
1_MACS_peak_845_lociStitched	chr1(.):4056324-4057224	0.0563
3_MACS_peak_846_lociStitched	chr1(.):4059310-4061771	0.0866
3_MACS_peak_849_lociStitched	chr1(.):4062796-4064356	0.0364
1_MACS_peak_852_lociStitched	chr1(.):4070988-4071287	0.029
1_MACS_peak_853_lociStitched	chr1(.):4077420-4079333	0.0461
6_MACS_peak_854_lociStitched	chr1(.):4079925-4083214	0.0666
2_MACS_peak_860_lociStitched	chr1(.):4092602-4093407	0.0646
1_MACS_peak_862_lociStitched	chr1(.):4108187-4108488	0.0307
1_MACS_peak_863_lociStitched	chr1(.):4111249-4111615	0.0365
1_MACS_peak_864_lociStitched	chr1(.):4112666-4112938	0.0247
1_MACS_peak_865_lociStitched	chr1(.):4114260-4114609	0.0706
4_MACS_peak_866_lociStitched	chr1(.):4115165-4118152	0.0474
1_MACS_peak_870_lociStitched	chr1(.):4118732-4119638	0.0541
1_MACS_peak_871_lociStitched	chr1(.):4120287-4122016	0.0583
4_MACS_peak_872_lociStitched	chr1(.):4132910-4136393	0.0664
5_MACS_peak_876_lociStitched	chr1(.):4142425-4145859	0.0518
1_MACS_peak_881_lociStitched	chr1(.):4146483-4146785	0.0
3_MACS_peak_882_lociStitched	chr1(.):4148428-4149913	0.0418
1_MACS_peak_885_lociStitched	chr1(.):4154876-4155174	0.035
1_MACS_peak_886_lociStitched	chr1(.):4165555-4166109	0.0599
1_MACS_peak_887_lociStitched	chr1(.):4166995-4167800	0.0589
2_MACS_peak_888_lociStitched	chr1(.):4168579-4171113	0.0525
1_MACS_peak_890_lociStitched	chr1(.):4176205-4178615	0.0782
3_MACS_peak_891_lociStitched	chr1(.):4179445-4181952	0.0645
1_MACS_peak_894_lociStitched	chr1(.):4183184-4183500	0.0444
1_MACS_peak_895_lociStitched	chr1(.):4185577-4185881	0.0588
7_MACS_peak_896_lociStitched	chr1(.):4187121-4195619	0.064
1_MACS_peak_903_lociStitched	chr1(.):4197461-4198174	0.0252
1_MACS_peak_904_lociStitched	chr1(.):4198898-4199914	0.0612
2_MACS_peak_905_lociStitched	chr1(.):4200620-4201819	0.0795
1_MACS_peak_907_lociStitched	chr1(.):4207895-4208213	0.0322
2_MACS_peak_908_lociStitched	chr1(.):4209712-4210583	0.0617
3_MACS_peak_910_lociStitched	chr1(.):4212021-4213387	0.0598
1_MACS_peak_913_lociStitched	chr1(.):4216893-4217230	0.095
2_MACS_peak_914_lociStitched	chr1(.):4218150-4219133	0.0518
3_MACS_peak_916_lociStitched	chr1(.):4224633-4226384	0.0704
1_MACS_peak_919_lociStitched	chr1(.):4226986-4228425	0.076
2_MACS_peak_920_lociStitched	chr1(.):4229252-4231824	0.1148
1_MACS_peak_922_lociStitched	chr1(.):4233659-4234078	0.0405
1_MACS_peak_923_lociStitched	chr1(.):4238752-4239116	0.0161
2_MACS_peak_924_lociStitched	chr1(.):4239735-4240608	0.0826
1_MACS_peak_926_lociStitched	chr1(.):4241443-4241802	0.1142
1_MACS_peak_927_lociStitched	chr1(.):4244506-4244859	0.0685
3_MACS_peak_928_lociStitched	chr1(.):4270409-4271834	0.0654
1_MACS_peak_931_lociStitched	chr1(.):4272621-4273616	0.0634
1_MACS_peak_932_lociStitched	chr1(.):4274799-4276016	0.0279
1_MACS_peak_933_lociStitched	chr1(.):4277923-4278357	0.0657
4_MACS_peak_934_lociStitched	chr1(.):4279127-4283902	0.0913
1_MACS_peak_938_lociStitched	chr1(.):4284908-4285769	0.078
1_MACS_peak_939_lociStitched	chr1(.):4289251-4289777	0.088
1_MACS_peak_940_lociStitched	chr1(.):4328519-4328833	0.0028
2_MACS_peak_941_lociStitched	chr1(.):4330036-4330896	0.0704
1_MACS_peak_943_lociStitched	chr1(.):4331701-4331968	0.0269
1_MACS_peak_944_lociStitched	chr1(.):4333678-4333996	0.0173
1_MACS_peak_945_lociStitched	chr1(.):4335312-4335751	0.0645
1_MACS_peak_946_lociStitched	chr1(.):4371662-4372140	0.0637
1_MACS_peak_947_lociStitched	chr1(.):4384723-4385490	0.0762
1_MACS_peak_948_lociStitched	chr1(.):4389345-4390300	0.0788
1_MACS_peak_949_lociStitched	chr1(.):4411441-4411976	0.0367
2_MACS_peak_950_lociStitched	chr1(.):4413216-4413979	0.0766
1_MACS_peak_952_lociStitched	chr1(.):4415876-4416211	0.0733
1_MACS_peak_953_lociStitched	chr1(.):4417145-4417578	0.0368
1_MACS_peak_954_lociStitched	chr1(.):4418103-4419794	0.0944
2_MACS_peak_955_lociStitched	chr1(.):4455564-4456317	0.069
2_MACS_peak_957_lociStitched	chr1(.):4458321-4459449	0.0902
3_MACS_peak_959_lociStitched	chr1(.):4467779-4469392	0.074
1_MACS_peak_962_lociStitched	chr1(.):4500295-4500606	0.0474
1_MACS_peak_963_lociStitched	chr1(.):4503968-4504669	0.0477
1_MACS_peak_964_lociStitched	chr1(.):4509289-4509606	0.0201
1_MACS_peak_965_lociStitched	chr1(.):4520170-4520593	0.0962
1_MACS_peak_966_lociStitched	chr1(.):4521719-4522190	0.0466
1_MACS_peak_967_lociStitched	chr1(.):4525431-4525733	0.0702
1_MACS_peak_968_lociStitched	chr1(.):4558273-4558701	0.0426
1_MACS_peak_969_lociStitched	chr1(.):4562629-4562976	0.0487
1_MACS_peak_970_lociStitched	chr1(.):4564747-4565475	0.0651
1_MACS_peak_971_lociStitched	chr1(.):4571093-4571547	0.1038
1_MACS_peak_972_lociStitched	chr1(.):4575771-4576339	0.1006
1_MACS_peak_973_lociStitched	chr1(.):4577114-4577701	0.1127
1_MACS_peak_974_lociStitched	chr1(.):4587204-4587532	0.0374
1_MACS_peak_975_lociStitched	chr1(.):4589372-4589966	0.0448
3_MACS_peak_976_lociStitched	chr1(.):4644703-4646749	0.0831
3_MACS_peak_979_lociStitched	chr1(.):4649134-4650593	0.0546
3_MACS_peak_982_lociStitched	chr1(.):4652512-4654103	0.0413
