GENE	H3k27ac_19_DMSO_compare_TSS_SIGNAL	H3k27ac_19_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
HNRNPL	25910.2	6759.7205	-19150.4795	0.206909609712702	-1.93848465118178
EFCAB2	36490.0612	17360.2656	-19129.7956	0.32237994886226	-1.07171455038501
ASAH1	20125.8352	1478.4252	-18647.41	0.0684321135103519	-3.76691549656279
LOC100287814	20628.4	2054.7434	-18573.6566	0.0905845968420761	-3.32760178189657
STK35	21498.4	2961.306	-18537.094	0.121068748741297	-2.85992381143848
ITGA4	28330.6	9864.5688	-18466.0312	0.258267448735558	-1.52203326181754
HNRNPK	18843.5404	524.3877	-18319.1527	0.0270750540425643	-5.16729239332119
IFIH1	24461.2	6144.5471	-18316.6529	0.200764486484305	-1.99311659830159
BCLAF1	20039.2	1761.9766	-18277.2234	0.0808202526096688	-3.50755824503756
AMACR	18817.8	612.2148	-18205.5852	0.0315087150628418	-4.94191623963001
C1orf77	20150.488	1970.656	-18179.832	0.0890847236472038	-3.35406691309106
S100A13	20150.488	1970.656	-18179.832	0.0890847236472038	-3.35406691309106
RFX3	22748	4638.1092	-18109.8908	0.169359917691411	-2.29413101698328
NDUFA4	20659.4	2689.4518	-17969.9482	0.115185612681819	-2.94141431690251
LOC100129387	17972.5074	203.9218	-17768.5856	0.011219024251474	-6.46163187443114
ZNF335	21055.8	3333.2726	-17722.5274	0.136670739993615	-2.65920647757464
LUC7L2	21595.2	3991.1201	-17604.0799	0.155986483574088	-2.43584507995333
RMI1	18057.5958	524.3877	-17533.2081	0.0282202220231226	-5.10582816782126
WAC	18210.3724	760.0409	-17450.3315	0.0400645409238395	-4.58253955909736
CGGBP1	18344.0288	902.6508	-17441.378	0.0468990401856121	-4.34499874101431
FLJ10038	17618.7593	203.9218	-17414.8375	0.0114417016640667	-6.43295251101946
USP1	18322.2532	924.939	-17397.3142	0.0480557886256262	-4.30809489858625
YY1AP1	21482.2928	4209.0535	-17273.2393	0.163831566117654	-2.35158022747305
CRADD	19266.844	2297.3318	-16969.5122	0.106534644370688	-3.06808912768759
MYNN	19784.5694	2901.9597	-16882.6097	0.127915543501981	-2.76927627649908
DAP3	20791.4486	4209.0535	-16582.3951	0.168358758682691	-2.30442252584297
EXO1	16537.256	8.8549	-16528.4011	0.000535165033856989	-8
CD164	25327.6	9233.7475	-16093.8525	0.267169776872849	-1.45572218916835
TMEM168	19289.7936	3280.2299	-16009.5637	0.145335688285836	-2.55596886967287
WRAP53	15877.8825	5.7591	-15872.1234	0.000362580581017391	-8
ZNF398	28788.2304	13038.208	-15750.0224	0.311721688452441	-1.14273351377728
ABCD2	27410.6	11812.8432	-15597.7568	0.301167930101557	-1.21437766341386
NCF2	25531.1408	10029.925	-15501.2158	0.282047930070757	-1.34794718461724
ATAD2B	15986.8	563.0037	-15423.7963	0.0340187539505378	-4.82759297666737
HCLS1	23165.6	7861.5701	-15304.0299	0.253376962019491	-1.55909467025796
ZDHHC5	17256	1959.1749	-15296.8251	0.101959774511342	-3.13877998047561
TMEM87A	15395.661	103.2859	-15292.3751	0.00666405922069454	-7.21973668023427
C3orf58	15513.5875	280.896	-15232.6915	0.0177844372055598	-5.78735245594377
ZBED5	16108.6285	891.3924	-15217.2361	0.0524347825948849	-4.17562919637001
HNRNPH3	15643.8309	427.724	-15216.1069	0.0266137285820428	-5.19276987593916
SEC23B	16320.9781	1130.8721	-15190.106	0.0647995534593805	-3.85121984223776
UPF2	17009.528	1825.4515	-15184.0765	0.0969181569855173	-3.22001786422815
LOC220906	15930.9313	760.0409	-15170.8904	0.0455360473250324	-4.38960974080112
ARPC4	15358.3648	250.4752	-15107.8896	0.0160470092588559	-5.93821304408722
TADA3	15358.3648	250.4752	-15107.8896	0.0160470092588559	-5.93821304408722
ANKRD13C	17738.57	2646.7454	-15091.8246	0.129835881764184	-2.74459838247132
EIF4G2	15978.9034	891.3924	-15087.511	0.0528379828408225	-4.16396393157521
SREK1	15529.9005	463.6881	-15066.2124	0.0289921237563907	-5.06575007404278
LOC729013	15914.9779	891.3924	-15023.5855	0.0530389598758276	-4.1581806827779
HHLA3	17631.425	2646.7454	-14984.6796	0.130521903494804	-2.7358577517202
C1orf174	15136.998	177.5296	-14959.4684	0.0115922348136942	-6.41387571607621
LOC100133612	15136.998	177.5296	-14959.4684	0.0115922348136942	-6.41387571607621
GABPB2	28728.8	13825.3933	-14903.4067	0.324889093832264	-1.05517721052374
GABPB1	15101.1954	203.9218	-14897.2736	0.0133237659885414	-6.21050293349687
IRF5	48816.2705	33923.9339	-14892.3366	0.410005439870535	-0.525058601344168
SCYL3	24497.4	9634.8232	-14862.5768	0.282279391633651	-1.34629854049896
HSPA9	15768	916.4367	-14851.5633	0.0549276380424639	-4.10482063671192
MDM2	28165.6	13334.2648	-14831.3352	0.321308632311496	-1.07879592259995
C1orf31	22305.6808	7485.6298	-14820.051	0.251268898522377	-1.57521557483414
ZC3H6	14761.5296	41.9876	-14719.542	0.00283632595097062	-8
UBQLN1	15972.6	1331.4694	-14641.1306	0.0769454496062065	-3.58450799413228
BIRC3	22576.2	7938.7769	-14637.4231	0.260160016703142	-1.50781401522852
C2orf24	18515.352	3922.742	-14592.61	0.174825098780672	-2.23878762007535
MYL12A	23424.2	8913.3276	-14510.8724	0.275634170622246	-1.39396374005144
C1orf25	18952.9033	4446.5788	-14506.3245	0.190028940854208	-2.09165120683473
C1orf26	18948.0409	4446.5788	-14501.4621	0.190068436974849	-2.09128103344969
RAPGEF6	22072.4	7606.6411	-14465.7589	0.256296727187726	-1.53691206494548
ACBD6	14811.8	358.9344	-14452.8656	0.0236596588231088	-5.36688296760517
S100PBP	16508.3724	2073.3706	-14435.0018	0.111581061044704	-2.99314797258688
SCAND1	15760.4	1415.8821	-14344.5179	0.0824323967059204	-3.47653110812412
ACBD5	18732.512	4413.9919	-14318.5201	0.190697995648492	-2.08538848837801
ARMC5	16114.6	1818.6492	-14295.9508	0.10141214119748	-3.14742918506976
REV3L	18670.942	4425.0591	-14245.8829	0.191594167355664	-2.07702608858731
GANC	14299.613	103.2859	-14196.3271	0.00717118829460089	-7.11318897351104
INO80D	19389.8	5212.9782	-14176.8218	0.211885753617858	-1.89511819065741
LAX1	42926	28817.3162	-14108.6838	0.401672486391143	-0.574915762095062
ALDH3B1	41736.9158	27799.666	-13937.2498	0.399784764801309	-0.586256444991268
FBXL17	16377.6	2505.949	-13871.651	0.13270540405302	-2.70829499864259
CNPY3	16624.8	2778.9847	-13845.8153	0.143218693825231	-2.58070718801979
COPS5	14488.2	693.5405	-13794.6595	0.0456825421301332	-4.38475442411482
SMC4	29832.2398	16057.9228	-13774.317	0.349920808517684	-0.893587016416266
FLCN	17329	3628.0879	-13700.9121	0.173119849347008	-2.25590708918503
MRPL47	15620.56	1948.0947	-13672.4653	0.110884682593255	-3.00331045934272
PTPN7	15520.7064	1858.0293	-13662.6771	0.106913951168496	-3.06234906352264
NDUFB5	15609.388	1948.0947	-13661.2933	0.110955239614162	-3.00227825847678
GAS5	13742.6283	158.5596	-13584.0687	0.011406190689646	-6.43748890995112
GPBP1	17236.35	3700.0581	-13536.2919	0.176728409301498	-2.21983446922545
LOC643749	17858.234	4425.0591	-13433.1749	0.198581918755985	-2.01282079074496
HNRNPA0	14506.2	1206.5448	-13299.6552	0.0767876532940317	-3.58771625478073
IVNS1ABP	14970	1702.6612	-13267.3388	0.102122941237479	-3.13621092396042
ZBTB4	18740.7558	5483.4142	-13257.3416	0.226361282966558	-1.77303277738566
MIR3661	14150.6828	905.7281	-13244.9547	0.0601556443972979	-3.96564984002102
SH3GLB1	15427.6	2233.3648	-13194.2352	0.126457689333031	-2.78822281925846
DNAJC27	15579.0429	2412.5623	-13166.4806	0.134093777246735	-2.69096850108349
LOC729723	15579.0429	2412.5623	-13166.4806	0.134093777246735	-2.69096850108349
ZBTB37	13281.0123	158.5596	-13122.4527	0.0117979650825039	-6.38819607703476
RASA1	15203.1765	2080.9457	-13122.2308	0.120396377433619	-2.86906156183004
POLR2A	18605.0865	5483.4142	-13121.6723	0.22763617662597	-1.76255073840708
FUBP1	16294.4	3193.5133	-13100.8867	0.163871485409369	-2.35115986544722
SMEK2	14447.6	1349.9574	-13097.6426	0.0854535524586858	-3.41984406902839
TMEM18	13362	318.7213	-13043.2787	0.0232971122655645	-5.38969671674104
DUSP4	17653.2821	4666.4683	-12986.8138	0.209073498420484	-1.91953343414082
FBXO40	32407.6	19449.4136	-12958.1864	0.375058497390987	-0.736605524775569
ZC3HAV1	14367.2	1424.4755	-12942.7245	0.0902042028409208	-3.33427621109943
PPP2CA	13820.1615	905.7281	-12914.4334	0.0615058325576473	-3.93155264714303
TSEN34	13494.0625	601.4274	-12892.6351	0.0426680735658574	-4.48779034270346
ITGB3BP	13651.6986	762.174	-12889.5246	0.0528778088409079	-4.16281626367488
GORAB	12902.6	20.2851	-12882.3149	0.00156970365696434	-8
EFCAB7	13633.9101	762.174	-12871.7361	0.0529431472270991	-4.16093517063035
PREPL	13143.2107	286.122	-12857.0887	0.0213057496147966	-5.52154350728136
YARS	14887.9684	2073.3706	-12814.5978	0.12224097401744	-2.84409698245099
ITFG1	13184.0272	391.5405	-12792.4867	0.0288415562908651	-5.07348576972748
SNORD74	12936.8761	158.5596	-12778.3165	0.0121080049287707	-6.350320249821
DALRD3	17739.4084	4964.0971	-12775.3113	0.218648926263832	-1.8373546566866
C2orf34	13039.1808	286.122	-12753.0588	0.0214720824205211	-5.51007899223679
PHKB	13120.4092	391.5405	-12728.8687	0.0289773503227295	-5.06650736116797
SMC2	12819.505	162.75	-12656.755	0.0125363428772582	-6.2995392025813
EIF3B	32504.4	19871.4711	-12632.9289	0.379401252574108	-0.709936343290283
YWHAZ	13451.2897	819.063	-12632.2267	0.0573961286885362	-4.03762626961333
B3GALNT2	15934.4	3351.273	-12583.127	0.173770083107808	-2.24936357568454
HECTD2	12814.6	235.0816	-12579.5184	0.0180143552314717	-5.76848301358492
NBR1	15333.0932	2778.6755	-12554.4177	0.153418230214038	-2.46417949810949
CEP170	13303.8602	791.5838	-12512.2764	0.0561588411120643	-4.07095901592275
PFDN4	13445.7741	1021.9098	-12423.8643	0.0706339595932145	-3.71781305049668
MAT2A	20683.8	8269.9449	-12413.8551	0.285626088389001	-1.32255163767627
RPN2	13645.1839	1244.3315	-12400.8524	0.0835709871390442	-3.45494905090973
COQ7	12692.3788	416.6156	-12275.7632	0.031780896938975	-4.92910181204597
C9orf102	12304.796	55.7383	-12249.0577	0.00450937626539332	-7.78633602297379
TNPO1	12726.2774	522.4805	-12203.7969	0.0394361874481834	-4.60628946986641
C9orf130	12254.36	55.7383	-12198.6217	0.004527851739413	-7.7804104228126
C7orf27	13688.0574	1489.5962	-12198.4612	0.0981440372311567	-3.19992451202995
HNRNPR	14173.2	1977.9636	-12195.2364	0.122465702718781	-2.8410777422889
INTS6	18535.6	6357.832	-12177.768	0.255401987158701	-1.54369201598439
RNU4ATAC	15667.2	3508.5739	-12158.6261	0.182969089972426	-2.15879071337508
LACE1	13035.3348	884.4881	-12150.8467	0.0635416202026536	-3.88144109448566
POLDIP3	16301.3408	4195.3954	-12105.9454	0.204686022158006	-1.95811194162115
FAM53C	14511.6614	2438.9224	-12072.739	0.143884271407808	-2.57289693775551
KIAA1712	12628.679	558.5861	-12070.0929	0.042357994304672	-4.49878025263092
LRBA	12708.7222	644.5272	-12064.195	0.0482674426795324	-4.3014339277296
SNORD75	12211.2582	158.5596	-12052.6986	0.0128182647928735	-6.26704281924006
NNT	12848.1564	809.4624	-12038.694	0.0592681939548642	-3.98845348164878
C10orf78	15289.5042	3285.9183	-12003.5859	0.176896019457969	-2.2181731093533
GPATCH2	12001.1544	0	-12001.1544	0	-8
C19orf20	21512.6	9515.2645	-11997.3355	0.306668365784568	-1.17686623316129
CTAGE5	12259.5682	263.6406	-11995.9276	0.0210521603696331	-5.53919179693888
SFRS18	13883.2	1906.2085	-11976.9915	0.120727036734783	-2.8645623052355
SPATA17	11961.6105	0	-11961.6105	0	-8
WASL	13745.2	1796.6945	-11948.5055	0.115603313354109	-2.93551087206232
ALKBH5	13662	1735.8667	-11926.1333	0.112734233502619	-2.97644062703583
MBOAT7	12513.928	601.4274	-11912.5006	0.0458567367530124	-4.37900030215515
IQCG	12651.1664	759.4159	-11891.7505	0.0566281077891748	-4.05823638784102
LOC100129961	12205.5744	335.1406	-11870.4338	0.0267242019294753	-5.18662991058707
C6orf130	14579.2882	2722.4452	-11856.843	0.157351008541144	-2.42094537074694
GPBP1L1	16623.6056	4784.5525	-11839.0531	0.223492020081821	-1.79677743076673
C11orf10	12480.884	709.7249	-11771.1591	0.0538053175088832	-4.13631638848957
FEN1	12471.1432	709.7249	-11761.4183	0.0538450802037842	-4.13518998665812
MIR611	12466.518	709.7249	-11756.7931	0.0538639812112146	-4.1346548319677
PAXIP1	11852.66	165.2979	-11687.3621	0.0137542418916279	-6.16399866176093
N4BP2	19189.3672	7525.3462	-11664.021	0.281692941538351	-1.35047727813081
RNU12	15855.8048	4195.3954	-11660.4094	0.2092341285386	-1.91813241611635
C2orf79	12804.3066	1149.456	-11654.8506	0.0823760610632719	-3.47760598050634
CENPO	12792.513	1149.456	-11643.057	0.0824457434957717	-3.47627655210828
FBXO8	12155.7897	558.5861	-11597.2036	0.0439334269166403	-4.44372013709451
FBXW4	12602.112	1009.635	-11592.477	0.0741738000272853	-3.64175980276009
DEGS1	13223.2	1646.0894	-11577.1106	0.110703972175025	-3.00595675318284
ADAR	19347.8512	7780.3053	-11567.5459	0.286798157478928	-1.3142746745536
GABPA	16061.9542	4500.8014	-11561.1528	0.218881237882339	-1.83539361939644
CBX5	14305.3941	2747.2046	-11558.1895	0.161101814939209	-2.38052297782638
CLN3	11909.4503	378.3573	-11531.093	0.0307912780144767	-4.97621373392466
CHEK1	11971.0032	482.6935	-11488.3097	0.0387590537675452	-4.63229284913957
LOC202781	11632.872	165.2979	-11467.5741	0.0140104695390088	-6.13699511634339
RAB33B	12628.2	1162.9057	-11465.2943	0.0843228763013542	-3.44084299617328
AGA	13859.232	2396.1768	-11463.0552	0.147407969216991	-2.53204104844369
SFT2D3	16189.2	4737.7544	-11451.4456	0.226394835552373	-1.77275637777644
GABARAP	17526.2	6152.9805	-11373.2195	0.259847696164992	-1.51015590191451
CCNT2	11706.3768	335.1406	-11371.2362	0.0278320903310741	-5.12638434136929
EIF4E	11549.0401	195.2352	-11353.8049	0.016623860988681	-5.88641594904036
ANKRD17	14586.4	3252.1338	-11334.2662	0.182309478820507	-2.16516534306591
NFIA	13614.7874	2280.5535	-11334.2339	0.143473078957369	-2.57771853413299
CDC37L1	13031.6	1843.0659	-11188.5341	0.123906372915576	-2.82183466519335
SMAD2	11900.5092	739.1184	-11161.3908	0.058476279791661	-4.00907400536717
WDR5B	12587.2	1481.5969	-11105.6031	0.10531084573408	-3.0867325036069
SDCCAG8	11889.2912	791.5838	-11097.7074	0.0624234368685126	-3.90877681124112
CLASP1	12318.4	1225.6958	-11092.7042	0.0904966871247322	-3.32914200838524
TMBIM4	13040.355	1969.881	-11070.474	0.131235844659604	-2.72680276026436
LOC400027	25131.6295	14079.2068	-11052.4227	0.359064180429123	-0.835938159463956
STAG1	15872	4832.699	-11039.301	0.233410734442457	-1.71558288503126
RBBP5	11266.0785	234.81	-11031.2685	0.0204166834588476	-5.58434776822798
TBC1D5	14199.9455	3174.8452	-11025.1003	0.182727104735713	-2.16112723723558
RHBDD3	19505.3513	8481.2263	-11024.125	0.303046210980795	-1.20152519799963
EWSR1	19490.4445	8481.2263	-11009.2182	0.303207711853952	-1.20042220897007
C1orf125	11683.2649	712.3565	-10970.9084	0.0574683976714552	-4.03570026184256
TMEM106B	14444.6	3510.7354	-10933.8646	0.195526027322219	-2.04068508213151
GIN1	14245.6	3342.8074	-10902.7926	0.190057423846118	-2.09138424696204
C7orf49	31950.8	21078.408	-10872.392	0.397486758618005	-0.600086146636378
LOC644656	18665.1856	7812.9243	-10852.2613	0.295071073030028	-1.25641531336937
CEP63	12554.5557	1714.9476	-10839.6081	0.120182711615477	-2.87197457236779
ATG10	11130.4	318.6358	-10811.7642	0.0278307977690139	-5.12645326190312
STAG2	15242.9852	4461.8455	-10781.1397	0.226434094660859	-1.77243300573885
TBCCD1	13335.3338	2561.001	-10774.3328	0.161106382837382	-2.38047421641243
PPP2R3C	11006.5536	235.9777	-10770.5759	0.0209897303110021	-5.54356845836333
RPL7	10869.331	100.764	-10768.567	0.00918533522271229	-6.75313903738634
POU2F1	18233.773	7489.0897	-10744.6833	0.291145265880535	-1.28375084543112
SPATA2	14236.5616	3508.9233	-10727.6383	0.197736118216753	-2.02050043215788
ZNF143	18539.1016	7812.9243	-10726.1773	0.296482871170827	-1.24663679204231
ZNF678	10842.4602	140.5906	-10701.8696	0.0128006874009906	-6.26904819931714
KIAA0528	11477.7026	790.4502	-10687.2524	0.0644310690359188	-3.86001551527812
PCNP	11467.2	786.9046	-10680.2954	0.0642155935244751	-3.86518061261937
C2orf67	14875.2	4201.6323	-10673.5677	0.220247902478023	-1.82388724867031
C1orf9	11430.136	767.1989	-10662.9371	0.0628988960531042	-3.89709810731046
BAT2L2	11526.2	866.5006	-10659.6994	0.0699202399838499	-3.73357239977917
PBLD	11066.0752	427.724	-10638.3512	0.0372134568002545	-4.69331966212409
SLBP	13411.4	2788.1817	-10623.2183	0.172114425645941	-2.26606335949613
HNRNPUL2	19864.765	9280.2016	-10584.5634	0.318415242239461	-1.09798367502585
KIAA0391	10802.2656	235.9777	-10566.2879	0.0213781933942333	-5.51653958509254
STAM	10560.732	16.8168	-10543.9152	0.00158985794516022	-8
ATP5J	15025.7691	4500.8014	-10524.9677	0.230496256370262	-1.7391850261125
NVL	11606	1088.7937	-10517.2063	0.085766947122583	-3.41406830466363
ATPBD4	10519.3156	4.4496	-10514.866	0.000422814450478238	-8
BSCL2	20399.6092	9904.948	-10494.6612	0.326846814973426	-1.04232020818054
LOC440944	13890.5528	3412.9194	-10477.6334	0.197238991143061	-2.02502576609816
ANAPC13	12148.043	1714.9476	-10433.0954	0.123706900587525	-2.82448751945832
INO80	13000.4	2573.094	-10427.306	0.165222653310811	-2.33697994565654
APBA3	12473.6711	2056.9298	-10416.7413	0.141558481590393	-2.60032166146696
UBAP2L	16150.9504	5743.0411	-10407.9093	0.262311287551199	-1.49173227106565
RBM33	14893.2	4486.6292	-10406.5708	0.23151025500266	-1.73094990753211
USP15	11701	1308.8914	-10392.1086	0.100607403994164	-3.16021452626548
DDB2	13028.6	2667.5155	-10361.0845	0.169947494333869	-2.28811350695065
DUT	10359.8832	8.7152	-10351.168	0.000840537907225725	-8
SNORD18A	11819.8614	1468.9206	-10350.9408	0.110538392457638	-3.00838479784306
POLR1B	11493.1642	1164.0894	-10329.0748	0.0919701411370947	-3.30350227913845
RNF139	14706.4	4378.4552	-10327.9448	0.229420404510064	-1.74795027528572
C20orf132	11562.1255	1244.3315	-10317.794	0.0971643835605742	-3.21596384970741
ZADH2	12170.7264	1893.735	-10276.9914	0.13464681982063	-2.68410891034704
PPP2R5A	15201.2	4956.717	-10244.483	0.245894305448326	-1.61672841945769
TMEM138	12323.5806	2101.2341	-10222.3465	0.145668013329835	-2.55211268230216
CNOT1	10474.2	269.9753	-10204.2247	0.0251275963451564	-5.27786882617233
CETN3	10611.2	410.1814	-10201.0186	0.0372168773689294	-4.69318193368035
CYBASC3	12269.4993	2101.2341	-10168.2652	0.146216204943305	-2.54576756819689
HADHA	14576.9182	4410.5622	-10166.356	0.232287913250459	-1.72465127421257
HADHB	14576.9182	4410.5622	-10166.356	0.232287913250459	-1.72465127421257
THAP5	11784.8847	1619.9393	-10164.9454	0.120847487441834	-2.86292598306091
ACYP2	14280.628	4149.7041	-10130.9239	0.2251562303644	-1.78297905221425
DNAJB9	11745.6807	1619.9393	-10125.7414	0.121201956961218	-2.85811866392045
STAM2	10353.798	232.3951	-10121.4029	0.0219526602060565	-5.47743661658983
BAT2	11486.4	1374.5515	-10111.8485	0.106877900908032	-3.06289384172859
NFYA	12814.3068	2722.4452	-10091.8616	0.175226147652997	-2.23478052262666
CAMK2D	14258.8	4229.8448	-10028.9552	0.228780683806528	-1.75317593719869
C1orf43	15767.418	5743.0411	-10024.3769	0.266988308957106	-1.45705963884976
TRPV3	19724.4	9701.9279	-10022.4721	0.329702296969239	-1.02363805203273
USP37	12888.6984	2887.1181	-10001.5803	0.183009107642701	-2.15840454805202
DDX5	10534.4246	543.1615	-9991.2631	0.0490324782941656	-4.27758648165787
HIST4H4	14084.8574	4110.748	-9974.1094	0.225919825673951	-1.77667211883303
NUDCD2	14969.2328	5014.2324	-9955.0004	0.250919064827656	-1.57789951361898
CENPL	10106.2725	158.5596	-9947.7129	0.0154468771096607	-5.99408194726769
MPDU1	12580.0449	2637.0562	-9942.9887	0.173295569416963	-2.25413684856944
LY96	13371.06	3428.8419	-9942.2181	0.204098923934788	-1.96332055071658
C10orf111	11565.3836	1647.1781	-9918.2055	0.124667580549501	-2.8117446589761
RPP38	11565.3836	1647.1781	-9918.2055	0.124667580549501	-2.8117446589761
TSC22D2	14303.4	4397.3187	-9906.0813	0.235141695383076	-1.70166212243781
PFKM	16374.1638	6488.9036	-9885.2602	0.283815967755928	-1.33537459418381
FARSB	14692.4	4812.0258	-9880.3742	0.246714558497795	-1.61035379627757
LANCL2	11404.5888	1537.736	-9866.8528	0.118814511593775	-2.89073468386815
C21orf59	17546.2245	7713.0291	-9833.1954	0.30535459290056	-1.18579117367772
CAPZA1	11920.6444	2095.3074	-9825.337	0.149494478141684	-2.50822840576756
ST7L	11920.6444	2095.3074	-9825.337	0.149494478141684	-2.50822840576756
CHCHD5	10749.2	971.4558	-9777.7442	0.0828840823053604	-3.46793712572309
RPL4	11226.1244	1468.9206	-9757.2038	0.115708183783516	-2.93403163073864
DARS2	9914.1273	158.5596	-9755.5677	0.015741539628319	-5.96638865025859
SRSF4	10578.8	866.985	-9711.815	0.0757470981675787	-3.609025142129
EIF5A	15841.1642	6152.9805	-9688.1837	0.279755388714888	-1.36432104048769
RQCD1	12567.5296	2887.1181	-9680.4115	0.186812288189526	-2.12199905843162
MEMO1	11691	2015.2336	-9675.7664	0.147030443140849	-2.53637935078108
PCIF1	12992	3333.2726	-9658.7274	0.204178679380827	-1.9626123245
PIK3CA	10572.6	959.4904	-9613.1096	0.0832017758029368	-3.46191802392906
METAP2	9714.6	112.6744	-9601.9256	0.0114654781594376	-6.42992292114316
NDUFAF3	14556.9494	4964.0971	-9592.8523	0.254294619911899	-1.55210481088212
LOC348840	9894.8	304.5528	-9590.2472	0.0298600122941134	-5.02190627343986
LOC387723	9837.2	250.2827	-9586.9173	0.0248112147939545	-5.29661725631287
ZWILCH	11039.3008	1468.9206	-9570.3802	0.117436408664784	-2.90982047784436
LOC221710	10122.8	553.4432	-9569.3568	0.0518387591620243	-4.1930293287446
MAT2B	14576.5152	5014.2324	-9562.2828	0.255949007275251	-1.53954508755762
ISPD	9561.57	41.5954	-9519.9746	0.00433142596919137	-7.84467972571224
PRKD2	18804.2	9294.0832	-9510.1168	0.330770500597702	-1.01667046519061
C11orf65	9833.6	328.3056	-9505.2944	0.032307483745962	-4.90460840835923
AIMP1	9500.5483	0	-9500.5483	0	-8
TBCK	9479.217	0	-9479.217	0	-8
RG9MTD2	9538.5952	69.4762	-9469.119	0.00723102453214492	-7.10111415020819
CAND1	12925.4	3469.5971	-9455.8029	0.211625356127693	-1.89736888047554
RNASEK	19224.9056	9771.4044	-9453.5012	0.336987858110222	-0.976338679865873
PLEC	23602.4748	14151.3023	-9451.1725	0.374831431104677	-0.738003313145227
ARID4B	13339.3392	3890.5052	-9448.834	0.225800367645804	-1.77765778744092
HMGN1	10806.4	1375.1996	-9431.2004	0.112891545047992	-2.97417305416154
TMEM80	14359.1375	4938.7642	-9420.3733	0.255922342064785	-1.53974710005916
UGP2	9839.9254	431.3404	-9408.585	0.0419948629895256	-4.51174862548573
RBM5	9522.8126	153.92	-9368.8926	0.0159061954445243	-5.95113513276939
ST13	12773.7011	3407.1753	-9366.5258	0.210568032025756	-1.90652851600708
GBE1	9509.8743	156.767	-9353.1073	0.0162173184185494	-5.92273246770919
ARFGAP2	11998.6	2667.5155	-9331.0845	0.181882891894585	-2.16929752241005
DEAF1	14269.05	4938.7642	-9330.2858	0.257122655840767	-1.53066729236958
HSPA4	12915	3595.0521	-9319.9479	0.217749288628835	-1.84496305978803
HMMR	14326.9268	5014.2324	-9312.6944	0.259251906679926	-1.51462840826159
VPS24	15620.11	6317.2605	-9302.8495	0.287967990511898	-1.30603364340782
NDNL2	9646.8	361.1233	-9285.6767	0.0360837397704677	-4.73948704401278
