#34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_ROSE/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam
#Using cutoff of 3322.6445 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuper
1_MACS_peak_4757_lociStitched	chr16	23344906	23350232	1	5327	10102.3568	1716.0372	67	1
1_MACS_peak_7877_lociStitched	chr20	37498943	37505346	1	6404	10020.0547	1737.7742	68	1
1_MACS_peak_6789_lociStitched	chr2	67690460	67693529	1	3070	9021.0186	782.9019	69	1
2_MACS_peak_7428_lociStitched	chr2	201980387	201992567	2	9553	11540.55	3331.23	70	1
1_MACS_peak_1308_lociStitched	chr1	230257876	230261273	1	3398	9581.5782	1377.1438	71	1
1_MACS_peak_10181_lociStitched	chr4	144275772	144281547	1	5776	9744.735	1588.125	72	1
2_MACS_peak_4037_lociStitched	chr14	106040391	106049664	2	4371	10049.1501	1930.6386	73	1
4_MACS_peak_11892_lociStitched	chr6	108902183	108920354	4	6075	11584.0125	3543.345	74	1
3_MACS_peak_10980_lociStitched	chr5	131790888	131804069	3	9269	11807.5398	3768.4479	75	1
2_MACS_peak_12303_lociStitched	chr7	26002658	26009339	2	5620	10003.4613	1968.2226	76	1
3_MACS_peak_6582_lociStitched	chr2	37570367	37584072	3	9422	11368.2975	3375.5415	77	1
3_MACS_peak_12849_lociStitched	chr7	136037652	136047000	3	5042	10683.8292	2886.6624	78	1
2_MACS_peak_686_lociStitched	chr1	150532149	150541295	2	7681	11682.1858	3937.353	79	1
4_MACS_peak_2827_lociStitched	chr12	7052118	7069295	4	10137	11604.7812	3866.5427	80	1
1_MACS_peak_6044_lociStitched	chr19	2595094	2600191	1	5098	9789.8079	2114.2356	81	1
2_MACS_peak_11980_lociStitched	chr6	130004386	130009510	2	4751	9220.638	1566.9192	82	1
3_MACS_peak_7385_lociStitched	chr2	197033480	197044148	3	6517	10261.5492	2629.662	83	1
6_MACS_peak_12123_lociStitched	chr6	157977807	157999379	6	7909	10002.9364	2411.7496	84	1
3_MACS_peak_9966_lociStitched	chr4	90209774	90221487	3	10585	10652.9735	3116.8293	85	1
2_MACS_peak_5468_lociStitched	chr17	62150458	62160602	2	6310	10196.7488	2662.8	86	1
4_MACS_peak_10758_lociStitched	chr5	88114053	88129840	4	9670	11121.9415	3589.9638	87	1
3_MACS_peak_9412_lociStitched	chr3	178230982	178240863	3	6330	10629.9798	3124.3722	88	1
1_MACS_peak_1114_lociStitched	chr1	204532733	204535669	1	2937	8916.3384	1446.8608	89	1
1_MACS_peak_6045_lociStitched	chr19	2607228	2611793	1	4566	9115.392	1654.356	90	1
1_MACS_peak_973_lociStitched	chr1	183810277	183815334	1	5058	9260.8841	1807.8775	91	1
4_MACS_peak_7526_lociStitched	chr2	219743900	219762101	4	6892	11772.4068	4324.5576	92	1
5_MACS_peak_14022_lociStitched	chr9	112904770	112924942	5	8636	12357.3672	4913.8992	93	1
4_MACS_peak_5601_lociStitched	chr17	76712633	76726313	4	10995	10556.856	3242.16	94	1
2_MACS_peak_8282_lociStitched	chr21	45572740	45580318	2	5267	9575.5608	2272.6422	95	1
3_MACS_peak_5077_lociStitched	chr17	4268153	4281207	3	8542	9928.8724	2668.2376	96	1
4_MACS_peak_8996_lociStitched	chr3	98479511	98495246	4	7743	10617.978	3375.1575	97	1
1_MACS_peak_13481_lociStitched	chr8	125768993	125770676	1	1684	7728.8409	495.9801	98	1
3_MACS_peak_4187_lociStitched	chr15	40388649	40401967	3	8364	10569.1648	3377.4448	99	1
4_MACS_peak_9730_lociStitched	chr4	40194019	40208049	4	12067	11065.461	3883.504	100	1
5_MACS_peak_2734_lociStitched	chr11	128588298	128605316	5	8259	11798.5794	4618.6852	101	1
4_MACS_peak_6909_lociStitched	chr2	97191308	97205550	4	7898	10116.0926	2936.7004	102	1
1_MACS_peak_7837_lociStitched	chr20	32469940	32472773	1	2834	8146.5748	1003.1653	103	1
4_MACS_peak_6461_lociStitched	chr2	11883725	11895122	4	9635	10073.8083	2937.0069	104	1
3_MACS_peak_10506_lociStitched	chr5	32530751	32543737	3	6542	10044.671	2937.4332	105	1
2_MACS_peak_13890_lociStitched	chr9	93684623	93690485	2	3850	8194.4898	1158.3312	106	1
3_MACS_peak_6257_lociStitched	chr19	39891786	39903862	3	11046	9712.7268	2679.6644	107	1
2_MACS_peak_101_lociStitched	chr1	17221165	17233188	2	7364	12039.8322	5070.0991	108	1
1_MACS_peak_7451_lociStitched	chr2	204569267	204573173	1	3907	8229.1608	1267.497	109	1
2_MACS_peak_8635_lociStitched	chr3	13050356	13059078	2	8252	9581.117	2664.571	110	1
5_MACS_peak_199_lociStitched	chr1	31216023	31231098	5	11689	10716.8175	3801.915	111	1
4_MACS_peak_2949_lociStitched	chr12	26265969	26279997	4	8156	10492.944	3588.3624	112	1
2_MACS_peak_4873_lociStitched	chr16	56944173	56952052	2	4412	8671.6274	1805.0789	113	1
4_MACS_peak_3121_lociStitched	chr12	53853952	53869625	4	8783	10304.9975	3487.2425	114	1
4_MACS_peak_8388_lociStitched	chr22	29207544	29226018	4	7101	10319.5764	3552.5502	115	1
6_MACS_peak_8713_lociStitched	chr3	30683947	30703321	6	8569	10874.6262	4109.2254	116	1
2_MACS_peak_8203_lociStitched	chr21	37906979	37915770	2	3790	9067.9165	2334.8896	117	1
2_MACS_peak_11907_lociStitched	chr6	109216475	109227349	2	5628	9239.6378	2508.6318	118	1
4_MACS_peak_3975_lociStitched	chr14	91829961	91843281	4	8479	8803.188	2073.924	119	1
1_MACS_peak_1028_lociStitched	chr1	192543890	192550548	1	6659	9324.529	2601.9464	120	1
2_MACS_peak_7329_lociStitched	chr2	182168564	182179737	2	7877	9928.3278	3214.4721	121	1
1_MACS_peak_5144_lociStitched	chr17	16890663	16894080	1	3418	7982.112	1272.1491	122	1
1_MACS_peak_10330_lociStitched	chr4	185302769	185307227	1	4459	8417.5956	1709.1972	123	1
2_MACS_peak_10707_lociStitched	chr5	76032284	76038125	2	4953	8180.9046	1502.3052	124	1
2_MACS_peak_11662_lociStitched	chr6	52393193	52403043	2	5153	9193.99	2548.195	125	1
2_MACS_peak_741_lociStitched	chr1	154908279	154917684	2	6168	10518.552	3875.8005	126	1
2_MACS_peak_2636_lociStitched	chr11	115126262	115135945	2	4390	8678.8729	2046.9862	127	1
2_MACS_peak_10925_lociStitched	chr5	123984697	123988160	2	3003	7275.763	702.2964	128	1
4_MACS_peak_2227_lociStitched	chr11	22687793	22702670	4	7396	9564.4233	3012.5925	129	1
3_MACS_peak_12840_lociStitched	chr7	134670590	134682267	3	6233	9987.3381	3463.3982	130	1
4_MACS_peak_6166_lociStitched	chr19	16545519	16561339	4	6413	9397.08	3005.8	131	1
1_MACS_peak_13925_lociStitched	chr9	97622595	97624509	1	1915	6931.7424	543.0018	132	1
1_MACS_peak_1520_lociStitched	chr10	15828588	15831520	1	2933	7297.1616	923.8732	133	1
5_MACS_peak_7794_lociStitched	chr20	25261892	25280965	5	8152	9710.0643	3337.775	134	1
2_MACS_peak_7435_lociStitched	chr2	202116587	202126930	2	7113	8962.2095	2600.2302	135	1
4_MACS_peak_5563_lociStitched	chr17	75079058	75092522	4	8370	9523.0872	3161.3472	136	1
3_MACS_peak_399_lociStitched	chr1	66736494	66750084	3	6167	9521.154	3166.47	137	1
4_MACS_peak_13340_lociStitched	chr8	81046365	81060351	4	7476	9418.1724	3065.7312	138	1
1_MACS_peak_5753_lociStitched	chr18	20820899	20823072	1	2174	6715.2219	392.8784	139	1
1_MACS_peak_1239_lociStitched	chr1	223421276	223423879	1	2604	7416.9882	1098.466	140	1
1_MACS_peak_9184_lociStitched	chr3	130567572	130570450	1	2879	7055.417	751.4458	141	1
3_MACS_peak_9516_lociStitched	chr3	193848290	193857888	3	6646	8858.954	2568.4248	142	1
1_MACS_peak_3756_lociStitched	chr13	114829323	114834602	1	5280	7705.7563	1444.8623	143	1
2_MACS_peak_5569_lociStitched	chr17	75135932	75144363	2	7187	8785.9451	2538.5741	144	1
4_MACS_peak_9173_lociStitched	chr3	129027255	129037324	4	7956	8886.8994	2644.1194	145	1
2_MACS_peak_11899_lociStitched	chr6	108989014	108995444	2	5816	7566.824	1332.939	146	1
1_MACS_peak_976_lociStitched	chr1	183879376	183882446	1	3071	7371.991	1172.433	147	1
2_MACS_peak_4875_lociStitched	chr16	56963914	56974220	2	7802	8915.7206	2716.6616	148	1
2_MACS_peak_1271_lociStitched	chr1	226840527	226852041	2	7517	10460.469	4269.3912	149	1
2_MACS_peak_12260_lociStitched	chr7	20428559	20436139	2	2521	7407.176	1232.508	150	1
2_MACS_peak_8357_lociStitched	chr22	24180530	24191096	2	6782	8954.685	2785.1976	151	1
1_MACS_peak_9196_lociStitched	chr3	133192906	133199972	1	7067	8137.9122	1969.2942	152	1
2_MACS_peak_4427_lociStitched	chr15	75334712	75340504	2	4641	7798.3488	1645.5072	153	1
2_MACS_peak_5277_lociStitched	chr17	37909830	37915164	2	5298	7675.626	1536.192	154	1
3_MACS_peak_9825_lociStitched	chr4	71543298	71554767	3	5705	8554.7271	2439.4563	155	1
2_MACS_peak_9143_lociStitched	chr3	124502505	124511377	2	6170	8175.548	2068.0632	156	1
1_MACS_peak_13901_lociStitched	chr9	93953127	93957096	1	3970	7341.4593	1238.328	157	1
3_MACS_peak_6770_lociStitched	chr2	65159251	65174264	3	6921	10153.2919	4053.51	158	1
2_MACS_peak_8263_lociStitched	chr21	44726270	44733375	2	3576	7986.02	1886.3775	159	1
2_MACS_peak_12013_lociStitched	chr6	135190834	135195837	2	4054	7421.4502	1338.3025	160	1
2_MACS_peak_13130_lociStitched	chr8	29410475	29414495	2	3495	7109.772	1031.934	161	1
3_MACS_peak_2886_lociStitched	chr12	12866626	12880283	3	8295	9436.987	3373.279	162	1
2_MACS_peak_1348_lociStitched	chr1	235146824	235152033	2	3036	7516.0661	1483.5232	163	1
1_MACS_peak_7895_lociStitched	chr20	42378925	42382055	1	3131	6969.571	949.016	164	1
1_MACS_peak_11637_lociStitched	chr6	45676900	45679644	1	2745	6750.24	747.74	165	1
4_MACS_peak_11468_lociStitched	chr6	26187835	26206711	4	9952	9908.0124	3941.3088	166	1
1_MACS_peak_12824_lociStitched	chr7	130807965	130810157	1	2193	6878.2768	964.0416	167	1
1_MACS_peak_11824_lociStitched	chr6	90993751	90997096	1	3346	6975.9975	1070.7345	168	1
4_MACS_peak_3467_lociStitched	chr12	123371463	123386878	4	6491	8142.203	2255.2145	169	1
3_MACS_peak_4192_lociStitched	chr15	40834907	40843785	3	5506	7977.7708	2131.6078	170	1
1_MACS_peak_9514_lociStitched	chr3	193800826	193803735	1	2910	7225.956	1380.3205	171	1
1_MACS_peak_605_lociStitched	chr1	143461935	143468729	1	6795	8926.6366	3088.5524	172	1
3_MACS_peak_6046_lociStitched	chr19	2618177	2632167	3	7830	10016.84	4188.606	173	1
3_MACS_peak_11810_lociStitched	chr6	90059539	90068848	3	8553	8271.0465	2477.1249	174	1
1_MACS_peak_7166_lociStitched	chr2	146168607	146170638	1	2032	6278.0241	487.2369	175	1
1_MACS_peak_12838_lociStitched	chr7	133928801	133932009	1	3209	6790.3736	1004.7456	176	1
2_MACS_peak_3373_lociStitched	chr12	102871835	102878937	2	6586	7332.815	1551.787	177	1
2_MACS_peak_1026_lociStitched	chr1	192507027	192515022	2	4868	8230.053	2454.465	178	1
1_MACS_peak_14356_lociStitched	chrX	48793930	48798441	1	4512	6555.8363	781.7563	179	1
1_MACS_peak_7903_lociStitched	chr20	42696840	42699694	1	2855	6731.159	993.4774	180	1
2_MACS_peak_11798_lociStitched	chr6	88627851	88636489	2	3348	7632.5368	1910.7256	181	1
1_MACS_peak_4907_lociStitched	chr16	66555591	66559704	1	4114	7073.1261	1364.2821	182	1
3_MACS_peak_14374_lociStitched	chrX	58150324	58159484	3	5933	6501.768	817.072	183	1
2_MACS_peak_6278_lociStitched	chr19	42039052	42047398	2	4685	7543.9494	1859.4888	184	1
1_MACS_peak_10768_lociStitched	chr5	88565983	88568771	1	2789	6653.562	971.618	185	1
1_MACS_peak_6585_lociStitched	chr2	37601707	37606152	1	4446	6985.3175	1312.164	186	1
1_MACS_peak_9357_lociStitched	chr3	169974250	169977457	1	3208	7000.881	1334.4327	187	1
3_MACS_peak_12402_lociStitched	chr7	44668921	44679480	3	5348	8394.405	2728.4456	188	1
3_MACS_peak_12463_lociStitched	chr7	55570419	55585535	3	5929	8650.8868	2988.4332	189	1
2_MACS_peak_1154_lociStitched	chr1	209275957	209282511	2	4433	8020.7852	2365.994	190	1
3_MACS_peak_12607_lociStitched	chr7	92438249	92445303	3	5461	7345.3302	1704.9518	191	1
2_MACS_peak_5733_lociStitched	chr18	13610376	13614480	2	4076	6600.0528	967.7232	192	1
2_MACS_peak_627_lociStitched	chr1	145152719	145160925	2	5396	9278.5242	3649.2082	193	1
3_MACS_peak_1957_lociStitched	chr10	104531543	104542624	3	6005	8177.778	2570.792	194	1
3_MACS_peak_13562_lociStitched	chr8	137189601	137200688	3	4965	7898.3788	2297.2264	195	1
3_MACS_peak_2222_lociStitched	chr11	21432305	21437822	3	4640	6785.3583	1244.0835	196	1
3_MACS_peak_6753_lociStitched	chr2	64430741	64442835	3	6203	8203.3602	2666.727	197	1
2_MACS_peak_629_lociStitched	chr1	145187821	145197473	2	7364	11328.5524	5797.9564	198	1
3_MACS_peak_5891_lociStitched	chr18	52930920	52936726	3	5225	6863.2726	1335.38	199	1
1_MACS_peak_667_lociStitched	chr1	149221966	149225744	1	3779	8340.6906	2816.8768	200	1
1_MACS_peak_1226_lociStitched	chr1	221949522	221952521	1	3000	6789.1362	1276.0745	201	1
1_MACS_peak_1992_lociStitched	chr10	112217360	112222111	1	4752	7025.7788	1512.7184	202	1
2_MACS_peak_8813_lociStitched	chr3	46579150	46588064	2	3641	7410.2082	1919.1842	203	1
2_MACS_peak_8046_lociStitched	chr20	60912110	60915827	2	3667	6725.9115	1235.9025	204	1
2_MACS_peak_14119_lociStitched	chr9	128394192	128398971	2	3074	6684.8652	1201.9185	205	1
4_MACS_peak_9716_lociStitched	chr4	38307638	38322116	4	7238	8995.1814	3526.8408	206	1
1_MACS_peak_1858_lociStitched	chr10	90144531	90147379	1	2849	6262.4672	817.6608	207	1
3_MACS_peak_162_lociStitched	chr1	27018376	27030179	3	5784	7877.3222	2442.0407	208	1
1_MACS_peak_13150_lociStitched	chr8	33410904	33413641	1	2738	6402.6641	974.372	209	1
1_MACS_peak_13509_lociStitched	chr8	126953526	126955446	1	1921	5918.016	491.712	210	1
1_MACS_peak_11808_lociStitched	chr6	90006922	90009520	1	2599	6190.5144	780.9588	211	1
2_MACS_peak_12682_lociStitched	chr7	104596689	104604955	2	4305	7342.6878	1943.3366	212	1
2_MACS_peak_6164_lociStitched	chr19	16476768	16483719	2	4613	6783.4809	1385.3343	213	1
2_MACS_peak_636_lociStitched	chr1	145449784	145456727	2	5189	8118.4499	2735.542	214	1
2_MACS_peak_4041_lociStitched	chr14	106161959	106168346	2	3691	6492.3855	1115.1702	215	1
1_MACS_peak_13547_lociStitched	chr8	134245967	134248360	1	2394	6437.6486	1062.492	216	1
2_MACS_peak_570_lociStitched	chr1	118166009	118177783	2	6945	7246.897	1873.2434	217	1
1_MACS_peak_7460_lociStitched	chr2	204891123	204893011	1	1889	5942.2912	574.3296	218	1
2_MACS_peak_1098_lociStitched	chr1	203267640	203278416	2	8007	9535.6824	4168.1568	219	1
2_MACS_peak_3401_lociStitched	chr12	108955896	108963404	2	6213	7752.7608	2393.5504	220	1
2_MACS_peak_11986_lociStitched	chr6	130834226	130839537	2	3558	6763.5585	1408.4772	221	1
2_MACS_peak_2655_lociStitched	chr11	117878260	117883358	2	4179	6475.4796	1123.5992	222	1
4_MACS_peak_4417_lociStitched	chr15	74832466	74845929	4	6692	8061.6444	2714.1408	223	1
2_MACS_peak_8083_lociStitched	chr21	19152285	19157819	2	3719	6696.14	1358.0436	224	1
1_MACS_peak_8068_lociStitched	chr21	9962954	9969436	1	6483	8219.176	2896.8058	225	1
2_MACS_peak_12455_lociStitched	chr7	52775519	52780608	2	3671	6155.6544	845.2829	226	1
1_MACS_peak_1013_lociStitched	chr1	187153858	187155633	1	1776	6129.2525	823.245	227	1
2_MACS_peak_1029_lociStitched	chr1	192573523	192579699	2	3552	7062.256	1784.864	228	1
2_MACS_peak_1434_lociStitched	chr10	3846775	3854368	2	4618	6991.6344	1720.5738	229	1
2_MACS_peak_2965_lociStitched	chr12	27331108	27339671	2	4321	7483.2057	2213.5355	230	1
2_MACS_peak_10325_lociStitched	chr4	185201627	185210653	2	7347	7966.3476	2708.7026	231	1
2_MACS_peak_1131_lociStitched	chr1	206728390	206737435	2	7895	8675.964	3425.3415	232	1
2_MACS_peak_2041_lociStitched	chr10	125156947	125163092	2	3061	6679.615	1429.327	233	1
1_MACS_peak_12856_lociStitched	chr7	137435264	137437210	1	1947	5915.4508	672.343	234	1
2_MACS_peak_673_lociStitched	chr1	149802725	149815484	2	7532	8927.4723	3689.9028	235	1
1_MACS_peak_8494_lociStitched	chr22	39841895	39844942	1	3048	6262.8038	1030.4954	236	1
2_MACS_peak_675_lociStitched	chr1	149821514	149834232	2	7824	9126.4368	3912.0568	237	1
2_MACS_peak_2614_lociStitched	chr11	111241196	111250882	2	6649	7673.2492	2461.2126	238	1
2_MACS_peak_13104_lociStitched	chr8	26428466	26435996	2	5379	7063.14	1853.133	239	1
1_MACS_peak_9289_lociStitched	chr3	156534156	156536531	1	2376	5915.8875	706.8	240	1
1_MACS_peak_6564_lociStitched	chr2	33700264	33705057	1	4794	6680.4834	1481.037	241	1
2_MACS_peak_10626_lociStitched	chr5	58853103	58860206	2	3242	6445.2622	1249.4177	242	1
1_MACS_peak_8180_lociStitched	chr21	36237010	36239159	1	2150	5982.1713	787.1787	243	1
2_MACS_peak_6491_lociStitched	chr2	20405921	20414646	2	6763	7571.555	2380.18	244	1
3_MACS_peak_14161_lociStitched	chr9	132769076	132779720	3	4496	6820.6752	1629.5964	245	1
4_MACS_peak_6986_lociStitched	chr2	109823563	109842305	4	6705	8825.6078	3639.6964	246	1
1_MACS_peak_13140_lociStitched	chr8	29630159	29633634	1	3476	6313.7275	1149.1825	247	1
2_MACS_peak_13485_lociStitched	chr8	126163251	126167532	2	2826	6024.6513	866.0463	248	1
3_MACS_peak_4081_lociStitched	chr15	23660819	23669233	3	4782	6951.6468	1793.8648	249	1
1_MACS_peak_9987_lociStitched	chr4	100766636	100770077	1	3442	6004.8891	850.2711	250	1
2_MACS_peak_736_lociStitched	chr1	154756927	154765064	2	4401	7958.7997	2818.6568	251	1
3_MACS_peak_824_lociStitched	chr1	161145190	161156730	3	7219	9031.204	3897.058	252	1
2_MACS_peak_3364_lociStitched	chr12	102130768	102138769	2	3284	6563.2203	1436.1795	253	1
1_MACS_peak_12685_lociStitched	chr7	104651861	104655924	1	4064	6335.0296	1220.5252	254	1
2_MACS_peak_13644_lociStitched	chr9	9606314	9613142	2	2741	6306.3408	1209.2388	255	1
3_MACS_peak_2366_lociStitched	chr11	60672817	60683708	3	6621	7672.7095	2581.167	256	1
2_MACS_peak_8610_lociStitched	chr3	8699321	8707990	2	3217	6818.1685	1772.8105	257	1
4_MACS_peak_8274_lociStitched	chr21	45194749	45210156	4	7722	9458.3573	4434.1346	258	1
3_MACS_peak_11870_lociStitched	chr6	106545139	106555687	3	5555	7643.0808	2634.8904	259	1
2_MACS_peak_8477_lociStitched	chr22	39377444	39382059	2	3542	6151.3335	1154.2115	260	1
2_MACS_peak_14059_lociStitched	chr9	117210677	117215833	2	3648	6535.7456	1554.534	261	1
