#34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_ROSE/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam
#Using cutoff of 3322.6445 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
1_MACS_peak_9515_lociStitched	chr3	193818015	193822781	1	4767	12444.026	2229.0582	67	1
3_MACS_peak_5077_lociStitched	chr17	4268153	4281207	3	8542	9928.8724	2668.2376	68	1
4_MACS_peak_3121_lociStitched	chr12	53853952	53869625	4	8783	10304.9975	3487.2425	69	1
3_MACS_peak_4187_lociStitched	chr15	40388649	40401967	3	8364	10569.1648	3377.4448	70	1
3_MACS_peak_6236_lociStitched	chr19	35695637	35706015	3	7094	10654.0548	2265.5174	71	1
6_MACS_peak_12123_lociStitched	chr6	157977807	157999379	6	7909	10002.9364	2411.7496	72	1
5_MACS_peak_2734_lociStitched	chr11	128588298	128605316	5	8259	11798.5794	4618.6852	73	1
2_MACS_peak_686_lociStitched	chr1	150532149	150541295	2	7681	11682.1858	3937.353	74	1
6_MACS_peak_8713_lociStitched	chr3	30683947	30703321	6	8569	10874.6262	4109.2254	75	1
4_MACS_peak_9924_lociStitched	chr4	84133025	84143976	4	6722	11315.6683	2766.2226	76	1
4_MACS_peak_3975_lociStitched	chr14	91829961	91843281	4	8479	8803.188	2073.924	77	1
1_MACS_peak_1476_lociStitched	chr10	11217100	11223200	1	6101	10964.14	2086.81	78	1
2_MACS_peak_8635_lociStitched	chr3	13050356	13059078	2	8252	9581.117	2664.571	79	1
1_MACS_peak_2804_lociStitched	chr12	4224863	4229261	1	4399	11331.8868	1594.7148	80	1
4_MACS_peak_2949_lociStitched	chr12	26265969	26279997	4	8156	10492.944	3588.3624	81	1
4_MACS_peak_6909_lociStitched	chr2	97191308	97205550	4	7898	10116.0926	2936.7004	82	1
1_MACS_peak_1118_lociStitched	chr1	205252297	205258426	1	6130	11059.7805	2371.3101	83	1
4_MACS_peak_8996_lociStitched	chr3	98479511	98495246	4	7743	10617.978	3375.1575	84	1
4_MACS_peak_5563_lociStitched	chr17	75079058	75092522	4	8370	9523.0872	3161.3472	85	1
1_MACS_peak_7877_lociStitched	chr20	37498943	37505346	1	6404	10020.0547	1737.7742	86	1
2_MACS_peak_7329_lociStitched	chr2	182168564	182179737	2	7877	9928.3278	3214.4721	87	1
5_MACS_peak_7794_lociStitched	chr20	25261892	25280965	5	8152	9710.0643	3337.775	88	1
3_MACS_peak_11810_lociStitched	chr6	90059539	90068848	3	8553	8271.0465	2477.1249	89	1
3_MACS_peak_11889_lociStitched	chr6	108879321	108889957	3	9153	7088.894	2354.8104	90	1
3_MACS_peak_2886_lociStitched	chr12	12866626	12880283	3	8295	9436.987	3373.279	91	1
1_MACS_peak_10375_lociStitched	chr4	187749392	187752661	1	3270	10976.3213	1295.1778	92	0
2_MACS_peak_2634_lociStitched	chr11	115091597	115101548	2	5397	11071.4826	2399.1861	93	1
4_MACS_peak_7526_lociStitched	chr2	219743900	219762101	4	6892	11772.4068	4324.5576	94	1
2_MACS_peak_101_lociStitched	chr1	17221165	17233188	2	7364	12039.8322	5070.0991	95	1
4_MACS_peak_9173_lociStitched	chr3	129027255	129037324	4	7956	8886.8994	2644.1194	96	1
4_MACS_peak_11892_lociStitched	chr6	108902183	108920354	4	6075	11584.0125	3543.345	97	1
3_MACS_peak_7385_lociStitched	chr2	197033480	197044148	3	6517	10261.5492	2629.662	98	1
1_MACS_peak_1097_lociStitched	chr1	203255492	203260850	1	5359	10805.4786	2339.3028	99	1
1_MACS_peak_10181_lociStitched	chr4	144275772	144281547	1	5776	9744.735	1588.125	100	1
2_MACS_peak_3749_lociStitched	chr13	114557123	114566621	2	8849	7337.205	2651.8416	101	1
2_MACS_peak_4875_lociStitched	chr16	56963914	56974220	2	7802	8915.7206	2716.6616	102	1
1_MACS_peak_4757_lociStitched	chr16	23344906	23350232	1	5327	10102.3568	1716.0372	103	1
4_MACS_peak_2227_lociStitched	chr11	22687793	22702670	4	7396	9564.4233	3012.5925	104	1
2_MACS_peak_13441_lociStitched	chr8	118450629	118456346	2	4268	10242.5772	1388.0876	105	1
3_MACS_peak_8375_lociStitched	chr22	27005526	27014464	3	4905	10349.3102	1839.4404	106	1
2_MACS_peak_5468_lociStitched	chr17	62150458	62160602	2	6310	10196.7488	2662.8	107	1
3_MACS_peak_9412_lociStitched	chr3	178230982	178240863	3	6330	10629.9798	3124.3722	108	1
2_MACS_peak_12303_lociStitched	chr7	26002658	26009339	2	5620	10003.4613	1968.2226	109	1
4_MACS_peak_8388_lociStitched	chr22	29207544	29226018	4	7101	10319.5764	3552.5502	110	1
4_MACS_peak_13340_lociStitched	chr8	81046365	81060351	4	7476	9418.1724	3065.7312	111	1
2_MACS_peak_12255_lociStitched	chr7	20256315	20261480	2	4850	9812.9835	1366.1425	112	1
3_MACS_peak_6046_lociStitched	chr19	2618177	2632167	3	7830	10016.84	4188.606	113	1
2_MACS_peak_1271_lociStitched	chr1	226840527	226852041	2	7517	10460.469	4269.3912	114	1
3_MACS_peak_10506_lociStitched	chr5	32530751	32543737	3	6542	10044.671	2937.4332	115	1
2_MACS_peak_1098_lociStitched	chr1	203267640	203278416	2	8007	9535.6824	4168.1568	116	1
2_MACS_peak_7435_lociStitched	chr2	202116587	202126930	2	7113	8962.2095	2600.2302	117	1
2_MACS_peak_5569_lociStitched	chr17	75135932	75144363	2	7187	8785.9451	2538.5741	118	1
2_MACS_peak_1131_lociStitched	chr1	206728390	206737435	2	7895	8675.964	3425.3415	119	1
1_MACS_peak_1028_lociStitched	chr1	192543890	192550548	1	6659	9324.529	2601.9464	120	1
2_MACS_peak_675_lociStitched	chr1	149821514	149834232	2	7824	9126.4368	3912.0568	121	1
1_MACS_peak_9196_lociStitched	chr3	133192906	133199972	1	7067	8137.9122	1969.2942	122	1
3_MACS_peak_12849_lociStitched	chr7	136037652	136047000	3	5042	10683.8292	2886.6624	123	1
2_MACS_peak_4037_lociStitched	chr14	106040391	106049664	2	4371	10049.1501	1930.6386	124	1
1_MACS_peak_6044_lociStitched	chr19	2595094	2600191	1	5098	9789.8079	2114.2356	125	1
3_MACS_peak_6770_lociStitched	chr2	65159251	65174264	3	6921	10153.2919	4053.51	126	1
2_MACS_peak_629_lociStitched	chr1	145187821	145197473	2	7364	11328.5524	5797.9564	127	1
4_MACS_peak_8274_lociStitched	chr21	45194749	45210156	4	7722	9458.3573	4434.1346	128	1
2_MACS_peak_8357_lociStitched	chr22	24180530	24191096	2	6782	8954.685	2785.1976	129	1
2_MACS_peak_673_lociStitched	chr1	149802725	149815484	2	7532	8927.4723	3689.9028	130	1
3_MACS_peak_9516_lociStitched	chr3	193848290	193857888	3	6646	8858.954	2568.4248	131	1
1_MACS_peak_9321_lociStitched	chr3	161486920	161490451	1	3532	9788.9913	1390.1547	132	1
2_MACS_peak_741_lociStitched	chr1	154908279	154917684	2	6168	10518.552	3875.8005	133	1
4_MACS_peak_9716_lociStitched	chr4	38307638	38322116	4	7238	8995.1814	3526.8408	134	1
4_MACS_peak_6166_lociStitched	chr19	16545519	16561339	4	6413	9397.08	3005.8	135	1
2_MACS_peak_1295_lociStitched	chr1	228744116	228753304	2	9028	4983.5712	3921.4384	136	0
2_MACS_peak_11980_lociStitched	chr6	130004386	130009510	2	4751	9220.638	1566.9192	137	1
3_MACS_peak_12840_lociStitched	chr7	134670590	134682267	3	6233	9987.3381	3463.3982	138	1
1_MACS_peak_973_lociStitched	chr1	183810277	183815334	1	5058	9260.8841	1807.8775	139	1
2_MACS_peak_10325_lociStitched	chr4	185201627	185210653	2	7347	7966.3476	2708.7026	140	1
2_MACS_peak_8282_lociStitched	chr21	45572740	45580318	2	5267	9575.5608	2272.6422	141	1
4_MACS_peak_9540_lociStitched	chr3	196358259	196370910	4	7937	7909.4052	3686.5014	142	1
1_MACS_peak_9384_lociStitched	chr3	174866748	174869711	1	2964	9817.3079	1392.3137	143	0
1_MACS_peak_605_lociStitched	chr1	143461935	143468729	1	6795	8926.6366	3088.5524	144	1
4_MACS_peak_5607_lociStitched	chr17	76763592	76776877	4	7662	7369.1895	2738.0385	145	1
3_MACS_peak_9398_lociStitched	chr3	176912744	176920813	3	7786	7001.4713	2591.7628	146	1
1_MACS_peak_1308_lociStitched	chr1	230257876	230261273	1	3398	9581.5782	1377.1438	147	0
3_MACS_peak_399_lociStitched	chr1	66736494	66750084	3	6167	9521.154	3166.47	148	1
3_MACS_peak_824_lociStitched	chr1	161145190	161156730	3	7219	9031.204	3897.058	149	1
1_MACS_peak_6789_lociStitched	chr2	67690460	67693529	1	3070	9021.0186	782.9019	150	0
2_MACS_peak_11907_lociStitched	chr6	109216475	109227349	2	5628	9239.6378	2508.6318	151	1
3_MACS_peak_4422_lociStitched	chr15	75069239	75082949	3	7697	7891.476	3629.037	152	1
2_MACS_peak_570_lociStitched	chr1	118166009	118177783	2	6945	7246.897	1873.2434	153	1
1_MACS_peak_6045_lociStitched	chr19	2607228	2611793	1	4566	9115.392	1654.356	154	1
4_MACS_peak_3467_lociStitched	chr12	123371463	123386878	4	6491	8142.203	2255.2145	155	1
2_MACS_peak_3373_lociStitched	chr12	102871835	102878937	2	6586	7332.815	1551.787	156	1
2_MACS_peak_9143_lociStitched	chr3	124502505	124511377	2	6170	8175.548	2068.0632	157	1
2_MACS_peak_4694_lociStitched	chr16	12056691	12064871	2	7122	7371.816	2411.464	158	1
4_MACS_peak_13498_lociStitched	chr8	126441477	126449908	4	7209	6513.7906	1799.1754	159	1
3_MACS_peak_2467_lociStitched	chr11	71414473	71426506	3	6996	8039.2473	3064.8051	160	1
4_MACS_peak_4417_lociStitched	chr15	74832466	74845929	4	6692	8061.6444	2714.1408	161	1
1_MACS_peak_1718_lociStitched	chr10	63804655	63811593	1	6939	6770.1004	1790.004	162	1
2_MACS_peak_11899_lociStitched	chr6	108989014	108995444	2	5816	7566.824	1332.939	163	1
2_MACS_peak_6491_lociStitched	chr2	20405921	20414646	2	6763	7571.555	2380.18	164	1
4_MACS_peak_6986_lociStitched	chr2	109823563	109842305	4	6705	8825.6078	3639.6964	165	1
2_MACS_peak_2614_lociStitched	chr11	111241196	111250882	2	6649	7673.2492	2461.2126	166	1
3_MACS_peak_743_lociStitched	chr1	154923541	154935396	3	7776	7052.5395	3746.18	167	0
2_MACS_peak_11662_lociStitched	chr6	52393193	52403043	2	5153	9193.99	2548.195	168	1
1_MACS_peak_8068_lociStitched	chr21	9962954	9969436	1	6483	8219.176	2896.8058	169	1
3_MACS_peak_9825_lociStitched	chr4	71543298	71554767	3	5705	8554.7271	2439.4563	170	1
3_MACS_peak_2366_lociStitched	chr11	60672817	60683708	3	6621	7672.7095	2581.167	171	1
2_MACS_peak_10707_lociStitched	chr5	76032284	76038125	2	4953	8180.9046	1502.3052	172	1
3_MACS_peak_6753_lociStitched	chr2	64430741	64442835	3	6203	8203.3602	2666.727	173	1
3_MACS_peak_10762_lociStitched	chr5	88176982	88185879	3	7585	5511.6915	2164.6401	174	1
3_MACS_peak_14374_lociStitched	chrX	58150324	58159484	3	5933	6501.768	817.072	175	1
3_MACS_peak_1957_lociStitched	chr10	104531543	104542624	3	6005	8177.778	2570.792	176	1
2_MACS_peak_3401_lociStitched	chr12	108955896	108963404	2	6213	7752.7608	2393.5504	177	1
3_MACS_peak_12463_lociStitched	chr7	55570419	55585535	3	5929	8650.8868	2988.4332	178	1
1_MACS_peak_3756_lociStitched	chr13	114829323	114834602	1	5280	7705.7563	1444.8623	179	1
3_MACS_peak_6625_lociStitched	chr2	42344762	42357690	3	6556	7818.8544	2893.2864	180	1
2_MACS_peak_4873_lociStitched	chr16	56944173	56952052	2	4412	8671.6274	1805.0789	181	1
2_MACS_peak_14158_lociStitched	chr9	132646600	132657589	2	6523	7242.8499	2302.1955	182	1
4_MACS_peak_8468_lociStitched	chr22	38782600	38793772	4	6934	6571.3704	2224.3452	183	1
2_MACS_peak_2048_lociStitched	chr10	125823033	125832524	2	7254	5780.9681	2092.7655	184	1
2_MACS_peak_5277_lociStitched	chr17	37909830	37915164	2	5298	7675.626	1536.192	185	1
1_MACS_peak_10330_lociStitched	chr4	185302769	185307227	1	4459	8417.5956	1709.1972	186	1
1_MACS_peak_1114_lociStitched	chr1	204532733	204535669	1	2937	8916.3384	1446.8608	187	0
2_MACS_peak_3274_lociStitched	chr12	89738476	89749093	2	6711	7193.0175	2716.8903	188	1
2_MACS_peak_13890_lociStitched	chr9	93684623	93690485	2	3850	8194.4898	1158.3312	189	1
3_MACS_peak_4192_lociStitched	chr15	40834907	40843785	3	5506	7977.7708	2131.6078	190	1
1_MACS_peak_7451_lociStitched	chr2	204569267	204573173	1	3907	8229.1608	1267.497	191	1
2_MACS_peak_2636_lociStitched	chr11	115126262	115135945	2	4390	8678.8729	2046.9862	192	1
3_MACS_peak_1993_lociStitched	chr10	112256916	112264717	3	6948	6123.0049	2217.0442	193	1
4_MACS_peak_3477_lociStitched	chr12	125398591	125406473	4	6604	5652.1822	1217.769	194	1
3_MACS_peak_162_lociStitched	chr1	27018376	27030179	3	5784	7877.3222	2442.0407	195	1
4_MACS_peak_5472_lociStitched	chr17	62197678	62209957	4	6720	7174.6197	2960.4669	196	1
3_MACS_peak_11495_lociStitched	chr6	27791308	27807459	3	6622	7539.2868	3275.4228	197	1
3_MACS_peak_12607_lociStitched	chr7	92438249	92445303	3	5461	7345.3302	1704.9518	198	1
2_MACS_peak_627_lociStitched	chr1	145152719	145160925	2	5396	9278.5242	3649.2082	199	1
3_MACS_peak_12402_lociStitched	chr7	44668921	44679480	3	5348	8394.405	2728.4456	200	1
1_MACS_peak_9481_lociStitched	chr3	186713321	186719497	1	6177	7397.6128	2640.24	201	1
3_MACS_peak_6633_lociStitched	chr2	43444445	43457163	3	6172	7788.5032	3033.243	202	1
2_MACS_peak_8798_lociStitched	chr3	46246089	46256006	2	6444	7073.7961	2715.2746	203	1
2_MACS_peak_8203_lociStitched	chr21	37906979	37915770	2	3790	9067.9165	2334.8896	204	1
2_MACS_peak_9552_lociStitched	chr3	197456547	197464904	2	6283	7070.022	2532.171	205	1
2_MACS_peak_4427_lociStitched	chr15	75334712	75340504	2	4641	7798.3488	1645.5072	206	1
1_MACS_peak_7837_lociStitched	chr20	32469940	32472773	1	2834	8146.5748	1003.1653	207	0
3_MACS_peak_10958_lociStitched	chr5	130709574	130718540	3	6264	6562.2154	2047.8344	208	1
4_MACS_peak_13903_lociStitched	chr9	94181094	94192510	4	6365	6759.4136	2447.5904	209	1
3_MACS_peak_602_lociStitched	chr1	143442290	143451384	3	6686	6264.8566	2563.5986	210	1
3_MACS_peak_5891_lociStitched	chr18	52930920	52936726	3	5225	6863.2726	1335.38	211	1
1_MACS_peak_12823_lociStitched	chr7	130790808	130796680	1	5873	6716.9808	1943.0448	212	1
2_MACS_peak_1026_lociStitched	chr1	192507027	192515022	2	4868	8230.053	2454.465	213	1
1_MACS_peak_5144_lociStitched	chr17	16890663	16894080	1	3418	7982.112	1272.1491	214	0
2_MACS_peak_12743_lociStitched	chr7	114561905	114573460	2	6420	7191.832	3237.711	215	1
5_MACS_peak_4954_lociStitched	chr16	70827396	70850354	5	6632	7626.6476	4036.0164	216	1
3_MACS_peak_13562_lociStitched	chr8	137189601	137200688	3	4965	7898.3788	2297.2264	217	1
2_MACS_peak_13104_lociStitched	chr8	26428466	26435996	2	5379	7063.14	1853.133	218	1
2_MACS_peak_636_lociStitched	chr1	145449784	145456727	2	5189	8118.4499	2735.542	219	1
3_MACS_peak_11870_lociStitched	chr6	106545139	106555687	3	5555	7643.0808	2634.8904	220	1
1_MACS_peak_13481_lociStitched	chr8	125768993	125770676	1	1684	7728.8409	495.9801	221	0
1_MACS_peak_4534_lociStitched	chr15	90638123	90643859	1	5737	6579.7656	1829.784	222	1
2_MACS_peak_12668_lociStitched	chr7	102064141	102074156	2	6050	6931.3815	2658.9825	223	1
4_MACS_peak_8599_lociStitched	chr3	5233188	5241655	4	5896	6443.387	1966.0374	224	1
3_MACS_peak_4923_lociStitched	chr16	68285077	68299147	3	5890	7461.321	2977.212	225	1
4_MACS_peak_3237_lociStitched	chr12	77454052	77465011	4	5664	6897.5946	2162.2107	226	1
2_MACS_peak_6278_lociStitched	chr19	42039052	42047398	2	4685	7543.9494	1859.4888	227	1
1_MACS_peak_14356_lociStitched	chrX	48793930	48798441	1	4512	6555.8363	781.7563	228	1
1_MACS_peak_9482_lociStitched	chr3	186779983	186785612	1	5630	6933.2393	2232.4614	229	1
2_MACS_peak_12013_lociStitched	chr6	135190834	135195837	2	4054	7421.4502	1338.3025	230	1
1_MACS_peak_13901_lociStitched	chr9	93953127	93957096	1	3970	7341.4593	1238.328	231	1
1_MACS_peak_10787_lociStitched	chr5	90675135	90681206	1	6072	5741.3447	1691.9877	232	1
1_MACS_peak_1992_lociStitched	chr10	112217360	112222111	1	4752	7025.7788	1512.7184	233	1
2_MACS_peak_2338_lociStitched	chr11	58340767	58346523	2	5516	6428.3008	1685.9324	234	1
3_MACS_peak_1056_lociStitched	chr1	197740163	197748533	3	6260	6578.82	2889.324	235	1
2_MACS_peak_10925_lociStitched	chr5	123984697	123988160	2	3003	7275.763	702.2964	236	0
3_MACS_peak_2222_lociStitched	chr11	21432305	21437822	3	4640	6785.3583	1244.0835	237	1
1_MACS_peak_6585_lociStitched	chr2	37601707	37606152	1	4446	6985.3175	1312.164	238	1
2_MACS_peak_1154_lociStitched	chr1	209275957	209282511	2	4433	8020.7852	2365.994	239	1
3_MACS_peak_612_lociStitched	chr1	143991938	144001519	3	5630	6845.6245	2363.6327	240	1
4_MACS_peak_6114_lociStitched	chr19	11199675	11207589	4	6437	5163.0936	1961.8806	241	0
3_MACS_peak_11364_lociStitched	chr6	11722202	11733235	3	5815	6516.0898	2359.9587	242	1
3_MACS_peak_8350_lociStitched	chr22	23478349	23488130	3	6147	5898.9211	2262.3453	243	1
4_MACS_peak_11231_lociStitched	chr5	175077458	175085348	4	6048	5537.991	1773.672	244	1
2_MACS_peak_6164_lociStitched	chr19	16476768	16483719	2	4613	6783.4809	1385.3343	245	1
2_MACS_peak_8263_lociStitched	chr21	44726270	44733375	2	3576	7986.02	1886.3775	246	1
4_MACS_peak_4358_lociStitched	chr15	67366056	67384433	4	5086	8124.4717	3193.9226	247	1
2_MACS_peak_3143_lociStitched	chr12	57076717	57083258	2	6428	4667.0035	1648.332	248	0
1_MACS_peak_6564_lociStitched	chr2	33700264	33705057	1	4794	6680.4834	1481.037	249	1
4_MACS_peak_4335_lociStitched	chr15	63765864	63779911	4	5957	6989.7872	3159.1703	250	1
1_MACS_peak_727_lociStitched	chr1	154375261	154381611	1	6351	5742.94	2597.785	251	0
3_MACS_peak_279_lociStitched	chr1	40846780	40858198	3	5085	7701.441	2813.3952	252	1
1_MACS_peak_4907_lociStitched	chr16	66555591	66559704	1	4114	7073.1261	1364.2821	253	1
1_MACS_peak_1520_lociStitched	chr10	15828588	15831520	1	2933	7297.1616	923.8732	254	0
3_MACS_peak_4081_lociStitched	chr15	23660819	23669233	3	4782	6951.6468	1793.8648	255	1
2_MACS_peak_13130_lociStitched	chr8	29410475	29414495	2	3495	7109.772	1031.934	256	0
2_MACS_peak_8250_lociStitched	chr21	43647506	43655675	2	5171	7477.0857	2735.7981	257	1
2_MACS_peak_1434_lociStitched	chr10	3846775	3854368	2	4618	6991.6344	1720.5738	258	1
3_MACS_peak_9734_lociStitched	chr4	40302983	40310900	3	5052	6899.6655	2079.7959	259	1
2_MACS_peak_5733_lociStitched	chr18	13610376	13614480	2	4076	6600.0528	967.7232	260	1
4_MACS_peak_1817_lociStitched	chr10	81003329	81015644	4	6239	5694.456	2575.0665	261	0
