REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_1480_lociStitched	chr10	11286613	11304446	4	9195	14269.9666	3614.7491	26	CELF2		CELF2	CELF2	0.1712	26	1
4_MACS_peak_10599_lociStitched	chr5	55437942	55453380	4	6957	13991.4594	3601.6854	27	ANKRD55		ANKRD55	ANKRD55	0.07719999999999999	27	1
3_MACS_peak_2416_lociStitched	chr11	65263925	65278868	3	11869	14076.306	3690.921	28	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	0.5595000000000001	28	1
2_MACS_peak_2410_lociStitched	chr11	65183615	65199695	2	14041	15446.448	5126.304	29	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	0.6755	29	1
1_MACS_peak_9515_lociStitched	chr3	193818015	193822781	1	4767	12444.026	2229.0582	30		HES1	HES1	HES1	0.5004	30	1
6_MACS_peak_13488_lociStitched	chr8	126285248	126308119	6	10195	15193.2053	5120.8169	31	NSMCE2		TRIB1	TRIB1	0.2734	31	1
2_MACS_peak_5936_lociStitched	chr18	60822135	60830863	2	8100	12561.3376	2497.9536	32	BCL2		BCL2	BCL2	0.0925	32	1
4_MACS_peak_8188_lociStitched	chr21	36589479	36608380	4	7526	15194.5139	5176.9839	33			RUNX1	RUNX1	0.05160000000000001	33	1
3_MACS_peak_5293_lociStitched	chr17	38470651	38483399	3	8259	12890.7776	3102.8632	34	RARA	CDC6,RARA,GJD3	RARA	RARA	0.15990000000000001	34	1
1_MACS_peak_2804_lociStitched	chr12	4224863	4229261	1	4399	11331.8868	1594.7148	35			CCND2	CCND2	0.1487	35	1
1_MACS_peak_10375_lociStitched	chr4	187749392	187752661	1	3270	10976.3213	1295.1778	36			FAT1	FAT1	NONE	36	1
2_MACS_peak_9403_lociStitched	chr3	177069170	177078997	2	6006	12911.6953	3333.3184	37			TBL1XR1	TBL1XR1	0.08200000000000002	37	1
5_MACS_peak_12929_lociStitched	chr7	150063791	150084406	5	13782	15518.972	6108.2245	38	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	0.26330000000000003	38	1
2_MACS_peak_1126_lociStitched	chr1	206287058	206294608	2	6863	12526.205	3124.19	39	C1orf186	CTSE	C1orf186	C1orf186	0.1896	39	1
4_MACS_peak_573_lociStitched	chr1	118196552	118207728	4	8005	11176	1781.4544	40		FAM46C	FAM46C	FAM46C	0.27190000000000003	40	1
3_MACS_peak_11455_lociStitched	chr6	25403910	25414813	3	7996	12674.7375	3338.4986	41	LRRC16A		LRRC16A	LRRC16A	0.04999999999999999	41	1
6_MACS_peak_2147_lociStitched	chr11	10324200	10345172	6	11982	13285.762	4123.0952	42	ADM	SBF2	ADM	ADM	0.5035000000000001	42	1
3_MACS_peak_1967_lociStitched	chr10	105257577	105268133	3	6909	11662.2688	2561.9412	43	NEURL	CALHM2,CALHM1,CALHM3	NEURL	NEURL	0.09889999999999999	43	1
3_MACS_peak_4128_lociStitched	chr15	31547333	31559751	3	6879	12047.9436	3052.3444	44			KLF13	KLF13	0.17439999999999997	44	1
4_MACS_peak_5687_lociStitched	chr18	9060930	9074423	4	7719	12184.179	3236.9707	45		NDUFV2	NDUFV2	NDUFV2	0.19440000000000002	45	1
2_MACS_peak_1100_lociStitched	chr1	203288955	203297810	2	8666	12367.7785	3435.74	46		BTG2,LOC730227,FMOD	BTG2	LOC730227	0.3515	46	1
1_MACS_peak_3404_lociStitched	chr12	109022980	109031457	1	8478	11762.6852	2882.18	47	SELPLG	TMEM119	SELPLG	SELPLG	0.6323	47	1
1_MACS_peak_1476_lociStitched	chr10	11217100	11223200	1	6101	10964.14	2086.81	48	CELF2		CELF2	CELF2	0.1712	48	1
5_MACS_peak_10975_lociStitched	chr5	131745981	131763968	5	11457	13495.6461	4633.4512	49	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.2669	49	1
2_MACS_peak_13441_lociStitched	chr8	118450629	118456346	2	4268	10242.5772	1388.0876	50			MED30	MED30	NONE	50	1
7_MACS_peak_12467_lociStitched	chr7	55616432	55642471	7	13696	14443.8333	5671.2942	51	VOPP1		VOPP1	VOPP1	0.2693	51	1
3_MACS_peak_6171_lociStitched	chr19	16694442	16711260	3	9627	12884.2698	4127.1372	52	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.018000000000000002	52	1
3_MACS_peak_5431_lociStitched	chr17	56405433	56422685	3	11888	14029.3264	5301.5396	53	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	0.2434	53	1
1_MACS_peak_1118_lociStitched	chr1	205252297	205258426	1	6130	11059.7805	2371.3101	54		NUAK2	NUAK2	NUAK2	0.027900000000000008	54	1
2_MACS_peak_2634_lociStitched	chr11	115091597	115101548	2	5397	11071.4826	2399.1861	55	CADM1		CADM1	CADM1	0.06740000000000002	55	1
3_MACS_peak_1338_lociStitched	chr1	234734176	234749946	3	11119	14013.222	5369.685	56	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.5603	56	1
4_MACS_peak_9924_lociStitched	chr4	84133025	84143976	4	6722	11315.6683	2766.2226	57			COQ2	COQ2	NONE	57	1
3_MACS_peak_8375_lociStitched	chr22	27005526	27014464	3	4905	10349.3102	1839.4404	58	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	0.33709999999999996	58	1
1_MACS_peak_1097_lociStitched	chr1	203255492	203260850	1	5359	10805.4786	2339.3028	59		BTG2,LOC730227	LOC730227	LOC730227	0.3515	59	1
3_MACS_peak_4682_lociStitched	chr16	11771702	11783851	3	11031	11421.2749	2958.2815	60	SNN,TXNDC11		SNN	SNN	0.26959999999999995	60	1
2_MACS_peak_12255_lociStitched	chr7	20256315	20261480	2	4850	9812.9835	1366.1425	61	MACC1		MACC1	MACC1	0.12610000000000002	61	1
3_MACS_peak_8385_lociStitched	chr22	29185925	29199236	3	8349	11466.0954	3024.2592	62	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	0.5395	62	1
3_MACS_peak_8343_lociStitched	chr22	23226596	23240978	3	8521	11412.117	2974.1976	63	IGLL5		IGLL5	IGLL5	0.5128	63	1
1_MACS_peak_9384_lociStitched	chr3	174866748	174869711	1	2964	9817.3079	1392.3137	64	NAALADL2		NAALADL2	NAALADL2	0.018299999999999983	64	1
1_MACS_peak_9321_lociStitched	chr3	161486920	161490451	1	3532	9788.9913	1390.1547	65			OTOL1	OTOL1	NONE	65	1
3_MACS_peak_6236_lociStitched	chr19	35695637	35706015	3	7094	10654.0548	2265.5174	66		FXYD5,LSR,FAM187B	FAM187B	LSR	0.0387	66	1
1_MACS_peak_4757_lociStitched	chr16	23344906	23350232	1	5327	10102.3568	1716.0372	67	SCNN1B		SCNN1B	SCNN1B	0.13399999999999998	67	1
1_MACS_peak_7877_lociStitched	chr20	37498943	37505346	1	6404	10020.0547	1737.7742	68	PPP1R16B	FAM83D	FAM83D	FAM83D	0.01390000000000001	68	1
1_MACS_peak_6789_lociStitched	chr2	67690460	67693529	1	3070	9021.0186	782.9019	69			ETAA1	ETAA1	NONE	69	1
2_MACS_peak_7428_lociStitched	chr2	201980387	201992567	2	9553	11540.55	3331.23	70	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.1477	70	1
1_MACS_peak_1308_lociStitched	chr1	230257876	230261273	1	3398	9581.5782	1377.1438	71	GALNT2		GALNT2	GALNT2	0.0718	71	1
1_MACS_peak_10181_lociStitched	chr4	144275772	144281547	1	5776	9744.735	1588.125	72	GAB1		GAB1	GAB1	0.0943	72	1
2_MACS_peak_4037_lociStitched	chr14	106040391	106049664	2	4371	10049.1501	1930.6386	73		TMEM121	TMEM121	TMEM121	0.027900000000000008	73	1
4_MACS_peak_11892_lociStitched	chr6	108902183	108920354	4	6075	11584.0125	3543.345	74	FOXO3		FOXO3	FOXO3	0.2313	74	1
3_MACS_peak_10980_lociStitched	chr5	131790888	131804069	3	9269	11807.5398	3768.4479	75	C5orf56	IRF1	IRF1	IRF1	0.11480000000000001	75	1
2_MACS_peak_12303_lociStitched	chr7	26002658	26009339	2	5620	10003.4613	1968.2226	76		MIR148A	MIR148A	MIR148A	0.21070000000000003	76	1
3_MACS_peak_6582_lociStitched	chr2	37570367	37584072	3	9422	11368.2975	3375.5415	77	QPCT	PRKD3	QPCT	QPCT	0.372	77	1
3_MACS_peak_12849_lociStitched	chr7	136037652	136047000	3	5042	10683.8292	2886.6624	78			LUZP6	LUZP6	NONE	78	1
2_MACS_peak_686_lociStitched	chr1	150532149	150541295	2	7681	11682.1858	3937.353	79	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	0.1668	79	1
4_MACS_peak_2827_lociStitched	chr12	7052118	7069295	4	10137	11604.7812	3866.5427	80	C12orf57,PTPN6	LRRC23,ENO2,ATN1,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	PTPN6	0.3427	80	1
1_MACS_peak_6044_lociStitched	chr19	2595094	2600191	1	5098	9789.8079	2114.2356	81	GNG7		GNG7	GNG7	0.12440000000000001	81	1
2_MACS_peak_11980_lociStitched	chr6	130004386	130009510	2	4751	9220.638	1566.9192	82	ARHGAP18		ARHGAP18	ARHGAP18	0.08839999999999998	82	1
3_MACS_peak_7385_lociStitched	chr2	197033480	197044148	3	6517	10261.5492	2629.662	83	STK17B		STK17B	STK17B	0.1942	83	1
6_MACS_peak_12123_lociStitched	chr6	157977807	157999379	6	7909	10002.9364	2411.7496	84	ZDHHC14	MIR3692	MIR3692	MIR3692	0.008799999999999995	84	1
3_MACS_peak_9966_lociStitched	chr4	90209774	90221487	3	10585	10652.9735	3116.8293	85	GPRIN3		GPRIN3	GPRIN3	0.16240000000000002	85	1
2_MACS_peak_5468_lociStitched	chr17	62150458	62160602	2	6310	10196.7488	2662.8	86	ERN1		ERN1	ERN1	0.2166	86	1
4_MACS_peak_10758_lociStitched	chr5	88114053	88129840	4	9670	11121.9415	3589.9638	87	MEF2C		MEF2C	MEF2C	0.09260000000000002	87	1
3_MACS_peak_9412_lociStitched	chr3	178230982	178240863	3	6330	10629.9798	3124.3722	88		KCNMB2	KCNMB2	NONE	NONE	88	1
1_MACS_peak_1114_lociStitched	chr1	204532733	204535669	1	2937	8916.3384	1446.8608	89		MDM4	MDM4	MDM4	0.2557	89	1
1_MACS_peak_6045_lociStitched	chr19	2607228	2611793	1	4566	9115.392	1654.356	90	GNG7		GNG7	GNG7	0.12440000000000001	90	1
1_MACS_peak_973_lociStitched	chr1	183810277	183815334	1	5058	9260.8841	1807.8775	91	RGL1		APOBEC4	APOBEC4	NONE	91	1
4_MACS_peak_7526_lociStitched	chr2	219743900	219762101	4	6892	11772.4068	4324.5576	92	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	0.3425	92	1
5_MACS_peak_14022_lociStitched	chr9	112904770	112924942	5	8636	12357.3672	4913.8992	93	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.0907	93	1
4_MACS_peak_5601_lociStitched	chr17	76712633	76726313	4	10995	10556.856	3242.16	94	CYTH1		CYTH1	CYTH1	0.1463	94	1
2_MACS_peak_8282_lociStitched	chr21	45572740	45580318	2	5267	9575.5608	2272.6422	95		PWP2,C21orf33	C21orf33	C21orf33	0.17309999999999998	95	1
3_MACS_peak_5077_lociStitched	chr17	4268153	4281207	3	8542	9928.8724	2668.2376	96	UBE2G1		UBE2G1	UBE2G1	0.014500000000000013	96	1
4_MACS_peak_8996_lociStitched	chr3	98479511	98495246	4	7743	10617.978	3375.1575	97	ST3GAL6		ST3GAL6	ST3GAL6	0.14419999999999997	97	1
1_MACS_peak_13481_lociStitched	chr8	125768993	125770676	1	1684	7728.8409	495.9801	98		MTSS1	MTSS1	MTSS1	0.004799999999999999	98	1
3_MACS_peak_4187_lociStitched	chr15	40388649	40401967	3	8364	10569.1648	3377.4448	99	BMF		BMF	BMF	0.2701	99	1
4_MACS_peak_9730_lociStitched	chr4	40194019	40208049	4	12067	11065.461	3883.504	100	RHOH		RHOH	RHOH	0.1518	100	1
5_MACS_peak_2734_lociStitched	chr11	128588298	128605316	5	8259	11798.5794	4618.6852	101	FLI1		FLI1	FLI1	0.07780000000000001	101	1
4_MACS_peak_6909_lociStitched	chr2	97191308	97205550	4	7898	10116.0926	2936.7004	102	ARID5A	NEURL3	ARID5A	ARID5A	0.2237	102	1
1_MACS_peak_7837_lociStitched	chr20	32469940	32472773	1	2834	8146.5748	1003.1653	103			CHMP4B	CHMP4B	0.129	103	1
4_MACS_peak_6461_lociStitched	chr2	11883725	11895122	4	9635	10073.8083	2937.0069	104	LPIN1		LPIN1	LPIN1	0.09430000000000002	104	1
3_MACS_peak_10506_lociStitched	chr5	32530751	32543737	3	6542	10044.671	2937.4332	105		SUB1	SUB1	SUB1	0.17409999999999998	105	1
2_MACS_peak_13890_lociStitched	chr9	93684623	93690485	2	3850	8194.4898	1158.3312	106			SYK	SYK	NONE	106	1
3_MACS_peak_6257_lociStitched	chr19	39891786	39903862	3	11046	9712.7268	2679.6644	107	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	0.49950000000000006	107	1
2_MACS_peak_101_lociStitched	chr1	17221165	17233188	2	7364	12039.8322	5070.0991	108		CROCC	CROCC	NONE	NONE	108	1
1_MACS_peak_7451_lociStitched	chr2	204569267	204573173	1	3907	8229.1608	1267.497	109	CD28		CD28	CD28	0.2429	109	1
2_MACS_peak_8635_lociStitched	chr3	13050356	13059078	2	8252	9581.117	2664.571	110	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.04440000000000001	110	1
5_MACS_peak_199_lociStitched	chr1	31216023	31231098	5	11689	10716.8175	3801.915	111	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.21100000000000002	111	1
4_MACS_peak_2949_lociStitched	chr12	26265969	26279997	4	8156	10492.944	3588.3624	112	BHLHE41		BHLHE41	BHLHE41	0.3479	112	1
2_MACS_peak_4873_lociStitched	chr16	56944173	56952052	2	4412	8671.6274	1805.0789	113	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	0.34330000000000005	113	1
4_MACS_peak_3121_lociStitched	chr12	53853952	53869625	4	8783	10304.9975	3487.2425	114	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.24230000000000002	114	1
4_MACS_peak_8388_lociStitched	chr22	29207544	29226018	4	7101	10319.5764	3552.5502	115		CCDC117,XBP1	XBP1	XBP1	0.5395	115	1
6_MACS_peak_8713_lociStitched	chr3	30683947	30703321	6	8569	10874.6262	4109.2254	116	TGFBR2		TGFBR2	TGFBR2	0.0834	116	1
2_MACS_peak_8203_lociStitched	chr21	37906979	37915770	2	3790	9067.9165	2334.8896	117	CLDN14		CLDN14	CLDN14	0.0771	117	1
2_MACS_peak_11907_lociStitched	chr6	109216475	109227349	2	5628	9239.6378	2508.6318	118	ARMC2		ARMC2	ARMC2	0.10120000000000001	118	1
4_MACS_peak_3975_lociStitched	chr14	91829961	91843281	4	8479	8803.188	2073.924	119	CCDC88C		CCDC88C	CCDC88C	0.1164	119	1
1_MACS_peak_1028_lociStitched	chr1	192543890	192550548	1	6659	9324.529	2601.9464	120	RGS1		RGS1	RGS1	0.5355	120	1
2_MACS_peak_7329_lociStitched	chr2	182168564	182179737	2	7877	9928.3278	3214.4721	121			ITGA4	ITGA4	NONE	121	1
1_MACS_peak_5144_lociStitched	chr17	16890663	16894080	1	3418	7982.112	1272.1491	122		TNFRSF13B	TNFRSF13B	TNFRSF13B	0.1482	122	1
1_MACS_peak_10330_lociStitched	chr4	185302769	185307227	1	4459	8417.5956	1709.1972	123			IRF2	IRF2	NONE	123	1
2_MACS_peak_10707_lociStitched	chr5	76032284	76038125	2	4953	8180.9046	1502.3052	124		NCRUPAR,F2R	F2R	F2R	0.2559	124	1
2_MACS_peak_11662_lociStitched	chr6	52393193	52403043	2	5153	9193.99	2548.195	125	TRAM2		TRAM2	TRAM2	0.21090000000000003	125	1
2_MACS_peak_741_lociStitched	chr1	154908279	154917684	2	6168	10518.552	3875.8005	126	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	0.2192	126	1
2_MACS_peak_2636_lociStitched	chr11	115126262	115135945	2	4390	8678.8729	2046.9862	127	CADM1		CADM1	CADM1	0.06740000000000002	127	1
2_MACS_peak_10925_lociStitched	chr5	123984697	123988160	2	3003	7275.763	702.2964	128	ZNF608		ZNF608	ZNF608	0.06449999999999999	128	1
4_MACS_peak_2227_lociStitched	chr11	22687793	22702670	4	7396	9564.4233	3012.5925	129	GAS2	FANCF	GAS2	GAS2	0.06589999999999999	129	1
3_MACS_peak_12840_lociStitched	chr7	134670590	134682267	3	6233	9987.3381	3463.3982	130	AGBL3		AGBL3	AGBL3	0.0373	130	1
4_MACS_peak_6166_lociStitched	chr19	16545519	16561339	4	6413	9397.08	3005.8	131	EPS15L1	C19orf44,CALR3	EPS15L1	EPS15L1	0.09410000000000002	131	1
1_MACS_peak_13925_lociStitched	chr9	97622595	97624509	1	1915	6931.7424	543.0018	132	C9orf3		MIR2278	MIR2278	NONE	132	1
1_MACS_peak_1520_lociStitched	chr10	15828588	15831520	1	2933	7297.1616	923.8732	133	FAM188A		ITGA8	ITGA8	NONE	133	1
5_MACS_peak_7794_lociStitched	chr20	25261892	25280965	5	8152	9710.0643	3337.775	134	PYGB,ABHD12		PYGB	PYGB	0.11630000000000001	134	1
2_MACS_peak_7435_lociStitched	chr2	202116587	202126930	2	7113	8962.2095	2600.2302	135	CASP8		CASP8	CASP8	0.13940000000000002	135	1
4_MACS_peak_5563_lociStitched	chr17	75079058	75092522	4	8370	9523.0872	3161.3472	136	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	0.2822	136	1
3_MACS_peak_399_lociStitched	chr1	66736494	66750084	3	6167	9521.154	3166.47	137	PDE4B	PDE4B	PDE4B	PDE4B	0.023599999999999996	137	1
4_MACS_peak_13340_lociStitched	chr8	81046365	81060351	4	7476	9418.1724	3065.7312	138	TPD52		TPD52	TPD52	0.09410000000000002	138	1
1_MACS_peak_5753_lociStitched	chr18	20820899	20823072	1	2174	6715.2219	392.8784	139	CABLES1		CABLES1	CABLES1	0.09139999999999998	139	1
1_MACS_peak_1239_lociStitched	chr1	223421276	223423879	1	2604	7416.9882	1098.466	140	SUSD4		TLR5	TLR5	NONE	140	1
1_MACS_peak_9184_lociStitched	chr3	130567572	130570450	1	2879	7055.417	751.4458	141	ATP2C1	ATP2C1	ATP2C1	ATP2C1	0.042899999999999994	141	1
3_MACS_peak_9516_lociStitched	chr3	193848290	193857888	3	6646	8858.954	2568.4248	142	HES1		HES1	HES1	0.5004	142	1
1_MACS_peak_3756_lociStitched	chr13	114829323	114834602	1	5280	7705.7563	1444.8623	143	RASA3		RASA3	RASA3	0.07949999999999999	143	1
2_MACS_peak_5569_lociStitched	chr17	75135932	75144363	2	7187	8785.9451	2538.5741	144	SEC14L1	SEC14L1	SEC14L1	SEC14L1	0.14489999999999997	144	1
4_MACS_peak_9173_lociStitched	chr3	129027255	129037324	4	7956	8886.8994	2644.1194	145	C3orf47,H1FX	C3orf37	C3orf47	C3orf47	0.1662	145	1
2_MACS_peak_11899_lociStitched	chr6	108989014	108995444	2	5816	7566.824	1332.939	146	FOXO3		NCRNA00222	NCRNA00222	NONE	146	1
1_MACS_peak_976_lociStitched	chr1	183879376	183882446	1	3071	7371.991	1172.433	147	RGL1		GLT25D2	GLT25D2	NONE	147	1
2_MACS_peak_4875_lociStitched	chr16	56963914	56974220	2	7802	8915.7206	2716.6616	148	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	0.34330000000000005	148	1
2_MACS_peak_1271_lociStitched	chr1	226840527	226852041	2	7517	10460.469	4269.3912	149	ITPKB		ITPKB	ITPKB	0.07919999999999999	149	1
2_MACS_peak_12260_lociStitched	chr7	20428559	20436139	2	2521	7407.176	1232.508	150	ITGB8		ITGB8	ITGB8	0.11059999999999998	150	1
2_MACS_peak_8357_lociStitched	chr22	24180530	24191096	2	6782	8954.685	2785.1976	151	DERL3	SLC2A11,MIF	DERL3	DERL3	0.07780000000000001	151	1
1_MACS_peak_9196_lociStitched	chr3	133192906	133199972	1	7067	8137.9122	1969.2942	152	BFSP2		BFSP2	BFSP2	0.1364	152	1
2_MACS_peak_4427_lociStitched	chr15	75334712	75340504	2	4641	7798.3488	1645.5072	153	PPCDC	SCAMP5	PPCDC	PPCDC	0.18369999999999997	153	1
2_MACS_peak_5277_lociStitched	chr17	37909830	37915164	2	5298	7675.626	1536.192	154		GRB7,C17orf37	GRB7	C17orf37	0.05869999999999999	154	1
3_MACS_peak_9825_lociStitched	chr4	71543298	71554767	3	5705	8554.7271	2439.4563	155	UTP3	ENAM,RUFY3,IGJ	UTP3	IGJ	0.1429	155	1
2_MACS_peak_9143_lociStitched	chr3	124502505	124511377	2	6170	8175.548	2068.0632	156	ITGB5		UMPS	UMPS	NONE	156	1
1_MACS_peak_13901_lociStitched	chr9	93953127	93957096	1	3970	7341.4593	1238.328	157			LOC100129316	NONE	NONE	157	1
3_MACS_peak_6770_lociStitched	chr2	65159251	65174264	3	6921	10153.2919	4053.51	158	LOC400958	SLC1A4	LOC400958	LOC400958	0.1276	158	1
2_MACS_peak_8263_lociStitched	chr21	44726270	44733375	2	3576	7986.02	1886.3775	159			SIK1	SIK1	NONE	159	1
2_MACS_peak_12013_lociStitched	chr6	135190834	135195837	2	4054	7421.4502	1338.3025	160			ALDH8A1	ALDH8A1	NONE	160	1
2_MACS_peak_13130_lociStitched	chr8	29410475	29414495	2	3495	7109.772	1031.934	161			C8orf75	C8orf75	0.09660000000000002	161	1
3_MACS_peak_2886_lociStitched	chr12	12866626	12880283	3	8295	9436.987	3373.279	162	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	0.4091	162	1
2_MACS_peak_1348_lociStitched	chr1	235146824	235152033	2	3036	7516.0661	1483.5232	163			SNORA14B	SNORA14B	0.1036	163	1
1_MACS_peak_7895_lociStitched	chr20	42378925	42382055	1	3131	6969.571	949.016	164		GTSF1L	GTSF1L	GTSF1L	0.06600000000000002	164	1
1_MACS_peak_11637_lociStitched	chr6	45676900	45679644	1	2745	6750.24	747.74	165			RUNX2	RUNX2	0.031299999999999994	165	1
4_MACS_peak_11468_lociStitched	chr6	26187835	26206711	4	9952	9908.0124	3941.3088	166	HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	0.2396	166	1
