REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
3_MACS_peak_1338_lociStitched	chr1	234734176	234749946	3	11119	14013.222	5369.685
4_MACS_peak_8996_lociStitched	chr3	98479511	98495246	4	7743	10617.978	3375.1575
4_MACS_peak_3121_lociStitched	chr12	53853952	53869625	4	8783	10304.9975	3487.2425
2_MACS_peak_8346_lociStitched	chr22	23269925	23285598	2	10587	28507.6197	4521.6605
2_MACS_peak_6028_lociStitched	chr19	2082432	2097945	2	12519	16375.5228	5629.6677
4_MACS_peak_10599_lociStitched	chr5	55437942	55453380	4	6957	13991.4594	3601.6854000000003
4_MACS_peak_3467_lociStitched	chr12	123371463	123386878	4	6491	8142.203	2255.2145
4_MACS_peak_8274_lociStitched	chr21	45194749	45210156	4	7722	9458.3573	4434.1346
3_MACS_peak_12463_lociStitched	chr7	55570419	55585535	3	5929	8650.8868	2988.4332
5_MACS_peak_199_lociStitched	chr1	31216023	31231098	5	11689	10716.8175	3801.9149999999995
3_MACS_peak_6770_lociStitched	chr2	65159251	65174264	3	6921	10153.2919	4053.51
3_MACS_peak_2416_lociStitched	chr11	65263925	65278868	3	11869	14076.305999999999	3690.921
4_MACS_peak_2227_lociStitched	chr11	22687793	22702670	4	7396	9564.4233	3012.5925
4_MACS_peak_9716_lociStitched	chr4	38307638	38322116	4	7238	8995.1814	3526.8408
3_MACS_peak_6339_lociStitched	chr19	48880791	48895210	3	5060	7277.269300000001	2951.5693
3_MACS_peak_8343_lociStitched	chr22	23226596	23240978	3	8521	11412.117	2974.1976
3_MACS_peak_5577_lociStitched	chr17	75315013	75329289	3	5705	5584.7712	2362.6780000000003
4_MACS_peak_6909_lociStitched	chr2	97191308	97205550	4	7898	10116.0926	2936.7003999999997
4_MACS_peak_7447_lociStitched	chr2	204548425	204562536	4	6124	6484.0045	3348.5403
3_MACS_peak_4923_lociStitched	chr16	68285077	68299147	3	5890	7461.321	2977.212
4_MACS_peak_4335_lociStitched	chr15	63765864	63779911	4	5957	6989.7872	3159.1702999999998
4_MACS_peak_9730_lociStitched	chr4	40194019	40208049	4	12067	11065.461	3883.504
4_MACS_peak_2949_lociStitched	chr12	26265969	26279997	4	8156	10492.944	3588.3624000000004
3_MACS_peak_6046_lociStitched	chr19	2618177	2632167	3	7830	10016.84	4188.606
4_MACS_peak_13340_lociStitched	chr8	81046365	81060351	4	7476	9418.1724	3065.7312
3_MACS_peak_4422_lociStitched	chr15	75069239	75082949	3	7697	7891.476	3629.037
3_MACS_peak_6582_lociStitched	chr2	37570367	37584072	3	9422	11368.2975	3375.5415
4_MACS_peak_5601_lociStitched	chr17	76712633	76726313	4	10995	10556.856000000002	3242.16
3_MACS_peak_2886_lociStitched	chr12	12866626	12880283	3	8295	9436.987	3373.279
4_MACS_peak_8807_lociStitched	chr3	46424772	46438408	4	4947	6080.2924	2840.3788
3_MACS_peak_399_lociStitched	chr1	66736494	66750084	3	6167	9521.154	3166.4700000000003
4_MACS_peak_5687_lociStitched	chr18	9060930	9074423	4	7719	12184.179	3236.9707
4_MACS_peak_5563_lociStitched	chr17	75079058	75092522	4	8370	9523.0872	3161.3472
4_MACS_peak_4417_lociStitched	chr15	74832466	74845929	4	6692	8061.6444	2714.1408
3_MACS_peak_12410_lociStitched	chr7	45034576	45048029	3	4012	5962.3696	2426.9212
4_MACS_peak_3975_lociStitched	chr14	91829961	91843281	4	8479	8803.188	2073.924
3_MACS_peak_4187_lociStitched	chr15	40388649	40401967	3	8364	10569.1648	3377.4447999999998
3_MACS_peak_8385_lociStitched	chr22	29185925	29199236	3	8349	11466.0954	3024.2592
4_MACS_peak_5607_lociStitched	chr17	76763592	76776877	4	7662	7369.1894999999995	2738.0385
4_MACS_peak_368_lociStitched	chr1	59473292	59486547	4	4395	4456.331	2311.672
3_MACS_peak_2403_lociStitched	chr11	64851048	64864265	3	3704	4754.1549	2397.5638
3_MACS_peak_10980_lociStitched	chr5	131790888	131804069	3	9269	11807.5398	3768.4478999999997
3_MACS_peak_5339_lociStitched	chr17	43517508	43530672	3	4273	4819.3404	2419.5432
3_MACS_peak_5077_lociStitched	chr17	4268153	4281207	3	8542	9928.8724	2668.2376
4_MACS_peak_1003_lociStitched	chr1	186583403	186596391	4	4967	6591.409999999999	2871.6468
3_MACS_peak_10506_lociStitched	chr5	32530751	32543737	3	6542	10044.671	2937.4332
3_MACS_peak_4239_lociStitched	chr15	46995111	47008072	3	4815	7045.5996	2488.512
3_MACS_peak_6625_lociStitched	chr2	42344762	42357690	3	6556	7818.8544	2893.2864
3_MACS_peak_7589_lociStitched	chr2	232701051	232713889	3	3609	4235.256200000001	1772.9278
2_MACS_peak_673_lociStitched	chr1	149802725	149815484	2	7532	8927.4723	3689.9028000000003
3_MACS_peak_5293_lociStitched	chr17	38470651	38483399	3	8259	12890.777600000001	3102.8632000000002
2_MACS_peak_675_lociStitched	chr1	149821514	149834232	2	7824	9126.4368	3912.0568
3_MACS_peak_6633_lociStitched	chr2	43444445	43457163	3	6172	7788.503200000001	3033.243
4_MACS_peak_9540_lociStitched	chr3	196358259	196370910	4	7937	7909.4052	3686.5014
3_MACS_peak_4128_lociStitched	chr15	31547333	31559751	3	6879	12047.943599999999	3052.3444
4_MACS_peak_1817_lociStitched	chr10	81003329	81015644	4	6239	5694.456	2575.0665
3_MACS_peak_11863_lociStitched	chr6	106227828	106240140	3	3828	6302.5128	2475.9432
4_MACS_peak_5472_lociStitched	chr17	62197678	62209957	4	6720	7174.6197	2960.4669
4_MACS_peak_12865_lociStitched	chr7	139466672	139478887	4	4816	5484.535	2886.4045
2_MACS_peak_7428_lociStitched	chr2	201980387	201992567	2	9553	11540.55	3331.2300000000005
3_MACS_peak_4682_lociStitched	chr16	11771702	11783851	3	11031	11421.2749	2958.2815
3_MACS_peak_5279_lociStitched	chr17	37925752	37937898	3	3995	6422.804800000001	2657.5448
3_MACS_peak_6753_lociStitched	chr2	64430741	64442835	3	6203	8203.360200000001	2666.727
3_MACS_peak_6257_lociStitched	chr19	39891786	39903862	3	11046	9712.7268	2679.6643999999997
3_MACS_peak_2467_lociStitched	chr11	71414473	71426506	3	6996	8039.2473	3064.8050999999996
2_MACS_peak_101_lociStitched	chr1	17221165	17233188	2	7364	12039.8322	5070.0991
3_MACS_peak_11221_lociStitched	chr5	173330004	173341989	3	4490	5480.7405	2164.491
3_MACS_peak_9497_lociStitched	chr3	191007666	191019593	3	5167	6799.582700000001	3174.9674
3_MACS_peak_953_lociStitched	chr1	181117896	181129804	3	4863	7105.5036	3356.8651999999997
3_MACS_peak_743_lociStitched	chr1	154923541	154935396	3	7776	7052.5395	3746.18
3_MACS_peak_162_lociStitched	chr1	27018376	27030179	3	5784	7877.3222	2442.0407
2_MACS_peak_12980_lociStitched	chr8	2029487	2041269	2	9223	14407.029600000002	2873.6298
2_MACS_peak_570_lociStitched	chr1	118166009	118177783	2	6945	7246.897000000001	1873.2433999999998
3_MACS_peak_9966_lociStitched	chr4	90209774	90221487	3	10585	10652.9735	3116.8293
3_MACS_peak_12840_lociStitched	chr7	134670590	134682267	3	6233	9987.338099999999	3463.3981999999996
2_MACS_peak_6580_lociStitched	chr2	37541743	37553320	2	11449	7549.3617	2882.673
2_MACS_peak_12743_lociStitched	chr7	114561905	114573460	2	6420	7191.831999999999	3237.7110000000002
3_MACS_peak_824_lociStitched	chr1	161145190	161156730	3	7219	9031.204	3897.058
2_MACS_peak_1271_lociStitched	chr1	226840527	226852041	2	7517	10460.469	4269.3912
3_MACS_peak_9905_lociStitched	chr4	82546315	82557819	3	3898	5588.6432	2339.9136
3_MACS_peak_6423_lociStitched	chr2	8617535	8629029	3	3503	4358.5248	1947.0836
3_MACS_peak_11940_lociStitched	chr6	117859487	117870961	3	4206	5732.4104	2170.8808
3_MACS_peak_5242_lociStitched	chr17	34409699	34421171	3	8202	15170.5728	2793.432
3_MACS_peak_9825_lociStitched	chr4	71543298	71554767	3	5705	8554.7271	2439.4563
3_MACS_peak_279_lociStitched	chr1	40846780	40858198	3	5085	7701.441	2813.3952
4_MACS_peak_13903_lociStitched	chr9	94181094	94192510	4	6365	6759.4136	2447.5904
4_MACS_peak_4750_lociStitched	chr16	22206488	22217898	4	5214	5385.5199999999995	2504.495
3_MACS_peak_6096_lociStitched	chr19	10304468	10315873	3	4422	4873.3565	1771.1965
4_MACS_peak_6461_lociStitched	chr2	11883725	11895122	4	9635	10073.8083	2937.0069
3_MACS_peak_14170_lociStitched	chr9	134127701	134139024	3	4464	4696.7804	1930.5715000000002
2_MACS_peak_14138_lociStitched	chr9	130538250	130549484	2	5820	5319.299	2100.758
3_MACS_peak_3006_lociStitched	chr12	32286871	32298072	3	3524	3839.7028	1946.7338000000002
3_MACS_peak_13115_lociStitched	chr8	28195378	28206574	3	5245	5903.6508	2105.9676
4_MACS_peak_573_lociStitched	chr1	118196552	118207728	4	8005	11176.0	1781.4543999999999
2_MACS_peak_7329_lociStitched	chr2	182168564	182179737	2	7877	9928.3278	3214.4721
4_MACS_peak_8468_lociStitched	chr22	38782600	38793772	4	6934	6571.3704	2224.3452
3_MACS_peak_12662_lociStitched	chr7	101921939	101933053	3	3161	3567.594	1794.911
3_MACS_peak_13562_lociStitched	chr8	137189601	137200688	3	4965	7898.3788	2297.2264
3_MACS_peak_1957_lociStitched	chr10	104531543	104542624	3	6005	8177.778	2570.792
3_MACS_peak_2343_lociStitched	chr11	58865091	58876136	3	4184	4658.781	2171.447
3_MACS_peak_11364_lociStitched	chr6	11722202	11733235	3	5815	6516.0898	2359.9587
3_MACS_peak_14147_lociStitched	chr9	130834144	130845167	3	4910	5113.5697	2035.9481
3_MACS_peak_11425_lociStitched	chr6	20201879	20212897	3	3241	4371.9424	2165.0370000000003
2_MACS_peak_14158_lociStitched	chr9	132646600	132657589	2	6523	7242.8499	2302.1955
4_MACS_peak_3237_lociStitched	chr12	77454052	77465011	4	5664	6897.594599999999	2162.2107
4_MACS_peak_9924_lociStitched	chr4	84133025	84143976	4	6722	11315.668300000001	2766.2226
3_MACS_peak_11455_lociStitched	chr6	25403910	25414813	3	7996	12674.737500000001	3338.4986000000004
3_MACS_peak_2366_lociStitched	chr11	60672817	60683708	3	6621	7672.7095	2581.167
2_MACS_peak_11907_lociStitched	chr6	109216475	109227349	2	5628	9239.6378	2508.6317999999997
2_MACS_peak_1098_lociStitched	chr1	203267640	203278416	2	8007	9535.6824	4168.1568
3_MACS_peak_8164_lociStitched	chr21	34746257	34756971	3	5204	6768.0338	2927.0648
3_MACS_peak_7385_lociStitched	chr2	197033480	197044148	3	6517	10261.5492	2629.662
3_MACS_peak_3299_lociStitched	chr12	92855317	92865981	3	4244	6043.288799999999	2134.9328
3_MACS_peak_14161_lociStitched	chr9	132769076	132779720	3	4496	6820.675200000001	1629.5964000000001
3_MACS_peak_11889_lociStitched	chr6	108879321	108889957	3	9153	7088.894	2354.8104000000003
2_MACS_peak_3274_lociStitched	chr12	89738476	89749093	2	6711	7193.0175	2716.8903
2_MACS_peak_8357_lociStitched	chr22	24180530	24191096	2	6782	8954.685	2785.1976
3_MACS_peak_12402_lociStitched	chr7	44668921	44679480	3	5348	8394.405	2728.4456
3_MACS_peak_1967_lociStitched	chr10	105257577	105268133	3	6909	11662.2688	2561.9412
3_MACS_peak_11870_lociStitched	chr6	106545139	106555687	3	5555	7643.080800000001	2634.8903999999998
2_MACS_peak_759_lociStitched	chr1	155940082	155950595	2	6212	6064.9497	3019.3336
3_MACS_peak_5380_lociStitched	chr17	47816507	47827020	3	4751	6220.5421	2332.8347
3_MACS_peak_11100_lociStitched	chr5	150520590	150531025	3	3370	3927.734	2241.438
3_MACS_peak_9868_lociStitched	chr4	77608971	77619381	3	4305	5290.362	2471.334
3_MACS_peak_6236_lociStitched	chr19	35695637	35706015	3	7094	10654.0548	2265.5173999999997
3_MACS_peak_1283_lociStitched	chr1	228290359	228300732	3	4117	3899.2107	2626.4435999999996
3_MACS_peak_1825_lociStitched	chr10	81946805	81957175	3	4293	5112.41	2112.369
2_MACS_peak_7435_lociStitched	chr2	202116587	202126930	2	7113	8962.2095	2600.2302
2_MACS_peak_8640_lociStitched	chr3	13460037	13470345	2	5024	5150.9076	1651.3416000000002
2_MACS_peak_4875_lociStitched	chr16	56963914	56974220	2	7802	8915.7206	2716.6616
3_MACS_peak_8184_lociStitched	chr21	36420307	36430575	3	5184	6978.132799999999	2741.556
4_MACS_peak_2868_lociStitched	chr12	11902447	11912649	4	5327	5487.6558	2161.8038
3_MACS_peak_10065_lociStitched	chr4	113200196	113210367	3	3347	3791.7488000000003	1849.0877999999998
2_MACS_peak_5468_lociStitched	chr17	62150458	62160602	2	6310	10196.748800000001	2662.8
3_MACS_peak_4476_lociStitched	chr15	81585445	81595585	3	5047	7306.884	3060.252
3_MACS_peak_11110_lociStitched	chr5	151128752	151138888	3	4703	5057.864	1903.5408
4_MACS_peak_9173_lociStitched	chr3	129027255	129037324	4	7956	8886.8994	2644.1194
2_MACS_peak_12668_lociStitched	chr7	102064141	102074156	2	6050	6931.3815	2658.9825
2_MACS_peak_5060_lociStitched	chr17	2295672	2305627	2	4655	4175.1269999999995	1716.242
3_MACS_peak_2805_lociStitched	chr12	4251612	4261565	3	3562	4551.506899999999	1832.3473000000001
2_MACS_peak_2634_lociStitched	chr11	115091597	115101548	2	5397	11071.482600000001	2399.1861
2_MACS_peak_8798_lociStitched	chr3	46246089	46256006	2	6444	7073.7961000000005	2715.2745999999997
3_MACS_peak_9412_lociStitched	chr3	178230982	178240863	3	6330	10629.979800000001	3124.3722
2_MACS_peak_11662_lociStitched	chr6	52393193	52403043	2	5153	9193.99	2548.1949999999997
3_MACS_peak_5854_lociStitched	chr18	46459784	46469625	3	5200	4769.9327	2101.0535
2_MACS_peak_9403_lociStitched	chr3	177069170	177078997	2	6006	12911.695300000001	3333.3184
2_MACS_peak_8162_lociStitched	chr21	34696004	34705801	2	4907	6617.8735	3568.0674000000004
3_MACS_peak_8350_lociStitched	chr22	23478349	23488130	3	6147	5898.9211	2262.3453
2_MACS_peak_4996_lociStitched	chr16	81842235	81851996	2	4560	4847.3126	1210.364
3_MACS_peak_11282_lociStitched	chr6	390987	400748	3	5727	5528.6304	2160.1093
3_MACS_peak_12272_lociStitched	chr7	22478441	22488156	3	4012	4972.137000000001	2054.7225
2_MACS_peak_18_lociStitched	chr1	1669095	1678802	2	4351	3948.8076	1633.6881
2_MACS_peak_2614_lociStitched	chr11	111241196	111250882	2	6649	7673.2492	2461.2126
2_MACS_peak_2636_lociStitched	chr11	115126262	115135945	2	4390	8678.8729	2046.9862
2_MACS_peak_629_lociStitched	chr1	145187821	145197473	2	7364	11328.5524	5797.9564
3_MACS_peak_4827_lociStitched	chr16	31879830	31889458	3	4242	4322.972	1415.316
3_MACS_peak_9516_lociStitched	chr3	193848290	193857888	3	6646	8858.954	2568.4248000000002
3_MACS_peak_612_lociStitched	chr1	143991938	144001519	3	5630	6845.6245	2363.6327
2_MACS_peak_3749_lociStitched	chr13	114557123	114566621	2	8849	7337.205	2651.8416
2_MACS_peak_2048_lociStitched	chr10	125823033	125832524	2	7254	5780.9681	2092.7655
3_MACS_peak_4429_lociStitched	chr15	75353226	75362696	3	5624	5828.785000000001	2063.513
3_MACS_peak_4446_lociStitched	chr15	77471578	77481016	3	3643	5545.7688	1712.0532
3_MACS_peak_1638_lociStitched	chr10	44503400	44512811	3	3672	4257.5364	1372.1238
2_MACS_peak_741_lociStitched	chr1	154908279	154917684	2	6168	10518.552	3875.8005000000003
3_MACS_peak_12849_lociStitched	chr7	136037652	136047000	3	5042	10683.8292	2886.6624
2_MACS_peak_816_lociStitched	chr1	161008147	161017485	2	4452	6054.7591999999995	2887.3095999999996
3_MACS_peak_13693_lociStitched	chr9	33158789	33168126	3	3942	3629.2918999999997	1370.6716000000001
3_MACS_peak_6667_lociStitched	chr2	46795381	46804707	3	5266	4853.2504	2162.6994
2_MACS_peak_2283_lociStitched	chr11	35186282	35195592	2	3914	4899.853	1998.857
3_MACS_peak_11810_lociStitched	chr6	90059539	90068848	3	8553	8271.0465	2477.1249000000003
4_MACS_peak_10025_lociStitched	chr4	105407673	105416978	4	5302	6079.887	1907.5249999999999
2_MACS_peak_4037_lociStitched	chr14	106040391	106049664	2	4371	10049.1501	1930.6386
3_MACS_peak_6253_lociStitched	chr19	39339456	39348727	3	4660	4467.6948999999995	1703.0827
3_MACS_peak_3946_lociStitched	chr14	81936309	81945579	3	4061	5081.814	1136.502
3_MACS_peak_10983_lociStitched	chr5	131826111	131835365	3	4944	4769.5116	2051.6118
2_MACS_peak_5356_lociStitched	chr17	46124655	46133898	2	3764	3968.0199000000002	2024.217
2_MACS_peak_6830_lociStitched	chr2	74425061	74434263	2	4090	4243.0422	2048.3651999999997
2_MACS_peak_133_lociStitched	chr1	23937859	23947057	2	3832	4625.6742	2121.9786
2_MACS_peak_1295_lociStitched	chr1	228744116	228753304	2	9028	4983.5712	3921.4384
3_MACS_peak_14374_lociStitched	chrX	58150324	58159484	3	5933	6501.768	817.072
2_MACS_peak_13573_lociStitched	chr8	141467449	141476599	2	4005	4507.29	1632.3600000000001
2_MACS_peak_6022_lociStitched	chr19	1897105	1906252	2	4141	4045.7181	2294.0676000000003
2_MACS_peak_686_lociStitched	chr1	150532149	150541295	2	7681	11682.185800000001	3937.353
2_MACS_peak_4133_lociStitched	chr15	31637295	31646428	2	4530	5719.0846	1769.0621
3_MACS_peak_6889_lociStitched	chr2	88899269	88908371	3	3237	3991.227	1899.5874
3_MACS_peak_602_lociStitched	chr1	143442290	143451384	3	6686	6264.856599999999	2563.5986
3_MACS_peak_2744_lociStitched	chr11	129238184	129247267	3	5469	4339.8574	1901.0719000000001
3_MACS_peak_10013_lociStitched	chr4	103533453	103542511	3	4523	5969.222000000001	1964.6802
2_MACS_peak_1131_lociStitched	chr1	206728390	206737435	2	7895	8675.964	3425.3415
2_MACS_peak_12788_lociStitched	chr7	123387170	123396210	2	4038	4284.96	2160.56
2_MACS_peak_10325_lociStitched	chr4	185201627	185210653	2	7347	7966.3476	2708.7025999999996
4_MACS_peak_3834_lociStitched	chr14	50466832	50475830	4	4731	3412.9414	1117.5516
2_MACS_peak_4966_lociStitched	chr16	71879224	71888206	2	3498	3767.0508	1743.4062
3_MACS_peak_10958_lociStitched	chr5	130709574	130718540	3	6264	6562.2154	2047.8344
3_MACS_peak_1507_lociStitched	chr10	14776470	14785427	3	3644	4524.1807	1848.7248
3_MACS_peak_1430_lociStitched	chr10	3799071	3808021	3	4360	4418.615000000001	1662.015
2_MACS_peak_5205_lociStitched	chr17	29640295	29649244	2	3705	5315.706	2014.4198999999999
3_MACS_peak_8375_lociStitched	chr22	27005526	27014464	3	4905	10349.3102	1839.4404000000002
3_MACS_peak_14479_lociStitched	chrX	128903077	128912005	3	3753	3241.7567999999997	1154.3904
3_MACS_peak_3793_lociStitched	chr14	32666948	32675863	3	3635	3862.8695000000002	1017.2014999999999
2_MACS_peak_8813_lociStitched	chr3	46579150	46588064	2	3641	7410.2082	1919.1842
3_MACS_peak_6577_lociStitched	chr2	37310598	37319498	3	3479	4892.33	1862.7700000000002
3_MACS_peak_10762_lociStitched	chr5	88176982	88185879	3	7585	5511.691500000001	2164.6401
2_MACS_peak_12708_lociStitched	chr7	106504744	106513640	2	5585	6270.7904	3035.3152
2_MACS_peak_583_lociStitched	chr1	120622772	120631650	2	3831	6930.1668	3329.25
3_MACS_peak_4192_lociStitched	chr15	40834907	40843785	3	5506	7977.770799999999	2131.6078
2_MACS_peak_9143_lociStitched	chr3	124502505	124511377	2	6170	8175.548	2068.0632
3_MACS_peak_6365_lociStitched	chr19	54881823	54890692	3	2991	3259.3575	1153.8569
2_MACS_peak_1100_lociStitched	chr1	203288955	203297810	2	8666	12367.7785	3435.7400000000002
2_MACS_peak_814_lociStitched	chr1	160983014	160991862	2	3690	4775.2656	2459.744
2_MACS_peak_11367_lociStitched	chr6	11828086	11836915	2	7539	16511.9958	2396.1906
3_MACS_peak_3062_lociStitched	chr12	46776428	46785253	3	6010	4920.82	1817.0675
3_MACS_peak_7747_lociStitched	chr20	17828831	17837645	3	3359	5200.259999999999	1615.6062
2_MACS_peak_5594_lociStitched	chr17	76143289	76152102	2	4184	5910.8791	1759.9560999999999
2_MACS_peak_8203_lociStitched	chr21	37906979	37915770	2	3790	9067.916500000001	2334.8896
2_MACS_peak_11485_lociStitched	chr6	27098851	27107615	2	4061	4445.977199999999	1935.9676000000002
3_MACS_peak_1712_lociStitched	chr10	63656502	63665231	3	5404	4939.741099999999	1938.7109
2_MACS_peak_5936_lociStitched	chr18	60822135	60830863	2	8100	12561.3376	2497.9536000000003
2_MACS_peak_4699_lociStitched	chr16	14492466	14501192	2	3507	6001.7428	1815.8806
2_MACS_peak_6491_lociStitched	chr2	20405921	20414646	2	6763	7571.555	2380.18
2_MACS_peak_8635_lociStitched	chr3	13050356	13059078	2	8252	9581.117	2664.571
2_MACS_peak_12978_lociStitched	chr8	1991439	2000138	2	4720	5818.761100000001	1577.1287
3_MACS_peak_7032_lociStitched	chr2	112456016	112464705	3	5474	14495.858699999999	2556.3038
3_MACS_peak_6104_lociStitched	chr19	10522431	10531118	3	4942	5004.5806999999995	1998.8787
2_MACS_peak_8610_lociStitched	chr3	8699321	8707990	2	3217	6818.1685	1772.8104999999998
2_MACS_peak_7834_lociStitched	chr20	32439640	32448304	2	3336	5868.1272	1965.8616
2_MACS_peak_4535_lociStitched	chr15	90726967	90735622	2	4185	4170.8445	2032.1940000000002
3_MACS_peak_4882_lociStitched	chr16	57570132	57578773	3	4175	4527.0199	1570.0697
2_MACS_peak_11798_lociStitched	chr6	88627851	88636489	2	3348	7632.536800000001	1910.7256
2_MACS_peak_8364_lociStitched	chr22	24822884	24831518	2	3803	6430.6032000000005	1804.5059999999999
2_MACS_peak_2640_lociStitched	chr11	115367747	115376377	2	5492	4112.195	1635.385
3_MACS_peak_1608_lociStitched	chr10	34955133	34963759	3	3449	2900.9238	1631.1766
3_MACS_peak_3764_lociStitched	chr13	115039748	115048340	3	5284	5791.008000000001	1927.1856
2_MACS_peak_13778_lociStitched	chr9	70488985	70497568	2	4168	3392.0016	1706.3004
2_MACS_peak_2965_lociStitched	chr12	27331108	27339671	2	4321	7483.2057	2213.5355
2_MACS_peak_11260_lociStitched	chr5	180229929	180238490	2	3613	4655.471799999999	1762.7099
2_MACS_peak_2275_lociStitched	chr11	35027813	35036351	2	3792	4782.1338000000005	1668.3252
2_MACS_peak_9303_lociStitched	chr3	158519179	158527706	2	3642	4324.8944	2072.9137
3_MACS_peak_11265_lociStitched	chr5	180610727	180619239	3	3228	3408.2048	1631.7504000000001
2_MACS_peak_830_lociStitched	chr1	161493239	161501744	2	3642	3515.1165	1831.1264999999999
2_MACS_peak_7625_lociStitched	chr2	238604676	238613170	2	3153	3564.9318000000003	1027.774
2_MACS_peak_12555_lociStitched	chr7	78115169	78123663	2	4329	5561.8712000000005	2329.9042
2_MACS_peak_10755_lociStitched	chr5	87955110	87963592	2	3971	4000.9594	1580.1966
2_MACS_peak_13782_lociStitched	chr9	70849402	70857883	2	4106	3210.9066	1695.3519
1_MACS_peak_3404_lociStitched	chr12	109022980	109031457	1	8478	11762.6852	2882.1800000000003
4_MACS_peak_8599_lociStitched	chr3	5233188	5241655	4	5896	6443.387	1966.0374
2_MACS_peak_7050_lociStitched	chr2	114187940	114196405	2	4368	3974.3174999999997	1849.6025
2_MACS_peak_11207_lociStitched	chr5	172191647	172200111	2	4428	6289.5984	1619.1632
