REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_13488_lociStitched	chr8	126285248	126308119	6	10195	15193.2053	5120.8169	29	NSMCE2		TRIB1	TRIB1	0.2734	29	1
4_MACS_peak_2827_lociStitched	chr12	7052118	7069295	4	10137	11604.7812	3866.5427	30	C12orf57,PTPN6	LRRC23,ENO2,ATN1,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	PTPN6	0.3427	30	1
4_MACS_peak_11468_lociStitched	chr6	26187835	26206711	4	9952	9908.0124	3941.3088	31	HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	0.2396	31	1
4_MACS_peak_10758_lociStitched	chr5	88114053	88129840	4	9670	11121.9415	3589.9638	32	MEF2C		MEF2C	MEF2C	0.09260000000000002	32	1
4_MACS_peak_6461_lociStitched	chr2	11883725	11895122	4	9635	10073.8083	2937.0069	33	LPIN1		LPIN1	LPIN1	0.09430000000000002	33	1
3_MACS_peak_6171_lociStitched	chr19	16694442	16711260	3	9627	12884.2698	4127.1372	34	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.018000000000000002	34	1
2_MACS_peak_7428_lociStitched	chr2	201980387	201992567	2	9553	11540.55	3331.23	35	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.1477	35	1
3_MACS_peak_6582_lociStitched	chr2	37570367	37584072	3	9422	11368.2975	3375.5415	36	QPCT	PRKD3	QPCT	QPCT	0.372	36	1
5_MACS_peak_6155_lociStitched	chr19	16244636	16267755	5	9420	16943.9151	5134.7299	37	HSH2D	RAB8A,FAM32A,AP1M1,CIB3	HSH2D	HSH2D	0.35930000000000006	37	1
3_MACS_peak_10980_lociStitched	chr5	131790888	131804069	3	9269	11807.5398	3768.4479	38	C5orf56	IRF1	IRF1	IRF1	0.11480000000000001	38	1
2_MACS_peak_12980_lociStitched	chr8	2029487	2041269	2	9223	14407.0296	2873.6298	39	MYOM2		MYOM2	MYOM2	0.17079999999999998	39	1
4_MACS_peak_1480_lociStitched	chr10	11286613	11304446	4	9195	14269.9666	3614.7491	40	CELF2		CELF2	CELF2	0.1712	40	1
3_MACS_peak_11889_lociStitched	chr6	108879321	108889957	3	9153	7088.894	2354.8104	41	FOXO3		FOXO3	FOXO3	0.2291	41	1
2_MACS_peak_1295_lociStitched	chr1	228744116	228753304	2	9028	4983.5712	3921.4384	42		DUSP5P	DUSP5P	DUSP5P	0.05180000000000001	42	1
2_MACS_peak_3749_lociStitched	chr13	114557123	114566621	2	8849	7337.205	2651.8416	43	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.09410000000000002	43	1
4_MACS_peak_3121_lociStitched	chr12	53853952	53869625	4	8783	10304.9975	3487.2425	44	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.24230000000000002	44	1
2_MACS_peak_1100_lociStitched	chr1	203288955	203297810	2	8666	12367.7785	3435.74	45		BTG2,LOC730227,FMOD	BTG2	LOC730227	0.3515	45	1
5_MACS_peak_14022_lociStitched	chr9	112904770	112924942	5	8636	12357.3672	4913.8992	46	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.0907	46	1
6_MACS_peak_8713_lociStitched	chr3	30683947	30703321	6	8569	10874.6262	4109.2254	47	TGFBR2		TGFBR2	TGFBR2	0.0834	47	1
3_MACS_peak_11810_lociStitched	chr6	90059539	90068848	3	8553	8271.0465	2477.1249	48	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.21230000000000002	48	1
3_MACS_peak_5077_lociStitched	chr17	4268153	4281207	3	8542	9928.8724	2668.2376	49	UBE2G1		UBE2G1	UBE2G1	0.014500000000000013	49	1
3_MACS_peak_8343_lociStitched	chr22	23226596	23240978	3	8521	11412.117	2974.1976	50	IGLL5		IGLL5	IGLL5	0.5128	50	1
4_MACS_peak_3975_lociStitched	chr14	91829961	91843281	4	8479	8803.188	2073.924	51	CCDC88C		CCDC88C	CCDC88C	0.1164	51	1
1_MACS_peak_3404_lociStitched	chr12	109022980	109031457	1	8478	11762.6852	2882.18	52	SELPLG	TMEM119	SELPLG	SELPLG	0.6323	52	1
4_MACS_peak_5563_lociStitched	chr17	75079058	75092522	4	8370	9523.0872	3161.3472	53	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	0.2822	53	1
3_MACS_peak_4187_lociStitched	chr15	40388649	40401967	3	8364	10569.1648	3377.4448	54	BMF		BMF	BMF	0.2701	54	1
3_MACS_peak_8385_lociStitched	chr22	29185925	29199236	3	8349	11466.0954	3024.2592	55	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	0.5395	55	1
3_MACS_peak_2886_lociStitched	chr12	12866626	12880283	3	8295	9436.987	3373.279	56	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	0.4091	56	1
3_MACS_peak_5293_lociStitched	chr17	38470651	38483399	3	8259	12890.7776	3102.8632	57	RARA	CDC6,RARA,GJD3	RARA	RARA	0.15990000000000001	57	1
5_MACS_peak_2734_lociStitched	chr11	128588298	128605316	5	8259	11798.5794	4618.6852	58	FLI1		FLI1	FLI1	0.07780000000000001	58	1
2_MACS_peak_8635_lociStitched	chr3	13050356	13059078	2	8252	9581.117	2664.571	59	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.04440000000000001	59	1
3_MACS_peak_5242_lociStitched	chr17	34409699	34421171	3	8202	15170.5728	2793.432	60	CCL3	CCL18,CCL4	CCL3	CCL3	1.0017	60	1
4_MACS_peak_2949_lociStitched	chr12	26265969	26279997	4	8156	10492.944	3588.3624	61	BHLHE41		BHLHE41	BHLHE41	0.3479	61	1
5_MACS_peak_7794_lociStitched	chr20	25261892	25280965	5	8152	9710.0643	3337.775	62	PYGB,ABHD12		PYGB	PYGB	0.11630000000000001	62	1
2_MACS_peak_5936_lociStitched	chr18	60822135	60830863	2	8100	12561.3376	2497.9536	63	BCL2		BCL2	BCL2	0.0925	63	1
2_MACS_peak_1098_lociStitched	chr1	203267640	203278416	2	8007	9535.6824	4168.1568	64	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.3515	64	1
4_MACS_peak_573_lociStitched	chr1	118196552	118207728	4	8005	11176	1781.4544	65		FAM46C	FAM46C	FAM46C	0.27190000000000003	65	1
3_MACS_peak_11455_lociStitched	chr6	25403910	25414813	3	7996	12674.7375	3338.4986	66	LRRC16A		LRRC16A	LRRC16A	0.04999999999999999	66	1
4_MACS_peak_9173_lociStitched	chr3	129027255	129037324	4	7956	8886.8994	2644.1194	67	C3orf47,H1FX	C3orf37	C3orf47	C3orf47	0.1662	67	1
4_MACS_peak_9540_lociStitched	chr3	196358259	196370910	4	7937	7909.4052	3686.5014	68	LRRC33		LRRC33	LRRC33	0.09639999999999999	68	1
6_MACS_peak_12123_lociStitched	chr6	157977807	157999379	6	7909	10002.9364	2411.7496	69	ZDHHC14	MIR3692	MIR3692	MIR3692	0.008799999999999995	69	1
4_MACS_peak_6909_lociStitched	chr2	97191308	97205550	4	7898	10116.0926	2936.7004	70	ARID5A	NEURL3	ARID5A	ARID5A	0.2237	70	1
2_MACS_peak_1131_lociStitched	chr1	206728390	206737435	2	7895	8675.964	3425.3415	71	RASSF5	LGTN	RASSF5	RASSF5	0.07939999999999997	71	1
2_MACS_peak_7329_lociStitched	chr2	182168564	182179737	2	7877	9928.3278	3214.4721	72			ITGA4	ITGA4	NONE	72	1
3_MACS_peak_6046_lociStitched	chr19	2618177	2632167	3	7830	10016.84	4188.606	73	GNG7		GNG7	GNG7	0.12440000000000001	73	1
2_MACS_peak_675_lociStitched	chr1	149821514	149834232	2	7824	9126.4368	3912.0568	74	HIST2H2AA4,HIST2H3A,HIST2H2BC,HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	0.39490000000000003	74	1
2_MACS_peak_4875_lociStitched	chr16	56963914	56974220	2	7802	8915.7206	2716.6616	75	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	0.34330000000000005	75	1
3_MACS_peak_9398_lociStitched	chr3	176912744	176920813	3	7786	7001.4713	2591.7628	76	TBL1XR1		TBL1XR1	TBL1XR1	0.08200000000000002	76	1
3_MACS_peak_743_lociStitched	chr1	154923541	154935396	3	7776	7052.5395	3746.18	77	PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK	PBXIP1	PBXIP1	0.2843	77	1
4_MACS_peak_8996_lociStitched	chr3	98479511	98495246	4	7743	10617.978	3375.1575	78	ST3GAL6		ST3GAL6	ST3GAL6	0.14419999999999997	78	1
4_MACS_peak_8274_lociStitched	chr21	45194749	45210156	4	7722	9458.3573	4434.1346	79	RRP1,CSTB	LOC284837	CSTB	CSTB	0.12200000000000003	79	1
4_MACS_peak_5687_lociStitched	chr18	9060930	9074423	4	7719	12184.179	3236.9707	80		NDUFV2	NDUFV2	NDUFV2	0.19440000000000002	80	1
3_MACS_peak_4422_lociStitched	chr15	75069239	75082949	3	7697	7891.476	3629.037	81	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	0.17579999999999998	81	1
2_MACS_peak_686_lociStitched	chr1	150532149	150541295	2	7681	11682.1858	3937.353	82	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	0.1668	82	1
4_MACS_peak_5607_lociStitched	chr17	76763592	76776877	4	7662	7369.1895	2738.0385	83	CYTH1		CYTH1	CYTH1	0.1463	83	1
3_MACS_peak_10762_lociStitched	chr5	88176982	88185879	3	7585	5511.6915	2164.6401	84	MEF2C		MEF2C	MEF2C	0.09260000000000002	84	1
2_MACS_peak_11367_lociStitched	chr6	11828086	11836915	2	7539	16511.9958	2396.1906	85		C6orf105	C6orf105	C6orf105	0.05610000000000001	85	1
2_MACS_peak_673_lociStitched	chr1	149802725	149815484	2	7532	8927.4723	3689.9028	86	HIST2H4B,HIST2H3A,HIST2H2AA4	FCGR1A,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	HIST2H2AB	0.39490000000000003	86	1
4_MACS_peak_8188_lociStitched	chr21	36589479	36608380	4	7526	15194.5139	5176.9839	87			RUNX1	RUNX1	0.05160000000000001	87	1
2_MACS_peak_1271_lociStitched	chr1	226840527	226852041	2	7517	10460.469	4269.3912	88	ITPKB		ITPKB	ITPKB	0.07919999999999999	88	1
4_MACS_peak_13340_lociStitched	chr8	81046365	81060351	4	7476	9418.1724	3065.7312	89	TPD52		TPD52	TPD52	0.09410000000000002	89	1
4_MACS_peak_2227_lociStitched	chr11	22687793	22702670	4	7396	9564.4233	3012.5925	90	GAS2	FANCF	GAS2	GAS2	0.06589999999999999	90	1
2_MACS_peak_629_lociStitched	chr1	145187821	145197473	2	7364	11328.5524	5797.9564	91		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.04849999999999999	91	1
2_MACS_peak_101_lociStitched	chr1	17221165	17233188	2	7364	12039.8322	5070.0991	92		CROCC	CROCC	NONE	NONE	92	1
2_MACS_peak_10325_lociStitched	chr4	185201627	185210653	2	7347	7966.3476	2708.7026	93			ENPP6	NONE	NONE	93	1
2_MACS_peak_2048_lociStitched	chr10	125823033	125832524	2	7254	5780.9681	2092.7655	94	CHST15		CHST15	CHST15	0.08979999999999999	94	1
4_MACS_peak_9716_lociStitched	chr4	38307638	38322116	4	7238	8995.1814	3526.8408	95			KLF3	KLF3	NONE	95	1
3_MACS_peak_824_lociStitched	chr1	161145190	161156730	3	7219	9031.204	3897.058	96	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	B4GALT3	0.19230000000000003	96	1
4_MACS_peak_13498_lociStitched	chr8	126441477	126449908	4	7209	6513.7906	1799.1754	97	TRIB1		TRIB1	TRIB1	0.2734	97	1
2_MACS_peak_5569_lociStitched	chr17	75135932	75144363	2	7187	8785.9451	2538.5741	98	SEC14L1	SEC14L1	SEC14L1	SEC14L1	0.14489999999999997	98	1
2_MACS_peak_4694_lociStitched	chr16	12056691	12064871	2	7122	7371.816	2411.464	99	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	TNFRSF17	0.39490000000000003	99	1
2_MACS_peak_7435_lociStitched	chr2	202116587	202126930	2	7113	8962.2095	2600.2302	100	CASP8		CASP8	CASP8	0.13940000000000002	100	1
4_MACS_peak_8388_lociStitched	chr22	29207544	29226018	4	7101	10319.5764	3552.5502	101		CCDC117,XBP1	XBP1	XBP1	0.5395	101	1
3_MACS_peak_6236_lociStitched	chr19	35695637	35706015	3	7094	10654.0548	2265.5174	102		FXYD5,LSR,FAM187B	FAM187B	LSR	0.0387	102	1
1_MACS_peak_9196_lociStitched	chr3	133192906	133199972	1	7067	8137.9122	1969.2942	103	BFSP2		BFSP2	BFSP2	0.1364	103	1
3_MACS_peak_2467_lociStitched	chr11	71414473	71426506	3	6996	8039.2473	3064.8051	104			FAM86C	FAM86C	NONE	104	1
4_MACS_peak_10599_lociStitched	chr5	55437942	55453380	4	6957	13991.4594	3601.6854	105	ANKRD55		ANKRD55	ANKRD55	0.07719999999999999	105	1
3_MACS_peak_1993_lociStitched	chr10	112256916	112264717	3	6948	6123.0049	2217.0442	106	DUSP5		DUSP5	DUSP5	0.1962	106	1
2_MACS_peak_570_lociStitched	chr1	118166009	118177783	2	6945	7246.897	1873.2434	107	FAM46C		FAM46C	FAM46C	0.27190000000000003	107	1
1_MACS_peak_1718_lociStitched	chr10	63804655	63811593	1	6939	6770.1004	1790.004	108	ARID5B		ARID5B	ARID5B	0.06490000000000001	108	1
4_MACS_peak_8468_lociStitched	chr22	38782600	38793772	4	6934	6571.3704	2224.3452	109	LOC400927	KCNJ4	LOC400927	LOC400927	0.11199999999999999	109	1
3_MACS_peak_6770_lociStitched	chr2	65159251	65174264	3	6921	10153.2919	4053.51	110	LOC400958	SLC1A4	LOC400958	LOC400958	0.1276	110	1
3_MACS_peak_1967_lociStitched	chr10	105257577	105268133	3	6909	11662.2688	2561.9412	111	NEURL	CALHM2,CALHM1,CALHM3	NEURL	NEURL	0.09889999999999999	111	1
4_MACS_peak_7526_lociStitched	chr2	219743900	219762101	4	6892	11772.4068	4324.5576	112	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	0.3425	112	1
3_MACS_peak_4128_lociStitched	chr15	31547333	31559751	3	6879	12047.9436	3052.3444	113			KLF13	KLF13	0.17439999999999997	113	1
2_MACS_peak_1126_lociStitched	chr1	206287058	206294608	2	6863	12526.205	3124.19	114	C1orf186	CTSE	C1orf186	C1orf186	0.1896	114	1
1_MACS_peak_605_lociStitched	chr1	143461935	143468729	1	6795	8926.6366	3088.5524	115			LOC100130000	LOC100130000	NONE	115	1
2_MACS_peak_8357_lociStitched	chr22	24180530	24191096	2	6782	8954.685	2785.1976	116	DERL3	SLC2A11,MIF	DERL3	DERL3	0.07780000000000001	116	1
2_MACS_peak_6491_lociStitched	chr2	20405921	20414646	2	6763	7571.555	2380.18	117	SDC1		SDC1	SDC1	0.22749999999999998	117	1
4_MACS_peak_9924_lociStitched	chr4	84133025	84143976	4	6722	11315.6683	2766.2226	118			COQ2	COQ2	NONE	118	1
4_MACS_peak_5472_lociStitched	chr17	62197678	62209957	4	6720	7174.6197	2960.4669	119	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.2166	119	1
2_MACS_peak_3274_lociStitched	chr12	89738476	89749093	2	6711	7193.0175	2716.8903	120	DUSP6		DUSP6	DUSP6	0.31639999999999996	120	1
4_MACS_peak_6986_lociStitched	chr2	109823563	109842305	4	6705	8825.6078	3639.6964	121	SH3RF3		MIR4265	MIR4265	NONE	121	1
4_MACS_peak_4417_lociStitched	chr15	74832466	74845929	4	6692	8061.6444	2714.1408	122	ARID3B		ARID3B	ARID3B	0.06720000000000001	122	1
3_MACS_peak_602_lociStitched	chr1	143442290	143451384	3	6686	6264.8566	2563.5986	123			LOC100130000	LOC100130000	NONE	123	1
1_MACS_peak_1028_lociStitched	chr1	192543890	192550548	1	6659	9324.529	2601.9464	124	RGS1		RGS1	RGS1	0.5355	124	1
2_MACS_peak_2614_lociStitched	chr11	111241196	111250882	2	6649	7673.2492	2461.2126	125	POU2AF1		POU2AF1	POU2AF1	0.17220000000000002	125	1
3_MACS_peak_9516_lociStitched	chr3	193848290	193857888	3	6646	8858.954	2568.4248	126	HES1		HES1	HES1	0.5004	126	1
5_MACS_peak_4954_lociStitched	chr16	70827396	70850354	5	6632	7626.6476	4036.0164	127	VAC14,HYDIN	LOC100130894	VAC14	VAC14	0.021900000000000003	127	1
3_MACS_peak_11495_lociStitched	chr6	27791308	27807459	3	6622	7539.2868	3275.4228	128	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	HIST1H3H	0.2645	128	1
3_MACS_peak_2366_lociStitched	chr11	60672817	60683708	3	6621	7672.7095	2581.167	129	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	TMEM109	0.189	129	1
4_MACS_peak_3477_lociStitched	chr12	125398591	125406473	4	6604	5652.1822	1217.769	130	UBC		UBC	UBC	0.2787	130	1
2_MACS_peak_3373_lociStitched	chr12	102871835	102878937	2	6586	7332.815	1551.787	131	IGF1		IGF1	IGF1	0.0658	131	1
3_MACS_peak_6625_lociStitched	chr2	42344762	42357690	3	6556	7818.8544	2893.2864	132		EML4	EML4	EML4	0.005699999999999997	132	1
3_MACS_peak_10506_lociStitched	chr5	32530751	32543737	3	6542	10044.671	2937.4332	133		SUB1	SUB1	SUB1	0.17409999999999998	133	1
2_MACS_peak_14158_lociStitched	chr9	132646600	132657589	2	6523	7242.8499	2302.1955	134	FNBP1	USP20,C9orf78	USP20	C9orf78	0.028200000000000003	134	1
3_MACS_peak_7385_lociStitched	chr2	197033480	197044148	3	6517	10261.5492	2629.662	135	STK17B		STK17B	STK17B	0.1942	135	1
4_MACS_peak_3467_lociStitched	chr12	123371463	123386878	4	6491	8142.203	2255.2145	136	VPS37B		VPS37B	VPS37B	0.1986	136	1
1_MACS_peak_8068_lociStitched	chr21	9962954	9969436	1	6483	8219.176	2896.8058	137	LOC100132288		LOC100132288	LOC100132288	0.11880000000000002	137	1
2_MACS_peak_8798_lociStitched	chr3	46246089	46256006	2	6444	7073.7961	2715.2746	138	CCR1	CCR3	CCR1	CCR1	0.2364	138	1
4_MACS_peak_6114_lociStitched	chr19	11199675	11207589	4	6437	5163.0936	1961.8806	139	LDLR		LDLR	LDLR	0.07100000000000001	139	1
1_MACS_peak_810_lociStitched	chr1	160708534	160714963	1	6430	4648.8099	2536.2405	140	SLAMF7	CD48	SLAMF7	CD48	0.1542	140	1
2_MACS_peak_3143_lociStitched	chr12	57076717	57083258	2	6428	4667.0035	1648.332	141	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	NACA	0.1448	141	1
2_MACS_peak_12743_lociStitched	chr7	114561905	114573460	2	6420	7191.832	3237.711	142	MDFIC		MDFIC	MDFIC	0.0985	142	1
4_MACS_peak_6166_lociStitched	chr19	16545519	16561339	4	6413	9397.08	3005.8	143	EPS15L1	C19orf44,CALR3	EPS15L1	EPS15L1	0.09410000000000002	143	1
1_MACS_peak_7877_lociStitched	chr20	37498943	37505346	1	6404	10020.0547	1737.7742	144	PPP1R16B	FAM83D	FAM83D	FAM83D	0.01390000000000001	144	1
4_MACS_peak_13903_lociStitched	chr9	94181094	94192510	4	6365	6759.4136	2447.5904	145	NFIL3		NFIL3	NFIL3	0.1538	145	1
1_MACS_peak_727_lociStitched	chr1	154375261	154381611	1	6351	5742.94	2597.785	146	IL6R		IL6R	IL6R	0.09020000000000003	146	1
3_MACS_peak_1473_lociStitched	chr10	11202847	11210072	3	6345	4354.5075	1681.98	147	CELF2		CELF2	CELF2	0.1712	147	1
2_MACS_peak_808_lociStitched	chr1	160676739	160683316	2	6337	5265.5462	2569.6339	148	CD48	SLAMF7	CD48	CD48	0.1542	148	1
3_MACS_peak_9412_lociStitched	chr3	178230982	178240863	3	6330	10629.9798	3124.3722	149		KCNMB2	KCNMB2	NONE	NONE	149	1
2_MACS_peak_1123_lociStitched	chr1	206132382	206139795	2	6318	4301.0226	2443.3248	150	FAM72A		FAM72A	FAM72A	0.03740000000000002	150	1
2_MACS_peak_5468_lociStitched	chr17	62150458	62160602	2	6310	10196.7488	2662.8	151	ERN1		ERN1	ERN1	0.2166	151	1
2_MACS_peak_9552_lociStitched	chr3	197456547	197464904	2	6283	7070.022	2532.171	152	KIAA0226	FYTTD1	KIAA0226	KIAA0226	0.11069999999999999	152	1
3_MACS_peak_10958_lociStitched	chr5	130709574	130718540	3	6264	6562.2154	2047.8344	153	CDC42SE2		CDC42SE2	CDC42SE2	0.04769999999999999	153	1
3_MACS_peak_1056_lociStitched	chr1	197740163	197748533	3	6260	6578.82	2889.324	154	DENND1B		DENND1B	DENND1B	0.0194	154	1
4_MACS_peak_1817_lociStitched	chr10	81003329	81015644	4	6239	5694.456	2575.0665	155	ZMIZ1		PPIF	PPIF	NONE	155	1
3_MACS_peak_12840_lociStitched	chr7	134670590	134682267	3	6233	9987.3381	3463.3982	156	AGBL3		AGBL3	AGBL3	0.0373	156	1
2_MACS_peak_3401_lociStitched	chr12	108955896	108963404	2	6213	7752.7608	2393.5504	157	ISCU	FICD,SART3,TMEM119	ISCU	ISCU	0.3925	157	1
2_MACS_peak_759_lociStitched	chr1	155940082	155950595	2	6212	6064.9497	3019.3336	158	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	0.2913	158	1
