#34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_ROSE/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam
#Using cutoff of 3322.6445 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isStretch
5_MACS_peak_10975_lociStitched	chr5	131745981	131763968	5	11457	13495.6461	4633.4512	20	1
3_MACS_peak_1110_lociStitched	chr1	204474736	204491755	3	11454	17206.209	5505.6465	21	1
2_MACS_peak_6580_lociStitched	chr2	37541743	37553320	2	11449	7549.3617	2882.673	22	1
3_MACS_peak_1338_lociStitched	chr1	234734176	234749946	3	11119	14013.222	5369.685	23	1
3_MACS_peak_6257_lociStitched	chr19	39891786	39903862	3	11046	9712.7268	2679.6644	24	1
3_MACS_peak_4682_lociStitched	chr16	11771702	11783851	3	11031	11421.2749	2958.2815	25	1
4_MACS_peak_5601_lociStitched	chr17	76712633	76726313	4	10995	10556.856	3242.16	26	1
2_MACS_peak_8346_lociStitched	chr22	23269925	23285598	2	10587	28507.6197	4521.6605	27	1
3_MACS_peak_9966_lociStitched	chr4	90209774	90221487	3	10585	10652.9735	3116.8293	28	1
6_MACS_peak_13488_lociStitched	chr8	126285248	126308119	6	10195	15193.2053	5120.8169	29	1
4_MACS_peak_2827_lociStitched	chr12	7052118	7069295	4	10137	11604.7812	3866.5427	30	1
4_MACS_peak_11468_lociStitched	chr6	26187835	26206711	4	9952	9908.0124	3941.3088	31	1
4_MACS_peak_10758_lociStitched	chr5	88114053	88129840	4	9670	11121.9415	3589.9638	32	1
4_MACS_peak_6461_lociStitched	chr2	11883725	11895122	4	9635	10073.8083	2937.0069	33	1
3_MACS_peak_6171_lociStitched	chr19	16694442	16711260	3	9627	12884.2698	4127.1372	34	1
2_MACS_peak_7428_lociStitched	chr2	201980387	201992567	2	9553	11540.55	3331.23	35	1
3_MACS_peak_6582_lociStitched	chr2	37570367	37584072	3	9422	11368.2975	3375.5415	36	1
5_MACS_peak_6155_lociStitched	chr19	16244636	16267755	5	9420	16943.9151	5134.7299	37	1
3_MACS_peak_10980_lociStitched	chr5	131790888	131804069	3	9269	11807.5398	3768.4479	38	1
2_MACS_peak_12980_lociStitched	chr8	2029487	2041269	2	9223	14407.0296	2873.6298	39	1
4_MACS_peak_1480_lociStitched	chr10	11286613	11304446	4	9195	14269.9666	3614.7491	40	1
3_MACS_peak_11889_lociStitched	chr6	108879321	108889957	3	9153	7088.894	2354.8104	41	1
2_MACS_peak_1295_lociStitched	chr1	228744116	228753304	2	9028	4983.5712	3921.4384	42	1
2_MACS_peak_3749_lociStitched	chr13	114557123	114566621	2	8849	7337.205	2651.8416	43	1
4_MACS_peak_3121_lociStitched	chr12	53853952	53869625	4	8783	10304.9975	3487.2425	44	1
2_MACS_peak_1100_lociStitched	chr1	203288955	203297810	2	8666	12367.7785	3435.74	45	1
5_MACS_peak_14022_lociStitched	chr9	112904770	112924942	5	8636	12357.3672	4913.8992	46	1
6_MACS_peak_8713_lociStitched	chr3	30683947	30703321	6	8569	10874.6262	4109.2254	47	1
3_MACS_peak_11810_lociStitched	chr6	90059539	90068848	3	8553	8271.0465	2477.1249	48	1
3_MACS_peak_5077_lociStitched	chr17	4268153	4281207	3	8542	9928.8724	2668.2376	49	1
3_MACS_peak_8343_lociStitched	chr22	23226596	23240978	3	8521	11412.117	2974.1976	50	1
4_MACS_peak_3975_lociStitched	chr14	91829961	91843281	4	8479	8803.188	2073.924	51	1
1_MACS_peak_3404_lociStitched	chr12	109022980	109031457	1	8478	11762.6852	2882.18	52	1
4_MACS_peak_5563_lociStitched	chr17	75079058	75092522	4	8370	9523.0872	3161.3472	53	1
3_MACS_peak_4187_lociStitched	chr15	40388649	40401967	3	8364	10569.1648	3377.4448	54	1
3_MACS_peak_8385_lociStitched	chr22	29185925	29199236	3	8349	11466.0954	3024.2592	55	1
3_MACS_peak_2886_lociStitched	chr12	12866626	12880283	3	8295	9436.987	3373.279	56	1
3_MACS_peak_5293_lociStitched	chr17	38470651	38483399	3	8259	12890.7776	3102.8632	57	1
5_MACS_peak_2734_lociStitched	chr11	128588298	128605316	5	8259	11798.5794	4618.6852	58	1
2_MACS_peak_8635_lociStitched	chr3	13050356	13059078	2	8252	9581.117	2664.571	59	1
3_MACS_peak_5242_lociStitched	chr17	34409699	34421171	3	8202	15170.5728	2793.432	60	1
4_MACS_peak_2949_lociStitched	chr12	26265969	26279997	4	8156	10492.944	3588.3624	61	1
5_MACS_peak_7794_lociStitched	chr20	25261892	25280965	5	8152	9710.0643	3337.775	62	1
2_MACS_peak_5936_lociStitched	chr18	60822135	60830863	2	8100	12561.3376	2497.9536	63	1
2_MACS_peak_1098_lociStitched	chr1	203267640	203278416	2	8007	9535.6824	4168.1568	64	1
4_MACS_peak_573_lociStitched	chr1	118196552	118207728	4	8005	11176	1781.4544	65	1
3_MACS_peak_11455_lociStitched	chr6	25403910	25414813	3	7996	12674.7375	3338.4986	66	1
4_MACS_peak_9173_lociStitched	chr3	129027255	129037324	4	7956	8886.8994	2644.1194	67	1
4_MACS_peak_9540_lociStitched	chr3	196358259	196370910	4	7937	7909.4052	3686.5014	68	1
6_MACS_peak_12123_lociStitched	chr6	157977807	157999379	6	7909	10002.9364	2411.7496	69	1
4_MACS_peak_6909_lociStitched	chr2	97191308	97205550	4	7898	10116.0926	2936.7004	70	1
2_MACS_peak_1131_lociStitched	chr1	206728390	206737435	2	7895	8675.964	3425.3415	71	1
2_MACS_peak_7329_lociStitched	chr2	182168564	182179737	2	7877	9928.3278	3214.4721	72	1
3_MACS_peak_6046_lociStitched	chr19	2618177	2632167	3	7830	10016.84	4188.606	73	1
2_MACS_peak_675_lociStitched	chr1	149821514	149834232	2	7824	9126.4368	3912.0568	74	1
2_MACS_peak_4875_lociStitched	chr16	56963914	56974220	2	7802	8915.7206	2716.6616	75	1
3_MACS_peak_9398_lociStitched	chr3	176912744	176920813	3	7786	7001.4713	2591.7628	76	1
3_MACS_peak_743_lociStitched	chr1	154923541	154935396	3	7776	7052.5395	3746.18	77	1
4_MACS_peak_8996_lociStitched	chr3	98479511	98495246	4	7743	10617.978	3375.1575	78	1
4_MACS_peak_8274_lociStitched	chr21	45194749	45210156	4	7722	9458.3573	4434.1346	79	1
4_MACS_peak_5687_lociStitched	chr18	9060930	9074423	4	7719	12184.179	3236.9707	80	1
3_MACS_peak_4422_lociStitched	chr15	75069239	75082949	3	7697	7891.476	3629.037	81	1
2_MACS_peak_686_lociStitched	chr1	150532149	150541295	2	7681	11682.1858	3937.353	82	1
4_MACS_peak_5607_lociStitched	chr17	76763592	76776877	4	7662	7369.1895	2738.0385	83	1
3_MACS_peak_10762_lociStitched	chr5	88176982	88185879	3	7585	5511.6915	2164.6401	84	1
2_MACS_peak_11367_lociStitched	chr6	11828086	11836915	2	7539	16511.9958	2396.1906	85	1
2_MACS_peak_673_lociStitched	chr1	149802725	149815484	2	7532	8927.4723	3689.9028	86	1
4_MACS_peak_8188_lociStitched	chr21	36589479	36608380	4	7526	15194.5139	5176.9839	87	1
2_MACS_peak_1271_lociStitched	chr1	226840527	226852041	2	7517	10460.469	4269.3912	88	1
4_MACS_peak_13340_lociStitched	chr8	81046365	81060351	4	7476	9418.1724	3065.7312	89	1
4_MACS_peak_2227_lociStitched	chr11	22687793	22702670	4	7396	9564.4233	3012.5925	90	1
2_MACS_peak_629_lociStitched	chr1	145187821	145197473	2	7364	11328.5524	5797.9564	91	1
2_MACS_peak_101_lociStitched	chr1	17221165	17233188	2	7364	12039.8322	5070.0991	92	1
2_MACS_peak_10325_lociStitched	chr4	185201627	185210653	2	7347	7966.3476	2708.7026	93	1
2_MACS_peak_2048_lociStitched	chr10	125823033	125832524	2	7254	5780.9681	2092.7655	94	1
4_MACS_peak_9716_lociStitched	chr4	38307638	38322116	4	7238	8995.1814	3526.8408	95	1
3_MACS_peak_824_lociStitched	chr1	161145190	161156730	3	7219	9031.204	3897.058	96	1
4_MACS_peak_13498_lociStitched	chr8	126441477	126449908	4	7209	6513.7906	1799.1754	97	1
2_MACS_peak_5569_lociStitched	chr17	75135932	75144363	2	7187	8785.9451	2538.5741	98	1
2_MACS_peak_4694_lociStitched	chr16	12056691	12064871	2	7122	7371.816	2411.464	99	1
2_MACS_peak_7435_lociStitched	chr2	202116587	202126930	2	7113	8962.2095	2600.2302	100	1
4_MACS_peak_8388_lociStitched	chr22	29207544	29226018	4	7101	10319.5764	3552.5502	101	1
3_MACS_peak_6236_lociStitched	chr19	35695637	35706015	3	7094	10654.0548	2265.5174	102	1
1_MACS_peak_9196_lociStitched	chr3	133192906	133199972	1	7067	8137.9122	1969.2942	103	1
3_MACS_peak_2467_lociStitched	chr11	71414473	71426506	3	6996	8039.2473	3064.8051	104	1
4_MACS_peak_10599_lociStitched	chr5	55437942	55453380	4	6957	13991.4594	3601.6854	105	1
3_MACS_peak_1993_lociStitched	chr10	112256916	112264717	3	6948	6123.0049	2217.0442	106	1
2_MACS_peak_570_lociStitched	chr1	118166009	118177783	2	6945	7246.897	1873.2434	107	1
1_MACS_peak_1718_lociStitched	chr10	63804655	63811593	1	6939	6770.1004	1790.004	108	1
4_MACS_peak_8468_lociStitched	chr22	38782600	38793772	4	6934	6571.3704	2224.3452	109	1
3_MACS_peak_6770_lociStitched	chr2	65159251	65174264	3	6921	10153.2919	4053.51	110	1
3_MACS_peak_1967_lociStitched	chr10	105257577	105268133	3	6909	11662.2688	2561.9412	111	1
4_MACS_peak_7526_lociStitched	chr2	219743900	219762101	4	6892	11772.4068	4324.5576	112	1
3_MACS_peak_4128_lociStitched	chr15	31547333	31559751	3	6879	12047.9436	3052.3444	113	1
2_MACS_peak_1126_lociStitched	chr1	206287058	206294608	2	6863	12526.205	3124.19	114	1
1_MACS_peak_605_lociStitched	chr1	143461935	143468729	1	6795	8926.6366	3088.5524	115	1
2_MACS_peak_8357_lociStitched	chr22	24180530	24191096	2	6782	8954.685	2785.1976	116	1
2_MACS_peak_6491_lociStitched	chr2	20405921	20414646	2	6763	7571.555	2380.18	117	1
4_MACS_peak_9924_lociStitched	chr4	84133025	84143976	4	6722	11315.6683	2766.2226	118	1
4_MACS_peak_5472_lociStitched	chr17	62197678	62209957	4	6720	7174.6197	2960.4669	119	1
2_MACS_peak_3274_lociStitched	chr12	89738476	89749093	2	6711	7193.0175	2716.8903	120	1
4_MACS_peak_6986_lociStitched	chr2	109823563	109842305	4	6705	8825.6078	3639.6964	121	1
4_MACS_peak_4417_lociStitched	chr15	74832466	74845929	4	6692	8061.6444	2714.1408	122	1
3_MACS_peak_602_lociStitched	chr1	143442290	143451384	3	6686	6264.8566	2563.5986	123	1
1_MACS_peak_1028_lociStitched	chr1	192543890	192550548	1	6659	9324.529	2601.9464	124	1
2_MACS_peak_2614_lociStitched	chr11	111241196	111250882	2	6649	7673.2492	2461.2126	125	1
3_MACS_peak_9516_lociStitched	chr3	193848290	193857888	3	6646	8858.954	2568.4248	126	1
5_MACS_peak_4954_lociStitched	chr16	70827396	70850354	5	6632	7626.6476	4036.0164	127	1
3_MACS_peak_11495_lociStitched	chr6	27791308	27807459	3	6622	7539.2868	3275.4228	128	1
3_MACS_peak_2366_lociStitched	chr11	60672817	60683708	3	6621	7672.7095	2581.167	129	1
4_MACS_peak_3477_lociStitched	chr12	125398591	125406473	4	6604	5652.1822	1217.769	130	1
2_MACS_peak_3373_lociStitched	chr12	102871835	102878937	2	6586	7332.815	1551.787	131	1
3_MACS_peak_6625_lociStitched	chr2	42344762	42357690	3	6556	7818.8544	2893.2864	132	1
3_MACS_peak_10506_lociStitched	chr5	32530751	32543737	3	6542	10044.671	2937.4332	133	1
2_MACS_peak_14158_lociStitched	chr9	132646600	132657589	2	6523	7242.8499	2302.1955	134	1
3_MACS_peak_7385_lociStitched	chr2	197033480	197044148	3	6517	10261.5492	2629.662	135	1
4_MACS_peak_3467_lociStitched	chr12	123371463	123386878	4	6491	8142.203	2255.2145	136	1
1_MACS_peak_8068_lociStitched	chr21	9962954	9969436	1	6483	8219.176	2896.8058	137	1
2_MACS_peak_8798_lociStitched	chr3	46246089	46256006	2	6444	7073.7961	2715.2746	138	1
4_MACS_peak_6114_lociStitched	chr19	11199675	11207589	4	6437	5163.0936	1961.8806	139	1
1_MACS_peak_810_lociStitched	chr1	160708534	160714963	1	6430	4648.8099	2536.2405	140	1
2_MACS_peak_3143_lociStitched	chr12	57076717	57083258	2	6428	4667.0035	1648.332	141	1
2_MACS_peak_12743_lociStitched	chr7	114561905	114573460	2	6420	7191.832	3237.711	142	1
4_MACS_peak_6166_lociStitched	chr19	16545519	16561339	4	6413	9397.08	3005.8	143	1
1_MACS_peak_7877_lociStitched	chr20	37498943	37505346	1	6404	10020.0547	1737.7742	144	1
4_MACS_peak_13903_lociStitched	chr9	94181094	94192510	4	6365	6759.4136	2447.5904	145	1
1_MACS_peak_727_lociStitched	chr1	154375261	154381611	1	6351	5742.94	2597.785	146	1
3_MACS_peak_1473_lociStitched	chr10	11202847	11210072	3	6345	4354.5075	1681.98	147	1
2_MACS_peak_808_lociStitched	chr1	160676739	160683316	2	6337	5265.5462	2569.6339	148	1
3_MACS_peak_9412_lociStitched	chr3	178230982	178240863	3	6330	10629.9798	3124.3722	149	1
2_MACS_peak_1123_lociStitched	chr1	206132382	206139795	2	6318	4301.0226	2443.3248	150	1
2_MACS_peak_5468_lociStitched	chr17	62150458	62160602	2	6310	10196.7488	2662.8	151	1
2_MACS_peak_9552_lociStitched	chr3	197456547	197464904	2	6283	7070.022	2532.171	152	1
3_MACS_peak_10958_lociStitched	chr5	130709574	130718540	3	6264	6562.2154	2047.8344	153	1
3_MACS_peak_1056_lociStitched	chr1	197740163	197748533	3	6260	6578.82	2889.324	154	1
4_MACS_peak_1817_lociStitched	chr10	81003329	81015644	4	6239	5694.456	2575.0665	155	1
3_MACS_peak_12840_lociStitched	chr7	134670590	134682267	3	6233	9987.3381	3463.3982	156	1
2_MACS_peak_3401_lociStitched	chr12	108955896	108963404	2	6213	7752.7608	2393.5504	157	1
2_MACS_peak_759_lociStitched	chr1	155940082	155950595	2	6212	6064.9497	3019.3336	158	1
3_MACS_peak_6753_lociStitched	chr2	64430741	64442835	3	6203	8203.3602	2666.727	159	1
1_MACS_peak_9481_lociStitched	chr3	186713321	186719497	1	6177	7397.6128	2640.24	160	1
3_MACS_peak_6633_lociStitched	chr2	43444445	43457163	3	6172	7788.5032	3033.243	161	1
2_MACS_peak_9143_lociStitched	chr3	124502505	124511377	2	6170	8175.548	2068.0632	162	1
2_MACS_peak_741_lociStitched	chr1	154908279	154917684	2	6168	10518.552	3875.8005	163	1
3_MACS_peak_399_lociStitched	chr1	66736494	66750084	3	6167	9521.154	3166.47	164	1
3_MACS_peak_8350_lociStitched	chr22	23478349	23488130	3	6147	5898.9211	2262.3453	165	1
1_MACS_peak_1118_lociStitched	chr1	205252297	205258426	1	6130	11059.7805	2371.3101	166	1
4_MACS_peak_7447_lociStitched	chr2	204548425	204562536	4	6124	6484.0045	3348.5403	167	1
1_MACS_peak_1476_lociStitched	chr10	11217100	11223200	1	6101	10964.14	2086.81	168	1
4_MACS_peak_11892_lociStitched	chr6	108902183	108920354	4	6075	11584.0125	3543.345	169	1
1_MACS_peak_10787_lociStitched	chr5	90675135	90681206	1	6072	5741.3447	1691.9877	170	1
2_MACS_peak_8227_lociStitched	chr21	41325189	41331874	2	6070	5005.0595	2367.1585	171	1
2_MACS_peak_12668_lociStitched	chr7	102064141	102074156	2	6050	6931.3815	2658.9825	172	1
4_MACS_peak_11231_lociStitched	chr5	175077458	175085348	4	6048	5537.991	1773.672	173	1
3_MACS_peak_3062_lociStitched	chr12	46776428	46785253	3	6010	4920.82	1817.0675	174	1
2_MACS_peak_9403_lociStitched	chr3	177069170	177078997	2	6006	12911.6953	3333.3184	175	1
3_MACS_peak_1957_lociStitched	chr10	104531543	104542624	3	6005	8177.778	2570.792	176	1
4_MACS_peak_4335_lociStitched	chr15	63765864	63779911	4	5957	6989.7872	3159.1703	177	1
2_MACS_peak_4291_lociStitched	chr15	52969477	52976975	2	5939	4197.3804	1717.042	178	1
3_MACS_peak_11492_lociStitched	chr6	27775156	27783474	3	5933	4814.4584	2260.8324	179	1
3_MACS_peak_14374_lociStitched	chrX	58150324	58159484	3	5933	6501.768	817.072	180	1
3_MACS_peak_12463_lociStitched	chr7	55570419	55585535	3	5929	8650.8868	2988.4332	181	1
2_MACS_peak_6032_lociStitched	chr19	2255115	2261198	2	5918	5172.9832	1907.0205	182	1
3_MACS_peak_11630_lociStitched	chr6	45387831	45394836	3	5916	4835.5515	1337.955	183	1
4_MACS_peak_8599_lociStitched	chr3	5233188	5241655	4	5896	6443.387	1966.0374	184	1
3_MACS_peak_4923_lociStitched	chr16	68285077	68299147	3	5890	7461.321	2977.212	185	1
2_MACS_peak_6040_lociStitched	chr19	2474177	2480070	2	5879	5004.9249	1736.6671	186	1
1_MACS_peak_12823_lociStitched	chr7	130790808	130796680	1	5873	6716.9808	1943.0448	187	1
1_MACS_peak_1987_lociStitched	chr10	112113019	112118841	1	5823	13224.673	1970.1648	188	1
2_MACS_peak_14138_lociStitched	chr9	130538250	130549484	2	5820	5319.299	2100.758	189	1
2_MACS_peak_11899_lociStitched	chr6	108989014	108995444	2	5816	7566.824	1332.939	190	1
3_MACS_peak_11364_lociStitched	chr6	11722202	11733235	3	5815	6516.0898	2359.9587	191	1
3_MACS_peak_162_lociStitched	chr1	27018376	27030179	3	5784	7877.3222	2442.0407	192	1
1_MACS_peak_10181_lociStitched	chr4	144275772	144281547	1	5776	9744.735	1588.125	193	1
1_MACS_peak_4534_lociStitched	chr15	90638123	90643859	1	5737	6579.7656	1829.784	194	1
3_MACS_peak_11282_lociStitched	chr6	390987	400748	3	5727	5528.6304	2160.1093	195	1
3_MACS_peak_9825_lociStitched	chr4	71543298	71554767	3	5705	8554.7271	2439.4563	196	1
3_MACS_peak_5577_lociStitched	chr17	75315013	75329289	3	5705	5584.7712	2362.678	197	1
4_MACS_peak_3237_lociStitched	chr12	77454052	77465011	4	5664	6897.5946	2162.2107	198	1
1_MACS_peak_9482_lociStitched	chr3	186779983	186785612	1	5630	6933.2393	2232.4614	199	1
3_MACS_peak_612_lociStitched	chr1	143991938	144001519	3	5630	6845.6245	2363.6327	200	1
2_MACS_peak_11907_lociStitched	chr6	109216475	109227349	2	5628	9239.6378	2508.6318	201	1
3_MACS_peak_4429_lociStitched	chr15	75353226	75362696	3	5624	5828.785	2063.513	202	1
2_MACS_peak_12303_lociStitched	chr7	26002658	26009339	2	5620	10003.4613	1968.2226	203	1
2_MACS_peak_12708_lociStitched	chr7	106504744	106513640	2	5585	6270.7904	3035.3152	204	1
2_MACS_peak_5142_lociStitched	chr17	16872524	16880118	2	5583	5151.7696	1935.7106	205	1
3_MACS_peak_11870_lociStitched	chr6	106545139	106555687	3	5555	7643.0808	2634.8904	206	1
2_MACS_peak_1032_lociStitched	chr1	192774715	192781289	2	5543	6180.2174	2603.9614	207	1
2_MACS_peak_2338_lociStitched	chr11	58340767	58346523	2	5516	6428.3008	1685.9324	208	1
3_MACS_peak_4192_lociStitched	chr15	40834907	40843785	3	5506	7977.7708	2131.6078	209	1
2_MACS_peak_2640_lociStitched	chr11	115367747	115376377	2	5492	4112.195	1635.385	210	1
3_MACS_peak_9879_lociStitched	chr4	78736485	78743754	3	5474	4109.1657	1444.3503	211	1
3_MACS_peak_7032_lociStitched	chr2	112456016	112464705	3	5474	14495.8587	2556.3038	212	1
3_MACS_peak_2744_lociStitched	chr11	129238184	129247267	3	5469	4339.8574	1901.0719	213	1
3_MACS_peak_12607_lociStitched	chr7	92438249	92445303	3	5461	7345.3302	1704.9518	214	1
1_MACS_peak_11550_lociStitched	chr6	32935541	32940992	1	5452	5163.1872	1513.1976	215	1
3_MACS_peak_9170_lociStitched	chr3	128994924	129002357	3	5435	5913.6948	1655.3291	216	1
3_MACS_peak_1712_lociStitched	chr10	63656502	63665231	3	5404	4939.7411	1938.7109	217	1
2_MACS_peak_10615_lociStitched	chr5	56467400	56472845	2	5403	4465.989	1050.3405	218	1
2_MACS_peak_591_lociStitched	chr1	120833047	120839425	2	5403	3204.3072	1585.5708	219	1
3_MACS_peak_2212_lociStitched	chr11	19451662	19457726	3	5399	5091.3344	1569.9696	220	1
1_MACS_peak_8026_lociStitched	chr20	56253147	56258544	1	5398	4613.8953	1513.8585	221	1
2_MACS_peak_2634_lociStitched	chr11	115091597	115101548	2	5397	11071.4826	2399.1861	222	1
2_MACS_peak_627_lociStitched	chr1	145152719	145160925	2	5396	9278.5242	3649.2082	223	1
2_MACS_peak_182_lociStitched	chr1	28570871	28577080	2	5388	4764.7866	1802.4727	224	1
2_MACS_peak_12680_lociStitched	chr7	104578882	104586599	2	5384	13650.6013	2098.2523	225	1
2_MACS_peak_13104_lociStitched	chr8	26428466	26435996	2	5379	7063.14	1853.133	226	1
1_MACS_peak_1097_lociStitched	chr1	203255492	203260850	1	5359	10805.4786	2339.3028	227	1
3_MACS_peak_5362_lociStitched	chr17	46528275	46535273	3	5354	5456.3406	1697.015	228	1
3_MACS_peak_12402_lociStitched	chr7	44668921	44679480	3	5348	8394.405	2728.4456	229	1
1_MACS_peak_4757_lociStitched	chr16	23344906	23350232	1	5327	10102.3568	1716.0372	230	1
4_MACS_peak_2868_lociStitched	chr12	11902447	11912649	4	5327	5487.6558	2161.8038	231	1
1_MACS_peak_12466_lociStitched	chr7	55598964	55604286	1	5323	15857.9634	1762.6464	232	1
1_MACS_peak_633_lociStitched	chr1	145394917	145400225	1	5309	5501.2112	2141.2472	233	1
4_MACS_peak_10025_lociStitched	chr4	105407673	105416978	4	5302	6079.887	1907.525	234	1
2_MACS_peak_5277_lociStitched	chr17	37909830	37915164	2	5298	7675.626	1536.192	235	1
4_MACS_peak_3931_lociStitched	chr14	77490105	77507415	4	5294	5347.059	1836.591	236	1
3_MACS_peak_3764_lociStitched	chr13	115039748	115048340	3	5284	5791.008	1927.1856	237	1
1_MACS_peak_3756_lociStitched	chr13	114829323	114834602	1	5280	7705.7563	1444.8623	238	1
3_MACS_peak_4688_lociStitched	chr16	11821306	11829252	3	5279	5045.71	1837.9098	239	1
2_MACS_peak_11873_lociStitched	chr6	106588620	106595254	2	5274	5574.5502	1915.2358	240	1
3_MACS_peak_7512_lociStitched	chr2	217080898	217088512	3	5272	5830.0398	2019.2328	241	1
2_MACS_peak_8282_lociStitched	chr21	45572740	45580318	2	5267	9575.5608	2272.6422	242	1
3_MACS_peak_6667_lociStitched	chr2	46795381	46804707	3	5266	4853.2504	2162.6994	243	1
3_MACS_peak_9577_lociStitched	chr4	3042081	3050161	3	5257	5201.096	1582.872	244	1
1_MACS_peak_706_lociStitched	chr1	152006726	152011976	1	5251	5048.4	1864.8	245	1
3_MACS_peak_13115_lociStitched	chr8	28195378	28206574	3	5245	5903.6508	2105.9676	246	1
2_MACS_peak_10425_lociStitched	chr5	6480077	6486487	2	5231	6086.295	1565.322	247	1
1_MACS_peak_2809_lociStitched	chr12	4378275	4383501	1	5227	4470.3204	1061.9232	248	1
3_MACS_peak_5891_lociStitched	chr18	52930920	52936726	3	5225	6863.2726	1335.38	249	1
4_MACS_peak_4750_lociStitched	chr16	22206488	22217898	4	5214	5385.52	2504.495	250	1
2_MACS_peak_6053_lociStitched	chr19	3984044	3991019	2	5205	5175.45	2428.695	251	1
3_MACS_peak_8164_lociStitched	chr21	34746257	34756971	3	5204	6768.0338	2927.0648	252	1
3_MACS_peak_5854_lociStitched	chr18	46459784	46469625	3	5200	4769.9327	2101.0535	253	1
2_MACS_peak_636_lociStitched	chr1	145449784	145456727	2	5189	8118.4499	2735.542	254	1
3_MACS_peak_8184_lociStitched	chr21	36420307	36430575	3	5184	6978.1328	2741.556	255	1
2_MACS_peak_8250_lociStitched	chr21	43647506	43655675	2	5171	7477.0857	2735.7981	256	1
1_MACS_peak_5245_lociStitched	chr17	34426959	34432128	1	5170	5091.465	1872.2118	257	1
3_MACS_peak_9497_lociStitched	chr3	191007666	191019593	3	5167	6799.5827	3174.9674	258	1
2_MACS_peak_2281_lociStitched	chr11	35160121	35168349	2	5164	5738.2072	2364.7272	259	1
1_MACS_peak_10401_lociStitched	chr5	1312436	1317594	1	5159	12784.103	1827.9952	260	1
2_MACS_peak_11662_lociStitched	chr6	52393193	52403043	2	5153	9193.99	2548.195	261	1
