GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_207196	chr1(.):155018761-155040252	0.227
NM_018655	chr1(.):154961061-154971791	0.2199
NM_001143687	chr1(.):155001281-155028406	0.2051
NR_024163	chr1(.):154942117-154956725	0.3466
NM_144622	chr1(.):154986002-155011257	0.1813
NM_138300	chr1(.):154924501-154939258	0.2746
NR_036212	chr1(.):154943168-154953259	0.3701
NM_001162384	chr1(.):155911629-155953336	0.2437
NM_181885	chr1(.):155906479-155917625	0.2904
NM_004723	chr1(.):155911629-155952966	0.2438
NM_014949	chr1(.):155877835-155909188	0.2044
NR_003005	chr1(.):155890748-155900877	0.1857
NM_003145	chr1(.):155973838-155995758	0.2218
NM_198406	chr1(.):156208208-156222792	0.158
NM_014655	chr1(.):156158729-156187587	0.2232
NM_007221	chr1(.):156177783-156214833	0.2305
NM_022367	chr1(.):156118321-156152542	0.2567
NM_001193302	chr1(.):156118368-156152542	0.2568
NM_199173	chr1(.):156206950-156218112	0.1547
NM_024897	chr1(.):156208206-156222843	0.1581
NM_001193301	chr1(.):156114734-156152542	0.2608
NM_005920	chr1(.):156428518-156475529	0.2461
NR_001560	chr1(.):157093153-157103463	0.173
NM_005240	chr1(.):157097975-157113177	0.2226
NM_001145312	chr1(.):157089458-157113383	0.1964
NM_031281	chr1(.):157478166-157527310	0.2182
NM_001778	chr1(.):160643535-160686585	0.2479
NM_003037	chr1(.):160574890-160622081	0.2093
NM_021181	chr1(.):160704076-160729601	0.255
NM_001039711	chr1(.):161085768-161107478	0.2305
NM_016406	chr1(.):161118533-161133646	0.2271
NM_004550	chr1(.):161164104-161189184	0.2422
NM_000309	chr1(.):161131180-161146010	0.2368
NM_001643	chr1(.):161187082-161198418	0.2845
NM_001185094	chr1(.):161082907-161095984	0.2184
NM_003779	chr1(.):161136100-161152314	0.2577
NM_012475	chr1(.):161124253-161140516	0.2392
NM_001039712	chr1(.):161085768-161107256	0.2314
NM_005600	chr1(.):161082861-161095984	0.2179
NM_001185093	chr1(.):161082906-161095984	0.2184
NM_032174	chr1(.):161190832-161205407	0.2247
NM_001166159	chr1(.):161166936-161189184	0.2413
NM_005099	chr1(.):161154537-161173845	0.283
NM_004106	chr1(.):161180086-161194038	0.2299
NM_001127593	chr1(.):161506550-161525413	0.1953
NM_001127592	chr1(.):161506550-161524818	0.1942
NM_201563	chr1(.):161546128-161575032	0.1005
NM_002155	chr1(.):161489035-161501687	0.1975
NM_001146191	chr1(.):167686186-167766156	0.1636
NM_022371	chr1(.):179046111-179070129	0.2351
NM_015602	chr1(.):179846419-179894211	0.1896
NM_002922	chr1(.):192539856-192554159	0.3032
NM_002923	chr1(.):192773168-192786407	0.319
NM_001195216	chr1(.):197698138-197749623	0.2028
NR_034150	chr1(.):203262885-203279453	0.3402
NM_006763	chr1(.):203269663-203283729	0.3335
NM_002023	chr1(.):203304751-203325289	0.2181
NM_002646	chr1(.):204386757-204464474	0.1681
NM_002393	chr1(.):204480510-204532248	0.2222
NM_014858	chr1(.):205192037-205247471	0.2169
NM_030952	chr1(.):205266190-205295883	0.2103
NM_001123168	chr1(.):206133910-206160074	0.1878
NM_001007544	chr1(.):206233871-206293647	0.2177
NM_148964	chr1(.):206312458-206337104	0.1529
NM_006893	chr1(.):206759973-206790904	0.1913
NM_182665	chr1(.):206725491-206767616	0.2637
NR_026817	chr1(.):207986723-208000941	0.2537
NR_029832	chr1(.):207970196-207980284	0.2209
NR_029518	chr1(.):207970787-207980868	0.2418
NM_152485	chr1(.):209950661-209962890	0.2101
NM_005525	chr1(.):209873190-209913295	0.1672
NM_025228	chr1(.):209924393-209960668	0.2406
NM_021194	chr1(.):211743380-211757099	0.2711
NM_153606	chr1(.):212792788-212805120	0.2062
NM_001030287	chr1(.):212733696-212799116	0.2027
NM_001674	chr1(.):212776993-212799116	0.2353
NM_001146170	chr1(.):212960169-212995167	0.1751
NM_001042549	chr1(.):212894494-212970139	0.1897
NR_029711	chr1(.):220286498-220296583	0.174
NR_029628	chr1(.):220286194-220296304	0.1823
NM_018060	chr1(.):220262454-220326383	0.1682
NM_006085	chr1(.):220225823-220268191	0.1669
NM_001136018	chr1(.):225992796-226038262	0.1833
NM_000120	chr1(.):226008001-226038262	0.1913
NM_020997	chr1(.):226068981-226081836	0.1855
NM_014698	chr1(.):226028232-226075420	0.2296
NM_001172425	chr1(.):226119297-226134083	0.2503
NM_013328	chr1(.):226102579-226116965	0.2117
NM_181441	chr1(.):228289379-228302013	0.2493
NR_037415	chr1(.):228279963-228290042	0.1751
NM_001024227	chr1(.):228265850-228291913	0.2418
NM_001024226	chr1(.):228265360-228291913	0.2378
NM_024319	chr1(.):228283427-228296022	0.2026
NM_001159390	chr1(.):228322928-228341655	0.1649
NR_002834	chr1(.):228775656-228793159	0.2394
NM_005646	chr1(.):234522058-234619849	0.1615
NM_182972	chr1(.):234735014-234750271	0.334
NR_033927	chr1(.):234760056-234775526	0.1817
NM_173858	chr1(.):247414373-247425447	0.1188
NR_037480	chr1(.):247360268-247370362	0.1511
NM_030645	chr1(.):249099650-249125154	0.2472
NM_024836	chr1(.):249127529-249148714	0.2032
NM_001136036	chr1(.):249139202-249158125	0.2064
NM_001193328	chr1(.):249139202-249158315	0.2063
NR_036070	chr1(.):249115575-249125642	0.3051
NM_134421	chr2(.):10438825-10572743	0.1311
NM_002149	chr2(.):10438039-10572743	0.1315
NM_020458	chr2(.):47163312-47308275	0.1406
NR_033872	chr2(.):70184394-70319147	0.1193
NM_145693	chr2(.):11881739-11972533	0.1415
NM_170672	chr2(.):33656415-33794798	0.1317
NM_005813	chr2(.):37472645-37549222	0.1792
NM_019024	chr2(.):37203152-37316485	0.1126
NM_138801	chr2(.):38888051-38966909	0.1419
NM_005633	chr2(.):39203689-39352604	0.1196
NM_012249	chr2(.):46764866-46816827	0.1623
NM_022893	chr2(.):60679328-60785633	0.1133
NM_018014	chr2(.):60673301-60785633	0.113
NR_036586	chr2(.):65123973-65164581	0.1815
NM_014911	chr2(.):69680126-69875977	0.1181
NM_004836	chr2(.):88851258-88932094	0.1398
NM_004027	chr2(.):99056320-99212496	0.1801
NM_001566	chr2(.):99056320-99203284	0.1832
NM_001184939	chr2(.):120765603-120869492	0.0949
NM_001184938	chr2(.):120765784-120869492	0.0947
NM_020909	chr2(.):120765603-120941697	0.0948
NM_203463	chr2(.):169307834-169636152	0.1178
NM_001077269	chr2(.):175419301-175552627	0.1356
NR_024415	chr2(.):192537797-192558248	0.1804
NM_001031716	chr2(.):192537860-192558248	0.1809
NM_004226	chr2(.):196993306-197041336	0.1827
NM_001228	chr2(.):202093165-202157434	0.1725
NM_003879	chr2(.):201975889-202034003	0.1725
NM_001127184	chr2(.):201975815-202011323	0.183
NM_173822	chr2(.):201833440-201941392	0.1194
NM_033358	chr2(.):202093165-202151638	0.179
NM_001037160	chr2(.):10191925-10225538	0.1022
NM_182626	chr2(.):10276508-10356856	0.1029
NM_001165931	chr2(.):10257694-10276546	0.195
NM_001034	chr2(.):10257862-10276546	0.1962
NM_002539	chr2(.):10575507-10593453	0.1661
NR_028374	chr2(.):10581839-10591975	0.1678
NM_002997	chr2(.):20395557-20429927	0.1864
NM_001006946	chr2(.):20395557-20430194	0.1854
NM_178553	chr2(.):27354714-27367332	0.1415
NM_001166239	chr2(.):27318461-27346773	0.1158
NM_001166240	chr2(.):27317220-27346995	0.1158
NM_013388	chr2(.):27348624-27362542	0.1433
NM_001166241	chr2(.):27317220-27338970	0.1129
NM_032604	chr2(.):27341656-27358680	0.1558
NM_175769	chr2(.):27366944-27380819	0.1459
NM_080592	chr2(.):27429898-27445046	0.1631
NM_001170795	chr2(.):27430218-27445046	0.1622
NM_004341	chr2(.):27435257-27471654	0.1198
NM_021095	chr2(.):27417454-27440175	0.1502
NM_015376	chr2(.):33733941-33794798	0.1184
NM_001139488	chr2(.):33696320-33794798	0.1407
NM_174931	chr2(.):37306593-37328738	0.1612
NM_012413	chr2(.):37566752-37605465	0.2136
NM_138370	chr2(.):42270160-42290668	0.1078
NM_006887	chr2(.):43444540-43458745	0.2283
NR_027251	chr2(.):43449349-43460994	0.171
NM_080653	chr2(.):46733985-46752096	0.1135
NM_173074	chr2(.):46803412-46849251	0.1361
NM_014171	chr2(.):46839324-46857881	0.1272
NM_001171508	chr2(.):47124008-47173994	0.133
NM_001193493	chr2(.):65210578-65256000	0.1496
NM_003038	chr2(.):65211494-65256000	0.1488
NM_181784	chr2(.):65532984-65664656	0.1384
NM_006196	chr2(.):70309584-70321334	0.2133
NR_024444	chr2(.):70346167-70357448	0.1667
NM_015425	chr2(.):86248450-86338278	0.149
NR_026984	chr2(.):86242338-86255991	0.1239
NR_026875	chr2(.):97158382-97178846	0.1182
NM_212481	chr2(.):97197463-97223371	0.1875
NM_006538	chr2(.):111873490-111931022	0.1466
NM_207002	chr2(.):111873490-111891423	0.1595
NM_006186	chr2(.):157175943-157194287	0.127
NM_004288	chr2(.):158266130-158305604	0.1885
NM_003387	chr2(.):175419301-175504307	0.1463
NM_002491	chr2(.):201931461-201955473	0.1368
NM_001127183	chr2(.):201978386-202033841	0.1725
NM_033356	chr2(.):202120222-202157434	0.1637
NM_001080125	chr2(.):202117753-202157434	0.1624
NM_006139	chr2(.):204566197-204607557	0.2066
NM_017431	chr2(.):219682105-219701512	0.0954
NM_025216	chr2(.):219740254-219763651	0.2281
NM_006522	chr2(.):219719545-219743954	0.117
NM_001099285	chr2(.):232568234-232583250	0.0996
NR_036052	chr2(.):232573023-232583105	0.098
NM_014674	chr3(.):5224358-5266650	0.1956
NM_002941	chr3(.):78641387-79822059	0.0881
NM_016128	chr3(.):128963452-129001616	0.1463
NM_003571	chr3(.):133113789-133199056	0.1475
NM_001135095	chr3(.):171753343-172123492	0.1892
NM_022763	chr3(.):171752417-172123492	0.1896
NM_181361	chr3(.):178249223-178567217	0.1648
NM_001134382	chr3(.):12933718-13119617	0.1224
NM_014869	chr3(.):12933718-13013960	0.0946
NM_001024847	chr3(.):30642993-30740633	0.1466
NM_001123396	chr3(.):46390234-46405868	0.1983
NM_181042	chr3(.):52574367-52718739	0.1099
NM_018313	chr3(.):52574367-52724866	0.1137
NM_133631	chr3(.):78641387-79073609	0.0914
NM_001627	chr3(.):105080712-105300744	0.0926
NM_001009899	chr3(.):113362232-113420493	0.1137
NM_001690	chr3(.):113460865-113535905	0.1262
NM_001134422	chr3(.):133287433-133314118	0.1692
NM_001134423	chr3(.):133288300-133314118	0.1703
NM_006506	chr3(.):141200925-141336197	0.1278
NM_001080412	chr3(.):141038054-141173632	0.1947
NR_021485	chr3(.):167962309-168553374	0.1517
NM_024665	chr3(.):176733541-176920048	0.2108
NM_005832	chr3(.):178271617-178567217	0.1641
NM_016331	chr3(.):179036550-179058320	0.2
NM_130446	chr3(.):183200318-183278499	0.2924
NM_181573	chr3(.):186502681-186529484	0.2323
NM_002916	chr3(.):186502681-186529290	0.2338
NM_173216	chr3(.):186643314-186801341	0.2179
NM_003032	chr3(.):186734664-186801341	0.2285
NR_034062	chr3(.):187415153-187455203	0.1542
NM_174908	chr3(.):191041873-191121459	0.1796
NM_005524	chr3(.):193848933-193861396	0.2515
NM_003670	chr3(.):5016096-5031865	0.1595
NM_001295	chr3(.):46238199-46254832	0.2012
NM_001837	chr3(.):46278871-46313197	0.1279
NM_003965	chr3(.):46443720-46456014	0.1317
NM_001100168	chr3(.):46406632-46422697	0.1636
NM_001130910	chr3(.):46444048-46456014	0.1311
NM_001010983	chr3(.):52723503-52745048	0.1783
NM_206825	chr3(.):52714935-52733510	0.1775
NR_003687	chr3(.):52719753-52729846	0.1782
NM_014041	chr3(.):52734856-52747197	0.1929
NR_003057	chr3(.):52721751-52731828	0.1698
NM_152932	chr3(.):52723503-52742622	0.1751
NR_003047	chr3(.):52718255-52728331	0.1715
NM_001193533	chr3(.):52739795-52809965	0.1283
NM_006100	chr3(.):98446571-98518236	0.1756
NM_025146	chr3(.):113432840-113470096	0.1461
NR_031687	chr3(.):125504246-125514395	0.1366
NM_020187	chr3(.):128992683-129029135	0.1554
NM_001006109	chr3(.):128992816-129029135	0.1546
NM_006026	chr3(.):129028613-129040120	0.2323
NR_026991	chr3(.):129030113-129048412	0.1994
NM_173657	chr3(.):155475400-155529055	0.1521
NM_001190992	chr3(.):155539300-155577248	0.1631
NM_003875	chr3(.):155583324-155660520	0.156
NR_034008	chr3(.):156802669-156823924	0.3308
NR_034007	chr3(.):156794455-156845791	0.2488
NM_020307	chr3(.):156860585-156883482	0.2507
NM_018657	chr3(.):169485852-169512504	0.1802
NM_032487	chr3(.):169479710-169492683	0.2722
NM_001172780	chr3(.):169508428-169535574	0.1949
NM_001080460	chr3(.):169534709-169560560	0.1752
NR_001566	chr3(.):169477397-169487848	0.2503
NM_001185119	chr3(.):169487052-169512504	0.1796
NM_014373	chr3(.):169750734-169808183	0.216
NM_020390	chr3(.):170601203-170631426	0.1411
NM_001099645	chr3(.):170577664-170593045	0.207
NM_001163677	chr3(.):178952536-178989838	0.1479
NM_033540	chr3(.):179060479-179116008	0.1518
NM_004593	chr3(.):185627357-185660924	0.2285
NR_033752	chr3(.):185681266-185702578	0.1509
NM_001134415	chr3(.):186258855-186293332	0.1988
NM_001622	chr3(.):186325849-186344107	0.2216
NM_017541	chr3(.):186251231-186267167	0.1984
NM_018138	chr3(.):186258855-186290141	0.2032
NM_016306	chr3(.):186283466-186308589	0.2091
NR_002989	chr3(.):186499463-186509641	0.3347
NM_001967	chr3(.):186496360-186512685	0.2756
NR_031650	chr3(.):186499460-186509566	0.3355
NR_002588	chr3(.):186500401-186510538	0.3281
NR_002587	chr3(.):186497584-186507654	0.3144
NR_002586	chr3(.):186500087-186510222	0.3317
NM_001004312	chr3(.):187411046-187425345	0.1418
NM_001706	chr3(.):187434164-187468513	0.1837
NM_001134738	chr3(.):187434164-187457695	0.1673
NM_001130845	chr3(.):187434164-187459285	0.1757
NM_198152	chr3(.):190979943-191053325	0.1886
NM_005781	chr3(.):195585235-195640880	0.17
NM_001010938	chr3(.):195585235-195627432	0.1517
NM_198565	chr3(.):196361655-196393874	0.1977
NM_014687	chr3(.):197393258-197468773	0.2073
NM_001145642	chr3(.):197393313-197481568	0.2098
NR_027840	chr3(.):197472260-197516317	0.1805
NM_032288	chr3(.):197471623-197516317	0.1801
NM_001011537	chr3(.):197471423-197516317	0.1797
NM_002111	chr4(.):3071407-3250687	0.1031
NM_198281	chr4(.):90160428-90234161	0.1788
NM_001008388	chr4(.):103785134-103818963	0.1171
NM_004310	chr4(.):40193526-40251281	0.176
NM_001136570	chr4(.):77167852-77209929	0.1255
NM_001166693	chr4(.):87851153-88067206	0.1253
NM_014278	chr4(.):128698452-128759526	0.1113
NM_024900	chr4(.):129725778-129790787	0.1455
NM_199320	chr4(.):129725778-129801379	0.143
NM_018717	chr4(.):140632545-141080233	0.1119
NM_002039	chr4(.):144252982-144400718	0.1509
NM_153343	chr4(.):185004858-185144114	0.1004
NM_002199	chr4(.):185303875-185400726	0.1816
NM_001775	chr4(.):15774930-15855706	0.1213
NM_017581	chr4(.):40332468-40361973	0.1037
NM_003943	chr4(.):77222676-77237283	0.1617
NM_152545	chr4(.):82343218-82398061	0.1398
NM_144645	chr4(.):87792357-87818575	0.103
NR_002799	chr4(.):100866635-100878620	0.1854
NM_002106	chr4(.):100864243-100876512	0.187
NM_001031723	chr4(.):100815709-100872879	0.1221
NM_021970	chr4(.):100794494-100820703	0.1494
NM_181891	chr4(.):103712132-103753708	0.1499
NM_181890	chr4(.):103712132-103795032	0.1355
NM_181892	chr4(.):103712132-103753340	0.1509
NM_003340	chr4(.):103712132-103754105	0.1494
NM_181893	chr4(.):103712132-103795003	0.1355
NM_181889	chr4(.):103712132-103754307	0.1491
NM_025212	chr4(.):105388342-105417467	0.1406
NM_031291	chr4(.):128646554-128700447	0.13
NM_152680	chr4(.):153542265-153606317	0.1546
NR_028085	chr4(.):186315693-186352139	0.1801
NM_018409	chr4(.):186280031-186305152	0.1148
NM_181726	chr4(.):186312839-186326390	0.187
NM_001114357	chr4(.):186345544-186375821	0.1253
NM_002372	chr5(.):109020155-109208429	0.1457
NM_001131005	chr5(.):88009057-88204922	0.1455
NM_002397	chr5(.):88009057-88184283	0.149
NM_001193349	chr5(.):88009057-88124744	0.14
NM_001131055	chr5(.):175080039-175118245	0.1188
NM_152756	chr5(.):38933021-39079501	0.1056
NM_001178055	chr5(.):49956732-50147356	0.0905
NM_024615	chr5(.):49957771-50147356	0.0908
NM_024669	chr5(.):55390506-55534186	0.1484
NM_022913	chr5(.):56464774-56565506	0.1198
NM_001127235	chr5(.):56466274-56565506	0.1195
NM_001992	chr5(.):76006867-76036595	0.1456
NM_006633	chr5(.):75694148-76008957	0.1164
NR_015436	chr5(.):87831596-87985620	0.1068
NR_027435	chr5(.):90671163-90721532	0.1322
NM_001077654	chr5(.):118599417-118735294	0.1396
NM_003060	chr5(.):131700400-131736306	0.129
NM_004045	chr5(.):151117382-151143210	0.1579
NM_005990	chr5(.):171464073-171620346	0.116
NM_022455	chr5(.):176555832-176732214	0.1177
NM_172349	chr5(.):176555079-176732214	0.1177
NM_002406	chr5(.):180212540-180235048	0.1403
NM_001114619	chr5(.):180212540-180235902	0.1415
NM_001114618	chr5(.):180212540-180241817	0.1454
NM_001114617	chr5(.):180212540-180242137	0.1438
NM_001193376	chr5(.):1248286-1300162	0.0951
NM_030782	chr5(.):1312999-1350002	0.2038
NM_001145161	chr5(.):6443735-6501834	0.1519
NM_006713	chr5(.):32580604-32609185	0.1653
NR_034127	chr5(.):43060288-43072073	0.171
NM_001014279	chr5(.):43034181-43045447	0.1907
NR_034085	chr5(.):43011149-43023913	0.1505
NR_015447	chr5(.):43037235-43050370	0.1616
NR_034086	chr5(.):43009830-43023913	0.1563
NM_002184	chr5(.):55225924-55295821	0.1543
NM_001127236	chr5(.):56504900-56565506	0.1133
NR_028375	chr5(.):76002762-76013686	0.1123
NR_036243	chr5(.):86405695-86415771	0.1653
NR_024384	chr5(.):87955262-87974146	0.1724
NR_024383	chr5(.):87955262-87979262	0.161
NR_030741	chr5(.):87957670-87967757	0.1532
NM_020801	chr5(.):90659540-90684149	0.1714
NR_033932	chr5(.):98100321-98113788	0.1429
NM_001012761	chr5(.):98099998-98137198	0.1155
NR_036052	chr5(.):118305280-118315362	0.0996
NM_014350	chr5(.):118686595-118735294	0.1256
NM_000588	chr5(.):131391346-131403896	0.135
NM_000758	chr5(.):131404484-131416859	0.1406
NR_037500	chr5(.):131696181-131706291	0.1146
NM_002198	chr5(.):131812300-131831465	0.1921
NM_001013717	chr5(.):131741672-131803059	0.2107
NM_000879	chr5(.):131872135-131884214	0.106
NM_017665	chr5(.):132327677-132367240	0.0998
NM_002154	chr5(.):132382661-132445709	0.1192
NM_016480	chr5(.):138672518-138710409	0.1175
NM_194296	chr5(.):138727455-138744776	0.1522
NM_152686	chr5(.):138740891-138780214	0.1474
NM_152685	chr5(.):138697884-138724039	0.1427
NM_001033112	chr5(.):138673133-138710409	0.1181
NM_001161546	chr5(.):138722634-138735885	0.1873
NM_016459	chr5(.):138718256-138730605	0.2374
NM_016463	chr5(.):139023300-139067680	0.123
NM_000024	chr5(.):148201155-148213197	0.2149
NM_005754	chr5(.):151146475-151189915	0.1187
NM_001195556	chr5(.):157207750-157291183	0.114
NM_001171183	chr5(.):171616175-171635458	0.0906
NM_004417	chr5(.):172190092-172203203	0.1707
NM_030627	chr5(.):173310330-173392313	0.1463
NM_022304	chr5(.):175103463-175116558	0.0983
NM_001031677	chr5(.):176723198-176735744	0.2105
NM_006816	chr5(.):176753562-176783885	0.1095
NM_031300	chr5(.):176729205-176744292	0.1656
NM_013237	chr5(.):176725834-176738950	0.2035
NR_027183	chr5(.):180251958-180267726	0.152
NM_152283	chr5(.):180269610-180293286	0.1066
NM_206880	chr5(.):180576942-180587890	0.1178
NM_006098	chr5(.):180658927-180675906	0.1759
NM_033342	chr5(.):180625119-180637177	0.135
NR_002591	chr5(.):180665313-180675376	0.2032
NR_002592	chr5(.):180663817-180673889	0.2115
NM_032765	chr5(.):180678385-180693119	0.147
NM_203297	chr5(.):180615923-180632930	0.1347
NM_203296	chr5(.):180615923-180636340	0.1452
NM_033549	chr5(.):180645305-180667808	0.1543
