GENE	H3k27me3_28_DMSO_compare_TSS_SIGNAL	H3k27me3_28_DMSO_compare_DISTAL_SIGNAL
AFAP1-AS1	0.0	78178.33340000005
AFG3L1P	0.0	9038.7641
AFMID	0.0	5384.2868
AGAP2	0.0	2531.2868
AGAP3	0.0	70766.82009999998
AGAP9	0.0	815.8430999999999
AGBL5	0.0	105.60000000000001
AGER	0.0	62238.36999999999
AGFG2	0.0	75590.34569999998
AGPAT1	0.0	63279.362199999996
AGPAT2	3417.8953	398672.15520000004
AGPAT3	0.0	30035.833
AGPAT5	0.0	764.8119999999999
AGPAT6	0.0	627.858
AGRN	2757.0867	233655.75490000012
AGRP	0.0	9298.0573
AGTRAP	0.0	82284.51570000002
AGXT	0.0	3030.0577000000003
AGXT2L2	0.0	4798.376299999999
AHCYL1	0.0	486.528
AHCYL2	0.0	0.0
AHDC1	0.0	462.308
AHNAK	208.7228	50.7011
AHNAK2	53.2125	27047.866799999993
AHRR	0.0	2408.8531000000003
AHSP	0.0	792.4504
AICDA	0.0	0.0
AIF1	0.0	7609.3712
AIF1L	4728.0488000000005	301104.2123
AIFM3	1096.0722	45167.18079999999
AIM1	2184.8498999999997	1531.369
AIM1L	0.0	8985.652600000001
AIM2	0.0	1400.7344
AIP	0.0	35395.160299999996
AIPL1	179.6067	39939.9491
AIRE	19444.2	164947.3753000001
AJAP1	90.3846	11078.733500000002
AK1	0.0	1089.2544
AKAP8	0.0	5686.8606
AKAP8L	0.0	9268.3827
AKIRIN1	0.0	0.0
AKR1D1	0.0	12621.5171
AKT1	0.0	39704.52939999999
AKT2	0.0	2291.4864000000002
ALDH16A1	0.0	137293.94220000002
ALDH1A3	211.8357	0.0
ALDH3A1	166.00480000000002	2428.8369000000002
ALDH3A2	0.0	2039.0433000000003
ALDH3B2	0.0	11707.379799999999
ALDH4A1	0.0	112200.97290000004
ALDOA	0.0	42267.85219999999
ALDOC	0.0	106238.9037
ALG1	0.0	45810.3457
ALG12	0.0	13815.3717
ALG1L2	0.0	1303.7952
ALG3	0.0	19432.2571
ALKBH3	0.0	2317.8023
ALKBH4	0.0	12986.773799999999
ALKBH5	0.0	253.0195
ALKBH6	0.0	23094.925199999998
ALKBH7	0.0	40509.54240000001
ALLC	0.0	1698.7493
ALMS1	0.0	2942.4633999999996
ALOX12	0.0	34629.539600000004
ALOX12B	6767.443200000001	128256.0677
ALOX15	4239.3621	79222.87729999998
ALOX15B	3099.544	129909.1502
ALOXE3	2235.532	116821.63780000001
ALPI	0.0	11548.705800000002
ALPL	3025.6496	141336.7772
ALPP	89.726	2362.1322
ALPPL2	0.0	9059.2043
ALS2CL	361.1	669.0715
ALX3	0.0	486.528
ALX4	1371.6574	25977.300499999998
AMAC1	0.0	399.03999999999996
AMAC1L3	0.0	59276.7745
AMBP	0.0	5687.8376
AMDHD2	0.0	5594.5584
AMFR	0.0	4501.2842
AMH	0.0	17247.538800000002
AMHR2	0.0	760.6445000000001
AMICA1	786.5109	38847.60010000001
AMIGO3	0.0	8113.5962
AMOTL2	0.0	5689.0815
AMPD3	1360.592	375.7761
AMZ1	3077.2092000000002	106178.8398
AMZ2	0.0	4250.9951
ANAPC11	0.0	59465.39240000002
ANAPC2	0.0	59114.35049999999
ANGPT4	122.5797	2782.6621
ANGPTL4	3715.8984	34421.48739999999
ANGPTL6	0.0	21232.903300000005
ANK1	0.0	627.858
ANKLE1	775.0911	28499.685100000006
ANKRD11	0.0	1716.7689
ANKRD13B	0.0	1139.2535
ANKRD13D	0.0	804.9027
ANKRD16	0.0	104.416
ANKRD2	0.0	492.552
ANKRD22	0.0	607.0049
ANKRD23	0.0	11086.706199999999
ANKRD24	934.0408	187787.60279999996
ANKRD30BL	0.0	18527.8134
ANKRD33	0.0	53760.1731
ANKRD34A	382.53120000000007	12648.112200000003
ANKRD35	1028.0372	11269.952400000002
ANKRD39	0.0	11252.9654
ANKRD40	0.0	46076.40049999999
ANKRD53	0.0	12761.129600000002
ANKRD54	0.0	16604.3915
ANKRD7	0.0	818.3614
ANKRD9	0.0	2718.87
ANKS3	0.0	437.59520000000003
ANKZF1	0.0	17647.867299999998
ANO1	1153.4992	242954.23450000005
ANO7	0.0	2342.0192
ANO8	0.0	31856.874200000006
ANO9	609.4817999999999	88416.01340000003
ANP32E	0.0	550.6510000000001
ANXA9	0.0	22.630100000000002
AOC2	0.0	14510.423999999999
AOC3	0.0	14510.423999999999
AP1B1	0.0	12845.710699999998
AP1M1	0.0	3468.812
AP1M2	0.0	18081.289900000003
AP1S1	118.8096	166073.16139999992
AP2A1	0.0	26104.2853
AP2A2	0.0	26712.998799999994
AP2M1	0.0	10000.383800000001
AP4M1	0.0	24263.090399999997
APBA3	0.0	256165.36270000003
APC2	4957.8	142483.83490000002
APCDD1L	0.0	41678.40340000001
APEH	0.0	8113.5962
APH1A	0.0	550.6510000000001
APLP1	2802.7162	122818.81419999996
APOA1BP	0.0	116922.09559999999
APOA2	0.0	0.0
APOB	0.0	224.3857
APOB48R	0.0	925.1614
APOBEC3G	0.0	214.872
APOBEC3H	0.0	214.872
APOC1	882.1345	152784.96770000004
APOC1P1	2402.2967999999996	136153.82730000003
APOC2	0.0	123529.07330000002
APOC4	0.0	123757.5539
APOD	0.0	17309.742400000003
APOE	1455.8	160059.61670000004
APOL6	0.0	6123.4331
APOM	0.0	7609.3712
APPL1	0.0	118.50800000000001
APRT	0.0	8096.5769
AQP12A	3895.2000000000003	45624.37509999999
AQP12B	229.2114	45624.37509999999
AQP2	0.0	33140.23499999999
AQP5	1438.7505999999998	34700.899699999994
AQP6	5420.0	34700.899699999994
ARAP1	0.0	17959.403700000003
ARAP3	0.0	2123.049
ARC	10560.2	251301.4118
ARCN1	0.0	12556.645100000003
ARF1	0.0	19998.4083
ARF3	0.0	22466.3721
ARFGAP1	0.0	420301.87820000015
ARFGAP2	0.0	1584.9671
ARFGAP3	0.0	1298.0536
ARFGEF1	0.0	1119.1891999999998
ARFIP2	0.0	1118.0069
ARFRP1	0.0	90336.89530000002
ARHGAP11A	0.0	320.0998
ARHGAP17	0.0	2725.2983
ARHGAP23	0.0	39266.5392
ARHGAP33	0.0	128771.39309999996
ARHGAP39	0.0	40117.8153
ARHGAP4	0.0	25865.71079999999
ARHGAP40	0.0	9437.766599999999
ARHGAP8	0.0	103425.77430000008
ARHGAP9	0.0	3667.9832
ARHGDIA	0.0	59465.39240000002
ARHGDIG	1563.7857	13748.9703
ARHGEF1	0.0	235428.71159999998
ARHGEF10	0.0	77697.5937
ARHGEF10L	2421.941	341210.70179999986
ARHGEF11	0.0	1254.6688
ARHGEF15	2436.6463999999996	14016.078000000001
ARHGEF16	3115.728	586348.4974
ARHGEF17	863.1189	0.0
ARHGEF18	0.0	62624.843400000005
ARHGEF19	0.0	148819.88960000005
ARHGEF2	0.0	8143.97
ARHGEF25	0.0	9170.577599999999
ARHGEF3	354.816	118.50800000000001
ARHGEF38	0.0	748.9038
ARHGEF40	321.25600000000003	245.0592
ARHGEF7	434.32640000000004	60.44800000000001
ARID3A	0.0	82336.81700000002
ARID3C	5132.4	113370.96689999998
ARL10	714.6018	0.0
ARL16	0.0	14758.3858
ARL2	0.0	343.8108
ARL4D	5047.2	20806.0485
ARL5C	0.0	22567.679699999997
ARL8A	0.0	47043.03240000001
ARMC5	0.0	6662.3881
ARMC7	0.0	1567.9047
ARMS2	0.0	1174.9047
ARPC4	0.0	367.302
ARPC5L	0.0	0.0
ARPP19	0.0	203.97150000000002
ARRB1	1565.1696	26698.123699999996
ARRB2	0.0	12126.8844
ARRDC1	0.0	2551.6336
ARRDC2	7918.101600000002	214625.24990000005
ARRDC5	0.0	5641.3627
ARSA	0.0	66655.0342
ARSG	0.0	4250.9951
ARSI	0.0	499.2555
ARSK	0.0	103.935
ART1	0.0	1598.2970999999998
ART5	0.0	1598.2970999999998
ARVCF	2079.1643	40486.99590000001
ARX	0.0	210.834
ASAP3	770.6988	6511.0568
ASB10	4280.322	108258.69860000002
ASB15	0.0	2223.8599999999997
ASB16	0.0	29065.6348
ASB6	176.98499999999999	253713.40000000008
ASB8	0.0	633.7987
ASCL2	45.448	291703.91150000005
ASCL3	0.0	0.0
ASF1B	0.0	119918.2432
ASGR1	6302.400000000001	126253.00850000001
ASGR2	1298.9461	122460.36090000001
ASNA1	0.0	18704.146099999998
ASPDH	0.0	151716.11620000008
ASPG	0.0	13558.632099999999
ASPHD1	2004.5352	13641.085299999997
ASPHD2	0.0	1683.3216
ASPSCR1	0.0	39309.672999999995
ASS1	783.4398000000001	209984.53860000003
ASTL	0.0	15868.0465
ATAD3A	0.0	91633.24950000002
ATAD3B	0.0	51709.5382
ATAD3C	3659.7879000000003	81640.85459999999
ATAD5	0.0	498.25169999999997
ATCAY	2203.3999999999996	372622.7938000002
ATF3	1005.042	965.0892
ATF4	0.0	58803.776500000014
ATF6B	0.0	200532.60609999992
ATF7	0.0	4219.117
ATG2A	0.0	1368.7908
ATG4B	0.0	7581.961800000001
ATG4D	0.0	18081.289900000003
ATG5	0.0	764.6496
ATG9A	0.0	17647.867299999998
ATG9B	0.0	36036.035
ATHL1	413.45300000000003	137229.26989999998
ATL3	0.0	698.0234
ATN1	0.0	12068.695700000002
ATOH8	1770.0	2592.7362
ATP13A2	0.0	100818.53000000004
ATP13A3	0.0	12152.9776
ATP1A2	0.0	3439.5735999999997
ATP1A3	1852.5492	227737.5967
ATP1A4	0.0	3439.5735999999997
ATP1B2	5965.2	83558.86839999999
ATP2A1	0.0	457.69440000000003
ATP2B2	3091.0908	6464.050899999999
ATP2B3	2811.6	129791.43189999997
ATP4A	2395.2084	122660.7295
ATP4B	1057.6799999999998	498.0842
ATP5D	0.0	371500.34030000004
ATP5E	0.0	3340.1927
ATP5EP2	0.0	134.66039999999998
ATP5G1	0.0	29556.926900000006
ATP5G2	0.0	22671.3435
ATP5H	0.0	56098.917100000006
ATP5L2	0.0	26451.3522
ATP6V0A1	0.0	2011.4856
ATP6V0C	0.0	5594.5584
ATP6V0D1	0.0	9298.0573
ATP6V0E2	0.0	163132.5664
ATP6V1B1	0.0	12761.129600000002
ATP6V1F	0.0	41859.181
ATP6V1G2	0.0	7609.3712
ATP6V1H	0.0	281.6424
ATP8B1	640.0755	0.0
ATP8B3	1976.7476000000001	185784.58029999997
ATRIP	0.0	8875.4903
ATXN10	0.0	128052.1784
ATXN7L1	228.0096	20.9872
ATXN7L3	0.0	29065.6348
AUP1	0.0	12750.458200000001
AURKAIP1	0.0	91992.39180000001
AURKB	0.0	22263.588499999998
AVIL	0.0	2531.2868
AVP	1654.5592	9506.076000000001
AVPI1	0.0	6148.283000000001
AVPR2	0.0	31691.058399999984
AXIN1	0.0	13998.306100000002
AXL	5840.8	63073.66739999998
AZGP1	0.0	2119.2927
AZGP1P1	0.0	2119.2927
AZI1	0.0	155191.94900000005
AZU1	2591.2000000000003	272380.0682
B3GALT4	0.0	17006.9026
B3GALT6	0.0	190665.18980000002
B3GAT1	0.0	2586.9712
B3GAT3	0.0	50.7011
B3GNT1	0.0	71059.841
B3GNT3	2263.7999999999997	84832.68960000001
B3GNT6	0.0	2248.8507
B3GNT7	764.5677	232.6025
B3GNT9	0.0	2386.3896
B3GNTL1	0.0	140156.51060000004
B4GALNT1	0.0	9170.577599999999
B4GALNT2	107.2539	24601.107699999997
B4GALNT3	1988.136	8654.585099999998
B4GALNT4	424.1853	154198.31590000005
B4GALT3	0.0	0.0
B4GALT5	0.0	656.8352000000001
B4GALT7	0.0	614.3572
B9D1	0.0	2658.269
BACE2	0.0	900.625
BAD	0.0	23779.859
BAG5	0.0	984.768
BAGE	0.0	7979.6035
BAGE4	0.0	7979.6035
BAHCC1	3061.1346	682606.7464000001
BAHD1	301.944	6767.0334
BAI1	13550.400000000001	206137.4819999999
BAI2	0.0	153725.43139999994
BAIAP2	1454.7818	198484.90099999998
BAIAP2L2	0.0	604.6302000000001
BAIAP3	10114.4358	150976.62070000003
BAK1	0.0	961.2024
BANF1	0.0	629.64
BANP	0.0	1666.5282
BAP1	0.0	56226.19800000001
BARHL1	610.3674000000001	119805.28680000002
BARX1	1671.286	15116.162400000001
BASE	0.0	4500.719
BAT1	0.0	7609.3712
BAT2	0.0	7609.3712
BAT3	0.0	7609.3712
BATF2	0.0	343.8108
BATF3	2074.6440000000002	38.2812
BAX	0.0	52983.04390000001
BAZ1B	0.0	20839.9148
BBC3	0.0	14716.472499999998
BBS1	0.0	55219.311200000004
BBS12	0.0	687.2362
BBS2	0.0	257.3531
BBS4	0.0	17728.2353
BCAM	3195.076400000001	153325.15319999994
BCAN	0.0	126021.22699999998
BCAP29	0.0	426.5984
BCAP31	0.0	58733.76659999999
BCAR1	1137.466	2333.0545
BCAT1	1466.9214	3482.0051
BCAT2	0.0	76042.99380000003
BCDIN3D	0.0	11796.753499999999
BCKDK	0.0	11590.104999999998
BCL2L11	0.0	496.2384
BCL2L12	0.0	26779.8567
BCL2L2	0.0	1382.4750999999999
BCL3	0.0	70539.14569999998
BCL6	465.2236	3819.417
BCL6B	0.0	51136.52520000001
BCL7A	0.0	239.9958
BCL7B	0.0	41295.3297
BCRP2	0.0	23098.2149
BCRP3	0.0	2329.5824000000002
BDH1	0.0	8177.1597
BEAN1	166.3578	2336.9354999999996
BECN1	0.0	14510.423999999999
BEGAIN	0.0	5026.709999999999
BEST1	0.0	65061.24740000004
BEST2	4597.2	39871.318100000004
BET1L	0.0	20440.348399999995
BGN	2054.4334000000003	112151.37210000001
BHLHA9	1488.627	268059.5094999999
BHLHE23	8295.6	376972.5033999998
BIK	735.8420000000001	30833.992099999996
BIN1	0.0	510.90000000000003
BIN2	0.0	0.0
BIN3	0.0	48354.539000000004
BIRC5	0.0	30027.556100000013
BIRC7	6256.799999999999	397356.70599999995
BLCAP	0.0	2962.3764
BLK	0.0	3284.246
BLM	0.0	30637.4527
BLMH	0.0	0.0
BLOC1S1	0.0	172.9154
BLOC1S3	0.0	61624.01680000001
BLVRB	418.7664	48944.7611
BMI1	13.737	4720.1139
BMP1	1259.9244	53220.11439999999
BMP3	392.0346	4795.7405
BMP6	0.0	1604.4391
BMP7	1196.4196	3611.7765999999997
BMPR1A	0.0	6242.1873
BMS1	0.0	2915.7108
BMS1P1	0.0	61.0295
BNIP1	0.0	6340.372400000001
BNIPL	0.0	1297.9596999999999
BOD1L	0.0	1412.3557
BOK	1554.1432	7581.961800000001
BOK-AS	1629.08	7581.961800000001
BOLA2B	0.0	0.0
BOP1	0.0	12078.973299999998
BPHL	0.0	0.0
BPIL1	1363.5944	12737.478000000003
BPIL3	0.0	12116.804900000003
BRD1	0.0	28328.331300000005
BRD3	0.0	62474.8049
BRD4	0.0	54877.4195
BRD9	0.0	2464.7424
BREA2	0.0	104316.4085
BRF1	0.0	53209.445499999994
BRF2	0.0	4647.5085
BRMS1	0.0	70776.4769
BRSK1	0.0	69861.5176
BRSK2	1354.672	155286.40509999995
BSG	0.0	127585.45800000003
BSN	854.6854999999999	2380.7089
BSND	0.0	1551.9872
BSPH1	1007.6468	16988.535
BST2	0.0	54189.87169999998
BSX	1013.454	4390.5399
BTBD11	0.0	2069.6142
BTBD16	0.0	861.3815
BTBD17	4332.0	222374.30960000007
BTBD6	0.0	53209.445499999994
BTG2	0.0	1306.5102
BTNL3	0.0	1235.5790000000002
BTNL9	0.0	3106.8384000000005
BTRC	0.0	4174.728
BUB1B	0.0	0.0
BUB3	0.0	2555.6291
BZRAP1	0.0	18419.1163
C10orf105	0.0	48943.152899999994
C10orf114	944.5127	1199.5685
C10orf12	0.0	9668.9087
C10orf125	365.1366	22450.764
C10orf140	0.0	1199.5685
C10orf2	0.0	42698.0624
C10orf35	0.0	67358.93049999999
C10orf47	0.0	408.9146
C10orf53	0.0	429.2568
C10orf54	0.0	20788.387099999996
C10orf55	0.0	169.83679999999998
C10orf62	0.0	492.552
C10orf82	0.0	72.0288
C10orf91	0.0	45890.46370000001
C10orf93	1010.6215000000001	90640.72730000006
C10orf95	0.0	58065.823599999996
C11orf10	0.0	248999.92959999992
C11orf16	0.0	0.0
C11orf17	0.0	0.0
C11orf20	3055.4640999999997	37355.897600000004
C11orf21	2024.9943000000003	258790.08560000002
C11orf24	0.0	340.37600000000003
C11orf31	0.0	3919.7439999999997
C11orf35	0.0	7053.8899
C11orf36	1233.8746	49979.73780000001
C11orf49	0.0	739.11
C11orf61	0.0	12145.1437
C11orf63	0.0	4390.5399
C11orf66	2533.7254000000003	303555.06169999996
C11orf68	0.0	745.7116
C11orf84	0.0	698.0234
C11orf85	0.0	1368.7908
C11orf86	760.725	32939.4895
C11orf9	10529.539599999998	259387.67429999996
C11orf94	0.0	33367.398
C11orf95	615.2624999999999	698.0234
C11orf96	0.0	2317.8023
C12orf10	0.0	760.6445000000001
C12orf12	0.0	1340.2918
C12orf44	0.0	53032.50560000001
C12orf5	0.0	1296.9264
C12orf53	13280.0	29477.1127
C12orf62	0.0	1560.6647
C12orf68	313.7176	633.7987
C12orf77	0.0	3482.0051
C13orf28	0.0	22834.114700000002
C14orf153	0.0	984.768
C14orf176	0.0	245.0592
C14orf180	503.40560000000005	16935.623699999996
C14orf2	0.0	969.4213
C14orf70	0.0	3202.1211000000003
C14orf73	0.0	15636.608900000001
C14orf79	536.9756	27047.866799999993
C14orf80	0.0	25635.4784
C14orf93	0.0	423.0107
C15orf17	0.0	3984.3298000000004
C15orf23	0.0	16616.8293
C15orf39	0.0	57555.3661
C15orf42	0.0	0.0
C15orf52	0.0	18595.782900000002
C15orf56	2699.658	11828.749500000002
C15orf59	1210.0689	6094.491
C15orf60	0.0	6549.9211000000005
C15orf63	0.0	450.19
C16orf11	4481.5854	20680.419599999997
C16orf13	0.0	66375.94329999998
C16orf3	0.0	10333.4641
C16orf42	0.0	129861.0676
C16orf5	0.0	13115.520400000001
C16orf53	0.0	13641.085299999997
C16orf55	0.0	5735.8568
C16orf57	0.0	1061.3856
C16orf58	0.0	2886.8818000000006
C16orf59	0.0	5594.5584
C16orf63	0.0	0.0
C16orf7	0.0	3859.9490000000005
C16orf70	0.0	1375.6806000000001
C16orf71	0.0	437.59520000000003
C16orf73	0.0	44095.389700000014
C16orf74	0.0	2470.0370000000003
C16orf75	0.0	0.0
C16orf78	0.0	3017.562
C16orf79	0.0	89613.56459999998
C16orf81	0.0	14210.6154
C16orf89	1088.0816000000002	46303.371
C16orf91	2277.8	107985.33069999999
C16orf92	8472.8	42267.85219999999
C17orf100	0.0	10702.7792
C17orf102	3552.0941000000003	1934.7262999999998
C17orf103	0.0	27464.81
C17orf104	0.0	8243.1906
C17orf105	1064.0227999999997	72827.7
C17orf106	0.0	16317.554299999998
C17orf28	9451.0	141014.436
C17orf37	0.0	7743.6509000000015
C17orf42	0.0	498.25169999999997
C17orf44	0.0	17657.7278
C17orf47	0.0	1133.8649
C17orf49	0.0	50897.52360000001
C17orf50	0.0	7901.3189999999995
C17orf51	0.0	11415.5577
C17orf54	0.0	4463.0661
C17orf55	4058.3999999999996	255587.87
C17orf56	0.0	153071.9359
C17orf58	0.0	473.82599999999996
C17orf59	0.0	39388.2581
C17orf61	182.776	64567.08069999999
C17orf65	0.0	29065.6348
C17orf66	0.0	64.36500000000001
C17orf68	0.0	14016.078000000001
C17orf69	0.0	1458.2467
C17orf70	0.0	298593.5535999998
C17orf72	0.0	563.388
C17orf74	4572.6	64567.08069999999
C17orf75	0.0	379.14390000000003
C17orf76	0.0	782.6125999999999
C17orf77	384.6112	176283.39379999996
C17orf80	0.0	3048.8448999999996
C17orf81	0.0	103352.25469999999
C17orf82	979.7008000000001	8481.2382
C17orf85	0.0	260.6723
C17orf86	0.0	3152.5375
C17orf87	0.0	1183.0028
C17orf88	0.0	33018.243800000004
C17orf89	0.0	153071.9359
C17orf90	0.0	14758.3858
C17orf91	0.0	15109.8274
C17orf95	0.0	5212.049800000001
C17orf96	0.0	106305.38030000002
C17orf97	0.0	60380.776800000014
C17orf99	0.0	2361.1846
C18orf1	0.0	2638.4834
C18orf32	0.0	0.0
C19orf10	0.0	213224.63660000003
C19orf12	0.0	7354.278199999999
C19orf2	0.0	18689.795100000003
C19orf20	0.0	156964.80200000003
C19orf21	3495.4	418109.0258000002
C19orf22	0.0	83620.54820000002
C19orf23	0.0	379611.55510000006
C19orf24	0.0	379611.55510000006
C19orf25	0.0	144123.7905
C19orf26	4216.172799999999	371500.34030000004
C19orf28	0.0	91703.72709999999
C19orf29	0.0	87499.7186
C19orf30	0.0	117482.60499999997
C19orf33	0.0	41640.524399999995
C19orf35	0.0	28463.777800000003
C19orf39	0.0	101610.03500000002
C19orf42	0.0	721.6944000000001
C19orf43	0.0	14487.290099999998
C19orf45	1747.5794	216438.8379
C19orf46	0.0	23258.692199999998
C19orf47	0.0	22395.004399999998
C19orf48	0.0	32840.26449999998
C19orf50	0.0	29165.838699999997
C19orf51	794.0013999999999	118102.28510000002
C19orf53	0.0	21761.833300000002
C19orf54	0.0	9639.676000000001
C19orf55	0.0	109527.12230000002
C19orf56	0.0	8324.9336
C19orf57	0.0	12028.545099999998
C19orf59	5165.2	325465.68139999994
C19orf6	0.0	26228.363999999998
C19orf60	0.0	29165.838699999997
C19orf61	0.0	2327.9919
C19orf62	0.0	28499.685100000006
C19orf63	0.0	151716.11620000008
C19orf66	0.0	22676.5297
C19orf70	0.0	74307.62649999998
C19orf71	0.0	107455.17399999996
C19orf73	980.567	126956.9933
C19orf76	0.0	26779.8567
C19orf77	1830.438	180019.85189999995
C1QA	0.0	287270.91689999984
C1QB	4395.324	291253.04859999986
C1QC	3470.3205	289872.36589999986
C1QL1	1334.0328	58213.56680000001
C1QL4	1922.7450000000003	12634.8273
C1QTNF1	10730.8	393336.621
C1QTNF5	2707.3999999999996	20273.445000000007
C1QTNF6	0.0	245912.90630000012
C1QTNF8	4436.8	445225.67529999994
C1orf105	0.0	566.9962
C1orf109	0.0	10528.8504
C1orf122	0.0	3437.3535999999995
C1orf126	1271.3522	3107.6376
C1orf127	0.0	140173.85330000002
C1orf128	0.0	968.9537
C1orf135	0.0	636.2452000000001
C1orf144	0.0	15473.1736
C1orf151	0.0	20315.4765
C1orf157	0.0	758.8152
C1orf158	501.42300000000006	569.4010999999999
C1orf159	85.4188	317146.4733000001
C1orf170	7392.0	252963.76080000008
C1orf172	0.0	6258.237899999999
C1orf174	0.0	5605.366
C1orf175	0.0	349.002
C1orf177	0.0	349.002
C1orf182	0.0	100318.57430000001
C1orf187	4964.2224	113960.83790000004
C1orf192	0.0	32585.859000000004
C1orf200	3666.5532	73466.00000000004
C1orf204	0.0	1999.2298999999998
C1orf210	0.0	4228.0664
C1orf212	0.0	4360.454900000001
C1orf213	0.0	327.0392
C1orf228	0.0	710.3559
C1orf230	592.4604	8981.951000000001
C1orf35	0.0	19998.4083
C1orf51	0.0	550.6510000000001
C1orf53	0.0	6486.463299999999
C1orf54	0.0	550.6510000000001
C1orf56	1194.603	5305.0151
C1orf61	3429.6000000000004	100318.57430000001
C1orf64	391.87199999999996	161535.21909999996
C1orf65	0.0	195.1977
C1orf66	0.0	96315.6537
C1orf69	0.0	3886.5433
C1orf70	0.0	72095.0515
C1orf77	0.0	7043.0412
