REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
8_MACS_peak_19633_lociStitched	chr22	23264592	23282195	8	16850	44491.5825	21	1		IGLL5	IGLL5	IGLL5	1.3872	21	1
5_MACS_peak_25364_lociStitched	chr6	7902245	7919504	5	16827	32776.5669	22	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.8693	22	1
6_MACS_peak_2213_lociStitched	chr1	184708912	184725619	6	16491	43025.5371	23	1	EDEM3		EDEM3	EDEM3	0.8038	23	1
10_MACS_peak_8175_lociStitched	chr14	23022874	23040202	10	15908	21854.0736	24	1	DAD1	ABHD4	DAD1	DAD1	0.4925	24	1
4_MACS_peak_12939_lociStitched	chr17	56407604	56424096	4	15776	45057.7932	25	1	MIR142,SUPT4H1	MPO,BZRAP1	MIR142	MIR142	2.0031	25	1
10_MACS_peak_13907_lociStitched	chr18	46439364	46455926	10	15682	22146.7064	26	1	SMAD7		SMAD7	SMAD7	1.0255	26	1
12_MACS_peak_890_lociStitched	chr1	51432126	51448806	12	15520	27603.732	27	1	CDKN2C	FAF1	CDKN2C	CDKN2C	1.5849	27	1
8_MACS_peak_10710_lociStitched	chr16	11821566	11837579	8	15018	24701.6538	28	1	TXNDC11		TXNDC11	TXNDC11	0.513	28	1
3_MACS_peak_12135_lociStitched	chr17	18217377	18232394	3	14911	25037.8441	29	1	SMCR8,TOP3A,SHMT1	EVPLL	SMCR8	SMCR8	1.265	29	1
10_MACS_peak_4604_lociStitched	chr11	16973425	16990153	10	14825	22617.9288	30	1	PLEKHA7		PLEKHA7	PLEKHA7	0.3111	30	1
6_MACS_peak_19898_lociStitched	chr22	37605983	37621377	6	14727	22849.3142	31	1	SSTR3,RAC2	C1QTNF6	SSTR3	SSTR3	0.947	31	1
7_MACS_peak_13582_lociStitched	chr18	9059203	9074694	7	14689	28941.8353	32	1		NDUFV2	NDUFV2	NDUFV2	0.7063	32	1
5_MACS_peak_17627_lociStitched	chr2	201980009	201994923	5	14523	29286.6218	33	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.6377	33	1
11_MACS_peak_31318_lociStitched	chr9	112908621	112924805	11	14482	17223.0128	34	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.3541	34	1
18_MACS_peak_26761_lociStitched	chr6	135332304	135349264	18	14165	15796.544	35	1	HBS1L	MIR3662,HBS1L	HBS1L	HBS1L	0.3139	35	1
12_MACS_peak_6099_lociStitched	chr12	9872103	9887820	12	14164	16095.7797	36	1	CLECL1	CLEC2D,CD69	CLECL1	CLECL1	0.8691	36	1
9_MACS_peak_19942_lociStitched	chr22	38783457	38798487	9	13704	20541.501	37	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.4375	37	1
4_MACS_peak_21416_lociStitched	chr3	129023274	129037085	4	13495	27017.0782	38	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	1.1252	38	1
4_MACS_peak_2435_lociStitched	chr1	203264706	203278376	4	13211	27104.876	39	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	1.7087	39	1
5_MACS_peak_13272_lociStitched	chr17	74775540	74788985	5	13157	23856.808	40	1		MFSD11,MIR636,SRSF2	MFSD11	MIR636	1.0588	40	1
7_MACS_peak_21340_lociStitched	chr3	124499685	124513675	7	12973	16927.9	41	1	ITGB5		UMPS	UMPS	0.1826	41	1
6_MACS_peak_31066_lociStitched	chr9	93676408	93690181	6	12952	22696.5267	42	1			SYK	SYK	NONE	42	1
6_MACS_peak_11940_lociStitched	chr17	6914791	6928170	6	12810	20025.6872	43	1	RNASEK,C17orf49,BCL6B,MIR195,MIR497	ALOX12,SLC16A13,SLC16A11	MIR497	MIR497	1.6082	43	1
10_MACS_peak_5132_lociStitched	chr11	65261024	65274815	10	12775	21960.7884	44	1	MALAT1	MIR612,SCYL1	MALAT1	MALAT1	1.2804	44	1
6_MACS_peak_23542_lociStitched	chr4	186272577	186285715	6	12540	20648.9946	45	1	SNX25,LRP2BP	ANKRD37	LRP2BP	ANKRD37	0.7945	45	1
9_MACS_peak_17653_lociStitched	chr2	202112920	202126797	9	12502	20744.7273	46	1	CASP8		CASP8	CASP8	0.6227	46	1
1_MACS_peak_12705_lociStitched	chr17	43296713	43309195	1	12483	32773.9874	47	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.1366	47	1
3_MACS_peak_23599_lociStitched	chr5	1311335	1323993	3	12206	28313.4144	48	1	CLPTM1L	TERT	TERT	TERT	0.4886	48	1
5_MACS_peak_5872_lociStitched	chr11	128585743	128598274	5	12106	17819.082	49	1	FLI1		FLI1	FLI1	0.3273	49	1
1_MACS_peak_1688_lociStitched	chr1	154907271	154919265	1	11995	46175.7006	50	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PMVK	1.5419	50	1
8_MACS_peak_6500_lociStitched	chr12	53590801	53603590	8	11634	17939.1303	51	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	0.8731	51	1
2_MACS_peak_1573_lociStitched	chr1	150531533	150543125	2	11577	28178.9928	52	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.1619	52	1
1_MACS_peak_24284_lociStitched	chr5	88175337	88186897	1	11561	21083.128	53	1	MEF2C		MEF2C	MEF2C	0.251	53	1
3_MACS_peak_18773_lociStitched	chr20	43270616	43282299	3	11390	19864.6049	54	1	ADA	LOC79015	ADA	ADA	0.636	54	1
5_MACS_peak_21657_lociStitched	chr3	151911497	151923359	5	11286	16313.8086	55	1			MBNL1	MBNL1	0.263	55	1
8_MACS_peak_20667_lociStitched	chr3	45605926	45618471	8	11271	14944.8585	56	1		LIMD1	LIMD1	LIMD1	0.2772	56	1
8_MACS_peak_9895_lociStitched	chr15	67368792	67381131	8	11241	13875.2055	57	1	SMAD3	SMAD3	SMAD3	SMAD3	0.3944	57	1
3_MACS_peak_17961_lociStitched	chr2	231729073	231740315	3	11171	22913.4444	58	1	ITM2C	GPR55	ITM2C	ITM2C	1.0485	58	1
5_MACS_peak_26541_lociStitched	chr6	106543451	106555125	5	11035	13622.3906	59	1	PRDM1		PRDM1	PRDM1	0.7868	59	1
5_MACS_peak_21880_lociStitched	chr3	177068504	177079956	5	10968	21127.7948	60	1			TBL1XR1	TBL1XR1	0.2896	60	1
10_MACS_peak_19208_lociStitched	chr21	19151867	19163847	10	10867	13781.792	61	1	C21orf91		C21orf91	C21orf91	0.5644	61	1
4_MACS_peak_2089_lociStitched	chr1	174931964	174942885	4	10829	21044.767	62	1		CACYBP,MRPS14	CACYBP	CACYBP	0.6549	62	1
4_MACS_peak_14819_lociStitched	chr19	16473781	16485221	4	10616	18146.128	63	1	EPS15L1	KLF2	KLF2	KLF2	0.9311	63	1
4_MACS_peak_4979_lociStitched	chr11	62316903	62328079	4	10562	16472.3064	64	1	EEF1G	AHNAK,TUT1,MTA2	AHNAK	MTA2	0.4993	64	1
13_MACS_peak_12313_lociStitched	chr17	29576498	29588947	13	10509	10428.5273	65	1	NF1	OMG	OMG	OMG	0.0455	65	1
10_MACS_peak_7894_lociStitched	chr13	65979654	65991361	10	10493	12438.6875	66	1				NONE	NONE	66	1
3_MACS_peak_10747_lociStitched	chr16	14394935	14405511	3	10463	23127.5968	67	1	MIR193B,MIR365-1		MIR193B	MIR193B	1.9103	67	1
7_MACS_peak_23763_lociStitched	chr5	27462941	27474382	7	10438	15802.3092	68	1			CDH9	CDH9	0.1731	68	1
5_MACS_peak_7071_lociStitched	chr12	109020998	109031676	5	10403	17963.5994	69	1	SELPLG	TMEM119	SELPLG	SELPLG	0.9923	69	1
2_MACS_peak_9785_lociStitched	chr15	60874838	60885436	2	10294	18365.2742	70	1	RORA		RORA	RORA	0.2965	70	1
3_MACS_peak_29736_lociStitched	chr8	95953546	95964012	3	10276	25844.7404	71	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	0.9305	71	1
7_MACS_peak_12534_lociStitched	chr17	38473775	38484536	7	10270	12962.7006	72	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.3308	72	1
6_MACS_peak_29643_lociStitched	chr8	85158720	85169757	6	10186	16466.1003	73	1	RALYL		RALYL	RALYL	0.1563	73	1
9_MACS_peak_27184_lociStitched	chr7	11330532	11341744	9	10126	12774.9528	74	1			PHF14	PHF14	NONE	74	1
3_MACS_peak_28633_lociStitched	chr7	141254713	141265025	3	10112	17315.9104	75	1	AGK		AGK	AGK	0.392	75	1
9_MACS_peak_30047_lociStitched	chr8	120924556	120935885	9	10097	13353.4923	76	1	DEPDC6		DEPDC6	DEPDC6	0.3952	76	1
2_MACS_peak_5116_lociStitched	chr11	65183575	65193714	2	10047	32146.7134	77	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.1532	77	1
8_MACS_peak_17076_lociStitched	chr2	112191559	112202499	8	10036	12067.914	78	1	LOC541471		LOC541471	LOC541471	0.3682	78	1
4_MACS_peak_28158_lociStitched	chr7	101382399	101393194	4	10030	20135.9135	79	1			CUX1	CUX1	0.2328	79	1
6_MACS_peak_14945_lociStitched	chr19	19054221	19064922	6	10018	11899.512	80	1		DDX49,GDF1,COPE,HOMER3	HOMER3	HOMER3	0.382	80	1
2_MACS_peak_17824_lociStitched	chr2	217079288	217089623	2	9971	19862.8365	81	1			XRCC5	XRCC5	0.2938	81	1
9_MACS_peak_3014_lociStitched	chr10	7510923	7522377	9	9831	12151.5486	82	1			SFMBT2	SFMBT2	NONE	82	1
5_MACS_peak_23469_lociStitched	chr4	185200709	185210726	5	9827	21182.9499	83	1			ENPP6	ENPP6	0.0813	83	1
3_MACS_peak_15182_lociStitched	chr19	39892230	39902386	3	9690	16269.912	84	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	1.4521	84	1
5_MACS_peak_16863_lociStitched	chr2	87806243	87816536	5	9683	13291.3509	85	1	NCRNA00152		NCRNA00152	NCRNA00152	0.7318	85	1
7_MACS_peak_7387_lociStitched	chr12	123370687	123381141	7	9619	15297.3382	86	1	VPS37B		VPS37B	VPS37B	0.7871	86	1
4_MACS_peak_28175_lociStitched	chr7	101928551	101938305	4	9611	15821.9634	87	1	SH2B2,MIR4285		MIR4285	MIR4285	1.0256	87	1
2_MACS_peak_14079_lociStitched	chr18	60822423	60832046	2	9574	20195.7901	88	1	BCL2		BCL2	BCL2	0.3779	88	1
1_MACS_peak_1746_lociStitched	chr1	155943980	155953499	1	9520	25273.8969	89	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	0.9906	89	1
10_MACS_peak_24274_lociStitched	chr5	88163687	88174449	10	9515	11121.4508	90	1	MEF2C	MEF2C	MEF2C	MEF2C	0.251	90	1
8_MACS_peak_7930_lociStitched	chr13	66203423	66213907	8	9493	10614.0016	91	1				NONE	NONE	91	1
4_MACS_peak_31081_lociStitched	chr9	93732176	93741957	4	9395	19807.5031	92	1			LOC100129316	LOC100129316	0.1641	92	1
8_MACS_peak_31091_lociStitched	chr9	93917328	93928431	8	9393	17442.813	93	1			LOC100129316	LOC100129316	0.1641	93	1
3_MACS_peak_18737_lociStitched	chr20	42336571	42345985	3	9367	14445.783	94	1	MYBL2	GTSF1L	GTSF1L	GTSF1L	0.3722	94	1
5_MACS_peak_22972_lociStitched	chr4	105407251	105417028	5	9363	14136.5643	95	1	CXXC4		CXXC4	CXXC4	0.5777	95	1
3_MACS_peak_2439_lociStitched	chr1	203288605	203298166	3	9360	15876.0405	96	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	1.7087	96	1
3_MACS_peak_23903_lociStitched	chr5	53813487	53823335	3	9360	20930.9392	97	1	SNX18		SNX18	SNX18	0.7742	97	1
6_MACS_peak_16348_lociStitched	chr2	46794424	46805006	6	9357	10552.3704	98	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.555	98	1
3_MACS_peak_12099_lociStitched	chr17	17390681	17400283	3	9314	12107.1618	99	1	MED9,RASD1		RASD1	RASD1	0.8608	99	1
4_MACS_peak_25577_lociStitched	chr6	26025981	26035349	4	9273	15480.62	100	1	HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3A,HIST1H4A,HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H3B	HIST1H3B	1.4311	100	1
3_MACS_peak_19732_lociStitched	chr22	29212227	29221522	3	9224	12906.1075	101	1		CCDC117,XBP1	XBP1	XBP1	1.3456	101	1
3_MACS_peak_9726_lociStitched	chr15	58749435	58759107	3	9215	14891.9784	102	1	LIPC		LIPC	LIPC	0.5711	102	1
9_MACS_peak_7992_lociStitched	chr13	91991624	92001742	9	9200	10452.9058	103	1	MIR17HG	MIR17,MIR18A,MIR19A,MIR20A,MIR19B1,MIR92A1,GPC5	MIR17HG	MIR17	0.5573	103	1
5_MACS_peak_30170_lociStitched	chr8	126779822	126789192	5	9161	13568.697	104	1			TRIB1	TRIB1	1.1541	104	1
3_MACS_peak_1550_lociStitched	chr1	149818471	149827684	3	9152	29638.221	105	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	2.876	105	1
2_MACS_peak_22524_lociStitched	chr4	40194104	40203269	2	9147	17974.398	106	1	RHOH		RHOH	RHOH	0.4764	106	1
4_MACS_peak_4973_lociStitched	chr11	62223496	62232769	4	9080	14738.5062	107	1	AHNAK	SCGB1A1	SCGB1A1	SCGB1A1	0.2321	107	1
6_MACS_peak_26535_lociStitched	chr6	106533303	106542913	6	9045	10151.043	108	1	PRDM1	PRDM1	PRDM1	PRDM1	0.7868	108	1
6_MACS_peak_3240_lociStitched	chr10	23727310	23737016	6	8991	12213.0598	109	1	OTUD1		OTUD1	OTUD1	0.9311	109	1
3_MACS_peak_5773_lociStitched	chr11	120365550	120374955	3	8938	15497.559	110	1			GRIK4	GRIK4	NONE	110	1
5_MACS_peak_2354_lociStitched	chr1	198898074	198907465	5	8934	16089.6003	111	1			MIR181A1	MIR181A1	NONE	111	1
5_MACS_peak_27562_lociStitched	chr7	50343041	50352271	5	8831	11485.812	112	1	IKZF1		IKZF1	IKZF1	0.165	112	1
4_MACS_peak_4529_lociStitched	chr11	10323912	10332936	4	8823	15720.7104	113	1	ADM	SBF2	ADM	ADM	1.3424	113	1
4_MACS_peak_26182_lociStitched	chr6	45674131	45683454	4	8797	13343.0776	114	1			RUNX2	RUNX2	0.2322	114	1
1_MACS_peak_21878_lociStitched	chr3	176912348	176921112	1	8765	20873.2188	115	1	TBL1XR1		TBL1XR1	TBL1XR1	0.2896	115	1
5_MACS_peak_3136_lociStitched	chr10	15826747	15836251	5	8658	11681.3664	116	1	FAM188A		ITGA8	ITGA8	NONE	116	1
5_MACS_peak_21545_lociStitched	chr3	140471769	140480789	5	8649	11620.466	117	1			TRIM42	TRIM42	NONE	117	1
3_MACS_peak_29112_lociStitched	chr8	26428208	26437377	3	8647	17862.1289	118	1	DPYSL2		DPYSL2	DPYSL2	0.2355	118	1
3_MACS_peak_7299_lociStitched	chr12	121690744	121699733	3	8637	13867.3303	119	1	CAMKK2	P2RX4	CAMKK2	CAMKK2	0.6291	119	1
4_MACS_peak_16822_lociStitched	chr2	86219764	86228883	4	8632	19867.5653	120	1		LOC90784	LOC90784	LOC90784	0.2096	120	1
4_MACS_peak_2507_lociStitched	chr1	206285974	206295219	4	8620	18362.419	121	1	C1orf186	CTSE	C1orf186	C1orf186	0.4969	121	1
6_MACS_peak_21897_lociStitched	chr3	178230007	178239217	6	8551	12987.942	122	1		KCNMB2	KCNMB2	KCNMB2	0.1555	122	1
6_MACS_peak_9739_lociStitched	chr15	58841219	58850371	6	8546	10855.1872	123	1	LIPC		LIPC	LIPC	0.5711	123	1
5_MACS_peak_8767_lociStitched	chr14	77487548	77496472	5	8537	15052.1108	124	1	C14orf4		C14orf4	C14orf4	1.3108	124	1
2_MACS_peak_24713_lociStitched	chr5	138721515	138730427	2	8533	17184.1184	125	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	1.5019	125	1
4_MACS_peak_19126_lociStitched	chr20	62364511	62373107	4	8476	17478.2468	126	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	1.5371	126	1
3_MACS_peak_28007_lociStitched	chr7	92437175	92445852	3	8459	14769.1217	127	1	CDK6		CDK6	CDK6	0.4065	127	1
6_MACS_peak_21645_lociStitched	chr3	150314344	150322874	6	8392	15431.623	128	1	SELT	EIF2A,SERP1	SELT	SERP1	0.4913	128	1
6_MACS_peak_6004_lociStitched	chr12	4377568	4386579	6	8388	12148.6302	129	1	CCND2	C12orf5	CCND2	CCND2	0.3845	129	1
3_MACS_peak_3793_lociStitched	chr10	90144014	90152636	3	8372	15243.696	130	1	RNLS		RNLS	RNLS	0.1809	130	1
2_MACS_peak_13095_lociStitched	chr17	65641831	65650244	2	8356	15369.7097	131	1	PITPNC1		NOL11	NOL11	NONE	131	1
3_MACS_peak_28237_lociStitched	chr7	104578642	104587138	3	8344	16395.5808	132	1		LOC723809	LOC723809	LOC723809	0.4056	132	1
6_MACS_peak_4677_lociStitched	chr11	22684103	22692560	6	8340	19628.697	133	1	GAS2	GAS2,FANCF	GAS2	FANCF	0.3231	133	1
5_MACS_peak_4116_lociStitched	chr10	111967300	111975832	5	8324	15309.8208	134	1	MXI1	MXI1	MXI1	MXI1	0.3005	134	1
4_MACS_peak_25243_lociStitched	chr6	389087	397589	4	8289	17513.2698	135	1	IRF4		IRF4	IRF4	0.803	135	1
8_MACS_peak_6386_lociStitched	chr12	48200673	48209569	8	8274	11676.8896	136	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.5369	136	1
1_MACS_peak_2182_lociStitched	chr1	183808692	183816953	1	8262	19899.9229	137	1	RGL1		APOBEC4	APOBEC4	NONE	137	1
3_MACS_peak_25413_lociStitched	chr6	11829425	11837809	3	8254	13613.9392	138	1			C6orf105	C6orf105	NONE	138	1
7_MACS_peak_1917_lociStitched	chr1	162552698	162561603	7	8253	10480.2945	139	1	UAP1	DDR2	UAP1	UAP1	0.7832	139	1
4_MACS_peak_5623_lociStitched	chr11	111237324	111246164	4	8224	10275.616	140	1	POU2AF1		POU2AF1	POU2AF1	0.6559	140	1
5_MACS_peak_24805_lociStitched	chr5	142776714	142785663	5	8213	13083.438	141	1	NR3C1		NR3C1	NR3C1	0.1903	141	1
4_MACS_peak_12604_lociStitched	chr17	40825176	40833894	4	8203	16776.0474	142	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	PLEKHH3	1.0108	142	1
4_MACS_peak_25644_lociStitched	chr6	27094352	27102869	4	8182	15565.6692	143	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	HIST1H2BJ	1.4753	143	1
6_MACS_peak_19050_lociStitched	chr20	58674704	58683356	6	8159	12694.2144	144	1		C20orf197	C20orf197	C20orf197	0.1952	144	1
1_MACS_peak_29133_lociStitched	chr8	27230442	27238585	1	8144	14260.0216	145	1	PTK2B		PTK2B	PTK2B	0.4112	145	1
4_MACS_peak_3775_lociStitched	chr10	89620179	89628591	4	8097	15456.2088	146	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	PTEN	0.251	146	1
5_MACS_peak_7237_lociStitched	chr12	120553141	120561693	5	8083	11420.3408	147	1	RAB35		RAB35	RAB35	0.4604	147	1
5_MACS_peak_28181_lociStitched	chr7	101945397	101954007	5	8077	15250.032	148	1	SH2B2	MIR4285,SPDYE6	MIR4285	MIR4285	1.0256	148	1
4_MACS_peak_13161_lociStitched	chr17	72743531	72752039	4	8074	11795.4912	149	1	SLC9A3R1,MIR3615	RAB37,TMEM104,CD300LF,NAT9	SLC9A3R1	RAB37	0.8882	149	1
4_MACS_peak_1546_lociStitched	chr1	149809645	149817659	4	7981	27942.4138	150	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2BC	2.876	150	1
7_MACS_peak_6163_lociStitched	chr12	12866599	12875321	7	7973	11865.4088	151	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	CDKN1B	1.3334	151	1
4_MACS_peak_8681_lociStitched	chr14	73353270	73361843	4	7924	11276.9242	152	1	DPF3	DCAF4	DPF3	DCAF4	0.226	152	1
3_MACS_peak_13993_lociStitched	chr18	52983841	52991864	3	7903	11314.8369	153	1	TCF4		TCF4	TCF4	0.1314	153	1
1_MACS_peak_1671_lociStitched	chr1	154374045	154381941	1	7897	18513.7512	154	1	IL6R		IL6R	IL6R	0.5445	154	1
2_MACS_peak_7451_lociStitched	chr12	125398417	125406303	2	7873	16424.1722	155	1	UBC	SCARB1	UBC	UBC	1.1524	155	1
4_MACS_peak_21734_lociStitched	chr3	156847882	156856248	4	7785	13419.9006	156	1		LOC100498859,LOC339894,CCNL1	LOC339894	LOC100498859	0.8556	156	1
1_MACS_peak_28012_lociStitched	chr7	92459122	92466899	1	7778	18812.563	157	1	CDK6		CDK6	CDK6	0.4065	157	1
3_MACS_peak_12081_lociStitched	chr17	16872348	16880471	3	7764	11734.4858	158	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.4453	158	1
7_MACS_peak_18515_lociStitched	chr20	31254018	31262963	7	7736	13506.0555	159	1		C20orf203	C20orf203	C20orf203	0.1672	159	1
3_MACS_peak_1696_lociStitched	chr1	154969624	154977530	3	7724	25169.5416	160	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	1.8954	160	1
3_MACS_peak_28170_lociStitched	chr7	101632462	101640343	3	7714	10653.5358	161	1	CUX1		CUX1	CUX1	0.2328	161	1
2_MACS_peak_26161_lociStitched	chr6	45386741	45394448	2	7699	18644.0037	162	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.2322	162	1
6_MACS_peak_22291_lociStitched	chr4	10094300	10103061	6	7642	10642.8628	163	1	WDR1	MIR3138	MIR3138	MIR3138	0.1441	163	1
5_MACS_peak_11412_lociStitched	chr16	71186371	71194434	5	7616	13626.47	164	1	HYDIN		HYDIN	HYDIN	0.222	164	1
2_MACS_peak_12840_lociStitched	chr17	48226227	48233853	2	7604	11543.4762	165	1	PPP1R9B	SGCA,SAMD14,HILS1,COL1A1	PPP1R9B	PPP1R9B	0.5	165	1
2_MACS_peak_1838_lociStitched	chr1	160677075	160684842	2	7589	14349.5325	166	1	CD48	SLAMF7	CD48	CD48	0.6046	166	1
3_MACS_peak_11529_lociStitched	chr16	79908049	79916096	3	7573	14123.2897	167	1			MAF	MAF	0.917	167	1
2_MACS_peak_10041_lociStitched	chr15	75334059	75341612	2	7529	16075.0499	168	1	PPCDC	SCAMP5	PPCDC	PPCDC	0.7521	168	1
3_MACS_peak_5678_lociStitched	chr11	115132991	115140526	3	7489	11799.81	169	1	CADM1		CADM1	CADM1	0.2291	169	1
5_MACS_peak_10012_lociStitched	chr15	74832264	74840477	5	7476	8767.3775	170	1	ARID3B		ARID3B	ARID3B	0.3062	170	1
2_MACS_peak_9929_lociStitched	chr15	68492659	68500166	2	7466	12809.1941	171	1	CALML4,CLN6		CALML4	CALML4	1.0977	171	1
3_MACS_peak_13597_lociStitched	chr18	9101725	9109370	3	7458	13509.4795	172	1	NDUFV2	ANKRD12	NDUFV2	NDUFV2	0.7063	172	1
5_MACS_peak_26552_lociStitched	chr6	106610328	106618170	5	7417	9474.7044	173	1			PRDM1	PRDM1	0.7868	173	1
3_MACS_peak_25798_lociStitched	chr6	31701402	31708992	3	7391	15172.41	174	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	CLIC1	1.1302	174	1
2_MACS_peak_18453_lociStitched	chr20	25274312	25281784	2	7367	12823.4464	175	1	PYGB,ABHD12		PYGB	PYGB	0.4457	175	1
