REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
2_MACS_peak_1573_lociStitched	chr1	150531533	150543125	2	11577	28178.9928	29	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.1619	29	1
4_MACS_peak_1546_lociStitched	chr1	149809645	149817659	4	7981	27942.4138	30	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2BC	2.876	30	1
12_MACS_peak_890_lociStitched	chr1	51432126	51448806	12	15520	27603.732	31	1	CDKN2C	FAF1	CDKN2C	CDKN2C	1.5849	31	1
1_MACS_peak_2000_lociStitched	chr1	167595778	167602409	1	6632	27216.9395	32	1	RCSD1		RCSD1	RCSD1	0.6216	32	1
4_MACS_peak_2435_lociStitched	chr1	203264706	203278376	4	13211	27104.876	33	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	1.7087	33	1
4_MACS_peak_21416_lociStitched	chr3	129023274	129037085	4	13495	27017.0782	34	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	1.1252	34	1
10_MACS_peak_27903_lociStitched	chr7	81418251	81436004	10	16874	26038.3251	35	1		HGF	HGF	HGF	0.1267	35	1
10_MACS_peak_10021_lociStitched	chr15	75063111	75081795	10	17358	25925.9184	36	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.7434	36	1
3_MACS_peak_29736_lociStitched	chr8	95953546	95964012	3	10276	25844.7404	37	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	0.9305	37	1
13_MACS_peak_23740_lociStitched	chr5	26869383	26887160	13	16871	25787.3162	38	1	CDH9		CDH9	CDH9	0.1731	38	1
1_MACS_peak_1746_lociStitched	chr1	155943980	155953499	1	9520	25273.8969	39	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	0.9906	39	1
3_MACS_peak_1696_lociStitched	chr1	154969624	154977530	3	7724	25169.5416	40	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	1.8954	40	1
3_MACS_peak_12135_lociStitched	chr17	18217377	18232394	3	14911	25037.8441	41	1	SMCR8,TOP3A,SHMT1	EVPLL	SMCR8	SMCR8	1.265	41	1
8_MACS_peak_10710_lociStitched	chr16	11821566	11837579	8	15018	24701.6538	42	1	TXNDC11		TXNDC11	TXNDC11	0.513	42	1
2_MACS_peak_1554_lociStitched	chr1	149855164	149861437	2	6196	24119.685	43	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	HIST2H3A	2.8836	43	1
5_MACS_peak_13272_lociStitched	chr17	74775540	74788985	5	13157	23856.808	44	1		MFSD11,MIR636,SRSF2	MFSD11	MIR636	1.0588	44	1
3_MACS_peak_10747_lociStitched	chr16	14394935	14405511	3	10463	23127.5968	45	1	MIR193B,MIR365-1		MIR193B	MIR193B	1.9103	45	1
3_MACS_peak_17961_lociStitched	chr2	231729073	231740315	3	11171	22913.4444	46	1	ITM2C	GPR55	ITM2C	ITM2C	1.0485	46	1
6_MACS_peak_19898_lociStitched	chr22	37605983	37621377	6	14727	22849.3142	47	1	SSTR3,RAC2	C1QTNF6	SSTR3	SSTR3	0.947	47	1
6_MACS_peak_31066_lociStitched	chr9	93676408	93690181	6	12952	22696.5267	48	1			SYK	SYK	NONE	48	1
10_MACS_peak_4604_lociStitched	chr11	16973425	16990153	10	14825	22617.9288	49	1	PLEKHA7		PLEKHA7	PLEKHA7	0.3111	49	1
10_MACS_peak_13907_lociStitched	chr18	46439364	46455926	10	15682	22146.7064	50	1	SMAD7		SMAD7	SMAD7	1.0255	50	1
10_MACS_peak_5132_lociStitched	chr11	65261024	65274815	10	12775	21960.7884	51	1	MALAT1	MIR612,SCYL1	MALAT1	MALAT1	1.2804	51	1
10_MACS_peak_8175_lociStitched	chr14	23022874	23040202	10	15908	21854.0736	52	1	DAD1	ABHD4	DAD1	DAD1	0.4925	52	1
5_MACS_peak_23469_lociStitched	chr4	185200709	185210726	5	9827	21182.9499	53	1			ENPP6	ENPP6	NONE	53	1
5_MACS_peak_21880_lociStitched	chr3	177068504	177079956	5	10968	21127.7948	54	1			TBL1XR1	TBL1XR1	0.2896	54	1
1_MACS_peak_24284_lociStitched	chr5	88175337	88186897	1	11561	21083.128	55	1	MEF2C		MEF2C	MEF2C	0.251	55	1
1_MACS_peak_1461_lociStitched	chr1	145208237	145212535	1	4299	21046.8762	56	1	NOTCH2NL		NOTCH2NL	NOTCH2NL	0.6709	56	1
4_MACS_peak_2089_lociStitched	chr1	174931964	174942885	4	10829	21044.767	57	1		CACYBP,MRPS14	CACYBP	CACYBP	0.6549	57	1
3_MACS_peak_23903_lociStitched	chr5	53813487	53823335	3	9360	20930.9392	58	1	SNX18		SNX18	SNX18	0.7742	58	1
4_MACS_peak_17993_lociStitched	chr2	232570140	232577512	4	7077	20884.1388	59	1	PTMA	MIR1244-1	PTMA	PTMA	1.5408	59	1
1_MACS_peak_21878_lociStitched	chr3	176912348	176921112	1	8765	20873.2188	60	1	TBL1XR1		TBL1XR1	TBL1XR1	0.2896	60	1
3_MACS_peak_7341_lociStitched	chr12	122237164	122244117	3	6791	20763.7439	61	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	1.4865	61	1
9_MACS_peak_17653_lociStitched	chr2	202112920	202126797	9	12502	20744.7273	62	1	CASP8		CASP8	CASP8	0.6227	62	1
6_MACS_peak_23542_lociStitched	chr4	186272577	186285715	6	12540	20648.9946	63	1	SNX25,LRP2BP	ANKRD37	LRP2BP	ANKRD37	0.7945	63	1
9_MACS_peak_19942_lociStitched	chr22	38783457	38798487	9	13704	20541.501	64	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.4375	64	1
1_MACS_peak_28712_lociStitched	chr7	150100473	150107143	1	6671	20397.527	65	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	LOC728743	1.745	65	1
3_MACS_peak_25886_lociStitched	chr6	32934849	32941590	3	6290	20384.1099	66	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.0391	66	1
2_MACS_peak_14079_lociStitched	chr18	60822423	60832046	2	9574	20195.7901	67	1	BCL2		BCL2	BCL2	0.3779	67	1
4_MACS_peak_28158_lociStitched	chr7	101382399	101393194	4	10030	20135.9135	68	1			CUX1	CUX1	0.2328	68	1
6_MACS_peak_11940_lociStitched	chr17	6914791	6928170	6	12810	20025.6872	69	1	RNASEK,C17orf49,BCL6B,MIR195,MIR497	ALOX12,SLC16A13,SLC16A11	MIR497	MIR497	1.6082	69	1
1_MACS_peak_2182_lociStitched	chr1	183808692	183816953	1	8262	19899.9229	70	1	RGL1		APOBEC4	APOBEC4	NONE	70	1
4_MACS_peak_16822_lociStitched	chr2	86219764	86228883	4	8632	19867.5653	71	1		LOC90784	LOC90784	LOC90784	0.2096	71	1
3_MACS_peak_18773_lociStitched	chr20	43270616	43282299	3	11390	19864.6049	72	1	ADA	LOC79015	ADA	ADA	0.636	72	1
2_MACS_peak_17824_lociStitched	chr2	217079288	217089623	2	9971	19862.8365	73	1			XRCC5	XRCC5	0.2938	73	1
4_MACS_peak_31081_lociStitched	chr9	93732176	93741957	4	9395	19807.5031	74	1			LOC100129316	LOC100129316	0.1641	74	1
6_MACS_peak_4677_lociStitched	chr11	22684103	22692560	6	8340	19628.697	75	1	GAS2	GAS2,FANCF	GAS2	FANCF	0.3231	75	1
2_MACS_peak_2397_lociStitched	chr1	200986185	200992880	2	6668	19369.974	76	1	KIF21B		KIF21B	KIF21B	0.5481	76	1
1_MACS_peak_28012_lociStitched	chr7	92459122	92466899	1	7778	18812.563	77	1	CDK6		CDK6	CDK6	0.4065	77	1
2_MACS_peak_26161_lociStitched	chr6	45386741	45394448	2	7699	18644.0037	78	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.2322	78	1
2_MACS_peak_1668_lociStitched	chr1	154296576	154302485	2	5825	18545.9874	79	1	AQP10,ATP8B2		ATP8B2	ATP8B2	1.0545	79	1
1_MACS_peak_1671_lociStitched	chr1	154374045	154381941	1	7897	18513.7512	80	1	IL6R		IL6R	IL6R	0.5445	80	1
2_MACS_peak_9785_lociStitched	chr15	60874838	60885436	2	10294	18365.2742	81	1	RORA		RORA	RORA	0.2965	81	1
4_MACS_peak_2507_lociStitched	chr1	206285974	206295219	4	8620	18362.419	82	1	C1orf186	CTSE	C1orf186	C1orf186	0.4969	82	1
4_MACS_peak_14819_lociStitched	chr19	16473781	16485221	4	10616	18146.128	83	1	EPS15L1	KLF2	KLF2	KLF2	0.9311	83	1
2_MACS_peak_22524_lociStitched	chr4	40194104	40203269	2	9147	17974.398	84	1	RHOH		RHOH	RHOH	0.4764	84	1
5_MACS_peak_7071_lociStitched	chr12	109020998	109031676	5	10403	17963.5994	85	1	SELPLG	TMEM119	SELPLG	SELPLG	0.9923	85	1
8_MACS_peak_6500_lociStitched	chr12	53590801	53603590	8	11634	17939.1303	86	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	0.8731	86	1
3_MACS_peak_29112_lociStitched	chr8	26428208	26437377	3	8647	17862.1289	87	1	DPYSL2		DPYSL2	DPYSL2	0.2355	87	1
5_MACS_peak_5872_lociStitched	chr11	128585743	128598274	5	12106	17819.082	88	1	FLI1		FLI1	FLI1	0.3273	88	1
1_MACS_peak_2434_lociStitched	chr1	203254941	203261544	1	6604	17803.0086	89	1		BTG2,LOC730227	LOC730227	LOC730227	1.7087	89	1
2_MACS_peak_28249_lociStitched	chr7	104651443	104657836	2	6323	17770.6221	90	1	MLL5,LOC100216545		MLL5	MLL5	0.2952	90	1
3_MACS_peak_30162_lociStitched	chr8	126441062	126447672	3	6385	17685.055	91	1	TRIB1		TRIB1	TRIB1	1.1541	91	1
4_MACS_peak_25243_lociStitched	chr6	389087	397589	4	8289	17513.2698	92	1	IRF4		IRF4	IRF4	0.803	92	1
4_MACS_peak_19126_lociStitched	chr20	62364511	62373107	4	8476	17478.2468	93	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	1.5371	93	1
2_MACS_peak_29795_lociStitched	chr8	101318162	101323675	2	5509	17472.9022	94	1	RNF19A	RNF19A	RNF19A	RNF19A	0.6175	94	1
8_MACS_peak_31091_lociStitched	chr9	93917328	93928431	8	9393	17442.813	95	1			LOC100129316	LOC100129316	0.1641	95	1
3_MACS_peak_28633_lociStitched	chr7	141254713	141265025	3	10112	17315.9104	96	1	AGK		AGK	AGK	0.392	96	1
3_MACS_peak_28190_lociStitched	chr7	102063773	102070608	3	6758	17226.2505	97	1	PRKRIP1	ORAI2,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.516	97	1
11_MACS_peak_31318_lociStitched	chr9	112908621	112924805	11	14482	17223.0128	98	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.3541	98	1
2_MACS_peak_24713_lociStitched	chr5	138721515	138730427	2	8533	17184.1184	99	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	1.5019	99	1
7_MACS_peak_21340_lociStitched	chr3	124499685	124513675	7	12973	16927.9	100	1	ITGB5		UMPS	UMPS	0.1826	100	1
2_MACS_peak_2956_lociStitched	chr10	3823232	3829091	2	5669	16811.2287	101	1	KLF6		KLF6	KLF6	1.0212	101	1
4_MACS_peak_12604_lociStitched	chr17	40825176	40833894	4	8203	16776.0474	102	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	PLEKHH3	1.0108	102	1
4_MACS_peak_4979_lociStitched	chr11	62316903	62328079	4	10562	16472.3064	103	1	EEF1G	AHNAK,TUT1,MTA2	AHNAK	MTA2	0.4993	103	1
2_MACS_peak_1792_lociStitched	chr1	156716489	156722583	2	6020	16470.2538	104	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	HDGF	1.2589	104	1
6_MACS_peak_29643_lociStitched	chr8	85158720	85169757	6	10186	16466.1003	105	1	RALYL		RALYL	RALYL	0.1563	105	1
2_MACS_peak_7451_lociStitched	chr12	125398417	125406303	2	7873	16424.1722	106	1	UBC	SCARB1	UBC	UBC	1.1524	106	1
3_MACS_peak_28237_lociStitched	chr7	104578642	104587138	3	8344	16395.5808	107	1		LOC723809	LOC723809	LOC723809	0.4056	107	1
5_MACS_peak_21657_lociStitched	chr3	151911497	151923359	5	11286	16313.8086	108	1			MBNL1	MBNL1	0.263	108	1
3_MACS_peak_15182_lociStitched	chr19	39892230	39902386	3	9690	16269.912	109	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	1.4521	109	1
3_MACS_peak_2307_lociStitched	chr1	194796344	194802832	3	6140	16232.976	110	1				NONE	NONE	110	1
2_MACS_peak_19728_lociStitched	chr22	29191229	29199002	2	7278	16169.3946	111	1	XBP1	CCDC117	XBP1	XBP1	1.3456	111	1
12_MACS_peak_6099_lociStitched	chr12	9872103	9887820	12	14164	16095.7797	112	1	CLECL1	CLEC2D,CD69	CLECL1	CLECL1	0.8691	112	1
5_MACS_peak_2354_lociStitched	chr1	198898074	198907465	5	8934	16089.6003	113	1			MIR181A1	MIR181A1	NONE	113	1
2_MACS_peak_10041_lociStitched	chr15	75334059	75341612	2	7529	16075.0499	114	1	PPCDC	SCAMP5	PPCDC	PPCDC	0.7521	114	1
1_MACS_peak_1545_lociStitched	chr1	149801668	149808309	1	6642	16071.22	115	1	HIST2H4B	FCGR1A,HIST2H2BF,HIST2H3D,HIST2H3A,HIST2H2AA4,HIST2H2BC,HIST2H2BE	HIST2H4B	HIST2H3A	2.8836	115	1
2_MACS_peak_441_lociStitched	chr1	27018559	27025245	2	6616	15931.4008	116	1	ARID1A		ARID1A	ARID1A	0.343	116	1
3_MACS_peak_2439_lociStitched	chr1	203288605	203298166	3	9360	15876.0405	117	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	1.7087	117	1
4_MACS_peak_28175_lociStitched	chr7	101928551	101938305	4	9611	15821.9634	118	1	SH2B2,MIR4285		MIR4285	MIR4285	1.0256	118	1
7_MACS_peak_23763_lociStitched	chr5	27462941	27474382	7	10438	15802.3092	119	1			CDH9	CDH9	0.1731	119	1
18_MACS_peak_26761_lociStitched	chr6	135332304	135349264	18	14165	15796.544	120	1	HBS1L	MIR3662,HBS1L	HBS1L	HBS1L	0.3139	120	1
4_MACS_peak_4529_lociStitched	chr11	10323912	10332936	4	8823	15720.7104	121	1	ADM	SBF2	ADM	ADM	1.3424	121	1
3_MACS_peak_2500_lociStitched	chr1	206132395	206139829	3	6635	15669.3852	122	1	FAM72A		FAM72A	FAM72A	0.6561	122	1
3_MACS_peak_21665_lociStitched	chr3	151984062	151990920	3	6821	15638.9832	123	1	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.0451	123	1
3_MACS_peak_23596_lociStitched	chr5	1290852	1297716	3	6718	15621.7776	124	1	TERT	CLPTM1L	TERT	CLPTM1L	0.9176	124	1
1_MACS_peak_2396_lociStitched	chr1	200858935	200864790	1	5856	15610.0155	125	1	C1orf106	GPR25	C1orf106	C1orf106	0.7406	125	1
5_MACS_peak_13433_lociStitched	chr17	79478472	79485251	5	6426	15602.5464	126	1	ACTG1	FSCN2,C17orf70	ACTG1	ACTG1	1.2671	126	1
4_MACS_peak_25644_lociStitched	chr6	27094352	27102869	4	8182	15565.6692	127	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	HIST1H2BJ	1.4753	127	1
1_MACS_peak_1553_lociStitched	chr1	149829156	149835065	1	5910	15548.3517	128	1	HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H3A,HIST2H2AA4,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H3A	2.8836	128	1
3_MACS_peak_5773_lociStitched	chr11	120365550	120374955	3	8938	15497.559	129	1			GRIK4	GRIK4	NONE	129	1
4_MACS_peak_25577_lociStitched	chr6	26025981	26035349	4	9273	15480.62	130	1	HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3A,HIST1H4A,HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H3B	HIST1H3B	1.4311	130	1
4_MACS_peak_3775_lociStitched	chr10	89620179	89628591	4	8097	15456.2088	131	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	PTEN	0.251	131	1
6_MACS_peak_21645_lociStitched	chr3	150314344	150322874	6	8392	15431.623	132	1	SELT	EIF2A,SERP1	SELT	SERP1	0.4913	132	1
2_MACS_peak_13095_lociStitched	chr17	65641831	65650244	2	8356	15369.7097	133	1	PITPNC1		NOL11	NOL11	NONE	133	1
2_MACS_peak_29888_lociStitched	chr8	103816777	103823090	2	6162	15340.59	134	1			AZIN1	AZIN1	0.3122	134	1
5_MACS_peak_4116_lociStitched	chr10	111967300	111975832	5	8324	15309.8208	135	1	MXI1	MXI1	MXI1	MXI1	0.3005	135	1
7_MACS_peak_7387_lociStitched	chr12	123370687	123381141	7	9619	15297.3382	136	1	VPS37B		VPS37B	VPS37B	0.7871	136	1
3_MACS_peak_3044_lociStitched	chr10	11216750	11224177	3	7302	15259.5142	137	1	CELF2		CELF2	CELF2	0.4277	137	1
5_MACS_peak_28181_lociStitched	chr7	101945397	101954007	5	8077	15250.032	138	1	SH2B2	MIR4285,SPDYE6	MIR4285	MIR4285	1.0256	138	1
1_MACS_peak_9947_lociStitched	chr15	69109105	69114482	1	5378	15245.4081	139	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	ANP32A	0.6195	139	1
3_MACS_peak_3793_lociStitched	chr10	90144014	90152636	3	8372	15243.696	140	1	RNLS		RNLS	RNLS	0.1809	140	1
2_MACS_peak_10063_lociStitched	chr15	75491150	75497177	2	5981	15201.2994	141	1	C15orf39		C15orf39	C15orf39	0.9099	141	1
3_MACS_peak_25798_lociStitched	chr6	31701402	31708992	3	7391	15172.41	142	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	CLIC1	1.1302	142	1
5_MACS_peak_8767_lociStitched	chr14	77487548	77496472	5	8537	15052.1108	143	1	C14orf4		C14orf4	C14orf4	1.3108	143	1
8_MACS_peak_20667_lociStitched	chr3	45605926	45618471	8	11271	14944.8585	144	1		LIMD1	LIMD1	LIMD1	0.2772	144	1
3_MACS_peak_9726_lociStitched	chr15	58749435	58759107	3	9215	14891.9784	145	1	LIPC		LIPC	LIPC	0.5711	145	1
1_MACS_peak_1531_lociStitched	chr1	149222039	149225573	1	3535	14868.9516	146	1			LOC388692	LOC388692	NONE	146	1
3_MACS_peak_31074_lociStitched	chr9	93701422	93708710	3	7202	14839.0968	147	1			SYK	SYK	NONE	147	1
1_MACS_peak_18760_lociStitched	chr20	42695557	42700704	1	5148	14803.2867	148	1	TOX2		JPH2	JPH2	NONE	148	1
3_MACS_peak_28007_lociStitched	chr7	92437175	92445852	3	8459	14769.1217	149	1	CDK6		CDK6	CDK6	0.4065	149	1
4_MACS_peak_4973_lociStitched	chr11	62223496	62232769	4	9080	14738.5062	150	1	AHNAK	SCGB1A1	SCGB1A1	SCGB1A1	0.2321	150	1
1_MACS_peak_3043_lociStitched	chr10	11203611	11210199	1	6589	14663.5704	151	1	CELF2		CELF2	CELF2	0.4277	151	1
1_MACS_peak_29739_lociStitched	chr8	95970069	95976953	1	6885	14580.312	152	1		TP53INP1	TP53INP1	TP53INP1	0.9305	152	1
3_MACS_peak_18737_lociStitched	chr20	42336571	42345985	3	9367	14445.783	153	1	MYBL2	GTSF1L	GTSF1L	GTSF1L	0.3722	153	1
4_MACS_peak_29926_lociStitched	chr8	105287846	105295105	4	7129	14357.5761	154	1			TM7SF4	TM7SF4	NONE	154	1
2_MACS_peak_1838_lociStitched	chr1	160677075	160684842	2	7589	14349.5325	155	1	CD48	SLAMF7	CD48	CD48	0.6046	155	1
2_MACS_peak_1862_lociStitched	chr1	161151085	161157730	2	6622	14268.144	156	1		UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,B4GALT3,ADAMTS4,APOA2	B4GALT3	ADAMTS4	1.0521	156	1
1_MACS_peak_29133_lociStitched	chr8	27230442	27238585	1	8144	14260.0216	157	1	PTK2B		PTK2B	PTK2B	0.4112	157	1
4_MACS_peak_11514_lociStitched	chr16	79629847	79637025	4	6599	14188.7526	158	1	MAF		MAF	MAF	0.917	158	1
5_MACS_peak_22972_lociStitched	chr4	105407251	105417028	5	9363	14136.5643	159	1	CXXC4		CXXC4	CXXC4	0.5777	159	1
3_MACS_peak_11529_lociStitched	chr16	79908049	79916096	3	7573	14123.2897	160	1			MAF	MAF	0.917	160	1
1_MACS_peak_29820_lociStitched	chr8	101962303	101966333	1	4031	14063.894	161	1	YWHAZ		YWHAZ	YWHAZ	0.4742	161	1
1_MACS_peak_30031_lociStitched	chr8	119574209	119580903	1	6695	13914.1484	162	1	SAMD12		SAMD12	SAMD12	0.2358	162	1
2_MACS_peak_13920_lociStitched	chr18	46473475	46480056	2	6534	13904.9949	163	1	SMAD7	SMAD7	SMAD7	SMAD7	1.0255	163	1
1_MACS_peak_4260_lociStitched	chr10	125850107	125856047	1	5941	13894.848	164	1	CHST15		CHST15	CHST15	0.3813	164	1
8_MACS_peak_9895_lociStitched	chr15	67368792	67381131	8	11241	13875.2055	165	1	SMAD3	SMAD3	SMAD3	SMAD3	0.3944	165	1
3_MACS_peak_7299_lociStitched	chr12	121690744	121699733	3	8637	13867.3303	166	1	CAMKK2	P2RX4	CAMKK2	CAMKK2	0.6291	166	1
4_MACS_peak_25681_lociStitched	chr6	27857652	27863892	4	5985	13846.56	167	1	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	HIST1H2AM	1.4338	167	1
10_MACS_peak_19208_lociStitched	chr21	19151867	19163847	10	10867	13781.792	168	1	C21orf91		C21orf91	C21orf91	0.5644	168	1
2_MACS_peak_2183_lociStitched	chr1	183876535	183883857	2	6950	13659.9232	169	1	RGL1		GLT25D2	GLT25D2	NONE	169	1
2_MACS_peak_9688_lociStitched	chr15	54872505	54879251	2	6664	13650.531	170	1	UNC13C		UNC13C	UNC13C	0.1388	170	1
5_MACS_peak_11412_lociStitched	chr16	71186371	71194434	5	7616	13626.47	171	1	HYDIN		HYDIN	HYDIN	0.222	171	1
