REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_10747_lociStitched	chr16	14394935	14405511	3	10463	23127.5968	60	1	MIR193B,MIR365-1		MIR193B	60	1
4_MACS_peak_2089_lociStitched	chr1	174931964	174942885	4	10829	21044.767	61	1		CACYBP,MRPS14	CACYBP	61	1
5_MACS_peak_21657_lociStitched	chr3	151911497	151923359	5	11286	16313.8086	62	1			MBNL1	62	1
1_MACS_peak_1746_lociStitched	chr1	155943980	155953499	1	9520	25273.8969	63	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	63	1
8_MACS_peak_20667_lociStitched	chr3	45605926	45618471	8	11271	14944.8585	64	1		LIMD1	LIMD1	64	1
8_MACS_peak_9895_lociStitched	chr15	67368792	67381131	8	11241	13875.2055	65	1	SMAD3	SMAD3	SMAD3	65	1
4_MACS_peak_14819_lociStitched	chr19	16473781	16485221	4	10616	18146.128	66	1	EPS15L1	KLF2	KLF2	66	1
5_MACS_peak_26541_lociStitched	chr6	106543451	106555125	5	11035	13622.3906	67	1	PRDM1		PRDM1	67	1
5_MACS_peak_7071_lociStitched	chr12	109020998	109031676	5	10403	17963.5994	68	1	SELPLG	TMEM119	SELPLG	68	1
4_MACS_peak_28158_lociStitched	chr7	101382399	101393194	4	10030	20135.9135	69	1			CUX1	69	1
5_MACS_peak_23469_lociStitched	chr4	185200709	185210726	5	9827	21182.9499	70	1			ENPP6	70	1
2_MACS_peak_9785_lociStitched	chr15	60874838	60885436	2	10294	18365.2742	71	1	RORA		RORA	71	1
4_MACS_peak_4979_lociStitched	chr11	62316903	62328079	4	10562	16472.3064	72	1	EEF1G	AHNAK,TUT1,MTA2	AHNAK	72	1
10_MACS_peak_19208_lociStitched	chr21	19151867	19163847	10	10867	13781.792	73	1	C21orf91		C21orf91	73	1
2_MACS_peak_17824_lociStitched	chr2	217079288	217089623	2	9971	19862.8365	74	1			XRCC5	74	1
4_MACS_peak_1546_lociStitched	chr1	149809645	149817659	4	7981	27942.4138	75	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2AA4	75	1
7_MACS_peak_23763_lociStitched	chr5	27462941	27474382	7	10438	15802.3092	76	1			CDH9	76	1
3_MACS_peak_28633_lociStitched	chr7	141254713	141265025	3	10112	17315.9104	77	1	AGK		AGK	77	1
6_MACS_peak_29643_lociStitched	chr8	85158720	85169757	6	10186	16466.1003	78	1	RALYL		RALYL	78	1
2_MACS_peak_14079_lociStitched	chr18	60822423	60832046	2	9574	20195.7901	79	1	BCL2		BCL2	79	1
3_MACS_peak_23903_lociStitched	chr5	53813487	53823335	3	9360	20930.9392	80	1	SNX18		SNX18	80	1
10_MACS_peak_7894_lociStitched	chr13	65979654	65991361	10	10493	12438.6875	81	1				81	1
4_MACS_peak_31081_lociStitched	chr9	93732176	93741957	4	9395	19807.5031	82	1			LOC100129316	82	1
7_MACS_peak_12534_lociStitched	chr17	38473775	38484536	7	10270	12962.7006	83	1	RARA	CDC6,RARA,GJD3	RARA	83	1
13_MACS_peak_12313_lociStitched	chr17	29576498	29588947	13	10509	10428.5273	84	1	NF1	OMG	OMG	84	1
9_MACS_peak_30047_lociStitched	chr8	120924556	120935885	9	10097	13353.4923	85	1	DEPDC6		DEPDC6	85	1
3_MACS_peak_15182_lociStitched	chr19	39892230	39902386	3	9690	16269.912	86	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	86	1
9_MACS_peak_27184_lociStitched	chr7	11330532	11341744	9	10126	12774.9528	87	1			PHF14	87	1
3_MACS_peak_1696_lociStitched	chr1	154969624	154977530	3	7724	25169.5416	88	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	88	1
1_MACS_peak_21878_lociStitched	chr3	176912348	176921112	1	8765	20873.2188	89	1	TBL1XR1		TBL1XR1	89	1
8_MACS_peak_31091_lociStitched	chr9	93917328	93928431	8	9393	17442.813	90	1			LOC100129316	90	1
4_MACS_peak_28175_lociStitched	chr7	101928551	101938305	4	9611	15821.9634	91	1	SH2B2,MIR4285		MIR4285	91	1
8_MACS_peak_17076_lociStitched	chr2	112191559	112202499	8	10036	12067.914	92	1	LOC541471		LOC541471	92	1
7_MACS_peak_7387_lociStitched	chr12	123370687	123381141	7	9619	15297.3382	93	1	VPS37B		VPS37B	93	1
6_MACS_peak_14945_lociStitched	chr19	19054221	19064922	6	10018	11899.512	94	1		DDX49,GDF1,COPE,HOMER3	HOMER3	94	1
2_MACS_peak_22524_lociStitched	chr4	40194104	40203269	2	9147	17974.398	95	1	RHOH		RHOH	95	1
3_MACS_peak_2439_lociStitched	chr1	203288605	203298166	3	9360	15876.0405	96	1		BTG2,LOC730227,FMOD	BTG2	96	1
9_MACS_peak_3014_lociStitched	chr10	7510923	7522377	9	9831	12151.5486	97	1			SFMBT2	97	1
1_MACS_peak_2000_lociStitched	chr1	167595778	167602409	1	6632	27216.9395	98	1	RCSD1		RCSD1	98	1
4_MACS_peak_16822_lociStitched	chr2	86219764	86228883	4	8632	19867.5653	99	1		LOC90784	LOC90784	99	1
5_MACS_peak_16863_lociStitched	chr2	87806243	87816536	5	9683	13291.3509	100	1	NCRNA00152		NCRNA00152	100	1
4_MACS_peak_25577_lociStitched	chr6	26025981	26035349	4	9273	15480.62	101	1	HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3A,HIST1H4A,HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H3B	101	1
3_MACS_peak_18737_lociStitched	chr20	42336571	42345985	3	9367	14445.783	102	1	MYBL2	GTSF1L	GTSF1L	102	1
5_MACS_peak_22972_lociStitched	chr4	105407251	105417028	5	9363	14136.5643	103	1	CXXC4		CXXC4	103	1
3_MACS_peak_9726_lociStitched	chr15	58749435	58759107	3	9215	14891.9784	104	1	LIPC		LIPC	104	1
4_MACS_peak_2507_lociStitched	chr1	206285974	206295219	4	8620	18362.419	105	1	C1orf186	CTSE	C1orf186	105	1
6_MACS_peak_4677_lociStitched	chr11	22684103	22692560	6	8340	19628.697	106	1	GAS2	GAS2,FANCF	GAS2	106	1
1_MACS_peak_2182_lociStitched	chr1	183808692	183816953	1	8262	19899.9229	107	1	RGL1		APOBEC4	107	1
3_MACS_peak_29112_lociStitched	chr8	26428208	26437377	3	8647	17862.1289	108	1	DPYSL2		DPYSL2	108	1
5_MACS_peak_2354_lociStitched	chr1	198898074	198907465	5	8934	16089.6003	109	1			MIR181A1	109	1
4_MACS_peak_4973_lociStitched	chr11	62223496	62232769	4	9080	14738.5062	110	1	AHNAK	SCGB1A1	SCGB1A1	110	1
10_MACS_peak_24274_lociStitched	chr5	88163687	88174449	10	9515	11121.4508	111	1	MEF2C	MEF2C	MEF2C	111	1
3_MACS_peak_5773_lociStitched	chr11	120365550	120374955	3	8938	15497.559	112	1			GRIK4	112	1
5_MACS_peak_30170_lociStitched	chr8	126779822	126789192	5	9161	13568.697	113	1			TRIB1	113	1
8_MACS_peak_7930_lociStitched	chr13	66203423	66213907	8	9493	10614.0016	114	1				114	1
3_MACS_peak_19732_lociStitched	chr22	29212227	29221522	3	9224	12906.1075	115	1		CCDC117,XBP1	XBP1	115	1
3_MACS_peak_12099_lociStitched	chr17	17390681	17400283	3	9314	12107.1618	116	1	MED9,RASD1		RASD1	116	1
4_MACS_peak_4529_lociStitched	chr11	10323912	10332936	4	8823	15720.7104	117	1	ADM	SBF2	ADM	117	1
2_MACS_peak_24713_lociStitched	chr5	138721515	138730427	2	8533	17184.1184	118	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	118	1
4_MACS_peak_19126_lociStitched	chr20	62364511	62373107	4	8476	17478.2468	119	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	119	1
6_MACS_peak_16348_lociStitched	chr2	46794424	46805006	6	9357	10552.3704	120	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	120	1
4_MACS_peak_25243_lociStitched	chr6	389087	397589	4	8289	17513.2698	121	1	IRF4		IRF4	121	1
9_MACS_peak_7992_lociStitched	chr13	91991624	92001742	9	9200	10452.9058	122	1	MIR17HG	MIR17,MIR18A,MIR19A,MIR20A,MIR19B1,MIR92A1,GPC5	MIR17HG	122	1
6_MACS_peak_3240_lociStitched	chr10	23727310	23737016	6	8991	12213.0598	123	1	OTUD1		OTUD1	123	1
3_MACS_peak_28237_lociStitched	chr7	104578642	104587138	3	8344	16395.5808	124	1		LOC723809	LOC723809	124	1
4_MACS_peak_26182_lociStitched	chr6	45674131	45683454	4	8797	13343.0776	125	1			RUNX2	125	1
5_MACS_peak_8767_lociStitched	chr14	77487548	77496472	5	8537	15052.1108	126	1	C14orf4		C14orf4	126	1
1_MACS_peak_1671_lociStitched	chr1	154374045	154381941	1	7897	18513.7512	127	1	IL6R		IL6R	127	1
4_MACS_peak_12604_lociStitched	chr17	40825176	40833894	4	8203	16776.0474	128	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	128	1
1_MACS_peak_28012_lociStitched	chr7	92459122	92466899	1	7778	18812.563	129	1	CDK6		CDK6	129	1
3_MACS_peak_7299_lociStitched	chr12	121690744	121699733	3	8637	13867.3303	130	1	CAMKK2	P2RX4	CAMKK2	130	1
6_MACS_peak_21645_lociStitched	chr3	150314344	150322874	6	8392	15431.623	131	1	SELT	EIF2A,SERP1	SELT	131	1
6_MACS_peak_26535_lociStitched	chr6	106533303	106542913	6	9045	10151.043	132	1	PRDM1	PRDM1	PRDM1	132	1
3_MACS_peak_28007_lociStitched	chr7	92437175	92445852	3	8459	14769.1217	133	1	CDK6		CDK6	133	1
2_MACS_peak_13095_lociStitched	chr17	65641831	65650244	2	8356	15369.7097	134	1	PITPNC1		NOL11	134	1
3_MACS_peak_3793_lociStitched	chr10	90144014	90152636	3	8372	15243.696	135	1	RNLS		RNLS	135	1
5_MACS_peak_4116_lociStitched	chr10	111967300	111975832	5	8324	15309.8208	136	1	MXI1	MXI1	MXI1	136	1
2_MACS_peak_26161_lociStitched	chr6	45386741	45394448	2	7699	18644.0037	137	1	RUNX2	SUPT3H	RUNX2	137	1
2_MACS_peak_1554_lociStitched	chr1	149855164	149861437	2	6196	24119.685	138	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	138	1
5_MACS_peak_27562_lociStitched	chr7	50343041	50352271	5	8831	11485.812	139	1	IKZF1		IKZF1	139	1
4_MACS_peak_17993_lociStitched	chr2	232570140	232577512	4	7077	20884.1388	140	1	PTMA	MIR1244-1	PTMA	140	1
4_MACS_peak_25644_lociStitched	chr6	27094352	27102869	4	8182	15565.6692	141	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	141	1
6_MACS_peak_21897_lociStitched	chr3	178230007	178239217	6	8551	12987.942	142	1		KCNMB2	KCNMB2	142	1
5_MACS_peak_3136_lociStitched	chr10	15826747	15836251	5	8658	11681.3664	143	1	FAM188A		ITGA8	143	1
5_MACS_peak_21545_lociStitched	chr3	140471769	140480789	5	8649	11620.466	144	1			TRIM42	144	1
4_MACS_peak_3775_lociStitched	chr10	89620179	89628591	4	8097	15456.2088	145	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	145	1
2_MACS_peak_7451_lociStitched	chr12	125398417	125406303	2	7873	16424.1722	146	1	UBC	SCARB1	UBC	146	1
5_MACS_peak_28181_lociStitched	chr7	101945397	101954007	5	8077	15250.032	147	1	SH2B2	MIR4285,SPDYE6	MIR4285	147	1
3_MACS_peak_25413_lociStitched	chr6	11829425	11837809	3	8254	13613.9392	148	1			C6orf105	148	1
1_MACS_peak_29133_lociStitched	chr8	27230442	27238585	1	8144	14260.0216	149	1	PTK2B		PTK2B	149	1
3_MACS_peak_7341_lociStitched	chr12	122237164	122244117	3	6791	20763.7439	150	1	SETD1B,LOC338799	RHOF	LOC338799	150	1
6_MACS_peak_9739_lociStitched	chr15	58841219	58850371	6	8546	10855.1872	151	1	LIPC		LIPC	151	1
6_MACS_peak_6004_lociStitched	chr12	4377568	4386579	6	8388	12148.6302	152	1	CCND2	C12orf5	CCND2	152	1
5_MACS_peak_24805_lociStitched	chr5	142776714	142785663	5	8213	13083.438	153	1	NR3C1		NR3C1	153	1
1_MACS_peak_28712_lociStitched	chr7	150100473	150107143	1	6671	20397.527	154	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	154	1
6_MACS_peak_19050_lociStitched	chr20	58674704	58683356	6	8159	12694.2144	155	1		C20orf197	C20orf197	155	1
8_MACS_peak_6386_lociStitched	chr12	48200673	48209569	8	8274	11676.8896	156	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	156	1
2_MACS_peak_10041_lociStitched	chr15	75334059	75341612	2	7529	16075.0499	157	1	PPCDC	SCAMP5	PPCDC	157	1
7_MACS_peak_1917_lociStitched	chr1	162552698	162561603	7	8253	10480.2945	158	1	UAP1	DDR2	UAP1	158	1
2_MACS_peak_2397_lociStitched	chr1	200986185	200992880	2	6668	19369.974	159	1	KIF21B		KIF21B	159	1
4_MACS_peak_13161_lociStitched	chr17	72743531	72752039	4	8074	11795.4912	160	1	SLC9A3R1,MIR3615	RAB37,TMEM104,CD300LF,NAT9	SLC9A3R1	160	1
4_MACS_peak_5623_lociStitched	chr11	111237324	111246164	4	8224	10275.616	161	1	POU2AF1		POU2AF1	161	1
5_MACS_peak_7237_lociStitched	chr12	120553141	120561693	5	8083	11420.3408	162	1	RAB35		RAB35	162	1
4_MACS_peak_21734_lociStitched	chr3	156847882	156856248	4	7785	13419.9006	163	1		LOC100498859,LOC339894,CCNL1	LOC339894	163	1
3_MACS_peak_25886_lociStitched	chr6	32934849	32941590	3	6290	20384.1099	164	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	164	1
2_MACS_peak_19728_lociStitched	chr22	29191229	29199002	2	7278	16169.3946	165	1	XBP1	CCDC117	XBP1	165	1
7_MACS_peak_6163_lociStitched	chr12	12866599	12875321	7	7973	11865.4088	166	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	166	1
7_MACS_peak_18515_lociStitched	chr20	31254018	31262963	7	7736	13506.0555	167	1		C20orf203	C20orf203	167	1
2_MACS_peak_1838_lociStitched	chr1	160677075	160684842	2	7589	14349.5325	168	1	CD48	SLAMF7	CD48	168	1
3_MACS_peak_11529_lociStitched	chr16	79908049	79916096	3	7573	14123.2897	169	1			MAF	169	1
3_MACS_peak_25798_lociStitched	chr6	31701402	31708992	3	7391	15172.41	170	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	170	1
5_MACS_peak_11412_lociStitched	chr16	71186371	71194434	5	7616	13626.47	171	1	HYDIN		HYDIN	171	1
4_MACS_peak_8681_lociStitched	chr14	73353270	73361843	4	7924	11276.9242	172	1	DPF3	DCAF4	DPF3	172	1
3_MACS_peak_3044_lociStitched	chr10	11216750	11224177	3	7302	15259.5142	173	1	CELF2		CELF2	173	1
3_MACS_peak_13993_lociStitched	chr18	52983841	52991864	3	7903	11314.8369	174	1	TCF4		TCF4	174	1
3_MACS_peak_12081_lociStitched	chr17	16872348	16880471	3	7764	11734.4858	175	1	TNFRSF13B		TNFRSF13B	175	1
3_MACS_peak_28190_lociStitched	chr7	102063773	102070608	3	6758	17226.2505	176	1	PRKRIP1	ORAI2,LRWD1,ALKBH4,POLR2J	ORAI2	176	1
3_MACS_peak_13597_lociStitched	chr18	9101725	9109370	3	7458	13509.4795	177	1	NDUFV2	ANKRD12	NDUFV2	177	1
1_MACS_peak_2434_lociStitched	chr1	203254941	203261544	1	6604	17803.0086	178	1		BTG2,LOC730227	LOC730227	178	1
3_MACS_peak_31074_lociStitched	chr9	93701422	93708710	3	7202	14839.0968	179	1			SYK	179	1
2_MACS_peak_9929_lociStitched	chr15	68492659	68500166	2	7466	12809.1941	180	1	CALML4,CLN6		CALML4	180	1
2_MACS_peak_12840_lociStitched	chr17	48226227	48233853	2	7604	11543.4762	181	1	PPP1R9B	SGCA,SAMD14,HILS1,COL1A1	PPP1R9B	181	1
3_MACS_peak_28170_lociStitched	chr7	101632462	101640343	3	7714	10653.5358	182	1	CUX1		CUX1	182	1
4_MACS_peak_29926_lociStitched	chr8	105287846	105295105	4	7129	14357.5761	183	1			TM7SF4	183	1
2_MACS_peak_18453_lociStitched	chr20	25274312	25281784	2	7367	12823.4464	184	1	PYGB,ABHD12		PYGB	184	1
4_MACS_peak_6607_lociStitched	chr12	57076733	57084414	4	7349	12864.1388	185	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	185	1
6_MACS_peak_22291_lociStitched	chr4	10094300	10103061	6	7642	10642.8628	186	1	WDR1	MIR3138	MIR3138	186	1
3_MACS_peak_30162_lociStitched	chr8	126441062	126447672	3	6385	17685.055	187	1	TRIB1		TRIB1	187	1
3_MACS_peak_5678_lociStitched	chr11	115132991	115140526	3	7489	11799.81	188	1	CADM1		CADM1	188	1
3_MACS_peak_21665_lociStitched	chr3	151984062	151990920	3	6821	15638.9832	189	1	MBNL1,LOC401093	MBNL1	LOC401093	189	1
2_MACS_peak_28249_lociStitched	chr7	104651443	104657836	2	6323	17770.6221	190	1	MLL5,LOC100216545		MLL5	190	1
1_MACS_peak_1545_lociStitched	chr1	149801668	149808309	1	6642	16071.22	191	1	HIST2H4B	FCGR1A,HIST2H2BF,HIST2H3D,HIST2H3A,HIST2H2AA4,HIST2H2BC,HIST2H2BE	HIST2H4B	191	1
2_MACS_peak_106_lociStitched	chr1	6977281	6984709	2	7340	12153.6936	192	1	CAMTA1		CAMTA1	192	1
3_MACS_peak_23596_lociStitched	chr5	1290852	1297716	3	6718	15621.7776	193	1	TERT	CLPTM1L	TERT	193	1
2_MACS_peak_441_lociStitched	chr1	27018559	27025245	2	6616	15931.4008	194	1	ARID1A		ARID1A	194	1
1_MACS_peak_29739_lociStitched	chr8	95970069	95976953	1	6885	14580.312	195	1		TP53INP1	TP53INP1	195	1
4_MACS_peak_21727_lociStitched	chr3	156804088	156811470	4	7180	12687.4434	196	1	LOC100498859,LOC339894		LOC100498859	196	1
3_MACS_peak_2500_lociStitched	chr1	206132395	206139829	3	6635	15669.3852	197	1	FAM72A		FAM72A	197	1
3_MACS_peak_10817_lociStitched	chr16	17435648	17443075	3	7324	11386.3337	198	1	XYLT1		XYLT1	198	1
3_MACS_peak_10677_lociStitched	chr16	10969711	10977265	3	7095	12902.232	199	1	CIITA		CIITA	199	1
2_MACS_peak_2183_lociStitched	chr1	183876535	183883857	2	6950	13659.9232	200	1	RGL1		GLT25D2	200	1
2_MACS_peak_1668_lociStitched	chr1	154296576	154302485	2	5825	18545.9874	201	1	AQP10,ATP8B2		ATP8B2	201	1
3_MACS_peak_16196_lociStitched	chr2	33716980	33724557	3	7210	11465.5164	202	1	RASGRP3	RASGRP3	RASGRP3	202	1
