GENE_ID	locusLine	bin_1_OPM-2.jin.bam
NM_006818	chr1(.):151027150-151045973	1.8682
NM_017860	chr1(.):151015258-151028871	0.2111
NM_144618	chr1(.):151038079-151096007	0.5202
NM_002810	chr1(.):151222196-151244954	0.2941
NM_002651	chr1(.):151259272-151305133	0.3033
NM_001198774	chr1(.):151259272-151305191	0.3029
NM_020770	chr1(.):151478861-151516167	0.7084
NR_030280	chr1(.):151513271-151523367	0.3535
NM_005620	chr1(.):151999981-152014511	1.4679
NM_002966	chr1(.):151950385-151971714	0.1397
NM_001024213	chr1(.):153586275-153604524	0.1835
NM_005979	chr1(.):153586275-153605715	0.179
NM_001024211	chr1(.):153586275-153605117	0.1814
NM_001024212	chr1(.):153586275-153604744	0.1813
NM_001024210	chr1(.):153586275-153611568	1.0672
NM_020672	chr1(.):153581731-153593790	0.169
NM_080388	chr1(.):153574366-153590514	0.1694
NM_006271	chr1(.):153595872-153609513	1.8653
NM_004515	chr1(.):153629513-153648479	0.9217
NM_000906	chr1(.):153646163-153671468	0.1386
NM_012437	chr1(.):153626144-153639326	0.4285
NM_024330	chr1(.):153742767-153757633	0.9481
NM_001098616	chr1(.):154174182-154198273	2.4336
NM_001127320	chr1(.):154187654-154240980	0.8637
NM_001010979	chr1(.):154166847-154183809	0.965
NR_030600	chr1(.):154161140-154171219	0.2844
NM_014847	chr1(.):154188324-154248329	0.943
NM_020452	chr1(.):154295275-154328780	1.6255
NM_001005855	chr1(.):154293035-154315322	2.3368
NM_080429	chr1(.):154288591-154302801	3.5278
NM_017582	chr1(.):154516050-154536120	0.7788
NM_001193495	chr1(.):154549533-154583776	0.9004
NM_001111	chr1(.):154549533-154585724	0.8644
NM_001025107	chr1(.):154549533-154605456	0.9903
NM_000748	chr1(.):154535256-154557353	0.1305
NM_006556	chr1(.):154892207-154914484	3.5477
NM_001130041	chr1(.):154929773-154951959	2.5214
NM_001130040	chr1(.):154929773-154948223	2.8362
NM_201398	chr1(.):154950769-154970587	0.5449
NM_015872	chr1(.):154970111-154995999	1.8448
NM_207196	chr1(.):155018761-155040252	0.6086
NM_018655	chr1(.):154961061-154971791	0.5561
NM_001143687	chr1(.):155001281-155028406	0.4254
NR_024163	chr1(.):154942117-154956725	2.9334
NM_144622	chr1(.):154986002-155011257	0.1513
NM_138300	chr1(.):154924501-154939258	1.6816
NR_036212	chr1(.):154943168-154953259	3.4122
NR_027023	chr1(.):155526771-155538735	2.9238
NM_001198905	chr1(.):155624232-155663568	0.9222
NM_001198899	chr1(.):155624232-155654620	0.1157
NM_139118	chr1(.):155624232-155663823	0.9163
NM_139121	chr1(.):155624232-155663764	0.9177
NM_001198901	chr1(.):155624232-155663819	0.9164
NM_139119	chr1(.):155624232-155663565	0.9223
NM_001198904	chr1(.):155624232-155663447	0.9251
NM_004632	chr1(.):155653873-155713319	0.6525
NM_001198902	chr1(.):155624232-155663515	0.9235
NM_033657	chr1(.):155653873-155713317	0.6525
NM_032292	chr1(.):155729575-155831972	0.3632
NM_001037533	chr1(.):155714509-155831972	0.38
NM_006912	chr1(.):155862600-155886177	0.2305
NM_001162384	chr1(.):155911629-155953336	2.4335
NM_181885	chr1(.):155906479-155917625	2.4632
NM_004723	chr1(.):155911629-155952966	2.4387
NM_014949	chr1(.):155877835-155909188	0.7597
NR_002974	chr1(.):155884699-155894833	0.1136
NR_003005	chr1(.):155890748-155900877	0.1667
NM_001093725	chr1(.):156036803-156056789	0.3365
NM_003145	chr1(.):155973838-155995758	0.4883
NM_198406	chr1(.):156208208-156222792	0.4941
NM_014655	chr1(.):156158729-156187587	1.1824
NM_007221	chr1(.):156177783-156214833	2.3249
NM_022367	chr1(.):156118321-156152542	0.5198
NM_001193302	chr1(.):156118368-156152542	0.5197
NM_199173	chr1(.):156206950-156218112	0.5619
NM_024897	chr1(.):156208206-156222843	0.4933
NM_001193301	chr1(.):156114734-156152542	0.7145
NR_026678	chr1(.):156247703-156267234	1.0673
NM_032323	chr1(.):156249069-156267234	1.1304
NM_144580	chr1(.):156257483-156270449	0.1176
NM_001004319	chr1(.):156263414-156274428	0.1302
NM_005920	chr1(.):156428518-156475529	2.432
NM_006365	chr1(.):156369054-156404184	0.1584
NR_029691	chr1(.):156385132-156395221	0.2747
NM_004494	chr1(.):156706898-156726543	2.1012
NM_001126051	chr1(.):156706898-156727024	2.0519
NM_001126050	chr1(.):156706898-156727240	2.0311
NM_030980	chr1(.):156687412-156702705	1.262
NM_001878	chr1(.):156664407-156680375	0.1653
NM_001142560	chr1(.):156693262-156711752	1.626
NM_145729	chr1(.):156702093-156715923	1.0918
NM_006617	chr1(.):156633555-156652189	0.4978
NR_001560	chr1(.):157093153-157103463	0.5052
NM_005240	chr1(.):157097975-157113177	2.1995
NM_001145312	chr1(.):157089458-157113383	1.4555
NM_001004341	chr1(.):157056834-157074600	0.1989
NM_003564	chr1(.):159882902-159900284	1.1841
NM_012337	chr1(.):159837153-159874906	0.1696
NM_001146172	chr1(.):159916281-159929044	0.087
NM_015726	chr1(.):160180504-160237350	0.4739
NM_001193644	chr1(.):160241598-160259941	0.2233
NR_028106	chr1(.):160204011-160237277	0.6707
NR_028105	chr1(.):160204011-160237318	0.6699
NR_028104	chr1(.):160180504-160237318	0.4739
NM_001778	chr1(.):160643535-160686585	1.1054
NM_021181	chr1(.):160704076-160729601	0.6018
NM_001039711	chr1(.):161085768-161107478	1.1518
NM_016406	chr1(.):161118533-161133646	1.3652
NM_004550	chr1(.):161164104-161189184	0.6972
NM_000309	chr1(.):161131180-161146010	0.816
NM_001643	chr1(.):161187082-161198418	0.8045
NM_003779	chr1(.):161136100-161152314	2.1594
NM_012475	chr1(.):161124253-161140516	0.9562
NM_001039712	chr1(.):161085768-161107256	1.1621
NM_032174	chr1(.):161190832-161205407	0.6027
NM_001166159	chr1(.):161166936-161189184	0.7389
NM_005099	chr1(.):161154537-161173845	2.2612
NM_004106	chr1(.):161180086-161194038	0.2664
NM_003115	chr1(.):162526295-162574633	1.0773
NM_019026	chr1(.):165688527-165743135	1.0736
NM_198053	chr1(.):167394876-167492847	0.3048
NM_003851	chr1(.):167505250-167528056	1.3001
NM_018417	chr1(.):167773624-167888453	0.0952
NM_000450	chr1(.):169686780-169708220	0.3395
NR_029467	chr1(.):169654805-169682997	0.8406
NM_000655	chr1(.):169654805-169685843	0.7737
NM_181093	chr1(.):169816803-169868076	0.5151
NM_014283	chr1(.):172497259-172585973	0.3013
NM_016227	chr1(.):172497316-172585973	0.3015
NM_001127181	chr1(.):173763687-173798777	0.5472
NM_001171182	chr1(.):173763687-173798270	0.5546
NM_001122770	chr1(.):173832492-173860774	0.6293
NR_003943	chr1(.):173830448-173840509	1.6643
NR_003942	chr1(.):173830772-173840853	1.658
NR_003941	chr1(.):173831016-173841076	1.6477
NR_003940	chr1(.):173828970-173839041	1.6546
NR_003939	chr1(.):173829487-173839568	1.6545
NR_002579	chr1(.):173831811-173841883	1.6323
NR_003938	chr1(.):173828312-173838355	1.6488
NR_002750	chr1(.):173830105-173840166	1.665
NR_002746	chr1(.):173828506-173838583	1.6458
NR_003944	chr1(.):173829770-173839824	1.6624
NR_037605	chr1(.):173827385-173838079	1.533
NR_002578	chr1(.):173828038-173842125	1.2236
NM_022100	chr1(.):174977093-174997591	0.4952
NM_001162893	chr1(.):175121122-175167229	0.4526
NM_014656	chr1(.):175121122-175166949	0.4554
NM_022371	chr1(.):179046111-179070129	1.4658
NM_015602	chr1(.):179846419-179894211	0.5508
NM_015101	chr1(.):183899965-184011863	0.1577
NM_006469	chr1(.):185260521-185291461	0.7707
NM_015984	chr1(.):192976495-193033523	0.4785
NM_001199262	chr1(.):192982534-193033523	0.5261
NM_001042370	chr1(.):193024003-193065906	0.662
NM_004600	chr1(.):193024003-193060115	0.7571
NM_001173524	chr1(.):193023551-193060115	0.7498
NM_001195216	chr1(.):197698138-197749623	0.9143
NM_005298	chr1(.):200837165-200848251	0.2627
NM_018265	chr1(.):200855638-200889864	0.7936
NM_001142569	chr1(.):200858998-200889864	0.6969
NM_017596	chr1(.):200933519-200997828	0.8423
NM_004767	chr1(.):202087028-202103634	0.1389
NM_080588	chr1(.):202111142-202134119	1.123
NR_002930	chr1(.):202132178-202163577	0.1262
NM_002832	chr1(.):202111142-202134751	1.0942
NM_001197131	chr1(.):202504241-202562697	0.7039
NM_021633	chr1(.):202855229-202901371	0.7697
NM_002871	chr1(.):202843085-202863263	0.34
NM_016243	chr1(.):202926000-202941404	0.6387
NM_001127687	chr1(.):202904960-202932700	0.2775
NM_015999	chr1(.):202904960-202932485	0.279
NR_034150	chr1(.):203262885-203279453	2.0902
NM_006763	chr1(.):203269663-203283729	1.5096
NM_030952	chr1(.):205266190-205295883	0.1473
NM_001123168	chr1(.):206133910-206160074	0.8826
NM_032960	chr1(.):206853288-206912626	1.0223
NM_001136224	chr1(.):211427707-211494725	0.4205
NM_018254	chr1(.):211428288-211494725	0.4242
NM_001136225	chr1(.):211427707-211491655	0.4373
NM_001172425	chr1(.):226119297-226134083	2.9016
NM_013328	chr1(.):226102579-226116965	1.0322
NR_002315	chr1(.):226245427-226264703	0.9765
NM_002107	chr1(.):226245420-226264703	0.9762
NM_181441	chr1(.):228289379-228302013	1.4622
NR_037415	chr1(.):228279963-228290042	0.1104
NM_001024227	chr1(.):228265850-228291913	1.2562
NM_001024226	chr1(.):228265360-228291913	1.2347
NM_024319	chr1(.):228283427-228296022	0.77
NM_033445	chr1(.):228640064-228650560	0.0556
NM_001010858	chr1(.):228670067-228688889	1.3198
NM_175055	chr1(.):228640807-228651259	0.0562
NM_145257	chr1(.):229451751-229483688	0.6791
NM_006542	chr1(.):229435128-229446250	0.0636
NM_019090	chr1(.):232935637-232951092	1.4405
NM_182972	chr1(.):234735014-234750271	3.4455
NR_033927	chr1(.):234760056-234775526	0.0978
NM_031844	chr1(.):245008601-245032827	1.8622
NM_198076	chr1(.):244993638-245013359	2.2696
NR_026778	chr1(.):244998939-245015243	0.6562
NM_030645	chr1(.):249099650-249125154	0.7659
NM_024836	chr1(.):249127529-249148714	1.5179
NM_001136036	chr1(.):249139202-249158125	0.9705
NM_001193328	chr1(.):249139202-249158315	0.9612
NR_036070	chr1(.):249115575-249125642	1.7405
NM_024080	chr2(.):234821042-234933166	0.3825
NM_020458	chr2(.):47163312-47308275	0.3973
NR_033872	chr2(.):70184394-70319147	0.3096
NR_015395	chr2(.):112119590-112257692	0.6831
NR_024373	chr2(.):112181885-112257692	1.1856
NM_001113397	chr2(.):180301710-180615769	0.2413
NM_152520	chr2(.):180301710-180731232	0.1891
NM_001012514	chr2(.):231724620-231748963	0.9121
NM_005336	chr2(.):242161678-242260254	0.317
NM_170672	chr2(.):33656415-33794798	0.3549
NM_138801	chr2(.):38888051-38966909	0.4487
NM_001163561	chr2(.):47309129-47387517	0.0693
NM_178313	chr2(.):54780530-54894445	0.4381
NM_003128	chr2(.):54678453-54903583	0.3002
NM_003400	chr2(.):61700068-61770418	0.2867
NR_024204	chr2(.):87749973-87826030	1.2844
NM_004836	chr2(.):88851258-88932094	0.9343
NM_004027	chr2(.):99056320-99212496	1.1916
NM_001566	chr2(.):99056320-99203284	1.2627
NM_003581	chr2(.):106356519-106515730	0.3008
NR_027020	chr2(.):132900163-133020542	0.207
NM_152522	chr2(.):153569422-153622767	0.3906
NM_001077269	chr2(.):175419301-175552627	0.2108
NM_006164	chr2(.):178090032-178134859	0.6324
NM_001145413	chr2(.):178090032-178133617	0.6488
NR_024415	chr2(.):192537797-192558248	0.9357
NM_001031716	chr2(.):192537860-192558248	0.9381
NM_001228	chr2(.):202093165-202157434	0.5082
NM_003879	chr2(.):201975889-202034003	0.7465
NM_001127184	chr2(.):201975815-202011323	1.1607
NM_001162407	chr2(.):201712731-201734284	0.8109
NM_004071	chr2(.):201712731-201734467	0.8046
NM_173822	chr2(.):201833440-201941392	0.2101
NM_033358	chr2(.):202093165-202151638	0.5556
NM_152519	chr2(.):210880434-211041051	0.153
NM_001167608	chr2(.):227695670-227868923	0.1597
NM_152383	chr2(.):232821292-233206908	0.1614
NM_001137551	chr2(.):238595806-238695290	0.3702
NM_001137550	chr2(.):238531223-238695290	0.2835
NM_014808	chr2(.):242290663-242439256	0.0858
NM_003108	chr2(.):5827798-5846517	1.3363
NM_001037160	chr2(.):10191925-10225538	0.0704
NM_182626	chr2(.):10276508-10356856	0.0545
NM_001165931	chr2(.):10257694-10276546	1.4508
NM_001034	chr2(.):10257862-10276546	1.4638
NM_198256	chr2(.):11579500-11611297	0.2622
NM_033090	chr2(.):11677850-11737272	0.0986
NM_014668	chr2(.):11669241-11787912	0.0762
NM_148903	chr2(.):11675079-11733355	0.0975
NM_002997	chr2(.):20395557-20429927	2.3578
NM_001006946	chr2(.):20395557-20430194	2.3401
NM_015376	chr2(.):33733941-33794798	0.0836
NM_001139488	chr2(.):33696320-33794798	0.4345
NM_012413	chr2(.):37566752-37605465	0.6604
NM_006887	chr2(.):43444540-43458745	2.6291
NR_027251	chr2(.):43449349-43460994	2.2986
NM_001171508	chr2(.):47124008-47173994	0.3122
NM_001743	chr2(.):47382220-47408740	0.9205
NM_002354	chr2(.):47591286-47619167	0.0528
NR_002229	chr2(.):54751358-54761978	1.0434
NM_006196	chr2(.):70309584-70321334	2.8562
NR_024444	chr2(.):70346167-70357448	0.9611
NM_003761	chr2(.):85799613-85814156	0.0653
NM_005911	chr2(.):85761287-85777403	1.2835
NM_000821	chr2(.):85771192-85793657	0.1615
NM_006634	chr2(.):85806530-85825511	0.1657
NM_015425	chr2(.):86248450-86338278	0.5799
NR_026984	chr2(.):86242338-86255991	0.1418
NM_001006622	chr2(.):128515059-128573761	0.2035
NM_004805	chr2(.):128598839-128620729	0.2374
NR_031608	chr2(.):133009538-133019653	0.3742
NM_017892	chr2(.):153503106-153578975	0.292
NM_004288	chr2(.):158266130-158305604	0.503
NM_001172712	chr2(.):174766186-174835430	0.353
NM_001017371	chr2(.):174766186-174833947	0.3599
NM_003387	chr2(.):175419301-175504307	0.3095
NR_036075	chr2(.):178115672-178125738	0.109
NM_194247	chr2(.):178072421-178093685	0.8012
NM_001142355	chr2(.):201749049-201773655	0.5232
NM_130906	chr2(.):201730678-201758849	0.4593
NM_021824	chr2(.):201749107-201773655	0.5243
NM_001142356	chr2(.):201751640-201773655	0.5756
NM_002491	chr2(.):201931461-201955473	0.2954
NM_001127183	chr2(.):201978386-202033841	0.7771
NM_033356	chr2(.):202120222-202157434	0.5756
NM_001080125	chr2(.):202117753-202157434	0.5745
NM_006139	chr2(.):204566197-204607557	0.6857
NM_005544	chr2(.):227591032-227668506	0.683
NM_001099285	chr2(.):232568234-232583250	3.2517
NR_036052	chr2(.):232573023-232583105	1.6654
NM_004735	chr2(.):238595806-238679558	0.4311
NM_203346	chr2(.):242161678-242217301	0.131
NM_001008492	chr2(.):242250280-242298441	0.5347
NM_001008491	chr2(.):242249722-242298441	0.5308
NR_027007	chr3(.):9425536-9444174	1.2253
NM_001166243	chr3(.):59730035-61242133	0.0516
NM_002841	chr3(.):61542242-62285573	0.1994
NM_181780	chr3(.):112177812-112223408	0.585
NM_016128	chr3(.):128963452-129001616	0.7069
NM_003571	chr3(.):133113789-133199056	0.3324
NM_005862	chr3(.):136050998-136476245	0.1027
NM_207294	chr3(.):152012193-152188569	0.2838
NM_021038	chr3(.):151980828-152188568	0.5046
NM_181361	chr3(.):178249223-178567217	0.1341
NM_182666	chr3(.):23842438-23937807	0.2975
NM_001004196	chr3(.):112046915-112086658	0.1007
NM_183061	chr3(.):111854751-112018074	0.1803
NM_002093	chr3(.):119535801-119818264	0.0998
NM_002213	chr3(.):124476794-124611144	0.6906
NM_001080412	chr3(.):141038054-141173632	1.4474
NM_001190242	chr3(.):159969773-160106554	0.0393
NM_001190241	chr3(.):159969773-160122320	0.1661
NM_024665	chr3(.):176733541-176920048	0.1954
NM_005832	chr3(.):178271617-178567217	0.1362
NM_015931	chr3(.):8656319-8698737	0.161
NM_015453	chr3(.):9399716-9433475	0.2478
NM_001080517	chr3(.):9434402-9524838	0.307
NM_194293	chr3(.):39219706-39239077	0.1986
NM_001198621	chr3(.):39219705-39239085	0.1987
NM_001295	chr3(.):46238199-46254832	1.7375
NM_001837	chr3(.):46278871-46313197	0.0663
NM_052859	chr3(.):53117500-53169470	0.724
NM_006100	chr3(.):98446571-98518236	0.8683
NM_001127196	chr3(.):128881657-128907810	0.8878
NM_020701	chr3(.):128841258-128885073	0.2531
NM_020187	chr3(.):128992683-129029135	0.7906
NM_001006109	chr3(.):128992816-129029135	0.7935
NM_006026	chr3(.):129028613-129040120	1.4651
NR_026991	chr3(.):129030113-129048412	0.8319
NM_001145417	chr3(.):135862759-135918310	0.4177
NM_018133	chr3(.):135862759-135919688	0.4082
NR_027037	chr3(.):151975404-151992415	1.5945
NR_034008	chr3(.):156802669-156823924	1.292
NR_034007	chr3(.):156794455-156845791	0.6147
NM_020307	chr3(.):156860585-156883482	0.9194
NM_173084	chr3(.):160148290-160172626	0.2759
NR_029663	chr3(.):160117375-160127473	1.8257
NM_005496	chr3(.):160113346-160157741	0.5189
NM_001002800	chr3(.):160112429-160157741	0.5097
NR_029525	chr3(.):160117532-160127613	1.6844
NM_001145098	chr3(.):170070472-170115950	0.4025
NM_001145097	chr3(.):170072410-170115950	0.4136
NM_024524	chr3(.):194118402-194193968	0.0473
NR_033929	chr3(.):194202868-194214274	1.8637
NM_014687	chr3(.):197393258-197468773	0.6033
NM_001145642	chr3(.):197393313-197481568	0.5738
NR_027840	chr3(.):197472260-197516317	0.1422
NM_032288	chr3(.):197471623-197516317	0.1407
NM_001011537	chr3(.):197471423-197516317	0.1408
NM_001145065	chr4(.):91043683-92528370	0.0925
NM_003215	chr4(.):48132799-48276814	0.2995
NM_144571	chr4(.):78629540-78745544	0.2927
NM_198281	chr4(.):90160428-90234161	1.1597
NM_001008388	chr4(.):103785134-103818963	0.4762
NM_001080477	chr4(.):183240136-183729177	0.1069
NM_152683	chr4(.):185565766-185621112	0.6485
NM_001039127	chr4(.):48276-161490	0.2962
NM_001042424	chr4(.):1868122-1988934	0.324
NM_006527	chr4(.):1689526-1719030	0.7019
NM_133330	chr4(.):1889508-1988930	0.2953
NM_133335	chr4(.):1889508-1988934	0.2953
NM_020972	chr4(.):2266323-2425370	0.3151
NM_001172657	chr4(.):2326979-2425370	0.4356
NM_001172660	chr4(.):2325305-2371604	0.0631
NM_001172658	chr4(.):2325305-2425370	0.4283
NM_005112	chr4(.):10070962-10123573	0.8965
NM_004310	chr4(.):40193526-40251281	0.7771
NM_018177	chr4(.):40053523-40162019	0.2949
NM_002703	chr4(.):57254528-57306845	0.4133
NM_173468	chr4(.):71763063-71858891	0.2943
NM_001136570	chr4(.):77167852-77209929	0.1105
NM_021204	chr4(.):83346725-83387244	0.6431
NM_005935	chr4(.):87923152-88067191	0.2257
NM_001166693	chr4(.):87851153-88067206	0.3952
NM_005327	chr4(.):108905869-108961331	0.7798
NM_172129	chr4(.):114373343-114688083	0.2202
NM_172128	chr4(.):114367187-114688083	0.2171
NM_024900	chr4(.):129725778-129790787	0.5856
NM_199320	chr4(.):129725778-129801379	0.5098
NM_002039	chr4(.):144252982-144400718	0.4615
NM_001130686	chr4(.):156582861-156637533	0.4616
NM_001130682	chr4(.):156582861-156658501	0.3473
NM_001130684	chr4(.):156583814-156658501	0.3505
NM_001130683	chr4(.):156583148-156663214	0.3312
NM_001130685	chr4(.):156583148-156658501	0.3484
NM_001130687	chr4(.):156582861-156648385	0.3936
NM_002199	chr4(.):185303875-185400726	0.8952
NM_152775	chr4(.):186361337-186397913	0.2592
NM_182524	chr4(.):48226-93099	0.6167
NM_001013622	chr4(.):1636607-1690718	0.0866
NM_001174070	chr4(.):1636607-1690988	0.0865
NM_001127266	chr4(.):1712678-1728084	1.7549
NM_006342	chr4(.):1718265-1751897	0.2881
NM_007331	chr4(.):1889508-1949302	0.4333
NM_133334	chr4(.):1897352-1955545	0.4487
NM_001193282	chr4(.):2415700-2469690	0.2645
NM_018942	chr4(.):8863772-8878543	0.0607
