GENE_ID	locusLine	bin_1_08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam
NR_027042	chr1(.):23948823-23972056	0.265
NM_021258	chr1(.):24441260-24474611	0.1169
NR_027087	chr1(.):24521729-24543180	1.2474
NM_001199013	chr1(.):24678488-24745262	0.3609
NM_001199012	chr1(.):24678488-24746587	0.3546
NM_015627	chr1(.):25865075-25900377	0.7749
NM_017837	chr1(.):27109485-27129887	0.9552
NM_006015	chr1(.):27017521-27113601	0.5289
NM_018066	chr1(.):27200872-27221869	0.1575
NM_032283	chr1(.):27148200-27187211	0.3003
NM_006142	chr1(.):27184632-27195947	1.208
NM_014280	chr1(.):28521789-28564542	0.1942
NM_016311	chr1(.):28557610-28569611	0.5297
NM_001164721	chr1(.):28468676-28525447	0.1249
NM_001164722	chr1(.):28468676-28525437	0.1249
NM_031459	chr1(.):28581005-28614002	0.1249
NM_006762	chr1(.):31200314-31235683	2.5485
NM_005202	chr1(.):36555843-36570850	0.0762
NM_018067	chr1(.):36616802-36651441	0.3993
NM_014408	chr1(.):36597172-36620067	0.4141
NM_022756	chr1(.):37953175-37985364	0.1331
NM_025079	chr1(.):37935118-37954978	1.134
NR_002983	chr1(.):40028045-40038182	0.9013
NR_003929	chr1(.):39982951-40030370	0.3279
NM_001135653	chr1(.):40021484-40047521	0.6628
NM_001198979	chr1(.):40854016-40893998	0.1862
NM_001198978	chr1(.):40835304-40893998	0.4997
NM_001198980	chr1(.):40857471-40893998	0.1034
NM_022733	chr1(.):40834377-40893998	0.4928
NM_006004	chr1(.):46764379-46787447	0.4888
NM_006369	chr1(.):46739071-46774038	0.3441
NM_199044	chr1(.):46801389-46835690	0.2127
NM_001037339	chr1(.):66792792-66845262	0.6134
NM_001001933	chr1(.):75589118-75632218	0.8454
NM_006769	chr1(.):87789150-87819607	0.6012
NM_004974	chr1(.):111140775-111153345	0.0522
NM_002232	chr1(.):111209309-111222655	1.0507
NM_001025199	chr1(.):111767332-111791062	0.0559
NM_001025197	chr1(.):111765280-111791062	0.0669
NM_024901	chr1(.):111724800-111748281	0.1926
NR_034126	chr1(.):112136628-112155940	1.2927
NM_007158	chr1(.):115254536-115305624	0.2287
NM_002524	chr1(.):115242077-115264515	0.8484
NM_001172626	chr1(.):115210719-115243239	0.5962
NM_001130523	chr1(.):115254537-115305671	0.2285
NM_017709	chr1(.):118143603-118176011	2.4412
NM_207418	chr1(.):143891451-143918143	0.5871
NR_037182	chr1(.):144671436-144685025	0.1369
NM_001002811	chr1(.):144885590-144937032	0.8263
NM_032305	chr1(.):145451235-145475387	2.0494
NM_202004	chr1(.):145408190-145422545	0.1296
NM_006472	chr1(.):145433461-145447628	2.7894
NM_001039888	chr1(.):145465507-145480647	0.3806
NM_005105	chr1(.):145502637-145516444	1.1067
NM_001161334	chr1(.):149749244-149788928	0.39
NM_001034077	chr1(.):149799220-149809616	1.0341
NM_001005464	chr1(.):149807258-149817765	2.7553
NM_001040874	chr1(.):149808784-149819318	2.739
NM_001123375	chr1(.):149779779-149790236	0.9552
NM_000566	chr1(.):149749249-149769074	0.2366
NM_005850	chr1(.):149890210-149904702	0.9093
NM_016074	chr1(.):149866154-149877348	0.379
NM_003528	chr1(.):149851009-149863232	2.7407
NM_003517	chr1(.):149853524-149863961	3.1847
NM_175065	chr1(.):149854018-149864466	3.1783
NM_014849	chr1(.):149869871-149894434	0.211
NM_181873	chr1(.):149895542-149913266	0.9863
NM_001145862	chr1(.):149895542-149913791	0.9602
NR_036461	chr1(.):149816758-149827340	2.675
NM_001040874	chr1(.):149817627-149828161	2.6916
NM_001005464	chr1(.):149819180-149829687	2.7059
NM_001034077	chr1(.):149827329-149837725	1.1016
NM_016274	chr1(.):150117169-150136825	1.2737
NM_019032	chr1(.):150516897-150538412	3.7388
NM_207046	chr1(.):150589598-150606609	0.6353
NR_036211	chr1(.):150519404-150529490	0.1221
NM_001197320	chr1(.):150542026-150557214	1.2296
NM_053055	chr1(.):151841059-151887113	0.2143
NM_005620	chr1(.):151999981-152014511	1.341
NM_002966	chr1(.):151950385-151971714	0.2602
NM_001008536	chr1(.):152051619-152066540	0.0821
NM_014437	chr1(.):153926587-153945188	1.1342
NM_130898	chr1(.):153935396-153951832	1.2052
NM_181715	chr1(.):153915151-153936043	0.8597
NM_006694	chr1(.):153941744-153955451	0.4112
NM_002870	chr1(.):153949127-153963806	0.7047
NM_014856	chr1(.):153896976-153924154	0.3642
NM_001030	chr1(.):153958238-153969631	0.537
NM_006556	chr1(.):154892207-154914484	1.6309
NM_001130041	chr1(.):154929773-154951959	1.3785
NM_001130040	chr1(.):154929773-154948223	1.5241
NM_201398	chr1(.):154950769-154970587	0.2705
NM_015872	chr1(.):154970111-154995999	1.0213
NM_018655	chr1(.):154961061-154971791	0.2376
NR_024163	chr1(.):154942117-154956725	1.4768
NM_138300	chr1(.):154924501-154939258	1.9961
NR_036212	chr1(.):154943168-154953259	1.7453
NM_001018017	chr1(.):155153299-155167700	0.2483
NM_198883	chr1(.):155173489-155188624	0.421
NM_007112	chr1(.):155160378-155182690	0.3638
NR_030281	chr1(.):155159967-155170063	0.1985
NM_001005742	chr1(.):155199238-155219653	0.4953
NM_003993	chr1(.):155227658-155248281	0.4633
NM_181871	chr1(.):155254083-155275792	0.1514
NM_198264	chr1(.):155211995-155230274	0.63
NM_052837	chr1(.):155220771-155237195	0.3751
NM_020897	chr1(.):155242373-155264638	0.3145
NM_001171812	chr1(.):155199238-155216066	0.5795
NM_000157	chr1(.):155199238-155216069	0.5797
NM_005698	chr1(.):155220769-155237195	0.3752
NM_000298	chr1(.):155254083-155276225	0.1511
NM_006912	chr1(.):155862600-155886177	0.1642
NM_001162384	chr1(.):155911629-155953336	1.7447
NM_181885	chr1(.):155906479-155917625	1.4683
NM_004723	chr1(.):155911629-155952966	1.754
NM_014949	chr1(.):155877835-155909188	0.3585
NR_002974	chr1(.):155884699-155894833	0.0959
NR_003005	chr1(.):155890748-155900877	0.0869
NM_003145	chr1(.):155973838-155995758	0.2895
NM_014655	chr1(.):156158729-156187587	0.5259
NM_007221	chr1(.):156177783-156214833	0.6904
NM_022367	chr1(.):156118321-156152542	2.0795
NM_001193302	chr1(.):156118368-156152542	2.0809
NM_001193301	chr1(.):156114734-156152542	2.031
NM_005920	chr1(.):156428518-156475529	1.175
NM_198427	chr1(.):156606739-156628264	0.138
NM_021817	chr1(.):156584085-156600517	0.1235
NM_021948	chr1(.):156606739-156634320	0.9381
NM_004494	chr1(.):156706898-156726543	1.1895
NM_001126051	chr1(.):156706898-156727024	1.1611
NM_001126050	chr1(.):156706898-156727240	1.1506
NM_030980	chr1(.):156687412-156702705	0.3289
NM_001878	chr1(.):156664407-156680375	0.1242
NM_001142560	chr1(.):156693262-156711752	0.5969
NM_145729	chr1(.):156702093-156715923	0.5489
NM_006617	chr1(.):156633555-156652189	0.2869
NR_001560	chr1(.):157093153-157103463	0.1079
NM_005240	chr1(.):157097975-157113177	0.5156
NM_001145312	chr1(.):157089458-157113383	0.3611
NM_004833	chr1(.):159027274-159051647	1.4057
NM_001778	chr1(.):160643535-160686585	1.9278
NM_003037	chr1(.):160574890-160622081	0.2801
NM_021181	chr1(.):160704076-160729601	1.5848
NM_001077470	chr1(.):161194455-161213000	0.4321
NM_001039711	chr1(.):161085768-161107478	0.7522
NM_016406	chr1(.):161118533-161133646	1.2133
NM_004550	chr1(.):161164104-161189184	0.7323
NM_000309	chr1(.):161131180-161146010	0.7934
NM_001643	chr1(.):161187082-161198418	0.9471
NM_003779	chr1(.):161136100-161152314	2.0232
NM_012475	chr1(.):161124253-161140516	0.8094
NM_001039712	chr1(.):161085768-161107256	0.7597
NM_032174	chr1(.):161190832-161205407	0.5471
NM_001166159	chr1(.):161166936-161189184	0.7766
NM_005099	chr1(.):161154537-161173845	1.8035
NM_004106	chr1(.):161180086-161194038	0.5901
NM_007240	chr1(.):161714580-161731952	0.3307
NR_030284	chr1(.):168339761-168349859	0.0988
NM_181093	chr1(.):169816803-169868076	0.5028
NM_002021	chr1(.):171212662-171260113	0.5005
NR_033186	chr1(.):178506930-178523024	0.4913
NM_016545	chr1(.):181052637-181064979	0.8714
NM_001127651	chr1(.):183519696-183565056	0.4992
NM_203454	chr1(.):183610410-183627448	0.2542
NM_001190794	chr1(.):183519696-183564739	0.5013
NM_005717	chr1(.):183590331-183609985	0.5933
NM_030934	chr1(.):185082217-185131116	0.4097
NM_002927	chr1(.):192600281-192634389	0.0887
NM_002922	chr1(.):192539856-192554159	1.4875
NM_001195216	chr1(.):197698138-197749623	0.8943
NM_001031725	chr1(.):200608164-200644126	0.3386
NM_005298	chr1(.):200837165-200848251	0.1706
NM_018265	chr1(.):200855638-200889864	0.9954
NM_001142569	chr1(.):200858998-200889864	0.9459
NM_017596	chr1(.):200933519-200997828	0.3955
NR_034150	chr1(.):203262885-203279453	5.6518
NM_003465	chr1(.):203180206-203203860	0.1442
NM_006763	chr1(.):203269663-203283729	3.5164
NM_002023	chr1(.):203304751-203325289	0.2363
NM_002646	chr1(.):204386757-204464474	0.1865
NM_002393	chr1(.):204480510-204532248	0.9059
NM_014858	chr1(.):205192037-205247471	0.4844
NM_018203	chr1(.):205300647-205331039	0.1976
NM_030952	chr1(.):205266190-205295883	0.6737
NM_001123168	chr1(.):206133910-206160074	0.5294
NM_001007544	chr1(.):206233871-206293647	1.5026
NM_148964	chr1(.):206312458-206337104	0.1559
NM_006893	chr1(.):206759973-206790904	0.1464
NM_182665	chr1(.):206725491-206767616	1.1384
NM_000572	chr1(.):206935947-206950839	0.6172
NM_013371	chr1(.):206997221-207021325	0.4236
NM_001185157	chr1(.):207065787-207082484	0.1115
NM_153758	chr1(.):206967214-207021324	0.4795
NM_018724	chr1(.):207034153-207047568	0.112
NM_002644	chr1(.):207096866-207124811	0.4207
NM_001170631	chr1(.):207126311-207148970	0.1053
NR_026817	chr1(.):207986723-208000941	0.834
NR_029832	chr1(.):207970196-207980284	0.4596
NR_029518	chr1(.):207970787-207980868	0.6247
NM_152485	chr1(.):209950661-209962890	0.4508
NM_005525	chr1(.):209873190-209913295	0.1036
NM_025228	chr1(.):209924393-209960668	1.3723
NM_183059	chr1(.):211644863-211671259	0.1022
NM_021194	chr1(.):211743380-211757099	1.6257
NM_001136475	chr1(.):213118886-213169927	0.2194
NM_001748	chr1(.):223895118-223968720	0.3638
NM_001146068	chr1(.):223884294-223968720	0.3395
NM_001136018	chr1(.):225992796-226038262	0.2108
NM_000120	chr1(.):226008001-226038262	0.2274
NM_020997	chr1(.):226068981-226081836	1.3365
NM_014698	chr1(.):226028232-226075420	0.919
NM_013328	chr1(.):226102579-226116965	0.6164
NM_001618	chr1(.):226543391-226600801	0.3763
NM_181441	chr1(.):228289379-228302013	0.6741
NR_037415	chr1(.):228279963-228290042	0.1131
NM_001024227	chr1(.):228265850-228291913	0.6502
NM_001024226	chr1(.):228265360-228291913	0.6394
NM_024319	chr1(.):228283427-228296022	0.4166
NM_001159390	chr1(.):228322928-228341655	0.2606
NM_182972	chr1(.):234735014-234750271	3.0533
NR_033927	chr1(.):234760056-234775526	0.1132
NM_173858	chr1(.):247414373-247425447	0.0532
NR_037480	chr1(.):247360268-247370362	0.097
NM_030645	chr1(.):249099650-249125154	0.6234
NM_024836	chr1(.):249127529-249148714	0.5803
NM_001136036	chr1(.):249139202-249158125	0.6717
NM_001193328	chr1(.):249139202-249158315	0.6677
NR_036070	chr1(.):249115575-249125642	1.1272
NM_015535	chr2(.):201165603-201351986	0.3554
NM_001100422	chr2(.):201165984-201351986	0.3559
NM_001100423	chr2(.):201166355-201351986	0.3565
NM_014600	chr2(.):31451879-31496260	0.1421
NM_001083590	chr2(.):27250773-27269565	0.1648
NM_020458	chr2(.):47163312-47308275	0.5258
NR_033872	chr2(.):70184394-70319147	0.4831
NM_032827	chr2(.):85975908-86023506	0.0816
NR_015395	chr2(.):112119590-112257692	0.5446
NR_024373	chr2(.):112181885-112257692	0.9214
NM_001099289	chr2(.):109740996-110267207	0.1823
NM_020760	chr2(.):197058976-197462335	0.2105
NM_015488	chr2(.):219130114-219216516	0.26
NM_022152	chr2(.):219133916-219162280	0.6393
NM_001012514	chr2(.):231724620-231748963	1.4067
NM_145693	chr2(.):11881739-11972533	0.594
NM_183360	chr2(.):25595111-25901503	0.3397
NM_170672	chr2(.):33656415-33794798	0.6477
NM_005813	chr2(.):37472645-37549222	0.7727
NM_006449	chr2(.):37865742-37904326	0.5198
NM_005633	chr2(.):39203689-39352604	0.1774
NM_019063	chr2(.):42391489-42564688	0.1156
NM_001083953	chr2(.):43452974-43828113	0.2217
NM_022065	chr2(.):43452974-43828185	0.2217
NM_012249	chr2(.):46764866-46816827	0.672
NM_178313	chr2(.):54780530-54894445	0.334
NM_003128	chr2(.):54678453-54903583	0.2566
NM_022893	chr2(.):60679328-60785633	0.171
NM_018014	chr2(.):60673301-60785633	0.1889
NM_014755	chr2(.):64853754-64886046	0.8905
NR_036586	chr2(.):65123973-65164581	1.9508
NM_002398	chr2(.):66657531-66804891	0.2037
NM_003896	chr2(.):86061270-86121157	0.4693
NR_024204	chr2(.):87749973-87826030	0.7421
NM_004836	chr2(.):88851258-88932094	0.4721
NM_144563	chr2(.):88986175-89055452	0.8245
NM_020151	chr2(.):96845602-96879573	0.2492
NM_004027	chr2(.):99056320-99212496	1.214
NM_001566	chr2(.):99056320-99203284	1.2858
NM_003581	chr2(.):106356519-106515730	0.274
NM_001193483	chr2(.):109145856-109308702	0.2463
NM_001017927	chr2(.):120055019-120129258	0.3651
NM_002410	chr2(.):135006829-135211468	0.2377
NM_024770	chr2(.):172168912-172296312	0.2647
NM_001077269	chr2(.):175419301-175552627	0.4664
NR_024415	chr2(.):192537797-192558248	1.3006
NM_001031716	chr2(.):192537860-192558248	1.3042
NM_004226	chr2(.):196993306-197041336	0.6301
NM_153697	chr2(.):197959194-198180521	0.2943
NM_001195144	chr2(.):197846385-198180521	0.2185
NM_001228	chr2(.):202093165-202157434	1.1994
NM_003879	chr2(.):201975889-202034003	1.8639
NM_001127184	chr2(.):201975815-202011323	2.9028
NM_173822	chr2(.):201833440-201941392	0.1099
NM_033358	chr2(.):202093165-202151638	1.3115
NM_003709	chr2(.):207940528-208035614	0.497
NM_001167608	chr2(.):227695670-227868923	0.2679
NM_022730	chr2(.):232646161-232678434	0.0907
NM_001017915	chr2(.):233920035-234121549	0.0927
NM_005737	chr2(.):235396685-235410693	0.4111
NM_001137551	chr2(.):238595806-238695290	0.1732
NM_001137550	chr2(.):238531223-238695290	0.1297
NM_017844	chr2(.):241413838-241502405	0.0901
NM_001195381	chr2(.):241539824-241575676	0.0243
NM_003108	chr2(.):5827798-5846517	0.8591
NM_002166	chr2(.):8817112-8829583	0.501
NM_002997	chr2(.):20395557-20429927	2.7513
NM_001006946	chr2(.):20395557-20430194	2.7307
NM_004040	chr2(.):20641834-20654201	0.5734
NM_178553	chr2(.):27354714-27367332	0.4635
NM_007046	chr2(.):27296434-27314265	0.7986
NM_001166239	chr2(.):27318461-27346773	0.1265
NM_001166240	chr2(.):27317220-27346995	0.1403
NM_013388	chr2(.):27348624-27362542	0.4293
NM_006488	chr2(.):27304610-27328619	0.34
NM_001035507	chr2(.):27269490-27287403	0.3121
NM_021831	chr2(.):27269490-27298490	0.3265
NM_001166241	chr2(.):27317220-27338970	0.1066
NM_032604	chr2(.):27341656-27358680	0.4513
NM_175769	chr2(.):27366944-27380819	1.0292
NM_001134693	chr2(.):27288341-27299567	0.388
NM_080592	chr2(.):27429898-27445046	0.7512
NM_001170795	chr2(.):27430218-27445046	0.766
NM_004341	chr2(.):27435257-27471654	0.2735
NM_021095	chr2(.):27417454-27440175	0.4151
NM_001145122	chr2(.):31390921-31445411	0.3694
NM_015376	chr2(.):33733941-33794798	0.2701
NM_001139488	chr2(.):33696320-33794798	0.884
NM_012413	chr2(.):37566752-37605465	3.4423
NM_138370	chr2(.):42270160-42290668	0.0759
NM_006887	chr2(.):43444540-43458745	3.3849
NR_027251	chr2(.):43449349-43460994	1.911
NM_080653	chr2(.):46733985-46752096	0.0518
NM_173074	chr2(.):46803412-46849251	0.1319
NM_014171	chr2(.):46839324-46857881	0.201
NM_001171507	chr2(.):47124008-47148251	0.1609
NM_001171506	chr2(.):47124008-47148007	0.1619
NM_001171508	chr2(.):47124008-47173994	0.4432
NR_002229	chr2(.):54751358-54761978	0.5376
NR_033837	chr2(.):64407212-64437619	0.609
NR_034023	chr2(.):64829445-64848616	0.2307
NM_001193493	chr2(.):65210578-65256000	0.4965
NM_003038	chr2(.):65211494-65256000	0.5034
NM_181784	chr2(.):65532984-65664656	0.3349
NM_001128210	chr2(.):65532984-65598931	0.1185
NM_001111101	chr2(.):68506302-68552183	0.0933
NM_002664	chr2(.):68587321-68629585	0.6032
NM_173545	chr2(.):68689690-68812294	0.1122
NM_001024680	chr2(.):68684504-68699390	0.4135
NM_014882	chr2(.):68996932-69058957	0.2247
NM_001166277	chr2(.):68956912-69058957	0.3898
NM_014482	chr2(.):69087612-69103649	0.0553
NM_006196	chr2(.):70309584-70321334	4.4574
NR_024444	chr2(.):70346167-70357448	1.2725
NM_006433	chr2(.):85916413-85930875	0.2633
NM_198843	chr2(.):85879439-85900864	0.0729
NM_001042437	chr2(.):86061271-86099793	0.3942
NM_015425	chr2(.):86248450-86338278	0.7949
NM_017952	chr2(.):86328304-86374280	0.134
NR_026984	chr2(.):86242338-86255991	0.142
NR_015424	chr2(.):89060418-89111109	0.163
NM_001193304	chr2(.):96910945-96936751	0.5602
NM_001037228	chr2(.):96900976-96912701	0.9933
NM_004804	chr2(.):96926883-96944900	0.1791
NR_026875	chr2(.):97158382-97178846	0.2677
NM_212481	chr2(.):97197463-97223371	1.2725
NM_001193484	chr2(.):109232701-109308702	0.1746
NM_001193482	chr2(.):109218616-109308702	0.2433
NM_001193488	chr2(.):109199921-109308702	0.2993
NM_004987	chr2(.):109199766-109308702	0.2989
NM_002101	chr2(.):127408683-127459246	0.41
NR_024275	chr2(.):135201959-135217192	0.0846
NM_004288	chr2(.):158266130-158305604	1.3743
NM_000210	chr2(.):173287313-173376181	0.2798
NM_002610	chr2(.):173415778-173468862	0.6444
NM_003387	chr2(.):175419301-175504307	0.6828
NM_152517	chr2(.):178409880-178422524	0.8164
NM_002491	chr2(.):201931461-201955473	0.2447
NM_001127183	chr2(.):201978386-202033841	1.9484
NM_032974	chr2(.):202042620-202099110	0.7207
NM_001230	chr2(.):202042620-202091383	0.5903
NM_033356	chr2(.):202120222-202157434	1.3591
NM_001080125	chr2(.):202117753-202157434	1.3784
NM_006139	chr2(.):204566197-204607557	1.4478
NR_036227	chr2(.):207969710-207979797	0.0512
NM_152862	chr2(.):219076873-219124071	0.3378
NM_000634	chr2(.):219022567-219036716	0.0855
NM_001077194	chr2(.):219120737-219133582	0.1377
NM_005731	chr2(.):219077119-219124071	0.339
NM_001087	chr2(.):219123851-219139893	0.2176
NM_022572	chr2(.):219182901-219216516	0.0688
NM_017431	chr2(.):219682105-219701512	0.0688
NM_025216	chr2(.):219740254-219763651	1.7344
NM_006522	chr2(.):219719545-219743954	0.1269
NM_005544	chr2(.):227591032-227668506	0.3721
NM_001099285	chr2(.):232568234-232583250	1.0869
NM_002601	chr2(.):232592146-232650974	0.0769
NR_036052	chr2(.):232573023-232583105	0.3761
NR_031717	chr2(.):232751951-232762008	0.0212
NM_005383	chr2(.):233892381-233904767	0.0395
NM_018218	chr2(.):234379164-234479236	0.2589
NM_004735	chr2(.):238595806-238679558	0.1997
NM_022817	chr2(.):239147678-239202207	0.215
NR_026923	chr2(.):239135326-239147985	0.0624
NM_001142853	chr2(.):239141907-239153681	0.1237
NR_026926	chr2(.):239128753-239145318	0.0473
NM_023083	chr2(.):241521132-241543526	0.1861
NM_001033575	chr2(.):241494470-241508431	0.8991
NM_018226	chr2(.):241503103-241523143	0.4397
NM_015303	chr3(.):184524930-184775402	0.1799
NM_014674	chr3(.):5224358-5266650	0.9968
NM_001195099	chr3(.):15703743-15803058	0.0694
NM_001195098	chr3(.):15703743-15844691	0.2096
NM_015199	chr3(.):15703743-15906053	0.2201
NM_015576	chr3(.):55537335-56507391	0.0751
NM_002841	chr3(.):61542242-62285573	0.1251
NM_016128	chr3(.):128963452-129001616	0.3719
NM_003571	chr3(.):133113789-133199056	1.1573
NM_207294	chr3(.):152012193-152188569	0.1507
NM_003471	chr3(.):155855750-156261927	0.1769
NM_021038	chr3(.):151980828-152188568	0.2266
NM_172159	chr3(.):156003775-156261927	0.2162
NM_172160	chr3(.):155833336-156261927	0.1727
NM_207015	chr3(.):174572110-175528428	0.2898
NM_001135095	chr3(.):171753343-172123492	0.536
NM_022763	chr3(.):171752417-172123492	0.5366
NM_181361	chr3(.):178249223-178567217	0.1933
NR_004053	chr3(.):181323150-181464005	0.2316
NM_001134382	chr3(.):12933718-13119617	0.4552
NM_024923	chr3(.):13352736-13466809	0.4862
NM_014869	chr3(.):12933718-13013960	0.0605
NM_144636	chr3(.):14148576-14171371	0.5997
NM_001184958	chr3(.):14711605-14819543	0.4558
NM_001134381	chr3(.):17193653-17746512	0.0682
NM_014744	chr3(.):17193653-17787399	0.086
NM_001134380	chr3(.):17193653-17789240	0.0875
NM_003884	chr3(.):20076523-20200896	0.1986
NM_182666	chr3(.):23842438-23937807	0.3285
NM_001145293	chr3(.):25755434-25829989	0.1217
NM_001145294	chr3(.):25755434-25836530	0.1488
NM_001024847	chr3(.):30642993-30740633	0.5881
NM_001123396	chr3(.):46390234-46405868	1.6061
NM_001123041	chr3(.):46390234-46407413	1.4777
NM_181042	chr3(.):52574367-52718739	0.057
NM_018313	chr3(.):52574367-52724866	0.0823
NM_001128615	chr3(.):56756445-57118336	0.1801
NM_015541	chr3(.):66424220-66555845	0.2324
NM_007114	chr3(.):69063977-69106484	0.1344
NM_000097	chr3(.):98293289-98317455	0.192
NM_001185106	chr3(.):111388522-111570294	0.1227
NM_001134437	chr3(.):111446326-111700364	0.0838
NM_001009899	chr3(.):113362232-113420493	0.1252
NM_001690	chr3(.):113460865-113535905	0.2567
NM_002213	chr3(.):124476794-124611144	0.4404
NM_032343	chr3(.):126418117-126684244	0.1514
NM_001001487	chr3(.):130608433-130740555	0.1011
NM_001199181	chr3(.):130564368-130727046	0.1847
NM_001199180	chr3(.):130564368-130740555	0.1758
NM_001199179	chr3(.):130607834-130727046	0.1047
NM_001001485	chr3(.):130607858-130740555	0.101
NM_001199184	chr3(.):130607904-130727046	0.1048
NM_014382	chr3(.):130608291-130727046	0.1048
NM_001134422	chr3(.):133287433-133314118	0.6218
NM_001134423	chr3(.):133288300-133314118	0.6386
NM_001080412	chr3(.):141038054-141173632	2.7816
NM_173653	chr3(.):142979063-143572373	0.0884
NM_016275	chr3(.):150316065-150353234	0.5727
NM_005067	chr3(.):150453909-150486263	0.4202
NM_001193283	chr3(.):156539147-156648045	0.1244
NM_001004316	chr3(.):156539095-156768918	0.1597
NM_001190242	chr3(.):159969773-160106554	0.1008
NM_001190241	chr3(.):159969773-160122320	0.2629
NM_024665	chr3(.):176733541-176920048	0.5212
NM_005832	chr3(.):178271617-178567217	0.1495
NM_130446	chr3(.):183200318-183278499	1.6094
NM_173216	chr3(.):186643314-186801341	0.9842
NM_003032	chr3(.):186734664-186801341	1.0359
NM_174908	chr3(.):191041873-191121459	0.2464
NM_005524	chr3(.):193848933-193861396	1.098
NM_003670	chr3(.):5016096-5031865	0.6498
NM_018184	chr3(.):5158929-5227601	0.2191
NM_015931	chr3(.):8656319-8698737	0.1364
NM_024334	chr3(.):14161439-14190180	0.488
NM_016474	chr3(.):14688252-14719166	0.2208
NR_027694	chr3(.):20016452-20058765	0.0489
