GENE_ID	locusLine	bin_1_KMS-12-BM.jin.bam
NM_004723	chr1(.):155911629-155952966	0.6496
NM_014949	chr1(.):155877835-155909188	0.4769
NR_002974	chr1(.):155884699-155894833	0.1042
NR_003005	chr1(.):155890748-155900877	0.0782
NM_014655	chr1(.):156158729-156187587	0.7412
NM_022367	chr1(.):156118321-156152542	0.8678
NM_001193302	chr1(.):156118368-156152542	0.8642
NM_001193301	chr1(.):156114734-156152542	0.8957
NM_005920	chr1(.):156428518-156475529	1.2669
NM_003564	chr1(.):159882902-159900284	1.701
NM_012337	chr1(.):159837153-159874906	0.0911
NM_001146172	chr1(.):159916281-159929044	0.073
NM_001039711	chr1(.):161085768-161107478	0.611
NM_016406	chr1(.):161118533-161133646	1.0703
NM_004550	chr1(.):161164104-161189184	0.6721
NM_000309	chr1(.):161131180-161146010	0.5259
NM_001643	chr1(.):161187082-161198418	0.5523
NM_003779	chr1(.):161136100-161152314	1.6614
NM_012475	chr1(.):161124253-161140516	0.6093
NM_001039712	chr1(.):161085768-161107256	0.6156
NM_032174	chr1(.):161190832-161205407	0.3106
NM_001166159	chr1(.):161166936-161189184	0.6936
NM_005099	chr1(.):161154537-161173845	1.4655
NM_004106	chr1(.):161180086-161194038	0.3447
NR_033186	chr1(.):178506930-178523024	0.2218
NM_001031725	chr1(.):200608164-200644126	0.324
NM_005298	chr1(.):200837165-200848251	1.1289
NM_018265	chr1(.):200855638-200889864	0.899
NM_001142569	chr1(.):200858998-200889864	0.6856
NM_017596	chr1(.):200933519-200997828	0.4037
NR_034150	chr1(.):203262885-203279453	2.4647
NM_006763	chr1(.):203269663-203283729	1.8875
NM_002023	chr1(.):203304751-203325289	0.1367
NM_018203	chr1(.):205300647-205331039	0.5165
NM_030952	chr1(.):205266190-205295883	1.348
NM_212502	chr1(.):205468683-205506921	0.2483
NR_029893	chr1(.):205412429-205422526	0.1802
NM_001123168	chr1(.):206133910-206160074	0.5562
NM_001007544	chr1(.):206233871-206293647	0.7456
NM_148964	chr1(.):206312458-206337104	0.2124
NM_014002	chr1(.):206638585-206675223	0.4496
NM_182665	chr1(.):206725491-206767616	0.7713
NM_001185157	chr1(.):207065787-207082484	0.0931
NM_002644	chr1(.):207096866-207124811	1.0608
NM_001170631	chr1(.):207126311-207148970	0.0997
NR_026817	chr1(.):207986723-208000941	2.1996
NR_029832	chr1(.):207970196-207980284	0.0961
NR_029518	chr1(.):207970787-207980868	0.1088
NM_152608	chr1(.):226165402-226192066	0.9325
NM_182972	chr1(.):234735014-234750271	2.5246
NR_033927	chr1(.):234760056-234775526	0.0686
NM_020458	chr2(.):47163312-47308275	0.3223
NR_033872	chr2(.):70184394-70319147	0.3007
NM_001370	chr2(.):84738578-85051713	0.1025
NR_015395	chr2(.):112119590-112257692	0.7865
NR_024373	chr2(.):112181885-112257692	1.3398
NM_006037	chr2(.):239964863-240327643	0.2874
NM_000183	chr2(.):26462615-26518333	0.3336
NM_170672	chr2(.):33656415-33794798	0.6155
NM_005813	chr2(.):37472645-37549222	0.1248
NM_001083953	chr2(.):43452974-43828113	0.2642
NM_022065	chr2(.):43452974-43828185	0.2641
NM_012249	chr2(.):46764866-46816827	0.5875
NM_178313	chr2(.):54780530-54894445	0.5305
NM_003128	chr2(.):54678453-54903583	0.3429
NM_022893	chr2(.):60679328-60785633	0.2969
NM_018014	chr2(.):60673301-60785633	0.2887
NR_033980	chr2(.):61069894-61113449	0.523
NR_036586	chr2(.):65123973-65164581	0.9308
NR_024204	chr2(.):87749973-87826030	1.6089
NM_144563	chr2(.):88986175-89055452	0.3679
NM_020151	chr2(.):96845602-96879573	0.3084
NM_003581	chr2(.):106356519-106515730	0.2958
NM_001142807	chr2(.):111485149-111880799	0.2236
NM_001017927	chr2(.):120055019-120129258	0.4363
NM_001077269	chr2(.):175419301-175552627	0.3536
NM_004226	chr2(.):196993306-197041336	0.4465
NM_001228	chr2(.):202093165-202157434	0.6319
NM_003879	chr2(.):201975889-202034003	1.2898
NM_001127184	chr2(.):201975815-202011323	1.9467
NM_173822	chr2(.):201833440-201941392	0.1213
NM_033358	chr2(.):202093165-202151638	0.6879
NM_001037631	chr2(.):204727508-204743683	1.2284
NM_004379	chr2(.):208389615-208475284	0.3285
NM_001167608	chr2(.):227695670-227868923	0.2784
NM_003648	chr2(.):234291799-234385743	0.2145
NM_152879	chr2(.):234258152-234385743	0.2158
NM_001017915	chr2(.):233920035-234121549	0.1418
NM_001137551	chr2(.):238595806-238695290	0.2358
NM_001137550	chr2(.):238531223-238695290	0.2656
NM_017844	chr2(.):241413838-241502405	0.1554
NM_001195381	chr2(.):241539824-241575676	0.187
NM_005301	chr2(.):241559661-241575676	0.3503
NM_000182	chr2(.):26408503-26472594	0.3071
NM_015376	chr2(.):33733941-33794798	0.0731
NM_001139488	chr2(.):33696320-33794798	0.8447
NM_012413	chr2(.):37566752-37605465	1.5465
NM_006887	chr2(.):43444540-43458745	7.0772
NR_027251	chr2(.):43449349-43460994	4.7079
NM_080653	chr2(.):46733985-46752096	0.0589
NM_173074	chr2(.):46803412-46849251	0.2281
NM_014171	chr2(.):46839324-46857881	0.471
NM_001171508	chr2(.):47124008-47173994	0.4322
NR_002229	chr2(.):54751358-54761978	0.3402
NM_002908	chr2(.):61103751-61155178	0.3193
NM_001193493	chr2(.):65210578-65256000	0.385
NM_003038	chr2(.):65211494-65256000	0.3879
NM_015147	chr2(.):65278494-65319142	0.4364
NM_006196	chr2(.):70309584-70321334	2.5058
NR_024444	chr2(.):70346167-70357448	0.9581
NM_021103	chr2(.):85127762-85138799	0.9392
NM_020122	chr2(.):85193230-85291595	0.1703
NM_015425	chr2(.):86248450-86338278	0.4813
NR_026984	chr2(.):86242338-86255991	0.2058
NR_015424	chr2(.):89060418-89111109	0.0653
NM_001002036	chr2(.):96784588-96809175	0.1228
NM_000682	chr2(.):96773622-96786888	0.2218
NM_004418	chr2(.):96803907-96816179	1.7761
NM_001193304	chr2(.):96910945-96936751	0.7001
NM_001037228	chr2(.):96900976-96912701	1.415
NM_004804	chr2(.):96926883-96944900	0.4306
NM_001004720	chr2(.):106463203-106515730	0.0614
NM_006538	chr2(.):111873490-111931022	0.5399
NM_207002	chr2(.):111873490-111891423	1.2251
NM_001006622	chr2(.):128515059-128573761	0.2346
NM_004805	chr2(.):128598839-128620729	0.3625
NM_003467	chr2(.):136866918-136880725	1.3015
NM_001008540	chr2(.):136866918-136878813	1.4829
NM_004288	chr2(.):158266130-158305604	0.437
NM_003387	chr2(.):175419301-175504307	0.4667
NM_002491	chr2(.):201931461-201955473	0.3561
NM_001127183	chr2(.):201978386-202033841	1.346
NM_033356	chr2(.):202120222-202157434	0.6185
NM_001080125	chr2(.):202117753-202157434	0.6635
NM_018000	chr2(.):216802313-216883346	0.2215
NM_182642	chr2(.):219259813-219274148	1.7947
NM_198559	chr2(.):219216578-219237817	0.251
NM_021198	chr2(.):219259477-219275664	1.6054
NM_000578	chr2(.):219241751-219266617	0.9695
NR_029500	chr2(.):219262368-219272445	1.6917
NM_007127	chr2(.):219278837-219319248	0.0675
NM_025216	chr2(.):219740254-219763651	1.3538
NM_006522	chr2(.):219719545-219743954	0.25
NM_006000	chr2(.):220110000-220123638	1.9224
NM_001042410	chr2(.):220089609-220106391	0.5031
NR_026909	chr2(.):220105200-220120059	1.8185
NM_018089	chr2(.):220089478-220106391	0.4999
NR_003063	chr2(.):220112964-220141910	0.7481
NM_005689	chr2(.):220069493-220088672	0.2858
NM_024085	chr2(.):220079101-220099361	0.4492
NM_006736	chr2(.):220139039-220156622	0.4618
NM_138802	chr2(.):220066537-220079370	0.3705
NM_024506	chr2(.):220096502-220115131	0.9954
NM_001008910	chr2(.):220105191-220120059	1.8176
NR_029688	chr2(.):220153832-220163922	0.2599
NM_001099285	chr2(.):232568234-232583250	3.24
NR_036052	chr2(.):232573023-232583105	1.3967
NM_005383	chr2(.):233892381-233904767	0.0765
NM_018218	chr2(.):234379164-234479236	0.2961
NM_004735	chr2(.):238595806-238679558	0.2673
NR_036229	chr2(.):240222156-240232240	0.9062
NM_023083	chr2(.):241521132-241543526	0.9006
NM_001033575	chr2(.):241494470-241508431	1.6186
NM_018226	chr2(.):241503103-241523143	1.4073
NM_014674	chr3(.):5224358-5266650	1.0418
NM_032682	chr3(.):70999735-71638140	0.1543
NM_003571	chr3(.):133113789-133199056	0.3465
NM_001161566	chr3(.):170775291-171183197	0.1664
NM_001168272	chr3(.):4530031-4894524	0.1313
NM_182760	chr3(.):4397828-4513966	0.0944
NM_001134382	chr3(.):12933718-13119617	0.5777
NM_014869	chr3(.):12933718-13013960	0.0827
NM_001174060	chr3(.):31697316-32028342	0.1722
NM_001042646	chr3(.):42127745-42272268	0.2119
NM_014016	chr3(.):45725753-45791900	0.4162
NM_018397	chr3(.):53845386-53885419	0.4955
NM_001128615	chr3(.):56756445-57118336	0.1868
NM_007114	chr3(.):69063977-69106484	0.2025
NM_032343	chr3(.):126418117-126684244	0.2182
NM_001080412	chr3(.):141038054-141173632	0.7179
NM_024665	chr3(.):176733541-176920048	0.1797
NM_173216	chr3(.):186643314-186801341	0.4272
NM_003032	chr3(.):186734664-186801341	0.2817
NM_178496	chr3(.):192509604-192640950	0.3055
NM_005524	chr3(.):193848933-193861396	3.7365
NM_001647	chr3(.):195290572-195316076	0.0801
NM_001137674	chr3(.):32018265-32038120	0.2122
NM_001174138	chr3(.):42294317-42310439	0.0588
NM_000729	chr3(.):42294317-42312662	0.0575
NM_014240	chr3(.):45631322-45727755	0.4302
NR_033947	chr3(.):45714656-45735374	0.8755
NM_003212	chr3(.):46614075-46628952	0.0827
NM_001174136	chr3(.):46611044-46628952	0.082
NM_024512	chr3(.):46551877-46613011	0.6528
NM_031440	chr3(.):46534484-46547439	0.2583
NM_199074	chr3(.):49052907-49065926	2.0093
NM_199073	chr3(.):49053617-49065926	2.1182
NM_177939	chr3(.):49022340-49049581	0.7128
NM_018031	chr3(.):49039636-49058386	1.2042
NM_000884	chr3(.):49056761-49071875	2.0041
NM_018114	chr3(.):49047434-49063467	1.6299
NM_199070	chr3(.):49054073-49065926	2.1962
NM_001009996	chr3(.):49047434-49061017	1.8935
NR_029690	chr3(.):49053050-49063142	2.5128
NR_029948	chr3(.):49052580-49062667	2.5177
NM_199443	chr3(.):49309576-49382536	0.3734
NM_000581	chr3(.):49389608-49400791	0.2895
NM_021237	chr3(.):53914225-53930989	1.0126
NM_022899	chr3(.):53896093-53921229	0.2555
NM_018725	chr3(.):53875576-53904827	0.6095
NM_198195	chr3(.):69098880-69134524	0.5248
NM_006407	chr3(.):69129089-69160239	0.6209
NM_198271	chr3(.):69151038-69176746	0.0587
NR_036087	chr3(.):69093108-69103186	0.6749
NM_198490	chr3(.):128801417-128845619	1.6023
NM_000174	chr3(.):128774644-128786253	0.3382
NM_020701	chr3(.):128841258-128885073	0.3194
NM_152616	chr3(.):140391865-140424992	0.0693
NR_024480	chr3(.):194013988-194035593	1.3202
NM_001080513	chr3(.):194055493-194077057	0.116
NM_006241	chr3(.):195236220-195275224	0.4863
NR_003265	chr3(.):195379909-195420735	0.3392
NM_005781	chr3(.):195585235-195640880	0.8096
NM_001010938	chr3(.):195585235-195627432	0.2821
NM_014687	chr3(.):197393258-197468773	0.4834
NM_001145642	chr3(.):197393313-197481568	0.4863
NR_027840	chr3(.):197472260-197516317	0.1926
NM_032288	chr3(.):197471623-197516317	0.1914
NM_001011537	chr3(.):197471423-197516317	0.1907
NM_144571	chr4(.):78629540-78745544	0.1454
NM_198281	chr4(.):90160428-90234161	0.4874
NM_001008388	chr4(.):103785134-103818963	0.5489
NR_033182	chr4(.):1160639-1207634	0.4637
NM_001199021	chr4(.):1155720-1207750	0.4409
NM_001100590	chr4(.):6779458-6890899	0.3222
NM_001166693	chr4(.):87851153-88067206	0.2163
NM_002039	chr4(.):144252982-144400718	0.3777
NM_012445	chr4(.):1155720-1171657	0.44
NM_001128325	chr4(.):1155720-1171999	0.4328
NR_033339	chr4(.):1238227-1251795	1.0172
NM_001012614	chr4(.):1200227-1247908	1.0558
NM_024943	chr4(.):38963440-39039041	0.4491
NM_020236	chr4(.):78778804-78878944	0.0597
NM_144645	chr4(.):87792357-87818575	0.0337
NM_181891	chr4(.):103712132-103753708	0.5713
NM_181890	chr4(.):103712132-103795032	0.5183
NM_181892	chr4(.):103712132-103753340	0.5764
NM_003340	chr4(.):103712132-103754105	0.5689
NM_181893	chr4(.):103712132-103795003	0.5185
NM_181889	chr4(.):103712132-103754307	0.5667
NM_024091	chr5(.):7854271-7874150	0.7919
NM_001077654	chr5(.):118599417-118735294	0.3971
NM_015621	chr5(.):150555612-150608654	0.402
NM_001172292	chr5(.):156882026-156906730	0.0682
NM_005990	chr5(.):171464073-171620346	0.2475
NM_033120	chr5(.):1004167-1043925	0.3151
NM_006598	chr5(.):1045488-1117172	0.3152
NM_001193376	chr5(.):1248286-1300162	0.1388
NM_030782	chr5(.):1312999-1350002	1.6268
NM_001089584	chr5(.):7826510-7856264	0.0467
NM_024010	chr5(.):7864216-7906235	0.4474
NM_006713	chr5(.):32580604-32609185	1.0043
NR_036052	chr5(.):118305280-118315362	0.0513
NM_014350	chr5(.):118686595-118735294	0.1735
NM_016480	chr5(.):138672518-138710409	0.2314
NM_194296	chr5(.):138727455-138744776	0.4623
NM_152686	chr5(.):138740891-138780214	0.1614
NM_152685	chr5(.):138697884-138724039	0.1303
NM_001033112	chr5(.):138673133-138710409	0.2333
NM_001161546	chr5(.):138722634-138735885	1.3729
NM_016459	chr5(.):138718256-138730605	1.502
NM_181838	chr5(.):138935750-139013018	0.3843
NM_016463	chr5(.):139023300-139067680	0.5542
NM_000024	chr5(.):148201155-148213197	0.728
NM_000405	chr5(.):150627612-150654953	0.6018
NM_181774	chr5(.):150650925-150688334	0.0376
NM_033274	chr5(.):156899311-157007783	0.2793
NM_001195556	chr5(.):157207750-157291183	0.1849
NM_001171183	chr5(.):171616175-171635458	0.0907
NR_031598	chr5(.):179220277-179230346	0.2955
NM_145867	chr5(.):179215985-179228513	0.2391
NM_003900	chr5(.):179242841-179270077	1.1628
NM_016175	chr5(.):179259265-179290840	0.0954
NM_054013	chr5(.):179219597-179234875	0.7558
NM_014275	chr5(.):179219597-179238952	0.662
NM_001142298	chr5(.):179228387-179270077	1.0246
NM_001142299	chr5(.):179229002-179270077	1.0395
NM_006098	chr5(.):180658927-180675906	0.6393
NM_033342	chr5(.):180625119-180637177	0.1836
NR_002591	chr5(.):180665313-180675376	1.0499
NR_002592	chr5(.):180663817-180673889	1.0101
NM_032765	chr5(.):180678385-180693119	0.5469
NM_203297	chr5(.):180615923-180632930	0.2256
NM_203296	chr5(.):180615923-180636340	0.2568
NM_033549	chr5(.):180645305-180667808	0.5525
NM_001029884	chr6(.):150915998-151169799	0.1676
NM_004117	chr6(.):35536361-35661719	0.0828
NM_022758	chr6(.):34550065-34669625	0.7879
NM_001145776	chr6(.):35536361-35661692	0.0828
NM_001145775	chr6(.):35536361-35701360	0.2414
NM_181356	chr6(.):44791469-45350670	0.0897
NM_003599	chr6(.):44792449-45350575	0.0896
NM_012288	chr6(.):52357199-52446862	1.8181
NM_033515	chr6(.):129893239-130036370	0.1675
NM_007124	chr6(.):144607872-145179170	0.1558
NM_001122742	chr6(.):152006630-152429408	0.1354
NM_001195286	chr6(.):386738-416443	1.4187
NM_001168344	chr6(.):7102829-7257213	0.4856
NM_001003699	chr6(.):7103085-7257213	0.4863
NR_026970	chr6(.):6341697-6628059	0.2098
NR_037616	chr6(.):7876482-8069647	1.3085
NM_000332	chr6(.):16294342-16766721	0.4335
NM_001173977	chr6(.):25274655-25625758	0.2748
NM_014641	chr6(.):30662583-30690458	1.1741
NM_172166	chr6(.):31702724-31735455	1.1117
NM_007162	chr6(.):41646715-41707798	0.8267
NM_001167827	chr6(.):41646715-41708997	0.812
NM_004348	chr6(.):45384913-45523819	0.3413
NM_001024630	chr6(.):45291053-45523819	0.2815
NM_001172420	chr6(.):52280804-52365583	0.6461
NM_018100	chr6(.):52279993-52365583	0.641
NM_001123226	chr6(.):74166453-74216179	0.5686
NM_016021	chr6(.):90031343-90067619	1.1841
NM_001170794	chr6(.):90631246-91011627	0.269
NM_021813	chr6(.):90631246-91011562	0.269
NM_032131	chr6(.):109164618-109300352	0.8267
NM_001143676	chr6(.):134485383-134644196	0.2638
NM_001130173	chr6(.):135497452-135545311	0.5116
NM_005375	chr6(.):135497452-135545310	0.5116
NM_005923	chr6(.):136873186-137118656	0.2254
NM_006734	chr6(.):143067603-143271338	0.3149
NM_001122740	chr6(.):152123453-152429408	0.0675
NM_000125	chr6(.):152123813-152429408	0.0675
NM_001122741	chr6(.):152121807-152429408	0.0676
NM_024630	chr6(.):157797556-158099977	0.4037
NM_020185	chr6(.):287100-356355	5.4081
NM_004271	chr6(.):6583933-6660216	0.4912
NR_027712	chr6(.):7981334-7995577	0.3763
NM_001145549	chr6(.):7876482-7915310	2.7812
NM_030810	chr6(.):7876482-7916047	3.0383
NM_003526	chr6(.):26118694-26129132	2.6204
NM_139006	chr6(.):26082508-26100469	0.1648
NM_021065	chr6(.):26194011-26204471	3.8735
NM_003530	chr6(.):26192011-26204464	3.3554
NM_138720	chr6(.):26153348-26176576	1.6956
NM_003523	chr6(.):26179023-26189458	0.9402
NM_003539	chr6(.):26183937-26194304	1.1452
NM_003545	chr6(.):26199872-26210249	2.758
NM_021063	chr6(.):26153348-26163871	1.8887
NM_005321	chr6(.):26151558-26162343	1.8279
NM_003512	chr6(.):26119372-26129918	2.6004
NM_003542	chr6(.):26099175-26109565	0.0701
NM_005323	chr6(.):26102639-26113364	0.051
NM_003522	chr6(.):26194786-26205216	4.227
NM_003518	chr6(.):26211427-26221872	1.3604
NM_021052	chr6(.):26212147-26222711	1.3392
NM_003543	chr6(.):26280353-26290727	1.8949
NM_003532	chr6(.):26220382-26230844	0.169
NM_003524	chr6(.):26246878-26257303	1.351
NM_003534	chr6(.):26266145-26276612	3.5259
NM_003547	chr6(.):26241838-26252205	1.1792
NM_003540	chr6(.):26235653-26246021	0.1881
NM_021018	chr6(.):26245369-26255835	1.3467
NM_005320	chr6(.):26229439-26240216	0.5727
NM_003525	chr6(.):26268203-26278640	3.5587
NM_001145008	chr6(.):26397464-26420444	0.2681
NM_001197240	chr6(.):26378328-26400100	0.4703
NM_001197247	chr6(.):26360397-26383540	1.7774
NM_001197238	chr6(.):26378323-26400100	0.4702
NM_007047	chr6(.):26360397-26383548	1.7788
NM_001197237	chr6(.):26378438-26400100	0.4712
NM_001197248	chr6(.):26360469-26383540	1.7716
NM_001197246	chr6(.):26363405-26383540	1.0388
NR_026790	chr6(.):26516933-26532612	1.7993
NM_001732	chr6(.):26496494-26515652	0.2871
NM_006353	chr6(.):26533571-26552164	1.5904
NM_021064	chr6(.):27095816-27106314	2.7636
NM_080593	chr6(.):27101071-27119637	2.0833
NM_080596	chr6(.):27109907-27120346	1.9076
NR_036096	chr6(.):27110404-27120467	1.9616
NM_021058	chr6(.):27095094-27105575	2.7808
NM_003495	chr6(.):27102087-27112457	1.2595
NM_021066	chr6(.):27777079-27787518	3.3623
NM_003536	chr6(.):27772841-27783314	3.6444
NM_003509	chr6(.):27770976-27781445	2.6527
NM_003519	chr6(.):27770256-27780709	2.3744
NM_003521	chr6(.):27777821-27788267	3.3018
NM_003535	chr6(.):27853092-27863570	2.5734
NM_003527	chr6(.):27856202-27866669	2.7485
NM_003520	chr6(.):27801439-27811888	3.5851
NM_003511	chr6(.):27828106-27838576	0.3319
NM_003533	chr6(.):27834622-27845099	0.0787
NM_003510	chr6(.):27800657-27811117	3.6412
NM_003541	chr6(.):27793951-27804305	1.8408
NM_005322	chr6(.):27829569-27840359	0.3279
NM_033057	chr6(.):27873962-27885174	0.0516
NM_021968	chr6(.):27786902-27797258	0.8202
NM_003514	chr6(.):27855476-27865963	2.7488
NM_003546	chr6(.):27835925-27846289	0.0806
NM_003587	chr6(.):30615895-30645830	0.1704
NM_133471	chr6(.):30639165-30660672	0.8049
NM_001134870	chr6(.):30639165-30660093	0.818
NM_007243	chr6(.):30650825-30663769	0.8896
NM_005803	chr6(.):30690510-30715453	0.3158
NM_003897	chr6(.):30705975-30717327	0.3477
NM_178014	chr6(.):30683156-30698195	1.8439
NM_021246	chr6(.):31678132-31690581	0.2706
NM_138275	chr6(.):31686160-31697851	0.7379
NR_033488	chr6(.):31649725-31675850	0.3509
NM_013974	chr6(.):31689816-31703039	0.8167
NM_001288	chr6(.):31693357-31709341	2.6391
NM_001003693	chr6(.):31669683-31683372	0.7063
NM_021160	chr6(.):31649725-31676137	0.3472
NR_024541	chr6(.):31674752-31686842	0.2731
NM_025261	chr6(.):31681424-31694510	0.2349
NM_001039651	chr6(.):31725772-31737624	0.1152
NM_025258	chr6(.):31728370-31750108	0.2155
NM_022107	chr6(.):32153542-32168300	1.8898
NM_138717	chr6(.):32116300-32136452	0.2134
NM_001136	chr6(.):32143745-32157023	0.6568
NM_004557	chr6(.):32157619-32196844	0.7989
NM_032741	chr6(.):32130982-32150888	0.4849
NM_002586	chr6(.):32147509-32162963	1.2051
NM_006913	chr6(.):32141161-32153570	0.7573
NR_003129	chr6(.):32141231-32153567	0.7616
