REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
4_MACS_peak_11602_lociStitched	chr17	34508014	34550181	4	37493	105130.7644	11595.925000000001
6_MACS_peak_17044_lociStitched	chr20	25261503	25302636	6	26888	72653.2179	7029.6296999999995
3_MACS_peak_11555_lociStitched	chr17	32688360	32729284	3	38829	93294.4428	8991.0028
6_MACS_peak_6006_lociStitched	chr12	7045245	7085870	6	30201	67876.25	7718.75
6_MACS_peak_19149_lociStitched	chr3	46419751	46459949	6	27495	42043.088200000006	7038.669800000001
5_MACS_peak_2455_lociStitched	chr1	206271464	206311641	5	26487	55765.676	10807.613000000001
7_MACS_peak_9394_lociStitched	chr15	63758579	63798586	7	23635	41871.326199999996	7197.259300000001
7_MACS_peak_8704_lociStitched	chr14	95946149	95986072	7	24614	28880.2982	3688.8851999999997
6_MACS_peak_29064_lociStitched	chr9	93670432	93709132	6	31484	54029.06999999999	7093.71
6_MACS_peak_28239_lociStitched	chr8	126284249	126322774	6	27066	39757.8	7404.505
5_MACS_peak_20565_lociStitched	chr3	193787488	193825295	5	25630	71961.8438	10188.9865
4_MACS_peak_12130_lociStitched	chr17	62150029	62187277	4	34270	59224.32	8391.9744
4_MACS_peak_20435_lociStitched	chr3	183223917	183260991	4	33535	72450.0108	12067.587
7_MACS_peak_8857_lociStitched	chr15	21967031	22003899	7	21229	24967.0096	5120.9652
6_MACS_peak_5866_lociStitched	chr11	130669370	130705984	6	26945	46067.7348	7033.5494
5_MACS_peak_11314_lociStitched	chr17	16859049	16895626	5	27049	73984.2979	7867.7127
7_MACS_peak_19026_lociStitched	chr3	39296038	39332517	7	17411	23379.3911	5811.1047
4_MACS_peak_12401_lociStitched	chr17	76711050	76747488	4	27459	62024.7636	7579.103999999999
4_MACS_peak_2143_lociStitched	chr1	181095098	181131507	4	25984	49811.1529	9262.4496
6_MACS_peak_17478_lociStitched	chr20	52531140	52567124	6	19746	31802.659200000002	6074.099200000001
5_MACS_peak_28174_lociStitched	chr8	120914282	120950007	5	33997	55480.924999999996	7141.4275
8_MACS_peak_23080_lociStitched	chr5	131418258	131453872	8	22623	50108.898	6560.0988
3_MACS_peak_13954_lociStitched	chr19	42027220	42062674	3	26807	46196.562	7296.4332
5_MACS_peak_16235_lociStitched	chr2	197072941	197108092	5	21706	30345.8583	6495.904799999999
4_MACS_peak_18710_lociStitched	chr3	5222384	5257084	4	26336	62564.1	7529.9
5_MACS_peak_10678_lociStitched	chr16	57624629	57658985	5	20440	32136.6024	5668.740000000001
3_MACS_peak_14484_lociStitched	chr2	20392330	20426636	3	26312	62941.2182	6483.834
5_MACS_peak_24898_lociStitched	chr6	106585014	106619048	5	24084	55621.766200000005	7000.7937999999995
4_MACS_peak_23594_lociStitched	chr5	173309999	173343912	4	26277	29938.3964	6341.731
2_MACS_peak_8813_lociStitched	chr14	106024455	106058184	2	33496	102428.2272	5693.4552
4_MACS_peak_9532_lociStitched	chr15	70767233	70800888	4	23083	41429.305	5953.5695
5_MACS_peak_15548_lociStitched	chr2	112208728	112242294	5	21390	33827.8148	5743.1426
2_MACS_peak_23832_lociStitched	chr6	7888864	7922283	2	32628	143781.9056	9765.0318
4_MACS_peak_4155_lociStitched	chr10	112599770	112633180	4	23842	48581.481	7149.74
4_MACS_peak_4268_lociStitched	chr10	125821815	125854847	4	26975	49105.371199999994	6424.724
4_MACS_peak_22019_lociStitched	chr4	185317358	185350379	4	25057	41523.9075	6941.0142
6_MACS_peak_29215_lociStitched	chr9	101996416	102029428	6	13384	25930.926	5017.824
6_MACS_peak_13517_lociStitched	chr19	12885542	12918210	6	14782	26216.07	5308.55
7_MACS_peak_21295_lociStitched	chr4	82409568	82442019	7	25226	29893.8612	5308.9836
3_MACS_peak_7367_lociStitched	chr12	123354995	123387387	3	26380	43259.515999999996	4424.7472
6_MACS_peak_24088_lociStitched	chr6	27094167	27126216	6	15204	26459.6544	5871.3768
4_MACS_peak_1603_lociStitched	chr1	149802609	149834570	4	19316	65785.3263	9022.5903
4_MACS_peak_24776_lociStitched	chr6	90054746	90086580	4	22600	48470.4484	6732.891
4_MACS_peak_2795_lociStitched	chr1	230256057	230287831	4	22080	54241.3954	7387.455000000001
5_MACS_peak_9968_lociStitched	chr15	101660719	101692450	5	23835	40771.1619	5730.618600000001
4_MACS_peak_4078_lociStitched	chr10	105244491	105276221	4	24086	56120.850999999995	6253.983
6_MACS_peak_704_lociStitched	chr1	42333115	42364767	6	14508	18962.7132	5073.8156
4_MACS_peak_8817_lociStitched	chr14	106145117	106176591	4	30477	68068.8198	3732.8163999999997
6_MACS_peak_1047_lociStitched	chr1	68201244	68232677	6	11965	18624.0525	5177.0151000000005
7_MACS_peak_25437_lociStitched	chr6	157976502	158007556	7	20997	28852.2714	3061.9244
3_MACS_peak_9488_lociStitched	chr15	68568757	68599547	3	25823	38207.310999999994	5982.497
5_MACS_peak_20150_lociStitched	chr3	156795240	156826012	5	22542	59122.2436	9256.2176
5_MACS_peak_9816_lociStitched	chr15	89646484	89677067	5	23212	47626.9059	5407.0744
6_MACS_peak_9461_lociStitched	chr15	67366016	67396406	6	20568	27426.975	5427.654
4_MACS_peak_12597_lociStitched	chr18	9054846	9084947	4	20003	51930.245200000005	6092.4424
4_MACS_peak_19891_lociStitched	chr3	129025286	129055259	4	18241	44713.7214	6099.505499999999
5_MACS_peak_15309_lociStitched	chr2	88898749	88928707	5	18664	30092.810999999998	5662.062
6_MACS_peak_19136_lociStitched	chr3	46317710	46347536	6	28812	38922.93	5833.9655999999995
6_MACS_peak_13441_lociStitched	chr19	10513219	10542991	6	20522	32549.7276	5239.871999999999
3_MACS_peak_23092_lociStitched	chr5	131744658	131774348	3	23421	69020.343	6831.669
3_MACS_peak_10221_lociStitched	chr16	11808328	11837999	3	26421	44776.506100000006	6355.5282
3_MACS_peak_26572_lociStitched	chr7	102063619	102093258	3	22975	65093.171800000004	6286.4319000000005
6_MACS_peak_15073_lociStitched	chr2	68936314	68965877	6	17268	25678.4218	5829.8236
5_MACS_peak_2177_lociStitched	chr1	183856392	183885950	5	20624	38862.8584	7283.0912
3_MACS_peak_1809_lociStitched	chr1	156449622	156479008	3	28885	72556.97260000001	8903.958
5_MACS_peak_17289_lociStitched	chr20	42564451	42593749	5	21470	35728.911	4787.2932
5_MACS_peak_7157_lociStitched	chr12	109006766	109035907	5	23678	72703.8809	6923.9016
4_MACS_peak_22082_lociStitched	chr4	187746905	187776043	4	18868	38246.5388	5020.477400000001
5_MACS_peak_5979_lociStitched	chr12	6551718	6580829	5	14393	36749.7264	5248.713299999999
4_MACS_peak_9088_lociStitched	chr15	40833488	40862548	4	17845	32166.514	5858.496
4_MACS_peak_21163_lociStitched	chr4	71526582	71555477	4	20330	32816.0515	5773.2210000000005
2_MACS_peak_6571_lociStitched	chr12	53845963	53874826	2	28710	36627.147	6000.6177
7_MACS_peak_9065_lociStitched	chr15	40329766	40358610	7	22244	32945.6168	4842.9076
5_MACS_peak_17961_lociStitched	chr21	45552564	45581380	5	22590	77610.13279999999	7457.580799999999
6_MACS_peak_3659_lociStitched	chr10	74006781	74035522	6	20694	38343.3681	5156.1354
4_MACS_peak_13601_lociStitched	chr19	16244078	16272611	4	25357	48334.902	6088.9422
4_MACS_peak_14851_lociStitched	chr2	47522684	47551078	4	19980	48823.483	5968.4188
1_MACS_peak_26129_lociStitched	chr7	55614744	55643077	1	28334	49953.912299999996	5958.429899999999
2_MACS_peak_12601_lociStitched	chr18	9094854	9122781	2	22868	49941.8541	5906.5605
4_MACS_peak_16616_lociStitched	chr2	232687054	232714942	4	25768	29706.297599999998	3550.1423999999997
6_MACS_peak_8844_lociStitched	chr15	20968480	20996265	6	16664	22644.774999999998	4048.2745
3_MACS_peak_1740_lociStitched	chr1	154907932	154935667	3	24810	94770.495	9069.345000000001
3_MACS_peak_27577_lociStitched	chr8	37736684	37764317	3	19687	40247.464499999995	4979.4666
6_MACS_peak_4285_lociStitched	chr10	126406183	126433760	6	15816	22844.7868	4337.8621
4_MACS_peak_2466_lociStitched	chr1	206727287	206754836	4	21387	50219.0721	7969.9257
4_MACS_peak_9174_lociStitched	chr15	45001868	45029381	4	14255	29119.7592	5601.6468
4_MACS_peak_5378_lociStitched	chr11	82763101	82790488	4	17956	35405.9136	5521.2192000000005
6_MACS_peak_22454_lociStitched	chr5	55320178	55347479	6	9853	12045.2012	3762.0778
5_MACS_peak_4132_lociStitched	chr10	112103319	112130601	5	21154	62011.986000000004	5527.3332
6_MACS_peak_25061_lociStitched	chr6	119762112	119789384	6	17084	22093.0472	5056.2288
5_MACS_peak_5144_lociStitched	chr11	66861872	66889111	5	12729	17016.2033	4292.8664
3_MACS_peak_1487_lociStitched	chr1	143442079	143469133	3	17702	37177.6068	8603.172
6_MACS_peak_12822_lociStitched	chr18	42287503	42314516	6	24718	27234.5066	4743.4828
4_MACS_peak_11845_lociStitched	chr17	43504669	43531654	4	19444	29216.6595	4816.8225
5_MACS_peak_12405_lociStitched	chr17	76753516	76780464	5	22238	43973.746399999996	5066.224
5_MACS_peak_10685_lociStitched	chr16	57824449	57851394	5	12088	20098.2755	4060.6115
2_MACS_peak_20290_lociStitched	chr3	171801507	171828416	2	25481	60827.794499999996	8180.336
5_MACS_peak_317_lociStitched	chr1	23927844	23954708	5	14593	22939.1696	5171.32
6_MACS_peak_15105_lociStitched	chr2	70334267	70361008	6	13971	29235.935299999997	4693.045499999999
4_MACS_peak_23095_lociStitched	chr5	131789513	131816222	4	20162	51348.052500000005	6436.869
3_MACS_peak_12056_lociStitched	chr17	56404441	56431148	3	21024	68554.1983	7058.660099999999
2_MACS_peak_4669_lociStitched	chr11	22677058	22703735	2	22398	48448.0997	4823.201599999999
4_MACS_peak_17931_lociStitched	chr21	44723491	44750039	4	23361	48293.4668	5681.272
4_MACS_peak_2415_lociStitched	chr1	204474591	204501114	4	19992	59870.3679	7163.8623
3_MACS_peak_18784_lociStitched	chr3	13035452	13061957	3	20645	63299.240999999995	5902.663500000001
4_MACS_peak_19128_lociStitched	chr3	46126993	46153466	4	20623	34070.751	5225.7702
5_MACS_peak_6644_lociStitched	chr12	57093589	57120054	5	13639	21989.7685	4557.273
3_MACS_peak_1518_lociStitched	chr1	145138197	145164497	3	20408	35142.060000000005	9512.710000000001
3_MACS_peak_3109_lociStitched	chr10	11278711	11304978	3	24144	47800.6866	5271.7869
2_MACS_peak_19818_lociStitched	chr3	124487084	124513303	2	24971	44753.2111	4732.5295
4_MACS_peak_16230_lociStitched	chr2	197023163	197049381	4	22120	39062.1982	5922.6462
5_MACS_peak_1460_lociStitched	chr1	120610653	120636834	5	18449	26725.564799999996	7760.0484
4_MACS_peak_29638_lociStitched	chr9	134126808	134152964	4	17221	29650.4416	4394.2080000000005
5_MACS_peak_12724_lociStitched	chr18	23745862	23772011	5	14012	20061.5128	4249.212500000001
5_MACS_peak_19285_lociStitched	chr3	52271781	52297805	5	12010	19351.4464	4424.08
4_MACS_peak_14999_lociStitched	chr2	64430466	64456468	4	18728	27913.146999999997	5085.9911999999995
6_MACS_peak_13354_lociStitched	chr19	6765167	6791119	6	14007	16362.735999999999	5405.801600000001
5_MACS_peak_5054_lociStitched	chr11	64839001	64864869	5	11284	20407.2652	4475.164
2_MACS_peak_21396_lociStitched	chr4	90204547	90230415	2	25080	68105.2704	6084.1536
5_MACS_peak_28245_lociStitched	chr8	126340768	126366434	5	13184	19039.038800000002	3665.1048
5_MACS_peak_9976_lociStitched	chr15	101782291	101807905	5	12395	21072.6378	4415.8536
6_MACS_peak_4468_lociStitched	chr11	6623750	6649332	6	10881	14016.377800000002	4297.776
5_MACS_peak_12304_lociStitched	chr17	73850276	73875850	5	15883	41496.3724	4790.0102
3_MACS_peak_15003_lociStitched	chr2	64486382	64511943	3	15245	21777.971999999998	4485.9555
5_MACS_peak_11233_lociStitched	chr17	7736855	7762276	5	14873	26219.2194	4479.1802
4_MACS_peak_28432_lociStitched	chr8	145002268	145027689	4	15314	25326.9423	3225.9249000000004
5_MACS_peak_11946_lociStitched	chr17	48224763	48250177	5	16498	23157.2368	4434.7429999999995
3_MACS_peak_5078_lociStitched	chr11	65253659	65279033	3	22697	54480.5154	5488.3962
5_MACS_peak_16358_lociStitched	chr2	204715600	204740866	5	16991	16746.304799999998	4393.7574
4_MACS_peak_5268_lociStitched	chr11	72976799	73002050	4	17094	25495.9347	4113.3879
3_MACS_peak_8051_lociStitched	chr13	115023531	115048779	3	19970	40906.8096	4751.6736
4_MACS_peak_10760_lociStitched	chr16	67562542	67587787	4	15087	25298.0145	4200.768
4_MACS_peak_23375_lociStitched	chr5	150512910	150538149	4	16442	25095.1377	4628.832600000001
3_MACS_peak_19106_lociStitched	chr3	45592834	45618062	3	15199	27541.4076	4500.6752
5_MACS_peak_29456_lociStitched	chr9	126081992	126107182	5	17892	41863.261	4420.844999999999
4_MACS_peak_11201_lociStitched	chr17	6915017	6940200	4	11387	30725.778299999998	4364.213900000001
4_MACS_peak_2255_lociStitched	chr1	192496108	192521251	4	23157	41521.1502	6562.323
4_MACS_peak_13252_lociStitched	chr19	2455091	2480182	4	12640	23778.7407	5394.565
4_MACS_peak_6446_lociStitched	chr12	48195796	48220879	4	20100	40117.750199999995	4813.427699999999
4_MACS_peak_8890_lociStitched	chr15	23657593	23682670	4	18931	30634.0632	3851.8271999999997
4_MACS_peak_8581_lociStitched	chr14	81930754	81955812	4	17426	22158.789399999998	2583.4798
6_MACS_peak_13215_lociStitched	chr19	1647818	1672869	6	13810	26716.8915	5270.7304
6_MACS_peak_8683_lociStitched	chr14	94422767	94447815	6	16150	23116.7992	2787.8424
5_MACS_peak_3081_lociStitched	chr10	7510996	7536011	5	17396	23599.151	4372.622
1_MACS_peak_11596_lociStitched	chr17	34408339	34433323	1	24985	60836.04	6285.9744
6_MACS_peak_25951_lociStitched	chr7	38383574	38408494	6	14600	16225.412	5425.084
4_MACS_peak_17240_lociStitched	chr20	37498498	37523405	4	17426	55642.238	4719.8765
3_MACS_peak_15364_lociStitched	chr2	97187984	97212879	3	22318	57096.682499999995	4767.3925
3_MACS_peak_20346_lociStitched	chr3	177055431	177080317	3	16674	46509.4454	6669.448
6_MACS_peak_10744_lociStitched	chr16	67184244	67209122	6	12822	18531.6222	3878.4802000000004
4_MACS_peak_24512_lociStitched	chr6	52240046	52264922	4	16654	23468.0184	4378.1759999999995
5_MACS_peak_5322_lociStitched	chr11	77146641	77171469	5	15608	20577.4464	4486.4196
6_MACS_peak_9510_lociStitched	chr15	70306046	70330799	6	19517	34807.6686	4222.8618
3_MACS_peak_24026_lociStitched	chr6	25365765	25390469	3	20754	34454.6688	4990.2080000000005
1_MACS_peak_24897_lociStitched	chr6	106531146	106555781	1	24636	56116.06649999999	6033.1115
1_MACS_peak_5829_lociStitched	chr11	128585312	128609897	1	24586	56004.63	6033.159000000001
3_MACS_peak_10658_lociStitched	chr16	56930720	56955244	3	15901	44346.7492	4291.7
5_MACS_peak_10842_lociStitched	chr16	70826060	70850538	5	15233	25364.1036	4452.5482
5_MACS_peak_21936_lociStitched	chr4	173896382	173920859	5	13322	15697.1001	3590.7759
5_MACS_peak_5370_lociStitched	chr11	82666238	82690634	5	15590	27360.113999999998	4801.1328
5_MACS_peak_10355_lociStitched	chr16	22194953	22219327	5	17997	33840.861600000004	5162.4132
3_MACS_peak_1719_lociStitched	chr1	154370261	154394524	3	19032	52978.2605	7259.489600000001
5_MACS_peak_16083_lociStitched	chr2	178470949	178495119	5	9588	15350.367	3734.265
5_MACS_peak_691_lociStitched	chr1	42126890	42151007	5	16797	18131.1606	3964.8347999999996
5_MACS_peak_12261_lociStitched	chr17	72733052	72757163	5	20686	26321.978699999996	4913.821800000001
2_MACS_peak_27217_lociStitched	chr8	2027008	2051016	2	19702	59090.890400000004	4873.624000000001
5_MACS_peak_2801_lociStitched	chr1	230628173	230652149	5	11991	17420.961600000002	5138.056799999999
4_MACS_peak_9157_lociStitched	chr15	44579560	44603516	4	10299	15195.290799999999	3935.9708
4_MACS_peak_245_lociStitched	chr1	17221240	17245160	4	12243	42168.568	7429.552
4_MACS_peak_24944_lociStitched	chr6	109067023	109090861	4	15336	20057.2932	4367.1216
3_MACS_peak_13895_lociStitched	chr19	39880479	39904310	3	19537	56832.16879999999	4851.9916
4_MACS_peak_13623_lociStitched	chr19	16693428	16717242	4	20378	63452.403	5093.814600000001
3_MACS_peak_10217_lociStitched	chr16	11762521	11786323	3	21731	48184.7688	5424.4758
4_MACS_peak_5801_lociStitched	chr11	126332061	126355787	4	13204	28770.147599999997	3753.4532000000004
4_MACS_peak_24045_lociStitched	chr6	26183679	26207378	4	16503	36979.9196	4976.79
3_MACS_peak_22052_lociStitched	chr4	186252393	186276037	3	13748	20241.628399999998	4319.7588
4_MACS_peak_23638_lociStitched	chr5	176717111	176740747	4	16432	29145.551600000003	4389.2052
4_MACS_peak_5042_lociStitched	chr11	64611324	64634937	4	16591	34052.3073	3858.3642
4_MACS_peak_10374_lociStitched	chr16	23342676	23366140	4	15912	36097.0176	4552.0160000000005
2_MACS_peak_21250_lociStitched	chr4	77601723	77625128	2	19268	27224.696	4901.0070000000005
3_MACS_peak_18457_lociStitched	chr22	39822974	39846335	3	17617	42495.9951	4048.4613000000004
4_MACS_peak_1735_lociStitched	chr1	154821289	154844638	4	14682	32396.7375	5571.0714
4_MACS_peak_14533_lociStitched	chr2	25622787	25646052	4	15990	35486.1045	4664.632500000001
5_MACS_peak_17024_lociStitched	chr20	24429239	24452423	5	9738	13636.8288	2946.6863999999996
5_MACS_peak_8555_lociStitched	chr14	77487736	77510887	5	18068	25005.3951	2579.0214
5_MACS_peak_7021_lociStitched	chr12	96878386	96901494	5	11425	15822.0476	4147.8859999999995
4_MACS_peak_21875_lociStitched	chr4	159726366	159749456	4	11520	16257.668999999998	4080.0029999999997
6_MACS_peak_6452_lociStitched	chr12	48276203	48299234	6	16169	20458.437299999998	4062.6684
4_MACS_peak_6345_lociStitched	chr12	33037839	33060846	4	17115	19392.6003	4336.8195
2_MACS_peak_22466_lociStitched	chr5	55436940	55459916	2	18168	37041.9072	4716.9728000000005
3_MACS_peak_18940_lociStitched	chr3	30680985	30703947	3	19968	29111.2236	4833.501
5_MACS_peak_1762_lociStitched	chr1	155210060	155232917	5	8664	13458.2016	5460.5373
3_MACS_peak_2550_lociStitched	chr1	210850230	210872959	3	13421	17353.5915	5243.5803
4_MACS_peak_23815_lociStitched	chr6	7134893	7157600	4	15989	31453.736399999998	4484.632500000001
4_MACS_peak_9571_lociStitched	chr15	74674093	74696794	4	16490	36239.8764	4176.984
6_MACS_peak_4766_lociStitched	chr11	35126708	35149365	6	15926	17402.8417	3702.1537999999996
3_MACS_peak_9073_lociStitched	chr15	40386770	40409416	3	21029	49483.7746	5163.2880000000005
5_MACS_peak_15315_lociStitched	chr2	89044147	89066751	5	16219	38799.765999999996	4089.0636
4_MACS_peak_5103_lociStitched	chr11	65654958	65677536	4	11756	14610.2238	3994.0482
5_MACS_peak_5027_lociStitched	chr11	63992690	64015220	5	11700	20705.07	3602.5469999999996
4_MACS_peak_14245_lociStitched	chr19	56145412	56167935	4	11142	24041.050199999998	3198.2659999999996
5_MACS_peak_14111_lociStitched	chr19	48879935	48902449	5	13334	27329.744599999998	3818.3744
2_MACS_peak_27110_lociStitched	chr7	150062265	150084769	2	21901	71159.8984	6499.1552
4_MACS_peak_23288_lociStitched	chr5	142952593	142975085	4	12151	21994.9268	4376.9432
4_MACS_peak_13234_lociStitched	chr19	2040527	2063001	4	13328	28858.863400000002	4584.696
3_MACS_peak_19938_lociStitched	chr3	133178615	133201077	3	22202	43630.188799999996	4892.2236
2_MACS_peak_15029_lociStitched	chr2	65156936	65179366	2	20678	42910.833	5356.284000000001
1_MACS_peak_484_lociStitched	chr1	31213996	31236376	1	22381	54685.52999999999	5136.21
2_MACS_peak_16487_lociStitched	chr2	219741169	219763549	2	19796	55652.346	5158.59
6_MACS_peak_16199_lociStitched	chr2	192481490	192503853	6	13969	13487.1253	3871.0353
4_MACS_peak_24264_lociStitched	chr6	33536562	33558868	4	10715	21088.0924	3548.8846
4_MACS_peak_4386_lociStitched	chr11	788790	811094	4	9773	16556.2592	2850.4512
3_MACS_peak_27365_lociStitched	chr8	19518733	19541000	3	12640	22565.377800000002	3787.6167
4_MACS_peak_24208_lociStitched	chr6	31783160	31805357	4	13711	20234.7852	4099.7859
4_MACS_peak_7277_lociStitched	chr12	117535870	117558059	4	10274	14236.462399999999	2145.6763
1_MACS_peak_3105_lociStitched	chr10	11202496	11224610	1	22115	87003.1102	5776.176799999999
7_MACS_peak_9167_lociStitched	chr15	44954582	44976692	7	15456	20007.339	4273.863
3_MACS_peak_22175_lociStitched	chr5	6475837	6497942	3	15880	41347.402500000004	3802.0599999999995
4_MACS_peak_26550_lociStitched	chr7	101376488	101398575	4	12027	14034.0798	3337.3457000000003
5_MACS_peak_16853_lociStitched	chr20	5570523	5592583	5	17716	22419.578	4025.95
4_MACS_peak_14840_lociStitched	chr2	47193727	47215750	4	14632	31270.4577	4338.531
3_MACS_peak_17316_lociStitched	chr20	43587501	43609515	3	13483	23891.7942	4530.4812
3_MACS_peak_5189_lociStitched	chr11	67760278	67782266	3	17275	33412.9648	4188.714
3_MACS_peak_6952_lociStitched	chr12	92929187	92951101	3	17182	27732.167	4058.4728
4_MACS_peak_22777_lociStitched	chr5	88595588	88617499	4	13644	26698.553499999998	4248.5428999999995
5_MACS_peak_22763_lociStitched	chr5	87954779	87976687	5	10757	28760.8224	3768.1759999999995
5_MACS_peak_19144_lociStitched	chr3	46389747	46411609	5	14054	21153.6712	4274.021
5_MACS_peak_20292_lociStitched	chr3	171851370	171873231	5	10789	11245.2984	5014.9133999999995
3_MACS_peak_9802_lociStitched	chr15	89163695	89185544	3	16608	28397.1453	4190.6382
3_MACS_peak_22011_lociStitched	chr4	185232237	185254086	3	10172	14429.0796	3681.5565
4_MACS_peak_3416_lociStitched	chr10	45453978	45475798	4	15163	21193.766	3796.68
5_MACS_peak_29649_lociStitched	chr9	134594606	134616404	5	13035	19441.6362	3553.074
3_MACS_peak_341_lociStitched	chr1	24512186	24533973	3	16469	35754.6457	4780.0678
3_MACS_peak_1625_lociStitched	chr1	150531676	150553454	3	18122	54976.3832	7476.3874
5_MACS_peak_19311_lociStitched	chr3	53194100	53215809	5	9934	12078.8876	3217.2738
3_MACS_peak_5641_lociStitched	chr11	115789835	115811515	3	13312	21335.288	3601.048
3_MACS_peak_4520_lociStitched	chr11	10323558	10345173	3	19503	42058.467	4223.571
5_MACS_peak_20854_lociStitched	chr4	15766874	15788436	5	11197	12671.9874	3598.6978
3_MACS_peak_12237_lociStitched	chr17	70581946	70603503	3	16321	30546.269	3981.5779
2_MACS_peak_1797_lociStitched	chr1	156115343	156136897	2	21118	71300.632	7188.259
4_MACS_peak_26697_lociStitched	chr7	111711568	111733102	4	11013	16387.374	5127.2454
5_MACS_peak_12318_lociStitched	chr17	74169194	74190719	5	11463	13971.8775	3095.295
5_MACS_peak_22283_lociStitched	chr5	32275217	32296723	5	18788	24645.875999999997	4415.1818
3_MACS_peak_2428_lociStitched	chr1	205197167	205218620	3	13288	20311.700399999998	5343.9423
5_MACS_peak_28755_lociStitched	chr9	35828159	35849576	5	12291	16371.154799999998	3758.6834999999996
2_MACS_peak_17458_lociStitched	chr20	52194810	52216071	2	20531	33949.5648	3741.9359999999997
4_MACS_peak_25199_lociStitched	chr6	135322915	135344117	4	13161	22062.801199999998	3979.6154
3_MACS_peak_29315_lociStitched	chr9	112904287	112925481	3	20851	30065.8084	5063.2466
5_MACS_peak_5577_lociStitched	chr11	111230375	111251550	5	18221	40168.975	4203.2375
4_MACS_peak_5716_lociStitched	chr11	120195475	120216622	4	10841	12660.7089	3910.0803
2_MACS_peak_6557_lociStitched	chr12	53583253	53604384	2	20750	64576.336	5631.4115
3_MACS_peak_24955_lociStitched	chr6	109186395	109207520	3	14591	21194.7125	3861.6499999999996
3_MACS_peak_22968_lociStitched	chr5	118657831	118678922	3	13929	20129.2504	3965.108
3_MACS_peak_1792_lociStitched	chr1	156065090	156086179	3	14386	31169.542	4915.8459
4_MACS_peak_21215_lociStitched	chr4	76022607	76043689	4	11944	27942.082799999996	3756.8124
6_MACS_peak_11754_lociStitched	chr17	40330278	40351356	6	9978	10878.3558	3321.8927999999996
4_MACS_peak_21189_lociStitched	chr4	74454092	74475162	4	10855	20701.275	3265.85
3_MACS_peak_23684_lociStitched	chr5	180228395	180249448	3	16029	31819.504200000003	3713.7492
5_MACS_peak_16306_lociStitched	chr2	202081041	202102074	5	15200	18635.238	4288.6287
4_MACS_peak_20254_lociStitched	chr3	169647407	169668407	4	18006	35966.7	5842.2
