REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_18710_lociStitched	chr3	5222384	5257084	4	26336	62564.1	7529.9	51	ARL8B,EDEM1		EDEM1	EDEM1	1.2267	51	1
3_MACS_peak_14484_lociStitched	chr2	20392330	20426636	3	26312	62941.2182	6483.834	52	SDC1		SDC1	SDC1	1.6338	52	1
4_MACS_peak_23594_lociStitched	chr5	173309999	173343912	4	26277	29938.3964	6341.731	53	CPEB4		CPEB4	CPEB4	0.3185	53	1
10_MACS_peak_18441_lociStitched	chr22	39630931	39674589	10	26010	37842.7544	6435.1892	54	PDGFB	SNORD83B,SNORD83A,RNU86,SNORD43,RPL3	PDGFB	SNORD43	0.9013	54	1
4_MACS_peak_2143_lociStitched	chr1	181095098	181131507	4	25984	49811.1529	9262.4496	55		IER5	IER5	IER5	0.4346	55	1
3_MACS_peak_9488_lociStitched	chr15	68568757	68599547	3	25823	38207.311	5982.497	56	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	0.8634999999999999	56	1
4_MACS_peak_16616_lociStitched	chr2	232687054	232714942	4	25768	29706.2976	3550.1424	57		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.03900000000000001	57	1
5_MACS_peak_20565_lociStitched	chr3	193787488	193825295	5	25630	71961.8438	10188.9865	58		HES1	HES1	HES1	1.4051	58	1
2_MACS_peak_20290_lociStitched	chr3	171801507	171828416	2	25481	60827.7945	8180.336	59	FNDC3B		FNDC3B	FNDC3B	0.18689999999999998	59	1
4_MACS_peak_13601_lociStitched	chr19	16244078	16272611	4	25357	48334.902	6088.9422	60	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.2262	60	1
7_MACS_peak_21295_lociStitched	chr4	82409568	82442019	7	25226	29893.8612	5308.9836	61		RASGEF1B	RASGEF1B	RASGEF1B	0.29610000000000003	61	1
2_MACS_peak_21396_lociStitched	chr4	90204547	90230415	2	25080	68105.2704	6084.1536	62	GPRIN3		GPRIN3	GPRIN3	0.8661	62	1
4_MACS_peak_22019_lociStitched	chr4	185317358	185350379	4	25057	41523.9075	6941.0142	63	IRF2		IRF2	IRF2	0.8763000000000001	63	1
1_MACS_peak_11596_lociStitched	chr17	34408339	34433323	1	24985	60836.04	6285.9744	64	CCL4,CCL3	CCL18	CCL3	CCL3	2.593	64	1
2_MACS_peak_19818_lociStitched	chr3	124487084	124513303	2	24971	44753.2111	4732.5295	65	ITGB5	UMPS	UMPS	UMPS	0.048100000000000004	65	1
3_MACS_peak_1740_lociStitched	chr1	154907932	154935667	3	24810	94770.495	9069.345	66	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.5612999999999997	66	1
6_MACS_peak_12822_lociStitched	chr18	42287503	42314516	6	24718	27234.5066	4743.4828	67	SETBP1		SETBP1	SETBP1	0.3466	67	1
1_MACS_peak_24897_lociStitched	chr6	106531146	106555781	1	24636	56116.0665	6033.1115	68	PRDM1		PRDM1	PRDM1	1.5028000000000001	68	1
7_MACS_peak_8704_lociStitched	chr14	95946149	95986072	7	24614	28880.2982	3688.8852	69		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.2248	69	1
1_MACS_peak_5829_lociStitched	chr11	128585312	128609897	1	24586	56004.63	6033.159	70	FLI1		FLI1	FLI1	0.5127	70	1
3_MACS_peak_3109_lociStitched	chr10	11278711	11304978	3	24144	47800.6866	5271.7869	71	CELF2		CELF2	CELF2	0.7407	71	1
4_MACS_peak_4078_lociStitched	chr10	105244491	105276221	4	24086	56120.851	6253.983	72	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	0.7873999999999999	72	1
5_MACS_peak_24898_lociStitched	chr6	106585014	106619048	5	24084	55621.7662	7000.7938	73		PRDM1	PRDM1	PRDM1	1.5028000000000001	73	1
4_MACS_peak_4155_lociStitched	chr10	112599770	112633180	4	23842	48581.481	7149.74	74	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.1168	74	1
5_MACS_peak_9968_lociStitched	chr15	101660719	101692450	5	23835	40771.1619	5730.6186	75			CHSY1	CHSY1	0.2829	75	1
5_MACS_peak_7157_lociStitched	chr12	109006766	109035907	5	23678	72703.8809	6923.9016	76	SELPLG	TMEM119	SELPLG	SELPLG	2.7067	76	1
7_MACS_peak_9394_lociStitched	chr15	63758579	63798586	7	23635	41871.3262	7197.2593	77	USP3		USP3	USP3	0.09469999999999999	77	1
3_MACS_peak_23092_lociStitched	chr5	131744658	131774348	3	23421	69020.343	6831.669	78	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.6389	78	1
4_MACS_peak_17931_lociStitched	chr21	44723491	44750039	4	23361	48293.4668	5681.272	79			SIK1	SIK1	0.9104000000000001	79	1
5_MACS_peak_9816_lociStitched	chr15	89646484	89677067	5	23212	47626.9059	5407.0744	80	ABHD2		ABHD2	ABHD2	0.37120000000000003	80	1
4_MACS_peak_2255_lociStitched	chr1	192496108	192521251	4	23157	41521.1502	6562.323	81		RGS1	RGS1	RGS1	1.138	81	1
4_MACS_peak_9532_lociStitched	chr15	70767233	70800888	4	23083	41429.305	5953.5695	82			UACA	UACA	NONE	82	1
3_MACS_peak_26572_lociStitched	chr7	102063619	102093258	3	22975	65093.1718	6286.4319	83	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.0550000000000002	83	1
2_MACS_peak_12601_lociStitched	chr18	9094854	9122781	2	22868	49941.8541	5906.5605	84	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.3855	84	1
3_MACS_peak_5078_lociStitched	chr11	65253659	65279033	3	22697	54480.5154	5488.3962	85	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.0822	85	1
8_MACS_peak_23080_lociStitched	chr5	131418258	131453872	8	22623	50108.898	6560.0988	86		IL3,CSF2	CSF2	CSF2	0.2585	86	1
4_MACS_peak_24776_lociStitched	chr6	90054746	90086580	4	22600	48470.4484	6732.891	87	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	0.7967	87	1
5_MACS_peak_17961_lociStitched	chr21	45552564	45581380	5	22590	77610.1328	7457.5808	88	C21orf33	PWP2	C21orf33	C21orf33	1.2184	88	1
5_MACS_peak_20150_lociStitched	chr3	156795240	156826012	5	22542	59122.2436	9256.2176	89	LOC100498859,LOC339894		LOC100498859	LOC100498859	2.1295	89	1
2_MACS_peak_4669_lociStitched	chr11	22677058	22703735	2	22398	48448.0997	4823.2016	90	GAS2	FANCF	GAS2	FANCF	0.3535	90	1
1_MACS_peak_484_lociStitched	chr1	31213996	31236376	1	22381	54685.53	5136.21	91	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.4125999999999999	91	1
3_MACS_peak_15364_lociStitched	chr2	97187984	97212879	3	22318	57096.6825	4767.3925	92	ARID5A	NEURL3	ARID5A	ARID5A	1.2585	92	1
7_MACS_peak_9065_lociStitched	chr15	40329766	40358610	7	22244	32945.6168	4842.9076	93	SRP14	BMF	SRP14	BMF	1.4724000000000002	93	1
5_MACS_peak_12405_lociStitched	chr17	76753516	76780464	5	22238	43973.7464	5066.224	94	CYTH1		CYTH1	CYTH1	0.7778999999999999	94	1
3_MACS_peak_19938_lociStitched	chr3	133178615	133201077	3	22202	43630.1888	4892.2236	95	BFSP2		BFSP2	BFSP2	0.5817	95	1
4_MACS_peak_16230_lociStitched	chr2	197023163	197049381	4	22120	39062.1982	5922.6462	96	STK17B		STK17B	STK17B	0.4021	96	1
1_MACS_peak_3105_lociStitched	chr10	11202496	11224610	1	22115	87003.1102	5776.1768	97	CELF2		CELF2	CELF2	0.7407	97	1
4_MACS_peak_2795_lociStitched	chr1	230256057	230287831	4	22080	54241.3954	7387.455	98	GALNT2		GALNT2	GALNT2	0.3769	98	1
5_MACS_peak_26973_lociStitched	chr7	137683896	137727146	5	22049	37047.95	10085.9	99	CREB3L2	AKR1D1	CREB3L2	CREB3L2	0.1645	99	1
2_MACS_peak_27110_lociStitched	chr7	150062265	150084769	2	21901	71159.8984	6499.1552	100	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	2.0871	100	1
3_MACS_peak_10217_lociStitched	chr16	11762521	11786323	3	21731	48184.7688	5424.4758	101	SNN,TXNDC11		SNN	SNN	1.1206999999999998	101	1
5_MACS_peak_16235_lociStitched	chr2	197072941	197108092	5	21706	30345.8583	6495.9048	102	HECW2	STK17B	STK17B	STK17B	0.4021	102	1
5_MACS_peak_17289_lociStitched	chr20	42564451	42593749	5	21470	35728.911	4787.2932	103	TOX2		TOX2	TOX2	0.5431999999999999	103	1
5_MACS_peak_15548_lociStitched	chr2	112208728	112242294	5	21390	33827.8148	5743.1426	104	LOC541471		LOC541471	LOC541471	0.36979999999999996	104	1
4_MACS_peak_2466_lociStitched	chr1	206727287	206754836	4	21387	50219.0721	7969.9257	105	RASSF5	LGTN	RASSF5	RASSF5	0.5243	105	1
7_MACS_peak_8857_lociStitched	chr15	21967031	22003899	7	21229	24967.0096	5120.9652	106		LOC646214,CXADRP2	CXADRP2	LOC646214	0.08569999999999997	106	1
5_MACS_peak_4132_lociStitched	chr10	112103319	112130601	5	21154	62011.986	5527.3332	107		SMNDC1	SMNDC1	SMNDC1	0.06870000000000001	107	1
2_MACS_peak_1797_lociStitched	chr1	156115343	156136897	2	21118	71300.632	7188.259	108	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.7044000000000001	108	1
3_MACS_peak_9073_lociStitched	chr15	40386770	40409416	3	21029	49483.7746	5163.288	109	BMF	BUB1B	BMF	BMF	1.4724000000000002	109	1
3_MACS_peak_12056_lociStitched	chr17	56404441	56431148	3	21024	68554.1983	7058.6601	110	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	2.4052	110	1
7_MACS_peak_25437_lociStitched	chr6	157976502	158007556	7	20997	28852.2714	3061.9244	111	ZDHHC14	MIR3692	MIR3692	MIR3692	0.0157	111	1
3_MACS_peak_29315_lociStitched	chr9	112904287	112925481	3	20851	30065.8084	5063.2466	112	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.28049999999999997	112	1
3_MACS_peak_24026_lociStitched	chr6	25365765	25390469	3	20754	34454.6688	4990.208	113	LRRC16A		LRRC16A	LRRC16A	0.2595	113	1
2_MACS_peak_6557_lociStitched	chr12	53583253	53604384	2	20750	64576.336	5631.4115	114	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	2.2858	114	1
6_MACS_peak_3659_lociStitched	chr10	74006781	74035522	6	20694	38343.3681	5156.1354	115	DDIT4	ANAPC16,ASCC1	DDIT4	DDIT4	0.5288999999999999	115	1
5_MACS_peak_12261_lociStitched	chr17	72733052	72757163	5	20686	26321.9787	4913.8218	116	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.49690000000000006	116	1
2_MACS_peak_15029_lociStitched	chr2	65156936	65179366	2	20678	42910.833	5356.284	117	LOC400958	SLC1A4	LOC400958	LOC400958	0.6081	117	1
3_MACS_peak_18784_lociStitched	chr3	13035452	13061957	3	20645	63299.241	5902.6635	118	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.34099999999999997	118	1
5_MACS_peak_2177_lociStitched	chr1	183856392	183885950	5	20624	38862.8584	7283.0912	119	RGL1		GLT25D2	GLT25D2	NONE	119	1
4_MACS_peak_19128_lociStitched	chr3	46126993	46153466	4	20623	34070.751	5225.7702	120			XCR1	XCR1	NONE	120	1
6_MACS_peak_9461_lociStitched	chr15	67366016	67396406	6	20568	27426.975	5427.654	121	SMAD3	SMAD3	SMAD3	SMAD3	0.24320000000000003	121	1
2_MACS_peak_17458_lociStitched	chr20	52194810	52216071	2	20531	33949.5648	3741.936	122	ZNF217		ZNF217	ZNF217	0.5391	122	1
6_MACS_peak_13441_lociStitched	chr19	10513219	10542991	6	20522	32549.7276	5239.872	123	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	PDE4A	0.2581	123	1
5_MACS_peak_10678_lociStitched	chr16	57624629	57658985	5	20440	32136.6024	5668.74	124	GPR56	GPR114,GPR56,GPR97	GPR56	GPR56	0.2242	124	1
3_MACS_peak_1518_lociStitched	chr1	145138197	145164497	3	20408	35142.06	9512.71	125		SEC22B,NOTCH2NL	SEC22B	NOTCH2NL	0.0867	125	1
4_MACS_peak_13623_lociStitched	chr19	16693428	16717242	4	20378	63452.403	5093.8146	126	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.06599999999999999	126	1
4_MACS_peak_21163_lociStitched	chr4	71526582	71555477	4	20330	32816.0515	5773.221	127	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	0.4476	127	1
2_MACS_peak_9588_lociStitched	chr15	75062768	75083671	2	20312	38793.8777	4880.8505	128	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.9982	128	1
4_MACS_peak_23095_lociStitched	chr5	131789513	131816222	4	20162	51348.0525	6436.869	129	C5orf56	IRF1	IRF1	IRF1	0.4913	129	1
1_MACS_peak_12603_lociStitched	chr18	9132527	9152655	1	20129	34604.0576	4283.2384	130	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.177	130	1
2_MACS_peak_7155_lociStitched	chr12	108952690	108973439	2	20104	43475.3797	5286.8452	131	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.0903	131	1
4_MACS_peak_6446_lociStitched	chr12	48195796	48220879	4	20100	40117.7502	4813.4277	132	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.735	132	1
4_MACS_peak_12597_lociStitched	chr18	9054846	9084947	4	20003	51930.2452	6092.4424	133		NDUFV2	NDUFV2	NDUFV2	1.3855	133	1
4_MACS_peak_2415_lociStitched	chr1	204474591	204501114	4	19992	59870.3679	7163.8623	134	MDM4	PIK3C2B	MDM4	MDM4	0.9634	134	1
4_MACS_peak_14851_lociStitched	chr2	47522684	47551078	4	19980	48823.483	5968.4188	135		EPCAM	EPCAM	NONE	NONE	135	1
3_MACS_peak_8051_lociStitched	chr13	115023531	115048779	3	19970	40906.8096	4751.6736	136	CDC16,UPF3A	ZNF828	UPF3A	UPF3A	0.5704	136	1
3_MACS_peak_18940_lociStitched	chr3	30680985	30703947	3	19968	29111.2236	4833.501	137	TGFBR2		TGFBR2	TGFBR2	0.312	137	1
2_MACS_peak_16487_lociStitched	chr2	219741169	219763549	2	19796	55652.346	5158.59	138	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.1607	138	1
6_MACS_peak_17478_lociStitched	chr20	52531140	52567124	6	19746	31802.6592	6074.0992	139	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	0.3874	139	1
2_MACS_peak_27217_lociStitched	chr8	2027008	2051016	2	19702	59090.8904	4873.624	140	MYOM2		MYOM2	MYOM2	0.6687	140	1
3_MACS_peak_27577_lociStitched	chr8	37736684	37764317	3	19687	40247.4645	4979.4666	141	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	RAB11FIP1	0.6601	141	1
3_MACS_peak_13895_lociStitched	chr19	39880479	39904310	3	19537	56832.1688	4851.9916	142	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	2.9347	142	1
6_MACS_peak_9510_lociStitched	chr15	70306046	70330799	6	19517	34807.6686	4222.8618	143		MIR629	MIR629	NONE	NONE	143	1
3_MACS_peak_4520_lociStitched	chr11	10323558	10345173	3	19503	42058.467	4223.571	144	ADM	SBF2	ADM	ADM	2.0201000000000002	144	1
1_MACS_peak_22770_lociStitched	chr5	88111481	88130925	1	19445	39762.98	4291.2908	145	MEF2C		MEF2C	MEF2C	0.3417	145	1
4_MACS_peak_11845_lociStitched	chr17	43504669	43531654	4	19444	29216.6595	4816.8225	146	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.5162	146	1
4_MACS_peak_1603_lociStitched	chr1	149802609	149834570	4	19316	65785.3263	9022.5903	147	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.5193000000000003	147	1
2_MACS_peak_21250_lociStitched	chr4	77601723	77625128	2	19268	27224.696	4901.007	148	SHROOM3		ANKRD56	ANKRD56	NONE	148	1
3_MACS_peak_1719_lociStitched	chr1	154370261	154394524	3	19032	52978.2605	7259.4896	149	IL6R		IL6R	IL6R	0.6169	149	1
4_MACS_peak_8890_lociStitched	chr15	23657593	23682670	4	18931	30634.0632	3851.8272	150			MKRN3	MKRN3	NONE	150	1
4_MACS_peak_22082_lociStitched	chr4	187746905	187776043	4	18868	38246.5388	5020.4774	151			FAT1	FAT1	NONE	151	1
5_MACS_peak_22283_lociStitched	chr5	32275217	32296723	5	18788	24645.876	4415.1818	152	MTMR12		MTMR12	MTMR12	0.23389999999999997	152	1
1_MACS_peak_11708_lociStitched	chr17	38465499	38484259	1	18761	51263.576	4333.56	153	RARA	CDC6,RARA,GJD3	RARA	RARA	0.8107	153	1
1_MACS_peak_5261_lociStitched	chr11	72851230	72869980	1	18751	45590.625	4717.5	154	FCHSD2		FCHSD2	FCHSD2	0.0016000000000000042	154	1
4_MACS_peak_14999_lociStitched	chr2	64430466	64456468	4	18728	27913.147	5085.9912	155	LOC150992		LOC150992	LOC150992	0.3264	155	1
4_MACS_peak_15489_lociStitched	chr2	109822806	109843492	4	18664	32228.788	4042.0444	156	SH3RF3		MIR4265	MIR4265	NONE	156	1
5_MACS_peak_15309_lociStitched	chr2	88898749	88928707	5	18664	30092.811	5662.062	157	EIF2AK3		EIF2AK3	EIF2AK3	0.28569999999999995	157	1
1_MACS_peak_21009_lociStitched	chr4	40190958	40209616	1	18659	49759.0202	4851.08	158	RHOH		RHOH	RHOH	0.7453000000000001	158	1
5_MACS_peak_1460_lociStitched	chr1	120610653	120636834	5	18449	26725.5648	7760.0484	159	NOTCH2		NOTCH2	NOTCH2	0.005099999999999993	159	1
3_MACS_peak_19557_lociStitched	chr3	98477271	98496845	3	18296	31388.8664	4032.244	160	ST3GAL6		ST3GAL6	ST3GAL6	0.5771000000000001	160	1
4_MACS_peak_19891_lociStitched	chr3	129025286	129055259	4	18241	44713.7214	6099.5055	161	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.5447	161	1
5_MACS_peak_5577_lociStitched	chr11	111230375	111251550	5	18221	40168.975	4203.2375	162	POU2AF1		POU2AF1	POU2AF1	0.9793999999999999	162	1
