#02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_ROSE/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam
#Using cutoff of 14943.2417 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
3_MACS_peak_23092_lociStitched	chr5	131744658	131774348	3	23421	69020.343	6831.669	48	1
2_MACS_peak_27110_lociStitched	chr7	150062265	150084769	2	21901	71159.8984	6499.1552	49	1
2_MACS_peak_1797_lociStitched	chr1	156115343	156136897	2	21118	71300.632	7188.259	50	1
1_MACS_peak_26129_lociStitched	chr7	55614744	55643077	1	28334	49953.9123	5958.4299	51	1
1_MACS_peak_11596_lociStitched	chr17	34408339	34433323	1	24985	60836.04	6285.9744	52	1
2_MACS_peak_20290_lociStitched	chr3	171801507	171828416	2	25481	60827.7945	8180.336	53	1
3_MACS_peak_26572_lociStitched	chr7	102063619	102093258	3	22975	65093.1718	6286.4319	54	1
3_MACS_peak_12056_lociStitched	chr17	56404441	56431148	3	21024	68554.1983	7058.6601	55	1
5_MACS_peak_2455_lociStitched	chr1	206271464	206311641	5	26487	55765.676	10807.613	56	1
7_MACS_peak_27451_lociStitched	chr8	27208557	27252431	7	28288	45958.015	8511.556	57	1
4_MACS_peak_4268_lociStitched	chr10	125821815	125854847	4	26975	49105.3712	6424.724	58	1
1_MACS_peak_24897_lociStitched	chr6	106531146	106555781	1	24636	56116.0665	6033.1115	59	1
1_MACS_peak_5829_lociStitched	chr11	128585312	128609897	1	24586	56004.63	6033.159	60	1
2_MACS_peak_6557_lociStitched	chr12	53583253	53604384	2	20750	64576.336	5631.4115	61	1
2_MACS_peak_13238_lociStitched	chr19	2081515	2098656	2	15767	73433.7581	6105.6242	62	1
6_MACS_peak_19136_lociStitched	chr3	46317710	46347536	6	28812	38922.93	5833.9656	63	1
4_MACS_peak_4078_lociStitched	chr10	105244491	105276221	4	24086	56120.851	6253.983	64	1
4_MACS_peak_13623_lociStitched	chr19	16693428	16717242	4	20378	63452.403	5093.8146	65	1
5_MACS_peak_4132_lociStitched	chr10	112103319	112130601	5	21154	62011.986	5527.3332	66	1
6_MACS_peak_5866_lociStitched	chr11	130669370	130705984	6	26945	46067.7348	7033.5494	67	1
3_MACS_peak_18784_lociStitched	chr3	13035452	13061957	3	20645	63299.241	5902.6635	68	1
2_MACS_peak_6571_lociStitched	chr12	53845963	53874826	2	28710	36627.147	6000.6177	69	1
5_MACS_peak_24898_lociStitched	chr6	106585014	106619048	5	24084	55621.7662	7000.7938	70	1
3_MACS_peak_13954_lociStitched	chr19	42027220	42062674	3	26807	46196.562	7296.4332	71	1
6_MACS_peak_19149_lociStitched	chr3	46419751	46459949	6	27495	42043.0882	7038.6698	72	1
3_MACS_peak_15364_lociStitched	chr2	97187984	97212879	3	22318	57096.6825	4767.3925	73	1
4_MACS_peak_2143_lociStitched	chr1	181095098	181131507	4	25984	49811.1529	9262.4496	74	1
3_MACS_peak_7367_lociStitched	chr12	123354995	123387387	3	26380	43259.516	4424.7472	75	1
3_MACS_peak_10221_lociStitched	chr16	11808328	11837999	3	26421	44776.5061	6355.5282	76	1
4_MACS_peak_13601_lociStitched	chr19	16244078	16272611	4	25357	48334.902	6088.9422	77	1
5_MACS_peak_20150_lociStitched	chr3	156795240	156826012	5	22542	59122.2436	9256.2176	78	1
3_MACS_peak_5078_lociStitched	chr11	65253659	65279033	3	22697	54480.5154	5488.3962	79	1
4_MACS_peak_1603_lociStitched	chr1	149802609	149834570	4	19316	65785.3263	9022.5903	80	1
1_MACS_peak_484_lociStitched	chr1	31213996	31236376	1	22381	54685.53	5136.21	81	1
6_MACS_peak_28239_lociStitched	chr8	126284249	126322774	6	27066	39757.8	7404.505	82	1
2_MACS_peak_19818_lociStitched	chr3	124487084	124513303	2	24971	44753.2111	4732.5295	83	1
3_MACS_peak_3109_lociStitched	chr10	11278711	11304978	3	24144	47800.6866	5271.7869	84	1
2_MACS_peak_27217_lociStitched	chr8	2027008	2051016	2	19702	59090.8904	4873.624	85	1
4_MACS_peak_2415_lociStitched	chr1	204474591	204501114	4	19992	59870.3679	7163.8623	86	1
4_MACS_peak_2795_lociStitched	chr1	230256057	230287831	4	22080	54241.3954	7387.455	87	1
4_MACS_peak_4155_lociStitched	chr10	112599770	112633180	4	23842	48581.481	7149.74	88	1
4_MACS_peak_17931_lociStitched	chr21	44723491	44750039	4	23361	48293.4668	5681.272	89	1
2_MACS_peak_12601_lociStitched	chr18	9094854	9122781	2	22868	49941.8541	5906.5605	90	1
10_MACS_peak_18441_lociStitched	chr22	39630931	39674589	10	26010	37842.7544	6435.1892	91	1
3_MACS_peak_9488_lociStitched	chr15	68568757	68599547	3	25823	38207.311	5982.497	92	1
5_MACS_peak_9816_lociStitched	chr15	89646484	89677067	5	23212	47626.9059	5407.0744	93	1
3_MACS_peak_13895_lociStitched	chr19	39880479	39904310	3	19537	56832.1688	4851.9916	94	1
8_MACS_peak_23080_lociStitched	chr5	131418258	131453872	8	22623	50108.898	6560.0988	95	1
4_MACS_peak_22019_lociStitched	chr4	185317358	185350379	4	25057	41523.9075	6941.0142	96	1
2_MACS_peak_4669_lociStitched	chr11	22677058	22703735	2	22398	48448.0997	4823.2016	97	1
2_MACS_peak_16487_lociStitched	chr2	219741169	219763549	2	19796	55652.346	5158.59	98	1
4_MACS_peak_24776_lociStitched	chr6	90054746	90086580	4	22600	48470.4484	6732.891	99	1
4_MACS_peak_23594_lociStitched	chr5	173309999	173343912	4	26277	29938.3964	6341.731	100	1
3_MACS_peak_10217_lociStitched	chr16	11762521	11786323	3	21731	48184.7688	5424.4758	101	1
4_MACS_peak_16616_lociStitched	chr2	232687054	232714942	4	25768	29706.2976	3550.1424	102	1
5_MACS_peak_9968_lociStitched	chr15	101660719	101692450	5	23835	40771.1619	5730.6186	103	1
3_MACS_peak_9073_lociStitched	chr15	40386770	40409416	3	21029	49483.7746	5163.288	104	1
2_MACS_peak_6113_lociStitched	chr12	12866045	12881802	2	15723	59104.507	3740.7118	105	1
7_MACS_peak_9394_lociStitched	chr15	63758579	63798586	7	23635	41871.3262	7197.2593	106	1
4_MACS_peak_2466_lociStitched	chr1	206727287	206754836	4	21387	50219.0721	7969.9257	107	1
4_MACS_peak_12597_lociStitched	chr18	9054846	9084947	4	20003	51930.2452	6092.4424	108	1
5_MACS_peak_12405_lociStitched	chr17	76753516	76780464	5	22238	43973.7464	5066.224	109	1
4_MACS_peak_23095_lociStitched	chr5	131789513	131816222	4	20162	51348.0525	6436.869	110	1
3_MACS_peak_19938_lociStitched	chr3	133178615	133201077	3	22202	43630.1888	4892.2236	111	1
4_MACS_peak_9532_lociStitched	chr15	70767233	70800888	4	23083	41429.305	5953.5695	112	1
4_MACS_peak_2255_lociStitched	chr1	192496108	192521251	4	23157	41521.1502	6562.323	113	1
4_MACS_peak_17240_lociStitched	chr20	37498498	37523405	4	17426	55642.238	4719.8765	114	1
7_MACS_peak_21295_lociStitched	chr4	82409568	82442019	7	25226	29893.8612	5308.9836	115	1
1_MACS_peak_11708_lociStitched	chr17	38465499	38484259	1	18761	51263.576	4333.56	116	1
3_MACS_peak_1719_lociStitched	chr1	154370261	154394524	3	19032	52978.2605	7259.4896	117	1
2_MACS_peak_24029_lociStitched	chr6	25402779	25418096	2	15136	57524.5252	3990.0785	118	1
7_MACS_peak_8704_lociStitched	chr14	95946149	95986072	7	24614	28880.2982	3688.8852	119	1
3_MACS_peak_1625_lociStitched	chr1	150531676	150553454	3	18122	54976.3832	7476.3874	120	1
4_MACS_peak_14851_lociStitched	chr2	47522684	47551078	4	19980	48823.483	5968.4188	121	1
1_MACS_peak_16300_lociStitched	chr2	201979862	201995129	1	15268	56486.3733	3943.4661	122	1
6_MACS_peak_12822_lociStitched	chr18	42287503	42314516	6	24718	27234.5066	4743.4828	123	1
1_MACS_peak_21009_lociStitched	chr4	40190958	40209616	1	18659	49759.0202	4851.08	124	1
4_MACS_peak_16230_lociStitched	chr2	197023163	197049381	4	22120	39062.1982	5922.6462	125	1
1_MACS_peak_14426_lociStitched	chr2	11883193	11898720	1	15528	54125.5693	3650.3977	126	1
2_MACS_peak_15029_lociStitched	chr2	65156936	65179366	2	20678	42910.833	5356.284	127	1
2_MACS_peak_7155_lociStitched	chr12	108952690	108973439	2	20104	43475.3797	5286.8452	128	1
1_MACS_peak_5261_lociStitched	chr11	72851230	72869980	1	18751	45590.625	4717.5	129	1
7_MACS_peak_9065_lociStitched	chr15	40329766	40358610	7	22244	32945.6168	4842.9076	130	1
5_MACS_peak_17289_lociStitched	chr20	42564451	42593749	5	21470	35728.911	4787.2932	131	1
3_MACS_peak_4520_lociStitched	chr11	10323558	10345173	3	19503	42058.467	4223.571	132	1
3_MACS_peak_8051_lociStitched	chr13	115023531	115048779	3	19970	40906.8096	4751.6736	133	1
4_MACS_peak_6446_lociStitched	chr12	48195796	48220879	4	20100	40117.7502	4813.4277	134	1
6_MACS_peak_3659_lociStitched	chr10	74006781	74035522	6	20694	38343.3681	5156.1354	135	1
5_MACS_peak_26973_lociStitched	chr7	137683896	137727146	5	22049	37047.95	10085.9	136	1
2_MACS_peak_9588_lociStitched	chr15	75062768	75083671	2	20312	38793.8777	4880.8505	137	1
3_MACS_peak_27577_lociStitched	chr8	37736684	37764317	3	19687	40247.4645	4979.4666	138	1
5_MACS_peak_2177_lociStitched	chr1	183856392	183885950	5	20624	38862.8584	7283.0912	139	1
5_MACS_peak_15548_lociStitched	chr2	112208728	112242294	5	21390	33827.8148	5743.1426	140	1
1_MACS_peak_22770_lociStitched	chr5	88111481	88130925	1	19445	39762.98	4291.2908	141	1
4_MACS_peak_19891_lociStitched	chr3	129025286	129055259	4	18241	44713.7214	6099.5055	142	1
3_MACS_peak_24026_lociStitched	chr6	25365765	25390469	3	20754	34454.6688	4990.208	143	1
2_MACS_peak_17458_lociStitched	chr20	52194810	52216071	2	20531	33949.5648	3741.936	144	1
3_MACS_peak_2853_lociStitched	chr1	234733181	234750411	3	13141	54172.843	5591.135	145	1
5_MACS_peak_16235_lociStitched	chr2	197072941	197108092	5	21706	30345.8583	6495.9048	146	1
4_MACS_peak_19128_lociStitched	chr3	46126993	46153466	4	20623	34070.751	5225.7702	147	1
1_MACS_peak_12603_lociStitched	chr18	9132527	9152655	1	20129	34604.0576	4283.2384	148	1
3_MACS_peak_18457_lociStitched	chr22	39822974	39846335	3	17617	42495.9951	4048.4613	149	1
5_MACS_peak_29456_lociStitched	chr9	126081992	126107182	5	17892	41863.261	4420.845	150	1
7_MACS_peak_25437_lociStitched	chr6	157976502	158007556	7	20997	28852.2714	3061.9244	151	1
2_MACS_peak_10729_lociStitched	chr16	66548866	66562782	2	13828	49444.9396	3257.7356	152	1
3_MACS_peak_2432_lociStitched	chr1	205242161	205259403	3	16466	45644.7466	4927.7636	153	1
5_MACS_peak_5577_lociStitched	chr11	111230375	111251550	5	18221	40168.975	4203.2375	154	1
6_MACS_peak_13441_lociStitched	chr19	10513219	10542991	6	20522	32549.7276	5239.872	155	1
1_MACS_peak_18150_lociStitched	chr22	24178929	24192243	1	13315	50008.7154	3261.93	156	1
3_MACS_peak_20346_lociStitched	chr3	177055431	177080317	3	16674	46509.4454	6669.448	157	1
4_MACS_peak_22082_lociStitched	chr4	187746905	187776043	4	18868	38246.5388	5020.4774	158	1
3_MACS_peak_29315_lociStitched	chr9	112904287	112925481	3	20851	30065.8084	5063.2466	159	1
6_MACS_peak_9510_lociStitched	chr15	70306046	70330799	6	19517	34807.6686	4222.8618	160	1
3_MACS_peak_12353_lociStitched	chr17	75128772	75146058	3	16509	43669.6218	4096.782	161	1
4_MACS_peak_21163_lociStitched	chr4	71526582	71555477	4	20330	32816.0515	5773.221	162	1
5_MACS_peak_10678_lociStitched	chr16	57624629	57658985	5	20440	32136.6024	5668.74	163	1
3_MACS_peak_1518_lociStitched	chr1	145138197	145164497	3	20408	35142.06	9512.71	164	1
3_MACS_peak_10658_lociStitched	chr16	56930720	56955244	3	15901	44346.7492	4291.7	165	1
1_MACS_peak_23879_lociStitched	chr6	11826560	11839882	1	13323	47877.9358	2952.1552	166	1
7_MACS_peak_8857_lociStitched	chr15	21967031	22003899	7	21229	24967.0096	5120.9652	167	1
3_MACS_peak_17297_lociStitched	chr20	42693777	42711985	3	16449	41201.0624	3441.312	168	1
2_MACS_peak_22466_lociStitched	chr5	55436940	55459916	2	18168	37041.9072	4716.9728	169	1
5_MACS_peak_12261_lociStitched	chr17	72733052	72757163	5	20686	26321.9787	4913.8218	170	1
6_MACS_peak_9461_lociStitched	chr15	67366016	67396406	6	20568	27426.975	5427.654	171	1
2_MACS_peak_26024_lociStitched	chr7	44661737	44680443	2	16827	40468.5604	4380.9452	172	1
6_MACS_peak_17478_lociStitched	chr20	52531140	52567124	6	19746	31802.6592	6074.0992	173	1
2_MACS_peak_15564_lociStitched	chr2	112455267	112468668	2	13337	46853.9163	3259.1232	174	1
3_MACS_peak_18940_lociStitched	chr3	30680985	30703947	3	19968	29111.2236	4833.501	175	1
2_MACS_peak_13814_lociStitched	chr19	35693691	35708319	2	14282	44748.5148	3047.0124	176	1
3_MACS_peak_3770_lociStitched	chr10	81000903	81020587	3	18103	34885.9532	3588.3932	177	1
2_MACS_peak_8961_lociStitched	chr15	31546266	31563024	2	14213	45194.6502	3737.034	178	1
3_MACS_peak_22175_lociStitched	chr5	6475837	6497942	3	15880	41347.4025	3802.06	179	1
3_MACS_peak_29079_lociStitched	chr9	93907456	93928008	3	17291	37408.7504	3995.3088	180	1
4_MACS_peak_15489_lociStitched	chr2	109822806	109843492	4	18664	32228.788	4042.0444	181	1
5_MACS_peak_12304_lociStitched	chr17	73850276	73875850	5	15883	41496.3724	4790.0102	182	1
4_MACS_peak_8890_lociStitched	chr15	23657593	23682670	4	18931	30634.0632	3851.8272	183	1
4_MACS_peak_11845_lociStitched	chr17	43504669	43531654	4	19444	29216.6595	4816.8225	184	1
4_MACS_peak_20254_lociStitched	chr3	169647407	169668407	4	18006	35966.7	5842.2	185	1
4_MACS_peak_5378_lociStitched	chr11	82763101	82790488	4	17956	35405.9136	5521.2192	186	1
3_MACS_peak_4058_lociStitched	chr10	104529586	104547259	3	15644	40336.8552	3564.6441	187	1
2_MACS_peak_668_lociStitched	chr1	40838964	40858721	2	16333	39016.1236	4293.1961	188	1
5_MACS_peak_15315_lociStitched	chr2	89044147	89066751	5	16219	38799.766	4089.0636	189	1
1_MACS_peak_26348_lociStitched	chr7	78113704	78128585	1	14882	41744.1812	3662.2141	190	1
2_MACS_peak_4649_lociStitched	chr11	19449920	19466350	2	16274	38339.405	3884.052	191	1
5_MACS_peak_10355_lociStitched	chr16	22194953	22219327	5	17997	33840.8616	5162.4132	192	1
3_MACS_peak_19557_lociStitched	chr3	98477271	98496845	3	18296	31388.8664	4032.244	193	1
2_MACS_peak_22294_lociStitched	chr5	32570953	32591219	2	17447	34134.0238	3998.4818	194	1
4_MACS_peak_18207_lociStitched	chr22	29206845	29225841	4	17204	34394.1576	3616.8384	195	1
2_MACS_peak_21250_lociStitched	chr4	77601723	77625128	2	19268	27224.696	4901.007	196	1
3_MACS_peak_1487_lociStitched	chr1	143442079	143469133	3	17702	37177.6068	8603.172	197	1
2_MACS_peak_6983_lociStitched	chr12	94583094	94603740	2	14767	41426.199	4333.5954	198	1
5_MACS_peak_15309_lociStitched	chr2	88898749	88928707	5	18664	30092.811	5662.062	199	1
4_MACS_peak_9571_lociStitched	chr15	74674093	74696794	4	16490	36239.8764	4176.984	200	1
4_MACS_peak_24045_lociStitched	chr6	26183679	26207378	4	16503	36979.9196	4976.79	201	1
2_MACS_peak_17928_lociStitched	chr21	44579857	44598545	2	15017	40908.032	4918.6816	202	1
3_MACS_peak_5189_lociStitched	chr11	67760278	67782266	3	17275	33412.9648	4188.714	203	1
2_MACS_peak_29424_lociStitched	chr9	123650446	123668498	2	18013	29558.3448	3382.9448	204	1
4_MACS_peak_14999_lociStitched	chr2	64430466	64456468	4	18728	27913.147	5085.9912	205	1
4_MACS_peak_9088_lociStitched	chr15	40833488	40862548	4	17845	32166.514	5858.496	206	1
4_MACS_peak_6773_lociStitched	chr12	68752056	68770975	4	17031	33032.574	3829.2056	207	1
3_MACS_peak_341_lociStitched	chr1	24512186	24533973	3	16469	35754.6457	4780.0678	208	1
4_MACS_peak_5042_lociStitched	chr11	64611324	64634937	4	16591	34052.3073	3858.3642	209	1
2_MACS_peak_24202_lociStitched	chr6	31693453	31709541	2	13502	41832.0176	3621.4088	210	1
3_MACS_peak_1905_lociStitched	chr1	161144152	161163947	3	14672	41446.771	6118.6345	211	1
3_MACS_peak_5234_lociStitched	chr11	71411859	71427999	3	15610	36744.324	3918.792	212	1
1_MACS_peak_2746_lociStitched	chr1	226837910	226852576	1	14667	40211.2388	5030.438	213	1
5_MACS_peak_22283_lociStitched	chr5	32275217	32296723	5	18788	24645.876	4415.1818	214	1
2_MACS_peak_20517_lociStitched	chr3	186703182	186720653	2	14387	41306.6853	5679.8221	215	1
3_MACS_peak_17269_lociStitched	chr20	40709855	40727589	3	15536	35446.7192	2800.1986	216	1
4_MACS_peak_10374_lociStitched	chr16	23342676	23366140	4	15912	36097.0176	4552.016	217	1
1_MACS_peak_1011_lociStitched	chr1	66735755	66751879	1	16125	34166.756	3635.962	218	1
1_MACS_peak_13045_lociStitched	chr18	60820828	60832151	1	11324	44321.6189	2981.3459	219	1
4_MACS_peak_14533_lociStitched	chr2	25622787	25646052	4	15990	35486.1045	4664.6325	220	1
2_MACS_peak_18205_lociStitched	chr22	29185821	29199819	2	13899	39320.382	3136.9518	221	1
1_MACS_peak_22135_lociStitched	chr5	1311055	1320625	1	9571	46328.37	2633.664	222	1
2_MACS_peak_22771_lociStitched	chr5	88171125	88187028	2	15685	34880.0499	3559.0914	223	1
5_MACS_peak_8555_lociStitched	chr14	77487736	77510887	5	18068	25005.3951	2579.0214	224	1
3_MACS_peak_13553_lociStitched	chr19	13943895	13962056	3	14958	36305.6551	3021.9904	225	1
4_MACS_peak_29638_lociStitched	chr9	134126808	134152964	4	17221	29650.4416	4394.208	226	1
2_MACS_peak_18359_lociStitched	chr22	37610713	37628994	2	16070	33220.2332	4027.3043	227	1
1_MACS_peak_10661_lociStitched	chr16	56962974	56976407	1	13434	39456.7509	3296.4582	228	1
5_MACS_peak_1460_lociStitched	chr1	120610653	120636834	5	18449	26725.5648	7760.0484	229	1
2_MACS_peak_17908_lociStitched	chr21	43638581	43658228	2	14073	39301.8588	4945.1499	230	1
2_MACS_peak_9706_lociStitched	chr15	81576247	81596781	2	15694	34417.0374	4747.4608	231	1
3_MACS_peak_23835_lociStitched	chr6	7958162	7978831	3	17102	28002.3612	3749.3566	232	1
3_MACS_peak_23684_lociStitched	chr5	180228395	180249448	3	16029	31819.5042	3713.7492	233	1
3_MACS_peak_6952_lociStitched	chr12	92929187	92951101	3	17182	27732.167	4058.4728	234	1
2_MACS_peak_26126_lociStitched	chr7	55568980	55586205	2	17126	27184.495	3281.3625	235	1
1_MACS_peak_6229_lociStitched	chr12	26265560	26280389	1	14830	35171.4222	3733.9422	236	1
2_MACS_peak_17353_lociStitched	chr20	45172080	45192020	2	16267	30286.866	3385.812	237	1
2_MACS_peak_17576_lociStitched	chr20	61272751	61291159	2	14214	36009.7296	3007.8672	238	1
3_MACS_peak_12237_lociStitched	chr17	70581946	70603503	3	16321	30546.269	3981.5779	239	1
3_MACS_peak_29087_lociStitched	chr9	94180968	94196235	3	14826	34337.0097	3096.1476	240	1
4_MACS_peak_7167_lociStitched	chr12	109161643	109181257	4	16736	28644.2856	3777.6564	241	1
1_MACS_peak_5629_lociStitched	chr11	115088747	115102514	1	13768	37066.2708	3147.1362	242	1
2_MACS_peak_5944_lociStitched	chr12	4216390	4231950	2	9734	44417.576	3278.492	243	1
3_MACS_peak_14085_lociStitched	chr19	47728344	47748741	3	14570	35323.5246	3897.8667	244	1
4_MACS_peak_23815_lociStitched	chr6	7134893	7157600	4	15989	31453.7364	4484.6325	245	1
2_MACS_peak_18167_lociStitched	chr22	24819843	24833416	2	13260	36963.3509	2405.1356	246	1
3_MACS_peak_5863_lociStitched	chr11	130631210	130650751	3	18032	20473.1057	2954.5992	247	1
5_MACS_peak_5979_lociStitched	chr12	6551718	6580829	5	14393	36749.7264	5248.7133	248	1
3_MACS_peak_9802_lociStitched	chr15	89163695	89185544	3	16608	28397.1453	4190.6382	249	1
4_MACS_peak_23638_lociStitched	chr5	176717111	176740747	4	16432	29145.5516	4389.2052	250	1
2_MACS_peak_1785_lociStitched	chr1	155938592	155954584	2	15311	32895.544	4460.1688	251	1
5_MACS_peak_16853_lociStitched	chr20	5570523	5592583	5	17716	22419.578	4025.95	252	1
2_MACS_peak_27112_lociStitched	chr7	150100432	150115065	2	12940	38168.7172	3599.718	253	1
4_MACS_peak_5268_lociStitched	chr11	72976799	73002050	4	17094	25495.9347	4113.3879	254	1
4_MACS_peak_8581_lociStitched	chr14	81930754	81955812	4	17426	22158.7894	2583.4798	255	1
3_MACS_peak_11701_lociStitched	chr17	38251170	38270773	3	16693	27544.1753	4506.7297	256	1
3_MACS_peak_23099_lociStitched	chr5	131822436	131842247	3	15819	30199.8884	4098.8959	257	1
5_MACS_peak_3081_lociStitched	chr10	7510996	7536011	5	17396	23599.151	4372.622	258	1
6_MACS_peak_15073_lociStitched	chr2	68936314	68965877	6	17268	25678.4218	5829.8236	259	1
