#02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_ROSE/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam
#Using cutoff of 14943.2417 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuper
4_MACS_peak_18710_lociStitched	chr3	5222384	5257084	4	26336	62564.1	7529.9	48	1
1_MACS_peak_11596_lociStitched	chr17	34408339	34433323	1	24985	60836.04	6285.9744	49	1
4_MACS_peak_12401_lociStitched	chr17	76711050	76747488	4	27459	62024.7636	7579.104	50	1
2_MACS_peak_27217_lociStitched	chr8	2027008	2051016	2	19702	59090.8904	4873.624	51	1
2_MACS_peak_24029_lociStitched	chr6	25402779	25418096	2	15136	57524.5252	3990.0785	52	1
4_MACS_peak_2415_lociStitched	chr1	204474591	204501114	4	19992	59870.3679	7163.8623	53	1
2_MACS_peak_20290_lociStitched	chr3	171801507	171828416	2	25481	60827.7945	8180.336	54	1
1_MACS_peak_16300_lociStitched	chr2	201979862	201995129	1	15268	56486.3733	3943.4661	55	1
3_MACS_peak_15364_lociStitched	chr2	97187984	97212879	3	22318	57096.6825	4767.3925	56	1
3_MACS_peak_13895_lociStitched	chr19	39880479	39904310	3	19537	56832.1688	4851.9916	57	1
4_MACS_peak_17240_lociStitched	chr20	37498498	37523405	4	17426	55642.238	4719.8765	58	1
4_MACS_peak_12130_lociStitched	chr17	62150029	62187277	4	34270	59224.32	8391.9744	59	1
7_MACS_peak_8963_lociStitched	chr15	31616688	31660725	7	36171	57763.3329	7257.2976	60	1
2_MACS_peak_16487_lociStitched	chr2	219741169	219763549	2	19796	55652.346	5158.59	61	1
1_MACS_peak_14426_lociStitched	chr2	11883193	11898720	1	15528	54125.5693	3650.3977	62	1
1_MACS_peak_24897_lociStitched	chr6	106531146	106555781	1	24636	56116.0665	6033.1115	63	1
1_MACS_peak_5829_lociStitched	chr11	128585312	128609897	1	24586	56004.63	6033.159	64	1
4_MACS_peak_4078_lociStitched	chr10	105244491	105276221	4	24086	56120.851	6253.983	65	1
5_MACS_peak_20150_lociStitched	chr3	156795240	156826012	5	22542	59122.2436	9256.2176	66	1
1_MACS_peak_484_lociStitched	chr1	31213996	31236376	1	22381	54685.53	5136.21	67	1
3_MACS_peak_5078_lociStitched	chr11	65253659	65279033	3	22697	54480.5154	5488.3962	68	1
5_MACS_peak_24898_lociStitched	chr6	106585014	106619048	5	24084	55621.7662	7000.7938	69	1
3_MACS_peak_2853_lociStitched	chr1	234733181	234750411	3	13141	54172.843	5591.135	70	1
5_MACS_peak_28174_lociStitched	chr8	120914282	120950007	5	33997	55480.925	7141.4275	71	1
6_MACS_peak_17875_lociStitched	chr21	41295615	41345237	6	34752	61903.445	13889.1978	72	1
3_MACS_peak_1625_lociStitched	chr1	150531676	150553454	3	18122	54976.3832	7476.3874	73	1
6_MACS_peak_29064_lociStitched	chr9	93670432	93709132	6	31484	54029.07	7093.71	74	1
1_MACS_peak_11708_lociStitched	chr17	38465499	38484259	1	18761	51263.576	4333.56	75	1
4_MACS_peak_2795_lociStitched	chr1	230256057	230287831	4	22080	54241.3954	7387.455	76	1
1_MACS_peak_18150_lociStitched	chr22	24178929	24192243	1	13315	50008.7154	3261.93	77	1
2_MACS_peak_10729_lociStitched	chr16	66548866	66562782	2	13828	49444.9396	3257.7356	78	1
4_MACS_peak_12597_lociStitched	chr18	9054846	9084947	4	20003	51930.2452	6092.4424	79	1
3_MACS_peak_1719_lociStitched	chr1	154370261	154394524	3	19032	52978.2605	7259.4896	80	1
7_MACS_peak_16344_lociStitched	chr2	204536564	204585743	7	33400	56024.7168	10848.8874	81	1
7_MACS_peak_10783_lociStitched	chr16	68269850	68320962	7	31817	54751.1744	9680.6128	82	1
5_MACS_peak_2455_lociStitched	chr1	206271464	206311641	5	26487	55765.676	10807.613	83	1
1_MACS_peak_23879_lociStitched	chr6	11826560	11839882	1	13323	47877.9358	2952.1552	84	1
4_MACS_peak_23095_lociStitched	chr5	131789513	131816222	4	20162	51348.0525	6436.869	85	1
1_MACS_peak_21009_lociStitched	chr4	40190958	40209616	1	18659	49759.0202	4851.08	86	1
3_MACS_peak_9073_lociStitched	chr15	40386770	40409416	3	21029	49483.7746	5163.288	87	1
2_MACS_peak_12601_lociStitched	chr18	9094854	9122781	2	22868	49941.8541	5906.5605	88	1
1_MACS_peak_26129_lociStitched	chr7	55614744	55643077	1	28334	49953.9123	5958.4299	89	1
8_MACS_peak_2480_lociStitched	chr1	206955393	207008829	8	43617	57449.0436	13695.6468	90	1
1_MACS_peak_22135_lociStitched	chr5	1311055	1320625	1	9571	46328.37	2633.664	91	1
2_MACS_peak_4669_lociStitched	chr11	22677058	22703735	2	22398	48448.0997	4823.2016	92	1
2_MACS_peak_15564_lociStitched	chr2	112455267	112468668	2	13337	46853.9163	3259.1232	93	1
8_MACS_peak_23080_lociStitched	chr5	131418258	131453872	8	22623	50108.898	6560.0988	94	1
4_MACS_peak_14851_lociStitched	chr2	47522684	47551078	4	19980	48823.483	5968.4188	95	1
3_MACS_peak_10217_lociStitched	chr16	11762521	11786323	3	21731	48184.7688	5424.4758	96	1
4_MACS_peak_4268_lociStitched	chr10	125821815	125854847	4	26975	49105.3712	6424.724	97	1
4_MACS_peak_17931_lociStitched	chr21	44723491	44750039	4	23361	48293.4668	5681.272	98	1
3_MACS_peak_3109_lociStitched	chr10	11278711	11304978	3	24144	47800.6866	5271.7869	99	1
6_MACS_peak_12881_lociStitched	chr18	46439135	46483078	6	38215	50714.6163	8283.2555	100	1
4_MACS_peak_2466_lociStitched	chr1	206727287	206754836	4	21387	50219.0721	7969.9257	101	1
4_MACS_peak_13601_lociStitched	chr19	16244078	16272611	4	25357	48334.902	6088.9422	102	1
5_MACS_peak_9816_lociStitched	chr15	89646484	89677067	5	23212	47626.9059	5407.0744	103	1
4_MACS_peak_24776_lociStitched	chr6	90054746	90086580	4	22600	48470.4484	6732.891	104	1
2_MACS_peak_13814_lociStitched	chr19	35693691	35708319	2	14282	44748.5148	3047.0124	105	1
2_MACS_peak_8961_lociStitched	chr15	31546266	31563024	2	14213	45194.6502	3737.034	106	1
4_MACS_peak_4155_lociStitched	chr10	112599770	112633180	4	23842	48581.481	7149.74	107	1
1_MACS_peak_13045_lociStitched	chr18	60820828	60832151	1	11324	44321.6189	2981.3459	108	1
2_MACS_peak_5944_lociStitched	chr12	4216390	4231950	2	9734	44417.576	3278.492	109	1
1_MACS_peak_5261_lociStitched	chr11	72851230	72869980	1	18751	45590.625	4717.5	110	1
3_MACS_peak_2432_lociStitched	chr1	205242161	205259403	3	16466	45644.7466	4927.7636	111	1
4_MACS_peak_2143_lociStitched	chr1	181095098	181131507	4	25984	49811.1529	9262.4496	112	1
10_MACS_peak_25256_lociStitched	chr6	138246221	138298230	10	34170	49965.0463	9564.4551	113	1
3_MACS_peak_10658_lociStitched	chr16	56930720	56955244	3	15901	44346.7492	4291.7	114	1
2_MACS_peak_19818_lociStitched	chr3	124487084	124513303	2	24971	44753.2111	4732.5295	115	1
3_MACS_peak_20346_lociStitched	chr3	177055431	177080317	3	16674	46509.4454	6669.448	116	1
3_MACS_peak_12353_lociStitched	chr17	75128772	75146058	3	16509	43669.6218	4096.782	117	1
6_MACS_peak_5866_lociStitched	chr11	130669370	130705984	6	26945	46067.7348	7033.5494	118	1
5_MACS_peak_12405_lociStitched	chr17	76753516	76780464	5	22238	43973.7464	5066.224	119	1
3_MACS_peak_13954_lociStitched	chr19	42027220	42062674	3	26807	46196.562	7296.4332	120	1
3_MACS_peak_7367_lociStitched	chr12	123354995	123387387	3	26380	43259.516	4424.7472	121	1
3_MACS_peak_19938_lociStitched	chr3	133178615	133201077	3	22202	43630.1888	4892.2236	122	1
4_MACS_peak_19891_lociStitched	chr3	129025286	129055259	4	18241	44713.7214	6099.5055	123	1
3_MACS_peak_18457_lociStitched	chr22	39822974	39846335	3	17617	42495.9951	4048.4613	124	1
3_MACS_peak_10221_lociStitched	chr16	11808328	11837999	3	26421	44776.5061	6355.5282	125	1
2_MACS_peak_24202_lociStitched	chr6	31693453	31709541	2	13502	41832.0176	3621.4088	126	1
2_MACS_peak_7155_lociStitched	chr12	108952690	108973439	2	20104	43475.3797	5286.8452	127	1
1_MACS_peak_26348_lociStitched	chr7	78113704	78128585	1	14882	41744.1812	3662.2141	128	1
1_MACS_peak_25824_lociStitched	chr7	26001971	26012229	1	10259	40576.5448	2625.0222	129	1
3_MACS_peak_4520_lociStitched	chr11	10323558	10345173	3	19503	42058.467	4223.571	130	1
3_MACS_peak_17297_lociStitched	chr20	42693777	42711985	3	16449	41201.0624	3441.312	131	1
2_MACS_peak_15029_lociStitched	chr2	65156936	65179366	2	20678	42910.833	5356.284	132	1
3_MACS_peak_22175_lociStitched	chr5	6475837	6497942	3	15880	41347.4025	3802.06	133	1
7_MACS_peak_27451_lociStitched	chr8	27208557	27252431	7	28288	45958.015	8511.556	134	1
5_MACS_peak_29456_lociStitched	chr9	126081992	126107182	5	17892	41863.261	4420.845	135	1
2_MACS_peak_6983_lociStitched	chr12	94583094	94603740	2	14767	41426.199	4333.5954	136	1
2_MACS_peak_20520_lociStitched	chr3	186779824	186793088	2	10004	41436.736	4491.1904	137	1
3_MACS_peak_4058_lociStitched	chr10	104529586	104547259	3	15644	40336.8552	3564.6441	138	1
5_MACS_peak_12304_lociStitched	chr17	73850276	73875850	5	15883	41496.3724	4790.0102	139	1
1_MACS_peak_8036_lociStitched	chr13	114828905	114835137	1	6233	38010.8376	1563.6088	140	1
2_MACS_peak_18205_lociStitched	chr22	29185821	29199819	2	13899	39320.382	3136.9518	141	1
1_MACS_peak_10661_lociStitched	chr16	56962974	56976407	1	13434	39456.7509	3296.4582	142	1
3_MACS_peak_8051_lociStitched	chr13	115023531	115048779	3	19970	40906.8096	4751.6736	143	1
2_MACS_peak_26024_lociStitched	chr7	44661737	44680443	2	16827	40468.5604	4380.9452	144	1
2_MACS_peak_17928_lociStitched	chr21	44579857	44598545	2	15017	40908.032	4918.6816	145	1
5_MACS_peak_5577_lociStitched	chr11	111230375	111251550	5	18221	40168.975	4203.2375	146	1
1_MACS_peak_23191_lociStitched	chr5	138719392	138730644	1	11253	38538.1	2780.3692	147	1
2_MACS_peak_20517_lociStitched	chr3	186703182	186720653	2	14387	41306.6853	5679.8221	148	1
1_MACS_peak_17902_lociStitched	chr21	43478857	43486613	1	7757	38325.4984	2763.4628	149	1
4_MACS_peak_9532_lociStitched	chr15	70767233	70800888	4	23083	41429.305	5953.5695	150	1
1_MACS_peak_22770_lociStitched	chr5	88111481	88130925	1	19445	39762.98	4291.2908	151	1
3_MACS_peak_1905_lociStitched	chr1	161144152	161163947	3	14672	41446.771	6118.6345	152	1
4_MACS_peak_6446_lociStitched	chr12	48195796	48220879	4	20100	40117.7502	4813.4277	153	1
3_MACS_peak_27577_lociStitched	chr8	37736684	37764317	3	19687	40247.4645	4979.4666	154	1
1_MACS_peak_2746_lociStitched	chr1	226837910	226852576	1	14667	40211.2388	5030.438	155	1
5_MACS_peak_9968_lociStitched	chr15	101660719	101692450	5	23835	40771.1619	5730.6186	156	1
6_MACS_peak_19149_lociStitched	chr3	46419751	46459949	6	27495	42043.0882	7038.6698	157	1
4_MACS_peak_2255_lociStitched	chr1	192496108	192521251	4	23157	41521.1502	6562.323	158	1
4_MACS_peak_245_lociStitched	chr1	17221240	17245160	4	12243	42168.568	7429.552	159	1
2_MACS_peak_668_lociStitched	chr1	40838964	40858721	2	16333	39016.1236	4293.1961	160	1
5_MACS_peak_15315_lociStitched	chr2	89044147	89066751	5	16219	38799.766	4089.0636	161	1
1_MACS_peak_17524_lociStitched	chr20	56046482	56058689	1	12208	37426.662	2735.5887	162	1
7_MACS_peak_9394_lociStitched	chr15	63758579	63798586	7	23635	41871.3262	7197.2593	163	1
4_MACS_peak_22019_lociStitched	chr4	185317358	185350379	4	25057	41523.9075	6941.0142	164	1
2_MACS_peak_27112_lociStitched	chr7	150100432	150115065	2	12940	38168.7172	3599.718	165	1
2_MACS_peak_18167_lociStitched	chr22	24819843	24833416	2	13260	36963.3509	2405.1356	166	1
2_MACS_peak_4649_lociStitched	chr11	19449920	19466350	2	16274	38339.405	3884.052	167	1
2_MACS_peak_17908_lociStitched	chr21	43638581	43658228	2	14073	39301.8588	4945.1499	168	1
1_MACS_peak_26607_lociStitched	chr7	104650536	104658813	1	8278	36345.9624	2220.7191	169	1
1_MACS_peak_9846_lociStitched	chr15	90637038	90646787	1	9750	36748.8555	2634.1798	170	1
1_MACS_peak_5629_lociStitched	chr11	115088747	115102514	1	13768	37066.2708	3147.1362	171	1
1_MACS_peak_4143_lociStitched	chr10	112214481	112226596	1	12116	36617.5875	2700.4335	172	1
2_MACS_peak_9588_lociStitched	chr15	75062768	75083671	2	20312	38793.8777	4880.8505	173	1
1_MACS_peak_26128_lociStitched	chr7	55595770	55606103	1	10334	36542.6545	2631.8151	174	1
3_MACS_peak_29079_lociStitched	chr9	93907456	93928008	3	17291	37408.7504	3995.3088	175	1
1_MACS_peak_16311_lociStitched	chr2	202116014	202128718	1	12705	36441.424	3148.0512	176	1
3_MACS_peak_13553_lociStitched	chr19	13943895	13962056	3	14958	36305.6551	3021.9904	177	1
4_MACS_peak_22082_lociStitched	chr4	187746905	187776043	4	18868	38246.5388	5020.4774	178	1
1_MACS_peak_24239_lociStitched	chr6	32934589	32942069	1	7481	35273.436	2066.724	179	1
6_MACS_peak_3659_lociStitched	chr10	74006781	74035522	6	20694	38343.3681	5156.1354	180	1
4_MACS_peak_16230_lociStitched	chr2	197023163	197049381	4	22120	39062.1982	5922.6462	181	1
6_MACS_peak_19136_lociStitched	chr3	46317710	46347536	6	28812	38922.93	5833.9656	182	1
2_MACS_peak_17576_lociStitched	chr20	61272751	61291159	2	14214	36009.7296	3007.8672	183	1
1_MACS_peak_11840_lociStitched	chr17	43298148	43309070	1	10923	35061.8044	2222.627	184	1
3_MACS_peak_5234_lociStitched	chr11	71411859	71427999	3	15610	36744.324	3918.792	185	1
3_MACS_peak_19133_lociStitched	chr3	46245642	46264368	3	12899	37144.8936	4421.2086	186	1
3_MACS_peak_17269_lociStitched	chr20	40709855	40727589	3	15536	35446.7192	2800.1986	187	1
1_MACS_peak_14775_lociStitched	chr2	43444081	43456851	1	12771	35527.417	3031.598	188	1
6_MACS_peak_28239_lociStitched	chr8	126284249	126322774	6	27066	39757.8	7404.505	189	1
2_MACS_peak_22466_lociStitched	chr5	55436940	55459916	2	18168	37041.9072	4716.9728	190	1
1_MACS_peak_5952_lociStitched	chr12	4377341	4388377	1	11037	34736.9136	2441.1632	191	1
3_MACS_peak_9488_lociStitched	chr15	68568757	68599547	3	25823	38207.311	5982.497	192	1
2_MACS_peak_22009_lociStitched	chr4	185200570	185210946	2	10296	35056.3536	2979.9872	193	1
4_MACS_peak_9571_lociStitched	chr15	74674093	74696794	4	16490	36239.8764	4176.984	194	1
4_MACS_peak_24045_lociStitched	chr6	26183679	26207378	4	16503	36979.9196	4976.79	195	1
5_MACS_peak_2177_lociStitched	chr1	183856392	183885950	5	20624	38862.8584	7283.0912	196	1
4_MACS_peak_10374_lociStitched	chr16	23342676	23366140	4	15912	36097.0176	4552.016	197	1
5_MACS_peak_5979_lociStitched	chr12	6551718	6580829	5	14393	36749.7264	5248.7133	198	1
1_MACS_peak_11656_lociStitched	chr17	36855992	36863609	1	7618	33200.9796	1732.1058	199	1
3_MACS_peak_13243_lociStitched	chr19	2254649	2271878	3	12906	35705.3796	4236.6111	200	1
1_MACS_peak_6229_lociStitched	chr12	26265560	26280389	1	14830	35171.4222	3733.9422	201	1
3_MACS_peak_14085_lociStitched	chr19	47728344	47748741	3	14570	35323.5246	3897.8667	202	1
10_MACS_peak_18441_lociStitched	chr22	39630931	39674589	10	26010	37842.7544	6435.1892	203	1
2_MACS_peak_22771_lociStitched	chr5	88171125	88187028	2	15685	34880.0499	3559.0914	204	1
3_MACS_peak_3770_lociStitched	chr10	81000903	81020587	3	18103	34885.9532	3588.3932	205	1
2_MACS_peak_15103_lociStitched	chr2	70310190	70323284	2	9100	34193.6716	2917.3432	206	1
3_MACS_peak_29087_lociStitched	chr9	94180968	94196235	3	14826	34337.0097	3096.1476	207	1
3_MACS_peak_341_lociStitched	chr1	24512186	24533973	3	16469	35754.6457	4780.0678	208	1
5_MACS_peak_17289_lociStitched	chr20	42564451	42593749	5	21470	35728.911	4787.2932	209	1
4_MACS_peak_14533_lociStitched	chr2	25622787	25646052	4	15990	35486.1045	4664.6325	210	1
4_MACS_peak_18207_lociStitched	chr22	29206845	29225841	4	17204	34394.1576	3616.8384	211	1
2_MACS_peak_6571_lociStitched	chr12	53845963	53874826	2	28710	36627.147	6000.6177	212	1
1_MACS_peak_8029_lociStitched	chr13	114556133	114568181	1	12049	33536.8128	2932.4832	213	1
6_MACS_peak_9510_lociStitched	chr15	70306046	70330799	6	19517	34807.6686	4222.8618	214	1
1_MACS_peak_1011_lociStitched	chr1	66735755	66751879	1	16125	34166.756	3635.962	215	1
1_MACS_peak_12603_lociStitched	chr18	9132527	9152655	1	20129	34604.0576	4283.2384	216	1
2_MACS_peak_17458_lociStitched	chr20	52194810	52216071	2	20531	33949.5648	3741.936	217	1
4_MACS_peak_5042_lociStitched	chr11	64611324	64634937	4	16591	34052.3073	3858.3642	218	1
2_MACS_peak_22294_lociStitched	chr5	32570953	32591219	2	17447	34134.0238	3998.4818	219	1
4_MACS_peak_20254_lociStitched	chr3	169647407	169668407	4	18006	35966.7	5842.2	220	1
2_MACS_peak_5790_lociStitched	chr11	126056248	126069289	2	12435	33019.812	2900.3184	221	1
3_MACS_peak_11187_lociStitched	chr17	6059912	6074585	3	12268	32569.6581	2522.2887	222	1
4_MACS_peak_5378_lociStitched	chr11	82763101	82790488	4	17956	35405.9136	5521.2192	223	1
4_MACS_peak_13199_lociStitched	chr19	1258449	1277628	4	12136	34646.8635	4850.3691	224	1
2_MACS_peak_15251_lociStitched	chr2	86220042	86231906	2	11841	32513.292	2722.788	225	1
2_MACS_peak_311_lociStitched	chr1	23850080	23866808	2	12314	33256.9368	3494.4792	226	1
2_MACS_peak_9706_lociStitched	chr15	81576247	81596781	2	15694	34417.0374	4747.4608	227	1
1_MACS_peak_22018_lociStitched	chr4	185300537	185308487	1	7951	31892.22	2240.31	228	1
1_MACS_peak_16118_lociStitched	chr2	182168391	182180058	1	11668	32832.1047	3286.5939	229	1
3_MACS_peak_24026_lociStitched	chr6	25365765	25390469	3	20754	34454.6688	4990.208	230	1
1_MACS_peak_1529_lociStitched	chr1	145448130	145457884	1	9755	33177.2556	3793.3306	231	1
3_MACS_peak_5189_lociStitched	chr11	67760278	67782266	3	17275	33412.9648	4188.714	232	1
4_MACS_peak_6773_lociStitched	chr12	68752056	68770975	4	17031	33032.574	3829.2056	233	1
2_MACS_peak_18359_lociStitched	chr22	37610713	37628994	2	16070	33220.2332	4027.3043	234	1
4_MACS_peak_3428_lociStitched	chr10	45913602	45932248	4	14069	31972.2962	3119.4758	235	1
4_MACS_peak_19128_lociStitched	chr3	46126993	46153466	4	20623	34070.751	5225.7702	236	1
1_MACS_peak_14756_lociStitched	chr2	42323314	42335338	1	12025	31590.6552	2784.7584	237	1
2_MACS_peak_27544_lociStitched	chr8	33409840	33425686	2	12696	31959.7974	3154.9386	238	1
2_MACS_peak_18190_lociStitched	chr22	27000022	27015779	2	13874	31799.2017	3015.8898	239	1
1_MACS_peak_11682_lociStitched	chr17	37909146	37916332	1	7187	30569.244	1877.7018	240	1
5_MACS_peak_10355_lociStitched	chr16	22194953	22219327	5	17997	33840.8616	5162.4132	241	1
3_MACS_peak_1487_lociStitched	chr1	143442079	143469133	3	17702	37177.6068	8603.172	242	1
2_MACS_peak_1785_lociStitched	chr1	155938592	155954584	2	15311	32895.544	4460.1688	243	1
2_MACS_peak_27512_lociStitched	chr8	29622007	29635546	2	8787	31112.622	2737.5858	244	1
2_MACS_peak_4415_lociStitched	chr11	2791750	2805218	2	12285	31142.0564	2794.61	245	1
3_MACS_peak_3668_lociStitched	chr10	74077794	74097426	3	12944	31517.2128	3196.0896	246	1
4_MACS_peak_15489_lociStitched	chr2	109822806	109843492	4	18664	32228.788	4042.0444	247	1
3_MACS_peak_23684_lociStitched	chr5	180228395	180249448	3	16029	31819.5042	3713.7492	248	1
7_MACS_peak_9065_lociStitched	chr15	40329766	40358610	7	22244	32945.6168	4842.9076	249	1
1_MACS_peak_18134_lociStitched	chr22	23477828	23489009	1	11182	30654.9477	2554.8585	250	1
3_MACS_peak_4980_lociStitched	chr11	62308047	62325931	3	14764	31579.5672	3489.1684	251	1
5_MACS_peak_15548_lociStitched	chr2	112208728	112242294	5	21390	33827.8148	5743.1426	252	1
1_MACS_peak_17312_lociStitched	chr20	43270057	43282299	1	12243	30875.5482	3060.5	253	1
2_MACS_peak_24062_lociStitched	chr6	26353896	26367964	2	14019	30568.3572	2923.3304	254	1
2_MACS_peak_30145_lociStitched	chrX	48790332	48805600	2	14615	29468.7668	1885.598	255	1
1_MACS_peak_20361_lociStitched	chr3	178228049	178241630	1	13582	31543.2306	4026.7665	256	1
2_MACS_peak_1730_lociStitched	chr1	154753564	154766392	2	12824	31197.696	3818.8956	257	1
3_MACS_peak_19557_lociStitched	chr3	98477271	98496845	3	18296	31388.8664	4032.244	258	1
6_MACS_peak_13441_lociStitched	chr19	10513219	10542991	6	20522	32549.7276	5239.872	259	1
