REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_23095_lociStitched	chr5	131789513	131816222	4	20162	51348.0525	6436.869	85	C5orf56	IRF1	IRF1	85	1
1_MACS_peak_21009_lociStitched	chr4	40190958	40209616	1	18659	49759.0202	4851.08	86	RHOH		RHOH	86	1
3_MACS_peak_9073_lociStitched	chr15	40386770	40409416	3	21029	49483.7746	5163.288	87	BMF	BUB1B	BMF	87	1
2_MACS_peak_12601_lociStitched	chr18	9094854	9122781	2	22868	49941.8541	5906.5605	88	NDUFV2	ANKRD12	NDUFV2	88	1
1_MACS_peak_26129_lociStitched	chr7	55614744	55643077	1	28334	49953.9123	5958.4299	89	VOPP1		VOPP1	89	1
8_MACS_peak_2480_lociStitched	chr1	206955393	207008829	8	43617	57449.0436	13695.6468	90	IL19	IL20,IL10	IL19	90	1
1_MACS_peak_22135_lociStitched	chr5	1311055	1320625	1	9571	46328.37	2633.664	91	CLPTM1L	TERT	TERT	91	1
2_MACS_peak_4669_lociStitched	chr11	22677058	22703735	2	22398	48448.0997	4823.2016	92	GAS2	FANCF	GAS2	92	1
2_MACS_peak_15564_lociStitched	chr2	112455267	112468668	2	13337	46853.9163	3259.1232	93			ANAPC1	93	1
8_MACS_peak_23080_lociStitched	chr5	131418258	131453872	8	22623	50108.898	6560.0988	94		IL3,CSF2	CSF2	94	1
4_MACS_peak_14851_lociStitched	chr2	47522684	47551078	4	19980	48823.483	5968.4188	95		EPCAM	EPCAM	95	1
3_MACS_peak_10217_lociStitched	chr16	11762521	11786323	3	21731	48184.7688	5424.4758	96	SNN,TXNDC11		SNN	96	1
4_MACS_peak_4268_lociStitched	chr10	125821815	125854847	4	26975	49105.3712	6424.724	97	CHST15		CHST15	97	1
4_MACS_peak_17931_lociStitched	chr21	44723491	44750039	4	23361	48293.4668	5681.272	98			SIK1	98	1
3_MACS_peak_3109_lociStitched	chr10	11278711	11304978	3	24144	47800.6866	5271.7869	99	CELF2		CELF2	99	1
6_MACS_peak_12881_lociStitched	chr18	46439135	46483078	6	38215	50714.6163	8283.2555	100	SMAD7		SMAD7	100	1
4_MACS_peak_2466_lociStitched	chr1	206727287	206754836	4	21387	50219.0721	7969.9257	101	RASSF5	LGTN	RASSF5	101	1
4_MACS_peak_13601_lociStitched	chr19	16244078	16272611	4	25357	48334.902	6088.9422	102	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	102	1
5_MACS_peak_9816_lociStitched	chr15	89646484	89677067	5	23212	47626.9059	5407.0744	103	ABHD2		ABHD2	103	1
4_MACS_peak_24776_lociStitched	chr6	90054746	90086580	4	22600	48470.4484	6732.891	104	UBE2J1,RRAGD	GABRR2	UBE2J1	104	1
2_MACS_peak_13814_lociStitched	chr19	35693691	35708319	2	14282	44748.5148	3047.0124	105		FXYD5,LSR,FAM187B	FAM187B	105	1
2_MACS_peak_8961_lociStitched	chr15	31546266	31563024	2	14213	45194.6502	3737.034	106			KLF13	106	1
4_MACS_peak_4155_lociStitched	chr10	112599770	112633180	4	23842	48581.481	7149.74	107	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	107	1
1_MACS_peak_13045_lociStitched	chr18	60820828	60832151	1	11324	44321.6189	2981.3459	108	BCL2		BCL2	108	1
2_MACS_peak_5944_lociStitched	chr12	4216390	4231950	2	9734	44417.576	3278.492	109			CCND2	109	1
1_MACS_peak_5261_lociStitched	chr11	72851230	72869980	1	18751	45590.625	4717.5	110	FCHSD2		FCHSD2	110	1
3_MACS_peak_2432_lociStitched	chr1	205242161	205259403	3	16466	45644.7466	4927.7636	111	TMCC2	NUAK2	NUAK2	111	1
4_MACS_peak_2143_lociStitched	chr1	181095098	181131507	4	25984	49811.1529	9262.4496	112		IER5	IER5	112	1
10_MACS_peak_25256_lociStitched	chr6	138246221	138298230	10	34170	49965.0463	9564.4551	113			TNFAIP3	113	1
3_MACS_peak_10658_lociStitched	chr16	56930720	56955244	3	15901	44346.7492	4291.7	114	SLC12A3	MIR138-2,HERPUD1,CETP	HERPUD1	114	1
2_MACS_peak_19818_lociStitched	chr3	124487084	124513303	2	24971	44753.2111	4732.5295	115	ITGB5	UMPS	UMPS	115	1
3_MACS_peak_20346_lociStitched	chr3	177055431	177080317	3	16674	46509.4454	6669.448	116			TBL1XR1	116	1
3_MACS_peak_12353_lociStitched	chr17	75128772	75146058	3	16509	43669.6218	4096.782	117	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	117	1
6_MACS_peak_5866_lociStitched	chr11	130669370	130705984	6	26945	46067.7348	7033.5494	118			SNX19	118	1
5_MACS_peak_12405_lociStitched	chr17	76753516	76780464	5	22238	43973.7464	5066.224	119	CYTH1		CYTH1	119	1
3_MACS_peak_13954_lociStitched	chr19	42027220	42062674	3	26807	46196.562	7296.4332	120		CEACAM21	CEACAM21	120	1
3_MACS_peak_7367_lociStitched	chr12	123354995	123387387	3	26380	43259.516	4424.7472	121	VPS37B	HIP1R	VPS37B	121	1
3_MACS_peak_19938_lociStitched	chr3	133178615	133201077	3	22202	43630.1888	4892.2236	122	BFSP2		BFSP2	122	1
4_MACS_peak_19891_lociStitched	chr3	129025286	129055259	4	18241	44713.7214	6099.5055	123	C3orf47,H1FX	C3orf37	H1FX	123	1
3_MACS_peak_18457_lociStitched	chr22	39822974	39846335	3	17617	42495.9951	4048.4613	124	TAB1	MGAT3	MGAT3	124	1
3_MACS_peak_10221_lociStitched	chr16	11808328	11837999	3	26421	44776.5061	6355.5282	125	TXNDC11	SNN	TXNDC11	125	1
2_MACS_peak_24202_lociStitched	chr6	31693453	31709541	2	13502	41832.0176	3621.4088	126	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	126	1
2_MACS_peak_7155_lociStitched	chr12	108952690	108973439	2	20104	43475.3797	5286.8452	127	ISCU,SART3	FICD,TMEM119	ISCU	127	1
1_MACS_peak_26348_lociStitched	chr7	78113704	78128585	1	14882	41744.1812	3662.2141	128	MAGI2		RPL13AP17	128	1
1_MACS_peak_25824_lociStitched	chr7	26001971	26012229	1	10259	40576.5448	2625.0222	129		MIR148A	MIR148A	129	1
3_MACS_peak_4520_lociStitched	chr11	10323558	10345173	3	19503	42058.467	4223.571	130	ADM	SBF2	ADM	130	1
3_MACS_peak_17297_lociStitched	chr20	42693777	42711985	3	16449	41201.0624	3441.312	131	TOX2		JPH2	131	1
2_MACS_peak_15029_lociStitched	chr2	65156936	65179366	2	20678	42910.833	5356.284	132	LOC400958	SLC1A4	LOC400958	132	1
3_MACS_peak_22175_lociStitched	chr5	6475837	6497942	3	15880	41347.4025	3802.06	133	UBE2QL1		UBE2QL1	133	1
7_MACS_peak_27451_lociStitched	chr8	27208557	27252431	7	28288	45958.015	8511.556	134	PTK2B	TRIM35	PTK2B	134	1
5_MACS_peak_29456_lociStitched	chr9	126081992	126107182	5	17892	41863.261	4420.845	135		CRB2	CRB2	135	1
2_MACS_peak_6983_lociStitched	chr12	94583094	94603740	2	14767	41426.199	4333.5954	136	PLXNC1		PLXNC1	136	1
2_MACS_peak_20520_lociStitched	chr3	186779824	186793088	2	10004	41436.736	4491.1904	137	ST6GAL1		ST6GAL1	137	1
3_MACS_peak_4058_lociStitched	chr10	104529586	104547259	3	15644	40336.8552	3564.6441	138	C10orf26		C10orf26	138	1
5_MACS_peak_12304_lociStitched	chr17	73850276	73875850	5	15883	41496.3724	4790.0102	139	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	139	1
1_MACS_peak_8036_lociStitched	chr13	114828905	114835137	1	6233	38010.8376	1563.6088	140	RASA3		RASA3	140	1
2_MACS_peak_18205_lociStitched	chr22	29185821	29199819	2	13899	39320.382	3136.9518	141	XBP1	HSCB,CCDC117,CHEK2	XBP1	141	1
1_MACS_peak_10661_lociStitched	chr16	56962974	56976407	1	13434	39456.7509	3296.4582	142	HERPUD1	CETP,NLRC5	HERPUD1	142	1
3_MACS_peak_8051_lociStitched	chr13	115023531	115048779	3	19970	40906.8096	4751.6736	143	CDC16,UPF3A	ZNF828	UPF3A	143	1
2_MACS_peak_26024_lociStitched	chr7	44661737	44680443	2	16827	40468.5604	4380.9452	144	OGDH	DDX56,TMED4	OGDH	144	1
2_MACS_peak_17928_lociStitched	chr21	44579857	44598545	2	15017	40908.032	4918.6816	145	CRYAA		CRYAA	145	1
5_MACS_peak_5577_lociStitched	chr11	111230375	111251550	5	18221	40168.975	4203.2375	146	POU2AF1		POU2AF1	146	1
1_MACS_peak_23191_lociStitched	chr5	138719392	138730644	1	11253	38538.1	2780.3692	147	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	147	1
2_MACS_peak_20517_lociStitched	chr3	186703182	186720653	2	14387	41306.6853	5679.8221	148	ST6GAL1	ST6GAL1	ST6GAL1	148	1
1_MACS_peak_17902_lociStitched	chr21	43478857	43486613	1	7757	38325.4984	2763.4628	149	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	149	1
4_MACS_peak_9532_lociStitched	chr15	70767233	70800888	4	23083	41429.305	5953.5695	150			UACA	150	1
1_MACS_peak_22770_lociStitched	chr5	88111481	88130925	1	19445	39762.98	4291.2908	151	MEF2C		MEF2C	151	1
3_MACS_peak_1905_lociStitched	chr1	161144152	161163947	3	14672	41446.771	6118.6345	152	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	152	1
4_MACS_peak_6446_lociStitched	chr12	48195796	48220879	4	20100	40117.7502	4813.4277	153	HDAC7	SLC48A1,RAPGEF3	HDAC7	153	1
3_MACS_peak_27577_lociStitched	chr8	37736684	37764317	3	19687	40247.4645	4979.4666	154	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	154	1
1_MACS_peak_2746_lociStitched	chr1	226837910	226852576	1	14667	40211.2388	5030.438	155	ITPKB		ITPKB	155	1
5_MACS_peak_9968_lociStitched	chr15	101660719	101692450	5	23835	40771.1619	5730.6186	156			CHSY1	156	1
6_MACS_peak_19149_lociStitched	chr3	46419751	46459949	6	27495	42043.0882	7038.6698	157	CCRL2	CCR2,CCR5,LTF	CCRL2	157	1
4_MACS_peak_2255_lociStitched	chr1	192496108	192521251	4	23157	41521.1502	6562.323	158		RGS1	RGS1	158	1
4_MACS_peak_245_lociStitched	chr1	17221240	17245160	4	12243	42168.568	7429.552	159		CROCC	CROCC	159	1
2_MACS_peak_668_lociStitched	chr1	40838964	40858721	2	16333	39016.1236	4293.1961	160	SMAP2	SMAP2	SMAP2	160	1
5_MACS_peak_15315_lociStitched	chr2	89044147	89066751	5	16219	38799.766	4089.0636	161	RPIA,ANKRD36BP2		ANKRD36BP2	161	1
1_MACS_peak_17524_lociStitched	chr20	56046482	56058689	1	12208	37426.662	2735.5887	162		CTCFL	CTCFL	162	1
7_MACS_peak_9394_lociStitched	chr15	63758579	63798586	7	23635	41871.3262	7197.2593	163	USP3		USP3	163	1
4_MACS_peak_22019_lociStitched	chr4	185317358	185350379	4	25057	41523.9075	6941.0142	164	IRF2		IRF2	164	1
2_MACS_peak_27112_lociStitched	chr7	150100432	150115065	2	12940	38168.7172	3599.718	165	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	165	1
2_MACS_peak_18167_lociStitched	chr22	24819843	24833416	2	13260	36963.3509	2405.1356	166	ADORA2A,C22orf45		ADORA2A	166	1
2_MACS_peak_4649_lociStitched	chr11	19449920	19466350	2	16274	38339.405	3884.052	167	NAV2		NAV2	167	1
2_MACS_peak_17908_lociStitched	chr21	43638581	43658228	2	14073	39301.8588	4945.1499	168	ABCG1		ABCG1	168	1
1_MACS_peak_26607_lociStitched	chr7	104650536	104658813	1	8278	36345.9624	2220.7191	169	MLL5,LOC100216545		MLL5	169	1
1_MACS_peak_9846_lociStitched	chr15	90637038	90646787	1	9750	36748.8555	2634.1798	170	IDH2		IDH2	170	1
1_MACS_peak_5629_lociStitched	chr11	115088747	115102514	1	13768	37066.2708	3147.1362	171	CADM1		CADM1	171	1
1_MACS_peak_4143_lociStitched	chr10	112214481	112226596	1	12116	36617.5875	2700.4335	172		DUSP5	DUSP5	172	1
2_MACS_peak_9588_lociStitched	chr15	75062768	75083671	2	20312	38793.8777	4880.8505	173	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	173	1
1_MACS_peak_26128_lociStitched	chr7	55595770	55606103	1	10334	36542.6545	2631.8151	174	VOPP1		VOPP1	174	1
3_MACS_peak_29079_lociStitched	chr9	93907456	93928008	3	17291	37408.7504	3995.3088	175			LOC100129316	175	1
1_MACS_peak_16311_lociStitched	chr2	202116014	202128718	1	12705	36441.424	3148.0512	176	CASP8		CASP8	176	1
3_MACS_peak_13553_lociStitched	chr19	13943895	13962056	3	14958	36305.6551	3021.9904	177	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	177	1
4_MACS_peak_22082_lociStitched	chr4	187746905	187776043	4	18868	38246.5388	5020.4774	178			FAT1	178	1
1_MACS_peak_24239_lociStitched	chr6	32934589	32942069	1	7481	35273.436	2066.724	179	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	179	1
6_MACS_peak_3659_lociStitched	chr10	74006781	74035522	6	20694	38343.3681	5156.1354	180	DDIT4	ANAPC16,ASCC1	DDIT4	180	1
4_MACS_peak_16230_lociStitched	chr2	197023163	197049381	4	22120	39062.1982	5922.6462	181	STK17B		STK17B	181	1
6_MACS_peak_19136_lociStitched	chr3	46317710	46347536	6	28812	38922.93	5833.9656	182		CCR3,CCR2	CCR3	182	1
2_MACS_peak_17576_lociStitched	chr20	61272751	61291159	2	14214	36009.7296	3007.8672	183	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	183	1
1_MACS_peak_11840_lociStitched	chr17	43298148	43309070	1	10923	35061.8044	2222.627	184	FMNL1	LOC100133991,C17orf46	FMNL1	184	1
3_MACS_peak_5234_lociStitched	chr11	71411859	71427999	3	15610	36744.324	3918.792	185			FAM86C	185	1
3_MACS_peak_19133_lociStitched	chr3	46245642	46264368	3	12899	37144.8936	4421.2086	186	CCR1	CCR3	CCR1	186	1
3_MACS_peak_17269_lociStitched	chr20	40709855	40727589	3	15536	35446.7192	2800.1986	187	PTPRT		CHD6	187	1
1_MACS_peak_14775_lociStitched	chr2	43444081	43456851	1	12771	35527.417	3031.598	188	LOC100129726,ZFP36L2		ZFP36L2	188	1
6_MACS_peak_28239_lociStitched	chr8	126284249	126322774	6	27066	39757.8	7404.505	189	NSMCE2		TRIB1	189	1
