GENE_ID	locusLine	bin_1_33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam
1_MACS_peak_52_lociStitched	chr1(.):11986486-11987164	0.7639
1_MACS_peak_53_lociStitched	chr1(.):12107137-12108141	0.7065
1_MACS_peak_54_lociStitched	chr1(.):12221622-12222823	0.9195
1_MACS_peak_55_lociStitched	chr1(.):12270308-12271358	1.2196
1_MACS_peak_56_lociStitched	chr1(.):12494033-12494860	0.7069
1_MACS_peak_57_lociStitched	chr1(.):12897062-12897898	1.0789
1_MACS_peak_58_lociStitched	chr1(.):14247456-14248403	1.0018
1_MACS_peak_59_lociStitched	chr1(.):14294011-14294728	0.5316
1_MACS_peak_60_lociStitched	chr1(.):14336951-14338436	1.1345
2_MACS_peak_61_lociStitched	chr1(.):14363550-14367273	0.7584
1_MACS_peak_63_lociStitched	chr1(.):14507301-14508267	1.1029
1_MACS_peak_64_lociStitched	chr1(.):14695871-14696647	0.9641
1_MACS_peak_65_lociStitched	chr1(.):15162729-15164027	1.0322
1_MACS_peak_66_lociStitched	chr1(.):15575321-15576202	1.176
1_MACS_peak_67_lociStitched	chr1(.):15897758-15899018	1.0772
1_MACS_peak_68_lociStitched	chr1(.):15910985-15911782	0.6659
1_MACS_peak_69_lociStitched	chr1(.):16160434-16163226	0.6624
1_MACS_peak_70_lociStitched	chr1(.):16693445-16694673	0.7361
1_MACS_peak_71_lociStitched	chr1(.):16766734-16767673	0.7151
1_MACS_peak_73_lociStitched	chr1(.):16991559-16994856	1.5491
1_MACS_peak_74_lociStitched	chr1(.):17065568-17068857	1.6672
1_MACS_peak_75_lociStitched	chr1(.):17221245-17224586	1.5605
1_MACS_peak_76_lociStitched	chr1(.):17229228-17232470	1.0659
1_MACS_peak_77_lociStitched	chr1(.):19278192-19279206	0.8377
1_MACS_peak_78_lociStitched	chr1(.):19577820-19578811	0.6352
1_MACS_peak_79_lociStitched	chr1(.):19922687-19924211	0.9142
1_MACS_peak_80_lociStitched	chr1(.):20085358-20086093	1.0174
1_MACS_peak_81_lociStitched	chr1(.):20116874-20117717	0.7049
1_MACS_peak_82_lociStitched	chr1(.):20142015-20142820	1.0487
1_MACS_peak_83_lociStitched	chr1(.):20838380-20839095	0.7393
1_MACS_peak_84_lociStitched	chr1(.):20984975-20985654	0.7698
1_MACS_peak_85_lociStitched	chr1(.):21004965-21005833	0.9506
1_MACS_peak_86_lociStitched	chr1(.):21291178-21291885	0.8437
1_MACS_peak_87_lociStitched	chr1(.):21348581-21349519	1.2454
2_MACS_peak_88_lociStitched	chr1(.):21616931-21622193	0.9111
1_MACS_peak_90_lociStitched	chr1(.):22026557-22027237	0.6115
1_MACS_peak_91_lociStitched	chr1(.):22108526-22110551	0.8606
1_MACS_peak_92_lociStitched	chr1(.):22117501-22118989	1.3531
1_MACS_peak_93_lociStitched	chr1(.):22191895-22193351	1.5908
1_MACS_peak_94_lociStitched	chr1(.):22777879-22778727	0.6764
1_MACS_peak_95_lociStitched	chr1(.):22834544-22835413	0.6577
1_MACS_peak_96_lociStitched	chr1(.):23851085-23852998	1.2952
1_MACS_peak_97_lociStitched	chr1(.):23938095-23939073	1.0458
1_MACS_peak_98_lociStitched	chr1(.):23945869-23946838	0.7674
1_MACS_peak_99_lociStitched	chr1(.):24285398-24286205	0.5979
1_MACS_peak_100_lociStitched	chr1(.):24515121-24518277	1.064
1_MACS_peak_101_lociStitched	chr1(.):24529573-24530991	0.8913
1_MACS_peak_102_lociStitched	chr1(.):24648057-24649475	1.3479
1_MACS_peak_103_lociStitched	chr1(.):24718171-24719243	0.7681
1_MACS_peak_104_lociStitched	chr1(.):24883878-24884926	1.0611
1_MACS_peak_105_lociStitched	chr1(.):24968995-24969887	0.7978
1_MACS_peak_106_lociStitched	chr1(.):25053796-25054654	0.7267
1_MACS_peak_107_lociStitched	chr1(.):25074742-25075950	0.8547
1_MACS_peak_108_lociStitched	chr1(.):25291162-25292120	0.9269
1_MACS_peak_109_lociStitched	chr1(.):25348605-25349959	1.2907
1_MACS_peak_110_lociStitched	chr1(.):25593795-25595015	0.6577
1_MACS_peak_111_lociStitched	chr1(.):25664077-25665441	0.6063
1_MACS_peak_112_lociStitched	chr1(.):25875500-25876980	1.4122
1_MACS_peak_113_lociStitched	chr1(.):25888693-25890095	0.6377
1_MACS_peak_114_lociStitched	chr1(.):25968165-25969890	1.8768
1_MACS_peak_115_lociStitched	chr1(.):26002333-26003317	1.2604
1_MACS_peak_116_lociStitched	chr1(.):26231782-26232617	0.5056
1_MACS_peak_117_lociStitched	chr1(.):26758111-26759481	0.7005
1_MACS_peak_118_lociStitched	chr1(.):26798624-26799938	0.5417
1_MACS_peak_119_lociStitched	chr1(.):26826494-26827635	0.8873
1_MACS_peak_120_lociStitched	chr1(.):26946621-26948207	1.0073
2_MACS_peak_121_lociStitched	chr1(.):27018500-27022475	0.6934
1_MACS_peak_123_lociStitched	chr1(.):27027709-27029852	1.1389
1_MACS_peak_124_lociStitched	chr1(.):27069815-27071331	1.1138
1_MACS_peak_125_lociStitched	chr1(.):27113544-27114605	0.6
1_MACS_peak_126_lociStitched	chr1(.):27165015-27166083	1.4357
1_MACS_peak_127_lociStitched	chr1(.):27481385-27482215	0.7012
1_MACS_peak_128_lociStitched	chr1(.):27826366-27827104	0.6043
2_MACS_peak_129_lociStitched	chr1(.):28353751-28356402	0.7675
1_MACS_peak_131_lociStitched	chr1(.):28396362-28397126	0.6298
1_MACS_peak_132_lociStitched	chr1(.):28498833-28499792	1.1631
2_MACS_peak_133_lociStitched	chr1(.):28571123-28573573	0.8239
1_MACS_peak_135_lociStitched	chr1(.):28585335-28586311	0.7104
1_MACS_peak_136_lociStitched	chr1(.):28655008-28655986	0.6301
1_MACS_peak_137_lociStitched	chr1(.):28743666-28744605	1.1972
1_MACS_peak_138_lociStitched	chr1(.):28878694-28879805	0.8541
2_MACS_peak_139_lociStitched	chr1(.):28906904-28914041	0.3946
2_MACS_peak_141_lociStitched	chr1(.):28925266-28928849	1.1009
2_MACS_peak_143_lociStitched	chr1(.):28969269-28975815	0.5138
1_MACS_peak_145_lociStitched	chr1(.):29062991-29064162	0.6901
1_MACS_peak_146_lociStitched	chr1(.):29211113-29211970	0.7839
1_MACS_peak_147_lociStitched	chr1(.):29507230-29508207	0.5582
1_MACS_peak_148_lociStitched	chr1(.):30902062-30902876	0.899
1_MACS_peak_149_lociStitched	chr1(.):31191449-31192077	0.6536
2_MACS_peak_150_lociStitched	chr1(.):31215996-31221503	0.8371
3_MACS_peak_152_lociStitched	chr1(.):31226289-31231255	0.7829
1_MACS_peak_155_lociStitched	chr1(.):31538105-31539245	0.9439
1_MACS_peak_156_lociStitched	chr1(.):31895724-31896771	1.2139
1_MACS_peak_157_lociStitched	chr1(.):31914013-31915310	0.9663
1_MACS_peak_158_lociStitched	chr1(.):31944164-31945027	0.8262
1_MACS_peak_159_lociStitched	chr1(.):31949652-31950594	1.1798
1_MACS_peak_160_lociStitched	chr1(.):31971460-31972293	1.2632
1_MACS_peak_161_lociStitched	chr1(.):32071213-32072193	1.0997
1_MACS_peak_162_lociStitched	chr1(.):32421369-32422178	1.2164
1_MACS_peak_163_lociStitched	chr1(.):32472288-32473066	0.6503
1_MACS_peak_164_lociStitched	chr1(.):32644840-32645891	0.9864
1_MACS_peak_165_lociStitched	chr1(.):32715144-32716536	1.2177
1_MACS_peak_166_lociStitched	chr1(.):32802905-32803912	0.5033
1_MACS_peak_167_lociStitched	chr1(.):33092669-33094422	1.7309
1_MACS_peak_168_lociStitched	chr1(.):33115562-33117627	0.952
1_MACS_peak_169_lociStitched	chr1(.):33282387-33284143	0.8901
1_MACS_peak_170_lociStitched	chr1(.):33446532-33447446	1.2853
1_MACS_peak_171_lociStitched	chr1(.):33457877-33458979	1.2227
1_MACS_peak_172_lociStitched	chr1(.):33564373-33565900	1.9175
1_MACS_peak_173_lociStitched	chr1(.):33815562-33816301	0.7422
1_MACS_peak_174_lociStitched	chr1(.):34516529-34517361	0.5384
1_MACS_peak_175_lociStitched	chr1(.):34826018-34826723	0.6032
1_MACS_peak_176_lociStitched	chr1(.):36022762-36024148	1.4303
1_MACS_peak_177_lociStitched	chr1(.):36614605-36616755	0.8429
1_MACS_peak_178_lociStitched	chr1(.):36689224-36690501	0.7658
1_MACS_peak_179_lociStitched	chr1(.):36851193-36852857	1.1255
2_MACS_peak_180_lociStitched	chr1(.):36862827-36866954	0.3428
1_MACS_peak_182_lociStitched	chr1(.):37108925-37110136	0.8326
1_MACS_peak_183_lociStitched	chr1(.):37754442-37755070	1.3222
1_MACS_peak_184_lociStitched	chr1(.):37942622-37943551	0.5436
1_MACS_peak_185_lociStitched	chr1(.):38141401-38142762	0.8348
1_MACS_peak_186_lociStitched	chr1(.):38477723-38479024	0.7616
1_MACS_peak_187_lociStitched	chr1(.):38495387-38496161	0.7396
1_MACS_peak_188_lociStitched	chr1(.):38940136-38941555	1.1574
1_MACS_peak_189_lociStitched	chr1(.):38992648-38993657	1.3549
1_MACS_peak_190_lociStitched	chr1(.):39649222-39650130	0.7947
1_MACS_peak_191_lociStitched	chr1(.):39859954-39860700	1.0002
1_MACS_peak_192_lociStitched	chr1(.):39872975-39873900	0.8952
1_MACS_peak_193_lociStitched	chr1(.):39956450-39957677	0.6893
1_MACS_peak_194_lociStitched	chr1(.):39974455-39976084	1.3706
2_MACS_peak_195_lociStitched	chr1(.):40031217-40034465	0.678
1_MACS_peak_197_lociStitched	chr1(.):40063109-40065103	0.8515
1_MACS_peak_198_lociStitched	chr1(.):40241285-40242614	0.9204
1_MACS_peak_199_lociStitched	chr1(.):40264277-40265549	0.9589
1_MACS_peak_200_lociStitched	chr1(.):40282637-40283655	1.0329
1_MACS_peak_201_lociStitched	chr1(.):40310584-40312442	1.173
1_MACS_peak_202_lociStitched	chr1(.):40420585-40421186	0.619
1_MACS_peak_203_lociStitched	chr1(.):40426103-40426918	0.7473
1_MACS_peak_204_lociStitched	chr1(.):40524468-40525822	0.8179
1_MACS_peak_205_lociStitched	chr1(.):40651816-40652725	0.7499
1_MACS_peak_206_lociStitched	chr1(.):40723079-40724319	0.8087
1_MACS_peak_207_lociStitched	chr1(.):40839856-40840683	0.6996
2_MACS_peak_208_lociStitched	chr1(.):40850817-40855610	0.8314
1_MACS_peak_210_lociStitched	chr1(.):41229489-41230345	0.8037
1_MACS_peak_211_lociStitched	chr1(.):41706655-41707792	0.5938
1_MACS_peak_212_lociStitched	chr1(.):41819252-41819946	0.6253
1_MACS_peak_213_lociStitched	chr1(.):42164172-42165357	0.966
2_MACS_peak_214_lociStitched	chr1(.):42192509-42195153	1.1637
1_MACS_peak_216_lociStitched	chr1(.):42216695-42218262	1.2258
1_MACS_peak_217_lociStitched	chr1(.):42268464-42269484	0.6678
1_MACS_peak_218_lociStitched	chr1(.):42347445-42348308	0.8585
2_MACS_peak_219_lociStitched	chr1(.):42416461-42421595	0.2874
1_MACS_peak_221_lociStitched	chr1(.):42726265-42726842	0.668
1_MACS_peak_222_lociStitched	chr1(.):42800617-42801435	0.5429
1_MACS_peak_223_lociStitched	chr1(.):42928492-42929402	0.9218
1_MACS_peak_224_lociStitched	chr1(.):43123463-43124523	0.8417
1_MACS_peak_225_lociStitched	chr1(.):43400668-43401475	0.8536
1_MACS_peak_226_lociStitched	chr1(.):43432583-43433420	1.0509
1_MACS_peak_227_lociStitched	chr1(.):43638210-43638829	0.6409
1_MACS_peak_228_lociStitched	chr1(.):43814518-43815580	0.7891
1_MACS_peak_229_lociStitched	chr1(.):45186837-45188192	0.8243
1_MACS_peak_230_lociStitched	chr1(.):45196152-45197433	1.0914
1_MACS_peak_231_lociStitched	chr1(.):45240703-45241829	0.6949
1_MACS_peak_232_lociStitched	chr1(.):45769354-45770172	0.6281
1_MACS_peak_233_lociStitched	chr1(.):45804963-45806266	0.7064
1_MACS_peak_234_lociStitched	chr1(.):46009230-46010166	1.0863
1_MACS_peak_235_lociStitched	chr1(.):46015896-46016865	0.7196
1_MACS_peak_236_lociStitched	chr1(.):46151713-46154554	0.75
1_MACS_peak_237_lociStitched	chr1(.):46506846-46508567	1.0517
1_MACS_peak_238_lociStitched	chr1(.):46528056-46528873	0.597
1_MACS_peak_239_lociStitched	chr1(.):46624932-46626374	0.7259
1_MACS_peak_240_lociStitched	chr1(.):46768543-46769630	0.7389
1_MACS_peak_241_lociStitched	chr1(.):46791113-46791946	0.7745
1_MACS_peak_242_lociStitched	chr1(.):46805847-46806904	0.6825
1_MACS_peak_243_lociStitched	chr1(.):47573225-47574032	0.8389
1_MACS_peak_244_lociStitched	chr1(.):49255546-49256537	0.7547
1_MACS_peak_245_lociStitched	chr1(.):49388753-49389329	0.5545
1_MACS_peak_246_lociStitched	chr1(.):49413212-49414252	0.9265
2_MACS_peak_247_lociStitched	chr1(.):49442754-49446231	0.4929
1_MACS_peak_249_lociStitched	chr1(.):51669098-51670056	0.9412
1_MACS_peak_250_lociStitched	chr1(.):52034545-52035627	0.8358
1_MACS_peak_251_lociStitched	chr1(.):52328622-52329632	0.7343
1_MACS_peak_252_lociStitched	chr1(.):52418112-52418819	0.7624
1_MACS_peak_253_lociStitched	chr1(.):52428006-52429342	0.6494
1_MACS_peak_254_lociStitched	chr1(.):53102426-53103535	1.0931
2_MACS_peak_255_lociStitched	chr1(.):53163427-53169517	0.4796
1_MACS_peak_257_lociStitched	chr1(.):53791563-53792651	0.6284
1_MACS_peak_258_lociStitched	chr1(.):54050705-54051351	0.6092
1_MACS_peak_259_lociStitched	chr1(.):54065918-54066942	0.9749
1_MACS_peak_260_lociStitched	chr1(.):54200296-54201424	0.783
1_MACS_peak_261_lociStitched	chr1(.):54512620-54513684	0.7502
1_MACS_peak_262_lociStitched	chr1(.):54841793-54843307	1.0966
1_MACS_peak_263_lociStitched	chr1(.):54873028-54873982	0.6945
1_MACS_peak_264_lociStitched	chr1(.):54953665-54954374	0.6981
1_MACS_peak_265_lociStitched	chr1(.):55621786-55622857	0.6343
1_MACS_peak_266_lociStitched	chr1(.):55753774-55754552	0.9671
1_MACS_peak_267_lociStitched	chr1(.):56981990-56982886	0.7963
1_MACS_peak_268_lociStitched	chr1(.):56990877-56991854	0.9327
1_MACS_peak_269_lociStitched	chr1(.):59012057-59012820	0.648
1_MACS_peak_270_lociStitched	chr1(.):59039348-59039925	0.8946
1_MACS_peak_271_lociStitched	chr1(.):59165308-59166124	0.5881
1_MACS_peak_272_lociStitched	chr1(.):59197046-59197687	0.5347
2_MACS_peak_273_lociStitched	chr1(.):59247818-59251963	0.6677
1_MACS_peak_275_lociStitched	chr1(.):59271230-59272140	0.7894
1_MACS_peak_276_lociStitched	chr1(.):59340028-59341059	0.8262
1_MACS_peak_277_lociStitched	chr1(.):59348738-59350106	0.8271
1_MACS_peak_278_lociStitched	chr1(.):59368993-59370167	0.6868
1_MACS_peak_279_lociStitched	chr1(.):59433520-59434848	0.8929
1_MACS_peak_280_lociStitched	chr1(.):59473380-59474390	0.9329
1_MACS_peak_281_lociStitched	chr1(.):59481916-59482723	1.0065
1_MACS_peak_282_lociStitched	chr1(.):60035933-60036747	0.8499
1_MACS_peak_283_lociStitched	chr1(.):60043132-60044023	0.946
1_MACS_peak_284_lociStitched	chr1(.):61542201-61544225	0.9899
1_MACS_peak_285_lociStitched	chr1(.):61767865-61768467	0.7192
1_MACS_peak_286_lociStitched	chr1(.):61784080-61785179	1.6227
1_MACS_peak_287_lociStitched	chr1(.):61918121-61919477	0.698
1_MACS_peak_288_lociStitched	chr1(.):62901732-62902951	0.7893
1_MACS_peak_289_lociStitched	chr1(.):63265903-63267076	0.8059
1_MACS_peak_290_lociStitched	chr1(.):63275718-63277080	0.6795
1_MACS_peak_291_lociStitched	chr1(.):63988496-63989659	0.8503
1_MACS_peak_292_lociStitched	chr1(.):65329552-65330421	1.2363
2_MACS_peak_293_lociStitched	chr1(.):65360840-65364824	0.557
1_MACS_peak_295_lociStitched	chr1(.):65452910-65453930	1.1803
1_MACS_peak_296_lociStitched	chr1(.):65467900-65468939	0.6556
1_MACS_peak_297_lociStitched	chr1(.):65509642-65511111	0.9226
1_MACS_peak_298_lociStitched	chr1(.):66277436-66278378	1.2191
1_MACS_peak_299_lociStitched	chr1(.):66469223-66469949	0.7911
4_MACS_peak_300_lociStitched	chr1(.):66736691-66749025	0.6298
1_MACS_peak_304_lociStitched	chr1(.):66771498-66772149	0.6284
1_MACS_peak_305_lociStitched	chr1(.):66801193-66802547	1.5003
1_MACS_peak_306_lociStitched	chr1(.):66815584-66816460	0.9538
1_MACS_peak_307_lociStitched	chr1(.):66845428-66847311	0.9291
1_MACS_peak_308_lociStitched	chr1(.):67223694-67224532	0.7851
1_MACS_peak_309_lociStitched	chr1(.):67234632-67235796	0.5205
1_MACS_peak_310_lociStitched	chr1(.):67389716-67391111	0.6907
1_MACS_peak_311_lociStitched	chr1(.):67478204-67478853	0.5302
1_MACS_peak_312_lociStitched	chr1(.):67895486-67897154	0.6806
1_MACS_peak_313_lociStitched	chr1(.):68027298-68028041	0.6761
2_MACS_peak_314_lociStitched	chr1(.):68150649-68152658	0.5935
1_MACS_peak_316_lociStitched	chr1(.):68215246-68216368	0.999
1_MACS_peak_317_lociStitched	chr1(.):68225394-68226471	0.9951
1_MACS_peak_318_lociStitched	chr1(.):68626354-68627355	0.9448
1_MACS_peak_319_lociStitched	chr1(.):68644055-68645565	0.7532
1_MACS_peak_320_lociStitched	chr1(.):68720340-68721079	0.7327
1_MACS_peak_321_lociStitched	chr1(.):70686707-70687766	0.6244
2_MACS_peak_322_lociStitched	chr1(.):70819034-70825464	0.4653
1_MACS_peak_324_lociStitched	chr1(.):70875940-70877354	0.7584
1_MACS_peak_325_lociStitched	chr1(.):72110226-72111200	0.8881
1_MACS_peak_326_lociStitched	chr1(.):72171557-72172233	0.7063
1_MACS_peak_327_lociStitched	chr1(.):72316405-72317232	0.7214
1_MACS_peak_328_lociStitched	chr1(.):72347005-72347825	0.7926
1_MACS_peak_329_lociStitched	chr1(.):72475569-72476270	0.7237
1_MACS_peak_330_lociStitched	chr1(.):72750121-72750949	1.3098
1_MACS_peak_331_lociStitched	chr1(.):73033489-73034544	1.3309
1_MACS_peak_332_lociStitched	chr1(.):74663359-74664356	0.6389
2_MACS_peak_333_lociStitched	chr1(.):75045097-75049575	0.2742
1_MACS_peak_335_lociStitched	chr1(.):75276745-75278369	0.7474
1_MACS_peak_336_lociStitched	chr1(.):75437267-75438290	0.958
1_MACS_peak_337_lociStitched	chr1(.):76250092-76251321	0.7201
1_MACS_peak_338_lociStitched	chr1(.):77404597-77405409	0.6413
1_MACS_peak_339_lociStitched	chr1(.):78148006-78149378	0.5735
1_MACS_peak_340_lociStitched	chr1(.):78416303-78417138	0.7932
1_MACS_peak_341_lociStitched	chr1(.):78443851-78445558	0.7167
1_MACS_peak_342_lociStitched	chr1(.):78619897-78620570	0.6303
1_MACS_peak_343_lociStitched	chr1(.):79926175-79927208	0.8984
1_MACS_peak_344_lociStitched	chr1(.):79984548-79985682	1.7093
1_MACS_peak_345_lociStitched	chr1(.):80176382-80177182	0.7436
1_MACS_peak_346_lociStitched	chr1(.):80243345-80244109	0.6683
1_MACS_peak_347_lociStitched	chr1(.):81971313-81972115	0.9602
1_MACS_peak_348_lociStitched	chr1(.):82014078-82015765	1.1284
1_MACS_peak_349_lociStitched	chr1(.):82574324-82575162	0.8461
1_MACS_peak_350_lociStitched	chr1(.):82618078-82618800	0.4893
1_MACS_peak_351_lociStitched	chr1(.):82860980-82861722	0.6857
1_MACS_peak_352_lociStitched	chr1(.):83445008-83445761	0.6132
1_MACS_peak_353_lociStitched	chr1(.):85527597-85528158	0.6611
1_MACS_peak_354_lociStitched	chr1(.):86088738-86089426	0.8942
1_MACS_peak_355_lociStitched	chr1(.):86458242-86459143	0.7138
1_MACS_peak_356_lociStitched	chr1(.):86518805-86519646	0.8133
1_MACS_peak_357_lociStitched	chr1(.):86713078-86714168	0.7425
1_MACS_peak_358_lociStitched	chr1(.):86814921-86815749	0.8764
1_MACS_peak_359_lociStitched	chr1(.):87169877-87170699	0.516
2_MACS_peak_360_lociStitched	chr1(.):87522925-87528314	0.4512
1_MACS_peak_362_lociStitched	chr1(.):87616823-87617749	0.6734
1_MACS_peak_363_lociStitched	chr1(.):87668384-87669386	1.0718
1_MACS_peak_364_lociStitched	chr1(.):87914904-87915633	0.7123
1_MACS_peak_365_lociStitched	chr1(.):88053173-88053977	0.5893
1_MACS_peak_366_lociStitched	chr1(.):88337179-88338549	1.7797
1_MACS_peak_367_lociStitched	chr1(.):89515548-89516238	0.6078
1_MACS_peak_368_lociStitched	chr1(.):89894366-89895223	1.1134
1_MACS_peak_369_lociStitched	chr1(.):89929395-89930063	0.6896
1_MACS_peak_370_lociStitched	chr1(.):89989529-89991481	0.6724
1_MACS_peak_371_lociStitched	chr1(.):90098038-90099780	0.5896
1_MACS_peak_372_lociStitched	chr1(.):90135200-90136571	1.0798
1_MACS_peak_373_lociStitched	chr1(.):90159544-90160653	0.7799
1_MACS_peak_374_lociStitched	chr1(.):90184808-90185602	0.8206
1_MACS_peak_375_lociStitched	chr1(.):90286727-90287738	0.5598
1_MACS_peak_376_lociStitched	chr1(.):90308528-90309395	0.5524
1_MACS_peak_377_lociStitched	chr1(.):91487161-91488235	0.8272
1_MACS_peak_379_lociStitched	chr1(.):92951291-92952061	0.6635
1_MACS_peak_380_lociStitched	chr1(.):93297447-93298073	0.5152
1_MACS_peak_381_lociStitched	chr1(.):93369297-93369931	0.4686
1_MACS_peak_382_lociStitched	chr1(.):93470557-93471234	0.5103
1_MACS_peak_383_lociStitched	chr1(.):93494665-93495425	0.8216
1_MACS_peak_384_lociStitched	chr1(.):93684835-93685590	0.6321
1_MACS_peak_385_lociStitched	chr1(.):93794179-93795075	1.2166
1_MACS_peak_386_lociStitched	chr1(.):97624805-97625428	0.5891
1_MACS_peak_387_lociStitched	chr1(.):97927209-97927868	0.8659
1_MACS_peak_388_lociStitched	chr1(.):98329804-98330756	0.8177
1_MACS_peak_389_lociStitched	chr1(.):99549944-99550685	0.6111
1_MACS_peak_390_lociStitched	chr1(.):100917963-100918637	0.5947
1_MACS_peak_391_lociStitched	chr1(.):100988483-100989118	0.4453
1_MACS_peak_392_lociStitched	chr1(.):102193399-102194170	0.6817
1_MACS_peak_393_lociStitched	chr1(.):107538502-107539322	1.6209
1_MACS_peak_394_lociStitched	chr1(.):107792571-107793293	1.0585
1_MACS_peak_395_lociStitched	chr1(.):107993375-107994596	0.7599
2_MACS_peak_396_lociStitched	chr1(.):108163279-108166131	0.3888
1_MACS_peak_398_lociStitched	chr1(.):108249497-108250091	0.579
1_MACS_peak_399_lociStitched	chr1(.):108476929-108477660	0.5998
1_MACS_peak_400_lociStitched	chr1(.):108824936-108826032	0.5729
1_MACS_peak_401_lociStitched	chr1(.):108953620-108954462	0.5836
1_MACS_peak_402_lociStitched	chr1(.):109203447-109204451	0.6137
1_MACS_peak_403_lociStitched	chr1(.):110261988-110262508	0.5138
1_MACS_peak_404_lociStitched	chr1(.):110344584-110345480	0.54
1_MACS_peak_405_lociStitched	chr1(.):110358645-110359768	1.0129
1_MACS_peak_406_lociStitched	chr1(.):110880632-110881780	0.6786
2_MACS_peak_407_lociStitched	chr1(.):111173459-111179307	0.5698
1_MACS_peak_409_lociStitched	chr1(.):111189813-111190530	0.8897
1_MACS_peak_410_lociStitched	chr1(.):111329494-111330600	1.1258
1_MACS_peak_411_lociStitched	chr1(.):111746293-111747360	0.4831
1_MACS_peak_412_lociStitched	chr1(.):111758336-111759257	0.9497
1_MACS_peak_413_lociStitched	chr1(.):112146508-112147163	0.5598
1_MACS_peak_414_lociStitched	chr1(.):112158760-112159398	0.646
1_MACS_peak_415_lociStitched	chr1(.):112244951-112245544	0.5073
1_MACS_peak_416_lociStitched	chr1(.):112297831-112298850	0.775
1_MACS_peak_417_lociStitched	chr1(.):113162010-113162718	0.4864
1_MACS_peak_418_lociStitched	chr1(.):113693030-113693668	0.6058
1_MACS_peak_419_lociStitched	chr1(.):114326313-114327214	0.7308
1_MACS_peak_420_lociStitched	chr1(.):114402150-114402686	0.6217
1_MACS_peak_421_lociStitched	chr1(.):114414107-114414668	0.684
