#27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_ROSE/27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X27_0F2D_0229Kronos_MM1S.KB.6hr.1_H3K27me3_hs.dm_i14.bam
#Using cutoff of 11276.0776 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X27_0F2D_0229Kronos_MM1S.KB.6hr.1_H3K27me3_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isSuperStretch
8_MACS_peak_16734_lociStitched	chr19	822613	854529	8	30899	49648.5296	3766.088	81	1
4_MACS_peak_1749_lociStitched	chr1	10722538	10753358	4	30498	48544.582	2625.864	82	1
15_MACS_peak_6743_lociStitched	chr11	1624860	1663022	15	34776	43844.3218	3980.2966	83	1
8_MACS_peak_17513_lociStitched	chr19	5992488	6027932	8	34495	44886.2816	4614.8088	84	1
4_MACS_peak_28253_lociStitched	chr4	3471330	3499140	4	27542	50775.498	2502.9	85	1
2_MACS_peak_30289_lociStitched	chr6	31958317	31985318	2	26990	51023.7897	3013.3116	86	1
9_MACS_peak_35_lociStitched	chr1	913416	945670	9	30911	46061.9374	2728.6884	87	1
12_MACS_peak_36204_lociStitched	chr9	138883808	138918891	12	32099	42759.1604	2508.4345	88	1
1_MACS_peak_23841_lociStitched	chr20	61141425	61168633	1	27209	48277.8752	1918.164	89	1
4_MACS_peak_723_lociStitched	chr1	3505046	3536202	4	30703	43811.5672	2445.746	90	1
7_MACS_peak_6602_lociStitched	chr11	1031650	1062569	7	29575	45228.3132	2451.8767	91	1
6_MACS_peak_36272_lociStitched	chr9	139138118	139167016	6	28060	46875.4458	2609.4894	92	1
15_MACS_peak_35763_lociStitched	chr9	137682687	137717122	15	32504	40764.153	2606.7295	93	1
26_MACS_peak_2473_lociStitched	chr1	17916339	17954361	26	34207	37809.0768	2965.716	94	1
4_MACS_peak_31938_lociStitched	chr7	149470070	149497142	4	26646	48504.9024	3605.9904	95	1
10_MACS_peak_546_lociStitched	chr1	3030872	3063143	10	31102	39922.4541	1991.1207	96	1
7_MACS_peak_17252_lociStitched	chr19	4734163	4765838	7	31040	42089.74	4247.6175	97	1
3_MACS_peak_17178_lociStitched	chr19	3924119	3952628	3	28414	44633.6904	3244.3242	98	1
10_MACS_peak_35261_lociStitched	chr9	135851029	135883695	10	31610	39146.9344	2616.5466	99	1
9_MACS_peak_26953_lociStitched	chr22	46293462	46325189	9	29770	41032.5291	2243.0989	100	1
12_MACS_peak_36359_lociStitched	chr9	139923545	139953768	12	28098	43052.6635	2638.4679	101	1
6_MACS_peak_16102_lociStitched	chr17	77900609	77931135	6	29477	40602.6326	2304.713	102	1
16_MACS_peak_36144_lociStitched	chr9	138572687	138605880	16	31127	36950.4476	2346.7451	104	1
6_MACS_peak_13131_lociStitched	chr17	1828616	1858711	6	29427	39445.5165	2449.733	105	1
3_MACS_peak_25078_lociStitched	chr22	20206974	20235508	3	27955	40909.1958	2296.987	106	1
8_MACS_peak_34814_lociStitched	chr9	132952264	132983109	8	29991	37803.632	2498.445	107	1
12_MACS_peak_17196_lociStitched	chr19	4192930	4223313	12	29379	40637.2625	4490.6074	108	1
7_MACS_peak_29931_lociStitched	chr5	176269874	176297937	7	27683	40374.2381	2637.922	109	1
4_MACS_peak_15836_lociStitched	chr17	77241768	77270952	4	28972	38055.936	2244.2496	110	1
5_MACS_peak_24411_lociStitched	chr21	43776539	43803522	5	26579	42295.8525	3534.773	112	1
12_MACS_peak_11451_lociStitched	chr16	3078294	3108733	12	27753	39616.3585	2763.8612	113	1
9_MACS_peak_5249_lociStitched	chr1	228744103	228779448	9	34947	38063.0305	16258.7	114	1
3_MACS_peak_17189_lociStitched	chr19	4140699	4167268	3	26066	41596.4264	3395.5182	115	1
4_MACS_peak_28201_lociStitched	chr4	1769696	1794869	4	25008	41248.4778	1940.8383	116	1
4_MACS_peak_31981_lociStitched	chr7	150940729	150964199	4	22874	44675.145	3267.024	117	1
9_MACS_peak_36263_lociStitched	chr9	139068254	139096582	9	26754	38721.5432	1940.468	118	1
14_MACS_peak_24007_lociStitched	chr20	61985948	62016499	14	28289	36257.9268	1906.3824	119	1
2_MACS_peak_27995_lociStitched	chr3	184278259	184303922	2	25409	41396.9853	3641.5797	120	1
11_MACS_peak_36244_lociStitched	chr9	139013287	139042278	11	27971	36537.3573	2388.8584	121	1
5_MACS_peak_36182_lociStitched	chr9	138660862	138686876	5	25401	39549.0842	2065.5116	122	1
7_MACS_peak_6644_lociStitched	chr11	1238299	1267138	7	27969	35316.2394	1981.2393	123	1
3_MACS_peak_16336_lociStitched	chr17	79373705	79398252	3	24534	39660.5879	1767.384	124	1
6_MACS_peak_7358_lociStitched	chr11	61471653	61500034	6	27392	36631.3567	2559.9662	125	1
10_MACS_peak_26747_lociStitched	chr22	45326467	45356962	10	29161	33413.3715	2262.729	126	1
12_MACS_peak_2123_lociStitched	chr1	16432619	16462624	12	28255	34766.7935	2460.41	127	1
5_MACS_peak_1780_lociStitched	chr1	10863472	10892147	5	27871	35350.54	2540.605	128	1
9_MACS_peak_35096_lociStitched	chr9	135020454	135049286	9	27242	35645.0016	2776.5216	129	1
7_MACS_peak_20970_lociStitched	chr19	49918111	49946017	7	26831	35633.1714	2204.574	130	1
8_MACS_peak_36319_lociStitched	chr9	139627738	139653152	8	24225	38962.2034	2221.1836	131	1
7_MACS_peak_20541_lociStitched	chr19	47903516	47930553	7	26219	36210.6541	2652.3297	132	1
7_MACS_peak_34204_lociStitched	chr8	144944055	144970913	7	25377	36916.321	2481.6792	133	1
7_MACS_peak_22142_lociStitched	chr2	219845435	219871324	7	24621	37533.8722	2376.6102	134	1
11_MACS_peak_18997_lociStitched	chr19	18090346	18118974	11	26998	34113.1248	2401.8892	135	1
7_MACS_peak_20497_lociStitched	chr19	47116818	47144496	7	26913	34683.3018	3290.9142	136	1
12_MACS_peak_656_lociStitched	chr1	3297193	3325166	12	26465	33450.1134	1711.9476	137	1
14_MACS_peak_11175_lociStitched	chr16	859430	887272	14	26026	34301.344	2235.7126	138	1
3_MACS_peak_7010_lociStitched	chr11	2426350	2449565	3	23140	37794.02	2073.0995	139	1
6_MACS_peak_35386_lociStitched	chr9	136297247	136323943	6	25934	34018.7128	2159.7064	140	1
8_MACS_peak_5860_lociStitched	chr10	102492971	102516334	8	21736	39308.2475	2380.6897	141	1
9_MACS_peak_34581_lociStitched	chr9	129441185	129468205	9	25385	34888.224	2612.834	142	1
14_MACS_peak_9102_lociStitched	chr12	3369199	3398542	14	27186	31928.1183	2593.9212	143	1
2_MACS_peak_25072_lociStitched	chr22	20151869	20176075	2	24203	35396.4338	1834.8148	144	1
12_MACS_peak_13061_lociStitched	chr17	1109949	1138387	12	26877	32169.0656	2784.0802	145	1
6_MACS_peak_30228_lociStitched	chr6	30411118	30435851	6	24040	36894.2161	3509.6127	146	1
13_MACS_peak_33912_lociStitched	chr8	143643846	143671712	13	26328	32040.3268	2059.2974	147	1
8_MACS_peak_16054_lociStitched	chr17	77740382	77766569	8	24914	33854.5536	2390.8731	148	1
5_MACS_peak_21713_lociStitched	chr2	26790322	26814695	5	23253	36425.4485	2949.133	149	1
6_MACS_peak_7278_lociStitched	chr11	61287785	61313471	6	25254	32939.7264	2411.9154	150	1
3_MACS_peak_22198_lociStitched	chr2	220374355	220398899	3	24209	33873.1744	2096.0576	151	1
5_MACS_peak_6862_lociStitched	chr11	1937801	1960903	5	22144	35678.7288	1573.2462	152	1
4_MACS_peak_3295_lociStitched	chr1	21909391	21933521	4	23775	33692.719	1925.574	153	1
7_MACS_peak_16773_lociStitched	chr19	1490996	1513145	7	21640	37349.8587	2967.966	154	1
10_MACS_peak_26087_lociStitched	chr22	40068671	40094655	10	25243	31126.2336	2068.3264	155	1
10_MACS_peak_20889_lociStitched	chr19	49538530	49563662	10	23691	33561.2728	2319.6836	156	1
6_MACS_peak_31975_lociStitched	chr7	150881962	150905385	6	22824	35420.2606	3077.7822	157	1
10_MACS_peak_34736_lociStitched	chr9	132427085	132453852	10	24650	31812.5795	2044.9988	158	1
7_MACS_peak_6919_lociStitched	chr11	2183246	2208185	7	24315	31388.2254	1531.2546	159	1
5_MACS_peak_36234_lociStitched	chr9	138962590	138986741	5	23135	32656.9822	1796.8344	160	1
8_MACS_peak_2196_lociStitched	chr1	17083783	17109773	8	25310	32261.387	4805.551	161	1
2_MACS_peak_31622_lociStitched	chr7	100634053	100648911	2	14750	41748.0084	2739.8152	162	1
8_MACS_peak_13262_lociStitched	chr17	4480401	4505066	8	23027	32880.9115	2271.6465	163	1
7_MACS_peak_24460_lociStitched	chr21	44050015	44073632	7	22868	33399.1614	2968.6569	164	1
11_MACS_peak_672_lociStitched	chr1	3335334	3361762	11	24960	28869.9472	1691.392	165	1
11_MACS_peak_12960_lociStitched	chr17	739377	764585	11	24503	29856.3552	2195.6168	166	1
5_MACS_peak_24801_lociStitched	chr21	46858175	46882086	5	23091	32499.8312	2914.7509	167	1
13_MACS_peak_1793_lociStitched	chr1	10916503	10942960	13	24286	29959.9068	2211.8052	168	1
4_MACS_peak_24401_lociStitched	chr21	43721214	43743674	4	21974	33876.418	3294.882	169	1
6_MACS_peak_11329_lociStitched	chr16	1567630	1590329	6	21847	32323.376	1600.2795	170	1
10_MACS_peak_3357_lociStitched	chr1	22576621	22601821	10	24468	28665	2061.36	171	1
6_MACS_peak_17438_lociStitched	chr19	5541276	5566301	6	24043	30147.6175	2930.4275	172	1
15_MACS_peak_15203_lociStitched	chr17	72333571	72360768	15	24286	28845.1382	2121.366	173	1
11_MACS_peak_15364_lociStitched	chr17	72910806	72935609	11	22851	30936.7819	2346.3638	174	1
8_MACS_peak_24880_lociStitched	chr21	47404141	47425689	8	20207	33914.3972	2001.8092	175	1
2_MACS_peak_11283_lociStitched	chr16	1204250	1224396	2	20070	33182.4766	1128.176	176	1
2_MACS_peak_27916_lociStitched	chr3	128197654	128216680	2	18953	35078.2362	1879.7688	177	1
7_MACS_peak_17352_lociStitched	chr19	5316272	5340041	7	23298	30291.2136	2864.1645	178	1
8_MACS_peak_30473_lociStitched	chr6	34013146	34038029	8	23979	28545.7776	2224.5402	179	1
3_MACS_peak_25863_lociStitched	chr22	37490000	37513581	3	23292	29657.8237	2273.2084	180	1
4_MACS_peak_24148_lociStitched	chr20	62726943	62749111	4	21071	32467.2528	2114.8272	181	1
2_MACS_peak_22196_lociStitched	chr2	220341516	220362817	2	21296	32017.5331	2006.5542	182	1
2_MACS_peak_4829_lociStitched	chr1	156860031	156880677	2	20215	34332.2334	3003.993	183	1
21_MACS_peak_1431_lociStitched	chr1	7512898	7540170	21	24130	27596.5368	1952.6752	184	1
9_MACS_peak_2018_lociStitched	chr1	11925156	11949885	9	23741	28487.808	2334.4176	185	1
7_MACS_peak_9526_lociStitched	chr12	54390254	54411832	7	20584	32714.4058	2099.5394	186	1
5_MACS_peak_35758_lociStitched	chr9	137656340	137679830	5	23192	28852.767	1954.368	187	1
4_MACS_peak_16302_lociStitched	chr17	79273426	79294307	4	20264	32363.4619	1568.1631	188	1
11_MACS_peak_33452_lociStitched	chr8	142332397	142356566	11	22966	28739.3579	2064.0326	189	1
3_MACS_peak_13054_lociStitched	chr17	1076595	1097770	3	20817	31430.0525	1939.63	190	1
8_MACS_peak_23705_lociStitched	chr20	60371717	60396063	8	23433	27311.3428	1916.0302	191	1
9_MACS_peak_2086_lociStitched	chr1	16338580	16360489	9	20713	30856.6356	1822.8288	192	1
6_MACS_peak_14087_lociStitched	chr17	36716242	36737237	6	20682	31122.988	2107.898	193	1
8_MACS_peak_17722_lociStitched	chr19	7640869	7664033	8	22161	29288.5616	2545.7236	194	1
7_MACS_peak_1742_lociStitched	chr1	10699919	10721266	7	20116	31284.0285	1724.8376	195	1
10_MACS_peak_34746_lociStitched	chr9	132455061	132478749	10	22234	28565.3592	1982.6856	196	1
6_MACS_peak_299_lociStitched	chr1	2347841	2370681	6	21381	29392.796	1742.692	197	1
3_MACS_peak_11247_lociStitched	chr16	1044935	1066592	3	20783	29871.5001	1626.4407	198	1
6_MACS_peak_35556_lociStitched	chr9	137105655	137127914	6	21109	29266.1332	1469.094	199	1
13_MACS_peak_26878_lociStitched	chr22	45906242	45931603	13	22888	26877.5878	1927.436	200	1
2_MACS_peak_18292_lociStitched	chr19	13106767	13126750	2	19971	30725.8608	1798.47	201	1
6_MACS_peak_14657_lociStitched	chr17	47570010	47592176	6	21357	29097.3082	2105.77	202	1
6_MACS_peak_16236_lociStitched	chr17	78441087	78461772	6	19801	30686.1975	1650.663	203	1
6_MACS_peak_27908_lociStitched	chr3	128169210	128191565	6	21337	28645.697	2139.3735	204	1
8_MACS_peak_615_lociStitched	chr1	3195083	3217337	8	21578	27505.944	1684.6278	205	1
15_MACS_peak_11152_lociStitched	chr16	791938	816487	15	22031	26630.7552	1905.0024	206	1
6_MACS_peak_26456_lociStitched	chr22	44667893	44690079	6	21567	27317.6218	1916.8704	207	1
6_MACS_peak_14765_lociStitched	chr17	48652769	48674853	6	21204	28097.4732	2208.4	208	1
7_MACS_peak_34807_lociStitched	chr9	132929166	132951496	7	21296	27943.762	2199.505	209	1
14_MACS_peak_28285_lociStitched	chr4	3641142	3664897	14	22066	26574.7185	2052.432	210	1
7_MACS_peak_23968_lociStitched	chr20	61779726	61803085	7	22057	26045.285	1511.3273	211	1
4_MACS_peak_24597_lociStitched	chr21	45699324	45717546	4	17389	32415.1158	1782.1116	212	1
2_MACS_peak_23879_lociStitched	chr20	61388907	61407941	2	18946	30425.849	1555.0778	213	1
13_MACS_peak_25722_lociStitched	chr22	36969296	36993991	13	22828	25359.2955	2247.245	214	1
5_MACS_peak_24689_lociStitched	chr21	46114604	46134273	5	19137	30298.1276	1868.555	215	1
6_MACS_peak_11144_lociStitched	chr16	740789	762008	6	20147	28501.3608	1500.1833	216	1
15_MACS_peak_15890_lociStitched	chr17	77430967	77456170	15	22583	24910.6452	1887.7047	217	1
12_MACS_peak_12991_lociStitched	chr17	802263	826789	12	22341	25286.306	2094.5204	218	1
1_MACS_peak_16291_lociStitched	chr17	79075601	79093238	1	17638	31005.846	1292.7921	219	1
6_MACS_peak_1812_lociStitched	chr1	10956761	10979132	6	20906	27353.0217	1944.0399	220	1
5_MACS_peak_14645_lociStitched	chr17	47528536	47551168	5	21319	26823.4464	2091.1968	221	1
12_MACS_peak_25872_lociStitched	chr22	37522724	37546007	12	21913	25702.1037	2023.2927	222	1
4_MACS_peak_4983_lociStitched	chr1	201322866	201343593	4	20450	28590.8238	2872.7622	223	1
6_MACS_peak_24620_lociStitched	chr21	45851886	45872483	6	20009	28341.472	2055.5806	224	1
11_MACS_peak_35393_lociStitched	chr9	136344743	136366827	11	20456	27748.546	2179.6908	225	1
4_MACS_peak_4792_lociStitched	chr1	156395815	156415122	4	18958	30800.4571	3241.6453	226	1
9_MACS_peak_26482_lociStitched	chr22	44744366	44766984	9	21796	24983.8428	1723.4916	227	1
10_MACS_peak_15732_lociStitched	chr17	76551359	76573939	10	20947	26633.11	2057.038	228	1
4_MACS_peak_58_lociStitched	chr1	1052578	1072482	4	19281	28822.9824	2052.1024	229	1
6_MACS_peak_6913_lociStitched	chr11	2160958	2182476	6	20385	26901.8036	1803.2084	230	1
10_MACS_peak_3284_lociStitched	chr1	21882739	21905476	10	21073	26199.8451	2171.3835	231	1
5_MACS_peak_24353_lociStitched	chr21	43130353	43151429	5	19535	28850.9364	2651.3608	232	1
9_MACS_peak_31037_lociStitched	chr7	2532342	2554175	9	20460	26644.9932	1812.139	233	1
4_MACS_peak_6640_lociStitched	chr11	1212765	1232388	4	19017	28520.0682	1766.07	234	1
5_MACS_peak_24695_lociStitched	chr21	46141228	46161068	5	19313	28567.616	2257.792	235	1
10_MACS_peak_14873_lociStitched	chr17	61552099	61573950	10	20501	25840.9926	2047.4387	236	1
1_MACS_peak_11444_lociStitched	chr16	3033902	3052098	1	18197	28676.896	1672.2124	237	1
4_MACS_peak_24605_lociStitched	chr21	45782228	45801054	4	18533	28717.1804	2368.3108	238	1
7_MACS_peak_35007_lociStitched	chr9	133936266	133956496	7	19885	26195.827	1764.056	239	1
11_MACS_peak_35725_lociStitched	chr9	137579428	137602198	11	20459	25124.418	1755.567	240	1
10_MACS_peak_1192_lociStitched	chr1	6299966	6320278	10	19441	26501.0664	1785.4248	241	1
9_MACS_peak_24824_lociStitched	chr21	46987406	47007405	9	19021	27854.6072	2651.8674	242	1
5_MACS_peak_35482_lociStitched	chr9	136564225	136584448	5	19322	26267.6547	1561.2156	243	1
5_MACS_peak_24701_lociStitched	chr21	46163706	46183650	5	19173	27315.3024	2435.1624	244	1
5_MACS_peak_13094_lociStitched	chr17	1193322	1214917	5	20875	24294.375	2457.511	245	1
8_MACS_peak_13162_lociStitched	chr17	1913696	1933373	8	18773	27112.9383	2123.1483	246	1
5_MACS_peak_10536_lociStitched	chr15	42152080	42171267	5	19077	25727.8483	1724.9113	247	1
4_MACS_peak_23995_lociStitched	chr20	61937848	61956629	4	18606	25760.0196	1171.9344	248	1
1_MACS_peak_35480_lociStitched	chr9	136540852	136560351	1	19500	24479.0446	1345.431	249	1
9_MACS_peak_258_lociStitched	chr1	2092685	2113966	9	19742	24319.9268	1606.7155	250	1
4_MACS_peak_6830_lociStitched	chr11	1840385	1859218	4	18148	26611.029	1636.5877	251	1
10_MACS_peak_7509_lociStitched	chr11	64288609	64310545	10	20690	23217.0624	2336.184	252	1
8_MACS_peak_27720_lociStitched	chr3	50229045	50248771	8	18876	25898.2654	2100.819	253	1
3_MACS_peak_3255_lociStitched	chr1	21040581	21059011	3	18178	26607.391	1839.314	254	1
5_MACS_peak_24531_lociStitched	chr21	44863745	44882260	5	18386	26367.2115	1907.045	255	1
4_MACS_peak_2095_lociStitched	chr1	16361270	16379502	4	17946	26321.5384	1318.1736	256	1
9_MACS_peak_17065_lociStitched	chr19	3338264	3359426	9	19677	24899.2092	2465.373	257	1
4_MACS_peak_28197_lociStitched	chr4	1751867	1768674	4	16191	28148.3636	1194.9777	258	1
4_MACS_peak_24601_lociStitched	chr21	45761201	45780319	4	18142	26726.964	2190.9228	259	1
5_MACS_peak_25858_lociStitched	chr22	37469208	37489016	5	18746	25110.6016	1560.8704	260	1
5_MACS_peak_14172_lociStitched	chr17	39765872	39785516	5	18752	24906.6276	1394.724	261	1
11_MACS_peak_9533_lociStitched	chr12	54413198	54433931	11	19119	24435.9138	1911.5826	262	1
