REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X27_0F2D_0229Kronos_MM1S.KB.6hr.1_H3K27me3_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
14_MACS_peak_9512_lociStitched	chr12	54342681	54389666	14	44367	59943.463	3993.725	51	HOXC12,HOXC11,HOXC10,MIR196A2,HOTAIR	HOXC13,HOXC9,HOXC8,HOXC6,HOXC5,MIR615	HOXC11	51	1
9_MACS_peak_16721_lociStitched	chr19	745743	785375	9	37170	60541.8432	4755.84	52	PALM,C19orf21	PTBP1,MIR3187,AZU1,LPPR3	C19orf21	52	1
6_MACS_peak_34568_lociStitched	chr9	129376633	129417814	6	40697	59082.3807	3525.0936	53	LMX1B		LMX1B	53	1
2_MACS_peak_24799_lociStitched	chr21	46825718	46856406	2	30428	58098.5216	2786.4704	54	COL18A1,NCRNA00175	COL18A1	NCRNA00175	54	1
1_MACS_peak_36555_lociStitched	chrX	19470150	19470521	1	372	55097.6181	82.6959	55	MAP3K15		MAP3K15	55	1
7_MACS_peak_11303_lociStitched	chr16	1305247	1340850	7	34615	57958.1237	3150.8655	56	TPSD1	TPSAB1,UBE2I,BAIAP3,TPSG1,TPSB2	TPSD1	56	1
6_MACS_peak_24023_lociStitched	chr20	62023033	62062757	6	38492	57345.5664	2931.6312	57	KCNQ2	CHRNA4,KCNQ2	CHRNA4	57	1
4_MACS_peak_28_lociStitched	chr1	840296	869479	4	28242	55970.0757	2495.1465	58	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	58	1
6_MACS_peak_11294_lociStitched	chr16	1249566	1285416	6	35228	55764.675	2409.12	59	CACNA1H,TPSG1,TPSB2	TPSAB1,TPSD1	TPSG1	59	1
6_MACS_peak_70_lociStitched	chr1	1089548	1122111	6	31801	55738.0871	2425.9435	60	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR429	60	1
10_MACS_peak_191_lociStitched	chr1	1938459	1981797	10	42355	56738.1096	3666.3948	61	GABRD	PRKCZ,KIAA1751	GABRD	61	1
1_MACS_peak_8148_lociStitched	chr11	70042265	70042742	1	478	53090.6247	165.4236	62		FADD	FADD	62	1
9_MACS_peak_17083_lociStitched	chr19	3391387	3434109	9	41173	57320.1074	4874.5802	63	NFIC	C19orf77	NFIC	63	1
5_MACS_peak_305_lociStitched	chr1	2371458	2410571	5	37899	54996.7893	2601.0145	64	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	64	1
4_MACS_peak_24789_lociStitched	chr21	46762548	46795171	4	32013	56013.691	3702.7105	65		COL18A1,NCRNA00175	COL18A1	65	1
14_MACS_peak_14710_lociStitched	chr17	48033185	48075781	14	40745	56358.7676	4242.5616	66	DLX4,DLX3		DLX4	66	1
5_MACS_peak_24639_lociStitched	chr21	45907883	45943457	5	35426	56793.891	4756.2438	67	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	67	1
8_MACS_peak_23842_lociStitched	chr20	61169818	61209459	8	38969	55263.5181	3373.4491	68		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	68	1
8_MACS_peak_35409_lociStitched	chr9	136377524	136416903	8	37950	52858.4317	2669.8962	69	ADAMTSL2,TMEM8C	SLC2A6,FAM163B	ADAMTSL2	69	1
17_MACS_peak_17494_lociStitched	chr19	5842290	5888485	17	43794	56454.9095	6388.7685	70	FUT3,FUT5	NRTN,VMAC,CAPS,FUT6,NDUFA11	FUT5	70	1
4_MACS_peak_16295_lociStitched	chr17	79112626	79147456	4	34168	51691.203	2838.645	71	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	71	1
5_MACS_peak_9600_lociStitched	chr12	57585849	57620036	5	33781	52131.7563	3384.513	72	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	NXPH4	72	1
4_MACS_peak_28253_lociStitched	chr4	3471330	3499140	4	27542	50775.498	2502.9	73	DOK7	HGFAC,LRPAP1	DOK7	73	1
7_MACS_peak_1753_lociStitched	chr1	10755047	10791200	7	35502	51308.3376	3130.8498	74	CASZ1		CASZ1	74	1
2_MACS_peak_30289_lociStitched	chr6	31958317	31985318	2	26990	51023.7897	3013.3116	75	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	75	1
12_MACS_peak_35108_lociStitched	chr9	135053569	135094711	12	39703	51657.8952	3673.9806	76	NTNG2		NTNG2	76	1
8_MACS_peak_17225_lociStitched	chr19	4509779	4542025	8	31231	51667.7658	3869.52	77	PLIN4,PLIN5,LRG1	HDGFRP2,SEMA6B	PLIN4	77	1
7_MACS_peak_16783_lociStitched	chr19	1518077	1549491	7	30830	51588.0708	4011.5678	78	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	78	1
1_MACS_peak_23841_lociStitched	chr20	61141425	61168633	1	27209	48277.8752	1918.164	79	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR1-1	79	1
4_MACS_peak_1749_lociStitched	chr1	10722538	10753358	4	30498	48544.582	2625.864	80	CASZ1		CASZ1	80	1
8_MACS_peak_16734_lociStitched	chr19	822613	854529	8	30899	49648.5296	3766.088	81	AZU1,PRTN3,ELANE	PTBP1,MIR3187,CFD,LPPR3,MED16	PRTN3	81	1
17_MACS_peak_34974_lociStitched	chr9	133841985	133881085	17	37498	48906.28	3515.09	82		LAMC3,FIBCD1	LAMC3	82	1
5_MACS_peak_6758_lociStitched	chr11	1663526	1697380	5	32981	48472.1572	3530.9722	83	FAM99A,MOB2	KRTAP5-5,KRTAP5-6,KRTAP5-2,KRTAP5-3,KRTAP5-4,FAM99B	FAM99A	83	1
4_MACS_peak_31938_lociStitched	chr7	149470070	149497142	4	26646	48504.9024	3605.9904	84	SSPO,ZNF467	ZNF862	SSPO	84	1
6_MACS_peak_36272_lociStitched	chr9	139138118	139167016	6	28060	46875.4458	2609.4894	85		LHX3,QSOX2	QSOX2	85	1
8_MACS_peak_13046_lociStitched	chr17	1041392	1075776	8	33108	47498.0576	3455.592	86	ABR	ABR	ABR	86	1
4_MACS_peak_17213_lociStitched	chr19	4275726	4309486	4	33126	48448.976	4415.808	87	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	87	1
8_MACS_peak_33463_lociStitched	chr8	142359195	142395520	8	35686	46318.0075	2826.085	88	GPR20	LOC731779,PTP4A3	GPR20	88	1
9_MACS_peak_35_lociStitched	chr1	913416	945670	9	30911	46061.9374	2728.6884	89	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	89	1
7_MACS_peak_6602_lociStitched	chr11	1031650	1062569	7	29575	45228.3132	2451.8767	90	MUC6	MUC2	MUC6	90	1
4_MACS_peak_31981_lociStitched	chr7	150940729	150964199	4	22874	44675.145	3267.024	91	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	91	1
3_MACS_peak_17178_lociStitched	chr19	3924119	3952628	3	28414	44633.6904	3244.3242	92	ATCAY,ITGB1BP3	MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	92	1
4_MACS_peak_723_lociStitched	chr1	3505046	3536202	4	30703	43811.5672	2445.746	93	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	93	1
12_MACS_peak_36359_lociStitched	chr9	139923545	139953768	12	28098	43052.6635	2638.4679	94	C9orf139,FUT7,NPDC1,ENTPD2	LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,C9orf140,LOC100289341	NPDC1	94	1
8_MACS_peak_17513_lociStitched	chr19	5992488	6027932	8	34495	44886.2816	4614.8088	95	RFX2	RANBP3	RANBP3	95	1
12_MACS_peak_36204_lociStitched	chr9	138883808	138918891	12	32099	42759.1604	2508.4345	96	NACC2	UBAC1	UBAC1	96	1
15_MACS_peak_6743_lociStitched	chr11	1624860	1663022	15	34776	43844.3218	3980.2966	97	KRTAP5-5,MOB2,KRTAP5-3,KRTAP5-4	LOC338651,FAM99A,DUSP8,KRTAP5-1,KRTAP5-2,FAM99B	KRTAP5-4	97	1
17_MACS_peak_1912_lociStitched	chr1	11487234	11525836	17	36047	42751.715	3292.7506	98		PTCHD2	PTCHD2	98	1
4_MACS_peak_28201_lociStitched	chr4	1769696	1794869	4	25008	41248.4778	1940.8383	99		TACC3,FGFR3,TMEM129	FGFR3	99	1
2_MACS_peak_31622_lociStitched	chr7	100634053	100648911	2	14750	41748.0084	2739.8152	100	MUC12	MUC17	MUC17	100	1
9_MACS_peak_26953_lociStitched	chr22	46293462	46325189	9	29770	41032.5291	2243.0989	101	WNT7B		WNT7B	101	1
5_MACS_peak_24411_lociStitched	chr21	43776539	43803522	5	26579	42295.8525	3534.773	102	TFF1,TMPRSS3	UBASH3A,TFF3,TFF2	TFF1	102	1
3_MACS_peak_25078_lociStitched	chr22	20206974	20235508	3	27955	40909.1958	2296.987	103	RTN4R	LOC150197,MIR1286	MIR1286	103	1
6_MACS_peak_16102_lociStitched	chr17	77900609	77931135	6	29477	40602.6326	2304.713	104	TBC1D16		TBC1D16	104	1
3_MACS_peak_17189_lociStitched	chr19	4140699	4167268	3	26066	41596.4264	3395.5182	105	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	105	1
15_MACS_peak_35763_lociStitched	chr9	137682687	137717122	15	32504	40764.153	2606.7295	106	COL5A1	MIR3689B,MIR3689A	MIR3689B	106	1
10_MACS_peak_546_lociStitched	chr1	3030872	3063143	10	31102	39922.4541	1991.1207	107	PRDM16,MIR4251	FLJ42875	MIR4251	107	1
3_MACS_peak_16336_lociStitched	chr17	79373705	79398252	3	24534	39660.5879	1767.384	108	BAHCC1	MIR3186	BAHCC1	108	1
7_MACS_peak_17252_lociStitched	chr19	4734163	4765838	7	31040	42089.74	4247.6175	109		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	109	1
2_MACS_peak_27995_lociStitched	chr3	184278259	184303922	2	25409	41396.9853	3641.5797	110	EPHB3		EPHB3	110	1
7_MACS_peak_29931_lociStitched	chr5	176269874	176297937	7	27683	40374.2381	2637.922	111	UNC5A	HK3	HK3	111	1
5_MACS_peak_36182_lociStitched	chr9	138660862	138686876	5	25401	39549.0842	2065.5116	112	KCNT1		KCNT1	112	1
6_MACS_peak_13131_lociStitched	chr17	1828616	1858711	6	29427	39445.5165	2449.733	113	RTN4RL1		RTN4RL1	113	1
8_MACS_peak_5860_lociStitched	chr10	102492971	102516334	8	21736	39308.2475	2380.6897	114	PAX2		PAX2	114	1
12_MACS_peak_11451_lociStitched	chr16	3078294	3108733	12	27753	39616.3585	2763.8612	115	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	115	1
9_MACS_peak_36263_lociStitched	chr9	139068254	139096582	9	26754	38721.5432	1940.468	116	LHX3	QSOX2	LHX3	116	1
8_MACS_peak_36319_lociStitched	chr9	139627738	139653152	8	24225	38962.2034	2221.1836	117	LOC100128593,LCN10,LCN6,LCN8	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LCN15	LOC100128593	117	1
10_MACS_peak_35261_lociStitched	chr9	135851029	135883695	10	31610	39146.9344	2616.5466	118	GFI1B	GTF3C5,TSC1	GFI1B	118	1
12_MACS_peak_17196_lociStitched	chr19	4192930	4223313	12	29379	40637.2625	4490.6074	119	ANKRD24	CREB3L3,EBI3,CCDC94,SIRT6	EBI3	119	1
4_MACS_peak_15836_lociStitched	chr17	77241768	77270952	4	28972	38055.936	2244.2496	120	RBFOX3		ENGASE	120	1
3_MACS_peak_7010_lociStitched	chr11	2426350	2449565	3	23140	37794.02	2073.0995	121	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	121	1
8_MACS_peak_34814_lociStitched	chr9	132952264	132983109	8	29991	37803.632	2498.445	122	NCS1		NCS1	122	1
7_MACS_peak_22142_lociStitched	chr2	219845435	219871324	7	24621	37533.8722	2376.6102	123	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108	CRYBA2	123	1
26_MACS_peak_2473_lociStitched	chr1	17916339	17954361	26	34207	37809.0768	2965.716	124	ARHGEF10L		ARHGEF10L	124	1
16_MACS_peak_36144_lociStitched	chr9	138572687	138605880	16	31127	36950.4476	2346.7451	125	KCNT1,SOHLH1	LCN9,GLT6D1	SOHLH1	125	1
7_MACS_peak_34204_lociStitched	chr8	144944055	144970913	7	25377	36916.321	2481.6792	126	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	126	1
7_MACS_peak_16773_lociStitched	chr19	1490996	1513145	7	21640	37349.8587	2967.966	127	REEP6,ADAMTSL5	APC2,PLK5P,C19orf25,PCSK4	REEP6	127	1
14_MACS_peak_24007_lociStitched	chr20	61985948	62016499	14	28289	36257.9268	1906.3824	128	CHRNA4		CHRNA4	128	1
11_MACS_peak_36244_lociStitched	chr9	139013287	139042278	11	27971	36537.3573	2388.8584	129		NACC2,C9orf69	C9orf69	129	1
5_MACS_peak_6862_lociStitched	chr11	1937801	1960903	5	22144	35678.7288	1573.2462	130	TNNT3	LSP1,MRPL23	TNNT3	130	1
6_MACS_peak_7358_lociStitched	chr11	61471653	61500034	6	27392	36631.3567	2559.9662	131	DAGLA	C11orf9,DKFZP434K028	C11orf9	131	1
2_MACS_peak_25072_lociStitched	chr22	20151869	20176075	2	24203	35396.4338	1834.8148	132		RANBP1,ZDHHC8,LOC150197,TRMT2A	LOC150197	132	1
7_MACS_peak_20541_lociStitched	chr19	47903516	47930553	7	26219	36210.6541	2652.3297	133	MEIS3	SLC8A2	MEIS3	133	1
5_MACS_peak_21713_lociStitched	chr2	26790322	26814695	5	23253	36425.4485	2949.133	134	C2orf70,CIB4	OTOF	C2orf70	134	1
7_MACS_peak_20970_lociStitched	chr19	49918111	49946017	7	26831	35633.1714	2204.574	135	CCDC155,LOC645971,PTH2,SLC17A7	ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	135	1
6_MACS_peak_30228_lociStitched	chr6	30411118	30435851	6	24040	36894.2161	3509.6127	136		HLA-E	HLA-E	136	1
7_MACS_peak_6644_lociStitched	chr11	1238299	1267138	7	27969	35316.2394	1981.2393	137	MUC5B		MUC5B	137	1
2_MACS_peak_27916_lociStitched	chr3	128197654	128216680	2	18953	35078.2362	1879.7688	138	GATA2	LOC90246,DNAJB8	GATA2	138	1
9_MACS_peak_35096_lociStitched	chr9	135020454	135049286	9	27242	35645.0016	2776.5216	139	NTNG2		NTNG2	139	1
5_MACS_peak_1780_lociStitched	chr1	10863472	10892147	5	27871	35350.54	2540.605	140		CASZ1	CASZ1	140	1
6_MACS_peak_31975_lociStitched	chr7	150881962	150905385	6	22824	35420.2606	3077.7822	141	ASB10,ABCF2	CHPF2,MIR671,GBX1,SMARCD3	ASB10	141	1
12_MACS_peak_2123_lociStitched	chr1	16432619	16462624	12	28255	34766.7935	2460.41	142	EPHA2	FAM131C	EPHA2	142	1
9_MACS_peak_34581_lociStitched	chr9	129441185	129468205	9	25385	34888.224	2612.834	143	LMX1B		LMX1B	143	1
14_MACS_peak_11175_lociStitched	chr16	859430	887272	14	26026	34301.344	2235.7126	144	PRR25	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	144	1
2_MACS_peak_11283_lociStitched	chr16	1204250	1224396	2	20070	33182.4766	1128.176	145	CACNA1H		CACNA1H	145	1
8_MACS_peak_24880_lociStitched	chr21	47404141	47425689	8	20207	33914.3972	2001.8092	146	COL6A1		COL6A1	146	1
6_MACS_peak_35386_lociStitched	chr9	136297247	136323943	6	25934	34018.7128	2159.7064	147	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	147	1
3_MACS_peak_22198_lociStitched	chr2	220374355	220398899	3	24209	33873.1744	2096.0576	148	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	148	1
4_MACS_peak_3295_lociStitched	chr1	21909391	21933521	4	23775	33692.719	1925.574	149	RAP1GAP		RAP1GAP	149	1
12_MACS_peak_656_lociStitched	chr1	3297193	3325166	12	26465	33450.1134	1711.9476	150	PRDM16	ARHGEF16	ARHGEF16	150	1
11_MACS_peak_18997_lociStitched	chr19	18090346	18118974	11	26998	34113.1248	2401.8892	151	KCNN1,ARRDC2	CCDC124,ARRDC2	ARRDC2	151	1
8_MACS_peak_16054_lociStitched	chr17	77740382	77766569	8	24914	33854.5536	2390.8731	152	CBX2	ENPP7,CBX8,CBX4	CBX2	152	1
7_MACS_peak_20497_lociStitched	chr19	47116818	47144496	7	26913	34683.3018	3290.9142	153	PTGIR,GNG8	CALM3,DACT3	PTGIR	153	1
2_MACS_peak_4829_lociStitched	chr1	156860031	156880677	2	20215	34332.2334	3003.993	154	PEAR1	NTRK1,C1orf92,INSRR,MIR765	PEAR1	154	1
10_MACS_peak_20889_lociStitched	chr19	49538530	49563662	10	23691	33561.2728	2319.6836	155	SNAR-G1,CGB5,CGB1,CGB8,CGB7	RUVBL2,CGB2,SNRNP70,GYS1,LHB,CGB,SNAR-G2,NTF4,KCNA7	CGB8	155	1
10_MACS_peak_26747_lociStitched	chr22	45326467	45356962	10	29161	33413.3715	2262.729	156	PHF21B		PHF21B	156	1
5_MACS_peak_36234_lociStitched	chr9	138962590	138986741	5	23135	32656.9822	1796.8344	157	NACC2	C9orf69	NACC2	157	1
4_MACS_peak_16302_lociStitched	chr17	79273426	79294307	4	20264	32363.4619	1568.1631	158	C17orf55,TMEM105	SLC38A10	C17orf55	158	1
6_MACS_peak_11329_lociStitched	chr16	1567630	1590329	6	21847	32323.376	1600.2795	159	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	159	1
4_MACS_peak_24597_lociStitched	chr21	45699324	45717546	4	17389	32415.1158	1782.1116	160	AIRE	PFKL,ICOSLG,DNMT3L,C21orf2	AIRE	160	1
7_MACS_peak_9526_lociStitched	chr12	54390254	54411832	7	20584	32714.4058	2099.5394	161	HOXC9,HOXC8,HOXC6,HOXC5,HOXC4	HOXC12,HOXC11,HOXC10,MIR196A2,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825,HOTAIR	HOXC8	161	1
8_MACS_peak_13262_lociStitched	chr17	4480401	4505066	8	23027	32880.9115	2271.6465	162	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	162	1
4_MACS_peak_24401_lociStitched	chr21	43721214	43743674	4	21974	33876.418	3294.882	163	TFF3	TFF2,TFF1	TFF3	163	1
6_MACS_peak_7278_lociStitched	chr11	61287785	61313471	6	25254	32939.7264	2411.9154	164	SYT7	C11orf66,LRRC10B	LRRC10B	164	1
