#OPM-2 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/OPM-2.H3K27ac_ROSE/OPM-2_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by OPM.2.jin.bam
#Using cutoff of 15890.0778 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OPM.2.jin.bam	enhancerRank	isSuper
1_MACS_peak_30832_lociStitched	chrX	153233784	153239582	1	5799	35430.4184	145	1
1_MACS_peak_3690_lociStitched	chr10	74090647	74097170	1	6524	35396.4072	146	1
1_MACS_peak_1473_lociStitched	chr1	150205807	150209725	1	3919	35339.9682	147	1
2_MACS_peak_14250_lociStitched	chr19	39171795	39178159	2	6114	35278.1976	148	1
2_MACS_peak_3238_lociStitched	chr10	22285980	22295063	2	9050	35113.9697	149	1
4_MACS_peak_24156_lociStitched	chr6	26357072	26367824	4	10452	34997.76	150	1
3_MACS_peak_15293_lociStitched	chr2	47534968	47541662	3	6074	34882.434	151	1
3_MACS_peak_14348_lociStitched	chr19	42035047	42045157	3	9521	34870.401	152	1
1_MACS_peak_22217_lociStitched	chr4	185392809	185397472	1	4664	34861.0543	153	1
1_MACS_peak_9127_lociStitched	chr14	106326940	106330509	1	3570	34755.2789	154	1
3_MACS_peak_17838_lociStitched	chr20	62364120	62373115	3	8494	34593.8705	155	1
1_MACS_peak_9035_lociStitched	chr14	102340902	102347293	1	6392	34554.2197	156	1
1_MACS_peak_22218_lociStitched	chr4	185454319	185460785	1	6467	34507.1022	157	1
2_MACS_peak_28336_lociStitched	chr8	126779618	126789587	2	9867	34183.701	158	1
1_MACS_peak_5564_lociStitched	chr11	111238587	111245899	1	7313	34155.0832	159	1
1_MACS_peak_16067_lociStitched	chr2	133023016	133027589	1	4574	33930.2881	160	1
3_MACS_peak_8948_lociStitched	chr14	94473852	94481496	3	7143	33784.9512	161	1
2_MACS_peak_27497_lociStitched	chr8	29464355	29474863	2	10383	33780.0676	162	1
1_MACS_peak_16969_lociStitched	chr2	234873258	234877960	1	4703	33712.8698	163	1
2_MACS_peak_12610_lociStitched	chr17	74257926	74265704	2	7598	33695.8516	164	1
1_MACS_peak_3688_lociStitched	chr10	74078059	74082985	1	4927	33514.5336	165	1
4_MACS_peak_18607_lociStitched	chr22	37609994	37618408	4	8233	33492.7684	166	1
2_MACS_peak_4704_lociStitched	chr11	30600494	30609558	2	8949	33443.4408	167	1
3_MACS_peak_10497_lociStitched	chr16	14497823	14503900	3	5586	33364.5531	168	1
1_MACS_peak_18470_lociStitched	chr22	29212543	29221403	1	8861	33337.522	169	1
1_MACS_peak_1626_lociStitched	chr1	155531094	155534313	1	3220	33247.7634	170	1
3_MACS_peak_19291_lociStitched	chr3	46129770	46141116	3	11061	33244.9146	171	1
3_MACS_peak_8937_lociStitched	chr14	94422602	94431127	3	8361	33099.165	172	1
1_MACS_peak_14276_lociStitched	chr19	39891630	39895733	1	4104	32863.3888	173	1
1_MACS_peak_2743_lociStitched	chr1	230256090	230262290	1	6201	32752.74	174	1
3_MACS_peak_12009_lociStitched	chr17	38473947	38483616	3	9463	32680.2531	175	1
3_MACS_peak_1821_lociStitched	chr1	163792870	163799958	3	6956	32625.3552	176	1
1_MACS_peak_17837_lociStitched	chr20	62357843	62363356	1	5514	32608.2924	177	1
1_MACS_peak_13875_lociStitched	chr19	12899145	12905792	1	6648	32544.3767	178	1
1_MACS_peak_25894_lociStitched	chr7	26238864	26242718	1	3855	32466.4814	179	1
2_MACS_peak_15527_lociStitched	chr2	70312697	70316883	2	4036	32446.5232	180	1
4_MACS_peak_30314_lociStitched	chrX	58265031	58278797	4	13382	32209.6868	181	1
6_MACS_peak_26479_lociStitched	chr7	92454061	92466708	6	12123	32147.4093	182	1
2_MACS_peak_25208_lociStitched	chr6	130003102	130010948	2	7600	32108.1858	183	1
1_MACS_peak_13003_lociStitched	chr18	14931385	14937691	1	6307	32092.4952	184	1
2_MACS_peak_18376_lociStitched	chr22	23477796	23485233	2	7242	32072.8062	185	1
2_MACS_peak_17311_lociStitched	chr20	25275036	25282578	2	7282	32048.9748	186	1
1_MACS_peak_30296_lociStitched	chrX	58147215	58159822	1	12608	31989.0018	187	1
2_MACS_peak_1685_lociStitched	chr1	157101485	157109369	2	7849	31783.5576	188	1
2_MACS_peak_22326_lociStitched	chr5	1495802	1502497	2	6676	31781.165	189	1
1_MACS_peak_1628_lociStitched	chr1	155656836	155659917	1	3082	31774.353	190	1
1_MACS_peak_11536_lociStitched	chr17	8149486	8154103	1	4618	31755.2643	191	1
1_MACS_peak_11719_lociStitched	chr17	20942980	20947908	1	4929	31753.568	192	1
1_MACS_peak_2004_lociStitched	chr1	179049562	179053542	1	3981	31642.194	193	1
3_MACS_peak_13736_lociStitched	chr19	7400210	7406661	3	6251	31526.037	194	1
4_MACS_peak_23928_lociStitched	chr6	7959677	7969488	4	9246	31364.7859	195	1
1_MACS_peak_15654_lociStitched	chr2	86261954	86266926	1	4973	31154.552	196	1
4_MACS_peak_29392_lociStitched	chr9	112903421	112916122	4	12252	31102.2088	197	1
1_MACS_peak_14471_lociStitched	chr19	47216624	47222978	1	6355	31041.1962	198	1
1_MACS_peak_21596_lociStitched	chr4	103746432	103750791	1	4360	31024.3107	199	1
1_MACS_peak_1850_lociStitched	chr1	165796551	165799417	1	2867	30997.5096	200	1
1_MACS_peak_14536_lociStitched	chr19	49375451	49381105	1	5655	30902.5024	201	1
1_MACS_peak_17541_lociStitched	chr20	42308703	42312351	1	3649	30886.5216	202	1
5_MACS_peak_7242_lociStitched	chr12	123355475	123369003	5	12862	30847.8984	203	1
1_MACS_peak_4349_lociStitched	chr11	267503	271571	1	4069	30839.9148	204	1
2_MACS_peak_23401_lociStitched	chr5	138722856	138730596	2	7735	30709.224	205	1
2_MACS_peak_5565_lociStitched	chr11	111246483	111251926	2	5439	30647.9001	206	1
1_MACS_peak_8538_lociStitched	chr14	64969169	64972860	1	3692	30647.4803	207	1
1_MACS_peak_1508_lociStitched	chr1	151253180	151255937	1	2758	30590.5692	208	1
4_MACS_peak_4644_lociStitched	chr11	22685427	22693693	4	8153	30530.471	209	1
2_MACS_peak_2089_lociStitched	chr1	184458926	184466756	2	7713	30372.57	210	1
2_MACS_peak_11879_lociStitched	chr17	34415453	34422550	2	6840	30372.3212	211	1
1_MACS_peak_4755_lociStitched	chr11	34878497	34885374	1	6878	30304.1882	212	1
4_MACS_peak_29490_lociStitched	chr9	123634343	123641247	4	6695	30296.8232	213	1
1_MACS_peak_3851_lociStitched	chr10	90143828	90150592	1	6765	30286.4864	214	1
1_MACS_peak_13294_lociStitched	chr18	49917449	49924598	1	7150	30279.5895	215	1
1_MACS_peak_13598_lociStitched	chr19	2392879	2396893	1	4015	30220.2018	216	1
3_MACS_peak_5599_lociStitched	chr11	113055295	113062503	3	6943	30218.0984	217	1
2_MACS_peak_24547_lociStitched	chr6	45386183	45394844	2	8634	30155.8698	218	1
2_MACS_peak_27494_lociStitched	chr8	29410629	29416795	2	6126	30135.7084	219	1
1_MACS_peak_10896_lociStitched	chr16	56948238	56953142	1	4905	30135.08	220	1
1_MACS_peak_8636_lociStitched	chr14	69257914	69263413	1	5500	30065.7825	221	1
1_MACS_peak_13153_lociStitched	chr18	42258913	42263749	1	4837	30041.7156	222	1
4_MACS_peak_25008_lociStitched	chr6	108878427	108886855	4	7737	30025.5928	223	1
1_MACS_peak_9776_lociStitched	chr15	69108925	69114238	1	5314	30008.8866	224	1
1_MACS_peak_21807_lociStitched	chr4	129730371	129734694	1	4324	29975.2497	225	1
1_MACS_peak_3081_lociStitched	chr10	11204156	11210560	1	6405	29801.6544	226	1
1_MACS_peak_25333_lociStitched	chr6	143264607	143269291	1	4685	29780.872	227	1
2_MACS_peak_14254_lociStitched	chr19	39338819	39343934	2	5050	29750.886	228	1
1_MACS_peak_20761_lociStitched	chr4	2413252	2416670	1	3419	29667.5564	229	1
2_MACS_peak_2999_lociStitched	chr10	3663930	3670407	2	6449	29618.6733	230	1
2_MACS_peak_22595_lociStitched	chr5	39073074	39078777	2	5677	29571.7659	231	1
1_MACS_peak_26609_lociStitched	chr7	101946501	101952641	1	6141	29546.294	232	1
1_MACS_peak_1600_lociStitched	chr1	154945473	154949418	1	3946	29391.4335	233	1
1_MACS_peak_2947_lociStitched	chr1	249131490	249133992	1	2503	29383.7382	234	1
2_MACS_peak_11636_lociStitched	chr17	17738363	17744758	2	6215	29275.031	235	1
3_MACS_peak_5366_lociStitched	chr11	82677908	82684005	3	6045	29129.0272	236	1
1_MACS_peak_1137_lociStitched	chr1	92947961	92954199	1	6239	29043.5042	237	1
2_MACS_peak_26643_lociStitched	chr7	103411580	103418647	2	7061	28889.1893	238	1
2_MACS_peak_4882_lociStitched	chr11	58343762	58348126	2	4324	28866.1144	239	1
1_MACS_peak_11101_lociStitched	chr16	70769538	70774835	1	5298	28779.1307	240	1
3_MACS_peak_22638_lociStitched	chr5	43037289	43043756	3	6261	28469.0274	241	1
1_MACS_peak_7728_lociStitched	chr13	50697140	50701105	1	3966	28429.05	242	1
2_MACS_peak_24174_lociStitched	chr6	26532658	26540491	2	7809	28345.2771	243	1
2_MACS_peak_22938_lociStitched	chr5	81145977	81153590	2	7502	28299.8049	244	1
4_MACS_peak_20237_lociStitched	chr3	151984006	151993652	4	9139	28299.4348	245	1
1_MACS_peak_27388_lociStitched	chr8	22297522	22302819	1	5298	28275.9157	246	1
1_MACS_peak_14474_lociStitched	chr19	47286770	47291899	1	5130	28222.8354	247	1
3_MACS_peak_4235_lociStitched	chr10	125154917	125163356	3	7976	28184.5722	248	1
5_MACS_peak_2230_lociStitched	chr1	194795716	194803368	5	7156	28075.9532	249	1
3_MACS_peak_11525_lociStitched	chr17	8053464	8060759	3	7103	28058.029	250	1
2_MACS_peak_8142_lociStitched	chr13	115042110	115048730	2	6617	28036.362	251	1
1_MACS_peak_27107_lociStitched	chr7	150064003	150068198	1	4196	28026.3755	252	1
3_MACS_peak_21278_lociStitched	chr4	71759591	71765351	3	5607	28000.512	253	1
2_MACS_peak_2740_lociStitched	chr1	230239020	230247050	2	7932	27869.721	254	1
2_MACS_peak_23005_lociStitched	chr5	88564069	88569781	2	5487	27867.1344	255	1
2_MACS_peak_17696_lociStitched	chr20	52205136	52214027	2	8853	27782.5968	256	1
2_MACS_peak_2282_lociStitched	chr1	198897868	198907026	2	8940	27777.1298	257	1
3_MACS_peak_2426_lociStitched	chr1	206883377	206892254	3	8442	27573.7374	258	1
3_MACS_peak_22272_lociStitched	chr4	187747974	187754976	3	6439	27484.9506	259	1
2_MACS_peak_5073_lociStitched	chr11	65353536	65357558	2	3607	27443.7148	260	1
1_MACS_peak_19510_lociStitched	chr3	61545916	61551116	1	5201	27293.24	261	1
1_MACS_peak_28405_lociStitched	chr8	134579381	134585729	1	6349	27288.1476	262	1
2_MACS_peak_28312_lociStitched	chr8	126292223	126300091	2	7718	27205.1836	263	1
2_MACS_peak_23747_lociStitched	chr5	176852043	176860096	2	7747	27143.4418	264	1
1_MACS_peak_7777_lociStitched	chr13	53440024	53446526	1	6503	27103.587	265	1
4_MACS_peak_24186_lociStitched	chr6	27094397	27102761	4	8151	27072.5952	266	1
2_MACS_peak_6583_lociStitched	chr12	57912973	57917682	2	4660	27042.3743	267	1
1_MACS_peak_6993_lociStitched	chr12	109025477	109031175	1	5699	26957.238	268	1
3_MACS_peak_5759_lociStitched	chr11	122931041	122936120	3	4775	26931.9054	269	1
2_MACS_peak_17674_lociStitched	chr20	49568968	49576192	2	7224	26894.952	270	1
2_MACS_peak_1634_lociStitched	chr1	155909721	155918112	2	8351	26876.373	271	1
1_MACS_peak_22581_lociStitched	chr5	37796792	37803233	1	6442	26805.5097	272	1
2_MACS_peak_8201_lociStitched	chr14	23021792	23028529	2	6470	26756.6692	273	1
2_MACS_peak_5867_lociStitched	chr11	132225208	132231353	2	5856	26708.628	274	1
2_MACS_peak_21380_lociStitched	chr4	78735866	78742821	2	6934	26668.252	275	1
1_MACS_peak_5631_lociStitched	chr11	115089475	115095840	1	6366	26592.3335	276	1
2_MACS_peak_6902_lociStitched	chr12	98908280	98914726	2	6218	26534.959	277	1
2_MACS_peak_1630_lociStitched	chr1	155826422	155830683	2	3912	26357.6938	278	1
1_MACS_peak_13167_lociStitched	chr18	42336201	42342795	1	6595	26334.4578	279	1
1_MACS_peak_4739_lociStitched	chr11	34620290	34624696	1	4407	26329.3748	280	1
2_MACS_peak_5153_lociStitched	chr11	67054161	67057756	2	3497	26321.5115	281	1
2_MACS_peak_11243_lociStitched	chr16	84537558	84543836	2	5960	26320.515	282	1
2_MACS_peak_18356_lociStitched	chr22	23246939	23254535	2	7333	26289.756	283	1
2_MACS_peak_24190_lociStitched	chr6	27105979	27115887	2	9601	26281.9608	284	1
1_MACS_peak_13867_lociStitched	chr19	12721028	12725715	1	4688	26221.4215	285	1
1_MACS_peak_9710_lociStitched	chr15	65183595	65188714	1	5120	26213.3752	286	1
2_MACS_peak_24969_lociStitched	chr6	106588363	106595295	2	6637	26207.8124	287	1
1_MACS_peak_4125_lociStitched	chr10	112113683	112119473	1	5791	26183.538	288	1
1_MACS_peak_12528_lociStitched	chr17	70608635	70613433	1	4799	26028.1904	289	1
9_MACS_peak_22468_lociStitched	chr5	26872336	26886138	9	13124	26025.0512	290	1
1_MACS_peak_5253_lociStitched	chr11	72427579	72434410	1	6832	26002.8846	291	1
1_MACS_peak_18412_lociStitched	chr22	24822220	24826626	1	4407	25979.0978	292	1
1_MACS_peak_1676_lociStitched	chr1	156716189	156722506	1	6318	25969.8187	293	1
2_MACS_peak_4751_lociStitched	chr11	34838692	34849536	2	10708	25917.16	294	1
2_MACS_peak_3047_lociStitched	chr10	6966548	6971844	2	5264	25890.0256	295	1
1_MACS_peak_1372_lociStitched	chr1	143912011	143919396	1	7386	25846.023	296	1
6_MACS_peak_23623_lociStitched	chr5	162737281	162747073	6	9289	25813.6704	297	1
2_MACS_peak_8133_lociStitched	chr13	114863591	114871262	2	7419	25699.3842	298	1
1_MACS_peak_27009_lociStitched	chr7	139042932	139046252	1	3321	25692.816	299	1
2_MACS_peak_19296_lociStitched	chr3	46148114	46155023	2	6536	25688.3529	300	1
1_MACS_peak_17542_lociStitched	chr20	42377997	42382593	1	4597	25639.7052	301	1
3_MACS_peak_29178_lociStitched	chr9	94181153	94189053	3	7426	25607.85	302	1
2_MACS_peak_18024_lociStitched	chr21	34447835	34453892	2	5965	25509.0555	303	1
