REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OPM.2.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_29147_lociStitched	chr9	93676231	93690196	6	13527	40768.0245	36	1			SYK	SYK	NONE	36	1
5_MACS_peak_27660_lociStitched	chr8	42741394	42754431	5	12651	50368.4495	37	1	HOOK3,RNF170	THAP1	RNF170	RNF170	1.4874	37	1
1_MACS_peak_5950_lociStitched	chr12	4377812	4388355	1	10544	69830.5062	38	1	CCND2	C12orf5	CCND2	CCND2	1.8323	38	1
4_MACS_peak_30314_lociStitched	chrX	58265031	58278797	4	13382	32209.6868	39	1			ZXDA	ZXDA	NONE	39	1
4_MACS_peak_11609_lociStitched	chr17	16872172	16884722	4	12211	48822.01	40	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.243	40	1
5_MACS_peak_18034_lociStitched	chr21	34599399	34613083	5	12717	41733.4632	41	1	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.087	41	1
1_MACS_peak_12324_lociStitched	chr17	56407870	56417779	1	9910	67895.4771	42	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	MIR142	2.6251	42	1
3_MACS_peak_5992_lociStitched	chr12	7059710	7070683	3	10873	59882.9529	43	1	PTPN6	LRRC23,ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	MIR200C	3.3668	43	1
4_MACS_peak_21263_lociStitched	chr4	71539166	71551153	4	11131	56005.6614	44	1		ENAM,UTP3,RUFY3,IGJ	UTP3	IGJ	4.3752	44	1
9_MACS_peak_22468_lociStitched	chr5	26872336	26886138	9	13124	26025.0512	45	1	CDH9		CDH9	CDH9	0.1669	45	1
1_MACS_peak_30291_lociStitched	chrX	58123453	58135977	1	12525	37010.9248	46	1			ZXDA	ZXDA	NONE	46	1
5_MACS_peak_7242_lociStitched	chr12	123355475	123369003	5	12862	30847.8984	47	1	VPS37B	HIP1R	VPS37B	VPS37B	2.4638	47	1
5_MACS_peak_27079_lociStitched	chr7	148394754	148407711	5	12491	37040.1759	48	1	CUL1		CUL1	CUL1	0.6749	48	1
2_MACS_peak_11614_lociStitched	chr17	16887889	16895893	2	7952	76594.278	49	1		TNFRSF13B	TNFRSF13B	TNFRSF13B	1.243	49	1
4_MACS_peak_9198_lociStitched	chr15	23658094	23670111	4	11629	48165.3377	50	1			MKRN3	MKRN3	NONE	50	1
1_MACS_peak_30296_lociStitched	chrX	58147215	58159822	1	12608	31989.0018	52	1			ZXDA	ZXDA	NONE	52	1
2_MACS_peak_29171_lociStitched	chr9	93920258	93929311	2	8647	71506.0258	53	1			LOC100129316	LOC100129316	NONE	53	1
5_MACS_peak_7209_lociStitched	chr12	122231705	122243592	5	11505	48012.7817	54	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	2.7336	54	1
4_MACS_peak_26654_lociStitched	chr7	104575830	104587301	4	11271	49957.3521	55	1		LOC723809	LOC723809	LOC723809	0.6285	55	1
3_MACS_peak_19952_lociStitched	chr3	124500414	124513137	3	12103	38891.6664	56	1	ITGB5		UMPS	UMPS	NONE	56	1
2_MACS_peak_12127_lociStitched	chr17	43298278	43309020	2	10722	55183.8024	57	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.6925	57	1
4_MACS_peak_29392_lociStitched	chr9	112903421	112916122	4	12252	31102.2088	58	1	PALM2-AKAP2,AKAP2		AKAP2	AKAP2	0.6765	58	1
6_MACS_peak_26479_lociStitched	chr7	92454061	92466708	6	12123	32147.4093	59	1	CDK6		CDK6	CDK6	0.4734	59	1
2_MACS_peak_23817_lociStitched	chr6	291076	301307	2	10220	54644.7941	60	1	DUSP22		DUSP22	DUSP22	2.6233	60	1
1_MACS_peak_23826_lociStitched	chr6	389069	400596	1	11528	37717.4967	61	1	IRF4		IRF4	IRF4	1.521	61	1
3_MACS_peak_15773_lociStitched	chr2	99074508	99085032	3	10095	47871.5712	62	1	INPP4A		INPP4A	INPP4A	1.1916	62	1
2_MACS_peak_24850_lociStitched	chr6	90059349	90069930	2	10446	43979.9265	63	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.1598	63	1
1_MACS_peak_1638_lociStitched	chr1	155944122	155952030	1	7909	64587.7992	64	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	2.4632	64	1
4_MACS_peak_5829_lociStitched	chr11	128587329	128598290	4	10507	42797.2245	65	1	FLI1		FLI1	FLI1	0.5779	65	1
4_MACS_peak_12524_lociStitched	chr17	70591919	70603093	4	10358	44288.149	66	1	FLJ26484	LOC100499467	LOC100499467	LOC100499467	0.1573	66	1
3_MACS_peak_19291_lociStitched	chr3	46129770	46141116	3	11061	33244.9146	67	1			XCR1	XCR1	NONE	67	1
3_MACS_peak_21087_lociStitched	chr4	40191739	40203288	3	10878	36016.7114	68	1	RHOH		RHOH	RHOH	0.7771	68	1
1_MACS_peak_8769_lociStitched	chr14	77487531	77495982	1	8452	59801.8113	69	1	C14orf4		C14orf4	C14orf4	4.4991	69	1
1_MACS_peak_8132_lociStitched	chr13	114829189	114836024	1	6836	68571.454	70	1	RASA3		RASA3	RASA3	0.6804	70	1
2_MACS_peak_17555_lociStitched	chr20	42693688	42702050	2	8269	60158.7366	71	1	TOX2		JPH2	JPH2	NONE	71	1
3_MACS_peak_20455_lociStitched	chr3	178228699	178239406	3	10386	40216.5627	72	1		KCNMB2	KCNMB2	KCNMB2	0.1341	72	1
2_MACS_peak_3248_lociStitched	chr10	22623889	22634271	2	10359	40011.1898	73	1		COMMD3,BMI1,SPAG6	SPAG6	COMMD3	5.4113	73	1
1_MACS_peak_23822_lociStitched	chr6	314381	324726	1	10346	39559.28	74	1	DUSP22		DUSP22	DUSP22	2.6233	74	1
3_MACS_peak_13803_lociStitched	chr19	10521811	10532511	3	10230	40851.53	75	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	MIR1181	0.6995	75	1
2_MACS_peak_10556_lociStitched	chr16	17433988	17443562	2	9389	49705.3358	76	1	XYLT1		XYLT1	XYLT1	0.5505	76	1
4_MACS_peak_24156_lociStitched	chr6	26357072	26367824	4	10452	34997.76	77	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.1324	77	1
3_MACS_peak_4748_lociStitched	chr11	34803787	34814117	3	10223	38073.281	78	1			PDHX	PDHX	NONE	78	1
1_MACS_peak_11295_lociStitched	chr16	87805742	87814713	1	8972	50512.1126	79	1		KLHDC4	KLHDC4	KLHDC4	0.3576	79	1
2_MACS_peak_1754_lociStitched	chr1	161149045	161157598	2	8549	53924.0991	80	1		UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,B4GALT3,ADAMTS4,APOA2	B4GALT3	ADAMTS4	2.2612	80	1
1_MACS_peak_26665_lociStitched	chr7	104649632	104656929	1	7298	62060.985	81	1	MLL5,LOC100216545		LOC100216545	LOC100216545	4.7421	81	1
5_MACS_peak_5732_lociStitched	chr11	120365374	120375011	5	9255	47495.9545	82	1			GRIK4	GRIK4	NONE	82	1
2_MACS_peak_27497_lociStitched	chr8	29464355	29474863	2	10383	33780.0676	83	1			C8orf75	C8orf75	0.3165	83	1
1_MACS_peak_6480_lociStitched	chr12	53591589	53601353	1	9765	40318.4852	84	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	1.9173	84	1
2_MACS_peak_4751_lociStitched	chr11	34838692	34849536	2	10708	25917.16	85	1			PDHX	PDHX	NONE	85	1
3_MACS_peak_17567_lociStitched	chr20	43270535	43281081	3	10029	36547.163	86	1	ADA	LOC79015	ADA	ADA	0.9556	86	1
2_MACS_peak_1483_lociStitched	chr1	150533193	150541804	2	8607	50630.0967	87	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.4161	87	1
1_MACS_peak_1466_lociStitched	chr1	149855063	149861129	1	6067	66130.9254	88	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	HIST2H2BC	5.8899	88	1
1_MACS_peak_1463_lociStitched	chr1	149810665	149817389	1	6725	62204.3964	89	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AC	6.4802	89	1
2_MACS_peak_14124_lociStitched	chr19	29092582	29102191	2	9515	40283.8107	90	1			LOC148145	LOC148145	NONE	90	1
3_MACS_peak_27041_lociStitched	chr7	141254837	141265121	3	9666	38123.8164	91	1	AGK		AGK	AGK	0.5869	91	1
1_MACS_peak_24298_lociStitched	chr6	31701588	31709355	1	7768	54993.4668	92	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	CLIC1	3.6277	92	1
2_MACS_peak_28336_lociStitched	chr8	126779618	126789587	2	9867	34183.701	93	1			TRIB1	TRIB1	2.9583	93	1
1_MACS_peak_23819_lociStitched	chr6	302141	310305	1	8165	51027.4492	94	1	DUSP22		DUSP22	DUSP22	2.6233	94	1
3_MACS_peak_21338_lociStitched	chr4	77220864	77230272	3	9060	42714.2016	95	1	STBD1	FAM47E	STBD1	STBD1	2.6728	95	1
2_MACS_peak_1657_lociStitched	chr1	156192205	156200635	2	8228	49758.075	96	1	PMF1	SLC25A44,BGLAP,PAQR6	PMF1	PMF1	2.3249	96	1
2_MACS_peak_24563_lociStitched	chr6	45673859	45683580	2	9440	37360.7193	97	1			RUNX2	RUNX2	0.3451	97	1
2_MACS_peak_3277_lociStitched	chr10	24737129	24747474	2	10308	23457.2875	98	1	KIAA1217		MIR603	MIR603	NONE	98	1
1_MACS_peak_14352_lociStitched	chr19	42051628	42060754	1	9127	40814.2098	99	1		CEACAM21	CEACAM21	CEACAM21	0.0703	99	1
1_MACS_peak_28326_lociStitched	chr8	126440721	126448813	1	8093	50146.124	100	1	TRIB1		TRIB1	TRIB1	2.9583	100	1
1_MACS_peak_5946_lociStitched	chr12	4224846	4231266	1	6421	60552.156	101	1			CCND2	CCND2	1.8323	101	1
5_MACS_peak_2463_lociStitched	chr1	209275239	209285071	5	9024	41217.7104	102	1			LOC642587	LOC642587	NONE	102	1
3_MACS_peak_14348_lociStitched	chr19	42035047	42045157	3	9521	34870.401	103	1		CEACAM21	CEACAM21	CEACAM21	0.0703	103	1
2_MACS_peak_17548_lociStitched	chr20	42576255	42585687	2	9408	35641.6416	104	1	TOX2		TOX2	TOX2	0.8658	104	1
2_MACS_peak_7287_lociStitched	chr12	125398322	125406874	2	8484	45213.5688	105	1	UBC	SCARB1	UBC	UBC	2.8718	105	1
1_MACS_peak_2070_lociStitched	chr1	183808791	183816687	1	7897	49251.3	106	1	RGL1		APOBEC4	APOBEC4	NONE	106	1
3_MACS_peak_12009_lociStitched	chr17	38473947	38483616	3	9463	32680.2531	107	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.7094	107	1
7_MACS_peak_24203_lociStitched	chr6	27772479	27783306	7	10031	22944.5784	108	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BL,HIST1H2AJ	HIST1H4J,HIST1H2BN,HIST1H2AL,HIST1H4K,HIST1H2AK	HIST1H3H	HIST1H2AK	2.2501	108	1
1_MACS_peak_18688_lociStitched	chr22	39837460	39846111	1	8652	41671.0019	109	1		TAB1,MGAT3	MGAT3	TAB1	0.2546	109	1
3_MACS_peak_2552_lociStitched	chr1	218336102	218343844	3	7662	49479.8962	110	1			RRP15	RRP15	NONE	110	1
6_MACS_peak_10182_lociStitched	chr15	101736535	101745278	6	7808	47784.8665	111	1	CHSY1		CHSY1	CHSY1	0.822	111	1
2_MACS_peak_3238_lociStitched	chr10	22285980	22295063	2	9050	35113.9697	112	1	DNAJC1		DNAJC1	DNAJC1	0.4362	112	1
1_MACS_peak_1464_lociStitched	chr1	149820440	149826386	1	5947	59159.1324	113	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	6.4802	113	1
2_MACS_peak_24748_lociStitched	chr6	79780125	79790200	2	9738	24159.85	114	1	PHIP		PHIP	PHIP	0.2375	114	1
2_MACS_peak_24190_lociStitched	chr6	27105979	27115887	2	9601	26281.9608	115	1	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2AG,HIST1H2BJ	HIST1H2BK	HIST1H2BJ	2.5931	115	1
2_MACS_peak_339_lociStitched	chr1	23850607	23858526	2	7912	46091.7476	116	1	E2F2	ASAP3,ID3	E2F2	E2F2	1.484	116	1
4_MACS_peak_23928_lociStitched	chr6	7959677	7969488	4	9246	31364.7859	117	1	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	4.1016	117	1
2_MACS_peak_2263_lociStitched	chr1	197739262	197748004	2	8425	41006.0994	118	1	DENND1B		DENND1B	DENND1B	0.2446	118	1
1_MACS_peak_5227_lociStitched	chr11	70501400	70509903	1	8504	39791.4891	119	1	SHANK2		SHANK2	SHANK2	0.4554	119	1
2_MACS_peak_4704_lociStitched	chr11	30600494	30609558	2	8949	33443.4408	120	1	MPPED2		MPPED2	MPPED2	0.2324	120	1
5_MACS_peak_27775_lociStitched	chr8	60962000	60971829	5	9513	23456.9085	121	1			CA8	CA8	NONE	121	1
1_MACS_peak_18470_lociStitched	chr22	29212543	29221403	1	8861	33337.522	122	1		CCDC117,XBP1	XBP1	XBP1	4.2285	122	1
3_MACS_peak_2808_lociStitched	chr1	234741626	234749600	3	7857	43451.1234	123	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.4455	123	1
6_MACS_peak_23623_lociStitched	chr5	162737281	162747073	6	9289	25813.6704	124	1			CCNG1	CCNG1	NONE	124	1
4_MACS_peak_20237_lociStitched	chr3	151984006	151993652	4	9139	28299.4348	125	1	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.5945	125	1
3_MACS_peak_3832_lociStitched	chr10	89620064	89629509	3	9300	25508.1115	126	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	PTEN	0.3352	126	1
1_MACS_peak_15653_lociStitched	chr2	86220413	86228610	1	8198	39633.3147	127	1		LOC90784	LOC90784	LOC90784	0.1418	127	1
3_MACS_peak_12060_lociStitched	chr17	40825737	40833875	3	7756	42977.5918	128	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	PLEKHH3	2.3581	128	1
4_MACS_peak_27908_lociStitched	chr8	72266560	72276066	4	9339	22267.805	130	1	EYA1		EYA1	EYA1	0.1711	130	1
4_MACS_peak_8203_lociStitched	chr14	23030402	23040001	4	9300	22958.8882	131	1	DAD1	ABHD4	DAD1	DAD1	0.9738	131	1
5_MACS_peak_23207_lociStitched	chr5	118668848	118678852	5	9412	20270.1048	132	1	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.3017	132	1
3_MACS_peak_17838_lociStitched	chr20	62364120	62373115	3	8494	34593.8705	133	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	2.8993	133	1
2_MACS_peak_2282_lociStitched	chr1	198897868	198907026	2	8940	27777.1298	134	1			MIR181A1	MIR181A1	NONE	134	1
1_MACS_peak_24330_lociStitched	chr6	32935150	32941193	1	6044	53186.8602	135	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.4157	135	1
2_MACS_peak_17696_lociStitched	chr20	52205136	52214027	2	8853	27782.5968	136	1		ZNF217	ZNF217	ZNF217	0.2417	136	1
2_MACS_peak_24547_lociStitched	chr6	45386183	45394844	2	8634	30155.8698	137	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.3451	137	1
2_MACS_peak_5268_lociStitched	chr11	72979842	72986908	2	7066	45681.69	138	1	P2RY6	ARHGEF17	P2RY6	P2RY6	1.3386	138	1
3_MACS_peak_8937_lociStitched	chr14	94422602	94431127	3	8361	33099.165	139	1	ASB2	FAM181A,C14orf48,C14orf86	ASB2	C14orf48	2.1442	139	1
5_MACS_peak_13158_lociStitched	chr18	42300902	42310729	5	8970	23873.7138	140	1	SETBP1		SETBP1	SETBP1	0.7364	140	1
3_MACS_peak_16933_lociStitched	chr2	232570561	232577624	3	6901	46479.4841	141	1	PTMA	MIR1244-1	PTMA	PTMA	3.2517	141	1
4_MACS_peak_18607_lociStitched	chr22	37609994	37618408	4	8233	33492.7684	142	1		C1QTNF6,SSTR3,RAC2	SSTR3	RAC2	1.0321	142	1
3_MACS_peak_18650_lociStitched	chr22	38788915	38797972	3	8929	23054.5935	143	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.6083	143	1
1_MACS_peak_24971_lociStitched	chr6	106610765	106618060	1	7296	42499.9405	144	1			PRDM1	PRDM1	2.3707	144	1
1_MACS_peak_2304_lociStitched	chr1	200985664	200992815	1	7152	43468.7837	145	1	KIF21B		KIF21B	KIF21B	0.8423	145	1
2_MACS_peak_27485_lociStitched	chr8	29202015	29209479	2	7410	41246.064	146	1	DUSP4		DUSP4	DUSP4	2.2487	146	1
3_MACS_peak_6562_lociStitched	chr12	57075995	57083990	3	7959	35826.3945	147	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	1.155	147	1
4_MACS_peak_7527_lociStitched	chr13	32464484	32473310	4	8747	24597.1794	148	1	EEF1DP3		EEF1DP3	EEF1DP3	0.5164	148	1
2_MACS_peak_26475_lociStitched	chr7	92436937	92445644	2	8694	24359.5739	149	1	CDK6		CDK6	CDK6	0.4734	149	1
2_MACS_peak_17901_lociStitched	chr21	19154232	19163217	2	8636	25134.639	150	1	C21orf91		C21orf91	C21orf91	0.9843	150	1
1_MACS_peak_1603_lociStitched	chr1	154970773	154977707	1	6935	43710.5492	151	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	3.609	151	1
1_MACS_peak_30097_lociStitched	chrX	40030068	40036952	1	6885	43925.4272	152	1	BCOR		BCOR	BCOR	0.6692	152	1
3_MACS_peak_2426_lociStitched	chr1	206883377	206892254	3	8442	27573.7374	153	1	MAPKAPK2		MAPKAPK2	MAPKAPK2	1.0223	153	1
1_MACS_peak_27112_lociStitched	chr7	150100650	150107140	1	6491	46605.988	154	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	LOC728743	3.5259	154	1
5_MACS_peak_25460_lociStitched	chr6	157166490	157175909	5	8820	20375.1808	155	1	ARID1B		ARID1B	ARID1B	0.2063	155	1
3_MACS_peak_18166_lociStitched	chr21	43941911	43949874	3	7431	38731.2357	156	1	SLC37A1	RSPH1	SLC37A1	SLC37A1	0.664	156	1
4_MACS_peak_4644_lociStitched	chr11	22685427	22693693	4	8153	30530.471	157	1	GAS2	GAS2,FANCF	GAS2	FANCF	0.5417	157	1
2_MACS_peak_11728_lociStitched	chr17	21246941	21254018	2	6861	42991.3596	158	1		KCNJ12	KCNJ12	KCNJ12	0.1825	158	1
1_MACS_peak_22292_lociStitched	chr5	188153	194255	1	6103	48184.443	159	1	PLEKHG4B,LRRC14B	SDHA,CCDC127	LRRC14B	LRRC14B	3.6151	159	1
2_MACS_peak_1634_lociStitched	chr1	155909721	155918112	2	8351	26876.373	160	1	RXFP4,ARHGEF2	RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	RXFP4	2.4632	160	1
1_MACS_peak_19511_lociStitched	chr3	61553935	61562478	1	8544	23126.7553	161	1	PTPRG		PTPRG	PTPRG	0.1994	161	1
2_MACS_peak_24542_lociStitched	chr6	45162806	45171687	2	8767	17438.7316	162	1	SUPT3H,MIR586		MIR586	MIR586	1.5606	162	1
7_MACS_peak_20241_lociStitched	chr3	151994313	152003765	7	8795	16732.8756	163	1	MBNL1	MBNL1,LOC401093	LOC401093	LOC401093	1.5945	163	1
4_MACS_peak_2628_lociStitched	chr1	224927099	224936231	4	8624	20542.434	164	1	CNIH3		CNIH3	CNIH3	0.4008	164	1
2_MACS_peak_1685_lociStitched	chr1	157101485	157109369	2	7849	31783.5576	165	1	ETV3	CYCSP52,ETV3L	ETV3	ETV3	1.4555	165	1
4_MACS_peak_24186_lociStitched	chr6	27094397	27102761	4	8151	27072.5952	166	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	HIST1H2BJ	2.5931	166	1
2_MACS_peak_12610_lociStitched	chr17	74257926	74265704	2	7598	33695.8516	167	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	2.31	167	1
8_MACS_peak_28396_lociStitched	chr8	134508796	134518171	8	8285	24046.875	168	1	ST3GAL1		ST3GAL1	ST3GAL1	0.5021	168	1
3_MACS_peak_26162_lociStitched	chr7	50343693	50352436	3	8587	17544.5781	169	1	IKZF1		IKZF1	IKZF1	0.1727	169	1
2_MACS_peak_13965_lociStitched	chr19	16185361	16191642	2	6264	44531.0338	170	1	TPM4	FLJ25328,RAB8A	TPM4	TPM4	1.1104	170	1
3_MACS_peak_4235_lociStitched	chr10	125154917	125163356	3	7976	28184.5722	171	1			BUB3	BUB3	NONE	171	1
4_MACS_peak_3567_lociStitched	chr10	63656952	63665563	4	8278	23332.3656	172	1	ARID5B		ARID5B	ARID5B	0.3048	172	1
5_MACS_peak_9192_lociStitched	chr15	23609734	23618607	5	8437	20322.7192	173	1			GOLGA8E	GOLGA8E	NONE	173	1
5_MACS_peak_3148_lociStitched	chr10	15826008	15834479	5	8179	24596.3956	174	1	FAM188A		ITGA8	ITGA8	NONE	174	1
