REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OPM.2.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_19291_lociStitched	chr3	46129770	46141116	3	11061	33244.9146	52	1			XCR1	52	1
3_MACS_peak_21087_lociStitched	chr4	40191739	40203288	3	10878	36016.7114	53	1	RHOH		RHOH	53	1
3_MACS_peak_5992_lociStitched	chr12	7059710	7070683	3	10873	59882.9529	54	1	PTPN6	LRRC23,ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	54	1
2_MACS_peak_12127_lociStitched	chr17	43298278	43309020	2	10722	55183.8024	55	1	FMNL1	LOC100133991,C17orf46	FMNL1	55	1
2_MACS_peak_4751_lociStitched	chr11	34838692	34849536	2	10708	25917.16	56	1			PDHX	56	1
1_MACS_peak_5950_lociStitched	chr12	4377812	4388355	1	10544	69830.5062	57	1	CCND2	C12orf5	CCND2	57	1
4_MACS_peak_5829_lociStitched	chr11	128587329	128598290	4	10507	42797.2245	58	1	FLI1		FLI1	58	1
4_MACS_peak_24156_lociStitched	chr6	26357072	26367824	4	10452	34997.76	59	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	59	1
2_MACS_peak_24850_lociStitched	chr6	90059349	90069930	2	10446	43979.9265	60	1	UBE2J1	GABRR2	UBE2J1	60	1
3_MACS_peak_20455_lociStitched	chr3	178228699	178239406	3	10386	40216.5627	61	1		KCNMB2	KCNMB2	61	1
2_MACS_peak_27497_lociStitched	chr8	29464355	29474863	2	10383	33780.0676	62	1			C8orf75	62	1
1_MACS_peak_1588_lociStitched	chr1	154755656	154766034	1	10379	76475.482	63	1	KCNN3		KCNN3	63	1
2_MACS_peak_3248_lociStitched	chr10	22623889	22634271	2	10359	40011.1898	64	1		COMMD3,BMI1,SPAG6	SPAG6	64	1
4_MACS_peak_12524_lociStitched	chr17	70591919	70603093	4	10358	44288.149	65	1	FLJ26484	LOC100499467	LOC100499467	65	1
1_MACS_peak_23822_lociStitched	chr6	314381	324726	1	10346	39559.28	66	1	DUSP22		DUSP22	66	1
2_MACS_peak_3277_lociStitched	chr10	24737129	24747474	2	10308	23457.2875	67	1	KIAA1217		MIR603	67	1
3_MACS_peak_13803_lociStitched	chr19	10521811	10532511	3	10230	40851.53	68	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	68	1
3_MACS_peak_4748_lociStitched	chr11	34803787	34814117	3	10223	38073.281	69	1			PDHX	69	1
2_MACS_peak_23817_lociStitched	chr6	291076	301307	2	10220	54644.7941	70	1	DUSP22		DUSP22	70	1
3_MACS_peak_15773_lociStitched	chr2	99074508	99085032	3	10095	47871.5712	71	1	INPP4A		INPP4A	71	1
7_MACS_peak_24203_lociStitched	chr6	27772479	27783306	7	10031	22944.5784	72	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BL,HIST1H2AJ	HIST1H4J,HIST1H2BN,HIST1H2AL,HIST1H4K,HIST1H2AK	HIST1H3H	72	1
3_MACS_peak_17567_lociStitched	chr20	43270535	43281081	3	10029	36547.163	73	1	ADA	LOC79015	ADA	73	1
1_MACS_peak_12324_lociStitched	chr17	56407870	56417779	1	9910	67895.4771	74	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	74	1
2_MACS_peak_28336_lociStitched	chr8	126779618	126789587	2	9867	34183.701	75	1			TRIB1	75	1
1_MACS_peak_6480_lociStitched	chr12	53591589	53601353	1	9765	40318.4852	76	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	76	1
2_MACS_peak_24748_lociStitched	chr6	79780125	79790200	2	9738	24159.85	77	1	PHIP		PHIP	77	1
9_MACS_peak_1312_lociStitched	chr1	118148678	118159824	9	9680	14152.0762	78	1	FAM46C		FAM46C	78	1
3_MACS_peak_27041_lociStitched	chr7	141254837	141265121	3	9666	38123.8164	79	1	AGK		AGK	79	1
2_MACS_peak_24190_lociStitched	chr6	27105979	27115887	2	9601	26281.9608	80	1	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2AG,HIST1H2BJ	HIST1H2BK	80	1
3_MACS_peak_14348_lociStitched	chr19	42035047	42045157	3	9521	34870.401	81	1		CEACAM21	CEACAM21	81	1
2_MACS_peak_14124_lociStitched	chr19	29092582	29102191	2	9515	40283.8107	82	1			LOC148145	82	1
5_MACS_peak_27775_lociStitched	chr8	60962000	60971829	5	9513	23456.9085	83	1			CA8	83	1
3_MACS_peak_12009_lociStitched	chr17	38473947	38483616	3	9463	32680.2531	84	1	RARA	CDC6,RARA,GJD3	RARA	84	1
2_MACS_peak_24563_lociStitched	chr6	45673859	45683580	2	9440	37360.7193	85	1			RUNX2	85	1
5_MACS_peak_23207_lociStitched	chr5	118668848	118678852	5	9412	20270.1048	86	1	TNFAIP8	TNFAIP8	TNFAIP8	86	1
2_MACS_peak_17548_lociStitched	chr20	42576255	42585687	2	9408	35641.6416	87	1	TOX2		TOX2	87	1
2_MACS_peak_10556_lociStitched	chr16	17433988	17443562	2	9389	49705.3358	88	1	XYLT1		XYLT1	88	1
4_MACS_peak_27908_lociStitched	chr8	72266560	72276066	4	9339	22267.805	89	1	EYA1		EYA1	89	1
3_MACS_peak_3832_lociStitched	chr10	89620064	89629509	3	9300	25508.1115	90	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	90	1
4_MACS_peak_8203_lociStitched	chr14	23030402	23040001	4	9300	22958.8882	91	1	DAD1	ABHD4	DAD1	91	1
6_MACS_peak_23623_lociStitched	chr5	162737281	162747073	6	9289	25813.6704	92	1			CCNG1	92	1
5_MACS_peak_5732_lociStitched	chr11	120365374	120375011	5	9255	47495.9545	93	1			GRIK4	93	1
4_MACS_peak_23928_lociStitched	chr6	7959677	7969488	4	9246	31364.7859	94	1	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	94	1
1_MACS_peak_22322_lociStitched	chr5	1311090	1320329	1	9240	110744.1974	95	1	CLPTM1L	TERT	TERT	95	1
4_MACS_peak_20237_lociStitched	chr3	151984006	151993652	4	9139	28299.4348	96	1	MBNL1,LOC401093	MBNL1	LOC401093	96	1
1_MACS_peak_14352_lociStitched	chr19	42051628	42060754	1	9127	40814.2098	97	1		CEACAM21	CEACAM21	97	1
3_MACS_peak_21338_lociStitched	chr4	77220864	77230272	3	9060	42714.2016	98	1	STBD1	FAM47E	STBD1	98	1
2_MACS_peak_3238_lociStitched	chr10	22285980	22295063	2	9050	35113.9697	99	1	DNAJC1		DNAJC1	99	1
5_MACS_peak_2463_lociStitched	chr1	209275239	209285071	5	9024	41217.7104	100	1			LOC642587	100	1
1_MACS_peak_11295_lociStitched	chr16	87805742	87814713	1	8972	50512.1126	101	1		KLHDC4	KLHDC4	101	1
5_MACS_peak_13158_lociStitched	chr18	42300902	42310729	5	8970	23873.7138	102	1	SETBP1		SETBP1	102	1
2_MACS_peak_4704_lociStitched	chr11	30600494	30609558	2	8949	33443.4408	103	1	MPPED2		MPPED2	103	1
2_MACS_peak_2282_lociStitched	chr1	198897868	198907026	2	8940	27777.1298	104	1			MIR181A1	104	1
3_MACS_peak_18650_lociStitched	chr22	38788915	38797972	3	8929	23054.5935	105	1	LOC400927	KCNJ4	LOC400927	105	1
1_MACS_peak_18470_lociStitched	chr22	29212543	29221403	1	8861	33337.522	106	1		CCDC117,XBP1	XBP1	106	1
2_MACS_peak_17696_lociStitched	chr20	52205136	52214027	2	8853	27782.5968	107	1		ZNF217	ZNF217	107	1
5_MACS_peak_25460_lociStitched	chr6	157166490	157175909	5	8820	20375.1808	108	1	ARID1B		ARID1B	108	1
7_MACS_peak_20241_lociStitched	chr3	151994313	152003765	7	8795	16732.8756	109	1	MBNL1	MBNL1,LOC401093	LOC401093	109	1
2_MACS_peak_24542_lociStitched	chr6	45162806	45171687	2	8767	17438.7316	110	1	SUPT3H,MIR586		MIR586	110	1
4_MACS_peak_7527_lociStitched	chr13	32464484	32473310	4	8747	24597.1794	111	1	EEF1DP3		EEF1DP3	111	1
2_MACS_peak_26475_lociStitched	chr7	92436937	92445644	2	8694	24359.5739	112	1	CDK6		CDK6	112	1
1_MACS_peak_18688_lociStitched	chr22	39837460	39846111	1	8652	41671.0019	113	1		TAB1,MGAT3	MGAT3	113	1
2_MACS_peak_29171_lociStitched	chr9	93920258	93929311	2	8647	71506.0258	114	1			LOC100129316	114	1
2_MACS_peak_17901_lociStitched	chr21	19154232	19163217	2	8636	25134.639	115	1	C21orf91		C21orf91	115	1
2_MACS_peak_24547_lociStitched	chr6	45386183	45394844	2	8634	30155.8698	116	1	RUNX2	SUPT3H	RUNX2	116	1
4_MACS_peak_2628_lociStitched	chr1	224927099	224936231	4	8624	20542.434	117	1	CNIH3		CNIH3	117	1
2_MACS_peak_1483_lociStitched	chr1	150533193	150541804	2	8607	50630.0967	118	1	ADAMTSL4	MIR4257,MCL1	MIR4257	118	1
3_MACS_peak_26162_lociStitched	chr7	50343693	50352436	3	8587	17544.5781	119	1	IKZF1		IKZF1	119	1
2_MACS_peak_1754_lociStitched	chr1	161149045	161157598	2	8549	53924.0991	120	1		UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,B4GALT3,ADAMTS4,APOA2	B4GALT3	120	1
1_MACS_peak_19511_lociStitched	chr3	61553935	61562478	1	8544	23126.7553	121	1	PTPRG		PTPRG	121	1
1_MACS_peak_5227_lociStitched	chr11	70501400	70509903	1	8504	39791.4891	122	1	SHANK2		SHANK2	122	1
3_MACS_peak_17838_lociStitched	chr20	62364120	62373115	3	8494	34593.8705	123	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	123	1
2_MACS_peak_7287_lociStitched	chr12	125398322	125406874	2	8484	45213.5688	124	1	UBC	SCARB1	UBC	124	1
2_MACS_peak_25664_lociStitched	chr7	2438789	2447525	2	8463	18018	125	1	CHST12	EIF3B	CHST12	125	1
1_MACS_peak_8769_lociStitched	chr14	77487531	77495982	1	8452	59801.8113	126	1	C14orf4		C14orf4	126	1
3_MACS_peak_2426_lociStitched	chr1	206883377	206892254	3	8442	27573.7374	127	1	MAPKAPK2		MAPKAPK2	127	1
5_MACS_peak_9192_lociStitched	chr15	23609734	23618607	5	8437	20322.7192	128	1			GOLGA8E	128	1
2_MACS_peak_2263_lociStitched	chr1	197739262	197748004	2	8425	41006.0994	129	1	DENND1B		DENND1B	129	1
1_MACS_peak_18066_lociStitched	chr21	36416181	36424575	1	8395	20303.4072	130	1	RUNX1	C21orf96	RUNX1	130	1
3_MACS_peak_8937_lociStitched	chr14	94422602	94431127	3	8361	33099.165	131	1	ASB2	FAM181A,C14orf48,C14orf86	ASB2	131	1
2_MACS_peak_1634_lociStitched	chr1	155909721	155918112	2	8351	26876.373	132	1	RXFP4,ARHGEF2	RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	132	1
8_MACS_peak_28396_lociStitched	chr8	134508796	134518171	8	8285	24046.875	133	1	ST3GAL1		ST3GAL1	133	1
4_MACS_peak_3567_lociStitched	chr10	63656952	63665563	4	8278	23332.3656	134	1	ARID5B		ARID5B	134	1
2_MACS_peak_17555_lociStitched	chr20	42693688	42702050	2	8269	60158.7366	135	1	TOX2		JPH2	135	1
8_MACS_peak_23128_lociStitched	chr5	109024525	109033999	8	8254	17679.4314	136	1	MAN2A1		MAN2A1	136	1
4_MACS_peak_18607_lociStitched	chr22	37609994	37618408	4	8233	33492.7684	137	1		C1QTNF6,SSTR3,RAC2	SSTR3	137	1
2_MACS_peak_1657_lociStitched	chr1	156192205	156200635	2	8228	49758.075	138	1	PMF1	SLC25A44,BGLAP,PAQR6	PMF1	138	1
4_MACS_peak_19841_lociStitched	chr3	112176934	112185418	4	8208	22694.7	139	1	BTLA		BTLA	139	1
2_MACS_peak_956_lociStitched	chr1	66740798	66749051	2	8204	17920.5642	140	1	PDE4B	PDE4B	PDE4B	140	1
1_MACS_peak_15653_lociStitched	chr2	86220413	86228610	1	8198	39633.3147	141	1		LOC90784	LOC90784	141	1
5_MACS_peak_3148_lociStitched	chr10	15826008	15834479	5	8179	24596.3956	142	1	FAM188A		ITGA8	142	1
3_MACS_peak_9484_lociStitched	chr15	47000024	47008835	3	8176	21150.8055	143	1			SEMA6D	143	1
1_MACS_peak_23819_lociStitched	chr6	302141	310305	1	8165	51027.4492	144	1	DUSP22		DUSP22	144	1
4_MACS_peak_7791_lociStitched	chr13	57881750	57890171	4	8162	18852.9348	145	1			PRR20B	145	1
4_MACS_peak_4644_lociStitched	chr11	22685427	22693693	4	8153	30530.471	146	1	GAS2	GAS2,FANCF	GAS2	146	1
4_MACS_peak_24186_lociStitched	chr6	27094397	27102761	4	8151	27072.5952	147	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	147	1
1_MACS_peak_28326_lociStitched	chr8	126440721	126448813	1	8093	50146.124	148	1	TRIB1		TRIB1	148	1
3_MACS_peak_1647_lociStitched	chr1	156092316	156100708	3	8078	21225.0464	149	1	LMNA	SEMA4A,MEX3A	LMNA	149	1
2_MACS_peak_12552_lociStitched	chr17	72744000	72752014	2	8012	16663.5102	150	1	SLC9A3R1,MIR3615	RAB37,TMEM104,CD300LF,NAT9	SLC9A3R1	150	1
3_MACS_peak_19722_lociStitched	chr3	98487592	98495717	3	7992	21395.5625	151	1	ST3GAL6		ST3GAL6	151	1
3_MACS_peak_11893_lociStitched	chr17	34522521	34530875	3	7990	21806.4462	152	1	CCL3L1,CCL3L3	CCL4L1,TBC1D3B	CCL3L1	152	1
2_MACS_peak_11900_lociStitched	chr17	34624078	34632350	2	7981	21344.2416	153	1	CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	153	1
2_MACS_peak_25867_lociStitched	chr7	23507254	23515239	2	7977	23248.3275	154	1	IGF2BP3	RPS2P32	IGF2BP3	154	1
3_MACS_peak_4235_lociStitched	chr10	125154917	125163356	3	7976	28184.5722	155	1			BUB3	155	1
3_MACS_peak_6562_lociStitched	chr12	57075995	57083990	3	7959	35826.3945	156	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	156	1
2_MACS_peak_11614_lociStitched	chr17	16887889	16895893	2	7952	76594.278	157	1		TNFRSF13B	TNFRSF13B	157	1
2_MACS_peak_2740_lociStitched	chr1	230239020	230247050	2	7932	27869.721	158	1	GALNT2		GALNT2	158	1
3_MACS_peak_22484_lociStitched	chr5	27462989	27471450	3	7919	21264.1852	159	1			CDH9	159	1
2_MACS_peak_339_lociStitched	chr1	23850607	23858526	2	7912	46091.7476	160	1	E2F2	ASAP3,ID3	E2F2	160	1
1_MACS_peak_1638_lociStitched	chr1	155944122	155952030	1	7909	64587.7992	161	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	161	1
2_MACS_peak_4902_lociStitched	chr11	60604125	60612121	2	7907	23449.8692	162	1	CCDC86	ZP1,GPR44	CCDC86	162	1
1_MACS_peak_2070_lociStitched	chr1	183808791	183816687	1	7897	49251.3	163	1	RGL1		APOBEC4	163	1
3_MACS_peak_18449_lociStitched	chr22	27100207	27108077	3	7865	22234.324	164	1		MIAT	MIAT	164	1
3_MACS_peak_2808_lociStitched	chr1	234741626	234749600	3	7857	43451.1234	165	1	IRF2BP2	NCRNA00184	IRF2BP2	165	1
2_MACS_peak_1685_lociStitched	chr1	157101485	157109369	2	7849	31783.5576	166	1	ETV3	CYCSP52,ETV3L	ETV3	166	1
2_MACS_peak_24174_lociStitched	chr6	26532658	26540491	2	7809	28345.2771	167	1	HMGN4	BTN1A1,HCG11	HMGN4	167	1
6_MACS_peak_10182_lociStitched	chr15	101736535	101745278	6	7808	47784.8665	168	1	CHSY1		CHSY1	168	1
2_MACS_peak_20229_lociStitched	chr3	151911494	151919311	2	7795	17377.191	169	1			MBNL1	169	1
1_MACS_peak_24298_lociStitched	chr6	31701588	31709355	1	7768	54993.4668	170	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	170	1
3_MACS_peak_12060_lociStitched	chr17	40825737	40833875	3	7756	42977.5918	171	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	171	1
2_MACS_peak_23747_lociStitched	chr5	176852043	176860096	2	7747	27143.4418	172	1	GRK6	SLC34A1,PRR7,PFN3,F12,DBN1	GRK6	172	1
4_MACS_peak_25008_lociStitched	chr6	108878427	108886855	4	7737	30025.5928	173	1	FOXO3		FOXO3	173	1
2_MACS_peak_23401_lociStitched	chr5	138722856	138730596	2	7735	30709.224	174	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	174	1
2_MACS_peak_13154_lociStitched	chr18	42287782	42295552	2	7725	19129.74	175	1	SETBP1		SETBP1	175	1
2_MACS_peak_28312_lociStitched	chr8	126292223	126300091	2	7718	27205.1836	176	1	NSMCE2		TRIB1	176	1
2_MACS_peak_2089_lociStitched	chr1	184458926	184466756	2	7713	30372.57	177	1	C1orf21		C1orf21	177	1
1_MACS_peak_11994_lociStitched	chr17	38017208	38024896	1	7689	21812.3936	178	1	ZPBP2,IKZF3	GSDMB	IKZF3	178	1
3_MACS_peak_2552_lociStitched	chr1	218336102	218343844	3	7662	49479.8962	179	1			RRP15	179	1
4_MACS_peak_27555_lociStitched	chr8	35445770	35454492	4	7604	24140.7516	180	1	UNC5D		UNC5D	180	1
2_MACS_peak_25208_lociStitched	chr6	130003102	130010948	2	7600	32108.1858	181	1	ARHGAP18		ARHGAP18	181	1
2_MACS_peak_12610_lociStitched	chr17	74257926	74265704	2	7598	33695.8516	182	1	FAM100B	RNF157,QRICH2	FAM100B	182	1
3_MACS_peak_26639_lociStitched	chr7	103362478	103370368	3	7537	21358.23	183	1	RELN		RELN	183	1
1_MACS_peak_30092_lociStitched	chrX	39953208	39960720	1	7513	20987.0256	184	1	BCOR		BCOR	184	1
2_MACS_peak_22938_lociStitched	chr5	81145977	81153590	2	7502	28299.8049	185	1			SSBP2	185	1
2_MACS_peak_128_lociStitched	chr1	6976957	6984472	2	7496	24626.655	186	1	CAMTA1		CAMTA1	186	1
3_MACS_peak_20742_lociStitched	chr4	1795100	1802605	3	7489	15036.2675	187	1	FGFR3		FGFR3	187	1
4_MACS_peak_14277_lociStitched	chr19	39896289	39903990	4	7457	22734.1221	188	1	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	188	1
3_MACS_peak_18166_lociStitched	chr21	43941911	43949874	3	7431	38731.2357	189	1	SLC37A1	RSPH1	SLC37A1	189	1
3_MACS_peak_29178_lociStitched	chr9	94181153	94189053	3	7426	25607.85	190	1	NFIL3		NFIL3	190	1
2_MACS_peak_8133_lociStitched	chr13	114863591	114871262	2	7419	25699.3842	191	1	RASA3		RASA3	191	1
2_MACS_peak_19083_lociStitched	chr3	23846943	23854515	2	7412	21570.3564	192	1	UBE2E1		UBE2E1	192	1
2_MACS_peak_27485_lociStitched	chr8	29202015	29209479	2	7410	41246.064	193	1	DUSP4		DUSP4	193	1
1_MACS_peak_1372_lociStitched	chr1	143912011	143919396	1	7386	25846.023	194	1	SRGAP2P2,FAM72D		SRGAP2P2	194	1
5_MACS_peak_20978_lociStitched	chr4	24199891	24207908	5	7372	22324.1382	195	1			PPARGC1A	195	1
4_MACS_peak_3573_lociStitched	chr10	63804108	63811852	4	7354	20544.0576	196	1	ARID5B		ARID5B	196	1
2_MACS_peak_18356_lociStitched	chr22	23246939	23254535	2	7333	26289.756	197	1		IGLL5	IGLL5	197	1
1_MACS_peak_5564_lociStitched	chr11	111238587	111245899	1	7313	34155.0832	198	1	POU2AF1		POU2AF1	198	1
1_MACS_peak_26665_lociStitched	chr7	104649632	104656929	1	7298	62060.985	199	1	MLL5,LOC100216545		LOC100216545	199	1
1_MACS_peak_24971_lociStitched	chr6	106610765	106618060	1	7296	42499.9405	200	1			PRDM1	200	1
1_MACS_peak_21470_lociStitched	chr4	87855178	87862468	1	7291	23048.064	201	1	AFF1	C4orf36	AFF1	201	1
2_MACS_peak_17311_lociStitched	chr20	25275036	25282578	2	7282	32048.9748	202	1	PYGB,ABHD12		PYGB	202	1
2_MACS_peak_29155_lociStitched	chr9	93701086	93708724	2	7267	25320.7338	203	1			SYK	203	1
4_MACS_peak_5727_lociStitched	chr11	120205753	120213349	4	7255	17334.072	204	1	ARHGEF12	TMEM136	ARHGEF12	204	1
2_MACS_peak_18376_lociStitched	chr22	23477796	23485233	2	7242	32072.8062	205	1	RTDR1	RAB36,BCR	RTDR1	205	1
2_MACS_peak_27797_lociStitched	chr8	61811942	61819295	2	7234	25063.4358	206	1			LOC100130298	206	1
