GENE_ID	locusLine	bin_1_32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48.bam
1_MACS_peak_54_lociStitched	chr1(.):6614157-6615049	0.4892
1_MACS_peak_55_lociStitched	chr1(.):6662691-6664481	0.7342
1_MACS_peak_56_lociStitched	chr1(.):6684607-6685480	0.685
1_MACS_peak_57_lociStitched	chr1(.):6733684-6734614	0.6406
1_MACS_peak_58_lociStitched	chr1(.):6761473-6762507	0.5984
1_MACS_peak_59_lociStitched	chr1(.):6805143-6805807	0.512
1_MACS_peak_60_lociStitched	chr1(.):6843842-6845520	0.6769
1_MACS_peak_61_lociStitched	chr1(.):6961461-6962218	0.6092
1_MACS_peak_62_lociStitched	chr1(.):7168215-7168904	0.538
1_MACS_peak_63_lociStitched	chr1(.):7989711-7990285	0.4489
1_MACS_peak_64_lociStitched	chr1(.):8021060-8022395	0.9304
1_MACS_peak_65_lociStitched	chr1(.):8455173-8456210	0.5606
1_MACS_peak_66_lociStitched	chr1(.):8487309-8488260	0.9891
2_MACS_peak_67_lociStitched	chr1(.):8532518-8538037	0.398
1_MACS_peak_69_lociStitched	chr1(.):8663908-8664671	0.5029
1_MACS_peak_70_lociStitched	chr1(.):8703337-8704289	1.2001
1_MACS_peak_71_lociStitched	chr1(.):8763116-8764149	0.9568
1_MACS_peak_72_lociStitched	chr1(.):8876403-8877537	0.7665
1_MACS_peak_73_lociStitched	chr1(.):8889208-8890154	1.225
1_MACS_peak_74_lociStitched	chr1(.):8907758-8908707	0.56
1_MACS_peak_75_lociStitched	chr1(.):8937635-8939830	0.7273
1_MACS_peak_76_lociStitched	chr1(.):9129494-9130221	0.4935
2_MACS_peak_77_lociStitched	chr1(.):9137942-9141207	0.738
1_MACS_peak_79_lociStitched	chr1(.):9299451-9300183	0.4572
1_MACS_peak_80_lociStitched	chr1(.):9473129-9473688	0.466
2_MACS_peak_81_lociStitched	chr1(.):9486170-9489701	0.5446
1_MACS_peak_83_lociStitched	chr1(.):9686031-9687642	0.9373
1_MACS_peak_84_lociStitched	chr1(.):9777285-9778320	0.7674
1_MACS_peak_85_lociStitched	chr1(.):9846460-9848468	0.7043
1_MACS_peak_86_lociStitched	chr1(.):9969534-9970099	0.4847
1_MACS_peak_87_lociStitched	chr1(.):10002287-10004071	1.0002
1_MACS_peak_88_lociStitched	chr1(.):10092419-10094033	0.6888
1_MACS_peak_89_lociStitched	chr1(.):10229748-10230832	0.73
1_MACS_peak_90_lociStitched	chr1(.):10249358-10250450	0.9594
1_MACS_peak_91_lociStitched	chr1(.):10260546-10261481	0.6451
1_MACS_peak_92_lociStitched	chr1(.):10269636-10270865	0.8285
1_MACS_peak_93_lociStitched	chr1(.):10302796-10303480	0.557
1_MACS_peak_94_lociStitched	chr1(.):10310796-10313137	0.8611
1_MACS_peak_95_lociStitched	chr1(.):10437343-10438053	0.5893
1_MACS_peak_96_lociStitched	chr1(.):10458486-10459941	0.8567
1_MACS_peak_97_lociStitched	chr1(.):10490132-10490893	0.6277
1_MACS_peak_98_lociStitched	chr1(.):10516639-10518135	0.6094
1_MACS_peak_99_lociStitched	chr1(.):10534252-10535368	0.7656
1_MACS_peak_100_lociStitched	chr1(.):10554615-10555742	0.7973
1_MACS_peak_101_lociStitched	chr1(.):10991987-10992676	0.4636
1_MACS_peak_102_lociStitched	chr1(.):10999764-11000911	1.2375
1_MACS_peak_103_lociStitched	chr1(.):11071891-11073753	0.6637
1_MACS_peak_104_lociStitched	chr1(.):11120031-11120970	0.5238
1_MACS_peak_105_lociStitched	chr1(.):11322340-11323256	0.7294
1_MACS_peak_106_lociStitched	chr1(.):11333173-11333909	0.8112
1_MACS_peak_107_lociStitched	chr1(.):11538703-11539423	0.5825
1_MACS_peak_108_lociStitched	chr1(.):11627314-11629475	0.7796
1_MACS_peak_109_lociStitched	chr1(.):11710163-11710977	0.6453
1_MACS_peak_110_lociStitched	chr1(.):11740796-11741826	0.7149
1_MACS_peak_111_lociStitched	chr1(.):11795757-11797881	0.6222
1_MACS_peak_112_lociStitched	chr1(.):11843280-11844022	0.5518
1_MACS_peak_113_lociStitched	chr1(.):11865281-11867070	0.6865
1_MACS_peak_114_lociStitched	chr1(.):11967584-11970391	1.0603
1_MACS_peak_115_lociStitched	chr1(.):11986376-11987291	0.559
1_MACS_peak_116_lociStitched	chr1(.):11994155-11995307	0.6244
1_MACS_peak_117_lociStitched	chr1(.):12039633-12040881	0.688
1_MACS_peak_118_lociStitched	chr1(.):12078839-12079698	0.7663
2_MACS_peak_119_lociStitched	chr1(.):12107044-12112649	0.4149
1_MACS_peak_121_lociStitched	chr1(.):12221217-12222975	0.8872
1_MACS_peak_122_lociStitched	chr1(.):12270300-12271482	1.4805
1_MACS_peak_123_lociStitched	chr1(.):12289624-12290429	0.673
2_MACS_peak_124_lociStitched	chr1(.):12493941-12496458	0.9674
1_MACS_peak_126_lociStitched	chr1(.):12509232-12510214	1.0818
1_MACS_peak_127_lociStitched	chr1(.):12805678-12806414	0.8516
1_MACS_peak_128_lociStitched	chr1(.):12897125-12897941	0.6309
1_MACS_peak_129_lociStitched	chr1(.):13968943-13969708	0.6187
1_MACS_peak_130_lociStitched	chr1(.):14056842-14058200	0.9755
1_MACS_peak_131_lociStitched	chr1(.):14075137-14075968	0.512
1_MACS_peak_132_lociStitched	chr1(.):14247586-14248667	0.5975
1_MACS_peak_133_lociStitched	chr1(.):14293608-14294750	0.5811
1_MACS_peak_134_lociStitched	chr1(.):14336735-14338393	1.0535
1_MACS_peak_135_lociStitched	chr1(.):14366184-14367214	1.1504
3_MACS_peak_136_lociStitched	chr1(.):14501272-14508292	0.4191
1_MACS_peak_139_lociStitched	chr1(.):14660763-14661505	0.6094
1_MACS_peak_140_lociStitched	chr1(.):15161513-15164224	0.716
1_MACS_peak_141_lociStitched	chr1(.):15482649-15483281	0.5647
2_MACS_peak_142_lociStitched	chr1(.):15500113-15506248	0.4446
1_MACS_peak_144_lociStitched	chr1(.):15557786-15558936	1.1904
1_MACS_peak_145_lociStitched	chr1(.):15575358-15576256	0.7619
1_MACS_peak_146_lociStitched	chr1(.):15584215-15585135	0.7047
1_MACS_peak_147_lociStitched	chr1(.):15623308-15623919	0.6738
1_MACS_peak_148_lociStitched	chr1(.):15852781-15854139	0.9757
1_MACS_peak_149_lociStitched	chr1(.):15898000-15899022	0.7226
2_MACS_peak_150_lociStitched	chr1(.):15905870-15911935	0.3423
1_MACS_peak_152_lociStitched	chr1(.):15942860-15945514	0.6739
1_MACS_peak_153_lociStitched	chr1(.):16023117-16024361	1.1929
1_MACS_peak_154_lociStitched	chr1(.):16149983-16150678	0.502
1_MACS_peak_155_lociStitched	chr1(.):16160527-16163131	0.901
1_MACS_peak_156_lociStitched	chr1(.):16400123-16400833	0.642
1_MACS_peak_157_lociStitched	chr1(.):16678452-16679609	0.5247
1_MACS_peak_158_lociStitched	chr1(.):16693124-16694987	0.9889
1_MACS_peak_159_lociStitched	chr1(.):16746970-16747796	0.8121
3_MACS_peak_160_lociStitched	chr1(.):16766732-16771159	0.6226
1_MACS_peak_163_lociStitched	chr1(.):16799547-16800325	0.8604
1_MACS_peak_164_lociStitched	chr1(.):16821433-16822478	0.5452
1_MACS_peak_166_lociStitched	chr1(.):16969610-16972429	1.5811
1_MACS_peak_167_lociStitched	chr1(.):16991379-16994379	2.5907
1_MACS_peak_168_lociStitched	chr1(.):17002916-17003890	0.5807
1_MACS_peak_169_lociStitched	chr1(.):17065464-17069663	1.931
1_MACS_peak_170_lociStitched	chr1(.):17189329-17190164	0.9569
2_MACS_peak_171_lociStitched	chr1(.):17221236-17232649	1.1431
1_MACS_peak_173_lociStitched	chr1(.):17344989-17345916	0.7529
1_MACS_peak_174_lociStitched	chr1(.):17767644-17768713	0.663
1_MACS_peak_175_lociStitched	chr1(.):18504434-18505153	0.7802
1_MACS_peak_176_lociStitched	chr1(.):18817519-18818135	0.5684
1_MACS_peak_177_lociStitched	chr1(.):19228525-19229850	0.7515
1_MACS_peak_178_lociStitched	chr1(.):19252702-19254724	0.7163
1_MACS_peak_179_lociStitched	chr1(.):19278234-19279133	0.7346
1_MACS_peak_180_lociStitched	chr1(.):19495913-19496681	0.8178
1_MACS_peak_181_lociStitched	chr1(.):19535549-19537830	0.6054
1_MACS_peak_182_lociStitched	chr1(.):19577696-19579172	0.7572
1_MACS_peak_183_lociStitched	chr1(.):19638425-19639233	0.5852
1_MACS_peak_184_lociStitched	chr1(.):19812223-19813029	0.5089
1_MACS_peak_185_lociStitched	chr1(.):19922507-19924484	1.0255
1_MACS_peak_186_lociStitched	chr1(.):20085322-20086288	0.9013
1_MACS_peak_187_lociStitched	chr1(.):20116759-20117757	1.2714
1_MACS_peak_188_lociStitched	chr1(.):20125849-20127417	0.7224
1_MACS_peak_189_lociStitched	chr1(.):20141969-20142935	0.7909
2_MACS_peak_190_lociStitched	chr1(.):20834043-20839152	0.3004
1_MACS_peak_192_lociStitched	chr1(.):20987233-20988519	0.7354
1_MACS_peak_193_lociStitched	chr1(.):21004423-21005897	1.615
1_MACS_peak_194_lociStitched	chr1(.):21112571-21113763	0.5938
1_MACS_peak_195_lociStitched	chr1(.):21290927-21292196	1.5944
1_MACS_peak_196_lociStitched	chr1(.):21348532-21349608	0.8853
1_MACS_peak_197_lociStitched	chr1(.):21510619-21511403	0.7577
2_MACS_peak_198_lociStitched	chr1(.):21616842-21622176	0.9803
1_MACS_peak_200_lociStitched	chr1(.):21660214-21661396	0.9035
1_MACS_peak_201_lociStitched	chr1(.):21671831-21672689	0.7712
1_MACS_peak_202_lociStitched	chr1(.):21985377-21986257	0.7008
2_MACS_peak_203_lociStitched	chr1(.):22106095-22110621	0.701
1_MACS_peak_205_lociStitched	chr1(.):22117577-22119143	1.0543
1_MACS_peak_206_lociStitched	chr1(.):22191958-22193422	1.2802
1_MACS_peak_207_lociStitched	chr1(.):22350562-22353142	1.2358
1_MACS_peak_208_lociStitched	chr1(.):22378607-22379467	0.7724
1_MACS_peak_209_lociStitched	chr1(.):22445136-22446127	1.1456
1_MACS_peak_210_lociStitched	chr1(.):22777681-22779340	0.847
1_MACS_peak_211_lociStitched	chr1(.):22834640-22835557	0.8033
1_MACS_peak_212_lociStitched	chr1(.):23337340-23338175	0.6886
1_MACS_peak_213_lociStitched	chr1(.):23345292-23346303	0.694
1_MACS_peak_214_lociStitched	chr1(.):23494857-23495590	0.453
1_MACS_peak_215_lociStitched	chr1(.):23670401-23671659	0.8012
2_MACS_peak_216_lociStitched	chr1(.):23850998-23855805	0.8369
1_MACS_peak_218_lociStitched	chr1(.):23865965-23867085	0.9405
2_MACS_peak_219_lociStitched	chr1(.):23880729-23886429	0.3967
1_MACS_peak_221_lociStitched	chr1(.):23903394-23904303	1.2304
1_MACS_peak_222_lociStitched	chr1(.):23938063-23940676	0.6861
1_MACS_peak_223_lociStitched	chr1(.):24017835-24019129	0.8096
1_MACS_peak_224_lociStitched	chr1(.):24069724-24071434	0.5895
1_MACS_peak_225_lociStitched	chr1(.):24104054-24105065	0.5921
1_MACS_peak_226_lociStitched	chr1(.):24117166-24118008	0.7486
1_MACS_peak_227_lociStitched	chr1(.):24126805-24127833	0.5469
1_MACS_peak_228_lociStitched	chr1(.):24181526-24182504	0.9185
2_MACS_peak_229_lociStitched	chr1(.):24191782-24195307	0.4798
2_MACS_peak_231_lociStitched	chr1(.):24285128-24291469	0.4487
1_MACS_peak_233_lociStitched	chr1(.):24306352-24307461	0.735
1_MACS_peak_234_lociStitched	chr1(.):24513779-24518614	0.9145
3_MACS_peak_235_lociStitched	chr1(.):24525033-24533301	0.4743
1_MACS_peak_238_lociStitched	chr1(.):24583039-24583753	0.6776
2_MACS_peak_239_lociStitched	chr1(.):24645380-24649701	1.1631
1_MACS_peak_241_lociStitched	chr1(.):24717559-24719377	0.9741
1_MACS_peak_242_lociStitched	chr1(.):24741680-24742819	0.773
1_MACS_peak_243_lociStitched	chr1(.):24883937-24885016	1.0575
1_MACS_peak_244_lociStitched	chr1(.):24968269-24970626	0.8348
1_MACS_peak_245_lociStitched	chr1(.):25053624-25054637	0.7844
3_MACS_peak_246_lociStitched	chr1(.):25071204-25075885	0.6123
1_MACS_peak_249_lociStitched	chr1(.):25174265-25175076	0.5348
1_MACS_peak_250_lociStitched	chr1(.):25256754-25257626	0.5421
1_MACS_peak_251_lociStitched	chr1(.):25291188-25292392	1.1443
1_MACS_peak_252_lociStitched	chr1(.):25348631-25350112	0.6901
1_MACS_peak_253_lociStitched	chr1(.):25565871-25567343	0.7732
1_MACS_peak_254_lociStitched	chr1(.):25573128-25574275	0.9792
1_MACS_peak_255_lociStitched	chr1(.):25663369-25665645	0.6265
2_MACS_peak_256_lociStitched	chr1(.):25756538-25762655	0.3315
1_MACS_peak_258_lociStitched	chr1(.):25798884-25799643	0.5682
2_MACS_peak_259_lociStitched	chr1(.):25869942-25877324	0.5577
1_MACS_peak_261_lociStitched	chr1(.):25888131-25889790	0.7221
1_MACS_peak_262_lociStitched	chr1(.):25933488-25934463	1.0298
1_MACS_peak_263_lociStitched	chr1(.):25946450-25947635	0.6629
1_MACS_peak_264_lociStitched	chr1(.):25968336-25969938	1.4842
1_MACS_peak_265_lociStitched	chr1(.):26002100-26003356	1.5738
1_MACS_peak_266_lociStitched	chr1(.):26145930-26147051	0.6302
1_MACS_peak_267_lociStitched	chr1(.):26269796-26270501	0.5833
1_MACS_peak_268_lociStitched	chr1(.):26323524-26325289	1.2756
1_MACS_peak_269_lociStitched	chr1(.):26437034-26438500	0.5325
1_MACS_peak_270_lociStitched	chr1(.):26452629-26453715	0.8866
1_MACS_peak_271_lociStitched	chr1(.):26495883-26496995	0.6916
1_MACS_peak_272_lociStitched	chr1(.):26578985-26579833	0.8051
1_MACS_peak_273_lociStitched	chr1(.):26734913-26735640	0.5756
1_MACS_peak_274_lociStitched	chr1(.):26758091-26759382	0.9389
1_MACS_peak_275_lociStitched	chr1(.):26798052-26800008	0.6158
1_MACS_peak_276_lociStitched	chr1(.):26826326-26828375	0.8472
2_MACS_peak_277_lociStitched	chr1(.):26868060-26872614	0.4091
1_MACS_peak_279_lociStitched	chr1(.):26946445-26948521	1.2726
2_MACS_peak_280_lociStitched	chr1(.):27018508-27022675	0.8817
1_MACS_peak_282_lociStitched	chr1(.):27028278-27029720	1.1995
2_MACS_peak_283_lociStitched	chr1(.):27065520-27071392	0.6279
2_MACS_peak_285_lociStitched	chr1(.):27113437-27116217	0.7794
1_MACS_peak_287_lociStitched	chr1(.):27146988-27147883	0.7151
2_MACS_peak_288_lociStitched	chr1(.):27159702-27166179	0.4596
1_MACS_peak_290_lociStitched	chr1(.):27190863-27192952	0.8564
1_MACS_peak_291_lociStitched	chr1(.):27226369-27227780	0.7713
1_MACS_peak_292_lociStitched	chr1(.):27247435-27249005	0.6679
1_MACS_peak_293_lociStitched	chr1(.):27481341-27482453	0.9803
1_MACS_peak_294_lociStitched	chr1(.):27648107-27649246	1.034
1_MACS_peak_295_lociStitched	chr1(.):27667913-27668826	0.6118
1_MACS_peak_296_lociStitched	chr1(.):27762149-27762992	0.6509
1_MACS_peak_297_lociStitched	chr1(.):27815452-27818086	0.706
1_MACS_peak_298_lociStitched	chr1(.):27826400-27827231	0.5681
1_MACS_peak_299_lociStitched	chr1(.):27934959-27935734	0.6268
1_MACS_peak_300_lociStitched	chr1(.):27998356-27999323	0.9779
1_MACS_peak_301_lociStitched	chr1(.):28051620-28052774	0.8411
1_MACS_peak_302_lociStitched	chr1(.):28078724-28080353	0.7282
1_MACS_peak_303_lociStitched	chr1(.):28156506-28158140	0.7799
1_MACS_peak_304_lociStitched	chr1(.):28240590-28241826	1.1136
1_MACS_peak_305_lociStitched	chr1(.):28285599-28286840	0.6248
2_MACS_peak_306_lociStitched	chr1(.):28353876-28356630	0.8203
1_MACS_peak_308_lociStitched	chr1(.):28361694-28362718	0.8348
1_MACS_peak_309_lociStitched	chr1(.):28396245-28397288	0.8879
1_MACS_peak_310_lociStitched	chr1(.):28414167-28416018	0.7096
2_MACS_peak_311_lociStitched	chr1(.):28495614-28499842	0.9997
3_MACS_peak_313_lociStitched	chr1(.):28571005-28576675	0.7419
1_MACS_peak_316_lociStitched	chr1(.):28585505-28586530	0.5977
1_MACS_peak_317_lociStitched	chr1(.):28654842-28656492	1.1463
1_MACS_peak_318_lociStitched	chr1(.):28695643-28696881	0.6859
1_MACS_peak_319_lociStitched	chr1(.):28743795-28744608	0.754
1_MACS_peak_320_lociStitched	chr1(.):28831736-28834210	0.8493
1_MACS_peak_321_lociStitched	chr1(.):28878576-28880520	0.8617
3_MACS_peak_322_lociStitched	chr1(.):28903292-28914166	0.5089
2_MACS_peak_325_lociStitched	chr1(.):28924741-28928843	0.9852
2_MACS_peak_327_lociStitched	chr1(.):28968943-28976206	0.5314
1_MACS_peak_329_lociStitched	chr1(.):29062826-29064942	0.8876
1_MACS_peak_330_lociStitched	chr1(.):29241306-29242221	0.6303
1_MACS_peak_331_lociStitched	chr1(.):29253137-29253955	0.6903
1_MACS_peak_332_lociStitched	chr1(.):29312653-29313448	0.5637
1_MACS_peak_333_lociStitched	chr1(.):29507168-29509398	0.7534
1_MACS_peak_334_lociStitched	chr1(.):29529146-29529969	0.6303
1_MACS_peak_335_lociStitched	chr1(.):29556996-29557955	0.6512
2_MACS_peak_336_lociStitched	chr1(.):31190523-31192610	0.5732
2_MACS_peak_338_lociStitched	chr1(.):31216081-31221672	0.8905
1_MACS_peak_340_lociStitched	chr1(.):31227341-31231217	0.7788
1_MACS_peak_341_lociStitched	chr1(.):31537862-31539330	0.9648
1_MACS_peak_342_lociStitched	chr1(.):31895334-31896792	1.059
1_MACS_peak_343_lociStitched	chr1(.):31913903-31915413	0.8721
2_MACS_peak_344_lociStitched	chr1(.):31944151-31950654	0.3465
1_MACS_peak_346_lociStitched	chr1(.):31959837-31960661	0.6297
1_MACS_peak_347_lociStitched	chr1(.):31966450-31967216	0.5223
1_MACS_peak_348_lociStitched	chr1(.):32071172-32071998	1.4129
1_MACS_peak_349_lociStitched	chr1(.):32109761-32111277	0.9197
1_MACS_peak_350_lociStitched	chr1(.):32209808-32211649	1.0769
1_MACS_peak_351_lociStitched	chr1(.):32403970-32404972	0.4607
1_MACS_peak_352_lociStitched	chr1(.):32421342-32422269	1.0231
2_MACS_peak_353_lociStitched	chr1(.):32446205-32451591	0.3992
1_MACS_peak_355_lociStitched	chr1(.):32470876-32471786	0.9176
1_MACS_peak_356_lociStitched	chr1(.):32537911-32538996	0.7916
1_MACS_peak_357_lociStitched	chr1(.):32573201-32574361	0.7261
1_MACS_peak_358_lociStitched	chr1(.):32644603-32646037	0.5943
2_MACS_peak_359_lociStitched	chr1(.):32713542-32716401	0.7455
1_MACS_peak_361_lociStitched	chr1(.):32756797-32758508	0.8548
1_MACS_peak_362_lociStitched	chr1(.):32802829-32803974	0.7671
1_MACS_peak_363_lociStitched	chr1(.):32816366-32817284	0.5497
1_MACS_peak_364_lociStitched	chr1(.):32859407-32860953	0.8518
1_MACS_peak_365_lociStitched	chr1(.):33092932-33094532	1.1407
1_MACS_peak_366_lociStitched	chr1(.):33115501-33117717	1.0931
1_MACS_peak_367_lociStitched	chr1(.):33282380-33285144	0.7701
1_MACS_peak_368_lociStitched	chr1(.):33427567-33428352	0.7087
1_MACS_peak_369_lociStitched	chr1(.):33446201-33447460	0.9658
1_MACS_peak_370_lociStitched	chr1(.):33457595-33458973	1.2702
1_MACS_peak_371_lociStitched	chr1(.):33501534-33503304	0.7658
1_MACS_peak_372_lociStitched	chr1(.):33564512-33565985	1.5327
1_MACS_peak_373_lociStitched	chr1(.):33592284-33593867	1.1392
1_MACS_peak_374_lociStitched	chr1(.):33815574-33816353	0.5929
1_MACS_peak_375_lociStitched	chr1(.):33926305-33927263	0.9696
2_MACS_peak_376_lociStitched	chr1(.):34514823-34517319	0.4374
1_MACS_peak_378_lociStitched	chr1(.):35324851-35325926	0.6819
1_MACS_peak_379_lociStitched	chr1(.):35331612-35332542	0.7461
1_MACS_peak_380_lociStitched	chr1(.):35450430-35451088	0.5006
1_MACS_peak_381_lociStitched	chr1(.):35496804-35498083	0.6903
1_MACS_peak_382_lociStitched	chr1(.):35544436-35545763	0.8394
1_MACS_peak_383_lociStitched	chr1(.):35657288-35658059	0.5857
1_MACS_peak_384_lociStitched	chr1(.):35733991-35734812	0.6825
1_MACS_peak_385_lociStitched	chr1(.):36022360-36024244	0.7883
2_MACS_peak_386_lociStitched	chr1(.):36102792-36108304	0.404
1_MACS_peak_388_lociStitched	chr1(.):36183997-36185087	0.4654
1_MACS_peak_389_lociStitched	chr1(.):36201031-36201957	1.0506
1_MACS_peak_390_lociStitched	chr1(.):36234628-36236008	0.708
1_MACS_peak_391_lociStitched	chr1(.):36245038-36245925	0.6673
1_MACS_peak_392_lociStitched	chr1(.):36395752-36397279	0.584
1_MACS_peak_393_lociStitched	chr1(.):36488689-36489704	1.157
1_MACS_peak_394_lociStitched	chr1(.):36553936-36555727	0.8035
1_MACS_peak_395_lociStitched	chr1(.):36614505-36616783	1.045
1_MACS_peak_396_lociStitched	chr1(.):36688667-36690725	0.8832
1_MACS_peak_397_lociStitched	chr1(.):36839154-36840359	0.6882
1_MACS_peak_398_lociStitched	chr1(.):36850264-36853900	0.8707
1_MACS_peak_399_lociStitched	chr1(.):36929507-36930858	0.9243
1_MACS_peak_400_lociStitched	chr1(.):36939463-36940782	0.5759
1_MACS_peak_401_lociStitched	chr1(.):37109224-37110058	0.8693
1_MACS_peak_402_lociStitched	chr1(.):37129267-37129895	0.5811
2_MACS_peak_403_lociStitched	chr1(.):37754118-37759703	0.4958
1_MACS_peak_405_lociStitched	chr1(.):37934711-37935561	0.6843
1_MACS_peak_406_lociStitched	chr1(.):37942152-37943374	0.6204
1_MACS_peak_407_lociStitched	chr1(.):38019579-38020466	0.6741
1_MACS_peak_408_lociStitched	chr1(.):38141258-38143002	0.7517
1_MACS_peak_409_lociStitched	chr1(.):38149756-38150522	0.5614
1_MACS_peak_410_lociStitched	chr1(.):38157077-38158483	0.6329
1_MACS_peak_411_lociStitched	chr1(.):38204632-38205594	0.9127
1_MACS_peak_412_lociStitched	chr1(.):38231404-38232271	0.5065
1_MACS_peak_413_lociStitched	chr1(.):38262271-38263004	0.7033
1_MACS_peak_414_lociStitched	chr1(.):38273637-38274493	0.4365
1_MACS_peak_415_lociStitched	chr1(.):38412221-38413582	0.8425
1_MACS_peak_416_lociStitched	chr1(.):38455211-38456451	0.9028
1_MACS_peak_417_lociStitched	chr1(.):38477571-38479133	0.8338
1_MACS_peak_418_lociStitched	chr1(.):38493342-38494445	1.0066
1_MACS_peak_419_lociStitched	chr1(.):38512790-38513453	0.5045
1_MACS_peak_420_lociStitched	chr1(.):38940008-38942264	0.9531
1_MACS_peak_421_lociStitched	chr1(.):38992423-38993774	1.0447
1_MACS_peak_422_lociStitched	chr1(.):39324444-39325203	0.6485
1_MACS_peak_423_lociStitched	chr1(.):39456212-39457383	0.5361
1_MACS_peak_424_lociStitched	chr1(.):39491437-39492991	0.8361
1_MACS_peak_425_lociStitched	chr1(.):39669917-39671747	0.6446
1_MACS_peak_426_lociStitched	chr1(.):39737480-39738515	0.9198
1_MACS_peak_427_lociStitched	chr1(.):39859952-39860862	0.5565
1_MACS_peak_428_lociStitched	chr1(.):39872898-39874142	0.8011
1_MACS_peak_429_lociStitched	chr1(.):39974270-39976133	1.1822
1_MACS_peak_430_lociStitched	chr1(.):39990988-39992277	1.0218
1_MACS_peak_431_lociStitched	chr1(.):40031082-40032963	0.8444
2_MACS_peak_432_lociStitched	chr1(.):40039927-40043185	0.514
1_MACS_peak_434_lociStitched	chr1(.):40063022-40065231	1.1884
1_MACS_peak_435_lociStitched	chr1(.):40071579-40072392	0.6615
1_MACS_peak_436_lociStitched	chr1(.):40105166-40106041	0.6484
1_MACS_peak_437_lociStitched	chr1(.):40203929-40205047	0.5834
1_MACS_peak_438_lociStitched	chr1(.):40241351-40242632	0.9499
1_MACS_peak_439_lociStitched	chr1(.):40254298-40255423	0.6959
1_MACS_peak_440_lociStitched	chr1(.):40264501-40265903	1.1723
