GENE_ID	locusLine	bin_1_07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam
NM_138300	chr1(.):154924501-154939258	2.0174
NR_036212	chr1(.):154943168-154953259	1.7779
NM_001018017	chr1(.):155153299-155167700	0.2466
NM_198883	chr1(.):155173489-155188624	0.4634
NM_007112	chr1(.):155160378-155182690	0.3804
NR_030281	chr1(.):155159967-155170063	0.1906
NM_001005742	chr1(.):155199238-155219653	0.4912
NM_003993	chr1(.):155227658-155248281	0.4504
NM_181871	chr1(.):155254083-155275792	0.1649
NM_198264	chr1(.):155211995-155230274	0.6197
NM_052837	chr1(.):155220771-155237195	0.347
NM_020897	chr1(.):155242373-155264638	0.3019
NM_001171812	chr1(.):155199238-155216066	0.574
NM_000157	chr1(.):155199238-155216069	0.574
NM_001135821	chr1(.):155273704-155295457	0.7115
NM_002004	chr1(.):155273538-155295457	0.707
NM_005698	chr1(.):155220769-155237195	0.347
NM_000298	chr1(.):155254083-155276225	0.163
NM_006912	chr1(.):155862600-155886177	0.1504
NM_001162384	chr1(.):155911629-155953336	1.6334
NM_181885	chr1(.):155906479-155917625	1.3609
NM_004723	chr1(.):155911629-155952966	1.6385
NM_014949	chr1(.):155877835-155909188	0.33
NR_002974	chr1(.):155884699-155894833	0.0901
NR_003005	chr1(.):155890748-155900877	0.0816
NM_001093725	chr1(.):156036803-156056789	0.1265
NM_003145	chr1(.):155973838-155995758	0.2794
NM_014655	chr1(.):156158729-156187587	0.5237
NM_007221	chr1(.):156177783-156214833	0.6472
NM_022367	chr1(.):156118321-156152542	1.9444
NM_001193302	chr1(.):156118368-156152542	1.9465
NM_001193301	chr1(.):156114734-156152542	1.9049
NM_005920	chr1(.):156428518-156475529	1.1922
NM_198427	chr1(.):156606739-156628264	0.1535
NM_021817	chr1(.):156584085-156600517	0.1398
NM_021948	chr1(.):156606739-156634320	0.8979
NM_004494	chr1(.):156706898-156726543	1.0851
NM_001126051	chr1(.):156706898-156727024	1.0608
NM_001126050	chr1(.):156706898-156727240	1.0505
NM_030980	chr1(.):156687412-156702705	0.3446
NM_001878	chr1(.):156664407-156680375	0.1135
NM_001142560	chr1(.):156693262-156711752	0.57
NM_145729	chr1(.):156702093-156715923	0.4843
NM_006617	chr1(.):156633555-156652189	0.3053
NR_001560	chr1(.):157093153-157103463	0.1361
NM_005240	chr1(.):157097975-157113177	0.5534
NM_001145312	chr1(.):157089458-157113383	0.3866
NM_052939	chr1(.):157642977-157675647	0.1431
NM_030764	chr1(.):157710522-157751922	0.1628
NM_004833	chr1(.):159027274-159051647	1.2617
NM_001778	chr1(.):160643535-160686585	1.8195
NM_003037	chr1(.):160574890-160622081	0.2473
NM_021181	chr1(.):160704076-160729601	1.5125
NM_001077470	chr1(.):161194455-161213000	0.392
NM_001039711	chr1(.):161085768-161107478	0.7365
NM_016406	chr1(.):161118533-161133646	1.0876
NM_004550	chr1(.):161164104-161189184	0.6836
NM_000309	chr1(.):161131180-161146010	0.7372
NM_001643	chr1(.):161187082-161198418	0.8147
NM_001185094	chr1(.):161082907-161095984	0.3262
NM_003779	chr1(.):161136100-161152314	1.8649
NM_012475	chr1(.):161124253-161140516	0.7958
NM_001039712	chr1(.):161085768-161107256	0.7428
NM_005600	chr1(.):161082861-161095984	0.3252
NM_001185093	chr1(.):161082906-161095984	0.3261
NM_032174	chr1(.):161190832-161205407	0.4739
NM_001166159	chr1(.):161166936-161189184	0.7202
NM_005099	chr1(.):161154537-161173845	1.7495
NM_004106	chr1(.):161180086-161194038	0.5243
NM_001102566	chr1(.):161223516-161260240	0.1088
NM_007240	chr1(.):161714580-161731952	0.3395
NM_198053	chr1(.):167394876-167492847	0.3085
NM_001146191	chr1(.):167686186-167766156	0.173
NR_030284	chr1(.):168339761-168349859	0.0792
NM_181093	chr1(.):169816803-169868076	0.4483
NM_002021	chr1(.):171212662-171260113	0.502
NR_033186	chr1(.):178506930-178523024	0.4591
NM_016545	chr1(.):181052637-181064979	0.8474
NM_001127651	chr1(.):183519696-183565056	0.4744
NM_203454	chr1(.):183610410-183627448	0.2747
NM_001190794	chr1(.):183519696-183564739	0.4766
NM_005717	chr1(.):183590331-183609985	0.5881
NM_030934	chr1(.):185082217-185131116	0.3575
NM_002927	chr1(.):192600281-192634389	0.0975
NM_002922	chr1(.):192539856-192554159	1.3017
NM_001195216	chr1(.):197698138-197749623	0.8972
NM_001031725	chr1(.):200608164-200644126	0.3415
NM_005298	chr1(.):200837165-200848251	0.1724
NM_018265	chr1(.):200855638-200889864	1.0246
NM_001142569	chr1(.):200858998-200889864	0.9794
NM_017596	chr1(.):200933519-200997828	0.3995
NR_034150	chr1(.):203262885-203279453	5.2526
NM_003465	chr1(.):203180206-203203860	0.1496
NM_006763	chr1(.):203269663-203283729	3.3455
NM_002023	chr1(.):203304751-203325289	0.2321
NM_002646	chr1(.):204386757-204464474	0.2077
NM_002393	chr1(.):204480510-204532248	0.8835
NM_014858	chr1(.):205192037-205247471	0.4707
NM_018203	chr1(.):205300647-205331039	0.1807
NM_030952	chr1(.):205266190-205295883	0.6191
NM_001123168	chr1(.):206133910-206160074	0.5833
NM_001007544	chr1(.):206233871-206293647	1.4045
NM_148964	chr1(.):206312458-206337104	0.1497
NM_001004023	chr1(.):206803880-206827542	0.1587
NM_006893	chr1(.):206759973-206790904	0.1585
NM_182665	chr1(.):206725491-206767616	1.123
NM_032960	chr1(.):206853288-206912626	0.3144
NM_000572	chr1(.):206935947-206950839	0.569
NM_013371	chr1(.):206997221-207021325	0.428
NM_001185157	chr1(.):207065787-207082484	0.1015
NM_153758	chr1(.):206967214-207021324	0.4725
NM_018724	chr1(.):207034153-207047568	0.1169
NM_002644	chr1(.):207096866-207124811	0.3954
NM_001170631	chr1(.):207126311-207148970	0.1128
NR_026817	chr1(.):207986723-208000941	0.8576
NR_029832	chr1(.):207970196-207980284	0.4452
NR_029518	chr1(.):207970787-207980868	0.5763
NM_152485	chr1(.):209950661-209962890	0.4156
NM_005525	chr1(.):209873190-209913295	0.1214
NM_025228	chr1(.):209924393-209960668	1.2971
NM_183059	chr1(.):211644863-211671259	0.1049
NM_021194	chr1(.):211743380-211757099	1.4564
NM_153606	chr1(.):212792788-212805120	0.1631
NM_001674	chr1(.):212776993-212799116	0.9763
NM_001748	chr1(.):223895118-223968720	0.361
NM_001146068	chr1(.):223884294-223968720	0.3349
NM_001136018	chr1(.):225992796-226038262	0.217
NM_000120	chr1(.):226008001-226038262	0.2335
NM_020997	chr1(.):226068981-226081836	1.3179
NM_014698	chr1(.):226028232-226075420	0.8883
NM_001172425	chr1(.):226119297-226134083	2.1987
NM_013328	chr1(.):226102579-226116965	0.5403
NM_181441	chr1(.):228289379-228302013	0.6558
NR_037415	chr1(.):228279963-228290042	0.1531
NM_001024227	chr1(.):228265850-228291913	0.6582
NM_001024226	chr1(.):228265360-228291913	0.6484
NM_024319	chr1(.):228283427-228296022	0.4245
NM_001159390	chr1(.):228322928-228341655	0.269
NM_182972	chr1(.):234735014-234750271	2.8478
NR_033927	chr1(.):234760056-234775526	0.0953
NM_173858	chr1(.):247414373-247425447	0.0549
NR_037480	chr1(.):247360268-247370362	0.0885
NM_030645	chr1(.):249099650-249125154	0.6105
NM_024836	chr1(.):249127529-249148714	0.5717
NM_001136036	chr1(.):249139202-249158125	0.6331
NM_001193328	chr1(.):249139202-249158315	0.6307
NR_036070	chr1(.):249115575-249125642	1.1314
NM_015535	chr2(.):201165603-201351986	0.3351
NM_001100422	chr2(.):201165984-201351986	0.3356
NM_001100423	chr2(.):201166355-201351986	0.3363
NM_134421	chr2(.):10438825-10572743	0.232
NM_002149	chr2(.):10438039-10572743	0.2323
NM_014600	chr2(.):31451879-31496260	0.1329
NM_001083590	chr2(.):27250773-27269565	0.1696
NM_020458	chr2(.):47163312-47308275	0.5009
NR_033872	chr2(.):70184394-70319147	0.4637
NM_017567	chr2(.):71290407-71310998	0.5488
NM_032827	chr2(.):85975908-86023506	0.0979
NR_015395	chr2(.):112119590-112257692	0.5262
NR_024373	chr2(.):112181885-112257692	0.8876
NM_001099289	chr2(.):109740996-110267207	0.1802
NM_020760	chr2(.):197058976-197462335	0.1954
NM_015488	chr2(.):219130114-219216516	0.2457
NM_022152	chr2(.):219133916-219162280	0.6002
NM_001012514	chr2(.):231724620-231748963	1.417
NM_001037131	chr2(.):236397735-237039120	0.0637
NM_145693	chr2(.):11881739-11972533	0.5964
NM_183360	chr2(.):25595111-25901503	0.3216
NM_170672	chr2(.):33656415-33794798	0.6068
NM_005813	chr2(.):37472645-37549222	0.7164
NM_006449	chr2(.):37865742-37904326	0.5124
NM_005633	chr2(.):39203689-39352604	0.1747
NM_019063	chr2(.):42391489-42564688	0.1153
NM_001083953	chr2(.):43452974-43828113	0.2149
NM_022065	chr2(.):43452974-43828185	0.2149
NM_012249	chr2(.):46764866-46816827	0.6288
NM_178313	chr2(.):54780530-54894445	0.3203
NM_003128	chr2(.):54678453-54903583	0.2555
NM_001039753	chr2(.):54947148-55204156	0.131
NM_022893	chr2(.):60679328-60785633	0.1732
NM_018014	chr2(.):60673301-60785633	0.192
NM_014755	chr2(.):64853754-64886046	0.917
NR_036586	chr2(.):65123973-65164581	1.8214
NM_002398	chr2(.):66657531-66804891	0.2026
NR_027749	chr2(.):74705199-74726691	0.3693
NM_003896	chr2(.):86061270-86121157	0.4562
NR_024204	chr2(.):87749973-87826030	0.6705
NM_004836	chr2(.):88851258-88932094	0.4575
NM_144563	chr2(.):88986175-89055452	0.7667
NM_020151	chr2(.):96845602-96879573	0.226
NM_004027	chr2(.):99056320-99212496	1.1631
NM_001566	chr2(.):99056320-99203284	1.2317
NM_003581	chr2(.):106356519-106515730	0.263
NM_001193483	chr2(.):109145856-109308702	0.232
NM_001142807	chr2(.):111485149-111880799	0.2517
NM_001017927	chr2(.):120055019-120129258	0.3496
NM_002410	chr2(.):135006829-135211468	0.2344
NM_001077269	chr2(.):175419301-175552627	0.4321
NM_001077196	chr2(.):178482976-178758466	0.0862
NM_016953	chr2(.):178482976-178942482	0.0733
NM_001077358	chr2(.):178489126-178792564	0.0681
NM_001077197	chr2(.):178482976-178978066	0.0764
NR_024415	chr2(.):192537797-192558248	1.1939
NM_001031716	chr2(.):192537860-192558248	1.1974
NM_004226	chr2(.):196993306-197041336	0.6045
NM_153697	chr2(.):197959194-198180521	0.2738
NM_001195144	chr2(.):197846385-198180521	0.2071
NM_001228	chr2(.):202093165-202157434	1.1293
NM_003879	chr2(.):201975889-202034003	1.7114
NM_001127184	chr2(.):201975815-202011323	2.6406
NM_173822	chr2(.):201833440-201941392	0.1102
NM_033358	chr2(.):202093165-202151638	1.2339
NM_001037631	chr2(.):204727508-204743683	0.3849
NM_003709	chr2(.):207940528-208035614	0.4884
NM_001167608	chr2(.):227695670-227868923	0.2611
NM_022730	chr2(.):232646161-232678434	0.1048
NM_001017915	chr2(.):233920035-234121549	0.0887
NM_005737	chr2(.):235396685-235410693	0.4197
NM_001137551	chr2(.):238595806-238695290	0.1691
NM_001137550	chr2(.):238531223-238695290	0.1273
NM_017844	chr2(.):241413838-241502405	0.0977
NM_001195381	chr2(.):241539824-241575676	0.027
NM_003108	chr2(.):5827798-5846517	0.8246
NM_002166	chr2(.):8817112-8829583	0.513
NM_002997	chr2(.):20395557-20429927	2.6643
NM_001006946	chr2(.):20395557-20430194	2.644
NM_004040	chr2(.):20641834-20654201	0.5907
NM_178553	chr2(.):27354714-27367332	0.4615
NM_007046	chr2(.):27296434-27314265	0.7633
NM_001166239	chr2(.):27318461-27346773	0.1214
NM_001166240	chr2(.):27317220-27346995	0.1387
NM_013388	chr2(.):27348624-27362542	0.4328
NM_006488	chr2(.):27304610-27328619	0.3269
NM_001035507	chr2(.):27269490-27287403	0.3353
NM_001166241	chr2(.):27317220-27338970	0.0928
NM_032604	chr2(.):27341656-27358680	0.4759
NM_175769	chr2(.):27366944-27380819	0.9456
NM_001134693	chr2(.):27288341-27299567	0.3885
NM_080592	chr2(.):27429898-27445046	0.7106
NM_001170795	chr2(.):27430218-27445046	0.7238
NM_004341	chr2(.):27435257-27471654	0.2529
NM_021095	chr2(.):27417454-27440175	0.4196
NM_001145122	chr2(.):31390921-31445411	0.3597
NM_015376	chr2(.):33733941-33794798	0.2578
NM_001139488	chr2(.):33696320-33794798	0.8225
NM_012413	chr2(.):37566752-37605465	3.2066
NM_138370	chr2(.):42270160-42290668	0.0923
NM_006887	chr2(.):43444540-43458745	3.364
NR_027251	chr2(.):43449349-43460994	1.9852
NM_080653	chr2(.):46733985-46752096	0.0594
NM_173074	chr2(.):46803412-46849251	0.1464
NM_014171	chr2(.):46839324-46857881	0.2171
NM_001171507	chr2(.):47124008-47148251	0.1695
NM_001171506	chr2(.):47124008-47148007	0.1704
NM_001171508	chr2(.):47124008-47173994	0.4365
NM_002354	chr2(.):47591286-47619167	0.0565
NR_002229	chr2(.):54751358-54761978	0.4993
NR_033837	chr2(.):64407212-64437619	0.5739
NR_034023	chr2(.):64829445-64848616	0.2154
NM_001193493	chr2(.):65210578-65256000	0.4809
NM_003038	chr2(.):65211494-65256000	0.4891
NM_015147	chr2(.):65278494-65319142	0.247
NM_181784	chr2(.):65532984-65664656	0.3393
NM_001128210	chr2(.):65532984-65598931	0.1286
NM_001111101	chr2(.):68506302-68552183	0.0974
NM_002664	chr2(.):68587321-68629585	0.5774
NM_173545	chr2(.):68689690-68812294	0.111
NM_001024680	chr2(.):68684504-68699390	0.4427
NM_014882	chr2(.):68996932-69058957	0.2354
NM_001166277	chr2(.):68956912-69058957	0.3915
NM_014482	chr2(.):69087612-69103649	0.0885
NM_006196	chr2(.):70309584-70321334	4.2254
NR_024444	chr2(.):70346167-70357448	1.2541
NR_002185	chr2(.):71246204-71262060	0.1157
NM_053050	chr2(.):74694108-74704927	0.3999
NM_032779	chr2(.):74694958-74715357	0.5228
NM_001146158	chr2(.):74683183-74697537	0.4862
NM_001015056	chr2(.):74647987-74672710	0.1932
NM_012477	chr2(.):74680576-74693010	0.6016
NM_001145054	chr2(.):74636302-74649844	0.3618
NM_001015055	chr2(.):74647987-74674060	0.1862
NM_031288	chr2(.):74677198-74690087	0.4559
NM_032118	chr2(.):74643884-74657882	0.2938
NM_016170	chr2(.):74736595-74749275	0.0683
NM_001009812	chr2(.):74719643-74735443	0.6817
NM_032673	chr2(.):74727169-74739821	0.7811
NR_024606	chr2(.):74724743-74737192	0.8623
NM_006433	chr2(.):85916413-85930875	0.2647
NM_198843	chr2(.):85879439-85900864	0.0813
NM_001042437	chr2(.):86061271-86099793	0.3619
NM_015425	chr2(.):86248450-86338278	0.7317
NM_017952	chr2(.):86328304-86374280	0.125
NR_026984	chr2(.):86242338-86255991	0.1713
NR_015424	chr2(.):89060418-89111109	0.1702
NM_001193304	chr2(.):96910945-96936751	0.5474
NM_001037228	chr2(.):96900976-96912701	0.9585
NM_004804	chr2(.):96926883-96944900	0.1917
NR_026875	chr2(.):97158382-97178846	0.2684
NM_212481	chr2(.):97197463-97223371	1.2829
NM_001193484	chr2(.):109232701-109308702	0.1647
NM_001193485	chr2(.):109266266-109308702	0.1603
NM_001193482	chr2(.):109218616-109308702	0.2301
NM_001193488	chr2(.):109199921-109308702	0.2841
NM_004987	chr2(.):109199766-109308702	0.2838
NR_036224	chr2(.):109925026-109935081	0.0616
NM_002101	chr2(.):127408683-127459246	0.4103
NR_024275	chr2(.):135201959-135217192	0.0623
NM_006186	chr2(.):157175943-157194287	0.3738
NM_004288	chr2(.):158266130-158305604	1.2258
NM_000210	chr2(.):173287313-173376181	0.2723
NM_002610	chr2(.):173415778-173468862	0.5939
NM_003387	chr2(.):175419301-175504307	0.6273
NM_152517	chr2(.):178409880-178422524	0.7652
NM_152275	chr2(.):178474025-178488694	0.5425
NM_002491	chr2(.):201931461-201955473	0.2314
NM_001127183	chr2(.):201978386-202033841	1.79
NM_032974	chr2(.):202042620-202099110	0.6726
NM_001230	chr2(.):202042620-202091383	0.5593
NM_033356	chr2(.):202120222-202157434	1.2773
NM_001080125	chr2(.):202117753-202157434	1.2973
NM_006139	chr2(.):204566197-204607557	1.2845
NR_036227	chr2(.):207969710-207979797	0.0805
NM_001077194	chr2(.):219120737-219133582	0.1323
NM_001087	chr2(.):219123851-219139893	0.2353
NM_182642	chr2(.):219259813-219274148	0.9448
NM_198559	chr2(.):219216578-219237817	0.1282
NM_022572	chr2(.):219182901-219216516	0.0647
NM_021198	chr2(.):219259477-219275664	0.8433
NM_000578	chr2(.):219241751-219266617	0.478
NR_029500	chr2(.):219262368-219272445	0.5564
NM_007127	chr2(.):219278837-219319248	0.064
NM_017431	chr2(.):219682105-219701512	0.0675
NM_025216	chr2(.):219740254-219763651	1.6774
NM_006522	chr2(.):219719545-219743954	0.1349
NM_006000	chr2(.):220110000-220123638	0.7855
NM_001042410	chr2(.):220089609-220106391	0.2415
NR_026909	chr2(.):220105200-220120059	0.7238
NM_018089	chr2(.):220089478-220106391	0.2396
NR_003063	chr2(.):220112964-220141910	0.3365
NM_005689	chr2(.):220069493-220088672	0.4541
