GENE_ID	locusLine	bin_1_H929_jia.bam
1_MACS_peak_92_lociStitched	chr1(.):3772797-3775013	1.0278
1_MACS_peak_93_lociStitched	chr1(.):3815797-3818181	2.3429
2_MACS_peak_94_lociStitched	chr1(.):4035980-4038050	0.382
1_MACS_peak_96_lociStitched	chr1(.):4402783-4405235	0.8299
1_MACS_peak_97_lociStitched	chr1(.):4439233-4440467	0.6713
1_MACS_peak_98_lociStitched	chr1(.):4485386-4486071	0.3661
2_MACS_peak_99_lociStitched	chr1(.):4541382-4543372	0.4875
1_MACS_peak_101_lociStitched	chr1(.):4623472-4624933	0.5303
1_MACS_peak_102_lociStitched	chr1(.):4662275-4666056	1.1543
1_MACS_peak_103_lociStitched	chr1(.):4696832-4697538	0.3529
3_MACS_peak_104_lociStitched	chr1(.):4712358-4721704	1.0312
1_MACS_peak_107_lociStitched	chr1(.):4733415-4737610	0.989
1_MACS_peak_108_lociStitched	chr1(.):4855276-4858154	1.9051
2_MACS_peak_109_lociStitched	chr1(.):4885686-4891665	0.1907
2_MACS_peak_111_lociStitched	chr1(.):4996942-5005206	0.8771
1_MACS_peak_113_lociStitched	chr1(.):5270871-5271552	0.3142
1_MACS_peak_114_lociStitched	chr1(.):5279674-5282126	1.2723
1_MACS_peak_115_lociStitched	chr1(.):5692231-5692960	0.3407
1_MACS_peak_116_lociStitched	chr1(.):5707217-5710249	1.5815
2_MACS_peak_117_lociStitched	chr1(.):6051019-6055979	2.292
1_MACS_peak_119_lociStitched	chr1(.):6068453-6071045	0.8558
1_MACS_peak_120_lociStitched	chr1(.):6083669-6089157	2.5942
1_MACS_peak_121_lociStitched	chr1(.):6257862-6260620	1.3021
1_MACS_peak_122_lociStitched	chr1(.):6294338-6296858	1.3817
1_MACS_peak_123_lociStitched	chr1(.):6320026-6321191	0.4618
1_MACS_peak_124_lociStitched	chr1(.):6419250-6419982	0.4052
1_MACS_peak_125_lociStitched	chr1(.):6452420-6454694	1.0994
2_MACS_peak_126_lociStitched	chr1(.):6549861-6558076	0.6529
1_MACS_peak_128_lociStitched	chr1(.):6613028-6615419	1.1284
2_MACS_peak_129_lociStitched	chr1(.):6639399-6641491	1.1759
1_MACS_peak_131_lociStitched	chr1(.):6659209-6664749	2.1837
2_MACS_peak_132_lociStitched	chr1(.):6672482-6675431	1.9579
1_MACS_peak_134_lociStitched	chr1(.):6684619-6686581	1.1555
1_MACS_peak_135_lociStitched	chr1(.):6733114-6735270	0.9373
1_MACS_peak_136_lociStitched	chr1(.):6760742-6762143	0.9181
2_MACS_peak_137_lociStitched	chr1(.):6843402-6846852	1.9975
1_MACS_peak_139_lociStitched	chr1(.):6880248-6883552	0.6997
1_MACS_peak_140_lociStitched	chr1(.):6901730-6902565	0.4696
2_MACS_peak_141_lociStitched	chr1(.):6928346-6933452	0.1999
1_MACS_peak_143_lociStitched	chr1(.):6961123-6962374	0.4201
2_MACS_peak_144_lociStitched	chr1(.):6977489-6983759	1.2606
1_MACS_peak_146_lociStitched	chr1(.):7021754-7023304	0.4995
1_MACS_peak_147_lociStitched	chr1(.):7466931-7467671	0.3595
2_MACS_peak_148_lociStitched	chr1(.):7608741-7616189	0.4519
1_MACS_peak_150_lociStitched	chr1(.):7642635-7643694	0.5013
1_MACS_peak_151_lociStitched	chr1(.):7681498-7682121	0.2935
2_MACS_peak_152_lociStitched	chr1(.):7732494-7741362	0.2765
2_MACS_peak_154_lociStitched	chr1(.):7764077-7765259	0.5236
1_MACS_peak_156_lociStitched	chr1(.):7830651-7832234	0.7632
1_MACS_peak_157_lociStitched	chr1(.):7843074-7844411	0.5556
1_MACS_peak_158_lociStitched	chr1(.):7889384-7890467	0.4207
1_MACS_peak_159_lociStitched	chr1(.):7902252-7903666	0.4627
2_MACS_peak_160_lociStitched	chr1(.):7959573-7963023	0.2369
2_MACS_peak_162_lociStitched	chr1(.):8013833-8022969	0.4081
1_MACS_peak_164_lociStitched	chr1(.):8085603-8086652	0.8212
2_MACS_peak_165_lociStitched	chr1(.):8455057-8457864	0.5776
1_MACS_peak_167_lociStitched	chr1(.):8554093-8555370	0.4879
2_MACS_peak_168_lociStitched	chr1(.):8655450-8665602	0.5786
1_MACS_peak_170_lociStitched	chr1(.):8760530-8763948	0.8723
1_MACS_peak_171_lociStitched	chr1(.):8822734-8823497	0.3948
1_MACS_peak_172_lociStitched	chr1(.):8875298-8878979	2.1368
1_MACS_peak_173_lociStitched	chr1(.):8889177-8890337	0.3788
2_MACS_peak_174_lociStitched	chr1(.):8904247-8909195	0.3768
1_MACS_peak_176_lociStitched	chr1(.):8916607-8919917	1.7076
1_MACS_peak_177_lociStitched	chr1(.):8931840-8940448	1.8744
1_MACS_peak_178_lociStitched	chr1(.):9106822-9107343	0.2915
1_MACS_peak_179_lociStitched	chr1(.):9137442-9142410	1.6663
1_MACS_peak_180_lociStitched	chr1(.):9160748-9161983	0.4464
1_MACS_peak_181_lociStitched	chr1(.):9187778-9190245	1.0781
1_MACS_peak_182_lociStitched	chr1(.):9222031-9226217	2.8721
1_MACS_peak_183_lociStitched	chr1(.):9240543-9243478	2.4161
3_MACS_peak_184_lociStitched	chr1(.):9291814-9301204	0.6903
2_MACS_peak_187_lociStitched	chr1(.):9334849-9343610	0.6195
1_MACS_peak_189_lociStitched	chr1(.):9352387-9354172	1.5849
1_MACS_peak_190_lociStitched	chr1(.):9374839-9376689	0.7548
1_MACS_peak_191_lociStitched	chr1(.):9392454-9393410	0.4462
1_MACS_peak_192_lociStitched	chr1(.):9472766-9474263	0.6098
3_MACS_peak_193_lociStitched	chr1(.):9485893-9489740	0.544
2_MACS_peak_196_lociStitched	chr1(.):9550616-9555886	0.1754
1_MACS_peak_198_lociStitched	chr1(.):9598797-9601066	1.0649
1_MACS_peak_199_lociStitched	chr1(.):9614486-9616528	1.0057
1_MACS_peak_200_lociStitched	chr1(.):9633341-9634018	0.5473
2_MACS_peak_201_lociStitched	chr1(.):9648152-9650372	1.0272
1_MACS_peak_203_lociStitched	chr1(.):9748795-9750055	0.5923
1_MACS_peak_204_lociStitched	chr1(.):9818629-9821600	1.6674
1_MACS_peak_205_lociStitched	chr1(.):9846855-9848712	0.8722
1_MACS_peak_206_lociStitched	chr1(.):9882262-9884328	1.5965
1_MACS_peak_207_lociStitched	chr1(.):9953181-9954072	0.3846
2_MACS_peak_208_lociStitched	chr1(.):9968999-9971777	1.1338
1_MACS_peak_210_lociStitched	chr1(.):10002227-10004367	1.331
2_MACS_peak_211_lociStitched	chr1(.):10092167-10094291	1.4314
1_MACS_peak_213_lociStitched	chr1(.):10229517-10230607	0.4095
1_MACS_peak_214_lociStitched	chr1(.):10249214-10250797	0.8311
1_MACS_peak_215_lociStitched	chr1(.):10269559-10272615	1.9865
1_MACS_peak_216_lociStitched	chr1(.):10302384-10303873	0.7045
1_MACS_peak_217_lociStitched	chr1(.):10311081-10312494	0.5967
1_MACS_peak_218_lociStitched	chr1(.):10433968-10434808	0.4383
1_MACS_peak_219_lociStitched	chr1(.):10458208-10460731	0.9253
1_MACS_peak_220_lociStitched	chr1(.):10489964-10491780	1.0019
1_MACS_peak_221_lociStitched	chr1(.):10515828-10518607	1.3284
2_MACS_peak_222_lociStitched	chr1(.):10531680-10536232	0.7897
1_MACS_peak_224_lociStitched	chr1(.):10554612-10556204	1.1517
1_MACS_peak_225_lociStitched	chr1(.):10654485-10655221	0.3516
1_MACS_peak_226_lociStitched	chr1(.):10753640-10755210	0.412
1_MACS_peak_227_lociStitched	chr1(.):10809307-10810179	0.3263
1_MACS_peak_228_lociStitched	chr1(.):10854510-10855802	0.7111
1_MACS_peak_229_lociStitched	chr1(.):10926768-10927957	0.6563
1_MACS_peak_230_lociStitched	chr1(.):10969460-10970193	0.4383
1_MACS_peak_231_lociStitched	chr1(.):10991718-10992545	0.482
2_MACS_peak_232_lociStitched	chr1(.):10999034-11011044	0.6583
1_MACS_peak_234_lociStitched	chr1(.):11071867-11073879	1.5825
1_MACS_peak_235_lociStitched	chr1(.):11118402-11123734	1.7757
1_MACS_peak_236_lociStitched	chr1(.):11158849-11160549	1.3204
1_MACS_peak_237_lociStitched	chr1(.):11286402-11288349	0.5909
2_MACS_peak_238_lociStitched	chr1(.):11321529-11323441	1.0446
1_MACS_peak_240_lociStitched	chr1(.):11333162-11335275	1.3446
1_MACS_peak_241_lociStitched	chr1(.):11358791-11360066	0.458
1_MACS_peak_242_lociStitched	chr1(.):11538428-11540077	1.292
3_MACS_peak_243_lociStitched	chr1(.):11623271-11630487	0.506
1_MACS_peak_246_lociStitched	chr1(.):11639321-11640459	0.5846
2_MACS_peak_247_lociStitched	chr1(.):11710580-11715692	0.3578
1_MACS_peak_249_lociStitched	chr1(.):11723996-11725161	0.5953
1_MACS_peak_250_lociStitched	chr1(.):11740279-11742193	1.4972
2_MACS_peak_251_lociStitched	chr1(.):11790371-11797328	0.2705
1_MACS_peak_253_lociStitched	chr1(.):11864746-11867486	1.4095
1_MACS_peak_254_lociStitched	chr1(.):11967681-11970554	2.593
3_MACS_peak_255_lociStitched	chr1(.):11983520-11995769	0.6408
1_MACS_peak_258_lociStitched	chr1(.):12039701-12041441	1.3984
1_MACS_peak_259_lociStitched	chr1(.):12061083-12062308	0.5692
1_MACS_peak_260_lociStitched	chr1(.):12079485-12080731	1.4367
2_MACS_peak_261_lociStitched	chr1(.):12106919-12114984	1.0706
2_MACS_peak_263_lociStitched	chr1(.):12139211-12142293	0.259
1_MACS_peak_265_lociStitched	chr1(.):12155617-12156743	0.4289
1_MACS_peak_266_lociStitched	chr1(.):12208245-12209801	0.3912
2_MACS_peak_267_lociStitched	chr1(.):12220949-12228629	1.1814
1_MACS_peak_269_lociStitched	chr1(.):12290067-12291559	1.1811
1_MACS_peak_270_lociStitched	chr1(.):12493741-12496894	0.8495
1_MACS_peak_271_lociStitched	chr1(.):12508419-12510467	0.6006
1_MACS_peak_272_lociStitched	chr1(.):12655316-12657232	0.9041
1_MACS_peak_273_lociStitched	chr1(.):12896953-12898200	0.5842
1_MACS_peak_274_lociStitched	chr1(.):13153672-13154496	0.4139
1_MACS_peak_275_lociStitched	chr1(.):13207108-13208061	0.4254
1_MACS_peak_276_lociStitched	chr1(.):14026201-14027457	1.0337
1_MACS_peak_277_lociStitched	chr1(.):14056744-14058218	0.7928
1_MACS_peak_278_lociStitched	chr1(.):14074908-14077589	1.4932
1_MACS_peak_279_lociStitched	chr1(.):14155482-14156088	0.5039
1_MACS_peak_280_lociStitched	chr1(.):14329784-14330778	0.3475
1_MACS_peak_281_lociStitched	chr1(.):14365884-14367484	0.6356
1_MACS_peak_282_lociStitched	chr1(.):14440421-14441085	0.3303
1_MACS_peak_283_lociStitched	chr1(.):15250029-15251662	0.7324
3_MACS_peak_284_lociStitched	chr1(.):15479757-15488564	0.7528
1_MACS_peak_287_lociStitched	chr1(.):15501942-15503588	0.7305
1_MACS_peak_288_lociStitched	chr1(.):15533098-15535375	1.0203
1_MACS_peak_289_lociStitched	chr1(.):15557583-15559065	0.476
1_MACS_peak_290_lociStitched	chr1(.):15610852-15611990	0.4982
1_MACS_peak_291_lociStitched	chr1(.):15623632-15624453	0.4657
1_MACS_peak_292_lociStitched	chr1(.):15727566-15728802	0.4555
1_MACS_peak_293_lociStitched	chr1(.):15735658-15738262	1.5186
1_MACS_peak_294_lociStitched	chr1(.):15782043-15783019	0.5613
2_MACS_peak_295_lociStitched	chr1(.):15849871-15854285	1.2495
2_MACS_peak_297_lociStitched	chr1(.):15905432-15912131	0.6479
1_MACS_peak_299_lociStitched	chr1(.):15929401-15930785	0.8635
1_MACS_peak_300_lociStitched	chr1(.):15942772-15945820	1.4404
1_MACS_peak_301_lociStitched	chr1(.):15953851-15954575	0.3786
1_MACS_peak_302_lociStitched	chr1(.):16009915-16012087	2.5097
1_MACS_peak_303_lociStitched	chr1(.):16023347-16024236	0.4349
1_MACS_peak_304_lociStitched	chr1(.):16072427-16073531	0.3892
1_MACS_peak_305_lociStitched	chr1(.):16150114-16150711	0.3295
1_MACS_peak_306_lociStitched	chr1(.):16159128-16163693	3.2975
1_MACS_peak_307_lociStitched	chr1(.):16172980-16179530	2.2249
1_MACS_peak_308_lociStitched	chr1(.):16301530-16303356	1.0272
1_MACS_peak_309_lociStitched	chr1(.):16338386-16344184	2.3084
1_MACS_peak_310_lociStitched	chr1(.):16384925-16385791	0.4036
2_MACS_peak_311_lociStitched	chr1(.):16399414-16406054	0.3093
1_MACS_peak_313_lociStitched	chr1(.):16493867-16494761	0.4713
1_MACS_peak_314_lociStitched	chr1(.):16532305-16534516	1.3825
1_MACS_peak_315_lociStitched	chr1(.):16542835-16544686	0.7163
1_MACS_peak_316_lociStitched	chr1(.):16562357-16564467	1.1327
1_MACS_peak_317_lociStitched	chr1(.):16574654-16576348	0.6668
1_MACS_peak_318_lociStitched	chr1(.):16677310-16679707	1.8405
1_MACS_peak_319_lociStitched	chr1(.):16692992-16695496	2.3211
1_MACS_peak_320_lociStitched	chr1(.):16717480-16718825	0.5584
1_MACS_peak_321_lociStitched	chr1(.):16766702-16768358	1.0864
2_MACS_peak_322_lociStitched	chr1(.):16824573-16833101	0.3325
1_MACS_peak_325_lociStitched	chr1(.):16938961-16940877	2.1233
1_MACS_peak_326_lociStitched	chr1(.):16969459-16972337	3.9467
1_MACS_peak_327_lociStitched	chr1(.):16992117-16994657	2.3532
1_MACS_peak_328_lociStitched	chr1(.):17012338-17012979	0.4887
1_MACS_peak_329_lociStitched	chr1(.):17022640-17024069	0.6324
1_MACS_peak_330_lociStitched	chr1(.):17065867-17068415	2.2465
2_MACS_peak_331_lociStitched	chr1(.):17221283-17233185	2.1722
1_MACS_peak_333_lociStitched	chr1(.):17239745-17242070	2.0927
1_MACS_peak_334_lociStitched	chr1(.):17287098-17288124	0.5798
1_MACS_peak_335_lociStitched	chr1(.):17337553-17338684	0.6702
2_MACS_peak_336_lociStitched	chr1(.):17379199-17381385	1.0715
1_MACS_peak_338_lociStitched	chr1(.):17407705-17408321	0.3372
1_MACS_peak_339_lociStitched	chr1(.):17482190-17483307	0.3367
1_MACS_peak_340_lociStitched	chr1(.):17508146-17508881	0.3358
1_MACS_peak_341_lociStitched	chr1(.):17600711-17601719	0.5013
1_MACS_peak_342_lociStitched	chr1(.):17645581-17646738	0.4264
1_MACS_peak_343_lociStitched	chr1(.):17763330-17769273	2.3119
1_MACS_peak_344_lociStitched	chr1(.):17803808-17804557	0.4974
1_MACS_peak_345_lociStitched	chr1(.):17813659-17815894	0.8347
1_MACS_peak_346_lociStitched	chr1(.):17865631-17867216	0.824
3_MACS_peak_347_lociStitched	chr1(.):17895927-17909008	0.21
1_MACS_peak_350_lociStitched	chr1(.):17956247-17957031	0.3651
1_MACS_peak_351_lociStitched	chr1(.):18016988-18018364	0.5883
1_MACS_peak_352_lociStitched	chr1(.):18200864-18201893	0.3914
1_MACS_peak_353_lociStitched	chr1(.):18817074-18818361	0.4694
1_MACS_peak_354_lociStitched	chr1(.):18905413-18905949	0.3857
1_MACS_peak_355_lociStitched	chr1(.):19119654-19122473	1.6682
1_MACS_peak_356_lociStitched	chr1(.):19228219-19230006	1.1639
1_MACS_peak_357_lociStitched	chr1(.):19252542-19255105	2.2138
3_MACS_peak_358_lociStitched	chr1(.):19276563-19284072	1.029
1_MACS_peak_361_lociStitched	chr1(.):19535397-19538581	1.5416
1_MACS_peak_362_lociStitched	chr1(.):19577078-19579895	1.2701
1_MACS_peak_363_lociStitched	chr1(.):19637459-19639761	1.1935
1_MACS_peak_364_lociStitched	chr1(.):19810703-19813576	1.7579
1_MACS_peak_365_lociStitched	chr1(.):19922524-19924851	1.3954
1_MACS_peak_366_lociStitched	chr1(.):20125271-20127735	1.8835
2_MACS_peak_367_lociStitched	chr1(.):20208191-20209973	0.845
1_MACS_peak_369_lociStitched	chr1(.):20406876-20408423	0.5481
1_MACS_peak_370_lociStitched	chr1(.):20478139-20479038	0.8208
1_MACS_peak_371_lociStitched	chr1(.):20833794-20835189	0.7886
1_MACS_peak_372_lociStitched	chr1(.):20942680-20943806	0.3878
1_MACS_peak_373_lociStitched	chr1(.):20959704-20961124	0.9343
1_MACS_peak_374_lociStitched	chr1(.):20984427-20988992	1.5063
1_MACS_peak_375_lociStitched	chr1(.):21004725-21006181	0.5628
1_MACS_peak_376_lociStitched	chr1(.):21022585-21023819	1.5641
1_MACS_peak_377_lociStitched	chr1(.):21111261-21114735	1.9336
1_MACS_peak_378_lociStitched	chr1(.):21348363-21349659	0.5286
1_MACS_peak_379_lociStitched	chr1(.):21500919-21503974	1.8073
1_MACS_peak_380_lociStitched	chr1(.):21615653-21623774	2.5516
1_MACS_peak_381_lociStitched	chr1(.):21660115-21662216	1.3607
1_MACS_peak_382_lociStitched	chr1(.):21670286-21672611	1.2765
1_MACS_peak_383_lociStitched	chr1(.):21754313-21755052	0.4809
1_MACS_peak_384_lociStitched	chr1(.):21766018-21767503	0.7541
1_MACS_peak_385_lociStitched	chr1(.):21948958-21949713	0.3813
2_MACS_peak_386_lociStitched	chr1(.):22026461-22031381	0.207
1_MACS_peak_388_lociStitched	chr1(.):22106091-22110736	2.331
1_MACS_peak_389_lociStitched	chr1(.):22117538-22119238	1.063
1_MACS_peak_390_lociStitched	chr1(.):22140258-22143108	0.981
1_MACS_peak_391_lociStitched	chr1(.):22263359-22264570	0.6464
1_MACS_peak_392_lociStitched	chr1(.):22350086-22353654	3.0703
1_MACS_peak_393_lociStitched	chr1(.):22365682-22367661	1.7733
1_MACS_peak_394_lociStitched	chr1(.):22378344-22380855	2.4891
1_MACS_peak_395_lociStitched	chr1(.):22400866-22402224	0.4526
1_MACS_peak_396_lociStitched	chr1(.):22426544-22429044	0.9995
1_MACS_peak_397_lociStitched	chr1(.):22443830-22446543	1.0927
1_MACS_peak_398_lociStitched	chr1(.):22468932-22470370	0.5862
1_MACS_peak_399_lociStitched	chr1(.):22489207-22490529	0.465
1_MACS_peak_400_lociStitched	chr1(.):22755249-22755804	0.3595
1_MACS_peak_401_lociStitched	chr1(.):22777681-22779273	0.612
2_MACS_peak_402_lociStitched	chr1(.):22820400-22823716	0.471
1_MACS_peak_404_lociStitched	chr1(.):22834961-22835626	0.3042
1_MACS_peak_405_lociStitched	chr1(.):22989516-22990293	0.5229
1_MACS_peak_406_lociStitched	chr1(.):23036466-23039309	0.8598
1_MACS_peak_407_lociStitched	chr1(.):23080186-23081233	0.4936
1_MACS_peak_408_lociStitched	chr1(.):23345317-23347644	1.3034
1_MACS_peak_409_lociStitched	chr1(.):23493936-23495856	1.1276
1_MACS_peak_410_lociStitched	chr1(.):23666822-23672103	2.0327
1_MACS_peak_411_lociStitched	chr1(.):23694074-23696812	1.9568
1_MACS_peak_412_lociStitched	chr1(.):23727747-23730892	2.6297
1_MACS_peak_413_lociStitched	chr1(.):23810053-23811489	0.9382
1_MACS_peak_414_lociStitched	chr1(.):23823505-23824454	0.4687
2_MACS_peak_415_lociStitched	chr1(.):23849062-23866764	2.5823
1_MACS_peak_417_lociStitched	chr1(.):23880199-23886767	2.0578
1_MACS_peak_418_lociStitched	chr1(.):23902929-23905144	1.0374
1_MACS_peak_419_lociStitched	chr1(.):23916595-23921832	2.1157
1_MACS_peak_420_lociStitched	chr1(.):23928252-23929359	0.396
2_MACS_peak_421_lociStitched	chr1(.):23937864-23947022	0.6288
1_MACS_peak_423_lociStitched	chr1(.):23960997-23962320	0.5335
1_MACS_peak_424_lociStitched	chr1(.):23990841-23992284	0.5191
2_MACS_peak_425_lociStitched	chr1(.):24017670-24024679	0.6569
1_MACS_peak_427_lociStitched	chr1(.):24045521-24046229	0.3884
2_MACS_peak_428_lociStitched	chr1(.):24063262-24072113	0.661
1_MACS_peak_430_lociStitched	chr1(.):24104088-24106102	1.0936
1_MACS_peak_431_lociStitched	chr1(.):24116961-24119025	1.1649
1_MACS_peak_432_lociStitched	chr1(.):24125510-24128018	1.3307
1_MACS_peak_433_lociStitched	chr1(.):24151126-24152637	1.1295
1_MACS_peak_434_lociStitched	chr1(.):24181172-24182209	0.4983
1_MACS_peak_435_lociStitched	chr1(.):24193927-24195444	0.6466
2_MACS_peak_436_lociStitched	chr1(.):24284556-24292641	1.6292
2_MACS_peak_438_lociStitched	chr1(.):24303374-24307714	1.6046
1_MACS_peak_440_lociStitched	chr1(.):24357623-24358247	0.5359
1_MACS_peak_441_lociStitched	chr1(.):24468849-24470042	0.6758
1_MACS_peak_442_lociStitched	chr1(.):24476965-24477709	0.3754
1_MACS_peak_443_lociStitched	chr1(.):24503639-24504386	0.4284
3_MACS_peak_444_lociStitched	chr1(.):24511870-24531650	1.9833
1_MACS_peak_447_lociStitched	chr1(.):24552825-24555177	0.7407
1_MACS_peak_448_lociStitched	chr1(.):24562079-24563439	0.6457
1_MACS_peak_449_lociStitched	chr1(.):24634789-24635512	0.3647
1_MACS_peak_450_lociStitched	chr1(.):24647378-24649828	2.1462
1_MACS_peak_451_lociStitched	chr1(.):24677519-24679326	0.5718
1_MACS_peak_452_lociStitched	chr1(.):24690979-24692611	0.8122
2_MACS_peak_453_lociStitched	chr1(.):24710051-24719666	1.1617
2_MACS_peak_455_lociStitched	chr1(.):24739390-24743561	0.6101
1_MACS_peak_457_lociStitched	chr1(.):24828449-24830259	1.1404
3_MACS_peak_458_lociStitched	chr1(.):24861355-24868802	0.2045
1_MACS_peak_461_lociStitched	chr1(.):24883876-24885255	0.7102
1_MACS_peak_462_lociStitched	chr1(.):24967837-24971908	1.6138
1_MACS_peak_463_lociStitched	chr1(.):25020418-25021478	0.4674
1_MACS_peak_464_lociStitched	chr1(.):25030931-25033831	1.9034
1_MACS_peak_465_lociStitched	chr1(.):25052975-25054978	1.1743
2_MACS_peak_466_lociStitched	chr1(.):25069824-25074730	2.0301
1_MACS_peak_468_lociStitched	chr1(.):25174624-25175220	0.3335
1_MACS_peak_469_lociStitched	chr1(.):25254502-25257566	1.4708
1_MACS_peak_470_lociStitched	chr1(.):25290373-25293305	1.0876
5_MACS_peak_471_lociStitched	chr1(.):25347577-25359988	1.0122
1_MACS_peak_476_lociStitched	chr1(.):25422102-25422812	0.3279
1_MACS_peak_477_lociStitched	chr1(.):25454275-25455362	0.3228
1_MACS_peak_478_lociStitched	chr1(.):25531528-25533164	0.4099
4_MACS_peak_479_lociStitched	chr1(.):25557981-25574962	0.7961
1_MACS_peak_483_lociStitched	chr1(.):25592653-25595071	1.6522
1_MACS_peak_484_lociStitched	chr1(.):25653949-25655633	0.7019
1_MACS_peak_485_lociStitched	chr1(.):25662883-25666412	2.1375
1_MACS_peak_486_lociStitched	chr1(.):25688787-25690481	0.5883
1_MACS_peak_487_lociStitched	chr1(.):25755948-25758976	1.2609
1_MACS_peak_488_lociStitched	chr1(.):25776166-25777525	0.3955
