REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
12_MACS_peak_60_lociStitched	chr1	955525	1016778	12	56665	104074.9723	5145.252	61	AGRN	ISG15,C1orf170,HES4,C1orf159	AGRN	61	1
19_MACS_peak_30169_lociStitched	chr4	8586018	8659488	19	69943	103247.391	5392.698	62	GPR78,CPZ		CPZ	62	1
12_MACS_peak_476_lociStitched	chr1	3296826	3362080	12	63589	102174.7132	4482.9498	63	PRDM16	ARHGEF16	ARHGEF16	63	1
23_MACS_peak_2101_lociStitched	chr1	16410007	16483445	23	67879	103253.828	6631.4514	64	EPHA2	CLCNKB,FAM131C	EPHA2	64	1
24_MACS_peak_1779_lociStitched	chr1	10907197	10980570	24	67659	102626.8151	6816.3517	65			CASZ1	65	1
18_MACS_peak_417_lociStitched	chr1	3031257	3097107	18	61927	99308.385	4464.63	66	PRDM16,MIR4251	FLJ42875	MIR4251	66	1
4_MACS_peak_31408_lociStitched	chr6	31990125	32033185	4	42742	97991.642	4792.578	67	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	67	1
20_MACS_peak_27217_lociStitched	chr22	40036633	40108031	20	66190	99435.9946	6618.5946	68	CACNA1I		CACNA1I	68	1
17_MACS_peak_36829_lociStitched	chr9	137653302	137717068	17	60086	97657.629	4890.8522	69	COL5A1	MIR3689B,MIR3689A	MIR3689B	69	1
35_MACS_peak_16829_lociStitched	chr17	77998947	78074423	35	68007	99145.2736	6755.102	70	CCDC40,TBC1D16	GAA,EIF4A3	CCDC40	70	1
11_MACS_peak_36561_lociStitched	chr9	136368609	136426557	11	56207	95961.888	4363.4844	71	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	71	1
9_MACS_peak_1067_lociStitched	chr1	6180857	6234632	9	52028	95966.865	4882.77	72	CHD5	RNF207,RPL22	CHD5	72	1
31_MACS_peak_29673_lociStitched	chr4	7234059	7317181	31	74995	97784.7208	6857.565	73	SORCS2		SORCS2	73	1
6_MACS_peak_25714_lociStitched	chr21	45900395	45954051	6	52101	97707.576	6937.7208	74	C21orf90,C21orf29	LRRC3,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	74	1
6_MACS_peak_7335_lociStitched	chr11	61442177	61499686	6	56713	95654.7197	5250.5717	75	DAGLA	C11orf9,DKFZP434K028	DAGLA	75	1
8_MACS_peak_25105_lociStitched	chr20	61585804	61640598	8	53727	95379.9158	5090.3626	76	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	76	1
2_MACS_peak_21722_lociStitched	chr19	50594116	50643885	2	49743	104992.6824	15139.7298	77	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2,SNAR-D	FLJ26850,IZUMO2	SNAR-B1	77	1
10_MACS_peak_11800_lociStitched	chr16	1084598	1140873	10	54412	92831.24	3764.7975	78	SSTR5,LOC146336,C1QTNF8		SSTR5	78	1
30_MACS_peak_3474_lociStitched	chr1	23079712	23158899	30	72537	95634.1399	6786.3259	79	EPHB2	MIR4253	MIR4253	79	1
6_MACS_peak_35811_lociStitched	chr9	129370375	129420476	6	47391	92862.2035	4474.0193	80	LMX1B		LMX1B	80	1
18_MACS_peak_36104_lociStitched	chr9	133249623	133314650	18	61254	93482.8152	5169.6465	81		ASS1	ASS1	81	1
15_MACS_peak_37181_lociStitched	chr9	138860257	138919559	15	56508	92866.932	4589.9748	82	NACC2	UBAC1	UBAC1	82	1
20_MACS_peak_29370_lociStitched	chr4	3625783	3693883	20	62761	93753.27	5822.55	83	LOC100133461		LOC100133461	83	1
9_MACS_peak_29333_lociStitched	chr4	3457089	3499480	9	40659	90848.1521	3717.6907	84	DOK7	HGFAC,LRPAP1	DOK7	84	1
19_MACS_peak_7270_lociStitched	chr11	61272481	61332808	19	56221	92414.9313	5344.9722	85	LRRC10B,SYT7	C11orf66,RPLP0P2	LRRC10B	85	1
10_MACS_peak_17710_lociStitched	chr19	4183547	4240450	10	54973	95403.5698	8421.644	86	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	86	1
6_MACS_peak_25194_lociStitched	chr20	62074808	62122554	6	46675	90440.4732	3910.3974	87	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	87	1
12_MACS_peak_17962_lociStitched	chr19	5828100	5890982	12	61392	94819.7678	8778.3272	88	NRTN,FUT6,FUT3,FUT5	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	88	1
19_MACS_peak_3307_lociStitched	chr1	22542421	22609904	19	62564	92289.7508	6451.3748	89			WNT4	89	1
23_MACS_peak_8080_lociStitched	chr11	69969134	70036846	23	62527	90564.8	5396.6464	90	ANO1	FADD	FADD	90	1
3_MACS_peak_37236_lociStitched	chr9	139216987	139252804	3	35525	86856.225	2757.909	91	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	91	1
11_MACS_peak_25079_lociStitched	chr20	61373027	61422165	11	46053	87514.778	4117.7644	92	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	92	1
33_MACS_peak_2232_lociStitched	chr1	17407880	17478559	33	63270	89635.1078	6551.9433	93	PADI2	SDHB	PADI2	93	1
26_MACS_peak_7503_lociStitched	chr11	64386436	64455655	26	62897	89257.9005	6388.9137	94	NRXN2	SLC22A12	NRXN2	94	1
28_MACS_peak_6845_lociStitched	chr11	1702242	1770087	28	58123	88829.4585	6553.827	95	KRTAP5-6,MOB2,FAM99B,LOC402778	FAM99A,CTSD	KRTAP5-6	95	1
9_MACS_peak_28968_lociStitched	chr3	128168919	128216791	9	46160	86906.8288	4801.5616	96	DNAJB8,GATA2	LOC90246	DNAJB8	96	1
11_MACS_peak_450_lociStitched	chr1	3178022	3235624	11	54157	85250.96	3778.6912	97	PRDM16		MIR4251	97	1
4_MACS_peak_33108_lociStitched	chr7	149498201	149532728	4	34391	85240.2576	4578.2802	98	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	98	1
3_MACS_peak_34670_lociStitched	chr8	142013017	142060296	3	46377	86704.9581	6146.27	99		PTK2	PTK2	99	1
10_MACS_peak_9835_lociStitched	chr12	57570178	57619839	10	46942	86017.8181	5641.4896	100	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	100	1
2_MACS_peak_26129_lociStitched	chr22	20151857	20192771	2	40871	82989.9576	3461.3244	101		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	101	1
8_MACS_peak_21551_lociStitched	chr19	49521170	49575050	8	51861	83303.868	5291.016	102	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	102	1
17_MACS_peak_400_lociStitched	chr1	2969869	3029906	17	55089	81308.1091	3386.0868	103	PRDM16,FLJ42875	ACTRT2,MIR4251	PRDM16	103	1
21_MACS_peak_146_lociStitched	chr1	1851136	1910650	21	53915	83093.4468	5427.6768	104	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	104	1
9_MACS_peak_34693_lociStitched	chr8	142359940	142412834	9	51407	81906.359	4501.2794	105	GPR20	LOC731779,PTP4A3	GPR20	105	1
3_MACS_peak_25186_lociStitched	chr20	62022104	62063197	3	40894	80357.3615	3049.1006	106	KCNQ2	CHRNA4,KCNQ2	CHRNA4	106	1
19_MACS_peak_36350_lociStitched	chr9	135335810	135400955	19	59456	82545.2295	5784.876	107	C9orf171		C9orf171	107	1
21_MACS_peak_29390_lociStitched	chr4	3701023	3763406	21	58524	81503.3895	4828.4442	108		ADRA2C,LOC100133461	ADRA2C	108	1
4_MACS_peak_2091_lociStitched	chr1	16339293	16380607	4	39948	79033.682	3668.6832	109	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	109	1
9_MACS_peak_25679_lociStitched	chr21	45760683	45802952	9	40795	80606.983	5714.7688	110	TRPM2	PFKL,C21orf2	TRPM2	110	1
9_MACS_peak_25519_lociStitched	chr21	43763107	43807791	9	42084	80895.9136	6380.8752	111	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	111	1
12_MACS_peak_1767_lociStitched	chr1	10853778	10905284	12	49474	79108.0654	4795.2086	112	CASZ1		CASZ1	112	1
12_MACS_peak_16817_lociStitched	chr17	77941718	77995859	12	50484	77567.8107	4991.8002	113	TBC1D16	CCDC40	TBC1D16	113	1
13_MACS_peak_33144_lociStitched	chr7	150940765	150977790	13	34657	77756.2025	5601.8825	114	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	114	1
20_MACS_peak_30915_lociStitched	chr5	176117203	176176880	20	54905	76816.2344	5263.5114	115		TSPAN17	TSPAN17	115	1
11_MACS_peak_17333_lociStitched	chr19	819305	862141	11	39125	76487.9616	5118.902	116	AZU1,PRTN3,ELANE,CFD,LPPR3	PTBP1,MIR3187,MED16	PRTN3	116	1
14_MACS_peak_37154_lociStitched	chr9	138571940	138624400	14	50275	75075.506	3740.398	117	KCNT1,SOHLH1	LCN9,GLT6D1	KCNT1	117	1
5_MACS_peak_27018_lociStitched	chr22	37469351	37514135	5	43807	75384.9072	4469.4432	118	TMPRSS6	KCTD17,IL2RB	TMPRSS6	118	1
6_MACS_peak_37221_lociStitched	chr9	139013405	139056342	6	41267	74083.4998	3413.4915	119		NACC2,C9orf69,LHX3	C9orf69	119	1
17_MACS_peak_13760_lociStitched	chr17	724905	783159	17	55082	76405.9464	5802.0984	120	NXN	RNMTL1,GLOD4	GLOD4	120	1
17_MACS_peak_2293_lociStitched	chr1	17534360	17589864	17	52548	75490.9904	5189.624	121	PADI1,PADI3	PADI4	PADI3	121	1
5_MACS_peak_33139_lociStitched	chr7	150862742	150905457	5	41456	76532.4655	6347.449	122	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	122	1
5_MACS_peak_26131_lociStitched	chr22	20197252	20238606	5	40761	73246.2048	3180.1226	123	RTN4R,MIR1286	LOC150197	MIR1286	123	1
9_MACS_peak_36203_lociStitched	chr9	133834707	133880407	9	44856	74509.28	4492.31	124		LAMC3,FIBCD1	LAMC3	124	1
9_MACS_peak_25467_lociStitched	chr21	43129414	43177416	9	46491	76169.5736	6681.8784	125	NCRNA00112,C21orf129,RIPK4	NCRNA00111	NCRNA00112	125	1
18_MACS_peak_27920_lociStitched	chr22	45894255	45949867	18	51450	74114.1124	4749.2648	126	FBLN1		FBLN1	126	1
7_MACS_peak_22509_lociStitched	chr2	26777317	26819925	7	41706	74410.6112	5232.2624	127	C2orf70,OTOF,CIB4		C2orf70	127	1
4_MACS_peak_11796_lociStitched	chr16	1044927	1083153	4	37847	72059.8326	3061.9026	128		SOX8,SSTR5,LMF1,LOC146336	SOX8	128	1
10_MACS_peak_17382_lociStitched	chr19	1514002	1552959	10	37273	73691.0612	5138.4283	129	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	129	1
14_MACS_peak_16110_lociStitched	chr17	72332441	72386188	14	51154	72870.1826	4321.2588	130	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	130	1
18_MACS_peak_18302_lociStitched	chr19	8173327	8225255	18	48168	74880.176	6698.712	131	FBN3	LASS4	FBN3	131	1
5_MACS_peak_85_lociStitched	chr1	1093452	1124345	5	30720	70504.0046	2520.8688	132	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	TTLL10	132	1
12_MACS_peak_11739_lociStitched	chr16	858464	907261	12	46008	71995.0938	4323.4142	133	PRR25,LMF1	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	133	1
10_MACS_peak_20789_lociStitched	chr19	42466959	42511167	10	42511	71749.584	4226.2848	134	ATP1A3,GRIK5	RABAC1	ATP1A3	134	1
4_MACS_peak_31404_lociStitched	chr6	31958211	31985253	4	26936	71131.2768	3642.5574	135	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	135	1
11_MACS_peak_25165_lociStitched	chr20	61937708	61983156	11	42673	71085.2168	3722.1912	136	COL20A1,CHRNA4	ARFGAP1,MIR4326	CHRNA4	136	1
6_MACS_peak_37227_lociStitched	chr9	139058950	139096442	6	36782	69956.3228	2871.8872	137	LHX3	C9orf69,QSOX2	LHX3	137	1
8_MACS_peak_7534_lociStitched	chr11	64475626	64518443	8	39712	71016.2762	4063.3333	138	NRXN2,RASGRP2,PYGM	SF1	NRXN2	138	1
8_MACS_peak_6716_lociStitched	chr11	1025672	1063917	8	37366	69020.7515	3159.037	139	MUC6	MUC2	MUC6	139	1
10_MACS_peak_35818_lociStitched	chr9	129427244	129470640	10	40876	69976.05	4591.2968	140	LMX1B		LMX1B	140	1
13_MACS_peak_20108_lociStitched	chr19	35977307	36028704	13	46721	69905.0597	4826.1783	141	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	141	1
4_MACS_peak_17731_lociStitched	chr19	4509902	4543020	4	32962	69544.4882	4759.0566	142	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN4	142	1
9_MACS_peak_37212_lociStitched	chr9	138961930	139000726	9	36980	67586.5116	3076.5228	143	NACC2	C9orf69	NACC2	143	1
5_MACS_peak_32187_lociStitched	chr7	2532576	2573068	5	38798	68168.282	3992.5112	144	LFNG	IQCE,C7orf27	LFNG	144	1
12_MACS_peak_28786_lociStitched	chr3	50216448	50259494	12	39271	68369.9618	4235.7264	145	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	145	1
9_MACS_peak_16239_lociStitched	chr17	72908257	72953113	9	42463	68037.5808	3996.6696	146	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	146	1
5_MACS_peak_36212_lociStitched	chr9	133882410	133918796	5	35352	66917.4926	3271.1014	147	LAMC3		LAMC3	147	1
3_MACS_peak_17707_lociStitched	chr19	4140423	4173347	3	32070	67816.8552	4642.284	148	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	148	1
12_MACS_peak_5945_lociStitched	chr10	102482600	102521270	12	35820	66829.494	3781.926	149	PAX2		PAX2	149	1
7_MACS_peak_27275_lociStitched	chr22	42720533	42765318	7	43169	65569.7185	3717.155	150			LOC388906	150	1
7_MACS_peak_7341_lociStitched	chr11	61501386	61544231	7	40557	65681.385	3877.4725	151	DAGLA,C11orf9,DKFZP434K028	FEN1,MIR611,C11orf10,MIR1908,FADS1	C11orf9	151	1
13_MACS_peak_31346_lociStitched	chr6	30408737	30450696	13	38922	67285.4524	5765.1666	152		HLA-E	HLA-E	152	1
15_MACS_peak_24008_lociStitched	chr20	48882112	48931824	15	47937	65878.3424	4548.648	153	LOC284751		LOC284751	153	1
1_MACS_peak_33107_lociStitched	chr7	149470090	149496012	1	25923	63573.705	3294.6862	154	SSPO,ZNF467	ZNF862	SSPO	154	1
9_MACS_peak_25978_lociStitched	chr21	47528585	47562545	9	31896	63929.7	3745.788	155	COL6A2,FTCD	C21orf56	COL6A2	155	1
13_MACS_peak_17654_lociStitched	chr19	3708026	3747017	13	36041	65770.0188	5762.8698	156	TJP3	MRPL54,PIP5K1C,APBA3,RAX2,MATK	TJP3	156	1
3_MACS_peak_17720_lociStitched	chr19	4275553	4309783	3	34201	64461.936	4538.898	157	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	157	1
9_MACS_peak_16808_lociStitched	chr17	77898563	77940369	9	38719	63812.6784	3921.4028	158	TBC1D16		TBC1D16	158	1
20_MACS_peak_28828_lociStitched	chr3	50473489	50525933	20	46960	64212.4336	4525.9172	159	CACNA2D2		CACNA2D2	159	1
12_MACS_peak_15528_lociStitched	chr17	47508799	47553525	12	40838	63443.831	4240.0248	160		NGFR,PHB	PHB	160	1
3_MACS_peak_37233_lociStitched	chr9	139138640	139167013	3	27928	61716.9496	2513.8478	161		LHX3,QSOX2	QSOX2	161	1
3_MACS_peak_23013_lociStitched	chr2	220328786	220362783	3	32987	62469.4875	3307.9081	162	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	162	1
7_MACS_peak_37308_lociStitched	chr9	139923879	139955200	7	30295	62006.1837	2897.1925	163	C9orf139,FUT7,NPDC1,ENTPD2	LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,C9orf140,LOC100289341	NPDC1	163	1
7_MACS_peak_10099_lociStitched	chr13	113627147	113666355	7	38291	62285.8288	3320.9176	164	MCF2L	LOC100289410	MCF2L	164	1
