REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
15_MACS_peak_26094_lociStitched	chr22	19689550	19763952	15	72073	130203.5	6145.605200000001
13_MACS_peak_9758_lociStitched	chr12	54337720	54411732	13	72395	130897.6232	7519.6192
19_MACS_peak_30169_lociStitched	chr4	8586018	8659488	19	69943	103247.391	5392.698
23_MACS_peak_2101_lociStitched	chr1	16410007	16483445	23	67879	103253.828	6631.451400000001
24_MACS_peak_1779_lociStitched	chr1	10907197	10980570	24	67659	102626.8151	6816.3517
11_MACS_peak_25800_lociStitched	chr21	46404167	46477533	11	71306	159079.49779999998	9090.0474
20_MACS_peak_19501_lociStitched	chr19	18059293	18132367	20	68797	115347.309	6759.345
21_MACS_peak_6874_lociStitched	chr11	1787005	1859169	21	66956	110829.4712	6761.7668
6_MACS_peak_25060_lociStitched	chr20	61141432	61213391	6	71003	147487.1664	6123.7109
11_MACS_peak_36042_lociStitched	chr9	132911577	132983477	11	69567	110452.78	6614.8
9_MACS_peak_13894_lociStitched	chr17	1828303	1899839	9	69113	109056.632	6216.4784
20_MACS_peak_27217_lociStitched	chr22	40036633	40108031	20	66190	99435.9946	6618.5946
33_MACS_peak_2232_lociStitched	chr1	17407880	17478559	33	63270	89635.1078	6551.9433
10_MACS_peak_435_lociStitched	chr1	3099157	3169736	10	69201	109672.7081	4848.7773
14_MACS_peak_168_lociStitched	chr1	1915774	1986131	14	67204	110045.3837	5881.8452
26_MACS_peak_7503_lociStitched	chr11	64386436	64455655	26	62897	89257.9005	6388.913699999999
20_MACS_peak_29370_lociStitched	chr4	3625783	3693883	20	62761	93753.27	5822.55
28_MACS_peak_6845_lociStitched	chr11	1702242	1770087	28	58123	88829.4585	6553.827
23_MACS_peak_8080_lociStitched	chr11	69969134	70036846	23	62527	90564.79999999999	5396.6464
19_MACS_peak_3307_lociStitched	chr1	22542421	22609904	19	62564	92289.7508	6451.3748000000005
5_MACS_peak_17737_lociStitched	chr19	4557407	4624068	5	65787	138214.9174	9459.1959
18_MACS_peak_417_lociStitched	chr1	3031257	3097107	18	61927	99308.385	4464.63
12_MACS_peak_476_lociStitched	chr1	3296826	3362080	12	63589	102174.7132	4482.949799999999
19_MACS_peak_36350_lociStitched	chr9	135335810	135400955	19	59456	82545.22949999999	5784.876
18_MACS_peak_36104_lociStitched	chr9	133249623	133314650	18	61254	93482.8152	5169.6465
9_MACS_peak_13825_lociStitched	chr17	1041239	1106179	9	63453	118262.234	6883.639999999999
8_MACS_peak_236_lociStitched	chr1	2347924	2412246	8	62917	117033.87899999999	4502.540000000001
17_MACS_peak_36829_lociStitched	chr9	137653302	137717068	17	60086	97657.629	4890.8522
7_MACS_peak_17355_lociStitched	chr19	1282669	1345883	7	62211	173484.50160000002	7794.2862000000005
10_MACS_peak_30283_lociStitched	chr4	9211665	9274631	10	61753	227590.607	20419.873799999998
12_MACS_peak_17962_lociStitched	chr19	5828100	5890982	12	61392	94819.7678	8778.3272
21_MACS_peak_29390_lociStitched	chr4	3701023	3763406	21	58524	81503.3895	4828.4442
12_MACS_peak_60_lociStitched	chr1	955525	1016778	12	56665	104074.97230000001	5145.252
19_MACS_peak_7270_lociStitched	chr11	61272481	61332808	19	56221	92414.9313	5344.9722
50_MACS_peak_34307_lociStitched	chr8	7570006	7630151	50	47160	43701.357	4366.527
17_MACS_peak_400_lociStitched	chr1	2969869	3029906	17	55089	81308.1091	3386.0868
20_MACS_peak_30915_lociStitched	chr5	176117203	176176880	20	54905	76816.2344	5263.5114
21_MACS_peak_146_lociStitched	chr1	1851136	1910650	21	53915	83093.4468	5427.6768
15_MACS_peak_37181_lociStitched	chr9	138860257	138919559	15	56508	92866.932	4589.9748
8_MACS_peak_25071_lociStitched	chr20	61313399	61371654	8	56688	107841.656	4998.279
17_MACS_peak_13760_lociStitched	chr17	724905	783159	17	55082	76405.9464	5802.0984
11_MACS_peak_11811_lociStitched	chr16	1144548	1202597	11	56979	113212.9647	3883.4781000000003
11_MACS_peak_36561_lociStitched	chr9	136368609	136426557	11	56207	95961.88799999999	4363.4844
11_MACS_peak_450_lociStitched	chr1	3178022	3235624	11	54157	85250.95999999999	3778.6912
6_MACS_peak_7335_lociStitched	chr11	61442177	61499686	6	56713	95654.7197	5250.5717
5_MACS_peak_25795_lociStitched	chr21	46301113	46358440	5	56777	157431.4074	7762.0758
6_MACS_peak_1102_lociStitched	chr1	6473538	6530493	6	55785	117241.8675	5997.3615
10_MACS_peak_17710_lociStitched	chr19	4183547	4240450	10	54973	95403.56980000001	8421.644
8_MACS_peak_29285_lociStitched	chr4	1751814	1808564	8	54646	117370.35	4619.45
10_MACS_peak_11800_lociStitched	chr16	1084598	1140873	10	54412	92831.23999999999	3764.7975
18_MACS_peak_27920_lociStitched	chr22	45894255	45949867	18	51450	74114.1124	4749.2648
17_MACS_peak_2293_lociStitched	chr1	17534360	17589864	17	52548	75490.99040000001	5189.624
8_MACS_peak_36191_lociStitched	chr9	133770057	133825230	8	54099	106561.13220000001	4314.528600000001
8_MACS_peak_25105_lociStitched	chr20	61585804	61640598	8	53727	95379.9158	5090.3625999999995
5_MACS_peak_2181_lociStitched	chr1	17011875	17066329	5	53659	168469.78519999998	14103.586000000001
12_MACS_peak_16817_lociStitched	chr17	77941718	77995859	12	50484	77567.8107	4991.800200000001
8_MACS_peak_21551_lociStitched	chr19	49521170	49575050	8	51861	83303.868	5291.016
9_MACS_peak_1067_lociStitched	chr1	6180857	6234632	9	52028	95966.865	4882.77
14_MACS_peak_16110_lociStitched	chr17	72332441	72386188	14	51154	72870.1826	4321.2588
5_MACS_peak_1751_lociStitched	chr1	10699809	10753554	5	52843	109672.04699999999	4842.4245
6_MACS_peak_25714_lociStitched	chr21	45900395	45954051	6	52101	97707.576	6937.7208
9_MACS_peak_34693_lociStitched	chr8	142359940	142412834	9	51407	81906.359	4501.279399999999
3_MACS_peak_25157_lociStitched	chr20	61850194	61902805	3	51890	109620.27960000001	4813.9065
14_MACS_peak_37154_lociStitched	chr9	138571940	138624400	14	50275	75075.50600000001	3740.398
20_MACS_peak_28828_lociStitched	chr3	50473489	50525933	20	46960	64212.4336	4525.9172
18_MACS_peak_18302_lociStitched	chr19	8173327	8225255	18	48168	74880.17599999999	6698.712
12_MACS_peak_1767_lociStitched	chr1	10853778	10905284	12	49474	79108.0654	4795.2086
13_MACS_peak_20108_lociStitched	chr19	35977307	36028704	13	46721	69905.0597	4826.1783
5_MACS_peak_228_lociStitched	chr1	2243692	2294334	5	48900	104722.5918	4228.607
18_MACS_peak_14285_lociStitched	chr17	7664208	7714410	18	44650	62727.399000000005	5005.1394
6_MACS_peak_35811_lociStitched	chr9	129370375	129420476	6	47391	92862.2035	4474.0193
2_MACS_peak_18441_lociStitched	chr19	8850840	8900860	2	49791	229086.59800000003	24254.698
8_MACS_peak_33_lociStitched	chr1	829605	879438	8	47627	114222.2193	4818.8511
2_MACS_peak_21722_lociStitched	chr19	50594116	50643885	2	49743	104992.68239999999	15139.729800000001
15_MACS_peak_24008_lociStitched	chr20	48882112	48931824	15	47937	65878.3424	4548.648
10_MACS_peak_9835_lociStitched	chr12	57570178	57619839	10	46942	86017.8181	5641.4896
27_MACS_peak_34762_lociStitched	chr8	142586028	142635253	27	42301	56397.0825	3514.6650000000004
11_MACS_peak_25079_lociStitched	chr20	61373027	61422165	11	46053	87514.77799999999	4117.7644
12_MACS_peak_11739_lociStitched	chr16	858464	907261	12	46008	71995.0938	4323.4142
15_MACS_peak_17533_lociStitched	chr19	3079132	3127922	15	44484	60138.554	5645.003
9_MACS_peak_25467_lociStitched	chr21	43129414	43177416	9	46491	76169.5736	6681.8784
9_MACS_peak_28968_lociStitched	chr3	128168919	128216791	9	46160	86906.82879999999	4801.5616
22_MACS_peak_30258_lociStitched	chr4	8876170	8923957	22	42015	57836.6061	3932.8701
6_MACS_peak_25194_lociStitched	chr20	62074808	62122554	6	46675	90440.47320000001	3910.3974
3_MACS_peak_34670_lociStitched	chr8	142013017	142060296	3	46377	86704.9581	6146.27
18_MACS_peak_1366_lociStitched	chr1	7505439	7552481	18	41670	59098.8646	3476.4037999999996
19_MACS_peak_16569_lociStitched	chr17	76580917	76627663	19	42837	58853.21399999999	4202.4654
21_MACS_peak_9296_lociStitched	chr12	3319783	3366488	21	42379	55317.401999999995	3965.2545
13_MACS_peak_37012_lociStitched	chr9	138129207	138175782	13	44880	61940.092500000006	3702.7125
17_MACS_peak_2863_lociStitched	chr1	19023674	19070137	17	43127	58761.7561	3912.1846
10_MACS_peak_30293_lociStitched	chr4	9324620	9370921	10	45762	162484.0993	13515.2619
21_MACS_peak_17821_lociStitched	chr19	5300822	5347005	21	42095	63866.4707	5652.7991999999995
20_MACS_peak_11299_lociStitched	chr15	74586857	74633023	20	42629	58603.12040000001	4358.0704
20_MACS_peak_33457_lociStitched	chr7	155596229	155642287	20	40704	61906.5578	5070.9858
19_MACS_peak_17922_lociStitched	chr19	5722021	5767849	19	39580	53944.1388	5948.4744
9_MACS_peak_36203_lociStitched	chr9	133834707	133880407	9	44856	74509.28	4492.3099999999995
11_MACS_peak_25165_lociStitched	chr20	61937708	61983156	11	42673	71085.21680000001	3722.1912
9_MACS_peak_16239_lociStitched	chr17	72908257	72953113	9	42463	68037.5808	3996.6695999999997
7_MACS_peak_27275_lociStitched	chr22	42720533	42765318	7	43169	65569.7185	3717.155
5_MACS_peak_27018_lociStitched	chr22	37469351	37514135	5	43807	75384.9072	4469.4432
16_MACS_peak_311_lociStitched	chr1	2715382	2760163	16	41266	57749.577600000004	3345.1407
13_MACS_peak_24172_lociStitched	chr20	56126246	56170981	13	42443	59792.801	4536.129
12_MACS_peak_15528_lociStitched	chr17	47508799	47553525	12	40838	63443.831000000006	4240.0248
9_MACS_peak_25519_lociStitched	chr21	43763107	43807791	9	42084	80895.9136	6380.8752
10_MACS_peak_20789_lociStitched	chr19	42466959	42511167	10	42511	71749.584	4226.2848
18_MACS_peak_18574_lociStitched	chr19	11345834	11389881	18	39153	54481.734300000004	4611.7209
16_MACS_peak_7290_lociStitched	chr11	61337377	61381268	16	41151	58427.699199999995	4187.2014
10_MACS_peak_35818_lociStitched	chr9	129427244	129470640	10	40876	69976.05	4591.2968
14_MACS_peak_1898_lociStitched	chr1	11483557	11526911	14	41177	58272.1114	3763.1272
15_MACS_peak_27458_lociStitched	chr22	44214019	44257342	15	40098	56623.161	3426.8493000000003
15_MACS_peak_10106_lociStitched	chr13	113667832	113710938	15	39774	60154.422999999995	3840.7446
4_MACS_peak_31408_lociStitched	chr6	31990125	32033185	4	42742	97991.642	4792.5779999999995
12_MACS_peak_28786_lociStitched	chr3	50216448	50259494	12	39271	68369.9618	4235.7264000000005
20_MACS_peak_11251_lociStitched	chr15	74461176	74504139	20	37799	52307.4525	3965.4849
6_MACS_peak_37221_lociStitched	chr9	139013405	139056342	6	41267	74083.4998	3413.4915
7_MACS_peak_7341_lociStitched	chr11	61501386	61544231	7	40557	65681.385	3877.4725
11_MACS_peak_17333_lociStitched	chr19	819305	862141	11	39125	76487.96160000001	5118.902
8_MACS_peak_7534_lociStitched	chr11	64475626	64518443	8	39712	71016.27620000001	4063.3333
5_MACS_peak_33139_lociStitched	chr7	150862742	150905457	5	41456	76532.4655	6347.4490000000005
19_MACS_peak_31481_lociStitched	chr6	33760400	33803070	19	38882	51225.335	4147.523999999999
7_MACS_peak_22509_lociStitched	chr2	26777317	26819925	7	41706	74410.6112	5232.2624000000005
9_MACS_peak_29333_lociStitched	chr4	3457089	3499480	9	40659	90848.1521	3717.6907
9_MACS_peak_25679_lociStitched	chr21	45760683	45802952	9	40795	80606.98300000001	5714.7688
17_MACS_peak_2000_lociStitched	chr1	11911634	11953816	17	38649	55427.148	4041.0355999999997
15_MACS_peak_6779_lociStitched	chr11	1388229	1430285	15	38106	54609.716	3204.6672000000003
23_MACS_peak_2839_lociStitched	chr1	18978949	19020992	23	38279	45292.923899999994	3619.9022999999997
13_MACS_peak_31346_lociStitched	chr6	30408737	30450696	13	38922	67285.4524	5765.1666
21_MACS_peak_27681_lociStitched	chr22	45093356	45135249	21	36544	49484.0116	3364.0079
9_MACS_peak_16808_lociStitched	chr17	77898563	77940369	9	38719	63812.6784	3921.4028
13_MACS_peak_6755_lociStitched	chr11	1237992	1279467	13	39629	60225.847499999996	3297.2625000000003
6_MACS_peak_9317_lociStitched	chr12	3367879	3409337	6	40438	60404.306000000004	3776.8238
5_MACS_peak_26131_lociStitched	chr22	20197252	20238606	5	40761	73246.2048	3180.1225999999997
4_MACS_peak_2091_lociStitched	chr1	16339293	16380607	4	39948	79033.682	3668.6832
8_MACS_peak_18232_lociStitched	chr19	7829967	7871147	8	39754	59262.138	5695.194
3_MACS_peak_25186_lociStitched	chr20	62022104	62063197	3	40894	80357.3615	3049.1006
22_MACS_peak_15122_lociStitched	chr17	41703942	41744893	22	36091	45553.892400000004	3489.0252
2_MACS_peak_26129_lociStitched	chr22	20151857	20192771	2	40871	82989.9576	3461.3244
13_MACS_peak_25535_lociStitched	chr21	43829329	43870188	13	37050	58693.9535	6357.6604
9_MACS_peak_26136_lociStitched	chr22	20240293	20281146	9	38678	61969.9157	3076.2309
13_MACS_peak_27634_lociStitched	chr22	44964930	45005679	13	37759	49074.020699999994	3149.8976999999995
5_MACS_peak_32187_lociStitched	chr7	2532576	2573068	5	38798	68168.282	3992.5112
24_MACS_peak_24500_lociStitched	chr20	57354126	57394505	24	35109	47013.2697	3492.7834999999995
13_MACS_peak_32200_lociStitched	chr7	2671665	2711939	13	35651	57104.5046	3229.9748
14_MACS_peak_6975_lociStitched	chr11	2304137	2344283	14	37112	57854.4006	2998.9062
12_MACS_peak_36218_lociStitched	chr9	133934950	133975056	12	38633	59882.2686	3553.3916
14_MACS_peak_343_lociStitched	chr1	2814790	2854661	14	37755	53522.8304	2491.9375
12_MACS_peak_27421_lociStitched	chr22	43799696	43839425	12	37572	53383.857299999996	3023.3769
12_MACS_peak_6929_lociStitched	chr11	2105800	2145491	12	36102	54412.3919	3373.735
11_MACS_peak_36683_lociStitched	chr9	137095832	137135511	11	35674	56740.97	2741.8188999999998
8_MACS_peak_27295_lociStitched	chr22	42791887	42831398	8	37314	56804.9647	3891.8335
10_MACS_peak_36784_lociStitched	chr9	137508750	137548258	10	35319	48784.47839999999	2757.6584000000003
14_MACS_peak_24459_lociStitched	chr20	57178649	57218101	14	36082	47220.0988	3566.4608
8_MACS_peak_4222_lociStitched	chr1	32125991	32165419	8	38193	52809.8632	3848.1728000000003
7_MACS_peak_10099_lociStitched	chr13	113627147	113666355	7	38291	62285.8288	3320.9175999999998
15_MACS_peak_2393_lociStitched	chr1	17875549	17914548	15	34829	47516.3816	3474.8109
13_MACS_peak_17654_lociStitched	chr19	3708026	3747017	13	36041	65770.0188	5762.8697999999995
14_MACS_peak_16917_lociStitched	chr17	78478643	78517619	14	36701	51662.687999999995	3293.472
10_MACS_peak_17382_lociStitched	chr19	1514002	1552959	10	37273	73691.0612	5138.4283
9_MACS_peak_37212_lociStitched	chr9	138961930	139000726	9	36980	67586.5116	3076.5227999999997
13_MACS_peak_27552_lociStitched	chr22	44691587	44730351	13	35061	52928.3656	3670.9508
10_MACS_peak_11751_lociStitched	chr16	915178	953904	10	35368	57709.485199999996	3287.8374000000003
12_MACS_peak_5945_lociStitched	chr10	102482600	102521270	12	35820	66829.49399999999	3781.926
10_MACS_peak_17976_lociStitched	chr19	5991296	6029846	10	37322	61198.125	5528.07
7_MACS_peak_27327_lociStitched	chr22	42918428	42956847	7	36476	64394.0859	6481.2853
10_MACS_peak_15540_lociStitched	chr17	47554873	47593252	10	36946	61828.569	4083.5256
8_MACS_peak_6716_lociStitched	chr11	1025672	1063917	8	37366	69020.7515	3159.0370000000003
4_MACS_peak_11796_lociStitched	chr16	1044927	1083153	4	37847	72059.8326	3061.9026000000003
9_MACS_peak_16737_lociStitched	chr17	77636133	77674294	9	36557	51830.270200000006	3468.8349
20_MACS_peak_36946_lociStitched	chr9	137991907	138029952	20	32311	43972.411	2834.3525
25_MACS_peak_3413_lociStitched	chr1	22966847	23004810	25	30974	42602.0786	3431.8552
11_MACS_peak_32812_lociStitched	chr7	100743721	100781639	11	34858	50385.4384	4049.6424
14_MACS_peak_31412_lociStitched	chr6	32034770	32072675	14	35150	57187.273499999996	3741.2235
8_MACS_peak_35114_lociStitched	chr8	143636062	143673929	8	35089	52892.6256	2684.7703
10_MACS_peak_11945_lociStitched	chr16	2854504	2892344	10	35679	58057.912	3583.4480000000003
11_MACS_peak_27077_lociStitched	chr22	37886047	37923839	11	35517	51933.7664	3556.2272000000003
12_MACS_peak_29441_lociStitched	chr4	3850700	3888427	12	33940	50689.9972	3172.8406999999997
10_MACS_peak_4884_lociStitched	chr1	156821094	156858780	10	34371	60610.393800000005	5867.7102
16_MACS_peak_205_lociStitched	chr1	2080215	2117887	16	33457	45959.84	3281.2311999999997
8_MACS_peak_25149_lociStitched	chr20	61779509	61817095	8	35750	55811.451400000005	2416.7798
6_MACS_peak_37227_lociStitched	chr9	139058950	139096442	6	36782	69956.3228	2871.8872
8_MACS_peak_27795_lociStitched	chr22	45319965	45357440	8	36783	50527.5425	2870.585
13_MACS_peak_36751_lociStitched	chr9	137423089	137460361	13	33358	49042.4976	2702.22
9_MACS_peak_23488_lociStitched	chr20	30425280	30462528	9	34330	57320.947199999995	4101.0048
20_MACS_peak_32723_lociStitched	chr7	100340827	100378068	20	34104	45910.7048	3124.5199000000002
13_MACS_peak_33144_lociStitched	chr7	150940765	150977790	13	34657	77756.2025	5601.8825
9_MACS_peak_14738_lociStitched	chr17	26830959	26867847	9	35785	58710.9408	4009.7256
14_MACS_peak_19544_lociStitched	chr19	18343187	18379986	14	33732	48611.479	3834.4558
18_MACS_peak_3351_lociStitched	chr1	22683192	22719749	18	31201	40768.3664	3527.7505
10_MACS_peak_18858_lociStitched	chr19	14269342	14305855	10	34454	47423.0844	3023.2763999999997
22_MACS_peak_37576_lociStitched	chrX	152789673	152826170	22	30537	37934.9818	1883.2452
15_MACS_peak_9201_lociStitched	chr12	1919609	1956076	15	34330	47549.3213	3478.9518
25_MACS_peak_31536_lociStitched	chr6	33897523	33933965	25	28023	36445.6442	3633.2673999999997
5_MACS_peak_36212_lociStitched	chr9	133882410	133918796	5	35352	66917.4926	3271.1013999999996
17_MACS_peak_2900_lociStitched	chr1	19115501	19151817	17	32241	41534.6092	3050.5440000000003
9_MACS_peak_334_lociStitched	chr1	2776087	2812354	9	33963	48423.6984	2549.5701
14_MACS_peak_21497_lociStitched	chr19	49173393	49209560	14	34538	47443.8706	3283.9636
5_MACS_peak_27565_lociStitched	chr22	44732070	44768152	5	35448	56446.6808	2688.109
14_MACS_peak_22166_lociStitched	chr19	55629917	55665938	14	32644	47245.1436	3303.1257
8_MACS_peak_5028_lociStitched	chr1	201321980	201357974	8	34211	55610.729999999996	4927.5786
3_MACS_peak_37236_lociStitched	chr9	139216987	139252804	3	35525	86856.22499999999	2757.909
9_MACS_peak_27160_lociStitched	chr22	39213946	39249747	9	33249	51313.573300000004	3365.294
7_MACS_peak_20193_lociStitched	chr19	36334893	36370629	7	34657	49505.080799999996	3255.5496
19_MACS_peak_29653_lociStitched	chr4	7195044	7230535	19	32083	38880.390499999994	2757.6507
10_MACS_peak_28848_lociStitched	chr3	50527934	50563124	10	32726	43646.157	3191.733
14_MACS_peak_27570_lociStitched	chr22	44775606	44810721	14	33367	45526.597499999996	2858.361
9_MACS_peak_1454_lociStitched	chr1	7715916	7750964	9	33469	47815.9864	2905.4792
22_MACS_peak_27474_lociStitched	chr22	44270639	44305546	22	31571	41671.9766	3284.7487
13_MACS_peak_16540_lociStitched	chr17	76477157	76511911	13	31011	47463.5378	3110.4829999999997
16_MACS_peak_17478_lociStitched	chr19	2965383	3000071	16	31135	40966.528	4030.7455999999997
4_MACS_peak_33108_lociStitched	chr7	149498201	149532728	4	34391	85240.2576	4578.2802
18_MACS_peak_19074_lociStitched	chr19	15280571	15315052	18	29172	38260.1176	2886.0597
17_MACS_peak_2339_lociStitched	chr1	17656121	17690579	17	31270	39674.9412	3270.0642
15_MACS_peak_14586_lociStitched	chr17	19097419	19131864	15	31626	33714.766	3585.7245
9_MACS_peak_18332_lociStitched	chr19	8265597	8299994	9	31709	42803.6268	4406.2557
10_MACS_peak_46_lociStitched	chr1	913467	947850	10	32183	61346.1486	3146.0445
10_MACS_peak_35426_lociStitched	chr8	144938490	144972830	10	32470	56901.38	3509.548
9_MACS_peak_16348_lociStitched	chr17	74872207	74906533	9	31555	51519.89339999999	3233.5092000000004
17_MACS_peak_36150_lociStitched	chr9	133389909	133424221	17	31327	40848.435999999994	3184.1535999999996
12_MACS_peak_16495_lociStitched	chr17	76295104	76329336	12	31240	46000.9616	3560.1279999999997
3_MACS_peak_17720_lociStitched	chr19	4275553	4309783	3	34201	64461.936	4538.898
5_MACS_peak_36442_lociStitched	chr9	135848430	135882520	5	33892	54714.45	3177.188
3_MACS_peak_23013_lociStitched	chr2	220328786	220362783	3	32987	62469.487499999996	3307.9081
9_MACS_peak_25978_lociStitched	chr21	47528585	47562545	9	31896	63929.700000000004	3745.788
16_MACS_peak_6479_lociStitched	chr10	134833142	134867067	16	28815	38552.37	2218.695
9_MACS_peak_32692_lociStitched	chr7	100213835	100247733	9	32180	45650.4366	3206.7508000000003
15_MACS_peak_27354_lociStitched	chr22	43593346	43627234	15	29594	42668.380800000006	2490.768
14_MACS_peak_19521_lociStitched	chr19	18134182	18168044	14	30210	42388.4516	3721.4338
15_MACS_peak_28313_lociStitched	chr22	50492109	50525892	15	29890	43657.7709	2645.2088999999996
16_MACS_peak_6146_lociStitched	chr10	126686397	126720096	16	28418	36398.2899	3117.1575
19_MACS_peak_36578_lociStitched	chr9	136455391	136489064	19	26811	38424.2603	2757.8187
25_MACS_peak_36899_lociStitched	chr9	137911843	137945476	25	26553	32449.1184	2371.1265
17_MACS_peak_9524_lociStitched	chr12	52573866	52607496	17	28521	38502.987	3161.22
4_MACS_peak_17745_lociStitched	chr19	4734043	4767546	4	32984	53577.997599999995	4730.6236
11_MACS_peak_16228_lociStitched	chr17	72873487	72906897	11	30704	42667.911	3307.59
9_MACS_peak_35122_lociStitched	chr8	143675407	143708810	9	31503	44238.9332	2618.7952
10_MACS_peak_35561_lociStitched	chr9	34548467	34581758	10	32230	46993.5756	3202.5942
16_MACS_peak_14569_lociStitched	chr17	19053389	19086677	16	29093	32292.6888	3658.3512
16_MACS_peak_35264_lociStitched	chr8	144207333	144240582	16	29773	38778.308699999994	3118.7562
12_MACS_peak_27585_lociStitched	chr22	44817592	44850799	12	29650	38002.090800000005	2699.7291
20_MACS_peak_27733_lociStitched	chr22	45191737	45224873	20	28502	35269.9584	2650.88
4_MACS_peak_17731_lociStitched	chr19	4509902	4543020	4	32962	69544.48819999999	4759.0566
3_MACS_peak_17707_lociStitched	chr19	4140423	4173347	3	32070	67816.8552	4642.284
7_MACS_peak_27545_lociStitched	chr22	44657874	44690571	7	31523	49503.258	2860.9874999999997
10_MACS_peak_7805_lociStitched	chr11	68758290	68790848	10	30193	51285.3616	2878.1272000000004
13_MACS_peak_20742_lociStitched	chr19	42286186	42318681	13	27199	36618.6155	3353.484
11_MACS_peak_22237_lociStitched	chr19	55995680	56028129	11	30162	50587.990999999995	3261.1245000000004
13_MACS_peak_16895_lociStitched	chr17	78395341	78427787	13	29597	47205.6854	2680.0396
4_MACS_peak_37168_lociStitched	chr9	138625511	138657822	4	31820	50463.319800000005	2391.0139999999997
7_MACS_peak_35762_lociStitched	chr9	127232471	127264760	7	30387	49702.4577	3035.166
7_MACS_peak_16591_lociStitched	chr17	77015612	77047863	7	30748	55839.3814	3534.7096
18_MACS_peak_20164_lociStitched	chr19	36282512	36314747	18	27608	35529.417	2839.9035
4_MACS_peak_16908_lociStitched	chr17	78429591	78461777	4	31625	59611.6906	2993.298
