REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
4_MACS_peak_25867_lociStitched	chr21	46709510	46795437	4	84990	191660.1735	10629.1699	17	LOC642852	COL18A1,POFUT2,NCRNA00175	LOC642852	NCRNA00175	2.6101	17	1
10_MACS_peak_30283_lociStitched	chr4	9211665	9274631	10	61753	227590.607	20419.8738	18	USP17		USP17	USP17	3.2115	18	1
2_MACS_peak_6920_lociStitched	chr11	1982561	2064817	2	82047	182452.0336	6564.0288	19	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.3441	19	1
2_MACS_peak_18441_lociStitched	chr19	8850840	8900860	2	49791	229086.598	24254.698	20		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.31420000000000003	20	1
17_MACS_peak_36299_lociStitched	chr9	135020773	135116534	17	93442	159432.4889	9106.8711	21	NTNG2		NTNG2	NTNG2	1.5185	21	1
13_MACS_peak_25580_lociStitched	chr21	44147610	44231265	13	80934	173751.435	11527.659	22	PDE9A		WDR4	WDR4	NONE	22	1
13_MACS_peak_27976_lociStitched	chr22	46287804	46374796	13	85100	158629.912	7350.824	23	WNT7B	LOC730668	WNT7B	WNT7B	1.7410999999999999	23	1
19_MACS_peak_6941_lociStitched	chr11	2148815	2241091	19	87927	153344.2568	7086.7968	24	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	TH	1.5442999999999998	24	1
12_MACS_peak_25566_lociStitched	chr21	44049998	44136747	12	83906	163625.9638	11893.2879	25	PDE9A		PDE9A	PDE9A	1.9216	25	1
23_MACS_peak_36597_lociStitched	chr9	136492015	136588806	23	91593	142969.9861	7327.0787	26	DBH,SARDH	FAM163B	DBH	FAM163B	1.809	26	1
29_MACS_peak_2408_lociStitched	chr1	17916042	18015979	29	94831	130277.8732	7875.0356	27	ARHGEF10L		ARHGEF10L	ARHGEF10L	1.1629	27	1
7_MACS_peak_17355_lociStitched	chr19	1282669	1345883	7	62211	173484.5016	7794.2862	28	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.9122	28	1
19_MACS_peak_6826_lociStitched	chr11	1613639	1700482	19	82247	143447.2674	8910.0918	29	LOC338651,KRTAP5-5,FAM99A,MOB2,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,DUSP8,KRTAP5-1,FAM99B	KRTAP5-5	KRTAP5-5	1.7986	29	1
39_MACS_peak_13777_lociStitched	chr17	784446	882354	39	90369	126085.9224	8890.0464	30	NXN	TIMM22,MIR3183	NXN	NXN	1.1821000000000002	30	1
20_MACS_peak_25307_lociStitched	chr20	62777393	62866189	20	84019	137243.0976	7965.0012	31	MYT1	PCMTD2,NPBWR2	MYT1	NPBWR2	2.0228	31	1
11_MACS_peak_25800_lociStitched	chr21	46404167	46477533	11	71306	159079.4978	9090.0474	32	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	2.3826	32	1
6_MACS_peak_25060_lociStitched	chr20	61141432	61213391	6	71003	147487.1664	6123.7109	33	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	MIR133A2	2.4328999999999996	33	1
5_MACS_peak_2181_lociStitched	chr1	17011875	17066329	5	53659	168469.7852	14103.586	34	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	3.1997	34	1
20_MACS_peak_15622_lociStitched	chr17	48633985	48714754	20	77143	127025.4063	7568.0553	35	CACNA1G,ABCC3	MYCBPAP,EPN3,SPATA20	CACNA1G	CACNA1G	1.4769999999999999	35	1
5_MACS_peak_25795_lociStitched	chr21	46301113	46358440	5	56777	157431.4074	7762.0758	36	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	2.5949	36	1
15_MACS_peak_26094_lociStitched	chr22	19689550	19763952	15	72073	130203.5	6145.6052	37	SEPT5,SEPT5-GP1BB,GP1BB,TBX1		GP1BB	GP1BB	1.988	37	1
13_MACS_peak_9758_lociStitched	chr12	54337720	54411732	13	72395	130897.6232	7519.6192	38	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	MIR615	1.7124	38	1
8_MACS_peak_17621_lociStitched	chr19	3360426	3434920	8	73560	129247.09	9118.0656	39	NFIC	C19orf77	NFIC	NFIC	1.5448	39	1
30_MACS_peak_25928_lociStitched	chr21	47347490	47425752	30	70037	131761.9032	9219.2636	40	PCBP3,COL6A1		COL6A1	COL6A1	1.5972	40	1
5_MACS_peak_17737_lociStitched	chr19	4557407	4624068	5	65787	138214.9174	9459.1959	41	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	PLIN5	2.1803	41	1
28_MACS_peak_3504_lociStitched	chr1	23160829	23247825	28	79273	108544.9092	7629.5492	42	EPHB2,MIR4253		MIR4253	MIR4253	1.0920999999999998	42	1
10_MACS_peak_30293_lociStitched	chr4	9324620	9370921	10	45762	162484.0993	13515.2619	43	USP17,USP17L6P		USP17L6P	USP17L6P	1.8786	43	1
20_MACS_peak_19501_lociStitched	chr19	18059293	18132367	20	68797	115347.309	6759.345	44	KCNN1,ARRDC2	CCDC124	ARRDC2	ARRDC2	1.2858	44	1
10_MACS_peak_435_lociStitched	chr1	3099157	3169736	10	69201	109672.7081	4848.7773	45	PRDM16		MIR4251	MIR4251	1.5662	45	1
11_MACS_peak_36042_lociStitched	chr9	132911577	132983477	11	69567	110452.78	6614.8	46	NCS1		NCS1	NCS1	1.3202	46	1
31_MACS_peak_29673_lociStitched	chr4	7234059	7317181	31	74995	97784.7208	6857.565	47	SORCS2		SORCS2	SORCS2	0.8358	47	1
9_MACS_peak_13894_lociStitched	chr17	1828303	1899839	9	69113	109056.632	6216.4784	48	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.4291	48	1
8_MACS_peak_236_lociStitched	chr1	2347924	2412246	8	62917	117033.879	4502.54	49	PLCH2	RER1,MORN1,PEX10,PANK4,HES5	PLCH2	MORN1	1.5879999999999999	49	1
9_MACS_peak_13825_lociStitched	chr17	1041239	1106179	9	63453	118262.234	6883.64	50	ABR	ABR	ABR	ABR	0.5543	50	1
14_MACS_peak_168_lociStitched	chr1	1915774	1986131	14	67204	110045.3837	5881.8452	51	GABRD,PRKCZ,KIAA1751	PRKCZ	GABRD	GABRD	1.8084	51	1
21_MACS_peak_6874_lociStitched	chr11	1787005	1859169	21	66956	110829.4712	6761.7668	52	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	SYT8	1.5756999999999999	52	1
19_MACS_peak_30169_lociStitched	chr4	8586018	8659488	19	69943	103247.391	5392.698	53	GPR78,CPZ		CPZ	CPZ	1.5193	53	1
30_MACS_peak_3474_lociStitched	chr1	23079712	23158899	30	72537	95634.1399	6786.3259	54	EPHB2	MIR4253	MIR4253	MIR4253	1.0920999999999998	54	1
23_MACS_peak_2101_lociStitched	chr1	16410007	16483445	23	67879	103253.828	6631.4514	55	EPHA2	CLCNKB,FAM131C	EPHA2	CLCNKB	1.8206	55	1
24_MACS_peak_1779_lociStitched	chr1	10907197	10980570	24	67659	102626.8151	6816.3517	56			CASZ1	CASZ1	1.7052	56	1
35_MACS_peak_16829_lociStitched	chr17	77998947	78074423	35	68007	99145.2736	6755.102	57	CCDC40,TBC1D16	GAA,EIF4A3	CCDC40	GAA	1.2156	57	1
20_MACS_peak_27217_lociStitched	chr22	40036633	40108031	20	66190	99435.9946	6618.5946	58	CACNA1I		CACNA1I	CACNA1I	1.0995	58	1
6_MACS_peak_1102_lociStitched	chr1	6473538	6530493	6	55785	117241.8675	5997.3615	59	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	2.1669	59	1
12_MACS_peak_476_lociStitched	chr1	3296826	3362080	12	63589	102174.7132	4482.9498	60	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	1.4738	60	1
11_MACS_peak_11811_lociStitched	chr16	1144548	1202597	11	56979	113212.9647	3883.4781	61	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	1.8544999999999998	61	1
8_MACS_peak_29285_lociStitched	chr4	1751814	1808564	8	54646	117370.35	4619.45	62	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	FGFR3	1.2457	62	1
18_MACS_peak_417_lociStitched	chr1	3031257	3097107	18	61927	99308.385	4464.63	63	PRDM16,MIR4251	FLJ42875	MIR4251	MIR4251	1.5662	63	1
8_MACS_peak_25071_lociStitched	chr20	61313399	61371654	8	56688	107841.656	4998.279	64	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.6811	64	1
20_MACS_peak_29370_lociStitched	chr4	3625783	3693883	20	62761	93753.27	5822.55	65	LOC100133461		LOC100133461	LOC100133461	1.2792	65	1
17_MACS_peak_36829_lociStitched	chr9	137653302	137717068	17	60086	97657.629	4890.8522	66	COL5A1	MIR3689B,MIR3689A	MIR3689B	MIR3689A	0.1493	66	1
12_MACS_peak_60_lociStitched	chr1	955525	1016778	12	56665	104074.9723	5145.252	67	AGRN	ISG15,C1orf170,HES4,C1orf159	AGRN	HES4	1.8084	67	1
5_MACS_peak_1751_lociStitched	chr1	10699809	10753554	5	52843	109672.047	4842.4245	68	CASZ1		CASZ1	CASZ1	1.7052	68	1
8_MACS_peak_36191_lociStitched	chr9	133770057	133825230	8	54099	106561.1322	4314.5286	69	FIBCD1	QRFP	FIBCD1	FIBCD1	1.9843000000000002	69	1
19_MACS_peak_3307_lociStitched	chr1	22542421	22609904	19	62564	92289.7508	6451.3748	70			WNT4	WNT4	NONE	70	1
18_MACS_peak_36104_lociStitched	chr9	133249623	133314650	18	61254	93482.8152	5169.6465	71		ASS1	ASS1	ASS1	0.6218	71	1
3_MACS_peak_25157_lociStitched	chr20	61850194	61902805	3	51890	109620.2796	4813.9065	72	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	2.0697	72	1
23_MACS_peak_8080_lociStitched	chr11	69969134	70036846	23	62527	90564.8	5396.6464	73	ANO1	FADD	FADD	FADD	0.1911	73	1
33_MACS_peak_2232_lociStitched	chr1	17407880	17478559	33	63270	89635.1078	6551.9433	74	PADI2	SDHB	PADI2	PADI2	1.1948	74	1
26_MACS_peak_7503_lociStitched	chr11	64386436	64455655	26	62897	89257.9005	6388.9137	75	NRXN2	SLC22A12	NRXN2	NRXN2	1.1923000000000001	75	1
8_MACS_peak_33_lociStitched	chr1	829605	879438	8	47627	114222.2193	4818.8511	76	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	2.5658000000000003	76	1
12_MACS_peak_17962_lociStitched	chr19	5828100	5890982	12	61392	94819.7678	8778.3272	77	NRTN,FUT6,FUT3,FUT5	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	FUT3	1.3609	77	1
11_MACS_peak_36561_lociStitched	chr9	136368609	136426557	11	56207	95961.888	4363.4844	78	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.809	78	1
6_MACS_peak_7335_lociStitched	chr11	61442177	61499686	6	56713	95654.7197	5250.5717	79	DAGLA	C11orf9,DKFZP434K028	DAGLA	DAGLA	1.5453000000000001	79	1
15_MACS_peak_37181_lociStitched	chr9	138860257	138919559	15	56508	92866.932	4589.9748	80	NACC2	UBAC1	UBAC1	UBAC1	0.1306	80	1
5_MACS_peak_228_lociStitched	chr1	2243692	2294334	5	48900	104722.5918	4228.607	81	MORN1,LOC100129534	RER1,PEX10	LOC100129534	LOC100129534	2.0017	81	1
19_MACS_peak_7270_lociStitched	chr11	61272481	61332808	19	56221	92414.9313	5344.9722	82	LRRC10B,SYT7	C11orf66,RPLP0P2	LRRC10B	LRRC10B	1.0879	82	1
28_MACS_peak_6845_lociStitched	chr11	1702242	1770087	28	58123	88829.4585	6553.827	83	KRTAP5-6,MOB2,FAM99B,LOC402778	FAM99A,CTSD	KRTAP5-6	FAM99A	1.9060000000000001	83	1
10_MACS_peak_11800_lociStitched	chr16	1084598	1140873	10	54412	92831.24	3764.7975	84	SSTR5,LOC146336,C1QTNF8		SSTR5	SSTR5	1.4057	84	1
8_MACS_peak_25105_lociStitched	chr20	61585804	61640598	8	53727	95379.9158	5090.3626	85	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.4351	85	1
10_MACS_peak_17710_lociStitched	chr19	4183547	4240450	10	54973	95403.5698	8421.644	86	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	CREB3L3	1.7038000000000002	86	1
19_MACS_peak_36350_lociStitched	chr9	135335810	135400955	19	59456	82545.2295	5784.876	87	C9orf171		C9orf171	C9orf171	0.9183	87	1
9_MACS_peak_1067_lociStitched	chr1	6180857	6234632	9	52028	95966.865	4882.77	88	CHD5	RNF207,RPL22	CHD5	CHD5	1.3426999999999998	88	1
6_MACS_peak_25714_lociStitched	chr21	45900395	45954051	6	52101	97707.576	6937.7208	89	C21orf90,C21orf29	LRRC3,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	C21orf90	1.5837	89	1
21_MACS_peak_29390_lociStitched	chr4	3701023	3763406	21	58524	81503.3895	4828.4442	90		ADRA2C,LOC100133461	ADRA2C	LOC100133461	1.2792	90	1
2_MACS_peak_21722_lociStitched	chr19	50594116	50643885	2	49743	104992.6824	15139.7298	91	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2,SNAR-D	FLJ26850,IZUMO2	SNAR-B1	SNAR-B1	1.9495	91	1
11_MACS_peak_450_lociStitched	chr1	3178022	3235624	11	54157	85250.96	3778.6912	92	PRDM16		MIR4251	MIR4251	1.5662	92	1
17_MACS_peak_400_lociStitched	chr1	2969869	3029906	17	55089	81308.1091	3386.0868	93	PRDM16,FLJ42875	ACTRT2,MIR4251	PRDM16	MIR4251	1.5662	93	1
21_MACS_peak_146_lociStitched	chr1	1851136	1910650	21	53915	83093.4468	5427.6768	94	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	GABRD	1.8084	94	1
6_MACS_peak_35811_lociStitched	chr9	129370375	129420476	6	47391	92862.2035	4474.0193	95	LMX1B		LMX1B	LMX1B	1.5906	95	1
20_MACS_peak_30915_lociStitched	chr5	176117203	176176880	20	54905	76816.2344	5263.5114	96		TSPAN17	TSPAN17	TSPAN17	0.11720000000000001	96	1
8_MACS_peak_21551_lociStitched	chr19	49521170	49575050	8	51861	83303.868	5291.016	97	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	CGB5	1.6334	97	1
4_MACS_peak_31408_lociStitched	chr6	31990125	32033185	4	42742	97991.642	4792.578	98	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	2.4566999999999997	98	1
17_MACS_peak_13760_lociStitched	chr17	724905	783159	17	55082	76405.9464	5802.0984	99	NXN	RNMTL1,GLOD4	GLOD4	RNMTL1	0.049500000000000016	99	1
6_MACS_peak_25194_lociStitched	chr20	62074808	62122554	6	46675	90440.4732	3910.3974	100	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.6271	100	1
9_MACS_peak_34693_lociStitched	chr8	142359940	142412834	9	51407	81906.359	4501.2794	101	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.7855	101	1
11_MACS_peak_25079_lociStitched	chr20	61373027	61422165	11	46053	87514.778	4117.7644	102	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	COL9A3	1.0838	102	1
17_MACS_peak_2293_lociStitched	chr1	17534360	17589864	17	52548	75490.9904	5189.624	103	PADI1,PADI3	PADI4	PADI3	PADI3	1.0794000000000001	103	1
9_MACS_peak_28968_lociStitched	chr3	128168919	128216791	9	46160	86906.8288	4801.5616	104	DNAJB8,GATA2	LOC90246	DNAJB8	DNAJB8	1.4689999999999999	104	1
10_MACS_peak_9835_lociStitched	chr12	57570178	57619839	10	46942	86017.8181	5641.4896	105	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	MIR1228	1.4674	105	1
3_MACS_peak_34670_lociStitched	chr8	142013017	142060296	3	46377	86704.9581	6146.27	106		PTK2	PTK2	PTK2	0.0845	106	1
12_MACS_peak_16817_lociStitched	chr17	77941718	77995859	12	50484	77567.8107	4991.8002	107	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.3223	107	1
12_MACS_peak_1767_lociStitched	chr1	10853778	10905284	12	49474	79108.0654	4795.2086	108	CASZ1		CASZ1	CASZ1	1.7052	108	1
18_MACS_peak_27920_lociStitched	chr22	45894255	45949867	18	51450	74114.1124	4749.2648	109	FBLN1		FBLN1	FBLN1	1.1736000000000002	109	1
14_MACS_peak_37154_lociStitched	chr9	138571940	138624400	14	50275	75075.506	3740.398	110	KCNT1,SOHLH1	LCN9,GLT6D1	KCNT1	KCNT1	1.4672	110	1
14_MACS_peak_16110_lociStitched	chr17	72332441	72386188	14	51154	72870.1826	4321.2588	111	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	BTBD17	1.3293	111	1
9_MACS_peak_29333_lociStitched	chr4	3457089	3499480	9	40659	90848.1521	3717.6907	112	DOK7	HGFAC,LRPAP1	DOK7	DOK7	2.0632	112	1
18_MACS_peak_18302_lociStitched	chr19	8173327	8225255	18	48168	74880.176	6698.712	113	FBN3	LASS4	FBN3	FBN3	1.0028	113	1
2_MACS_peak_26129_lociStitched	chr22	20151857	20192771	2	40871	82989.9576	3461.3244	114		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	1.1722000000000001	114	1
9_MACS_peak_25467_lociStitched	chr21	43129414	43177416	9	46491	76169.5736	6681.8784	115	NCRNA00112,C21orf129,RIPK4	NCRNA00111	NCRNA00112	NCRNA00112	1.521	115	1
3_MACS_peak_25186_lociStitched	chr20	62022104	62063197	3	40894	80357.3615	3049.1006	116	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.6271	116	1
9_MACS_peak_36203_lociStitched	chr9	133834707	133880407	9	44856	74509.28	4492.31	117		LAMC3,FIBCD1	LAMC3	FIBCD1	1.9843000000000002	117	1
12_MACS_peak_11739_lociStitched	chr16	858464	907261	12	46008	71995.0938	4323.4142	118	PRR25,LMF1	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	MIR662	1.5062	118	1
9_MACS_peak_25519_lociStitched	chr21	43763107	43807791	9	42084	80895.9136	6380.8752	119	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	TFF3	1.9827000000000001	119	1
3_MACS_peak_37236_lociStitched	chr9	139216987	139252804	3	35525	86856.225	2757.909	120	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	2.0153000000000003	120	1
13_MACS_peak_20108_lociStitched	chr19	35977307	36028704	13	46721	69905.0597	4826.1783	121	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	DMKN	1.3778	121	1
5_MACS_peak_27018_lociStitched	chr22	37469351	37514135	5	43807	75384.9072	4469.4432	122	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.5731000000000002	122	1
15_MACS_peak_24008_lociStitched	chr20	48882112	48931824	15	47937	65878.3424	4548.648	123	LOC284751		LOC284751	LOC284751	1.0325	123	1
9_MACS_peak_25679_lociStitched	chr21	45760683	45802952	9	40795	80606.983	5714.7688	124	TRPM2	PFKL,C21orf2	TRPM2	TRPM2	1.2173	124	1
4_MACS_peak_2091_lociStitched	chr1	16339293	16380607	4	39948	79033.682	3668.6832	125	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	CLCNKB	1.8206	125	1
20_MACS_peak_28828_lociStitched	chr3	50473489	50525933	20	46960	64212.4336	4525.9172	126	CACNA2D2		CACNA2D2	CACNA2D2	1.0688	126	1
6_MACS_peak_37221_lociStitched	chr9	139013405	139056342	6	41267	74083.4998	3413.4915	127		NACC2,C9orf69,LHX3	C9orf69	LHX3	1.4255	127	1
5_MACS_peak_33139_lociStitched	chr7	150862742	150905457	5	41456	76532.4655	6347.449	128	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	SMARCD3	1.4529	128	1
4_MACS_peak_33108_lociStitched	chr7	149498201	149532728	4	34391	85240.2576	4578.2802	129	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.9667000000000001	129	1
7_MACS_peak_22509_lociStitched	chr2	26777317	26819925	7	41706	74410.6112	5232.2624	130	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.7054	130	1
11_MACS_peak_25165_lociStitched	chr20	61937708	61983156	11	42673	71085.2168	3722.1912	131	COL20A1,CHRNA4	ARFGAP1,MIR4326	CHRNA4	CHRNA4	1.3085	131	1
10_MACS_peak_20789_lociStitched	chr19	42466959	42511167	10	42511	71749.584	4226.2848	132	ATP1A3,GRIK5	RABAC1	ATP1A3	ATP1A3	1.4199	132	1
5_MACS_peak_26131_lociStitched	chr22	20197252	20238606	5	40761	73246.2048	3180.1226	133	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	1.1722000000000001	133	1
11_MACS_peak_17333_lociStitched	chr19	819305	862141	11	39125	76487.9616	5118.902	134	AZU1,PRTN3,ELANE,CFD,LPPR3	PTBP1,MIR3187,MED16	PRTN3	PRTN3	2.0095	134	1
9_MACS_peak_16239_lociStitched	chr17	72908257	72953113	9	42463	68037.5808	3996.6696	135	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	OTOP3	1.4229	135	1
13_MACS_peak_37012_lociStitched	chr9	138129207	138175782	13	44880	61940.0925	3702.7125	136			OLFM1	OLFM1	0.9633	136	1
7_MACS_peak_27275_lociStitched	chr22	42720533	42765318	7	43169	65569.7185	3717.155	137			LOC388906	NONE	NONE	137	1
18_MACS_peak_14285_lociStitched	chr17	7664208	7714410	18	44650	62727.399	5005.1394	138	DNAH2	RPL29P2,KDM6B,TMEM88,CYB5D1,LSMD1	RPL29P2	RPL29P2	0.6298999999999999	138	1
10_MACS_peak_35818_lociStitched	chr9	129427244	129470640	10	40876	69976.05	4591.2968	139	LMX1B		LMX1B	LMX1B	1.5906	139	1
8_MACS_peak_7534_lociStitched	chr11	64475626	64518443	8	39712	71016.2762	4063.3333	140	NRXN2,RASGRP2,PYGM	SF1	NRXN2	NRXN2	1.1923000000000001	140	1
4_MACS_peak_11796_lociStitched	chr16	1044927	1083153	4	37847	72059.8326	3061.9026	141		SOX8,SSTR5,LMF1,LOC146336	SOX8	SOX8	1.6174	141	1
15_MACS_peak_17533_lociStitched	chr19	3079132	3127922	15	44484	60138.554	5645.003	142	GNA11	GNA15,TLE2,AES	GNA11	GNA11	1.1607	142	1
10_MACS_peak_17382_lociStitched	chr19	1514002	1552959	10	37273	73691.0612	5138.4283	143	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	PLK5P	2.1839000000000004	143	1
