#26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_ROSE/26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam
#Using cutoff of 22166.066 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isSuperStretch
17_MACS_peak_2293_lociStitched	chr1	17534360	17589864	17	52548	75490.9904	5189.624	103	1
9_MACS_peak_28968_lociStitched	chr3	128168919	128216791	9	46160	86906.8288	4801.5616	104	1
10_MACS_peak_9835_lociStitched	chr12	57570178	57619839	10	46942	86017.8181	5641.4896	105	1
3_MACS_peak_34670_lociStitched	chr8	142013017	142060296	3	46377	86704.9581	6146.27	106	1
12_MACS_peak_16817_lociStitched	chr17	77941718	77995859	12	50484	77567.8107	4991.8002	107	1
12_MACS_peak_1767_lociStitched	chr1	10853778	10905284	12	49474	79108.0654	4795.2086	108	1
18_MACS_peak_27920_lociStitched	chr22	45894255	45949867	18	51450	74114.1124	4749.2648	109	1
14_MACS_peak_37154_lociStitched	chr9	138571940	138624400	14	50275	75075.506	3740.398	110	1
14_MACS_peak_16110_lociStitched	chr17	72332441	72386188	14	51154	72870.1826	4321.2588	111	1
9_MACS_peak_29333_lociStitched	chr4	3457089	3499480	9	40659	90848.1521	3717.6907	112	1
18_MACS_peak_18302_lociStitched	chr19	8173327	8225255	18	48168	74880.176	6698.712	113	1
2_MACS_peak_26129_lociStitched	chr22	20151857	20192771	2	40871	82989.9576	3461.3244	114	1
9_MACS_peak_25467_lociStitched	chr21	43129414	43177416	9	46491	76169.5736	6681.8784	115	1
3_MACS_peak_25186_lociStitched	chr20	62022104	62063197	3	40894	80357.3615	3049.1006	116	1
9_MACS_peak_36203_lociStitched	chr9	133834707	133880407	9	44856	74509.28	4492.31	117	1
12_MACS_peak_11739_lociStitched	chr16	858464	907261	12	46008	71995.0938	4323.4142	118	1
9_MACS_peak_25519_lociStitched	chr21	43763107	43807791	9	42084	80895.9136	6380.8752	119	1
3_MACS_peak_37236_lociStitched	chr9	139216987	139252804	3	35525	86856.225	2757.909	120	1
13_MACS_peak_20108_lociStitched	chr19	35977307	36028704	13	46721	69905.0597	4826.1783	121	1
5_MACS_peak_27018_lociStitched	chr22	37469351	37514135	5	43807	75384.9072	4469.4432	122	1
15_MACS_peak_24008_lociStitched	chr20	48882112	48931824	15	47937	65878.3424	4548.648	123	1
9_MACS_peak_25679_lociStitched	chr21	45760683	45802952	9	40795	80606.983	5714.7688	124	1
4_MACS_peak_2091_lociStitched	chr1	16339293	16380607	4	39948	79033.682	3668.6832	125	1
20_MACS_peak_28828_lociStitched	chr3	50473489	50525933	20	46960	64212.4336	4525.9172	126	1
6_MACS_peak_37221_lociStitched	chr9	139013405	139056342	6	41267	74083.4998	3413.4915	127	1
5_MACS_peak_33139_lociStitched	chr7	150862742	150905457	5	41456	76532.4655	6347.449	128	1
4_MACS_peak_33108_lociStitched	chr7	149498201	149532728	4	34391	85240.2576	4578.2802	129	1
7_MACS_peak_22509_lociStitched	chr2	26777317	26819925	7	41706	74410.6112	5232.2624	130	1
11_MACS_peak_25165_lociStitched	chr20	61937708	61983156	11	42673	71085.2168	3722.1912	131	1
10_MACS_peak_20789_lociStitched	chr19	42466959	42511167	10	42511	71749.584	4226.2848	132	1
5_MACS_peak_26131_lociStitched	chr22	20197252	20238606	5	40761	73246.2048	3180.1226	133	1
11_MACS_peak_17333_lociStitched	chr19	819305	862141	11	39125	76487.9616	5118.902	134	1
9_MACS_peak_16239_lociStitched	chr17	72908257	72953113	9	42463	68037.5808	3996.6696	135	1
13_MACS_peak_37012_lociStitched	chr9	138129207	138175782	13	44880	61940.0925	3702.7125	136	1
7_MACS_peak_27275_lociStitched	chr22	42720533	42765318	7	43169	65569.7185	3717.155	137	1
18_MACS_peak_14285_lociStitched	chr17	7664208	7714410	18	44650	62727.399	5005.1394	138	1
10_MACS_peak_35818_lociStitched	chr9	129427244	129470640	10	40876	69976.05	4591.2968	139	1
8_MACS_peak_7534_lociStitched	chr11	64475626	64518443	8	39712	71016.2762	4063.3333	140	1
4_MACS_peak_11796_lociStitched	chr16	1044927	1083153	4	37847	72059.8326	3061.9026	141	1
15_MACS_peak_17533_lociStitched	chr19	3079132	3127922	15	44484	60138.554	5645.003	142	1
10_MACS_peak_17382_lociStitched	chr19	1514002	1552959	10	37273	73691.0612	5138.4283	143	1
13_MACS_peak_33144_lociStitched	chr7	150940765	150977790	13	34657	77756.2025	5601.8825	144	1
7_MACS_peak_7341_lociStitched	chr11	61501386	61544231	7	40557	65681.385	3877.4725	145	1
12_MACS_peak_28786_lociStitched	chr3	50216448	50259494	12	39271	68369.9618	4235.7264	146	1
21_MACS_peak_17821_lociStitched	chr19	5300822	5347005	21	42095	63866.4707	5652.7992	147	1
5_MACS_peak_32187_lociStitched	chr7	2532576	2573068	5	38798	68168.282	3992.5112	148	1
17_MACS_peak_2863_lociStitched	chr1	19023674	19070137	17	43127	58761.7561	3912.1846	149	1
6_MACS_peak_37227_lociStitched	chr9	139058950	139096442	6	36782	69956.3228	2871.8872	150	1
8_MACS_peak_6716_lociStitched	chr11	1025672	1063917	8	37366	69020.7515	3159.037	151	1
12_MACS_peak_15528_lociStitched	chr17	47508799	47553525	12	40838	63443.831	4240.0248	152	1
19_MACS_peak_16569_lociStitched	chr17	76580917	76627663	19	42837	58853.214	4202.4654	153	1
13_MACS_peak_24172_lociStitched	chr20	56126246	56170981	13	42443	59792.801	4536.129	154	1
20_MACS_peak_11299_lociStitched	chr15	74586857	74633023	20	42629	58603.1204	4358.0704	155	1
13_MACS_peak_31346_lociStitched	chr6	30408737	30450696	13	38922	67285.4524	5765.1666	156	1
18_MACS_peak_1366_lociStitched	chr1	7505439	7552481	18	41670	59098.8646	3476.4038	157	1
9_MACS_peak_37212_lociStitched	chr9	138961930	139000726	9	36980	67586.5116	3076.5228	158	1
50_MACS_peak_34307_lociStitched	chr8	7570006	7630151	50	47160	43701.357	4366.527	159	1
22_MACS_peak_30258_lociStitched	chr4	8876170	8923957	22	42015	57836.6061	3932.8701	160	1
20_MACS_peak_33457_lociStitched	chr7	155596229	155642287	20	40704	61906.5578	5070.9858	161	1
27_MACS_peak_34762_lociStitched	chr8	142586028	142635253	27	42301	56397.0825	3514.665	162	1
6_MACS_peak_9317_lociStitched	chr12	3367879	3409337	6	40438	60404.306	3776.8238	163	1
9_MACS_peak_16808_lociStitched	chr17	77898563	77940369	9	38719	63812.6784	3921.4028	164	1
16_MACS_peak_311_lociStitched	chr1	2715382	2760163	16	41266	57749.5776	3345.1407	165	1
14_MACS_peak_1898_lociStitched	chr1	11483557	11526911	14	41177	58272.1114	3763.1272	166	1
21_MACS_peak_9296_lociStitched	chr12	3319783	3366488	21	42379	55317.402	3965.2545	167	1
16_MACS_peak_7290_lociStitched	chr11	61337377	61381268	16	41151	58427.6992	4187.2014	168	1
9_MACS_peak_26136_lociStitched	chr22	20240293	20281146	9	38678	61969.9157	3076.2309	169	1
13_MACS_peak_6755_lociStitched	chr11	1237992	1279467	13	39629	60225.8475	3297.2625	170	1
15_MACS_peak_10106_lociStitched	chr13	113667832	113710938	15	39774	60154.423	3840.7446	171	1
7_MACS_peak_10099_lociStitched	chr13	113627147	113666355	7	38291	62285.8288	3320.9176	172	1
12_MACS_peak_5945_lociStitched	chr10	102482600	102521270	12	35820	66829.494	3781.926	173	1
5_MACS_peak_36212_lociStitched	chr9	133882410	133918796	5	35352	66917.4926	3271.1014	174	1
15_MACS_peak_27458_lociStitched	chr22	44214019	44257342	15	40098	56623.161	3426.8493	175	1
12_MACS_peak_36218_lociStitched	chr9	133934950	133975056	12	38633	59882.2686	3553.3916	176	1
8_MACS_peak_18232_lociStitched	chr19	7829967	7871147	8	39754	59262.138	5695.194	177	1
13_MACS_peak_17654_lociStitched	chr19	3708026	3747017	13	36041	65770.0188	5762.8698	178	1
4_MACS_peak_17731_lociStitched	chr19	4509902	4543020	4	32962	69544.4882	4759.0566	179	1
5_MACS_peak_85_lociStitched	chr1	1093452	1124345	5	30720	70504.0046	2520.8688	180	1
10_MACS_peak_15540_lociStitched	chr17	47554873	47593252	10	36946	61828.569	4083.5256	181	1
7_MACS_peak_27327_lociStitched	chr22	42918428	42956847	7	36476	64394.0859	6481.2853	182	1
10_MACS_peak_17976_lociStitched	chr19	5991296	6029846	10	37322	61198.125	5528.07	183	1
14_MACS_peak_6975_lociStitched	chr11	2304137	2344283	14	37112	57854.4006	2998.9062	184	1
17_MACS_peak_2000_lociStitched	chr1	11911634	11953816	17	38649	55427.148	4041.0356	185	1
3_MACS_peak_17720_lociStitched	chr19	4275553	4309783	3	34201	64461.936	4538.898	186	1
18_MACS_peak_18574_lociStitched	chr19	11345834	11389881	18	39153	54481.7343	4611.7209	187	1
3_MACS_peak_17707_lociStitched	chr19	4140423	4173347	3	32070	67816.8552	4642.284	188	1
19_MACS_peak_17922_lociStitched	chr19	5722021	5767849	19	39580	53944.1388	5948.4744	189	1
15_MACS_peak_6779_lociStitched	chr11	1388229	1430285	15	38106	54609.716	3204.6672	190	1
8_MACS_peak_27295_lociStitched	chr22	42791887	42831398	8	37314	56804.9647	3891.8335	191	1
14_MACS_peak_343_lociStitched	chr1	2814790	2854661	14	37755	53522.8304	2491.9375	192	1
13_MACS_peak_25535_lociStitched	chr21	43829329	43870188	13	37050	58693.9535	6357.6604	193	1
9_MACS_peak_14738_lociStitched	chr17	26830959	26867847	9	35785	58710.9408	4009.7256	194	1
10_MACS_peak_11945_lociStitched	chr16	2854504	2892344	10	35679	58057.912	3583.448	195	1
8_MACS_peak_4222_lociStitched	chr1	32125991	32165419	8	38193	52809.8632	3848.1728	196	1
12_MACS_peak_27421_lociStitched	chr22	43799696	43839425	12	37572	53383.8573	3023.3769	197	1
19_MACS_peak_31481_lociStitched	chr6	33760400	33803070	19	38882	51225.335	4147.524	198	1
3_MACS_peak_23013_lociStitched	chr2	220328786	220362783	3	32987	62469.4875	3307.9081	199	1
11_MACS_peak_36683_lociStitched	chr9	137095832	137135511	11	35674	56740.97	2741.8189	200	1
13_MACS_peak_32200_lociStitched	chr7	2671665	2711939	13	35651	57104.5046	3229.9748	201	1
4_MACS_peak_31404_lociStitched	chr6	31958211	31985253	4	26936	71131.2768	3642.5574	202	1
10_MACS_peak_11751_lociStitched	chr16	915178	953904	10	35368	57709.4852	3287.8374	203	1
8_MACS_peak_25149_lociStitched	chr20	61779509	61817095	8	35750	55811.4514	2416.7798	204	1
9_MACS_peak_25978_lociStitched	chr21	47528585	47562545	9	31896	63929.7	3745.788	205	1
5_MACS_peak_27565_lociStitched	chr22	44732070	44768152	5	35448	56446.6808	2688.109	206	1
20_MACS_peak_11251_lociStitched	chr15	74461176	74504139	20	37799	52307.4525	3965.4849	207	1
14_MACS_peak_31412_lociStitched	chr6	32034770	32072675	14	35150	57187.2735	3741.2235	208	1
10_MACS_peak_4884_lociStitched	chr1	156821094	156858780	10	34371	60610.3938	5867.7102	209	1
12_MACS_peak_6929_lociStitched	chr11	2105800	2145491	12	36102	54412.3919	3373.735	210	1
10_MACS_peak_46_lociStitched	chr1	913467	947850	10	32183	61346.1486	3146.0445	211	1
13_MACS_peak_27634_lociStitched	chr22	44964930	45005679	13	37759	49074.0207	3149.8977	212	1
14_MACS_peak_16917_lociStitched	chr17	78478643	78517619	14	36701	51662.688	3293.472	213	1
9_MACS_peak_23488_lociStitched	chr20	30425280	30462528	9	34330	57320.9472	4101.0048	214	1
9_MACS_peak_16737_lociStitched	chr17	77636133	77674294	9	36557	51830.2702	3468.8349	215	1
8_MACS_peak_27795_lociStitched	chr22	45319965	45357440	8	36783	50527.5425	2870.585	216	1
7_MACS_peak_37308_lociStitched	chr9	139923879	139955200	7	30295	62006.1837	2897.1925	217	1
8_MACS_peak_35114_lociStitched	chr8	143636062	143673929	8	35089	52892.6256	2684.7703	218	1
4_MACS_peak_16908_lociStitched	chr17	78429591	78461777	4	31625	59611.6906	2993.298	219	1
23_MACS_peak_2839_lociStitched	chr1	18978949	19020992	23	38279	45292.9239	3619.9023	220	1
21_MACS_peak_27681_lociStitched	chr22	45093356	45135249	21	36544	49484.0116	3364.0079	221	1
11_MACS_peak_27077_lociStitched	chr22	37886047	37923839	11	35517	51933.7664	3556.2272	222	1
13_MACS_peak_27552_lociStitched	chr22	44691587	44730351	13	35061	52928.3656	3670.9508	223	1
5_MACS_peak_36442_lociStitched	chr9	135848430	135882520	5	33892	54714.45	3177.188	224	1
8_MACS_peak_5028_lociStitched	chr1	201321980	201357974	8	34211	55610.73	4927.5786	225	1
4_MACS_peak_30962_lociStitched	chr5	176265775	176297776	4	31381	58437.0261	3033.6948	226	1
7_MACS_peak_37269_lociStitched	chr9	139627977	139659079	7	30051	60325.4392	2740.0862	227	1
10_MACS_peak_35426_lociStitched	chr8	144938490	144972830	10	32470	56901.38	3509.548	228	1
4_MACS_peak_29065_lociStitched	chr3	184274888	184305806	4	30012	61226.9154	4374.897	229	1
10_MACS_peak_36784_lociStitched	chr9	137508750	137548258	10	35319	48784.4784	2757.6584	230	1
3_MACS_peak_37233_lociStitched	chr9	139138640	139167013	3	27928	61716.9496	2513.8478	231	1
14_MACS_peak_24459_lociStitched	chr20	57178649	57218101	14	36082	47220.0988	3566.4608	232	1
11_MACS_peak_32812_lociStitched	chr7	100743721	100781639	11	34858	50385.4384	4049.6424	233	1
7_MACS_peak_20193_lociStitched	chr19	36334893	36370629	7	34657	49505.0808	3255.5496	234	1
12_MACS_peak_29441_lociStitched	chr4	3850700	3888427	12	33940	50689.9972	3172.8407	235	1
22_MACS_peak_15122_lociStitched	chr17	41703942	41744893	22	36091	45553.8924	3489.0252	236	1
4_MACS_peak_17745_lociStitched	chr19	4734043	4767546	4	32984	53577.9976	4730.6236	237	1
1_MACS_peak_33107_lociStitched	chr7	149470090	149496012	1	25923	63573.705	3294.6862	238	1
9_MACS_peak_27160_lociStitched	chr22	39213946	39249747	9	33249	51313.5733	3365.294	239	1
24_MACS_peak_24500_lociStitched	chr20	57354126	57394505	24	35109	47013.2697	3492.7835	240	1
5_MACS_peak_14907_lociStitched	chr17	36716083	36747020	5	30235	56568.3045	3189.6047	241	1
15_MACS_peak_2393_lociStitched	chr1	17875549	17914548	15	34829	47516.3816	3474.8109	242	1
7_MACS_peak_16591_lociStitched	chr17	77015612	77047863	7	30748	55839.3814	3534.7096	243	1
9_MACS_peak_334_lociStitched	chr1	2776087	2812354	9	33963	48423.6984	2549.5701	244	1
6_MACS_peak_17376_lociStitched	chr19	1483971	1512983	6	27346	62123.3956	4418.5276	245	1
10_MACS_peak_18858_lociStitched	chr19	14269342	14305855	10	34454	47423.0844	3023.2764	246	1
14_MACS_peak_21497_lociStitched	chr19	49173393	49209560	14	34538	47443.8706	3283.9636	247	1
13_MACS_peak_36751_lociStitched	chr9	137423089	137460361	13	33358	49042.4976	2702.22	248	1
15_MACS_peak_9201_lociStitched	chr12	1919609	1956076	15	34330	47549.3213	3478.9518	249	1
14_MACS_peak_19544_lociStitched	chr19	18343187	18379986	14	33732	48611.479	3834.4558	250	1
9_MACS_peak_1454_lociStitched	chr1	7715916	7750964	9	33469	47815.9864	2905.4792	251	1
5_MACS_peak_11982_lociStitched	chr16	3078332	3108480	5	29708	54848.2564	2607.802	252	1
4_MACS_peak_37168_lociStitched	chr9	138625511	138657822	4	31820	50463.3198	2391.014	253	1
20_MACS_peak_32723_lociStitched	chr7	100340827	100378068	20	34104	45910.7048	3124.5199	254	1
9_MACS_peak_16348_lociStitched	chr17	74872207	74906533	9	31555	51519.8934	3233.5092	255	1
6_MACS_peak_37173_lociStitched	chr9	138661106	138692043	6	28925	54275.8728	2375.9616	256	1
16_MACS_peak_205_lociStitched	chr1	2080215	2117887	16	33457	45959.84	3281.2312	257	1
14_MACS_peak_27570_lociStitched	chr22	44775606	44810721	14	33367	45526.5975	2858.361	258	1
7_MACS_peak_27545_lociStitched	chr22	44657874	44690571	7	31523	49503.258	2860.9875	259	1
7_MACS_peak_6913_lociStitched	chr11	1937306	1968209	7	28976	53938.0962	2790.5409	260	1
