#06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_ROSE/06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam
#Using cutoff of 16485.7032 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isStretch
4_MACS_peak_11465_lociStitched	chr17	34509746	34541185	4	27043	72089.627	6900.8605	35	1
7_MACS_peak_13130_lociStitched	chr19	2594321	2637981	7	27003	115092.126	9683.788	36	1
2_MACS_peak_25947_lociStitched	chr7	55615909	55643161	2	26903	52956.0864	4660.092	37	1
1_MACS_peak_24723_lociStitched	chr6	106530366	106557211	1	26846	117546.2015	5444.166	38	1
7_MACS_peak_10669_lociStitched	chr16	68269754	68320257	7	26814	43619.4411	7625.953	39	1
2_MACS_peak_16494_lociStitched	chr2	232687086	232714787	2	26670	28158.0665	3105.2821	40	1
3_MACS_peak_18062_lociStitched	chr22	29185846	29221782	3	26604	96118.0192	6551.1328	41	1
6_MACS_peak_11782_lociStitched	chr17	46516076	46556882	6	26602	31343.0886	6157.6254	42	1
2_MACS_peak_5764_lociStitched	chr11	128585330	128618597	2	26596	55323.021	5648.7366	43	1
5_MACS_peak_18969_lociStitched	chr3	46317815	46347617	5	26520	37619.0646	4854.7458	44	1
5_MACS_peak_27942_lociStitched	chr8	120917814	120949074	5	26092	50187.93	5117.262	45	1
4_MACS_peak_26902_lociStitched	chr7	150052760	150084950	4	25674	100526.151	7622.592	46	1
4_MACS_peak_4092_lociStitched	chr10	112599075	112633306	4	24995	70690.4381	6041.7715	47	1
5_MACS_peak_3053_lociStitched	chr10	11278648	11313057	5	24937	56764.5273	6018.1341	48	1
3_MACS_peak_19765_lociStitched	chr3	133178761	133213361	3	24914	61190.1	5864.7	49	1
6_MACS_peak_16225_lociStitched	chr2	204547925	204585806	6	24817	55060.0335	6648.1155	50	1
6_MACS_peak_28013_lociStitched	chr8	126285062	126322918	6	24792	35842.0608	5572.4032	51	1
2_MACS_peak_12494_lociStitched	chr18	9132825	9157506	2	24457	48651.1872	4723.9434	52	1
4_MACS_peak_18567_lociStitched	chr3	5222526	5256500	4	24189	41410.9086	5048.5364	53	1
6_MACS_peak_16899_lociStitched	chr20	25261610	25302983	6	24143	85534.5402	6160.4397	54	1
4_MACS_peak_21831_lociStitched	chr4	185317606	185350292	4	24125	60972.4644	5053.2556	55	1
2_MACS_peak_4610_lociStitched	chr11	22676362	22704326	2	24123	97818.072	4270.1028	56	1
6_MACS_peak_7289_lociStitched	chr12	123355089	123387368	6	24049	31187.9698	2872.831	57	1
4_MACS_peak_12488_lociStitched	chr18	9053465	9085297	4	23924	101333.9888	5261.8296	58	1
4_MACS_peak_26379_lociStitched	chr7	102063403	102093390	4	23700	110109.2653	4929.8628	59	1
6_MACS_peak_5940_lociStitched	chr12	7045680	7085750	6	23627	52415.567	6743.781	60	1
2_MACS_peak_12492_lociStitched	chr18	9094667	9123212	2	23608	73357.7955	5046.756	61	1
7_MACS_peak_18979_lociStitched	chr3	46419707	46459680	7	23369	31910.4459	5656.1795	62	1
3_MACS_peak_22939_lociStitched	chr5	131744765	131774401	3	22890	64559.0624	5328.5528	63	1
5_MACS_peak_10101_lociStitched	chr16	11754430	11786868	5	22869	60834.2252	5699.3566	64	1
3_MACS_peak_11460_lociStitched	chr17	34408668	34432975	3	22279	40930.5573	4212.4031	65	1
2_MACS_peak_17313_lociStitched	chr20	52193964	52216301	2	22044	48797.4102	3710.1757	66	1
2_MACS_peak_20111_lociStitched	chr3	171801681	171827208	2	21964	64652.2329	6430.2513	67	1
2_MACS_peak_1762_lociStitched	chr1	156115214	156137215	2	21941	83099.9771	6752.1069	68	1
4_MACS_peak_24724_lociStitched	chr6	106585412	106618418	4	21885	82907.7714	5719.9398	69	1
2_MACS_peak_1774_lociStitched	chr1	156450323	156476346	2	21820	45693.7857	6573.4098	70	1
1_MACS_peak_3049_lociStitched	chr10	11202034	11223841	1	21808	110352.1428	4982.8995	71	1
4_MACS_peak_16114_lociStitched	chr2	197023672	197049408	4	21770	32713.0296	4274.7496	72	1
1_MACS_peak_14343_lociStitched	chr2	20404552	20426280	1	21729	64225.7952	4356.464	73	1
4_MACS_peak_13462_lociStitched	chr19	16243987	16273059	4	21539	45454.072	4907.3536	74	1
2_MACS_peak_29086_lociStitched	chr9	112903979	112925525	2	21538	38285.0874	4645.3176	75	1
2_MACS_peak_474_lociStitched	chr1	31213879	31236471	2	21527	67403.232	4538.7328	76	1
4_MACS_peak_9737_lociStitched	chr15	89646482	89676907	4	21483	60442.305	5190.505	77	1
2_MACS_peak_6482_lociStitched	chr12	53583585	53605162	2	21156	99021.1684	4587.2702	78	1
6_MACS_peak_8657_lociStitched	chr14	95945775	95986118	6	21134	25851.7944	3154.8226	79	1
5_MACS_peak_4462_lociStitched	chr11	10314410	10345266	5	21086	54537.98	5800.928	80	1
3_MACS_peak_7094_lociStitched	chr12	109007125	109036180	3	20929	107300.115	5593.0875	81	1
5_MACS_peak_17087_lociStitched	chr20	37486776	37523545	5	20852	91915.1462	5614.6263	82	1
5_MACS_peak_1478_lociStitched	chr1	145127612	145161684	5	20797	37932.3576	11417.5272	83	1
2_MACS_peak_5013_lociStitched	chr11	65183106	65210671	2	20755	126785.2175	6364.7585	84	1
7_MACS_peak_22754_lociStitched	chr5	109247608	109286567	7	20731	33594.3457	5832.1623	85	1
6_MACS_peak_20144_lociStitched	chr3	175051982	175074400	6	20543	47057.6238	4532.9196	86	1
1_MACS_peak_7093_lociStitched	chr12	108952823	108973346	1	20524	59481.8109	4010.1942	87	1
6_MACS_peak_9873_lociStitched	chr15	101661135	101692527	6	20495	35425.872	4834.368	88	1
3_MACS_peak_23854_lociStitched	chr6	25365855	25390602	3	20391	39342.7806	4328.2503	89	1
3_MACS_peak_21003_lociStitched	chr4	71525352	71555397	3	20364	43952.8305	5206.7985	90	1
3_MACS_peak_11930_lociStitched	chr17	56404436	56431309	3	20358	84905.2435	5718.5744	91	1
3_MACS_peak_19643_lociStitched	chr3	124479957	124512571	3	20321	33944.6512	4725.7686	92	1
3_MACS_peak_2207_lociStitched	chr1	192497609	192521246	3	20320	55142.7573	5398.6908	93	1
1_MACS_peak_22605_lociStitched	chr5	88110477	88130791	1	20315	44369.8388	3575.264	94	1
4_MACS_peak_5527_lociStitched	chr11	111230085	111251690	4	20236	47535.321	3692.2945	95	1
3_MACS_peak_5199_lociStitched	chr11	72850503	72871277	3	20232	84643.663	4183.8836	96	1
3_MACS_peak_24592_lociStitched	chr6	88612473	88640590	3	20221	35016.9118	4248.4787	97	1
2_MACS_peak_17726_lociStitched	chr21	41324200	41345250	2	20185	69290.285	5757.175	98	1
3_MACS_peak_8834_lociStitched	chr15	23658496	23683087	3	20166	43617.0567	3730.4547	99	1
5_MACS_peak_18992_lociStitched	chr3	46573960	46608606	5	20071	65401.2542	5401.3114	100	1
3_MACS_peak_19243_lociStitched	chr3	69128082	69155609	3	20034	37103.6433	4453.8686	101	1
5_MACS_peak_26906_lociStitched	chr7	150100655	150134444	5	19715	72974.1033	7561.9782	102	1
4_MACS_peak_23511_lociStitched	chr5	180228274	180259911	4	19691	53887.3021	4938.5357	103	1
4_MACS_peak_16717_lociStitched	chr20	5570389	5592606	4	19505	23936.5958	3943.5175	104	1
4_MACS_peak_9031_lociStitched	chr15	40833485	40862784	4	19416	48138.257	4884.1433	105	1
3_MACS_peak_9515_lociStitched	chr15	75063180	75083657	3	19279	38322.7055	3780.0542	106	1
5_MACS_peak_14853_lociStitched	chr2	64430299	64456679	5	19243	40213.672	4431.84	107	1
4_MACS_peak_17801_lociStitched	chr21	45552543	45581096	4	19242	80804.99	6572.9006	108	1
6_MACS_peak_12143_lociStitched	chr17	72733107	72756919	6	19224	23342.9036	3940.886	109	1
2_MACS_peak_12292_lociStitched	chr17	76710974	76733683	2	19218	42845.0703	4534.9873	110	1
4_MACS_peak_19390_lociStitched	chr3	98472196	98496142	4	19125	43191.4002	3998.982	111	1
3_MACS_peak_9015_lociStitched	chr15	40386736	40409253	3	18987	47312.7204	3917.958	112	1
3_MACS_peak_26213_lociStitched	chr7	90337276	90367846	3	18939	42201.885	5068.506	113	1
2_MACS_peak_11572_lociStitched	chr17	38465585	38484612	2	18887	46180.4317	3696.9461	114	1
1_MACS_peak_20834_lociStitched	chr4	40191001	40209839	1	18839	73357.0558	4590.8206	115	1
4_MACS_peak_25773_lociStitched	chr7	38383574	38408551	4	18746	33201.9261	5335.0872	116	1
7_MACS_peak_17142_lociStitched	chr20	42564654	42593773	7	18640	29005.4359	4274.6692	117	1
3_MACS_peak_15224_lociStitched	chr2	97189985	97213644	3	18632	59549.703	4208.9361	118	1
4_MACS_peak_4012_lociStitched	chr10	105244857	105268392	4	18579	25478.991	4036.2525	119	1
4_MACS_peak_3031_lociStitched	chr10	7510989	7536582	4	18546	36462.3471	3913.1697	120	1
6_MACS_peak_17334_lociStitched	chr20	52530930	52567315	6	18526	32182.5325	5432.2805	121	1
3_MACS_peak_14888_lociStitched	chr2	65156219	65178782	3	18504	67188.1014	4020.7266	122	1
5_MACS_peak_25266_lociStitched	chr6	157976430	158007391	5	18473	28942.3428	2325.1711	123	1
3_MACS_peak_13749_lociStitched	chr19	39880682	39904021	3	18456	53850.0747	3904.6147	124	1
4_MACS_peak_18638_lociStitched	chr3	13035643	13061771	4	18256	63765.384	4713.4912	125	1
5_MACS_peak_10235_lociStitched	chr16	22194814	22219342	5	18136	31619.0448	4586.736	126	1
3_MACS_peak_4582_lociStitched	chr11	19449687	19468142	3	18131	69774.664	3794.348	127	1
5_MACS_peak_23931_lociStitched	chr6	27774501	27808122	5	18012	43640.058	5527.2924	128	1
2_MACS_peak_1595_lociStitched	chr1	150532064	150553366	2	17992	66973.488	6431.0738	129	1
4_MACS_peak_10249_lociStitched	chr16	23333859	23364307	4	17975	75678.504	4375.3776	130	1
3_MACS_peak_27012_lociStitched	chr8	2027337	2051247	3	17961	71751.519	4007.316	131	1
2_MACS_peak_5018_lociStitched	chr11	65254277	65278863	2	17950	52648.4604	4725.4292	132	1
4_MACS_peak_12295_lociStitched	chr17	76753797	76779850	4	17898	29153.307	4082.5051	133	1
2_MACS_peak_1686_lociStitched	chr1	154374157	154394649	2	17864	60242.3816	5737.76	134	1
4_MACS_peak_4069_lociStitched	chr10	112103726	112130142	4	17783	93092.6256	4913.376	135	1
3_MACS_peak_13106_lociStitched	chr19	2073562	2098369	3	17779	91093.7847	6625.9497	136	1
5_MACS_peak_9009_lociStitched	chr15	40329919	40358696	5	17696	29507.9358	4471.9458	137	1
6_MACS_peak_10363_lociStitched	chr16	30193683	30227703	6	17668	29471.526	6426.378	138	1
3_MACS_peak_18961_lociStitched	chr3	46129539	46153918	3	17649	32843.3888	4449.1675	139	1
5_MACS_peak_16360_lociStitched	chr2	219741250	219763451	5	17607	28326.2559	3696.4665	140	1
3_MACS_peak_325_lociStitched	chr1	24511753	24533976	3	17455	59442.0804	4293.4836	141	1
4_MACS_peak_1570_lociStitched	chr1	149802818	149834066	4	17441	68117.5152	7799.5008	142	1
3_MACS_peak_12242_lociStitched	chr17	75128804	75146961	3	17376	62670.7012	3673.1611	143	1
4_MACS_peak_15402_lociStitched	chr2	112208353	112241917	4	17340	29657.1504	5323.2504	144	1
5_MACS_peak_14935_lociStitched	chr2	68936008	68965713	5	17321	30397.1265	4776.564	145	1
1_MACS_peak_25945_lociStitched	chr7	55568918	55586222	1	17305	42424.2168	2716.728	146	1
1_MACS_peak_995_lociStitched	chr1	66734860	66752164	1	17305	55175.5344	3275.6472	147	1
2_MACS_peak_18218_lociStitched	chr22	37610004	37629299	2	17218	45661.6175	3484.677	148	1
3_MACS_peak_8550_lociStitched	chr14	81930585	81953513	3	17173	33289.1632	2207.9664	149	1
5_MACS_peak_11562_lociStitched	chr17	38251237	38280765	5	17072	23533.816	4305.1824	150	1
5_MACS_peak_23262_lociStitched	chr5	156339256	156370053	5	17070	30085.5893	4243.8266	151	1
4_MACS_peak_14703_lociStitched	chr2	47526563	47550890	4	17061	48712.3848	4018.8204	152	1
1_MACS_peak_22284_lociStitched	chr5	55436859	55453866	1	17008	40335.5019	2894.5914	153	1
4_MACS_peak_6378_lociStitched	chr12	48196040	48218967	4	16992	41894.5071	3794.4185	154	1
2_MACS_peak_1069_lociStitched	chr1	75595376	75612819	2	16963	32266.0614	2621.6829	155	1
6_MACS_peak_30250_lociStitched	chrX	128892765	128921527	6	16922	27208.852	2579.9514	156	1
4_MACS_peak_6024_lociStitched	chr12	11901283	11920486	4	16860	31838.574	3222.2634	157	1
5_MACS_peak_11720_lociStitched	chr17	43505040	43531608	5	16766	26350.1424	4070.2176	158	1
3_MACS_peak_3709_lociStitched	chr10	81001125	81020623	3	16735	34667.444	3195.7222	159	1
3_MACS_peak_18778_lociStitched	chr3	30682880	30703784	3	16729	17339.868	3415.7136	160	1
6_MACS_peak_24037_lociStitched	chr6	31773611	31805046	6	16610	28533.5495	5133.3355	161	1
1_MACS_peak_21083_lociStitched	chr4	77608500	77625064	1	16565	22704.2748	3160.4112	162	1
1_MACS_peak_22606_lociStitched	chr5	88170694	88187221	1	16528	52084.8405	3376.4661	163	1
4_MACS_peak_23206_lociStitched	chr5	150512532	150538139	4	16457	26649.2049	4025.4204	164	1
4_MACS_peak_22944_lociStitched	chr5	131813216	131842364	4	16242	28547.5512	4984.308	165	1
5_MACS_peak_8802_lociStitched	chr15	21975982	22002657	5	16194	19560.7775	3905.22	166	1
5_MACS_peak_1757_lociStitched	chr1	156065190	156100708	5	16169	24326.2782	7554.6786	167	1
3_MACS_peak_22829_lociStitched	chr5	118657534	118678812	3	16151	33802.2308	3902.3852	168	1
3_MACS_peak_18308_lociStitched	chr22	39823004	39846284	3	16138	56342.256	3461.736	169	1
3_MACS_peak_18006_lociStitched	chr22	24178493	24201056	3	16036	73645.632	3984.6258	170	1
3_MACS_peak_25844_lociStitched	chr7	44656567	44680443	3	16006	34190.432	3963.416	171	1
1_MACS_peak_6053_lociStitched	chr12	12866150	12882083	1	15934	86156.1042	3336.3702	172	1
5_MACS_peak_16189_lociStitched	chr2	202081047	202102267	5	15933	23751.546	4210.048	173	1
4_MACS_peak_3726_lociStitched	chr10	81946260	81966685	4	15858	31119.53	3570.29	174	1
3_MACS_peak_19981_lociStitched	chr3	156804214	156825014	3	15826	44516.16	5328.96	175	1
2_MACS_peak_24613_lociStitched	chr6	90055612	90071354	2	15724	33591.8538	3104.3224	176	1
3_MACS_peak_9725_lociStitched	chr15	89163621	89185174	3	15687	31090.2025	3797.6386	177	1
4_MACS_peak_14291_lociStitched	chr2	13680324	13702478	4	15625	32821.151	3267.715	178	1
1_MACS_peak_16184_lociStitched	chr2	201979529	201995139	1	15611	98547.491	3451.371	179	1
3_MACS_peak_23698_lociStitched	chr6	11713277	11736193	3	15582	37680.7788	3290.7376	180	1
4_MACS_peak_28858_lociStitched	chr9	93670948	93690443	4	15540	32523.5085	3296.6045	181	1
6_MACS_peak_8516_lociStitched	chr14	77487823	77510116	6	15509	27300.0078	1863.6948	182	1
5_MACS_peak_29385_lociStitched	chr9	134127087	134153439	5	15474	29060.9856	4131.9936	183	1
2_MACS_peak_6090_lociStitched	chr12	15100709	15116372	2	15470	26443.8429	3131.0337	184	1
4_MACS_peak_21758_lociStitched	chr4	173896270	173920285	4	15460	25587.9825	3294.858	185	1
4_MACS_peak_2138_lociStitched	chr1	183856419	183885931	4	15382	37046.4136	6076.5208	186	1
4_MACS_peak_14858_lociStitched	chr2	64486045	64511823	4	15291	32209.611	3815.144	187	1
4_MACS_peak_2364_lociStitched	chr1	204474562	204493954	4	15235	43441.9584	4993.44	188	1
5_MACS_peak_14749_lociStitched	chr2	54776836	54809301	5	15203	23251.433	5012.596	189	1
5_MACS_peak_1208_lociStitched	chr1	93409511	93428596	5	15199	16073.387	1931.402	190	1
4_MACS_peak_22610_lociStitched	chr5	88595447	88617706	4	15192	45904.7357	3777.3523	191	1
4_MACS_peak_28197_lociStitched	chr8	145002089	145028017	4	15178	24291.9432	3362.8616	192	1
1_MACS_peak_18258_lociStitched	chr22	38782125	38797268	1	15144	22390.4398	2524.3381	193	1
3_MACS_peak_17513_lociStitched	chr21	19151491	19169325	3	15135	25106.7052	3511.5146	194	1
7_MACS_peak_14967_lociStitched	chr2	70331393	70360987	7	15114	39505.0306	4533.8008	195	1
4_MACS_peak_5324_lociStitched	chr11	82764384	82790516	4	15087	37256.3924	4541.7416	196	1
1_MACS_peak_26152_lociStitched	chr7	78113477	78128542	1	15066	68276.0865	2539.959	197	1
3_MACS_peak_20341_lociStitched	chr3	186703069	186720452	3	15031	50714.9025	4583.8971	198	1
5_MACS_peak_10824_lociStitched	chr16	81841614	81871609	5	15020	24178.9695	2678.5535	199	1
2_MACS_peak_14279_lociStitched	chr2	11883300	11898307	2	15005	38704.5537	3182.9847	200	1
2_MACS_peak_15344_lociStitched	chr2	109828807	109844325	2	14997	26812.0004	2759.1004	201	1
1_MACS_peak_6163_lociStitched	chr12	26265617	26280573	1	14957	44803.6892	2961.288	202	1
3_MACS_peak_23114_lociStitched	chr5	142772398	142794686	3	14941	29783.4544	3216.1584	203	1
4_MACS_peak_16237_lociStitched	chr2	204716535	204740368	4	14921	16072.9752	3281.8041	204	1
3_MACS_peak_12120_lociStitched	chr17	70582484	70602271	3	14882	31225.8647	3320.2586	205	1
2_MACS_peak_9636_lociStitched	chr15	81576119	81596103	2	14877	37002.3744	3974.8176	206	1
5_MACS_peak_5980_lociStitched	chr12	9573401	9602081	5	14722	25006.092	4709.256	207	1
2_MACS_peak_5173_lociStitched	chr11	71411811	71426867	2	14720	42040.8688	2744.7088	208	1
4_MACS_peak_15175_lociStitched	chr2	88898755	88928567	4	14634	20686.5468	5115.7392	209	1
1_MACS_peak_11382_lociStitched	chr17	29634929	29649526	1	14598	36021.0169	2653.7346	210	1
3_MACS_peak_5208_lociStitched	chr11	72977727	73001828	3	14594	32312.2107	3439.2127	211	1
5_MACS_peak_21862_lociStitched	chr4	186252469	186284933	5	14592	24114.2592	4730.0048	212	1
2_MACS_peak_22106_lociStitched	chr5	32570707	32590140	2	14591	38992.3145	3511.5431	213	1
6_MACS_peak_13385_lociStitched	chr19	12885564	12918381	6	14580	22811.0967	4676.4225	214	1
3_MACS_peak_17206_lociStitched	chr20	45172437	45191722	3	14546	17142.4365	3147.312	215	1
2_MACS_peak_9534_lociStitched	chr15	75352675	75371294	2	14519	35644.2136	2835.6737	216	1
3_MACS_peak_21973_lociStitched	chr5	6475659	6497464	3	14507	53659.9245	3432.107	217	1
3_MACS_peak_19715_lociStitched	chr3	129026500	129048706	3	14494	30559.8972	3874.947	218	1
4_MACS_peak_17659_lociStitched	chr21	36235800	36262894	4	14422	38251.3092	5424.2188	219	1
2_MACS_peak_14348_lociStitched	chr2	20615070	20631109	2	14400	27641.6126	2415.4734	220	1
4_MACS_peak_3357_lociStitched	chr10	45913688	45933612	4	14392	45691.7092	3169.9084	221	1
3_MACS_peak_1847_lociStitched	chr1	160633446	160655998	3	14392	40158.3464	5182.4496	222	1
3_MACS_peak_20805_lociStitched	chr4	38121793	38136848	3	14382	42437.034	2684.3065	223	1
3_MACS_peak_10117_lociStitched	chr16	12052239	12072260	3	14362	73256.839	3811.9984	224	1
4_MACS_peak_23466_lociStitched	chr5	176717110	176740733	4	14333	34633.6803	4292.2991	225	1
3_MACS_peak_27301_lociStitched	chr8	29462941	29478109	3	14296	24443.232	2508.7872	226	1
2_MACS_peak_20810_lociStitched	chr4	38306931	38323017	2	14259	44592.0006	2716.9254	227	1
3_MACS_peak_6893_lociStitched	chr12	92930783	92950953	3	14215	21009.072	2845.987	228	1
4_MACS_peak_6966_lociStitched	chr12	96878260	96902073	4	14166	24151.1446	3429.072	229	1
4_MACS_peak_2031_lociStitched	chr1	174922496	174942312	4	14154	18377.3584	4163.3416	230	1
6_MACS_peak_10343_lociStitched	chr16	29815475	29837594	6	14143	28606.5027	3466.0473	231	1
4_MACS_peak_26766_lociStitched	chr7	137684201	137714583	4	14119	19806.0258	6325.5324	232	1
3_MACS_peak_28875_lociStitched	chr9	94180851	94196060	3	14112	24399.7987	3269.935	233	1
4_MACS_peak_15180_lociStitched	chr2	89047136	89067046	4	14063	42955.825	3040.257	234	1
4_MACS_peak_2429_lociStitched	chr1	206938531	206965995	4	13999	16472.9072	5311.5376	235	1
1_MACS_peak_12017_lociStitched	chr17	62196616	62210611	1	13996	19450.251	2741.6205	236	1
3_MACS_peak_1749_lociStitched	chr1	155938500	155954206	3	13990	38572.3654	4309.7264	237	1
4_MACS_peak_16322_lociStitched	chr2	216764742	216785437	4	13985	13493.14	3151.8485	238	1
3_MACS_peak_27701_lociStitched	chr8	81046216	81061299	3	13955	16992.5078	2552.0436	239	1
4_MACS_peak_11789_lociStitched	chr17	46580781	46596192	4	13942	17939.9451	2465.76	240	1
4_MACS_peak_662_lociStitched	chr1	40839066	40858577	4	13894	20102.1833	3410.5228	241	1
2_MACS_peak_6925_lociStitched	chr12	94583053	94603869	2	13852	49860.5648	3449.2112	242	1
1_MACS_peak_2709_lociStitched	chr1	226838925	226852683	1	13759	48018.1716	4130.1516	243	1
2_MACS_peak_24786_lociStitched	chr6	109214241	109228398	2	13740	18721.2168	2480.3064	244	1
4_MACS_peak_19430_lociStitched	chr3	101487011	101513775	4	13713	24542.588	4110.9504	245	1
4_MACS_peak_27266_lociStitched	chr8	27933752	27951606	4	13694	20510.6752	3449.3928	246	1
5_MACS_peak_29573_lociStitched	chrX	10065248	10091263	5	13692	20603.88	2286.7185	247	1
4_MACS_peak_23875_lociStitched	chr6	26183519	26207198	4	13687	32809.6224	3862.0449	248	1
6_MACS_peak_4967_lociStitched	chr11	63992597	64019976	6	13638	23395.3555	4002.8098	249	1
4_MACS_peak_12237_lociStitched	chr17	75078953	75093468	4	13636	32606.496	2860.9065	250	1
3_MACS_peak_17172_lociStitched	chr20	43587218	43609443	3	13621	25674.32	4362.7675	251	1
2_MACS_peak_17122_lociStitched	chr20	40709726	40727485	2	13620	39908.0248	2514.6744	252	1
3_MACS_peak_21029_lociStitched	chr4	74453966	74475679	3	13598	36462.6409	3015.9357	253	1
3_MACS_peak_3347_lociStitched	chr10	45453943	45475357	3	13557	24148.5678	3321.3114	254	1
2_MACS_peak_5532_lociStitched	chr11	111279464	111294415	2	13535	22124.4898	2519.2435	255	1
4_MACS_peak_24335_lociStitched	chr6	52147693	52173569	4	13530	19619.1832	4132.3972	256	1
2_MACS_peak_23542_lociStitched	chr6	381290	400882	2	13523	19766.3688	3130.8016	257	1
1_MACS_peak_1484_lociStitched	chr1	145186306	145199822	1	13517	22304.1032	6251.15	258	1
6_MACS_peak_13309_lociStitched	chr19	10513183	10536833	6	13513	14698.475	3663.385	259	1
