REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_6498_lociStitched	chr12	53845144	53874897	3	29549	27503.6732	5075.8618	44	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	44	1
11_MACS_peak_25086_lociStitched	chr6	138246188	138297590	11	29008	38351.0322	7725.7206	45			TNFAIP3	45	1
4_MACS_peak_4092_lociStitched	chr10	112599075	112633306	4	24995	70690.4381	6041.7715	46	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	46	1
5_MACS_peak_17087_lociStitched	chr20	37486776	37523545	5	20852	91915.1462	5614.6263	47	PPP1R16B	FAM83D	FAM83D	47	1
2_MACS_peak_25947_lociStitched	chr7	55615909	55643161	2	26903	52956.0864	4660.092	48	VOPP1		VOPP1	48	1
5_MACS_peak_23420_lociStitched	chr5	173310016	173344017	5	28221	38274.9257	5701.9677	49	CPEB4		CPEB4	49	1
2_MACS_peak_5764_lociStitched	chr11	128585330	128618597	2	26596	55323.021	5648.7366	50	FLI1		FLI1	50	1
2_MACS_peak_12492_lociStitched	chr18	9094667	9123212	2	23608	73357.7955	5046.756	51	NDUFV2	ANKRD12	NDUFV2	51	1
4_MACS_peak_24724_lociStitched	chr6	106585412	106618418	4	21885	82907.7714	5719.9398	52		PRDM1	PRDM1	52	1
2_MACS_peak_1762_lociStitched	chr1	156115214	156137215	2	21941	83099.9771	6752.1069	53	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	53	1
5_MACS_peak_27942_lociStitched	chr8	120917814	120949074	5	26092	50187.93	5117.262	54	DEPDC6	DSCC1	DEPDC6	54	1
3_MACS_peak_19765_lociStitched	chr3	133178761	133213361	3	24914	61190.1	5864.7	55	BFSP2		BFSP2	55	1
7_MACS_peak_10669_lociStitched	chr16	68269754	68320257	7	26814	43619.4411	7625.953	56	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	56	1
3_MACS_peak_5199_lociStitched	chr11	72850503	72871277	3	20232	84643.663	4183.8836	57	FCHSD2		FCHSD2	57	1
3_MACS_peak_11930_lociStitched	chr17	56404436	56431309	3	20358	84905.2435	5718.5744	58	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	58	1
5_MACS_peak_3053_lociStitched	chr10	11278648	11313057	5	24937	56764.5273	6018.1341	59	CELF2		CELF2	59	1
1_MACS_peak_16184_lociStitched	chr2	201979529	201995139	1	15611	98547.491	3451.371	60	CFLAR	NDUFB3,FAM126B	CFLAR	60	1
4_MACS_peak_4069_lociStitched	chr10	112103726	112130142	4	17783	93092.6256	4913.376	61		SMNDC1	SMNDC1	61	1
5_MACS_peak_18969_lociStitched	chr3	46317815	46347617	5	26520	37619.0646	4854.7458	62		CCR3,CCR2	CCR3	62	1
4_MACS_peak_21831_lociStitched	chr4	185317606	185350292	4	24125	60972.4644	5053.2556	63	IRF2		IRF2	63	1
7_MACS_peak_10781_lociStitched	chr16	78768872	78805124	7	27138	24415.722	3498.318	64	WWOX		WWOX	64	1
6_MACS_peak_16225_lociStitched	chr2	204547925	204585806	6	24817	55060.0335	6648.1155	65	CD28		CD28	65	1
2_MACS_peak_16494_lociStitched	chr2	232687086	232714787	2	26670	28158.0665	3105.2821	66		COPS7B,PDE6D,MIR1471	COPS7B	66	1
6_MACS_peak_11782_lociStitched	chr17	46516076	46556882	6	26602	31343.0886	6157.6254	67		SKAP1	SKAP1	67	1
3_MACS_peak_13106_lociStitched	chr19	2073562	2098369	3	17779	91093.7847	6625.9497	68	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	68	1
3_MACS_peak_22939_lociStitched	chr5	131744765	131774401	3	22890	64559.0624	5328.5528	69	C5orf56	SLC22A5,MIR3936	C5orf56	69	1
2_MACS_peak_12494_lociStitched	chr18	9132825	9157506	2	24457	48651.1872	4723.9434	70	NDUFV2,ANKRD12		ANKRD12	70	1
5_MACS_peak_10101_lociStitched	chr16	11754430	11786868	5	22869	60834.2252	5699.3566	71	SNN,TXNDC11		SNN	71	1
2_MACS_peak_474_lociStitched	chr1	31213879	31236471	2	21527	67403.232	4538.7328	72	LAPTM5	LOC100129196,MATN1	LAPTM5	72	1
4_MACS_peak_17801_lociStitched	chr21	45552543	45581096	4	19242	80804.99	6572.9006	73	C21orf33	PWP2	C21orf33	73	1
1_MACS_peak_14343_lociStitched	chr2	20404552	20426280	1	21729	64225.7952	4356.464	74	SDC1		SDC1	74	1
6_MACS_peak_5940_lociStitched	chr12	7045680	7085750	6	23627	52415.567	6743.781	75	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	75	1
2_MACS_peak_20111_lociStitched	chr3	171801681	171827208	2	21964	64652.2329	6430.2513	76	FNDC3B		FNDC3B	76	1
6_MACS_peak_28013_lociStitched	chr8	126285062	126322918	6	24792	35842.0608	5572.4032	77	NSMCE2		TRIB1	77	1
4_MACS_peak_18567_lociStitched	chr3	5222526	5256500	4	24189	41410.9086	5048.5364	78	ARL8B,EDEM1		EDEM1	78	1
1_MACS_peak_6053_lociStitched	chr12	12866150	12882083	1	15934	86156.1042	3336.3702	79	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	79	1
2_MACS_peak_17726_lociStitched	chr21	41324200	41345250	2	20185	69290.285	5757.175	80			PCP4	80	1
4_MACS_peak_9737_lociStitched	chr15	89646482	89676907	4	21483	60442.305	5190.505	81	ABHD2		ABHD2	81	1
5_MACS_peak_26906_lociStitched	chr7	150100655	150134444	5	19715	72974.1033	7561.9782	82	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	82	1
1_MACS_peak_20834_lociStitched	chr4	40191001	40209839	1	18839	73357.0558	4590.8206	83	RHOH		RHOH	83	1
6_MACS_peak_7289_lociStitched	chr12	123355089	123387368	6	24049	31187.9698	2872.831	84	VPS37B	HIP1R	VPS37B	84	1
4_MACS_peak_10249_lociStitched	chr16	23333859	23364307	4	17975	75678.504	4375.3776	85	SCNN1B		SCNN1B	85	1
1_MACS_peak_23857_lociStitched	chr6	25402649	25415885	1	13237	90363.4956	3424.1532	86	LRRC16A		LRRC16A	86	1
5_MACS_peak_18992_lociStitched	chr3	46573960	46608606	5	20071	65401.2542	5401.3114	87	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	87	1
2_MACS_peak_17313_lociStitched	chr20	52193964	52216301	2	22044	48797.4102	3710.1757	88	ZNF217		ZNF217	88	1
1_MACS_peak_7093_lociStitched	chr12	108952823	108973346	1	20524	59481.8109	4010.1942	89	ISCU,SART3	FICD,TMEM119	ISCU	89	1
3_MACS_peak_27012_lociStitched	chr8	2027337	2051247	3	17961	71751.519	4007.316	90	MYOM2		MYOM2	90	1
7_MACS_peak_18979_lociStitched	chr3	46419707	46459680	7	23369	31910.4459	5656.1795	91	CCRL2	CCR2,CCR5,LTF	CCRL2	91	1
5_MACS_peak_4462_lociStitched	chr11	10314410	10345266	5	21086	54537.98	5800.928	92	ADM,SBF2		ADM	92	1
3_MACS_peak_4582_lociStitched	chr11	19449687	19468142	3	18131	69774.664	3794.348	93	NAV2		NAV2	93	1
3_MACS_peak_11460_lociStitched	chr17	34408668	34432975	3	22279	40930.5573	4212.4031	94	CCL4,CCL3	CCL18	CCL3	94	1
3_MACS_peak_14888_lociStitched	chr2	65156219	65178782	3	18504	67188.1014	4020.7266	95	LOC400958	SLC1A4	LOC400958	95	1
2_MACS_peak_1774_lociStitched	chr1	156450323	156476346	2	21820	45693.7857	6573.4098	96	MEF2D		MEF2D	96	1
4_MACS_peak_13462_lociStitched	chr19	16243987	16273059	4	21539	45454.072	4907.3536	97	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	97	1
3_MACS_peak_2207_lociStitched	chr1	192497609	192521246	3	20320	55142.7573	5398.6908	98		RGS1	RGS1	98	1
3_MACS_peak_18006_lociStitched	chr22	24178493	24201056	3	16036	73645.632	3984.6258	99	SLC2A11,DERL3	SMARCB1,MIF	DERL3	99	1
2_MACS_peak_1595_lociStitched	chr1	150532064	150553366	2	17992	66973.488	6431.0738	100	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	100	1
4_MACS_peak_18638_lociStitched	chr3	13035643	13061771	4	18256	63765.384	4713.4912	101	IQSEC1	IQSEC1	IQSEC1	101	1
2_MACS_peak_29086_lociStitched	chr9	112903979	112925525	2	21538	38285.0874	4645.3176	102	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	102	1
6_MACS_peak_20144_lociStitched	chr3	175051982	175074400	6	20543	47057.6238	4532.9196	103	NAALADL2		NAALADL2	103	1
4_MACS_peak_23511_lociStitched	chr5	180228274	180259911	4	19691	53887.3021	4938.5357	104	LOC729678,MGAT1	ZFP62	MGAT1	104	1
3_MACS_peak_15224_lociStitched	chr2	97189985	97213644	3	18632	59549.703	4208.9361	105	ARID5A	NEURL3	ARID5A	105	1
4_MACS_peak_5527_lociStitched	chr11	111230085	111251690	4	20236	47535.321	3692.2945	106	POU2AF1		POU2AF1	106	1
4_MACS_peak_16114_lociStitched	chr2	197023672	197049408	4	21770	32713.0296	4274.7496	107	STK17B		STK17B	107	1
4_MACS_peak_1570_lociStitched	chr1	149802818	149834066	4	17441	68117.5152	7799.5008	108	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	108	1
1_MACS_peak_22605_lociStitched	chr5	88110477	88130791	1	20315	44369.8388	3575.264	109	MEF2C		MEF2C	109	1
3_MACS_peak_12242_lociStitched	chr17	75128804	75146961	3	17376	62670.7012	3673.1611	110	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	110	1
3_MACS_peak_21003_lociStitched	chr4	71525352	71555397	3	20364	43952.8305	5206.7985	111	UTP3,IGJ	ENAM,RUFY3	IGJ	111	1
3_MACS_peak_8834_lociStitched	chr15	23658496	23683087	3	20166	43617.0567	3730.4547	112			MKRN3	112	1
2_MACS_peak_1686_lociStitched	chr1	154374157	154394649	2	17864	60242.3816	5737.76	113	IL6R		IL6R	113	1
3_MACS_peak_23854_lociStitched	chr6	25365855	25390602	3	20391	39342.7806	4328.2503	114	LRRC16A		LRRC16A	114	1
3_MACS_peak_10117_lociStitched	chr16	12052239	12072260	3	14362	73256.839	3811.9984	115	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	115	1
4_MACS_peak_9031_lociStitched	chr15	40833485	40862784	4	19416	48138.257	4884.1433	116	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	116	1
3_MACS_peak_13749_lociStitched	chr19	39880682	39904021	3	18456	53850.0747	3904.6147	117	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	117	1
3_MACS_peak_325_lociStitched	chr1	24511753	24533976	3	17455	59442.0804	4293.4836	118	LOC284632,IL28RA	IL22RA1	LOC284632	118	1
1_MACS_peak_26152_lociStitched	chr7	78113477	78128542	1	15066	68276.0865	2539.959	119	MAGI2		RPL13AP17	119	1
6_MACS_peak_8657_lociStitched	chr14	95945775	95986118	6	21134	25851.7944	3154.8226	120		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	120	1
7_MACS_peak_22754_lociStitched	chr5	109247608	109286567	7	20731	33594.3457	5832.1623	121		LOC100289673	LOC100289673	121	1
6_MACS_peak_9873_lociStitched	chr15	101661135	101692527	6	20495	35425.872	4834.368	122			CHSY1	122	1
5_MACS_peak_1478_lociStitched	chr1	145127612	145161684	5	20797	37932.3576	11417.5272	123		SEC22B,NOTCH2NL	SEC22B	123	1
3_MACS_peak_9015_lociStitched	chr15	40386736	40409253	3	18987	47312.7204	3917.958	124	BMF	BUB1B	BMF	124	1
1_MACS_peak_12917_lociStitched	chr18	60821672	60831785	1	10114	81734.2773	2341.1595	125	BCL2		BCL2	125	1
3_MACS_peak_24592_lociStitched	chr6	88612473	88640590	3	20221	35016.9118	4248.4787	126			SPACA1	126	1
3_MACS_peak_19243_lociStitched	chr3	69128082	69155609	3	20034	37103.6433	4453.8686	127	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	127	1
3_MACS_peak_19643_lociStitched	chr3	124479957	124512571	3	20321	33944.6512	4725.7686	128	ITGB5	UMPS	UMPS	128	1
2_MACS_peak_11572_lociStitched	chr17	38465585	38484612	2	18887	46180.4317	3696.9461	129	RARA	CDC6,RARA,GJD3	RARA	129	1
1_MACS_peak_995_lociStitched	chr1	66734860	66752164	1	17305	55175.5344	3275.6472	130	PDE4B	PDE4B	PDE4B	130	1
2_MACS_peak_5018_lociStitched	chr11	65254277	65278863	2	17950	52648.4604	4725.4292	131	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	131	1
4_MACS_peak_19390_lociStitched	chr3	98472196	98496142	4	19125	43191.4002	3998.982	132	ST3GAL6		ST3GAL6	132	1
2_MACS_peak_12292_lociStitched	chr17	76710974	76733683	2	19218	42845.0703	4534.9873	133	CYTH1		CYTH1	133	1
5_MACS_peak_14853_lociStitched	chr2	64430299	64456679	5	19243	40213.672	4431.84	134	LOC150992		LOC150992	134	1
3_MACS_peak_9515_lociStitched	chr15	75063180	75083657	3	19279	38322.7055	3780.0542	135	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	135	1
3_MACS_peak_26213_lociStitched	chr7	90337276	90367846	3	18939	42201.885	5068.506	136	CDK14		CDK14	136	1
3_MACS_peak_5879_lociStitched	chr12	4216235	4231616	3	12075	73016.6832	2839.3326	137			CCND2	137	1
2_MACS_peak_15418_lociStitched	chr2	112455271	112468432	2	13086	68920.2087	2740.1202	138			ANAPC1	138	1
3_MACS_peak_18308_lociStitched	chr22	39823004	39846284	3	16138	56342.256	3461.736	139	TAB1	MGAT3	MGAT3	139	1
1_MACS_peak_22606_lociStitched	chr5	88170694	88187221	1	16528	52084.8405	3376.4661	140	MEF2C		MEF2C	140	1
5_MACS_peak_23931_lociStitched	chr6	27774501	27808122	5	18012	43640.058	5527.2924	141	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4J	141	1
4_MACS_peak_14703_lociStitched	chr2	47526563	47550890	4	17061	48712.3848	4018.8204	142		EPCAM	EPCAM	142	1
4_MACS_peak_3031_lociStitched	chr10	7510989	7536582	4	18546	36462.3471	3913.1697	143			SFMBT2	143	1
4_MACS_peak_16717_lociStitched	chr20	5570389	5592606	4	19505	23936.5958	3943.5175	144	GPCPD1		GPCPD1	144	1
2_MACS_peak_18218_lociStitched	chr22	37610004	37629299	2	17218	45661.6175	3484.677	145	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	145	1
4_MACS_peak_25773_lociStitched	chr7	38383574	38408551	4	18746	33201.9261	5335.0872	146			TARP	146	1
6_MACS_peak_12143_lociStitched	chr17	72733107	72756919	6	19224	23342.9036	3940.886	147	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	147	1
1_MACS_peak_25945_lociStitched	chr7	55568918	55586222	1	17305	42424.2168	2716.728	148	VOPP1		VOPP1	148	1
6_MACS_peak_17334_lociStitched	chr20	52530930	52567315	6	18526	32182.5325	5432.2805	149	BCAS1	SUMO1P1	SUMO1P1	149	1
7_MACS_peak_17142_lociStitched	chr20	42564654	42593773	7	18640	29005.4359	4274.6692	150	TOX2		TOX2	150	1
5_MACS_peak_25266_lociStitched	chr6	157976430	158007391	5	18473	28942.3428	2325.1711	151	ZDHHC14	MIR3692	MIR3692	151	1
1_MACS_peak_23703_lociStitched	chr6	11826657	11838123	1	11467	67565.6982	2199.1788	152		C6orf105	C6orf105	152	1
4_MACS_peak_6378_lociStitched	chr12	48196040	48218967	4	16992	41894.5071	3794.4185	153	HDAC7	SLC48A1,RAPGEF3	HDAC7	153	1
4_MACS_peak_4012_lociStitched	chr10	105244857	105268392	4	18579	25478.991	4036.2525	154	NEURL	CALHM2,CALHM1,CALHM3	NEURL	154	1
5_MACS_peak_10235_lociStitched	chr16	22194814	22219342	5	18136	31619.0448	4586.736	155	EEF2K		EEF2K	155	1
1_MACS_peak_22284_lociStitched	chr5	55436859	55453866	1	17008	40335.5019	2894.5914	156	ANKRD55		ANKRD55	156	1
3_MACS_peak_18961_lociStitched	chr3	46129539	46153918	3	17649	32843.3888	4449.1675	157			XCR1	157	1
4_MACS_peak_12295_lociStitched	chr17	76753797	76779850	4	17898	29153.307	4082.5051	158	CYTH1		CYTH1	158	1
3_MACS_peak_21973_lociStitched	chr5	6475659	6497464	3	14507	53659.9245	3432.107	159	UBE2QL1		UBE2QL1	159	1
3_MACS_peak_8550_lociStitched	chr14	81930585	81953513	3	17173	33289.1632	2207.9664	160	SEL1L		SEL1L	160	1
5_MACS_peak_9009_lociStitched	chr15	40329919	40358696	5	17696	29507.9358	4471.9458	161	SRP14	BMF	SRP14	161	1
3_MACS_peak_20341_lociStitched	chr3	186703069	186720452	3	15031	50714.9025	4583.8971	162	ST6GAL1	ST6GAL1	ST6GAL1	162	1
5_MACS_peak_16360_lociStitched	chr2	219741250	219763451	5	17607	28326.2559	3696.4665	163	WNT10A	WNT6,PRKAG3	WNT10A	163	1
6_MACS_peak_10363_lociStitched	chr16	30193683	30227703	6	17668	29471.526	6426.378	164	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	164	1
1_MACS_peak_21935_lociStitched	chr5	1311155	1320530	1	9376	68004.375	1981.875	165	CLPTM1L	TERT	TERT	165	1
3_MACS_peak_19981_lociStitched	chr3	156804214	156825014	3	15826	44516.16	5328.96	166	LOC100498859,LOC339894		LOC100498859	166	1
2_MACS_peak_1069_lociStitched	chr1	75595376	75612819	2	16963	32266.0614	2621.6829	167	LHX8		LHX8	167	1
5_MACS_peak_14935_lociStitched	chr2	68936008	68965713	5	17321	30397.1265	4776.564	168	ARHGAP25	ARHGAP25	ARHGAP25	168	1
3_MACS_peak_3709_lociStitched	chr10	81001125	81020623	3	16735	34667.444	3195.7222	169	ZMIZ1		PPIF	169	1
4_MACS_peak_15402_lociStitched	chr2	112208353	112241917	4	17340	29657.1504	5323.2504	170	LOC541471		LOC541471	170	1
4_MACS_peak_22610_lociStitched	chr5	88595447	88617706	4	15192	45904.7357	3777.3523	171			MEF2C	171	1
4_MACS_peak_6024_lociStitched	chr12	11901283	11920486	4	16860	31838.574	3222.2634	172	ETV6		ETV6	172	1
5_MACS_peak_23262_lociStitched	chr5	156339256	156370053	5	17070	30085.5893	4243.8266	173	LOC100286948,TIMD4		LOC100286948	173	1
1_MACS_peak_6163_lociStitched	chr12	26265617	26280573	1	14957	44803.6892	2961.288	174	BHLHE41		BHLHE41	174	1
2_MACS_peak_8901_lociStitched	chr15	31546325	31561330	2	13012	54252.078	2750.4165	175			KLF13	175	1
3_MACS_peak_242_lociStitched	chr1	17221178	17241782	3	10914	64651.2312	5431.2144	176		CROCC	CROCC	176	1
6_MACS_peak_30250_lociStitched	chrX	128892765	128921527	6	16922	27208.852	2579.9514	177	XPNPEP2,SASH3		SASH3	177	1
2_MACS_peak_16976_lociStitched	chr20	32460527	32473866	2	13310	52260.8681	2546.4151	178			CHMP4B	178	1
4_MACS_peak_2364_lociStitched	chr1	204474562	204493954	4	15235	43441.9584	4993.44	179	MDM4	PIK3C2B	MDM4	179	1
2_MACS_peak_6925_lociStitched	chr12	94583053	94603869	2	13852	49860.5648	3449.2112	180	PLXNC1		PLXNC1	180	1
5_MACS_peak_11562_lociStitched	chr17	38251237	38280765	5	17072	23533.816	4305.1824	181	MSL1,NR1D1	THRA,CASC3,MED24	NR1D1	181	1
3_MACS_peak_22829_lociStitched	chr5	118657534	118678812	3	16151	33802.2308	3902.3852	182	TNFAIP8	TNFAIP8	TNFAIP8	182	1
1_MACS_peak_21824_lociStitched	chr4	185200850	185211156	1	10307	62173.0062	2592.9896	183			ENPP6	183	1
4_MACS_peak_3357_lociStitched	chr10	45913688	45933612	4	14392	45691.7092	3169.9084	184	ALOX5		ALOX5	184	1
3_MACS_peak_23698_lociStitched	chr6	11713277	11736193	3	15582	37680.7788	3290.7376	185	C6orf105		C6orf105	185	1
1_MACS_peak_25946_lociStitched	chr7	55597122	55605748	1	8627	65983.7244	2183.2406	186	VOPP1		VOPP1	186	1
2_MACS_peak_14965_lociStitched	chr2	70309934	70323415	2	9551	63868.9337	2418.4914	187	PCBP1,LOC400960	LOC100133985	PCBP1	187	1
