REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_1570_lociStitched	chr1	149802818	149834066	4	17441	68117.5152	7799.5008	72	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.2354	72	1
5_MACS_peak_18992_lociStitched	chr3	46573960	46608606	5	20071	65401.2542	5401.3114	73	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	LRRC2	0.9774999999999999	73	1
1_MACS_peak_14343_lociStitched	chr2	20404552	20426280	1	21729	64225.7952	4356.464	74	SDC1		SDC1	SDC1	1.7519	74	1
1_MACS_peak_21824_lociStitched	chr4	185200850	185211156	1	10307	62173.0062	2592.9896	75			ENPP6	NONE	NONE	75	1
3_MACS_peak_22939_lociStitched	chr5	131744765	131774401	3	22890	64559.0624	5328.5528	76	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.4356	76	1
3_MACS_peak_242_lociStitched	chr1	17221178	17241782	3	10914	64651.2312	5431.2144	77		CROCC	CROCC	NONE	NONE	77	1
4_MACS_peak_18638_lociStitched	chr3	13035643	13061771	4	18256	63765.384	4713.4912	78	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3216	78	1
3_MACS_peak_12242_lociStitched	chr17	75128804	75146961	3	17376	62670.7012	3673.1611	79	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.0044	79	1
2_MACS_peak_20111_lociStitched	chr3	171801681	171827208	2	21964	64652.2329	6430.2513	80	FNDC3B		FNDC3B	FNDC3B	0.18549999999999997	80	1
1_MACS_peak_17751_lociStitched	chr21	43479491	43486697	1	7207	58602.795	2389.5096	81	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	0.8434000000000001	81	1
4_MACS_peak_21831_lociStitched	chr4	185317606	185350292	4	24125	60972.4644	5053.2556	82	IRF2		IRF2	IRF2	1.4214	82	1
1_MACS_peak_7093_lociStitched	chr12	108952823	108973346	1	20524	59481.8109	4010.1942	83	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.1075999999999997	83	1
3_MACS_peak_15224_lociStitched	chr2	97189985	97213644	3	18632	59549.703	4208.9361	84	ARID5A	NEURL3	ARID5A	ARID5A	1.1589	84	1
3_MACS_peak_19765_lociStitched	chr3	133178761	133213361	3	24914	61190.1	5864.7	85	BFSP2		BFSP2	BFSP2	0.6802999999999999	85	1
4_MACS_peak_9737_lociStitched	chr15	89646482	89676907	4	21483	60442.305	5190.505	86	ABHD2		ABHD2	ABHD2	0.48120000000000007	86	1
3_MACS_peak_325_lociStitched	chr1	24511753	24533976	3	17455	59442.0804	4293.4836	87	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4797	87	1
5_MACS_peak_10101_lociStitched	chr16	11754430	11786868	5	22869	60834.2252	5699.3566	88	SNN,TXNDC11		SNN	SNN	1.2847	88	1
2_MACS_peak_1686_lociStitched	chr1	154374157	154394649	2	17864	60242.3816	5737.76	89	IL6R		IL6R	IL6R	0.7384999999999999	89	1
5_MACS_peak_4073_lociStitched	chr10	112146543	112186735	5	29593	60010.6752	5868.032	90			DUSP5	DUSP5	0.9367	90	1
3_MACS_peak_9430_lociStitched	chr15	68568579	68599573	3	28377	58535.2684	5597.5164	91	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.491	91	1
3_MACS_peak_18308_lociStitched	chr22	39823004	39846284	3	16138	56342.256	3461.736	92	TAB1	MGAT3	MGAT3	MGAT3	0.28	92	1
2_MACS_peak_10612_lociStitched	chr16	66549011	66561321	2	12063	55579.65	2731.589	93	TK2	CKLF,CMTM1	TK2	TK2	1.3347	93	1
2_MACS_peak_5161_lociStitched	chr11	70041916	70051148	2	3587	53573.296	1038.6	94	FADD		FADD	FADD	0.34290000000000004	94	1
1_MACS_peak_11715_lociStitched	chr17	43297947	43308474	1	10528	54723.5568	2203.3011	95	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.5951	95	1
1_MACS_peak_4079_lociStitched	chr10	112214706	112226236	1	11531	54352.42	2181.476	96		DUSP5	DUSP5	DUSP5	0.9367	96	1
1_MACS_peak_995_lociStitched	chr1	66734860	66752164	1	17305	55175.5344	3275.6472	97	PDE4B	PDE4B	PDE4B	PDE4B	0.1567	97	1
2_MACS_peak_8901_lociStitched	chr15	31546325	31561330	2	13012	54252.078	2750.4165	98			KLF13	KLF13	0.7949	98	1
5_MACS_peak_3053_lociStitched	chr10	11278648	11313057	5	24937	56764.5273	6018.1341	99	CELF2		CELF2	CELF2	0.48319999999999996	99	1
1_MACS_peak_10542_lociStitched	chr16	56943210	56954632	1	11423	52778.7776	2298.1064	100	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.6183999999999998	100	1
1_MACS_peak_21830_lociStitched	chr4	185301333	185308744	1	7412	52018.5501	1658.5818	101			IRF2	IRF2	1.4214	101	1
3_MACS_peak_21973_lociStitched	chr5	6475659	6497464	3	14507	53659.9245	3432.107	102	UBE2QL1		UBE2QL1	UBE2QL1	1.0063	102	1
2_MACS_peak_18966_lociStitched	chr3	46245242	46257718	2	12404	52714.8428	2567.5608	103	CCR1	CCR3	CCR1	CCR1	2.5318	103	1
3_MACS_peak_13749_lociStitched	chr19	39880682	39904021	3	18456	53850.0747	3904.6147	104	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	2.9454	104	1
3_MACS_peak_2207_lociStitched	chr1	192497609	192521246	3	20320	55142.7573	5398.6908	105		RGS1	RGS1	RGS1	1.5425	105	1
2_MACS_peak_16976_lociStitched	chr20	32460527	32473866	2	13310	52260.8681	2546.4151	106			CHMP4B	CHMP4B	1.3824999999999998	106	1
2_MACS_peak_5764_lociStitched	chr11	128585330	128618597	2	26596	55323.021	5648.7366	107	FLI1		FLI1	FLI1	0.521	107	1
5_MACS_peak_12761_lociStitched	chr18	46439185	46480129	5	38280	56768.856	7439.5248	108	SMAD7		SMAD7	SMAD7	1.1638	108	1
1_MACS_peak_20139_lociStitched	chr3	174864812	174872037	1	7226	51359.635	2272.985	109	NAALADL2		NAALADL2	NAALADL2	0.11829999999999999	109	1
4_MACS_peak_23511_lociStitched	chr5	180228274	180259911	4	19691	53887.3021	4938.5357	110	LOC729678,MGAT1	ZFP62	MGAT1	MGAT1	0.5027	110	1
5_MACS_peak_12012_lociStitched	chr17	62149855	62187023	5	31661	55874.6544	6976.4336	111	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.7398	111	1
5_MACS_peak_4462_lociStitched	chr11	10314410	10345266	5	21086	54537.98	5800.928	112	ADM,SBF2		ADM	ADM	2.4176	112	1
1_MACS_peak_22606_lociStitched	chr5	88170694	88187221	1	16528	52084.8405	3376.4661	113	MEF2C		MEF2C	MEF2C	0.47440000000000004	113	1
8_MACS_peak_8903_lociStitched	chr15	31616583	31660423	8	29492	54975.36	6527.776	114	KLF13		KLF13	KLF13	0.7949	114	1
6_MACS_peak_16225_lociStitched	chr2	204547925	204585806	6	24817	55060.0335	6648.1155	115	CD28		CD28	CD28	1.0618999999999998	115	1
2_MACS_peak_5572_lociStitched	chr11	115088882	115102586	2	12337	50884.3224	2583.204	116	CADM1		CADM1	CADM1	0.2345	116	1
2_MACS_peak_25947_lociStitched	chr7	55615909	55643161	2	26903	52956.0864	4660.092	117	VOPP1		VOPP1	VOPP1	1.3842	117	1
2_MACS_peak_5018_lociStitched	chr11	65254277	65278863	2	17950	52648.4604	4725.4292	118	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.4022	118	1
1_MACS_peak_2476_lociStitched	chr1	209274216	209285178	1	10963	51035.7834	3124.17	119			LOC642587	LOC642587	NONE	119	1
1_MACS_peak_4842_lociStitched	chr11	58339951	58348552	1	8602	48493.2981	1656.5526	120	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.7912999999999999	120	1
2_MACS_peak_6925_lociStitched	chr12	94583053	94603869	2	13852	49860.5648	3449.2112	121	PLXNC1		PLXNC1	PLXNC1	0.512	121	1
3_MACS_peak_20341_lociStitched	chr3	186703069	186720452	3	15031	50714.9025	4583.8971	122	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.6097999999999999	122	1
6_MACS_peak_5940_lociStitched	chr12	7045680	7085750	6	23627	52415.567	6743.781	123	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	1.4882	123	1
1_MACS_peak_24070_lociStitched	chr6	32934554	32942099	1	7546	47132.8605	1749.6855	124	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.9662	124	1
2_MACS_peak_9261_lociStitched	chr15	56647467	56666251	2	12884	48667.4656	3416.8096	125	TEX9		TEX9	TEX9	0.46119999999999994	125	1
3_MACS_peak_26529_lociStitched	chr7	114556538	114574782	3	13433	49601.7872	4367.6136	126	MDFIC		MDFIC	MDFIC	1.7437	126	1
2_MACS_peak_17313_lociStitched	chr20	52193964	52216301	2	22044	48797.4102	3710.1757	127	ZNF217		ZNF217	ZNF217	0.788	127	1
5_MACS_peak_27942_lociStitched	chr8	120917814	120949074	5	26092	50187.93	5117.262	128	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.33109999999999995	128	1
3_MACS_peak_9374_lociStitched	chr15	65169117	65189983	3	12401	48306.8766	3449.1498	129		PLEKHO2,ANKDD1A	ANKDD1A	ANKDD1A	0.0547	129	1
3_MACS_peak_300_lociStitched	chr1	23849828	23866973	3	11687	48100.2975	3243.834	130	E2F2	ASAP3,ID3	E2F2	E2F2	1.2479	130	1
4_MACS_peak_14703_lociStitched	chr2	47526563	47550890	4	17061	48712.3848	4018.8204	131		EPCAM	EPCAM	NONE	NONE	131	1
2_MACS_peak_20346_lociStitched	chr3	186779368	186792588	2	10196	47573.492	3587.908	132	ST6GAL1		ST6GAL1	ST6GAL1	0.6097999999999999	132	1
2_MACS_peak_12494_lociStitched	chr18	9132825	9157506	2	24457	48651.1872	4723.9434	133	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2612	133	1
1_MACS_peak_2709_lociStitched	chr1	226838925	226852683	1	13759	48018.1716	4130.1516	134	ITPKB		ITPKB	ITPKB	0.5676000000000001	134	1
4_MACS_peak_5527_lociStitched	chr11	111230085	111251690	4	20236	47535.321	3692.2945	135	POU2AF1		POU2AF1	POU2AF1	1.1838	135	1
3_MACS_peak_9015_lociStitched	chr15	40386736	40409253	3	18987	47312.7204	3917.958	136	BMF	BUB1B	BMF	BMF	1.4621	136	1
3_MACS_peak_2821_lociStitched	chr1	234733762	234749926	3	13121	47675.718	4283.46	137	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	2.7848	137	1
4_MACS_peak_9031_lociStitched	chr15	40833485	40862784	4	19416	48138.257	4884.1433	138	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.0643	138	1
2_MACS_peak_15753_lociStitched	chr2	158293517	158311386	2	12133	46284.2838	3109.206	139	CYTIP		CYTIP	CYTIP	1.0069	139	1
6_MACS_peak_20144_lociStitched	chr3	175051982	175074400	6	20543	47057.6238	4532.9196	140	NAALADL2		NAALADL2	NAALADL2	0.11829999999999999	140	1
4_MACS_peak_3357_lociStitched	chr10	45913688	45933612	4	14392	45691.7092	3169.9084	141	ALOX5		ALOX5	ALOX5	0.5555000000000001	141	1
2_MACS_peak_11572_lociStitched	chr17	38465585	38484612	2	18887	46180.4317	3696.9461	142	RARA	CDC6,RARA,GJD3	RARA	RARA	0.734	142	1
2_MACS_peak_18218_lociStitched	chr22	37610004	37629299	2	17218	45661.6175	3484.677	143	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	SSTR3	0.3153	143	1
4_MACS_peak_22610_lociStitched	chr5	88595447	88617706	4	15192	45904.7357	3777.3523	144			MEF2C	MEF2C	0.47440000000000004	144	1
2_MACS_peak_5729_lociStitched	chr11	126056473	126069044	2	8887	44159.4088	2178.5543	145		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.3373	145	1
3_MACS_peak_27312_lociStitched	chr8	29621963	29635665	3	10323	44175.248	2278.6426	146		C8orf75	C8orf75	C8orf75	0.4264	146	1
2_MACS_peak_20810_lociStitched	chr4	38306931	38323017	2	14259	44592.0006	2716.9254	147			KLF3	KLF3	NONE	147	1
1_MACS_peak_6163_lociStitched	chr12	26265617	26280573	1	14957	44803.6892	2961.288	148	BHLHE41		BHLHE41	BHLHE41	2.3556	148	1
2_MACS_peak_16194_lociStitched	chr2	202115623	202129211	2	13509	44735.7724	2958.1076	149	CASP8		CASP8	CASP8	0.8237	149	1
1_MACS_peak_22605_lociStitched	chr5	88110477	88130791	1	20315	44369.8388	3575.264	150	MEF2C		MEF2C	MEF2C	0.47440000000000004	150	1
2_MACS_peak_29861_lociStitched	chrX	48790480	48805126	2	12904	42231.741	1546.6176	151	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.1543999999999999	151	1
4_MACS_peak_13462_lociStitched	chr19	16243987	16273059	4	21539	45454.072	4907.3536	152	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.1812	152	1
7_MACS_peak_27249_lociStitched	chr8	27208363	27253552	7	28976	48261.852	7867.4049	153	PTK2B	TRIM35	PTK2B	PTK2B	0.39260000000000006	153	1
1_MACS_peak_7978_lociStitched	chr13	114556359	114568304	1	11946	42936.3025	2569.3695	154	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.7787	154	1
2_MACS_peak_17152_lociStitched	chr20	42695558	42710419	2	8831	42740.236	2559.0642	155	TOX2		JPH2	JPH2	NONE	155	1
3_MACS_peak_26833_lociStitched	chr7	142490489	142511493	3	11931	44364.6488	4362.5308	156		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	EPHB6	0.008500000000000008	156	1
4_MACS_peak_15180_lociStitched	chr2	89047136	89067046	4	14063	42955.825	3040.257	157	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.019700000000000023	157	1
3_MACS_peak_8834_lociStitched	chr15	23658496	23683087	3	20166	43617.0567	3730.4547	158			MKRN3	MKRN3	NONE	158	1
3_MACS_peak_20805_lociStitched	chr4	38121793	38136848	3	14382	42437.034	2684.3065	159	TBC1D1		PTTG2	PTTG2	NONE	159	1
1_MACS_peak_25945_lociStitched	chr7	55568918	55586222	1	17305	42424.2168	2716.728	160	VOPP1		VOPP1	VOPP1	1.3842	160	1
1_MACS_peak_11517_lociStitched	chr17	36856094	36863799	1	7706	40699.351	1363.0145	161	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	1.1494	161	1
2_MACS_peak_5173_lociStitched	chr11	71411811	71426867	2	14720	42040.8688	2744.7088	162			FAM86C	FAM86C	NONE	162	1
