REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_474_lociStitched	chr1	31213879	31236471	2	21527	67403.232	4538.7328	72	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.7786	72	1
4_MACS_peak_17801_lociStitched	chr21	45552543	45581096	4	19242	80804.99	6572.9006	73	C21orf33	PWP2	C21orf33	C21orf33	0.9795	73	1
1_MACS_peak_14343_lociStitched	chr2	20404552	20426280	1	21729	64225.7952	4356.464	74	SDC1		SDC1	SDC1	1.7519	74	1
6_MACS_peak_5940_lociStitched	chr12	7045680	7085750	6	23627	52415.567	6743.781	75	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	1.4882	75	1
2_MACS_peak_20111_lociStitched	chr3	171801681	171827208	2	21964	64652.2329	6430.2513	76	FNDC3B		FNDC3B	FNDC3B	0.18549999999999997	76	1
6_MACS_peak_28013_lociStitched	chr8	126285062	126322918	6	24792	35842.0608	5572.4032	77	NSMCE2		TRIB1	TRIB1	NONE	77	1
4_MACS_peak_18567_lociStitched	chr3	5222526	5256500	4	24189	41410.9086	5048.5364	78	ARL8B,EDEM1		EDEM1	EDEM1	0.7936000000000001	78	1
1_MACS_peak_6053_lociStitched	chr12	12866150	12882083	1	15934	86156.1042	3336.3702	79	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.4569	79	1
2_MACS_peak_17726_lociStitched	chr21	41324200	41345250	2	20185	69290.285	5757.175	80			PCP4	PCP4	0.22219999999999998	80	1
4_MACS_peak_9737_lociStitched	chr15	89646482	89676907	4	21483	60442.305	5190.505	81	ABHD2		ABHD2	ABHD2	0.48120000000000007	81	1
5_MACS_peak_26906_lociStitched	chr7	150100655	150134444	5	19715	72974.1033	7561.9782	82	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	REPIN1	3.4236	82	1
1_MACS_peak_20834_lociStitched	chr4	40191001	40209839	1	18839	73357.0558	4590.8206	83	RHOH		RHOH	RHOH	1.1391	83	1
6_MACS_peak_7289_lociStitched	chr12	123355089	123387368	6	24049	31187.9698	2872.831	84	VPS37B	HIP1R	VPS37B	VPS37B	0.6456000000000001	84	1
4_MACS_peak_10249_lociStitched	chr16	23333859	23364307	4	17975	75678.504	4375.3776	85	SCNN1B		SCNN1B	SCNN1B	1.0374	85	1
1_MACS_peak_23857_lociStitched	chr6	25402649	25415885	1	13237	90363.4956	3424.1532	86	LRRC16A		LRRC16A	LRRC16A	0.3782	86	1
5_MACS_peak_18992_lociStitched	chr3	46573960	46608606	5	20071	65401.2542	5401.3114	87	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	LRRC2	0.9774999999999999	87	1
2_MACS_peak_17313_lociStitched	chr20	52193964	52216301	2	22044	48797.4102	3710.1757	88	ZNF217		ZNF217	ZNF217	0.788	88	1
1_MACS_peak_7093_lociStitched	chr12	108952823	108973346	1	20524	59481.8109	4010.1942	89	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.1075999999999997	89	1
3_MACS_peak_27012_lociStitched	chr8	2027337	2051247	3	17961	71751.519	4007.316	90	MYOM2		MYOM2	MYOM2	0.7844	90	1
7_MACS_peak_18979_lociStitched	chr3	46419707	46459680	7	23369	31910.4459	5656.1795	91	CCRL2	CCR2,CCR5,LTF	CCRL2	CCR2	0.6678	91	1
5_MACS_peak_4462_lociStitched	chr11	10314410	10345266	5	21086	54537.98	5800.928	92	ADM,SBF2		ADM	ADM	2.4176	92	1
3_MACS_peak_4582_lociStitched	chr11	19449687	19468142	3	18131	69774.664	3794.348	93	NAV2		NAV2	NAV2	0.0844	93	1
3_MACS_peak_11460_lociStitched	chr17	34408668	34432975	3	22279	40930.5573	4212.4031	94	CCL4,CCL3	CCL18	CCL3	CCL3	2.1098	94	1
3_MACS_peak_14888_lociStitched	chr2	65156219	65178782	3	18504	67188.1014	4020.7266	95	LOC400958	SLC1A4	LOC400958	LOC400958	1.2854999999999999	95	1
2_MACS_peak_1774_lociStitched	chr1	156450323	156476346	2	21820	45693.7857	6573.4098	96	MEF2D		MEF2D	MEF2D	0.7833	96	1
4_MACS_peak_13462_lociStitched	chr19	16243987	16273059	4	21539	45454.072	4907.3536	97	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.1812	97	1
3_MACS_peak_2207_lociStitched	chr1	192497609	192521246	3	20320	55142.7573	5398.6908	98		RGS1	RGS1	RGS1	1.5425	98	1
3_MACS_peak_18006_lociStitched	chr22	24178493	24201056	3	16036	73645.632	3984.6258	99	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	0.8924000000000001	99	1
2_MACS_peak_1595_lociStitched	chr1	150532064	150553366	2	17992	66973.488	6431.0738	100	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.7196	100	1
4_MACS_peak_18638_lociStitched	chr3	13035643	13061771	4	18256	63765.384	4713.4912	101	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3216	101	1
2_MACS_peak_29086_lociStitched	chr9	112903979	112925525	2	21538	38285.0874	4645.3176	102	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.35829999999999995	102	1
6_MACS_peak_20144_lociStitched	chr3	175051982	175074400	6	20543	47057.6238	4532.9196	103	NAALADL2		NAALADL2	NAALADL2	0.11829999999999999	103	1
4_MACS_peak_23511_lociStitched	chr5	180228274	180259911	4	19691	53887.3021	4938.5357	104	LOC729678,MGAT1	ZFP62	MGAT1	MGAT1	0.5027	104	1
3_MACS_peak_15224_lociStitched	chr2	97189985	97213644	3	18632	59549.703	4208.9361	105	ARID5A	NEURL3	ARID5A	ARID5A	1.1589	105	1
4_MACS_peak_5527_lociStitched	chr11	111230085	111251690	4	20236	47535.321	3692.2945	106	POU2AF1		POU2AF1	POU2AF1	1.1838	106	1
4_MACS_peak_16114_lociStitched	chr2	197023672	197049408	4	21770	32713.0296	4274.7496	107	STK17B		STK17B	STK17B	0.3353	107	1
4_MACS_peak_1570_lociStitched	chr1	149802818	149834066	4	17441	68117.5152	7799.5008	108	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.2354	108	1
1_MACS_peak_22605_lociStitched	chr5	88110477	88130791	1	20315	44369.8388	3575.264	109	MEF2C		MEF2C	MEF2C	0.47440000000000004	109	1
3_MACS_peak_12242_lociStitched	chr17	75128804	75146961	3	17376	62670.7012	3673.1611	110	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.0044	110	1
3_MACS_peak_21003_lociStitched	chr4	71525352	71555397	3	20364	43952.8305	5206.7985	111	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	0.6927000000000001	111	1
3_MACS_peak_8834_lociStitched	chr15	23658496	23683087	3	20166	43617.0567	3730.4547	112			MKRN3	MKRN3	NONE	112	1
2_MACS_peak_1686_lociStitched	chr1	154374157	154394649	2	17864	60242.3816	5737.76	113	IL6R		IL6R	IL6R	0.7384999999999999	113	1
3_MACS_peak_23854_lociStitched	chr6	25365855	25390602	3	20391	39342.7806	4328.2503	114	LRRC16A		LRRC16A	LRRC16A	0.3782	114	1
3_MACS_peak_10117_lociStitched	chr16	12052239	12072260	3	14362	73256.839	3811.9984	115	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	5.1172	115	1
4_MACS_peak_9031_lociStitched	chr15	40833485	40862784	4	19416	48138.257	4884.1433	116	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.0643	116	1
3_MACS_peak_13749_lociStitched	chr19	39880682	39904021	3	18456	53850.0747	3904.6147	117	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	2.9454	117	1
3_MACS_peak_325_lociStitched	chr1	24511753	24533976	3	17455	59442.0804	4293.4836	118	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4797	118	1
1_MACS_peak_26152_lociStitched	chr7	78113477	78128542	1	15066	68276.0865	2539.959	119	MAGI2		RPL13AP17	RPL13AP17	NONE	119	1
6_MACS_peak_8657_lociStitched	chr14	95945775	95986118	6	21134	25851.7944	3154.8226	120		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.1658	120	1
7_MACS_peak_22754_lociStitched	chr5	109247608	109286567	7	20731	33594.3457	5832.1623	121		LOC100289673	LOC100289673	NONE	NONE	121	1
6_MACS_peak_9873_lociStitched	chr15	101661135	101692527	6	20495	35425.872	4834.368	122			CHSY1	CHSY1	0.24300000000000002	122	1
5_MACS_peak_1478_lociStitched	chr1	145127612	145161684	5	20797	37932.3576	11417.5272	123		SEC22B,NOTCH2NL	SEC22B	NOTCH2NL	0.12509999999999993	123	1
3_MACS_peak_9015_lociStitched	chr15	40386736	40409253	3	18987	47312.7204	3917.958	124	BMF	BUB1B	BMF	BMF	1.4621	124	1
1_MACS_peak_12917_lociStitched	chr18	60821672	60831785	1	10114	81734.2773	2341.1595	125	BCL2		BCL2	BCL2	0.62	125	1
3_MACS_peak_24592_lociStitched	chr6	88612473	88640590	3	20221	35016.9118	4248.4787	126			SPACA1	SPACA1	NONE	126	1
3_MACS_peak_19243_lociStitched	chr3	69128082	69155609	3	20034	37103.6433	4453.8686	127	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.0224000000000002	127	1
3_MACS_peak_19643_lociStitched	chr3	124479957	124512571	3	20321	33944.6512	4725.7686	128	ITGB5	UMPS	UMPS	UMPS	0.0228	128	1
2_MACS_peak_11572_lociStitched	chr17	38465585	38484612	2	18887	46180.4317	3696.9461	129	RARA	CDC6,RARA,GJD3	RARA	RARA	0.734	129	1
1_MACS_peak_995_lociStitched	chr1	66734860	66752164	1	17305	55175.5344	3275.6472	130	PDE4B	PDE4B	PDE4B	PDE4B	0.1567	130	1
2_MACS_peak_5018_lociStitched	chr11	65254277	65278863	2	17950	52648.4604	4725.4292	131	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.4022	131	1
4_MACS_peak_19390_lociStitched	chr3	98472196	98496142	4	19125	43191.4002	3998.982	132	ST3GAL6		ST3GAL6	ST3GAL6	0.8551000000000001	132	1
2_MACS_peak_12292_lociStitched	chr17	76710974	76733683	2	19218	42845.0703	4534.9873	133	CYTH1		CYTH1	CYTH1	0.6075999999999999	133	1
5_MACS_peak_14853_lociStitched	chr2	64430299	64456679	5	19243	40213.672	4431.84	134	LOC150992		LOC150992	LOC150992	0.3546	134	1
3_MACS_peak_9515_lociStitched	chr15	75063180	75083657	3	19279	38322.7055	3780.0542	135	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	1.0256	135	1
3_MACS_peak_26213_lociStitched	chr7	90337276	90367846	3	18939	42201.885	5068.506	136	CDK14		CDK14	CDK14	0.08839999999999999	136	1
3_MACS_peak_5879_lociStitched	chr12	4216235	4231616	3	12075	73016.6832	2839.3326	137			CCND2	CCND2	0.6728000000000001	137	1
2_MACS_peak_15418_lociStitched	chr2	112455271	112468432	2	13086	68920.2087	2740.1202	138			ANAPC1	ANAPC1	NONE	138	1
3_MACS_peak_18308_lociStitched	chr22	39823004	39846284	3	16138	56342.256	3461.736	139	TAB1	MGAT3	MGAT3	MGAT3	0.28	139	1
1_MACS_peak_22606_lociStitched	chr5	88170694	88187221	1	16528	52084.8405	3376.4661	140	MEF2C		MEF2C	MEF2C	0.47440000000000004	140	1
5_MACS_peak_23931_lociStitched	chr6	27774501	27808122	5	18012	43640.058	5527.2924	141	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4J	HIST1H1B	0.5609	141	1
4_MACS_peak_14703_lociStitched	chr2	47526563	47550890	4	17061	48712.3848	4018.8204	142		EPCAM	EPCAM	NONE	NONE	142	1
4_MACS_peak_3031_lociStitched	chr10	7510989	7536582	4	18546	36462.3471	3913.1697	143			SFMBT2	SFMBT2	NONE	143	1
4_MACS_peak_16717_lociStitched	chr20	5570389	5592606	4	19505	23936.5958	3943.5175	144	GPCPD1		GPCPD1	GPCPD1	0.2411	144	1
2_MACS_peak_18218_lociStitched	chr22	37610004	37629299	2	17218	45661.6175	3484.677	145	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	SSTR3	0.3153	145	1
4_MACS_peak_25773_lociStitched	chr7	38383574	38408551	4	18746	33201.9261	5335.0872	146			TARP	TARP	NONE	146	1
6_MACS_peak_12143_lociStitched	chr17	72733107	72756919	6	19224	23342.9036	3940.886	147	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.402	147	1
1_MACS_peak_25945_lociStitched	chr7	55568918	55586222	1	17305	42424.2168	2716.728	148	VOPP1		VOPP1	VOPP1	1.3842	148	1
6_MACS_peak_17334_lociStitched	chr20	52530930	52567315	6	18526	32182.5325	5432.2805	149	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	0.6622	149	1
7_MACS_peak_17142_lociStitched	chr20	42564654	42593773	7	18640	29005.4359	4274.6692	150	TOX2		TOX2	TOX2	0.4766	150	1
5_MACS_peak_25266_lociStitched	chr6	157976430	158007391	5	18473	28942.3428	2325.1711	151	ZDHHC14	MIR3692	MIR3692	NONE	NONE	151	1
1_MACS_peak_23703_lociStitched	chr6	11826657	11838123	1	11467	67565.6982	2199.1788	152		C6orf105	C6orf105	C6orf105	0.5017	152	1
4_MACS_peak_6378_lociStitched	chr12	48196040	48218967	4	16992	41894.5071	3794.4185	153	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.7972	153	1
4_MACS_peak_4012_lociStitched	chr10	105244857	105268392	4	18579	25478.991	4036.2525	154	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	1.0745	154	1
5_MACS_peak_10235_lociStitched	chr16	22194814	22219342	5	18136	31619.0448	4586.736	155	EEF2K		EEF2K	EEF2K	0.020599999999999993	155	1
1_MACS_peak_22284_lociStitched	chr5	55436859	55453866	1	17008	40335.5019	2894.5914	156	ANKRD55		ANKRD55	ANKRD55	0.3234	156	1
3_MACS_peak_18961_lociStitched	chr3	46129539	46153918	3	17649	32843.3888	4449.1675	157			XCR1	XCR1	NONE	157	1
4_MACS_peak_12295_lociStitched	chr17	76753797	76779850	4	17898	29153.307	4082.5051	158	CYTH1		CYTH1	CYTH1	0.6075999999999999	158	1
3_MACS_peak_21973_lociStitched	chr5	6475659	6497464	3	14507	53659.9245	3432.107	159	UBE2QL1		UBE2QL1	UBE2QL1	1.0063	159	1
3_MACS_peak_8550_lociStitched	chr14	81930585	81953513	3	17173	33289.1632	2207.9664	160	SEL1L		SEL1L	SEL1L	0.47959999999999997	160	1
