GENE_ID	locusLine	bin_1_25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam
4_MACS_peak_187_lociStitched	chr1(.):1998486-2009734	1.5245
10_MACS_peak_191_lociStitched	chr1(.):2011662-2043627	1.4182
3_MACS_peak_201_lociStitched	chr1(.):2044887-2048719	0.971
3_MACS_peak_204_lociStitched	chr1(.):2056976-2063825	1.0128
6_MACS_peak_207_lociStitched	chr1(.):2065242-2078010	1.3033
17_MACS_peak_213_lociStitched	chr1(.):2080489-2117779	1.3317
8_MACS_peak_230_lociStitched	chr1(.):2128486-2158624	1.5034
5_MACS_peak_238_lociStitched	chr1(.):2244330-2294324	2.307
5_MACS_peak_243_lociStitched	chr1(.):2297915-2316645	1.8538
10_MACS_peak_248_lociStitched	chr1(.):2346548-2413172	1.9256
4_MACS_peak_258_lociStitched	chr1(.):2414850-2436754	1.5972
4_MACS_peak_262_lociStitched	chr1(.):2458330-2474695	1.8537
3_MACS_peak_266_lociStitched	chr1(.):2483355-2485367	0.6987
3_MACS_peak_269_lociStitched	chr1(.):2496655-2502612	1.5441
6_MACS_peak_272_lociStitched	chr1(.):2503892-2515330	1.0593
7_MACS_peak_278_lociStitched	chr1(.):2518678-2543943	1.5211
1_MACS_peak_285_lociStitched	chr1(.):2550191-2550875	0.8934
9_MACS_peak_286_lociStitched	chr1(.):2552181-2567285	1.0764
2_MACS_peak_295_lociStitched	chr1(.):2568365-2569283	0.757
2_MACS_peak_297_lociStitched	chr1(.):2574683-2577737	1.1486
1_MACS_peak_299_lociStitched	chr1(.):2581303-2581793	0.6936
1_MACS_peak_305_lociStitched	chr1(.):2685533-2691949	1.6599
1_MACS_peak_306_lociStitched	chr1(.):2693255-2693967	0.8961
1_MACS_peak_307_lociStitched	chr1(.):2699913-2700480	0.814
5_MACS_peak_308_lociStitched	chr1(.):2701559-2708475	0.9917
1_MACS_peak_313_lociStitched	chr1(.):2713327-2714219	1.0806
4_MACS_peak_314_lociStitched	chr1(.):2715397-2734618	1.5088
13_MACS_peak_318_lociStitched	chr1(.):2736007-2758778	1.0937
1_MACS_peak_331_lociStitched	chr1(.):2759833-2760213	0.6325
4_MACS_peak_332_lociStitched	chr1(.):2761799-2775125	1.2959
10_MACS_peak_336_lociStitched	chr1(.):2776189-2812899	1.486
13_MACS_peak_346_lociStitched	chr1(.):2814670-2854366	1.4394
1_MACS_peak_359_lociStitched	chr1(.):2855551-2855916	0.7399
1_MACS_peak_360_lociStitched	chr1(.):2857613-2858029	0.6786
1_MACS_peak_361_lociStitched	chr1(.):2859101-2859380	0.6319
1_MACS_peak_362_lociStitched	chr1(.):2860452-2861094	0.88
4_MACS_peak_363_lociStitched	chr1(.):2862887-2869863	1.3249
2_MACS_peak_367_lociStitched	chr1(.):2877226-2879955	0.9682
5_MACS_peak_369_lociStitched	chr1(.):2882226-2891488	1.1424
1_MACS_peak_374_lociStitched	chr1(.):2895143-2901952	1.435
5_MACS_peak_375_lociStitched	chr1(.):2903513-2907869	0.9872
3_MACS_peak_380_lociStitched	chr1(.):2915273-2922102	1.1139
3_MACS_peak_383_lociStitched	chr1(.):2926667-2941248	1.5014
7_MACS_peak_386_lociStitched	chr1(.):2943102-2956666	1.3233
4_MACS_peak_393_lociStitched	chr1(.):2957972-2962327	0.7787
4_MACS_peak_397_lociStitched	chr1(.):2969862-2973487	0.9262
28_MACS_peak_401_lociStitched	chr1(.):2976043-3084048	1.5443
4_MACS_peak_429_lociStitched	chr1(.):3085274-3096537	1.3292
6_MACS_peak_433_lociStitched	chr1(.):3099829-3169479	1.6439
3_MACS_peak_439_lociStitched	chr1(.):3171851-3176544	1.0655
14_MACS_peak_442_lociStitched	chr1(.):3177897-3236447	1.5979
4_MACS_peak_456_lociStitched	chr1(.):3238051-3251608	1.4202
3_MACS_peak_460_lociStitched	chr1(.):3254982-3259603	1.1183
24_MACS_peak_463_lociStitched	chr1(.):3262004-3363323	1.6309
5_MACS_peak_487_lociStitched	chr1(.):3366661-3392856	1.7813
8_MACS_peak_492_lociStitched	chr1(.):3394456-3488456	2.0765
9_MACS_peak_500_lociStitched	chr1(.):3489473-3537151	1.8877
1_MACS_peak_509_lociStitched	chr1(.):3567852-3568393	0.9504
1_MACS_peak_510_lociStitched	chr1(.):3663416-3664012	0.8423
2_MACS_peak_511_lociStitched	chr1(.):3666863-3688669	1.6499
1_MACS_peak_513_lociStitched	chr1(.):3689693-3690303	0.8652
1_MACS_peak_514_lociStitched	chr1(.):3716209-3718066	1.1121
2_MACS_peak_515_lociStitched	chr1(.):3719752-3721271	0.6492
1_MACS_peak_517_lociStitched	chr1(.):3832405-3832977	0.7375
3_MACS_peak_518_lociStitched	chr1(.):3834254-3837635	0.7914
1_MACS_peak_521_lociStitched	chr1(.):3840095-3843415	1.1588
1_MACS_peak_522_lociStitched	chr1(.):3995240-3995955	0.9441
6_MACS_peak_523_lociStitched	chr1(.):3997675-4009633	1.3031
6_MACS_peak_529_lociStitched	chr1(.):4011648-4019786	1.1279
4_MACS_peak_535_lociStitched	chr1(.):4020861-4023709	0.8263
2_MACS_peak_539_lociStitched	chr1(.):4032730-4033772	0.7515
10_MACS_peak_541_lociStitched	chr1(.):4034874-4048125	1.0045
10_MACS_peak_551_lociStitched	chr1(.):4053657-4064788	1.177
3_MACS_peak_561_lociStitched	chr1(.):4070769-4072078	0.7376
5_MACS_peak_564_lociStitched	chr1(.):4076106-4082927	1.0448
2_MACS_peak_569_lociStitched	chr1(.):4093060-4094866	0.7299
3_MACS_peak_571_lociStitched	chr1(.):4106798-4109615	0.9813
11_MACS_peak_574_lociStitched	chr1(.):4110749-4123689	0.9725
1_MACS_peak_585_lociStitched	chr1(.):4128865-4129123	0.5683
8_MACS_peak_586_lociStitched	chr1(.):4131448-4138224	0.9023
11_MACS_peak_594_lociStitched	chr1(.):4142174-4152395	0.8723
1_MACS_peak_605_lociStitched	chr1(.):4154597-4155240	0.8825
3_MACS_peak_606_lociStitched	chr1(.):4165070-4171596	1.2898
5_MACS_peak_609_lociStitched	chr1(.):4175175-4182737	1.1188
3_MACS_peak_614_lociStitched	chr1(.):4186672-4194514	1.3111
4_MACS_peak_617_lociStitched	chr1(.):4199744-4203089	0.9012
8_MACS_peak_621_lociStitched	chr1(.):4206189-4215614	0.9647
5_MACS_peak_629_lociStitched	chr1(.):4216732-4222476	0.9717
10_MACS_peak_634_lociStitched	chr1(.):4224097-4235127	1.0508
1_MACS_peak_644_lociStitched	chr1(.):4243448-4243770	0.5373
1_MACS_peak_645_lociStitched	chr1(.):4269268-4269641	0.6249
8_MACS_peak_646_lociStitched	chr1(.):4271452-4284820	0.9163
1_MACS_peak_654_lociStitched	chr1(.):4288042-4288362	0.8318
1_MACS_peak_655_lociStitched	chr1(.):4290056-4290572	0.7565
3_MACS_peak_656_lociStitched	chr1(.):4328660-4331160	0.7355
1_MACS_peak_659_lociStitched	chr1(.):4332206-4332975	0.8898
1_MACS_peak_660_lociStitched	chr1(.):4361662-4362023	0.8915
2_MACS_peak_661_lociStitched	chr1(.):4370392-4371967	0.6832
1_MACS_peak_663_lociStitched	chr1(.):4383063-4383560	0.8696
1_MACS_peak_664_lociStitched	chr1(.):4385094-4385678	0.8118
4_MACS_peak_665_lociStitched	chr1(.):4388736-4391428	0.8482
1_MACS_peak_669_lociStitched	chr1(.):4404378-4404802	0.7819
10_MACS_peak_670_lociStitched	chr1(.):4411210-4423193	0.9475
2_MACS_peak_680_lociStitched	chr1(.):4425713-4427865	0.9581
1_MACS_peak_682_lociStitched	chr1(.):4449867-4450183	0.699
1_MACS_peak_683_lociStitched	chr1(.):4454700-4455121	0.711
4_MACS_peak_684_lociStitched	chr1(.):4456815-4460844	0.8635
2_MACS_peak_688_lociStitched	chr1(.):4467575-4469310	0.7294
2_MACS_peak_690_lociStitched	chr1(.):4483409-4484514	0.7715
1_MACS_peak_692_lociStitched	chr1(.):4494887-4495249	0.7276
1_MACS_peak_693_lociStitched	chr1(.):4501739-4502038	0.6891
1_MACS_peak_694_lociStitched	chr1(.):4504388-4504745	0.679
4_MACS_peak_695_lociStitched	chr1(.):4506400-4509176	0.7907
6_MACS_peak_699_lociStitched	chr1(.):4519570-4523902	0.7895
1_MACS_peak_705_lociStitched	chr1(.):4542192-4543023	0.7838
1_MACS_peak_706_lociStitched	chr1(.):4546477-4547116	0.9043
1_MACS_peak_707_lociStitched	chr1(.):4549278-4549829	0.6849
3_MACS_peak_708_lociStitched	chr1(.):4560443-4561979	0.7291
2_MACS_peak_711_lociStitched	chr1(.):4567420-4568236	0.6234
3_MACS_peak_713_lociStitched	chr1(.):4569696-4570907	0.7012
8_MACS_peak_716_lociStitched	chr1(.):4572012-4579134	0.8552
3_MACS_peak_724_lociStitched	chr1(.):4587910-4590206	0.9387
1_MACS_peak_727_lociStitched	chr1(.):4622398-4622675	0.7357
3_MACS_peak_728_lociStitched	chr1(.):4649603-4653398	1.0297
3_MACS_peak_731_lociStitched	chr1(.):4658769-4663114	1.0148
3_MACS_peak_734_lociStitched	chr1(.):4670988-4676105	1.0679
1_MACS_peak_737_lociStitched	chr1(.):4683025-4683324	0.6509
5_MACS_peak_738_lociStitched	chr1(.):4684650-4689222	1.0288
2_MACS_peak_743_lociStitched	chr1(.):4691051-4691952	0.822
1_MACS_peak_745_lociStitched	chr1(.):4693035-4698703	1.2187
1_MACS_peak_746_lociStitched	chr1(.):4700782-4701436	0.74
1_MACS_peak_747_lociStitched	chr1(.):4710183-4710569	0.6012
5_MACS_peak_748_lociStitched	chr1(.):4713210-4720592	0.783
2_MACS_peak_753_lociStitched	chr1(.):4724201-4727988	1.1026
1_MACS_peak_755_lociStitched	chr1(.):4731421-4731733	0.6901
3_MACS_peak_756_lociStitched	chr1(.):4733413-4736288	0.8083
1_MACS_peak_759_lociStitched	chr1(.):4741423-4741727	0.8334
2_MACS_peak_760_lociStitched	chr1(.):4743888-4745719	0.8512
2_MACS_peak_762_lociStitched	chr1(.):4747255-4748497	0.8082
4_MACS_peak_764_lociStitched	chr1(.):4750497-4754356	0.8756
1_MACS_peak_768_lociStitched	chr1(.):4756092-4756417	0.8085
7_MACS_peak_769_lociStitched	chr1(.):4757852-4762919	0.7283
5_MACS_peak_776_lociStitched	chr1(.):4768137-4775367	0.9563
1_MACS_peak_781_lociStitched	chr1(.):4782138-4782481	0.6963
10_MACS_peak_782_lociStitched	chr1(.):4786162-4797946	1.0651
1_MACS_peak_792_lociStitched	chr1(.):4799669-4800010	0.8021
1_MACS_peak_793_lociStitched	chr1(.):4801714-4802308	0.6791
1_MACS_peak_794_lociStitched	chr1(.):4806097-4807500	1.1002
12_MACS_peak_795_lociStitched	chr1(.):4828695-4838773	0.909
3_MACS_peak_807_lociStitched	chr1(.):4840597-4842452	0.8573
1_MACS_peak_810_lociStitched	chr1(.):4843863-4844143	0.9565
1_MACS_peak_811_lociStitched	chr1(.):4845465-4846279	0.8471
1_MACS_peak_812_lociStitched	chr1(.):4847315-4847744	0.8503
1_MACS_peak_813_lociStitched	chr1(.):4849602-4849908	0.5586
1_MACS_peak_814_lociStitched	chr1(.):4860277-4860662	0.9123
1_MACS_peak_815_lociStitched	chr1(.):4890734-4891093	0.7104
1_MACS_peak_816_lociStitched	chr1(.):4929896-4930490	0.9792
1_MACS_peak_817_lociStitched	chr1(.):4941453-4942135	0.8328
1_MACS_peak_818_lociStitched	chr1(.):4955199-4955487	0.527
1_MACS_peak_819_lociStitched	chr1(.):4956900-4957283	0.6309
1_MACS_peak_820_lociStitched	chr1(.):4968504-4968889	0.8424
1_MACS_peak_821_lociStitched	chr1(.):4992566-4992871	0.5558
1_MACS_peak_822_lociStitched	chr1(.):5020297-5020722	0.6524
1_MACS_peak_823_lociStitched	chr1(.):5022693-5023945	0.9298
1_MACS_peak_824_lociStitched	chr1(.):5025038-5025555	1.0196
1_MACS_peak_825_lociStitched	chr1(.):5033497-5033820	0.7544
4_MACS_peak_826_lociStitched	chr1(.):5034942-5039404	0.9508
2_MACS_peak_830_lociStitched	chr1(.):5044703-5046973	0.8646
1_MACS_peak_832_lociStitched	chr1(.):5070006-5070342	0.7188
1_MACS_peak_833_lociStitched	chr1(.):5108254-5108607	0.8081
1_MACS_peak_834_lociStitched	chr1(.):5158196-5158535	0.5842
1_MACS_peak_835_lociStitched	chr1(.):5178357-5178681	0.4189
1_MACS_peak_836_lociStitched	chr1(.):5202753-5203313	0.8254
1_MACS_peak_837_lociStitched	chr1(.):5279513-5279917	0.7413
2_MACS_peak_838_lociStitched	chr1(.):5285063-5286522	0.5794
3_MACS_peak_840_lociStitched	chr1(.):5298833-5300587	0.6538
1_MACS_peak_843_lociStitched	chr1(.):5304122-5304491	0.7771
1_MACS_peak_844_lociStitched	chr1(.):5323231-5323567	0.5771
1_MACS_peak_845_lociStitched	chr1(.):5325782-5326077	0.6337
2_MACS_peak_846_lociStitched	chr1(.):5327275-5328632	0.8077
4_MACS_peak_848_lociStitched	chr1(.):5335426-5337779	0.7236
1_MACS_peak_852_lociStitched	chr1(.):5342806-5343230	0.7742
3_MACS_peak_853_lociStitched	chr1(.):5355000-5357588	0.6233
1_MACS_peak_856_lociStitched	chr1(.):5368464-5369060	0.9325
3_MACS_peak_857_lociStitched	chr1(.):5370156-5373687	0.918
1_MACS_peak_860_lociStitched	chr1(.):5377370-5377855	0.8122
1_MACS_peak_861_lociStitched	chr1(.):5407256-5407600	0.7317
2_MACS_peak_862_lociStitched	chr1(.):5436448-5437889	0.7446
1_MACS_peak_864_lociStitched	chr1(.):5439327-5439651	0.5827
2_MACS_peak_865_lociStitched	chr1(.):5441932-5442770	0.8265
1_MACS_peak_867_lociStitched	chr1(.):5444745-5445313	1.1141
1_MACS_peak_868_lociStitched	chr1(.):5449188-5450133	0.8304
1_MACS_peak_869_lociStitched	chr1(.):5451493-5452529	0.8712
1_MACS_peak_870_lociStitched	chr1(.):5462114-5462395	0.5263
1_MACS_peak_871_lociStitched	chr1(.):5473196-5473547	0.664
2_MACS_peak_872_lociStitched	chr1(.):5474875-5475876	0.8855
10_MACS_peak_874_lociStitched	chr1(.):5481175-5493710	0.9169
1_MACS_peak_884_lociStitched	chr1(.):5495629-5496088	0.6632
1_MACS_peak_885_lociStitched	chr1(.):5507221-5507510	0.6911
5_MACS_peak_886_lociStitched	chr1(.):5509013-5513244	0.8263
2_MACS_peak_891_lociStitched	chr1(.):5514439-5515603	0.9086
2_MACS_peak_893_lociStitched	chr1(.):5519126-5520965	0.8587
3_MACS_peak_895_lociStitched	chr1(.):5524086-5525513	0.7778
11_MACS_peak_898_lociStitched	chr1(.):5530169-5546458	1.058
4_MACS_peak_909_lociStitched	chr1(.):5549963-5558159	1.0884
11_MACS_peak_913_lociStitched	chr1(.):5560052-5575912	1.0775
1_MACS_peak_924_lociStitched	chr1(.):5582592-5583425	1.0296
4_MACS_peak_925_lociStitched	chr1(.):5584557-5590231	0.9353
1_MACS_peak_929_lociStitched	chr1(.):5594579-5594924	0.5774
1_MACS_peak_930_lociStitched	chr1(.):5625041-5625421	0.8301
3_MACS_peak_931_lociStitched	chr1(.):5631277-5633020	0.8027
2_MACS_peak_934_lociStitched	chr1(.):5634588-5637101	0.7881
1_MACS_peak_936_lociStitched	chr1(.):5639525-5639918	0.5806
4_MACS_peak_937_lociStitched	chr1(.):5643096-5645843	0.7529
9_MACS_peak_941_lociStitched	chr1(.):5653611-5661921	0.9683
1_MACS_peak_950_lociStitched	chr1(.):5674903-5678235	1.1186
5_MACS_peak_951_lociStitched	chr1(.):5679575-5683943	0.8215
1_MACS_peak_956_lociStitched	chr1(.):5692448-5692936	0.8775
1_MACS_peak_957_lociStitched	chr1(.):5696098-5696415	0.6492
1_MACS_peak_958_lociStitched	chr1(.):5698921-5700001	0.8447
2_MACS_peak_959_lociStitched	chr1(.):5703491-5704719	0.7378
2_MACS_peak_961_lociStitched	chr1(.):5707633-5708626	0.6856
2_MACS_peak_963_lociStitched	chr1(.):5709848-5713634	1.2184
1_MACS_peak_965_lociStitched	chr1(.):5716525-5716879	1.1519
2_MACS_peak_966_lociStitched	chr1(.):5718864-5722535	0.9291
2_MACS_peak_971_lociStitched	chr1(.):5742775-5746186	0.9812
6_MACS_peak_973_lociStitched	chr1(.):5747202-5755612	0.863
3_MACS_peak_979_lociStitched	chr1(.):5758006-5760721	0.7196
8_MACS_peak_982_lociStitched	chr1(.):5762830-5774311	1.0267
3_MACS_peak_990_lociStitched	chr1(.):5775783-5782128	1.3745
7_MACS_peak_993_lociStitched	chr1(.):5783617-5792068	0.9815
2_MACS_peak_1000_lociStitched	chr1(.):5793427-5795055	0.77
1_MACS_peak_1002_lociStitched	chr1(.):5798545-5799044	0.8422
5_MACS_peak_1003_lociStitched	chr1(.):5800904-5820039	1.4922
5_MACS_peak_1008_lociStitched	chr1(.):5823594-5838990	1.2138
1_MACS_peak_1013_lociStitched	chr1(.):5841551-5841917	0.5695
1_MACS_peak_1014_lociStitched	chr1(.):5843203-5843576	0.6693
2_MACS_peak_1015_lociStitched	chr1(.):5846587-5848341	0.9584
1_MACS_peak_1017_lociStitched	chr1(.):5853157-5853497	0.7049
2_MACS_peak_1018_lociStitched	chr1(.):5856718-5860613	1.1034
1_MACS_peak_1020_lociStitched	chr1(.):5866870-5867303	0.7923
5_MACS_peak_1021_lociStitched	chr1(.):5869864-5875843	0.9461
6_MACS_peak_1026_lociStitched	chr1(.):5877228-5883960	0.953
2_MACS_peak_1032_lociStitched	chr1(.):5886363-5888946	1.0169
4_MACS_peak_1034_lociStitched	chr1(.):5891527-5913358	1.4325
3_MACS_peak_1038_lociStitched	chr1(.):6160743-6166723	1.3097
1_MACS_peak_1041_lociStitched	chr1(.):6168908-6174426	1.5363
8_MACS_peak_1042_lociStitched	chr1(.):6180706-6241859	1.7614
7_MACS_peak_1050_lociStitched	chr1(.):6265485-6275461	0.8841
5_MACS_peak_1057_lociStitched	chr1(.):6298587-6323085	1.7389
3_MACS_peak_1062_lociStitched	chr1(.):6460248-6463443	0.8682
3_MACS_peak_1065_lociStitched	chr1(.):6465082-6468294	0.7966
2_MACS_peak_1068_lociStitched	chr1(.):6470293-6471932	0.6734
6_MACS_peak_1070_lociStitched	chr1(.):6475009-6530977	2.1768
1_MACS_peak_1076_lociStitched	chr1(.):6532487-6534369	1.3317
6_MACS_peak_1077_lociStitched	chr1(.):6535532-6549483	1.446
3_MACS_peak_1083_lociStitched	chr1(.):6554162-6573075	2.2089
9_MACS_peak_1086_lociStitched	chr1(.):6622294-6633323	0.9995
1_MACS_peak_1095_lociStitched	chr1(.):6634755-6635565	0.817
7_MACS_peak_1096_lociStitched	chr1(.):6766942-6772428	0.9121
5_MACS_peak_1103_lociStitched	chr1(.):6773665-6779242	1.0214
1_MACS_peak_1108_lociStitched	chr1(.):6783738-6786973	1.4059
8_MACS_peak_1109_lociStitched	chr1(.):6790407-6797116	0.8229
1_MACS_peak_1117_lociStitched	chr1(.):6799752-6800046	0.6573
3_MACS_peak_1118_lociStitched	chr1(.):6805091-6806845	0.5357
1_MACS_peak_1121_lociStitched	chr1(.):6817694-6818448	0.7801
1_MACS_peak_1122_lociStitched	chr1(.):6821943-6822330	0.6454
1_MACS_peak_1123_lociStitched	chr1(.):6830943-6831647	0.7961
2_MACS_peak_1124_lociStitched	chr1(.):7014135-7014774	0.7973
2_MACS_peak_1126_lociStitched	chr1(.):7016183-7017446	0.9781
3_MACS_peak_1128_lociStitched	chr1(.):7019406-7022119	0.7472
2_MACS_peak_1131_lociStitched	chr1(.):7023911-7027767	0.8719
2_MACS_peak_1133_lociStitched	chr1(.):7032332-7033377	0.7986
2_MACS_peak_1135_lociStitched	chr1(.):7034398-7036404	0.87
2_MACS_peak_1137_lociStitched	chr1(.):7038923-7040685	0.734
1_MACS_peak_1139_lociStitched	chr1(.):7042494-7042907	0.6402
4_MACS_peak_1140_lociStitched	chr1(.):7044479-7048434	0.9494
2_MACS_peak_1144_lociStitched	chr1(.):7059971-7062040	0.7644
3_MACS_peak_1146_lociStitched	chr1(.):7065462-7072177	1.1893
1_MACS_peak_1149_lociStitched	chr1(.):7076065-7076331	0.8189
6_MACS_peak_1150_lociStitched	chr1(.):7077727-7082495	0.7822
3_MACS_peak_1156_lociStitched	chr1(.):7085530-7087187	0.6706
3_MACS_peak_1159_lociStitched	chr1(.):7100492-7105301	1.1895
12_MACS_peak_1162_lociStitched	chr1(.):7106963-7125160	1.1357
5_MACS_peak_1174_lociStitched	chr1(.):7126682-7131350	1.0222
1_MACS_peak_1179_lociStitched	chr1(.):7141791-7142127	0.6931
2_MACS_peak_1180_lociStitched	chr1(.):7144508-7149139	1.089
6_MACS_peak_1182_lociStitched	chr1(.):7150230-7161083	1.1336
1_MACS_peak_1188_lociStitched	chr1(.):7162518-7162933	1.0064
2_MACS_peak_1189_lociStitched	chr1(.):7165392-7166057	0.943
1_MACS_peak_1191_lociStitched	chr1(.):7167397-7167970	0.7811
2_MACS_peak_1192_lociStitched	chr1(.):7169305-7170402	0.6942
1_MACS_peak_1194_lociStitched	chr1(.):7172690-7173473	0.8788
2_MACS_peak_1195_lociStitched	chr1(.):7174516-7177559	0.7958
7_MACS_peak_1197_lociStitched	chr1(.):7180244-7188406	0.9338
1_MACS_peak_1204_lociStitched	chr1(.):7196133-7196460	0.6817
2_MACS_peak_1205_lociStitched	chr1(.):7204850-7206659	0.9361
3_MACS_peak_1207_lociStitched	chr1(.):7208597-7215562	1.1751
1_MACS_peak_1210_lociStitched	chr1(.):7222306-7222659	0.6764
1_MACS_peak_1211_lociStitched	chr1(.):7223752-7224821	1.106
2_MACS_peak_1212_lociStitched	chr1(.):7232308-7235489	1.0683
1_MACS_peak_1214_lociStitched	chr1(.):7252298-7252847	0.8138
4_MACS_peak_1215_lociStitched	chr1(.):7254669-7259422	0.9464
1_MACS_peak_1219_lociStitched	chr1(.):7266588-7267259	0.7736
1_MACS_peak_1220_lociStitched	chr1(.):7268719-7269129	0.8005
7_MACS_peak_1221_lociStitched	chr1(.):7279311-7297814	1.2637
14_MACS_peak_1228_lociStitched	chr1(.):7305857-7325433	1.0022
3_MACS_peak_1242_lociStitched	chr1(.):7339131-7341214	0.697
1_MACS_peak_1245_lociStitched	chr1(.):7344558-7344912	0.6071
8_MACS_peak_1246_lociStitched	chr1(.):7349215-7355232	0.9387
5_MACS_peak_1254_lociStitched	chr1(.):7357422-7361664	0.8105
1_MACS_peak_1259_lociStitched	chr1(.):7362673-7363035	0.8287
1_MACS_peak_1260_lociStitched	chr1(.):7373825-7374192	0.8919
1_MACS_peak_1261_lociStitched	chr1(.):7386216-7386672	0.9632
5_MACS_peak_1262_lociStitched	chr1(.):7390131-7396841	0.8965
2_MACS_peak_1267_lociStitched	chr1(.):7402941-7404286	0.6857
5_MACS_peak_1269_lociStitched	chr1(.):7405477-7417520	1.0948
2_MACS_peak_1274_lociStitched	chr1(.):7419213-7420659	0.7439
1_MACS_peak_1276_lociStitched	chr1(.):7424476-7424845	0.7776
1_MACS_peak_1277_lociStitched	chr1(.):7426409-7426989	0.8421
12_MACS_peak_1278_lociStitched	chr1(.):7429300-7440952	0.9808
6_MACS_peak_1290_lociStitched	chr1(.):7444588-7451421	1.0642
1_MACS_peak_1296_lociStitched	chr1(.):7463822-7464975	1.0119
5_MACS_peak_1297_lociStitched	chr1(.):7466021-7471052	0.86
10_MACS_peak_1302_lociStitched	chr1(.):7477589-7488810	0.9432
22_MACS_peak_1312_lociStitched	chr1(.):7491001-7547535	1.1755
3_MACS_peak_1334_lociStitched	chr1(.):7548870-7552006	1.0836
3_MACS_peak_1337_lociStitched	chr1(.):7553595-7556616	0.9203
2_MACS_peak_1340_lociStitched	chr1(.):7560920-7564439	1.05
10_MACS_peak_1342_lociStitched	chr1(.):7566299-7582355	1.063
6_MACS_peak_1352_lociStitched	chr1(.):7585182-7599562	1.2257
1_MACS_peak_1358_lociStitched	chr1(.):7602428-7602860	0.7658
1_MACS_peak_1359_lociStitched	chr1(.):7604223-7604602	0.7445
4_MACS_peak_1360_lociStitched	chr1(.):7611549-7626045	1.3584
19_MACS_peak_1364_lociStitched	chr1(.):7632822-7657276	1.0466
2_MACS_peak_1383_lociStitched	chr1(.):7665338-7666735	0.6887
2_MACS_peak_1385_lociStitched	chr1(.):7671469-7672977	0.7101
1_MACS_peak_1387_lociStitched	chr1(.):7674112-7674477	0.8006
11_MACS_peak_1388_lociStitched	chr1(.):7680906-7705917	1.3
