GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
NM_020672	chr1(.):153581731-153593790	0.1114
NM_080388	chr1(.):153574366-153590514	0.1122
NM_006271	chr1(.):153595872-153609513	1.936
NM_004515	chr1(.):153629513-153648479	0.7337
NM_000906	chr1(.):153646163-153671468	0.1206
NM_012437	chr1(.):153626144-153639326	0.4826
NM_020452	chr1(.):154295275-154328780	1.1929
NM_001005855	chr1(.):154293035-154315322	1.647
NM_080429	chr1(.):154288591-154302801	2.3667
NM_006556	chr1(.):154892207-154914484	3.0177
NM_001130041	chr1(.):154929773-154951959	2.2157
NM_001130040	chr1(.):154929773-154948223	2.4996
NM_201398	chr1(.):154950769-154970587	0.4723
NM_015872	chr1(.):154970111-154995999	1.1136
NM_001184892	chr1(.):154950769-154966488	0.5365
NM_018655	chr1(.):154961061-154971791	0.2921
NM_001143687	chr1(.):155001281-155028406	0.3251
NR_024163	chr1(.):154942117-154956725	2.1912
NM_144622	chr1(.):154986002-155011257	0.3483
NM_138300	chr1(.):154924501-154939258	2.7209
NR_036212	chr1(.):154943168-154953259	2.511
NR_027023	chr1(.):155526771-155538735	1.9299
NM_001198905	chr1(.):155624232-155663568	1.0658
NM_001198899	chr1(.):155624232-155654620	0.1326
NM_139118	chr1(.):155624232-155663823	1.0589
NM_139121	chr1(.):155624232-155663764	1.0605
NM_001198901	chr1(.):155624232-155663819	1.059
NM_139119	chr1(.):155624232-155663565	1.0659
NM_001198904	chr1(.):155624232-155663447	1.0691
NM_004632	chr1(.):155653873-155713319	0.8005
NM_001198902	chr1(.):155624232-155663515	1.0672
NM_033657	chr1(.):155653873-155713317	0.8006
NM_006912	chr1(.):155862600-155886177	0.2216
NM_001162384	chr1(.):155911629-155953336	1.4633
NM_181885	chr1(.):155906479-155917625	1.1126
NM_004723	chr1(.):155911629-155952966	1.4733
NM_014949	chr1(.):155877835-155909188	0.5963
NR_002974	chr1(.):155884699-155894833	0.1443
NR_003005	chr1(.):155890748-155900877	0.1643
NM_003145	chr1(.):155973838-155995758	0.5871
NM_014655	chr1(.):156158729-156187587	0.8352
NM_007221	chr1(.):156177783-156214833	0.9405
NM_022367	chr1(.):156118321-156152542	3.4046
NM_001193302	chr1(.):156118368-156152542	3.4069
NM_001193301	chr1(.):156114734-156152542	3.1587
NM_005920	chr1(.):156428518-156475529	1.4416
NM_004494	chr1(.):156706898-156726543	1.6659
NM_001126051	chr1(.):156706898-156727024	1.6285
NM_001126050	chr1(.):156706898-156727240	1.6112
NM_030980	chr1(.):156687412-156702705	0.6802
NM_001878	chr1(.):156664407-156680375	0.1199
NM_001142560	chr1(.):156693262-156711752	1.1869
NM_145729	chr1(.):156702093-156715923	1.0606
NM_030916	chr1(.):161035780-161064385	0.5539
NM_007122	chr1(.):161004040-161020757	2.1384
NM_001113205	chr1(.):161002421-161013774	0.4087
NR_033385	chr1(.):161063150-161075138	0.4563
NM_181720	chr1(.):161011731-161044760	1.5994
NM_016946	chr1(.):160960000-160996133	0.4586
NM_001039711	chr1(.):161085768-161107478	0.8418
NM_016406	chr1(.):161118533-161133646	1.6157
NM_004550	chr1(.):161164104-161189184	0.6467
NM_000309	chr1(.):161131180-161146010	0.805
NM_001643	chr1(.):161187082-161198418	0.841
NM_001185094	chr1(.):161082907-161095984	0.5547
NM_003779	chr1(.):161136100-161152314	1.3532
NM_012475	chr1(.):161124253-161140516	0.9704
NM_001039712	chr1(.):161085768-161107256	0.8499
NM_005600	chr1(.):161082861-161095984	0.5534
NM_001185093	chr1(.):161082906-161095984	0.5546
NM_032174	chr1(.):161190832-161205407	0.5547
NM_001166159	chr1(.):161166936-161189184	0.7029
NM_005099	chr1(.):161154537-161173845	1.0433
NM_004106	chr1(.):161180086-161194038	0.5179
NM_181093	chr1(.):169816803-169868076	0.6972
NM_022100	chr1(.):174977093-174997591	0.4872
NR_033186	chr1(.):178506930-178523024	0.2751
NM_022371	chr1(.):179046111-179070129	1.9871
NM_015602	chr1(.):179846419-179894211	0.6898
NM_002922	chr1(.):192539856-192554159	1.2555
NM_001195216	chr1(.):197698138-197749623	0.6168
NM_005298	chr1(.):200837165-200848251	0.1189
NM_018265	chr1(.):200855638-200889864	1.0717
NM_001142569	chr1(.):200858998-200889864	1.1187
NR_034150	chr1(.):203262885-203279453	3.4509
NM_006763	chr1(.):203269663-203283729	2.1241
NM_002023	chr1(.):203304751-203325289	0.146
NR_003019	chr1(.):203693708-203703833	0.1141
NM_001136190	chr1(.):203729283-203750480	1.3102
NM_001174108	chr1(.):203761650-203774590	0.4367
NM_002646	chr1(.):204386757-204464474	0.1965
NM_002393	chr1(.):204480510-204532248	0.9522
NM_030952	chr1(.):205266190-205295883	0.3395
NM_001007544	chr1(.):206233871-206293647	1.2111
NM_148964	chr1(.):206312458-206337104	0.0874
NM_006893	chr1(.):206759973-206790904	0.2874
NM_182665	chr1(.):206725491-206767616	1.1227
NM_001136224	chr1(.):211427707-211494725	0.4975
NM_018254	chr1(.):211428288-211494725	0.5002
NM_001136225	chr1(.):211427707-211491655	0.5174
NM_001172425	chr1(.):226119297-226134083	1.8227
NM_013328	chr1(.):226102579-226116965	0.8107
NM_181441	chr1(.):228289379-228302013	1.2161
NR_037415	chr1(.):228279963-228290042	0.2947
NM_001024227	chr1(.):228265850-228291913	1.437
NM_001024226	chr1(.):228265360-228291913	1.4137
NM_024319	chr1(.):228283427-228296022	0.8107
NM_001159390	chr1(.):228322928-228341655	0.6853
NM_033445	chr1(.):228640064-228650560	0.1289
NM_001010858	chr1(.):228670067-228688889	2.5252
NM_175055	chr1(.):228640807-228651259	0.1292
NM_001012985	chr1(.):234504428-234524791	1.1991
NM_182972	chr1(.):234735014-234750271	5.5282
NR_033927	chr1(.):234760056-234775526	0.1004
NR_002956	chr1(.):235286117-235296252	0.6514
NM_031844	chr1(.):245008601-245032827	1.2835
NM_198076	chr1(.):244993638-245013359	2.0446
NR_026778	chr1(.):244998939-245015243	0.5324
NM_030645	chr1(.):249099650-249125154	1.0222
NM_024836	chr1(.):249127529-249148714	0.9872
NM_001136036	chr1(.):249139202-249158125	0.6549
NM_001193328	chr1(.):249139202-249158315	0.6495
NR_036070	chr1(.):249115575-249125642	2.0248
NM_020458	chr2(.):47163312-47308275	0.5905
NR_033872	chr2(.):70184394-70319147	0.6732
NR_015395	chr2(.):112119590-112257692	0.5748
NR_024373	chr2(.):112181885-112257692	0.9683
NM_001099289	chr2(.):109740996-110267207	0.1697
NM_001012514	chr2(.):231724620-231748963	1.3658
NM_145693	chr2(.):11881739-11972533	1.027
NM_000183	chr2(.):26462615-26518333	0.4661
NM_170672	chr2(.):33656415-33794798	0.4329
NM_005813	chr2(.):37472645-37549222	0.9378
NM_003400	chr2(.):61700068-61770418	0.4404
NR_036586	chr2(.):65123973-65164581	1.1702
NM_144563	chr2(.):88986175-89055452	0.5652
NM_004027	chr2(.):99056320-99212496	1.1321
NM_001566	chr2(.):99056320-99203284	1.1945
NM_015282	chr2(.):122090351-122412052	0.1888
NM_152522	chr2(.):153569422-153622767	0.4639
NM_001077269	chr2(.):175419301-175552627	0.3412
NM_006164	chr2(.):178090032-178134859	0.5748
NM_001145413	chr2(.):178090032-178133617	0.5882
NM_004226	chr2(.):196993306-197041336	0.4846
NM_001228	chr2(.):202093165-202157434	0.8838
NM_003879	chr2(.):201975889-202034003	1.3801
NM_001127184	chr2(.):201975815-202011323	2.1093
NM_173822	chr2(.):201833440-201941392	0.1881
NM_033358	chr2(.):202093165-202151638	0.9624
NM_020935	chr2(.):219309973-219438084	0.2611
NM_005687	chr2(.):223431161-223525827	0.3917
NM_022730	chr2(.):232646161-232678434	0.1646
NM_001037160	chr2(.):10191925-10225538	0.0604
NM_182626	chr2(.):10276508-10356856	0.0824
NM_001165931	chr2(.):10257694-10276546	1.6353
NM_001034	chr2(.):10257862-10276546	1.6496
NM_002997	chr2(.):20395557-20429927	2.2345
NM_001006946	chr2(.):20395557-20430194	2.2182
NM_000182	chr2(.):26408503-26472594	0.443
NM_005253	chr2(.):28610778-28642516	0.9855
NM_015376	chr2(.):33733941-33794798	0.162
NM_001139488	chr2(.):33696320-33794798	0.582
NM_012413	chr2(.):37566752-37605465	2.2756
NM_138370	chr2(.):42270160-42290668	0.0807
NM_006887	chr2(.):43444540-43458745	3.4312
NR_027251	chr2(.):43449349-43460994	2.4901
NM_001171508	chr2(.):47124008-47173994	0.4708
NM_001193493	chr2(.):65210578-65256000	0.7299
NM_003038	chr2(.):65211494-65256000	0.7432
NM_015147	chr2(.):65278494-65319142	0.2743
NM_006196	chr2(.):70309584-70321334	6.6425
NR_024444	chr2(.):70346167-70357448	0.8891
NM_003761	chr2(.):85799613-85814156	0.2931
NM_005911	chr2(.):85761287-85777403	1.53
NM_000821	chr2(.):85771192-85793657	0.1897
NM_006634	chr2(.):85806530-85825511	0.2793
NM_015425	chr2(.):86248450-86338278	0.8612
NR_026984	chr2(.):86242338-86255991	0.1168
NR_015424	chr2(.):89060418-89111109	0.1377
NR_026875	chr2(.):97158382-97178846	0.1695
NM_212481	chr2(.):97197463-97223371	1.9629
NR_023343	chr2(.):122283455-122293585	2.567
NM_001161403	chr2(.):128390995-128437764	0.0643
NM_001161404	chr2(.):128390995-128444360	0.0638
NM_017980	chr2(.):128390995-128427167	0.0605
NM_032740	chr2(.):128453596-128466407	1.907
NM_017892	chr2(.):153503106-153578975	0.3572
NM_006186	chr2(.):157175943-157194287	0.727
NM_004288	chr2(.):158266130-158305604	0.8483
NM_001172712	chr2(.):174766186-174835430	0.4849
NM_001017371	chr2(.):174766186-174833947	0.4946
NM_003387	chr2(.):175419301-175504307	0.4972
NR_036075	chr2(.):178115672-178125738	0.0755
NM_194247	chr2(.):178072421-178093685	1.1342
NM_002491	chr2(.):201931461-201955473	0.4752
NM_001127183	chr2(.):201978386-202033841	1.4424
NM_033356	chr2(.):202120222-202157434	1.0637
NM_001080125	chr2(.):202117753-202157434	1.0347
NM_006139	chr2(.):204566197-204607557	0.7505
NM_005444	chr2(.):219428677-219463999	0.7533
NM_032726	chr2(.):219467631-219506904	0.0775
NM_017431	chr2(.):219682105-219701512	0.0576
NM_025216	chr2(.):219740254-219763651	1.5475
NM_006522	chr2(.):219719545-219743954	0.1062
NM_058165	chr2(.):223531456-223579649	0.0562
NM_001099285	chr2(.):232568234-232583250	1.8253
NM_002601	chr2(.):232592146-232650974	0.0943
NR_036052	chr2(.):232573023-232583105	0.7889
NR_031717	chr2(.):232751951-232762008	0.0252
NM_003549	chr3(.):50325261-50341899	0.6091
NM_014674	chr3(.):5224358-5266650	1.2413
NR_027007	chr3(.):9425536-9444174	1.2523
NM_003571	chr3(.):133113789-133199056	0.7406
NM_207015	chr3(.):174572110-175528428	0.1513
NM_024947	chr3(.):169800367-169904537	0.4379
NM_001135095	chr3(.):171753343-172123492	0.28
NM_022763	chr3(.):171752417-172123492	0.2799
NM_181361	chr3(.):178249223-178567217	0.1023
NM_006354	chr3(.):9816653-9839420	0.9997
NM_133480	chr3(.):9819811-9839420	1.1414
NM_001134382	chr3(.):12933718-13119617	0.4995
NM_024923	chr3(.):13352736-13466809	0.4828
NM_014869	chr3(.):12933718-13013960	0.0977
NM_144636	chr3(.):14148576-14171371	1.4393
NM_181042	chr3(.):52574367-52718739	0.0979
NM_018313	chr3(.):52574367-52724866	0.1599
NM_007114	chr3(.):69063977-69106484	0.1938
NM_014429	chr3(.):108672086-108841993	0.2044
NM_020754	chr3(.):119008219-119143323	0.3461
NM_002093	chr3(.):119535801-119818264	0.168
NM_002213	chr3(.):124476794-124611144	0.5668
NM_001134422	chr3(.):133287433-133314118	0.9961
NM_001134423	chr3(.):133288300-133314118	1.0284
NM_001080412	chr3(.):141038054-141173632	2.7645
NM_001190242	chr3(.):159969773-160106554	0.0956
NM_001190241	chr3(.):159969773-160122320	0.3186
NM_002740	chr3(.):169935219-170028770	0.4847
NM_024665	chr3(.):176733541-176920048	0.356
NM_005832	chr3(.):178271617-178567217	0.093
NM_130446	chr3(.):183200318-183278499	1.3806
NM_181573	chr3(.):186502681-186529484	0.7048
NM_002916	chr3(.):186502681-186529290	0.7096
NM_173216	chr3(.):186643314-186801341	0.7781
NM_003032	chr3(.):186734664-186801341	0.9685
NM_005524	chr3(.):193848933-193861396	1.6532
NM_015453	chr3(.):9399716-9433475	0.2713
NM_001080517	chr3(.):9434402-9524838	0.3368
NM_002542	chr3(.):9786627-9804089	0.3347
NM_003656	chr3(.):9794030-9816661	0.1068
NM_001142547	chr3(.):9874532-9890702	0.1974
NM_001024959	chr3(.):9829178-9853789	0.9845
NM_005718	chr3(.):9829231-9853789	0.9865
NM_001198793	chr3(.):9829231-9883040	0.4866
NM_001198780	chr3(.):9829800-9853789	1.0057
NM_001025930	chr3(.):9846643-9883040	0.106
NM_024334	chr3(.):14161439-14190180	1.189
NM_001295	chr3(.):46238199-46254832	1.9866
NM_001837	chr3(.):46278871-46313197	0.0757
NM_003212	chr3(.):46614075-46628952	0.0514
NM_001174136	chr3(.):46611044-46628952	0.0536
NM_024512	chr3(.):46551877-46613011	1.3484
NM_031440	chr3(.):46534484-46547439	0.1827
NM_199074	chr3(.):49052907-49065926	1.8721
NM_199073	chr3(.):49053617-49065926	1.9731
NM_017730	chr3(.):49062141-49136504	0.2906
NM_177939	chr3(.):49022340-49049581	0.5321
NM_018031	chr3(.):49039636-49058386	0.8923
NM_000884	chr3(.):49056761-49071875	1.5987
NM_018114	chr3(.):49047434-49063467	1.5217
NM_199070	chr3(.):49054073-49065926	2.0429
NM_001009996	chr3(.):49047434-49061017	1.7146
NR_029690	chr3(.):49053050-49063142	2.3237
NR_029948	chr3(.):49052580-49062667	2.2896
NM_153215	chr3(.):50311517-50330545	0.3579
NM_006764	chr3(.):50320162-50335026	0.4533
NM_153282	chr3(.):50332319-50346004	0.3266
NM_153281	chr3(.):50332319-50354812	0.2375
NM_007275	chr3(.):50357340-50370668	2.0086
NM_012191	chr3(.):50328832-50341712	0.7382
NM_003773	chr3(.):50350220-50365281	1.6235
NM_006545	chr3(.):50379918-50393486	0.5473
NM_007182	chr3(.):50362216-50383367	0.8646
NM_007022	chr3(.):50383296-50396496	0.6237
NM_007024	chr3(.):50387179-50401939	0.7922
NM_015896	chr3(.):50373536-50388156	1.0451
NM_170712	chr3(.):50362216-50380664	0.9617
NM_170713	chr3(.):50362216-50379895	1.0003
NM_001010983	chr3(.):52723503-52745048	1.2834
NM_206825	chr3(.):52714935-52733510	0.7398
NR_003687	chr3(.):52719753-52729846	0.8162
NM_014041	chr3(.):52734856-52747197	2.0403
NR_003057	chr3(.):52721751-52731828	0.2805
NM_152932	chr3(.):52723503-52742622	1.2457
NR_003047	chr3(.):52718255-52728331	1.0654
NM_001193533	chr3(.):52739795-52809965	0.4426
NM_198195	chr3(.):69098880-69134524	0.4663
NM_006407	chr3(.):69129089-69160239	0.9927
NM_198271	chr3(.):69151038-69176746	0.1954
NR_036087	chr3(.):69093108-69103186	0.6219
NM_006100	chr3(.):98446571-98518236	0.9139
NM_145037	chr3(.):101493028-101552075	0.5561
NM_001134456	chr3(.):101493285-101552075	0.5581
NM_001005474	chr3(.):101541833-101584869	0.3234
NM_022135	chr3(.):119355907-119384404	0.9298
NM_005694	chr3(.):119383371-119401243	0.5531
NM_015900	chr3(.):119311721-119353658	0.0703
NR_031687	chr3(.):125504246-125514395	0.0799
NM_001127196	chr3(.):128881657-128907810	0.8988
NM_020701	chr3(.):128841258-128885073	0.3906
NM_020187	chr3(.):128992683-129029135	0.8228
NM_001006109	chr3(.):128992816-129029135	0.8253
NM_006026	chr3(.):129028613-129040120	3.1066
NR_026991	chr3(.):129030113-129048412	1.3072
NR_027898	chr3(.):129926662-129997649	0.0672
NM_001145417	chr3(.):135862759-135918310	0.4904
NM_018133	chr3(.):135862759-135919688	0.4798
NR_034008	chr3(.):156802669-156823924	2.1362
NR_034007	chr3(.):156794455-156845791	0.9671
NM_020307	chr3(.):156860585-156883482	1.3357
NM_173084	chr3(.):160148290-160172626	0.3987
NR_029663	chr3(.):160117375-160127473	3.1569
NM_005496	chr3(.):160113346-160157741	0.9905
NM_001002800	chr3(.):160112429-160157741	0.9734
NR_029525	chr3(.):160117532-160127613	2.8692
NM_018657	chr3(.):169485852-169512504	0.9073
NM_032487	chr3(.):169479710-169492683	2.3891
NM_001172780	chr3(.):169508428-169535574	0.1808
NM_001080460	chr3(.):169534709-169560560	0.1127
NR_001566	chr3(.):169477397-169487848	0.9412
NM_001185119	chr3(.):169487052-169512504	0.9452
NR_027622	chr3(.):169656771-169689522	1.0306
NM_182610	chr3(.):169624481-169661948	0.5107
NM_003262	chr3(.):169679579-169721161	0.3269
NM_001145098	chr3(.):170070472-170115950	0.7861
NM_001145097	chr3(.):170072410-170115950	0.8177
NR_002989	chr3(.):186499463-186509641	2.7064
NM_001967	chr3(.):186496360-186512685	1.7289
NR_031650	chr3(.):186499460-186509566	2.7255
NR_002588	chr3(.):186500401-186510538	2.6948
NR_002587	chr3(.):186497584-186507654	2.6835
NR_002586	chr3(.):186500087-186510222	2.7089
NR_024480	chr3(.):194013988-194035593	1.6427
NM_001080513	chr3(.):194055493-194077057	0.0921
NM_005781	chr3(.):195585235-195640880	0.8728
NM_001010938	chr3(.):195585235-195627432	0.2755
NM_198565	chr3(.):196361655-196393874	0.752
NM_014687	chr3(.):197393258-197468773	0.7146
NM_001145642	chr3(.):197393313-197481568	0.7296
NR_027840	chr3(.):197472260-197516317	0.3117
NM_032288	chr3(.):197471623-197516317	0.3078
NR_030627	chr3(.):197396366-197406447	0.1545
NM_001011537	chr3(.):197471423-197516317	0.3073
NM_198281	chr4(.):90160428-90234161	1.3125
NM_001008388	chr4(.):103785134-103818963	0.438
NM_021069	chr4(.):186501597-186882870	0.1381
NM_001145670	chr4(.):186501597-186738410	0.1708
NM_001145671	chr4(.):186501597-186737225	0.171
NM_001145672	chr4(.):186501597-186737048	0.1712
NM_003603	chr4(.):186501597-186738392	0.1708
NM_001145673	chr4(.):186501597-186702066	0.191
NM_006527	chr4(.):1689526-1719030	1.0241
NM_002938	chr4(.):2465794-2522586	0.3351
NM_020972	chr4(.):2266323-2425370	0.2522
NM_001172657	chr4(.):2326979-2425370	0.3015
NM_001172660	chr4(.):2325305-2371604	0.0625
NM_001185009	chr4(.):2466179-2522586	0.3366
NM_001172658	chr4(.):2325305-2425370	0.2974
NM_015173	chr4(.):37887719-38145794	0.2645
NM_004310	chr4(.):40193526-40251281	1.1628
NM_001105529	chr4(.):42405391-42664122	0.162
NM_024900	chr4(.):129725778-129790787	0.4578
NM_199320	chr4(.):129725778-129801379	0.4067
NM_002039	chr4(.):144252982-144400718	0.3572
NM_002199	chr4(.):185303875-185400726	1.3409
NM_001145674	chr4(.):186501597-186583123	0.3553
NM_152775	chr4(.):186361337-186397913	0.2656
NM_001013622	chr4(.):1636607-1690718	0.0629
NM_001174070	chr4(.):1636607-1690988	0.0629
NM_001127266	chr4(.):1712678-1728084	2.3966
NM_006342	chr4(.):1718265-1751897	0.3653
NM_001193282	chr4(.):2415700-2469690	0.1559
NR_031688	chr4(.):9552788-9562937	0.0913
NM_001076	chr4(.):69398132-69439240	0.2952
NM_001077	chr4(.):69397902-69439245	0.2946
NM_001076	chr4(.):69507314-69541374	0.1007
NM_031889	chr4(.):71489460-71517536	0.1044
NM_144646	chr4(.):71516257-71537348	0.9489
NM_020368	chr4(.):71549195-71561268	0.5036
NM_014961	chr4(.):71582695-71664274	0.0771
NM_001130709	chr4(.):71565653-71660614	0.1261
NM_181891	chr4(.):103712132-103753708	0.6955
NM_181890	chr4(.):103712132-103795032	0.5299
NM_181892	chr4(.):103712132-103753340	0.7003
NM_003340	chr4(.):103712132-103754105	0.6895
NM_181893	chr4(.):103712132-103795003	0.53
