GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
NM_001127183	chr2(.):201978386-202033841	0.3304
NM_033356	chr2(.):202120222-202157434	0.3098
NM_001080125	chr2(.):202117753-202157434	0.3052
NM_006139	chr2(.):204566197-204607557	0.4495
NM_017431	chr2(.):219682105-219701512	0.0785
NM_025216	chr2(.):219740254-219763651	0.5706
NM_006522	chr2(.):219719545-219743954	0.122
NM_005544	chr2(.):227591032-227668506	0.202
NM_024795	chr2(.):228221873-228249022	0.0921
NM_014674	chr3(.):5224358-5266650	0.4196
NM_002841	chr3(.):61542242-62285573	0.1029
NM_016128	chr3(.):128963452-129001616	0.2086
NM_003571	chr3(.):133113789-133199056	0.2839
NM_207015	chr3(.):174572110-175528428	0.176
NM_024947	chr3(.):169800367-169904537	0.2924
NM_004991	chr3(.):168796286-169386563	0.1634
NM_001135095	chr3(.):171753343-172123492	0.2484
NM_022763	chr3(.):171752417-172123492	0.249
NM_181361	chr3(.):178249223-178567217	0.1639
NM_001134382	chr3(.):12933718-13119617	0.1668
NM_024923	chr3(.):13352736-13466809	0.1462
NM_014869	chr3(.):12933718-13013960	0.0965
NM_152653	chr3(.):23239783-23637296	0.1194
NM_001024847	chr3(.):30642993-30740633	0.23
NM_002213	chr3(.):124476794-124611144	0.1962
NM_001001487	chr3(.):130608433-130740555	0.1134
NM_001199181	chr3(.):130564368-130727046	0.1649
NM_001199180	chr3(.):130564368-130740555	0.1612
NM_001199179	chr3(.):130607834-130727046	0.1126
NM_001001485	chr3(.):130607858-130740555	0.1131
NM_001199184	chr3(.):130607904-130727046	0.1127
NM_014382	chr3(.):130608291-130727046	0.1129
NM_001080412	chr3(.):141038054-141173632	0.4284
NM_001193283	chr3(.):156539147-156648045	0.1575
NM_001004316	chr3(.):156539095-156768918	0.1661
NM_002740	chr3(.):169935219-170028770	0.2395
NM_024665	chr3(.):176733541-176920048	0.2928
NM_005832	chr3(.):178271617-178567217	0.1572
NM_130446	chr3(.):183200318-183278499	0.508
NM_173216	chr3(.):186643314-186801341	0.2987
NM_003032	chr3(.):186734664-186801341	0.3236
NM_174908	chr3(.):191041873-191121459	0.2141
NM_005524	chr3(.):193848933-193861396	0.7519
NM_015931	chr3(.):8656319-8698737	0.0843
NM_001295	chr3(.):46238199-46254832	0.4376
NM_001837	chr3(.):46278871-46313197	0.1291
NM_003212	chr3(.):46614075-46628952	0.0811
NM_001174136	chr3(.):46611044-46628952	0.0844
NM_024512	chr3(.):46551877-46613011	0.2448
NM_031440	chr3(.):46534484-46547439	0.1612
NM_006100	chr3(.):98446571-98518236	0.3198
NM_022135	chr3(.):119355907-119384404	0.2981
NM_005694	chr3(.):119383371-119401243	0.1666
NM_015900	chr3(.):119311721-119353658	0.1162
NR_031687	chr3(.):125504246-125514395	0.1286
NM_020187	chr3(.):128992683-129029135	0.3028
NM_001006109	chr3(.):128992816-129029135	0.3032
NM_006026	chr3(.):129028613-129040120	0.7334
NR_026991	chr3(.):129030113-129048412	0.3656
NR_027898	chr3(.):129926662-129997649	0.0868
NR_027954	chr3(.):156385959-156398502	0.5015
NM_001184718	chr3(.):156389452-156429557	0.4181
NM_001184717	chr3(.):156387714-156429557	0.4085
NM_015508	chr3(.):156387204-156429557	0.4052
NR_003284	chr3(.):156522059-156534810	0.2377
NR_034007	chr3(.):156794455-156845791	0.3737
NM_020307	chr3(.):156860585-156883482	0.4712
NM_198152	chr3(.):190979943-191053325	0.2492
NR_024480	chr3(.):194013988-194035593	0.4435
NM_001080513	chr3(.):194055493-194077057	0.1192
NM_198565	chr3(.):196361655-196393874	0.2941
NM_014687	chr3(.):197393258-197468773	0.318
NM_001145642	chr3(.):197393313-197481568	0.3217
NR_027840	chr3(.):197472260-197516317	0.2113
NM_032288	chr3(.):197471623-197516317	0.21
NR_030627	chr3(.):197396366-197406447	0.1568
NM_001011537	chr3(.):197471423-197516317	0.2097
NM_002111	chr4(.):3071407-3250687	0.0904
NM_198281	chr4(.):90160428-90234161	0.3412
NM_018699	chr4(.):121610928-121849013	0.1738
NM_021069	chr4(.):186501597-186882870	0.1367
NM_001145670	chr4(.):186501597-186738410	0.1427
NM_001145671	chr4(.):186501597-186737225	0.1424
NM_001145672	chr4(.):186501597-186737048	0.1423
NM_003603	chr4(.):186501597-186738392	0.1427
NM_001145673	chr4(.):186501597-186702066	0.1515
NR_033182	chr4(.):1160639-1207634	0.1397
NM_001199021	chr4(.):1155720-1207750	0.1371
NM_001004056	chr4(.):2960342-3047474	0.1236
NM_004310	chr4(.):40193526-40251281	0.3278
NM_002039	chr4(.):144252982-144400718	0.2452
NM_001145674	chr4(.):186501597-186583123	0.1889
NM_012445	chr4(.):1155720-1171657	0.1238
NM_001128325	chr4(.):1155720-1171999	0.1214
NR_033339	chr4(.):1238227-1251795	0.1448
NM_001012614	chr4(.):1200227-1247908	0.1804
NM_017581	chr4(.):40332468-40361973	0.1021
NM_031889	chr4(.):71489460-71517536	0.1475
NM_144646	chr4(.):71516257-71537348	0.3529
NM_020368	chr4(.):71549195-71561268	0.2464
NM_014961	chr4(.):71582695-71664274	0.1231
NM_001130709	chr4(.):71565653-71660614	0.1296
NM_152545	chr4(.):82343218-82398061	0.1896
NM_014395	chr4(.):100732980-100796346	0.342
NM_021970	chr4(.):100794494-100820703	0.2303
NM_003998	chr4(.):103417485-103543459	0.1873
NM_025212	chr4(.):105388342-105417467	0.301
NM_001104631	chr5(.):58259865-59194621	0.1164
NM_006203	chr5(.):58259865-58887324	0.1131
NM_001165899	chr5(.):58259865-59788925	0.1056
NM_001197218	chr5(.):58259865-59069438	0.1197
NM_001131005	chr5(.):88009057-88204922	0.2381
NM_002397	chr5(.):88009057-88184283	0.2461
NM_001193349	chr5(.):88009057-88124744	0.2198
NM_001131055	chr5(.):175080039-175118245	0.196
NM_024669	chr5(.):55390506-55534186	0.2256
NM_022913	chr5(.):56464774-56565506	0.1599
NM_001127235	chr5(.):56466274-56565506	0.1598
NM_001992	chr5(.):76006867-76036595	0.4015
NR_027435	chr5(.):90671163-90721532	0.2199
NM_020747	chr5(.):123967609-124085805	0.181
NM_001038702	chr5(.):130594701-130735382	0.1848
NM_003060	chr5(.):131700400-131736306	0.139
NM_001037332	chr5(.):156688186-156827606	0.1363
NM_001037333	chr5(.):156688090-156827606	0.1363
NM_014376	chr5(.):156691361-156827606	0.1377
NM_001193376	chr5(.):1248286-1300162	0.0788
NM_030782	chr5(.):1312999-1350002	0.6096
NM_001145161	chr5(.):6443735-6501834	0.2752
NM_006713	chr5(.):32580604-32609185	0.3394
NM_001127236	chr5(.):56504900-56565506	0.1186
NR_028375	chr5(.):76002762-76013686	0.1863
NM_020801	chr5(.):90659540-90684149	0.3717
NM_000588	chr5(.):131391346-131403896	0.1104
NM_000758	chr5(.):131404484-131416859	0.107
NR_037500	chr5(.):131696181-131706291	0.1161
NM_002198	chr5(.):131812300-131831465	0.3069
NM_001013717	chr5(.):131741672-131803059	0.4776
NR_033244	chr5(.):141270190-141281260	0.1018
NM_032420	chr5(.):141227672-141262944	0.3128
NM_002587	chr5(.):141237216-141262944	0.3686
NM_004417	chr5(.):172190092-172203203	0.5413
NM_022304	chr5(.):175103463-175116558	0.0957
NM_181356	chr6(.):44791469-45350670	0.1166
NM_003599	chr6(.):44792449-45350575	0.1166
NM_012288	chr6(.):52357199-52446862	0.406
NM_033515	chr6(.):129893239-130036370	0.2385
NM_001195286	chr6(.):386738-416443	0.3504
NR_037616	chr6(.):7876482-8069647	0.3626
NM_001173977	chr6(.):25274655-25625758	0.187
NM_172166	chr6(.):31702724-31735455	0.2351
NM_004348	chr6(.):45384913-45523819	0.1785
NM_001024630	chr6(.):45291053-45523819	0.1545
NM_001172420	chr6(.):52280804-52365583	0.1941
NM_018100	chr6(.):52279993-52365583	0.1978
NM_016021	chr6(.):90031343-90067619	0.3808
NM_001170794	chr6(.):90631246-91011627	0.1484
NM_021813	chr6(.):90631246-91011562	0.1484
NM_001455	chr6(.):108877068-109010971	0.3981
NM_201559	chr6(.):108876025-109010971	0.3963
NM_032131	chr6(.):109164618-109300352	0.2584
NM_173674	chr6(.):117798819-117896020	0.1894
NM_001143676	chr6(.):134485383-134644196	0.1968
NR_026805	chr6(.):135813938-136016976	0.1551
NM_024630	chr6(.):157797556-158099977	0.095
NM_020185	chr6(.):287100-356355	0.5848
NR_027712	chr6(.):7981334-7995577	0.2105
NM_001145549	chr6(.):7876482-7915310	0.6582
NM_030810	chr6(.):7876482-7916047	0.6547
NM_032744	chr6(.):11708887-11784280	0.2046
NM_021065	chr6(.):26194011-26204471	0.4996
NM_003530	chr6(.):26192011-26204464	0.4358
NM_138720	chr6(.):26153348-26176576	0.346
NM_003523	chr6(.):26179023-26189458	0.313
NM_003539	chr6(.):26183937-26194304	0.3341
NM_003545	chr6(.):26199872-26210249	0.4154
NM_005321	chr6(.):26151558-26162343	0.4249
NM_003522	chr6(.):26194786-26205216	0.5868
NM_003518	chr6(.):26211427-26221872	0.2907
NM_021052	chr6(.):26212147-26222711	0.2887
NM_003532	chr6(.):26220382-26230844	0.1953
NM_003524	chr6(.):26246878-26257303	0.3326
NM_003547	chr6(.):26241838-26252205	0.3022
NM_003540	chr6(.):26235653-26246021	0.1617
NM_021018	chr6(.):26245369-26255835	0.3349
NM_005320	chr6(.):26229439-26240216	0.2404
NM_001145008	chr6(.):26397464-26420444	0.1373
NM_001197240	chr6(.):26378328-26400100	0.1845
NM_001197247	chr6(.):26360397-26383540	0.5677
NM_001197238	chr6(.):26378323-26400100	0.1845
NM_001197237	chr6(.):26378438-26400100	0.1838
NM_001197248	chr6(.):26360469-26383540	0.5658
NM_001197246	chr6(.):26363405-26383540	0.213
NM_021066	chr6(.):27777079-27787518	0.4077
NM_003536	chr6(.):27772841-27783314	0.5039
NM_003509	chr6(.):27770976-27781445	0.3821
NM_003519	chr6(.):27770256-27780709	0.3736
NM_003521	chr6(.):27777821-27788267	0.3869
NM_003520	chr6(.):27801439-27811888	0.356
NM_003511	chr6(.):27828106-27838576	0.2696
NM_003533	chr6(.):27834622-27845099	0.1996
NM_003510	chr6(.):27800657-27811117	0.3594
NM_003541	chr6(.):27793951-27804305	0.2829
NM_005322	chr6(.):27829569-27840359	0.2971
NM_021968	chr6(.):27786902-27797258	0.2854
NM_003546	chr6(.):27835925-27846289	0.1612
NM_021246	chr6(.):31678132-31690581	0.1053
NM_138275	chr6(.):31686160-31697851	0.2756
NR_033488	chr6(.):31649725-31675850	0.1422
NM_013974	chr6(.):31689816-31703039	0.3516
NM_001288	chr6(.):31693357-31709341	0.5637
NM_001003693	chr6(.):31669683-31683372	0.1914
NM_021160	chr6(.):31649725-31676137	0.1415
NR_024541	chr6(.):31674752-31686842	0.1114
NM_025261	chr6(.):31681424-31694510	0.1056
NM_001039651	chr6(.):31725772-31737624	0.0846
NM_025258	chr6(.):31728370-31750108	0.1609
NM_006120	chr6(.):32911390-32925899	0.2191
NM_002119	chr6(.):32966959-32982389	0.1182
NM_002118	chr6(.):32897405-32913847	0.1913
NM_005104	chr6(.):32931436-32954282	0.3715
NM_001113182	chr6(.):32933664-32954282	0.3995
NM_001199455	chr6(.):32934371-32954282	0.4046
NM_001199456	chr6(.):32935860-32954282	0.4058
NM_002648	chr6(.):37132921-37148204	0.348
NM_133367	chr6(.):52221925-52277575	0.2825
NM_002043	chr6(.):89962238-90029967	0.2245
NM_182907	chr6(.):106541814-106562811	0.5261
NM_001198	chr6(.):106529194-106562814	0.5002
NR_037463	chr6(.):157945163-157955232	0.0692
NM_001259	chr7(.):92229234-92468231	0.2072
NM_001145306	chr7(.):92229234-92470941	0.206
NM_001029835	chr7(.):45062232-45121069	0.136
NM_001167935	chr7(.):45034786-45121069	0.1808
NR_030770	chr7(.):45034344-45121069	0.1816
NM_030796	chr7(.):55533305-55645200	0.437
NM_001145354	chr7(.):130789854-131186398	0.2062
NM_004717	chr7(.):137069384-137536609	0.1462
NM_001164458	chr7(.):149939300-150025758	0.19
NM_182762	chr7(.):20169278-20262013	0.2725
NM_002214	chr7(.):20365724-20460382	0.2428
NM_145321	chr7(.):24831163-25024760	0.1875
NM_175061	chr7(.):27865192-28225437	0.1108
NM_002541	chr7(.):44641120-44753669	0.1974
NM_001003941	chr7(.):44641120-44721195	0.2368
NM_022748	chr7(.):47309751-47584199	0.1317
NM_012395	chr7(.):90333711-90844904	0.1395
NM_017621	chr7(.):102091666-102110321	0.1824
NM_182931	chr7(.):104649636-104759532	0.2005
NM_022444	chr7(.):122748587-122845025	0.2155
NM_003344	chr7(.):129467994-129597789	0.2021
NR_015431	chr7(.):130623918-130798562	0.2308
NR_024153	chr7(.):130623918-130796789	0.231
NM_144648	chr7(.):133807104-133953933	0.2103
NM_178563	chr7(.):134666258-134825530	0.1998
NM_018238	chr7(.):141246077-141359209	0.214
NM_001195278	chr7(.):140769031-141185179	0.1653
NM_173680	chr7(.):150071405-150100719	0.4107
NM_053043	chr7(.):155432202-155579179	0.1872
NM_022458	chr7(.):156468569-156690902	0.1471
NM_138400	chr7(.):156737416-156770876	0.1544
NR_029597	chr7(.):25984538-25994606	0.4287
NR_034097	chr7(.):28215075-28285996	0.1115
NM_022373	chr7(.):35667269-35739772	0.1334
NM_182547	chr7(.):44613761-44626827	0.203
NR_003697	chr7(.):45017626-45031259	0.1615
NR_002952	chr7(.):45019976-45030109	0.1744
NM_033054	chr7(.):44997259-45023704	0.1193
NM_020979	chr7(.):101923404-101967178	0.2738
NR_036245	chr7(.):101931368-101941453	0.2497
NM_032831	chr7(.):102068995-102102268	0.3367
NM_024653	chr7(.):102031803-102072129	0.2691
NM_001146210	chr7(.):101981191-102001889	0.1526
NM_006234	chr7(.):102108547-102124381	0.1911
NM_152892	chr7(.):102100389-102118612	0.1627
NR_027374	chr7(.):104530074-104572092	0.2155
NR_024586	chr7(.):104645988-104659588	0.6235
NM_001166346	chr7(.):114557208-114568720	0.326
NM_199072	chr7(.):114557208-114664970	0.2633
NM_002769	chr7(.):142452318-142465927	0.1648
NM_004445	chr7(.):142547791-142573847	0.1522
NM_002770	chr7(.):142474907-142486378	0.1464
NR_001296	chr7(.):142473756-142487399	0.1412
NM_013400	chr7(.):150060878-150076133	0.6819
NM_014374	chr7(.):150063257-150076133	0.7402
NM_001142928	chr7(.):150015295-150040245	0.2928
NM_002889	chr7(.):150030406-150043763	0.1253
NM_138434	chr7(.):150021937-150034811	0.1158
NR_027237	chr7(.):150097839-150114558	0.5057
NM_175571	chr7(.):150142961-150181483	0.1536
NR_034033	chr7(.):150125741-150150228	0.3543
NM_080838	chr8(.):134198311-134245053	0.2065
NM_003882	chr8(.):134198311-134246571	0.2201
NM_001002814	chr8(.):37711464-37762015	0.3567
NM_173683	chr8(.):10748656-11063875	0.1485
NM_001715	chr8(.):11346520-11427108	0.2131
NM_018371	chr8(.):19256671-19545094	0.1574
NR_024040	chr8(.):19256671-19545261	0.1574
NM_001386	chr8(.):26430420-26520693	0.1525
NM_001197293	chr8(.):26366708-26520693	0.1426
NM_006228	chr8(.):28169648-28205868	0.2078
NM_001010906	chr8(.):27874480-27946388	0.2286
NM_024787	chr8(.):33400272-33429643	0.4619
NM_005079	chr8(.):80942104-81088836	0.2487
NM_022783	chr8(.):120880899-121068157	0.2479
NM_014751	chr8(.):125558027-125745730	0.1051
NM_173685	chr8(.):126099082-126384367	0.2382
NM_003033	chr8(.):134462090-134589183	0.1899
NM_003970	chr8(.):1988157-2098380	0.3126
NM_018091	chr8(.):27945583-28053669	0.1078
NM_018660	chr8(.):28198101-28248977	0.1638
NR_026765	chr8(.):29573775-29610625	0.2358
NM_025115	chr8(.):33351235-33375656	0.2018
NM_001102401	chr8(.):33351235-33375703	0.2016
NM_024025	chr8(.):33443853-33462439	0.112
NM_018310	chr8(.):37696397-37712431	0.182
NM_152413	chr8(.):37786799-37802647	0.0931
NM_025195	chr8(.):126437562-126455644	0.4415
NM_002839	chr9(.):8309245-10617723	0.0907
NM_001193331	chr9(.):97483950-97700955	0.1385
NM_032823	chr9(.):97483950-97854500	0.12
NM_001135920	chr9(.):5624326-5774454	0.174
NM_020829	chr9(.):5651582-5781556	0.1508
NM_001206	chr9(.):72994512-73034573	0.1869
NM_001193329	chr9(.):97516930-97854500	0.1207
NM_007203	chr9(.):112537576-112939791	0.1702
NM_001004065	chr9(.):112805877-112939791	0.2473
NM_015404	chr9(.):117159359-117272736	0.2302
NM_001083885	chr9(.):117159359-117270495	0.2326
NM_005047	chr9(.):123573331-123610206	0.1434
NM_001006618	chr9(.):128278748-128474513	0.1568
NM_001006617	chr9(.):128194672-128474513	0.1409
NM_014636	chr9(.):129672052-129990445	0.1499
NM_001190729	chr9(.):129672052-129984724	0.1492
NM_001190728	chr9(.):129719503-129984724	0.1538
NM_001190730	chr9(.):129672052-129945810	0.1544
NM_015033	chr9(.):132644465-132810473	0.1965
NR_033912	chr9(.):93820575-93842414	0.0855
NM_005384	chr9(.):94166326-94191144	0.3277
NM_001012993	chr9(.):112956845-112975413	0.1043
NM_001136562	chr9(.):112882780-112939791	0.305
NM_005658	chr9(.):123659670-123694173	0.2442
NM_015651	chr9(.):123612930-123644606	0.2003
NM_001190945	chr9(.):123659670-123696451	0.2514
NM_001190947	chr9(.):123659670-123681850	0.2182
NR_024408	chr9(.):123600319-123621651	0.1676
NM_016520	chr9(.):132584563-132602572	0.1514
NM_006676	chr9(.):132592695-132649107	0.1271
NM_001008563	chr9(.):132592756-132649107	0.1272
NM_001136557	chr9(.):132810984-132907448	0.0863
NM_144495	chrX(.):48750194-48765420	0.1289
NM_001167990	chrX(.):48750212-48765420	0.1288
NM_001032384	chrX(.):48750538-48765420	0.1265
NM_001167992	chrX(.):48750774-48765420	0.1271
NM_001167947	chrX(.):48745729-48760426	0.1441
NM_001042498	chrX(.):48755888-48774235	0.1898
NM_001136158	chrX(.):48774302-48819893	0.2942
NM_001136159	chrX(.):48774302-48820648	0.2901
NM_006875	chrX(.):48765458-48781413	0.3026
NM_004979	chrX(.):48813638-48833251	0.1022
NM_005660	chrX(.):48755458-48773917	0.1941
NM_001032289	chrX(.):48755889-48773933	0.1865
NM_015892	chr10(.):125762181-125856930	0.2385
NM_014863	chr10(.):125774168-125856930	0.2594
NM_018363	chr10(.):90028620-90348082	0.1548
NM_001031709	chr10(.):90038858-90348082	0.1451
NM_001083591	chr10(.):11201992-11383672	0.3404
NM_001025077	chr10(.):11042258-11383672	0.233
NM_006561	chr10(.):11054892-11383672	0.2391
